"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","möchte","möchte","möchte","gesetz","möchte","schon","gesetz","möchte","möchte","möchte","gesetz","gesetz","müssen","gesetz","gesetz","vorschläge","gesetze","vorlage","gesetze","raumordnungspolitik","gesetze","gesetze","vorschläge","hoffen","strauss","beanspruchen","fachrichtung","erbschaftsteuer","deutschen","guatemala","umwelt","steuerreform","gewerbeordnung","absatzfonds","treue","preisbindung","heizöl","verbraucher","wirtschaft","verbraucher","unternehmen","verbraucher","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","stahlindustrie","unternehmen","werften","stahlindustrie","saarland","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","kohle","kohle","kohle","rheinhausen","kohle","kohle","nordrheinwestfalen","saarland","steinkohle","region","film","stahlindustrie","stahlindustrie","braunkohle","eko","ard","raumfahrtindustrie","energien","energien","wettbewerb","energien","film","welle","stadtwerke","energien","film","post","post","wettbewerb","post","post","film","wettbewerb","sparkassen","regulierungsbehörde","hedgefonds","ministererlaubnis","wettbewerb","telekom","wettbewerb","wettbewerb","wettbewerb","wettbewerb","wettbewerb","post","netzneutralität","internet","internet","leistungsschutzrecht","netzneutralität","digitale","digitalen","itsicherheit","digitalisierung","daten","digitalen","digitalen","digitalisierung","digitalisierung","digitalen","digitalisierung","digitalisierung","daten","daten","digitalisierung"
"2","glaube","gesetz","gesetz","gesetz","möchte","müssen","möchte","möchte","gesetz","gesetz","gesetz","möchte","müssen","gesetz","schon","müssen","gesetz","schon","schon","demokraten","schon","freien","verbesserung","ziel","langfristig","raumes","finanzverfassungsreform","öffentlichen","rechtsuchenden","gmbh","spreti","naturschutzes","kaffee","ökologische","cma","zufall","wettbewerb","verbraucher","wirtschaft","einlagensicherung","agb","fusionskontrolle","mittelstandspolitik","verbraucher","mittelstand","zonenrandgebiet","zonenrandgebiet","film","kleinen","berufe","hauser","mittleren","wettbewerb","bekleidungsindustrie","stahlindustrie","unternehmen","grundig","stahlindustrie","unternehmen","bremen","saarland","landesregierung","montanmitbestimmung","werften","stahlindustrie","rheinhausen","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","landesregierung","ministerpräsident","öffentlichrechtlichen","steinkohle","margarethenhütte","region","kali","steinkohle","eisenhüttenstadt","energien","luft","energieträger","stromeinspeisungsgesetz","energien","welle","wettbewerb","energien","strom","kraftwärmekopplung","liberalisierung","zugabeverordnung","film","schauerte","wettbewerb","unternehmen","wettbewerb","regulierungsbehörde","regulierungsbehörde","wettbewerb","wettbewerb","wettbewerb","bundesnetzagentur","wettbewerb","post","bundesnetzagentur","post","post","post","wettbewerb","unternehmen","enquetekommission","verbraucher","de","internet","internet","digitale","daten","digitalen","digitalisierung","digitalisierung","daten","digitale","intelligenz","digitalisierung","daten","daten","digitalisierung","digitalen","digitalen"
"3","sagen","glaube","schon","müssen","schon","gesetz","gesetz","schon","müssen","müssen","müssen","müssen","schon","möchte","legislaturperiode","gerade","müssen","gesetz","müssen","bedürfen","demokraten","demokraten","notwendigen","demokraten","massnahmen","kapazität","gemeindliche","einbringung","entsprach","zusatzfrage","entführern","lärm","alfred","loseblattsammlung","absatzförderung","vertraulichen","unternehmen","friderichs","bundeskartellamt","verbraucher","benzin","zusagen","verbraucherpolitik","mittleren","kleinen","investitionszulage","wettbewerb","förderung","diag","selbständigen","regionalen","hauser","schwandorf","mittelständischen","wettbewerb","saar","grüner","bremen","wolfram","unternehmen","stahlindustrie","krupp","landesregierung","hamburg","arbeitsplätze","nordrheinwestfalen","ruhrgebiet","ruhrgebiet","steinkohle","saarland","nordrheinwestfalen","möllemann","möllemann","werften","ag","bischofferode","kernenergie","steinkohle","stromeinspeisungsgesetz","dasa","energieversorgung","kohle","strom","strom","börnsen","braunkohle","wettbewerb","rundfunk","filmförderung","verbraucher","ag","unternehmen","monopolkommission","wettbewerb","verbraucher","informationsgesellschaft","wettbewerb","verbraucher","unternehmen","fusion","markt","markt","preise","netze","ag","markt","warteschleifen","frequenzen","wettbewerb","medienkompetenz","wettbewerb","dat","telekom","digitalen","internet","digitale","verwertungsgesellschaften","urheber","daten","digitale","digitalen","digitale","daten","digitalen","digitale","digitalen","digitalisierung","digitale"
"4","möchte","sagen","sagen","glaube","glaube","glaube","müssen","lösung","schon","lösung","lösung","schon","möchte","begrüssen","worden","material","gesetze","massnahmen","vorschläge","einbringung","gesetze","legislaturperiode","subventionen","probleme","vorzulegen","finanzhilfen","vorzulegen","anforderungen","raumordnungsbericht","absoluten","botschafters","gesamtprogramm","wahlkämpfen","fertigen","ernährungswirtschaft","demokraten","verbraucher","wirtschaft","unternehmen","heizöl","wirtschaft","höfeordnung","unternehmen","mittelständischen","mittleren","mittelständischen","investitionszulage","filme","wettbewerb","mittelstand","kleinen","zonenrandgebiet","staatssekretär","textil","erp","lammert","fusion","unternehmen","jochimsen","stahlindustrie","regionen","stahlindustrie","unternehmen","arbeitsplätze","steinkohle","stahlindustrie","regionen","stahlindustrie","energiepolitik","kohle","wismut","energiepolitik","wilhelmshaven","region","braunkohle","ag","kohle","riva","stoiber","raumfahrt","stromeinspeisungsgesetz","rundfunk","kohle","wettbewerb","stahl","strom","kraftwärmekopplung","wettbewerb","produzenten","rabattgesetz","wettbewerb","markt","verbändevereinbarung","verbraucher","filmwirtschaft","heil","schleswigholstein","zeitungen","post","kartellamt","regulierung","post","verbraucher","verbraucher","verbraucher","anreizregulierung","unternehmen","bundesnetzagentur","verbraucher","enquete","digitale","internet","verbraucher","breitbandausbau","breitbandausbau","digitalen","internet","internet","verwaltung","digitalisierung","daten","digitalen","uploadfilter","digitale","digitalen","digitale","digitale","daten"
"5","kollege","schon","glaube","schon","müssen","schon","glaube","müssen","glaube","apotheke","unserer","lange","worden","schon","problem","begrüssen","schon","müssen","neue","müssen","neue","dynamik","krankenhäuser","einzugehen","ziel","ohnehin","rentabilität","maschinenbau","verlauf","februar","ergänzungshaushalts","luft","organismus","landschaft","fonds","erscheinende","marktwirtschaft","mineralölgesellschaften","preise","fusionskontrolle","unternehmen","bundeskartellamt","mittelstand","mittelstand","berufe","mittleren","mittleren","tankstellen","arbeitsplätze","diag","mittelstand","förderung","mittelständischen","förderabgabe","regionalen","kohlepolitik","werften","subventionen","reuschenbach","wolfram","regionalpolitik","arbeitsplätze","arbeitsplätze","wolfram","stahl","arbeitsplätze","stahl","landesregierung","saarland","salzgitter","energieversorgung","nordrheinwestfalen","bergbau","mecklenburgvorpommern","film","fusion","stahlindustrie","stahlindustrie","kohle","stoiber","solarzeitalter","windenergie","steinkohle","stromeinspeisungsgesetz","filmförderung","lausitz","volksfeste","internet","kraftwärmekopplung","wettbewerb","rock","register","ag","ag","reparaturklausel","regulierung","unternehmen","regulierung","regulierung","girokonto","hedgefonds","entflechtung","markt","preise","preise","bundesnetzagentur","verbraucher","demail","demail","netzneutralität","verlage","verbraucher","digitale","netz","agenda","bsi","digitale","buchpreisbindung","internet","internet","facebook","ki","digitale","intelligenz","blockchain","ki","datenschutz","digital"
"6","schon","wäre","müssen","worden","heute","sollten","heute","wirklich","schaffen","gesetzentwurf","schon","sagen","problem","grossen","vorschläge","möchte","vorlagen","notwendig","gesetz","heute","bundesregierung","neubauten","geschaffen","gesetze","gesetze","auswirkungen","finanzreform","massnahmen","härzschel","beeinflussten","kontakt","wuppertal","hinausgehenden","wichtigen","absatzfondsgesetzes","mangelhaft","missbrauchsaufsicht","mineralölwirtschaft","wettbewerb","preis","veba","wettbewerb","mittelständischen","mittelständische","mittelstandspolitik","mittlere","regionalen","filmförderung","wirtschaft","freien","mittelständischen","gemeinschaftsaufgabe","lohnveredelung","grüner","lammert","stahl","arbeitsplätze","arbeitsplätze","bremen","arbeitsplätze","jochimsen","wuppermann","jochimsen","nordrheinwestfalen","nordrheinwestfalen","bremen","landesregierung","stahl","jahrhundertvertrag","stiftung","region","anstalten","kohle","grossdubrau","premnitz","brüssel","energiepolitik","energien","kernenergie","eurofighter","scheer","stromeinspeisungsgesetzes","energieversorgung","uldall","gwb","herr","liberalisierung","öffentlichrechtlichen","ladenschluss","liberalisierung","markt","internet","verbändevereinbarungen","markt","regulierung","kartellamt","kunden","unternehmen","markt","eon","bundeskartellamt","netze","anbieter","strom","markt","unternehmen","markt","arbeitsbedingungen","internet","wettbewerb","digitalen","un","enquetekommission","bundesnetzagentur","digitalisierung","infrastrukturen","daten","digitalen","digitale","urheberrecht","internet","daten","ki","ki","app","plattformen","plattformen","internet"
"7","müssen","kollege","darüber","gerade","lösung","worden","anliegen","heute","lösung","schon","glaube","verabschiedet","glaube","vorschläge","müssen","verabschieden","massnahmen","problematik","gebiet","neue","gesetz","selbstschutz","legislaturperiode","unterschiedlich","infrastrukturmassnahmen","öffentlichen","ausdrücklich","kulturelle","schwerpunkt","jemen","graf","lärmbekämpfung","zahllosen","gesetze","zmp","dahrendorf","fusionskontrolle","gesellschaften","werbung","bundeswirtschaftsminister","bank","mittelstandspolitik","aktionsprogramm","verbraucherzentralen","mittelständischen","forschungs","verbraucher","pressefusionskontrolle","wettbewerbs","gmbh","arbeitsplätze","wirtschaft","schlecht","wettbewerb","wirtschaftsausschuss","regionen","stahlindustrie","lambsdorff","nordrheinwestfalen","fusion","arbeitsplätze","kohle","bremen","schleswigholstein","konsens","stahl","strukturwandel","steinkohle","bergleute","steinkohle","arbeitsplätze","arbeitsplätze","bremen","möllemann","energieversorgung","fritz","urbaniak","kernenergie","steinkohle","energien","solartechnologie","wilhelm","stadtwerke","preussag","filmförderungsgesetzes","steinkohle","markt","liberalisierung","volksfeste","internet","kartellamt","wettbewerbsrecht","gats","richtlinie","liberalisierung","verbraucher","regulierung","kartellamt","herkunftslandprinzip","telekom","anbieter","liberalisierung","ag","markt","vergaberecht","bundeskartellamt","postdienstleistungen","ag","oecdleitsätze","universaldienst","netz","tankstellen","verbraucherinnen","agenda","megabit","digitalisierung","netzneutralität","urheberrecht","telekom","datenschutz","plattformen","künstliche","plattformen","internet","digital","intelligenz","intelligenz","plattformen"
"8","herr","müssen","ganz","heute","anliegen","anträge","darüber","glaube","notwendig","arzneimittelgesetz","gesetzentwurf","lösung","massnahmen","gesetzentwurf","natürlich","expertenkommission","gesetzentwurf","glaube","gesetze","vorlage","legislaturperiode","gesetz","aufteilung","massnahmen","finanzplanung","dauer","technischen","hielten","massnahmen","unterrichtet","geldentwertung","landschaft","tätig","sondergesetze","aufsichtsrat","dokumentieren","kartellnovelle","unternehmen","markt","unternehmen","gewerbe","banken","wettbewerb","wettbewerb","mittlere","investitionszulagengesetzes","fusionskontrolle","markt","mittleren","hauser","mittleren","wirtschaftsstruktur","wirtschaftsstruktur","schlecht","egkommission","arbeitsplätze","thomsonbrandt","hdw","arbed","kohle","unternehmen","bremen","kohle","küste","subventionen","regionen","stahlindustrie","arbeitsplätze","lafontaine","land","lafontaine","energiepolitischen","bundeswirtschaftsminister","filme","bremen","reuschenbach","jung","artikelgesetz","rundfunkanstalten","subventionen","dächerprogramm","öffentlichrechtlichen","rexrodt","windenergie","kohle","energiewirtschaft","verbraucher","mosdorf","software","markt","internet","liberalisierung","markt","reparaturklausel","uwg","internet","anreizregulierung","post","eurecht","unternehmen","telekom","urheber","strom","netz","anbieter","ag","leasingunternehmen","anbieter","leitsätze","megabit","anbieter","markttransparenzstelle","digitalen","enquetekommission","netzneutralität","netze","urheberrecht","digitale","geräte","netz","nutzer","buchpreisbindung","internet","künstliche","bim","internet","internet","verwaltung"
"9","ja","ganz","lösung","dinge","meinung","wirklich","notwendig","gerade","sollten","unserer","darüber","sollten","unserer","verabschiedet","heute","vorschläge","ausdruck","bevölkerung","ausdruck","notwendig","gebiet","notwendigen","grossen","verteidigungshaushalts","auswirkungen","höchstens","darüber","vorsichtig","pflichterfüllung","schwedische","rebellen","grundwasser","flotte","eindeutigkeit","satzung","doppelt","preisempfehlung","erdöl","grüner","friderichs","grosskredite","markt","kleinen","bundeskartellamt","hauser","kleinen","mittlere","wirtschaft","grüner","schachtschabel","mittelstandspolitik","japanischen","regionalen","airbus","grüner","kohle","seemannsgesetzes","stahl","saarstahl","steinkohle","ruhrgebiet","unternehmen","saarland","energiebericht","werften","bangemann","kohle","kohlepfennig","kohlepolitik","energiepolitik","wirtschaft","bergbau","arbeitsplätze","verbundlösung","kommunen","arbeitsplätze","bergbau","energiepolitik","evus","steinkohle","regenerative","montanunion","stromeinspeisungsgesetz","kohle","wettbewerbspolitik","schütz","schaustellergewerbe","erneuerbaren","einzelhandel","rabattgesetzes","liberalisierung","kartellamt","liberalisierung","funke","neumann","krogmann","sparkasse","kartellrecht","krügerjacob","verbraucher","sparkassen","anreizregulierung","liberalisierung","regulierung","postdienstleistungen","netze","anbieter","versteigerung","anbieter","netz","nutzer","netz","bundesnetzagentur","netzneutralität","sekunde","stadtwerke","wettbewerb","bundesnetzagentur","urheber","nutzer","datenschutz","datenschutzgrundverordnung","urheberrecht","datenschutz","datenschutz","verwaltung","digital","digitaler"
"10","dinge","wirklich","heute","notwendig","gerade","freunde","wirklich","sagen","problem","meinung","begrüssen","teil","schnell","regierungspartei","parlament","erst","bundesregierung","gesetzentwurf","raumordnungspolitik","schon","notwendigen","notwendig","unserer","sollen","gescheitert","bereich","massnahmen","vertrauen","beimisst","anzusetzen","freilassung","flächen","verwirrung","indirekter","parlamentariern","nimmt","kartellamt","mengen","handel","preise","wettbewerb","grosskredite","landesbank","wirtschaft","wettbewerb","verbraucher","kleinen","filmwirtschaft","regionalen","pieroth","insolvenzen","regionalen","mittelständische","regionalen","jochimsen","unternehmens","produktion","bundesregierung","arbedsaarstahl","regionen","regionalen","saarland","land","steinkohle","bangemann","steinkohle","belegschaft","ruhrgebietskonferenz","bergbau","bergbau","bundesländer","rundfunk","braunkohle","belegschaft","faser","urbaniak","rexrodt","braunkohle","rundfunk","arbeitsplätze","photovoltaik","medienbericht","energiewirtschaft","jung","filmförderungsanstalt","michael","stadtwerken","strom","getränke","kunden","exklusivlizenz","verbändevereinbarung","postagenturen","liberalisierung","films","kunden","verbraucher","heil","clement","herkunftslandprinzip","märkte","unternehmen","entflechtung","ag","netze","strom","kunden","briefmarkt","warteschleifen","projektgruppe","mediendatenbank","is","urheberrecht","netzpolitik","urheberrecht","netz","breitbandausbau","verwertungsgesellschaften","breitbandausbau","werke","bundesnetzagentur","enquetekommission","netz","gesichtserkennung","nutzen","digital","verwaltung","digitales"
