"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","haushalt","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","euro","euro","euro","euro","euro","euro","milliarden","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro"
"2","millionen","millionen","millionen","millionen","dm","millionen","millionen","millionen","dm","haushalt","millionen","milliarden","millionen","gemeinden","gemeinden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","haushalt","milliarden","milliarden","milliarden"," milliarden","haushalt"," milliarden"," milliarden"," milliarden"," milliarden"," milliarden"," milliarden"
"3","haushalt","haushalt","haushalt","haushalt","bundesfinanzminister","haushaltsausschuß","haushalt","haushalt","ausgaben","millionen","haushalt","bundesfinanzminister","milliarden","milliarden","millionen","haushalt","haushalt","milliarden","milliarden","bundespost","milliarden","milliarden","milliarden","milliarden","milliarden","finanzplanung","milliarden","finanzplanung","milliarden","milliarden","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","gemeinden","millionen","millionen","millionen","millionen","millionen","haushalt","millionen","ausgaben","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","haushalt","millionen","haushalt","haushalt","haushalt","neuen","haushalt","haushalt","haushalt","millionen","haushalt","haushalt","bund","haushalt","haushalt","haushalt","prozent","haushalt","haushalt","millionen","haushalt","millionen","haushalt","dm","millionen","millionen","haushalt","haushalt","haushalt","jahr","haushalt","haushalt","haushalt","haushalt","haushalt","prozent","haushalt","schulden","haushalt","haushalt","millionen","haushalt","geld","haushalt","schulden","haushalt","milliarden","investitionen","milliarden","millionen","haushalt","bund","haushalt"," milliarden","schuldenbremse","haushalt","geld","haushalt"," millionen","haushalt"
"4","ausgaben","einzelplan","einzelplan","haushaltsausschuß","millionen","einzelplan","milliarden","haushaltsausschuß","bundesfinanzminister","haushaltsausschuß","milliarden","haushalt","gemeinden","millionen","milliarden","milliarden","bundesfinanzminister","haushalt","haushalt","milliarden","haushalt","mittel","möller","haushalt","haushalt","millionen","gemeinden","milliarden","gemeinden","finanzplanung","haushalt","haushalt","finanzplanung","gemeinden","haushalt","haushalt","haushalt","haushalt","haushalt","haushalt","ausgaben","ausgaben","rund","haushalt","bund","haushalt","haushalt","haushalt","haushalt","bund","millionen","haushalt","millionen","haushalt","haushalt","haushalt","haushalt","jahr","haushalt","haushalt","haushalt","haushalt","jahr","jahr","stoltenberg","haushalt","haushalt","haushalt","millionen","haushalt","jahr","millionen","millionen","millionen","millionen","millionen","millionen","jahr","millionen","millionen","millionen","millionen","prozent","millionen","millionen","millionen","millionen","haushalt","millionen","jahr","millionen","millionen","haushalt","haushalt","millionen","millionen","millionen","haushalt","ausgaben","jahr","jahr","jahr","millionen","millionen","millionen","geld","millionen","millionen","schuldenbremse","millionen","schulden","millionen","millionen","millionen","millionen","millionen","millionen","geld","millionen","geld","geld"," millionen","geld"," millionen","kommunen","geld","geld"," millionen"
"5","haushaltsausschuß","haushaltsausschuß","haushaltsausschuß","einzelplan","haushaltsausschuß","haushalt","bundesfinanzminister","einzelplan","haushalt","tit","haushaltsausschuß","millionen","bundesfinanzminister","haushalt","bund","haushaltsausschuß","milliarden","bund","bund","haushalt","bundespost","haushalt","haushalt","ausgaben","ausgaben","steuererhöhungen","bund","gemeinden","finanzplanung","haushalt","finanzplanung","finanzplanung","ausgaben","finanzplanung","haushaltsausschuß","zahlen","ausgaben","ausgaben","ausgaben","ausgaben","finanzplanung","rund","°o","ausgaben","millionen","ausgaben","ausgaben","ausgaben","jahr","jahr","bund","jahr","haushalt","einzelplan","höhe","jahr","finanzplanung","haushalt","jahr","stoltenberg","stoltenberg","jahr","rund","haushalt","jahr","stoltenberg","jahr","jahr","jahr","jahr","ausgaben","neuen","jahr","jahr","neuen","jahr","einzelplan","haushalt","einzelplan","jahr","länder","jahr","millionen","jahr","jahr","jahr","jahr","jahr","jahr","haushalt","euro","jahr","jahr","jahr","jahr","jahr","jahr","millionen","schulden","millionen","koalition","schulden","jahr","jahr","schulden","neuverschuldung","geld","geld","haushalt","geld","millionen","geld","geld","geld","investitionen","haushalt","geld","länder","geld","länder","investitionen","geld"," millionen","geld"," millionen"," millionen","haushalt","geld"
"6","einzelplan","tit","ausgaben","bundesfinanzminister","ausgaben","bundesfinanzminister","ausgaben","tit","millionen","milliarden","bundesfinanzminister","ritzel","haushalt","bundesfinanzminister","zubringerstraßen","bundesfinanzminister","ausgaben","ausgaben","bundesfinanzminister","gebührenerhöhung","ausgaben","betrag","ausgaben","haushalts","haushalts","mittelfristigen","ausgaben","ausgaben","haushalt","mittelfristigen","höhe","ausgaben","haushalt","haushalt","jahr","länder","haushaltsausschuß","bund","bund","bund","haushalt","haushalt","ausgaben","bundesfinanzminister","ausgaben","bund","jahr","jahr","ausgaben","haase","bundeshaushalt","ausgaben","jahr","haushaltsausschuß","jahr","ausgaben","jahr","finanzplanung","rund","jahr","jahr","stoltenberg","zahlen","stoltenberg","neuverschuldung","jahr","stoltenberg","bund","ausgaben","nachtragshaushalt","nachtragshaushalt","jahr","neuen","finanzierung","jahr","einsparungen","jahr","waigel","bund","waigel","ausgaben","bundeshaushalt","bund","prozent","haushalt","mittel","sparen","mittel","ausgaben","höhe","jahr","haushalt","prozent","höhe","eichel","ausgaben","ausgaben","ausgaben","jahr","koalition","millionen","prozent","schulden","haushalt","jahr","steuersenkungen","jahr","jahr","jahr","jahr","schuldenbremse","jahr","haushalt","mittel","geld","geld","mittel","bund","kommunen","millionen","mittel","bund","investitionen","investitionen","schulden","jahr","nachtragshaushalt","schuldenbremse"
"7","tit","ausgaben","bundesfinanzminister","tit","haushalts","tit","haushaltsausschuß","bundesfinanzminister","etzel","einzelplan","ausgaben","ausgaben","haushaltsausschuß","ausgaben","straßenbau","gemeinden","bund","gemeinden","haushaltsausschuß","bund","haushalts","bundeshaushalt","bund","bund","höhe","ausgaben","finanzplanung","haushalt","bund","möller","haushaltsausschuß","haushalts","betrag","bund","bund","rund","länder","jahr","haushaltsausschuß","gemeinden","bund","jahr","jahre","bund","haushalt","verschuldung","bundes","bundes","bund","ausgaben","jahr","haushaltsausschuß","bundeshaushalt","jahr","ausgaben","nachtragshaushalt","haushaltsausschuß","ausgaben","konsolidierung","ausgaben","bundeshaushalt","zahlen","höhe","dienstag","erhöhung","bund","neuverschuldung","mittel","mittel","mittel","millionen","mittel","ausgaben","bundesländer","einzelplan","ausgaben","bund","bundes","waigel","bund","prozent","prozent","jahr","ausgaben","bund","bundeshaushalt","eichel","ausgaben","mittel","ausgaben","prozent","prozent","ausgaben","schulden","schulden","kürzungen","prozent","prozent","millionen","prozent","prozent","millionen","geld","geld","geld","minus","prozent","sparen","geld","schulden","jahr","schulden","prozent","jahr","schulden","schulden","investitionen","mittel","mittel","kommunen","bund","kommunen","bund","kommunen","bund","schuldenbremse","schulden","schulden"
"8","betrag","bundesfinanzminister","haushaltsplan","ausgaben","milliarden","milliarden","haushalts","milliarden","rüstung","kap","tit","haushaltsausschuß","ausgaben","bund","zweckbindung","ausgaben","bundeshaushalt","haushalts","ausgaben","ausgaben","bund","ausgaben","hessen","gemeinden","bundesfinanzminister","bundesfinanzminister","finanzreform","mittelfristigen","haushaltsausschuß","ausgaben","ausgaben","mittel","jahre","steuererhöhungen","gemeinden","strauß","bund","bundes","jahr","bundes","höhe","jahre","leicht","bundeshaushalt","bundes","bundes","rund","finanzpolitik","bundes","haushalt","ausgaben","einzelplan","riedl","ausgaben","nachtragshaushalt","finanzminister","einzelplan","rund","zahlen","rund","rund","bundeshaushalt","erhöhung","apel","bundesfinanzminister","bremen","ausgaben","zahlen","bundeshaushalt","bundeshaushalt","kosten","bundeshaushalt","einzelplan","schulden","dienstag","bund","bundeshaushalt","neuen","bundeshaushalt","bundeshaushalt","haushalt","bund","waigel","bund","waigel","ausgaben","schulden","prozent","investitionen","geld","ausgaben","höhe","mittel","eichel","prozent","höhe","schulden","schulden","eichel","ausgaben","bundeshaushalt","mittel","koalition","höhe","prozent","prozent","ausgaben","ausgaben","höhe","schuldenbremse","haushalt","mittel","jahr","ausgaben","mittel","kommunen","jahr","jahr","bund","investitionen","investieren","mittel","haushalt","investieren","nachtragshaushalt","kommunen","jahr","investitionen"
"9","bund","kap","haushalts","haushalts","vorbemerkungen","haushaltsausschusses","bindungsermächtigungen","ausgaben","rüstungsausgaben","ausgaben","kap","finanzminister","einzelplan","haushalts","enquete","tit","bundes","haushaltsausschuß","möller","haushalts","höhe","bund","gemeinden","bundeshaushalt","haushaltsausschuß","haushalt","haushalt","finanzreform","möller","bundesfinanzminister","leicht","höhe","bund","erhöhung","finanzplanung","jahr","haushalts","länder","einzelplan","bundeshaushalt","jahr","öffentlichen","jahr","öffentlichen","bundeshaushalt","jahr","bund","konsolidierung","höhe","matthöfer","bundesfinanzminister","riedl","bund","kürzung","jahres","rund","finanzminister","stoltenberg","bundeshaushalt","bundesfinanzminister","ausgaben","rund","geld","ausgaben","zahlen","ausgaben","bundeshaushalt","geld","haushalts","ausgaben","finanzierung","ausgaben","subventionen","länder","ausgaben","bundeshaushalt","ausgaben","rund","jahr","einzelplan","höhe","ausgaben","finanzminister","bundeshaushalt","zahlen","prozent","ausgaben","höhe","prozent","prozent","mittel","ausgaben","einzelplan","mittel","einzelplan","mittel","eichel","mittel","höhe","bundeshaushalt","ausgaben","geld","ausgaben","bundeshaushalt","investitionen","haushalt","schulden","schuldenbremse","schulden","mittel","nachtragshaushalt","ausgaben","steuererhöhungen","kommunen","jahr","jahr","einzelplan","haushalt","investitionen","prozent","scholz","länder","kommunen","bund","haushalt","bund","kommunen","mittel"
"10","kap","haushalts","bundes","milliarden","bundesfinanzministers","ausgaben","bundeshaushalt","kap","april","titel","einzelplan","bund","mittel","haushaltsausschuß","bundes","bund","haushalts","bundes","straßenbau","haushaltsausschuß","haushaltsausschuß","möller","bundespost","haushaltsausschuß","finanzplanung","jahr","haushaltsausschuß","bundes","länder","haushalts","haushalts","haushaltsausschuß","jahr","mittel","haushalts","gemeinden","bundeshaushalt","finanzplanung","rund","rund","althammer","höhe","zahlen","gemeinden","jahr","haushalts","höhe","haushalts","haushaltsausschuß","bundes","geld","bund","einsparungen","geld","geld","nettokreditaufnahme","mittelfristige","finanzen","haushaltsausschuß","finanzminister","bundesfinanzminister","bundesfinanzminister","jahre","zahlen","rund","zahlen","bundesfinanzminister","haushaltsausschuß","nachtragshaushalt","rund","zahlen","länder","länder","ausgaben","bund","rund","haushaltsausschuß","kommunen","ausgaben","ausgaben","jahr","einzelplan","höhe","waigel","ausgaben","höhe","bundeshaushalt","schulden","höhe","mittel","höhe","investitionen","eichel","ausgaben","bundeshaushalt","investitionen","bundeshaushalt","öffentlichkeitsarbeit","prozent","mittel","steinbrück","koalition","prozent","schulden","ausgaben","schuldenbremse","neuverschuldung","mittel","neuverschuldung","einzelplan","prozent","prozent","mehr","einzelplan","etat","bund","etat","investitionen","jahr","mittel","ausgaben","jahr","länder","schulden","investitionen","mittel","bund","ausgaben"
