"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","wirtschaft","wirtschaft","bundeswirtschaftsminister","unternehmungen","deist","bundeswirtschaftsminister","deist","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","wirtschaft","kurlbaum","unternehmen","kohle","schiller","wirtschaft","kohle","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","strauss","aufschwung","wirtschaft","strauss","wirtschaft","wachstum","strukturpolitik","wachstum","investitionen","arbeitslosigkeit","biedenkopf","wirtschaft","bundesbank","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","investitionen","wirtschaft","wirtschaft","banken","marktwirtschaft","marktwirtschaft","treuhandanstalt","treuhandanstalt","treuhandanstalt","wirtschaft","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","mittelstand","mittelstand","mittelstand","deutschland","handwerk","deutschland","unternehmen","deutschland","deutschland","deutschland","unternehmen","unternehmen","unternehmen","aufschwung","unternehmen","unternehmen","unternehmen","krise","krise","handwerk","wirtschaft","wachstum","unternehmen","mittelstand","unternehmen","unternehmen","unternehmen","wirtschaft","abkommen","ceta","wirtschaft","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen"
"2","kohle","eisen","massnahmen","wettbewerb","bundeswirtschaftsminister","wirtschaft","bundeswirtschaftsminister","preisbindung","deist","deist","bundeswirtschaftsminister","kohle","wirtschaft","wirtschaft","kurlbaum","deist","kohle","wirtschaftspolitik","investitionen","konjunkturpolitik","unternehmen","wirtschaft","schiller","schmücker","wachstum","bundeswirtschaftsminister","ruhr","bundeswirtschaftsminister","schiller","aufwertung","schiller","stabilität","bundesbank","wirtschaft","wirtschaft","stabilität","inflation","bundesbank","bundesbank","inflation","wirtschaft","strauss","wirtschaft","investitionen","investitionen","wirtschaft","wirtschaft","wachstum","wirtschaft","wirtschaft","investitionen","zinsen","arbeitslosigkeit","arbeitslosigkeit","investitionszulage","investitionen","arbeitslosigkeit","wirtschaft","wirtschaft","wirtschaft","arbeitsplätze","investitionen","arbeitslosigkeit","arbeitsplätze","wirtschaft","arbeitslosigkeit","investitionen","wirtschaftspolitik","wirtschaft","unternehmen","investitionen","neuen","treuhand","unternehmen","unternehmen","wirtschaft","wirtschaft","wirtschaft","wirtschaft","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","deutschland","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","arbeitsplätze","wachstum","unternehmen","wachstum","deutschland","wachstum","unternehmen","unternehmen","deutschland","deutschland","aufschwung","unternehmen","aufschwung","krise","krise","unternehmen","unternehmen","wirtschaft","deutschland","unternehmen","deutschland","unternehmen","wirtschaft","wirtschaft","ceta","ceta","ceta","abkommen","unternehmen","siemens","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft"
"3","millionen","kohle","millionen","kartelle","ausschreibung","investitionen","preis","bundeswirtschaftsminister","hellwig","wirtschaft","kohle","konzentration","niedersachsen","deist","konzentration","wirtschaft","deist","bundeswirtschaftsminister","erhard","massnahmen","kohle","privatisierung","schmücker","wirtschaft","stabilität","wirtschaft","schiller","schiller","bundeswirtschaftsminister","schiller","wirtschaft","bundesbank","müllerhermann","stabilität","bundesbank","bundeskanzler","stabilitätspolitik","inflation","strauss","arbeitslosigkeit","friderichs","arbeitslosigkeit","aufschwung","wachstum","wirtschaft","investitionen","biedenkopf","arbeitslosigkeit","wachstum","wachstum","lambsdorff","wirtschaft","zinsen","investitionen","investitionen","arbeitslosigkeit","investitionen","investitionen","arbeitsplätze","zinsen","wirtschaft","politik","arbeitsplätze","politik","investitionen","arbeitsplätze","wachstum","arbeitslosigkeit","unternehmen","haussmann","steuererhöhungen","wirtschaft","wirtschaft","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","arbeitsplätze","wirtschaft","wirtschaft","wirtschaft","deutschland","deutschland","deutschland","wirtschaft","arbeitsplätze","wirtschaft","deutschland","deutschland","wachstum","unternehmen","mittelstand","deutschland","unternehmen","mittelstand","unternehmen","arbeitsplätze","arbeitsplätze","mittelstand","arbeitsplätze","arbeitsplätze","deutschland","deutschland","wirtschaft","arbeitsplätze","wachstum","brüderle","unternehmen","wachstum","wirtschaft","wirtschaft","wirtschaft","deutschland","mittelstand","ttip","unternehmen","ttip","unternehmen","abkommen","wirtschaft","abkommen","marktwirtschaft","industrie","arbeitsplätze","arbeitsplätze","arbeitsplätze","mittelstand"
"4","industrie","wirtschaftspolitik","wirtschaftspolitischen","industrie","massnahmen","massnahmen","kohle","hand","wirtschaft","unternehmen","privatisierung","bergbau","bundeswirtschaftsminister","bundeswirtschaftsminister","massnahmen","unternehmen","wirtschaft","kohle","entwicklung","bundesregierung","wirtschaft","wettbewerb","wirtschaft","bundesbank","wirtschaftspolitik","ruhr","wirtschaftspolitik","massnahmen","aufwertung","bundesbank","aufwertung","wirtschaft","wirtschaft","inflation","strauss","wirtschaft","stabilität","strauss","lambsdorff","bundesbank","investitionen","investitionen","investitionen","arbeitslosigkeit","strauss","wachstum","marktwirtschaft","wirtschaft","marktwirtschaft","investitionen","arbeitslosigkeit","lambsdorff","lambsdorff","bundesbank","wettbewerbsfähigkeit","arbeitsplätze","unternehmen","lambsdorff","lambsdorff","wachstum","investitionen","arbeitsplätze","politik","investitionen","unternehmen","wirtschaft","arbeitslosigkeit","wachstum","fusion","wirtschaft","lafontaine","investitionen","arbeitsplätze","investitionen","treuhand","arbeitsplätze","arbeitsplätze","arbeitsplätze","rexrodt","rexrodt","deutschland","deutschland","investitionen","arbeitslosigkeit","neuen","wirtschaftspolitik","ost","deutschland","wirtschaft","prozent","deutschland","prozent","unternehmen","handwerksordnung","clement","prozent","prozent","wachstum","wachstum","arbeitsplätze","mittelstand","glos","arbeitsplätze","arbeitsplätze","mittelstand","wirtschaft","brüderle","wachstum","krise","krise","mittelstand","mittelstand","deutschland","mittelstand","freihandelsabkommen","abkommen","ttip","unternehmen","gabriel","handel","mittelstand","altmaier","mittelstand","arbeitsplätze","altmaier","altmaier","marktwirtschaft","arbeitsplätze"
"5","wirtschaftspolitik","bundeswirtschaftsminister","westrick","bundeswirtschaftsminister","wirtschaftspolitik","bundesregierung","bergbau","kartellbehörde","kohle","bundeswirtschaftsminister","unternehmungen","unternehmen","privatisierung","eigentum","unternehmen","erhard","bergbau","deist","wettbewerb","kurlbaum","massnahmen","kurlbaum","bergbau","kohle","bundesbank","schiller","investitionen","wirtschaftspolitik","massnahmen","bundeswirtschaftsminister","stabilität","stoltenberg","stabilität","rezession","inflation","strauss","massnahmen","bundesfinanzminister","stabilitätspolitik","friderichs","bundesbank","aufschwung","rezession","wirtschaftspolitik","marktwirtschaft","arbeitslosigkeit","lambsdorff","nachfrage","sachverständigenrat","wirtschaftspolitik","wirtschaftspolitik","arbeitslosigkeit","bundesbank","arbeitsplätze","gemeinschaftsinitiative","lambsdorff","arbeitsplätze","arbeitsplätze","wachstum","protektionismus","wachstum","wirtschaft","wirtschaftspolitik","finanzpolitik","wirtschaftspolitik","wachstum","arbeitsplätze","arbeitsplätze","haussmann","währungsunion","arbeitsplätze","treuhand","unternehmen","wirtschaft","osten","solidarpakt","wachstum","lafontaine","wirtschaftspolitik","mittelstand","wachstum","wachstum","arbeitslosigkeit","wirtschaft","prozent","deutschland","prozent","prozent","wachstum","arbeitsplätze","prozent","deutschland","prozent","mittelstand","handwerk","arbeitsplätze","mittelstand","mittelstand","politik","wachstum","wachstum","mittelstand","wirtschaft","wirtschaft","marktwirtschaft","mittelstand","wirtschaft","aufschwung","brüderle","unternehmen","deutschland","wachstum","wachstum","investitionen","deutschland","wirtschaft","abkommen","stahlindustrie","ttip","arbeitsplätze","ceta","japan","startups","altmaier","investitionen","automobilindustrie","deutschland","transformation"
"6","arbeitslosigkeit","industrie","entwicklung","marktwirtschaft","entwicklung","entwicklung","deist","kurlbaum","stiftung","hellwig","wirtschaft","wirtschaft","unternehmungen","konzentration","burgbacher","wirtschaftspolitik","massnahmen","wirtschaftsbericht","marktwirtschaft","wirtschaftsbericht","bundeswirtschaftsminister","preisbindung","gutachten","stabilität","massnahmen","strukturpolitik","massnahmen","aufwertung","wirtschaftspolitik","müllerhermann","massnahmen","müllerhermann","aufwertung","preissteigerungen","stabilität","bundesbank","stabilitätsabgabe","konjunkturpolitik","stabilität","wirtschaft","programm","ehrenberg","arbeitslosigkeit","marktwirtschaft","arbeitslosigkeit","wirtschaftspolitik","arbeitslosigkeit","lambsdorff","lambsdorff","arbeitslosigkeit","kiep","kiep","investitionen","zinsen","arbeitslosigkeit","unternehmen","bundesbank","wachstum","unternehmen","wirtschaftspolitik","unternehmen","wachstum","unternehmen","wirtschaft","wachstum","politik","politik","unternehmen","wettbewerb","wirtschaftspolitik","wirtschaft","marktwirtschaft","marktwirtschaft","neuen","neuen","privatisierung","investitionen","privatisierung","industrie","neuen","arbeitslosigkeit","politik","wirtschaft","politik","arbeitsmarkt","arbeitslosigkeit","bundeskanzler","wachstum","prozent","wachstum","wirtschaft","wachstum","clement","wachstum","prozent","wachstum","arbeitsplätze","prozent","mittelstand","land","wirtschaft","deutschland","wachstum","marktwirtschaft","arbeitsplätze","marktwirtschaft","deutschland","wirtschaft","aufschwung","rösler","krise","opel","berufe","wachstum","abkommen","investitionen","standards","usa","wirtschaft","usa","arbeitsplätze","handel","altmaier","china","unternehmer","krise","wohlstand","marktwirtschaft"
"7","produktion","entwicklung","wirtschaftlichen","kartell","investitionen","kohle","entwicklung","deist","bergbau","bundesschatzminister","bergbau","deist","unternehmen","aktionäre","bundeswirtschaftsminister","arbeitnehmer","wirtschaftspolitik","energiepolitik","wirtschaftspolitik","preise","bergbau","unternehmungen","preise","stahlindustrie","bundeswirtschaftsminister","bergbau","bundeswirtschaftsminister","bundesbank","mittelständischen","jahreswirtschaftsbericht","wirtschaftspolitik","preissteigerungen","bundesregierung","bundesbank","wirtschafts","jahr","narjes","müllerhermann","ehrenberg","lambsdorff","arbeitslosigkeit","rezession","bundeskanzler","strauss","friderichs","jahreswirtschaftsbericht","jahreswirtschaftsbericht","bundesbank","unternehmen","jahreswirtschaftsbericht","wettbewerbsfähigkeit","ausland","matthöfer","investitionszulage","arbeitsplätze","graf","lambsdorff","unternehmen","wirtschaftspolitik","stoltenberg","wirtschaftspolitik","finanzpolitik","roth","unternehmen","roth","wirtschaftspolitik","weltwirtschaft","investitionen","bank","bundesrepublik","unternehmen","unternehmen","investitionen","arbeitsplätze","investitionen","investitionen","lafontaine","wirtschaftspolitik","wachstum","deutschland","lafontaine","prozent","politik","rexrodt","osten","politik","wachstum","banken","mittelstand","wirtschaft","arbeitsplätze","wirtschaft","wirtschaft","clement","arbeitsplätze","clement","clement","clement","prozent","wirtschaft","land","wachstum","mehr","mehr","deutschland","wirtschaftskrise","mittelstand","deutschland","mittelstand","politik","politik","rösler","freien","arbeitsplätze","wachstum","standards","gabriel","stahl","handel","freihandelsabkommen","usa","ceta","industriestrategie","automobilindustrie","krise","marktwirtschaft","industrie","wachstum"
"8","milliarden","stahlindustrie","industrie","unternehmungen","konjunkturpolitik","markt","hand","erhard","wirtschaftspolitik","privatisierung","wirtschaftspolitik","erhard","volkswagenwerk","unternehmungen","vermögensbildung","kurlbaum","investitionen","bergbau","massnahmen","aufwertung","steinkohlenbergbau","veba","bundeswirtschaftsminister","bergbau","investitionen","saar","saar","aussenwirtschaftlichen","bundesbank","wirtschaftspolitik","konjunktur","inflation","wirtschaftspolitik","wirtschaftspolitik","wirtschaftspolitik","regierung","konjunkturzuschlag","lambsdorff","müllerhermann","ehrenberg","müllerhermann","inflation","puerto","programm","wirtschaftspolitik","biedenkopf","sachverständigenrat","konjunktur","vollbeschäftigung","subventionen","leistungsbilanzdefizit","japan","arbeitsplätze","kiep","mehrwertsteuererhöhung","wachstum","roth","aufschwung","aufschwung","investitionen","bangemann","unternehmen","wachstum","zinsen","arbeitsplätze","unternehmen","finanzpolitik","roth","roth","wachstum","lambsdorff","bundesländern","bundesländern","bundesländern","arbeitsplätze","osten","privatisierung","arbeitslosigkeit","neuen","wirtschaftspolitik","mehr","arbeitslosigkeit","prozent","prozent","ostdeutschland","neuen","politik","arbeitslosigkeit","arbeitslosigkeit","wirtschaftspolitik","wirtschaftspolitik","arbeitslosigkeit","arbeitsplätze","betriebe","politik","mehr","opel","wirtschaft","bundeskanzler","bürokratieabbau","glos","wirtschaft","politik","mittelstand","investitionen","abwrackprämie","arbeitsplätze","arbeitsplätze","deutschland","mittelstand","arbeitsplätze","heil","industrie","industrie","investitionen","freihandelsabkommen","mittelstand","kanada","freihandelsabkommen","gabriel","marktwirtschaft","mittelstand","innovationen","mittelstand","marktwirtschaft","industrie","zukunft","deutschland"
"9","deutschen","behörde","bundeswirtschaftsminister","wirtschaftspolitik","wirtschaftlichen","konjunktur","unternehmungen","hellwig","behörde","aktien","entwicklung","heizölsteuer","wirtschaftspolitik","aufwertung","gesellschaftspolitik","aktionär","entwicklung","entwicklung","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaftspolitik","markt","massnahmen","wachstum","schiller","massnahmen","kohle","strukturpolitik","unternehmen","massnahmen","strukturpolitik","konjunktur","mai","aufwertung","jahreswirtschaftsbericht","vollbeschäftigung","strauss","preise","graf","wirtschaftspolitik","inflation","friderichs","°o","lambsdorff","wirtschafts","bundeswirtschaftsminister","nachfrage","inflation","biedenkopf","lambsdorff","bundesbank","investitionen","wirtschaftspolitik","lambsdorff","bundesbank","zinsen","zinsen","zinsen","investitionen","bundesbank","politik","zinsen","mehr","beschäftigung","bangemann","bangemann","wirtschaftspolitik","haussmann","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","neuen","sanierung","wirtschaftspolitik","ostdeutschland","wirtschaftspolitik","rexrodt","arbeitslosigkeit","ostdeutschen","investitionen","beschäftigung","mittelstand","investitionen","mittelstand","wachstum","arbeitsmarkt","holzmann","bundeskanzler","arbeitslosigkeit","arbeitslosigkeit","politik","arbeitslosigkeit","arbeitsplätze","wirtschaft","reformen","wirtschaft","müntefering","land","bürokratie","aufschwung","bürokratie","mittelstand","wachstum","politik","deutschland","politik","mittelstand","wachstum","brüderle","investitionen","bochum","marktwirtschaft","gabriel","ttip","deutschland","industrie","gabriel","kanada","sigmar","handel","arbeitsplätze","wettbewerb","wettbewerbsfähigkeit","industrie","mittelstand","investitionen","wettbewerb"
"10","eisen","montanunion","marktwirtschaft","wettbewerbs","deist","deist","preise","markt","unternehmungen","hand","aktien","heizöl","eigentum","volksaktie","erhard","preise","energiepolitik","bundesregierung","deist","wirtschaftspolitik","bundesregierung","schmücker","wirtschaftspolitik","bundeswirtschaftsminister","kohle","investitionen","wachstum","absicherung","stabilität","stabilität","wachstum","konjunkturpolitik","massnahmen","vollbeschäftigung","jahr","arbeitslosigkeit","konjunkturpolitik","massnahmen","bundeswirtschaftsminister","graf","bundeskanzler","müllerhermann","wirtschaftspolitik","vollbeschäftigung","inflation","marktwirtschaft","inflation","wirtschaftspolitik","matthöfer","unternehmen","graf","matthöfer","graf","mehrwertsteuererhöhung","wirtschaftspolitik","gewerkschaften","marktwirtschaft","roth","jahreswirtschaftsbericht","arbeitsplätze","roth","arbeitsmarkt","investitionen","stoltenberg","konjunktur","roth","unternehmen","politik","wachstum","bundesbank","wachstum","wirtschaftspolitik","betriebe","marktwirtschaft","ostdeutschland","treuhand","arbeitslosigkeit","aufschwung","ostdeutschland","ostdeutschland","beschäftigung","ostdeutschland","beschäftigung","wachstum","wirtschaft","mittelstand","wirtschaft","neuen","arbeitsmarkt","brüderle","steuerreform","wirtschaftspolitik","land","wirtschaft","mehr","wirtschaft","politik","arbeitslosigkeit","mehr","beschäftigung","mehr","bürokratieabbau","brüderle","meyer","glos","subventionen","wirtschaftspolitik","politik","arbeitsplätze","wirtschaftsminister","wettbewerbsfähigkeit","arbeitsplätze","handwerk","land","ceta","schiedsgerichte","arbeitsplätze","arbeitsplätze","sigmar","freihandel","abkommen","investitionen","arbeitsplätze","deutschland","mittelstand","deutschland","mittelstand","wohlstand"
