"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","abgeordneten","immunität","sontra","schmeißer","justiz","justiz","amnestie","justiz","verfahren","verfahren","juden","verbrechen","untersuchungshaft","justiz","justiz","höcherl","justiz","innern","justiz","justiz","justiz","justiz","zeitungen","zeitschriften","justiz","justiz","justiz","süsterhenn","ehmke","bauer","herr","prüfung","veba","absatzfonds","argentinischen","cma","film","herr","künstler","unterhaltszahlungen","künstler","künstler","kulturpolitik","berufe","enquetekommission","schulen","volksbegehren","künstler","gmbh","künstler","plenarsaal","erkel","libanon","libanon","berlin","besten","berlin","schulbauinstitut","herr","arzneimittel","roma","arzneimittel","fremdenverkehr","roma","center","antarktis","karibischen","banken","stiftung","entschädigung","treuhand","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","sport","ddr","vulkan","sket","ddr","bundesländern","neuen","neuen","ost","osten","ost","osten","ost","ost","ostdeutschland","ost","osten","ost","ost","ostdeutschland","bundesländern","ost","ostdeutschland","ostdeutschland","ost","osten","osten","ddr","ost","ddr","ost","ost","ostdeutschland","osten","netzneutralität","ost","ost","polen","einheit","ddr","osten","ost","ost","osten","osten","osten","ddr","einheit","helmut","ostdeutschland"
"2","abgeordneten","immunität","verfahren","eschwege","blankenhorn","untersuchungshaft","verfahren","justiz","strafverfahren","august","justiz","justiz","verjährung","justiz","disziplinarstrafen","beschwerde","strauß","bucher","argoud","presse","bucher","weber","bülow","justiz","justiz","heinemann","zeitungen","pick","untersuchungsausschuß","eid","ehmke","zoglmann","steuerverwaltung","privatisierung","cma","argentinien","besoldungsgruppen","wohlrabe","strafvollstreckung","kunst","grenzbelastung","kulturpolitik","tourismus","picard","beschwerden","verfassungsreform","kulturpolitik","volksentscheid","ausland","versicherungsnehmer","gesellschafter","bauten","beratungsstelle","beratungsstelle","israel","israel","gefährdungshaftung","schwangerschaft","mitsprache","verlagern","arzneimitteln","sinti","jaunich","tourismus","sinti","document","kernwaffenstaaten","sinti","bank","salzgitter","pds","treuhandanstalt","treuhandanstalt","treuhand","treuhand","treuhand","treuhand","ddr","ddr","ostdeutschen","bremer","ostdeutschen","ostdeutschen","ostdeutschen","ddr","ost","neuen","neuen","osten","neuen","bundesländern","bundesländern","ost","osten","ost","ostdeutschland","ostdeutschland","ost","ost","ostdeutschland","ost","ost","osten","bundesländern","ost","ost","ostdeutschland","osten","osten","osten","osten","ost","telekom","osten","osten","ddr","ost","film","ost","west","osten","buchpreisbindung","ostdeutschland","ddr","thüringen","osten","kohl","osten"
"3","geschäftsordnung","justiz","abgeordneten","arndt","ziebell","bundesgerichtshof","preisüberhöhung","drüben","ermittlungsverfahren","scharley","strack","volksverhetzung","justiz","schäffer","staatsanwaltschaft","oberstaatsanwalt","innern","untersuchungshaft","justiz","zeugnisverweigerungsrecht","bundesminister","bundesminister","bundesminister","gegenseitigkeit","zeitungen","ausstellung","ehmke","ehmke","hs","schwöre","kassel","ehmke","schwächsten","kapitalerhöhung","absatzförderung","kabinett","gaus","filmwirtschaft","staatsbürgerliche","künstlerischen","transfer","kunst","publizisten","auswärtigen","beschwerdestelle","beschwerdestelle","ausland","ausland","autoren","bocksbeutel","reden","abbuchungen","beschwerden","schulze","palästinenser","berliner","bezug","filix","lediglich","spürbare","arzneimittelsicherheit","emden","patienten","grenze","arzneimittel","wiedergutmachung","nichtverbreitungsvertrages","roma","entschädigung","antarktis","eigentum","rückgabe","entschädigung","entschädigung","privatisierung","privatisierung","ddr","treuhand","rückgabe","altschulden","bvs","bundesländern","altschulden","neuen","ost","ostdeutschen","ostdeutschen","ostdeutschland","neuen","ost","neuen","osten","osten","bundesländern","neuen","neuen","osten","osten","neuen","ii","neuen","regionen","ostdeutschland","neuen","ostdeutschland","einheit","osten","ostdeutschland","west","west","rentenversicherung","einheit","internet","ostdeutschland","west","einheit","ddr","ost","west","osten","einheit","buch","ostdeutschen","ostdeutschland","osten","ddr","osten","ddr"
"4","ausschuß","genehmigung","vulkan","hessischen","verfahren","strafverfahren","wirtschaftsstrafgesetzes","verfahren","angeklagten","schroth","richter","dam","verjährungsfristen","hauptverhandlung","festnahme","schwarzfahrten","ahlers","bundesminister","bundesminister","höcherl","dr","dr","presse","zeitschriften","heinemann","bundesjustizminister","zeitschriften","bundesversammlung","zeugin","bundesminister","würzburg","staatssekretär","gravierenden","schlaglöcher","absatzfondsgesetzes","ja","chile","datenverarbeitung","kmh","filme","guthaben","kommission","berufe","auswärtige","bundesvermögensverwaltung","ostdeutschen","rahmenplan","kultur","künstlern","fränkische","witwenrente","hauptstadt","reinhold","prowe","schäfer","stadt","wahrnehmung","konzentrationslagern","herr","lassen","selbstbedienung","ostfriesland","arzneimittelsicherheit","roma","illegaler","stiftung","nichtverbreitungsvertrag","document","antarktis","ag","vermögen","entschädigung","wismut","privatisierung","chemnitz","deponie","privatisierung","privatisierung","neuen","bundesländern","ostdeutschen","ddr","sanierung","ddr","ostdeutschland","bundesländern","aufbau","ost","bundesländern","bundesländern","osten","neuen","neuen","neuen","werften","bundesländern","sachsen","ostdeutschen","osten","neuen","bundesländern","bundesländern","neuen","ostdeutschland","west","west","seen","einheit","ddr","ddr","ost","west","ost","einheit","ostdeutschland","ghetto","west","west","bonn","ddr","westen","bücher","ddr","ost","einheit","akten","einheit","enquetekommission"
"5","ausschusses","herrn","strafverfahren","immunität","angeklagten","zeugen","verwaltungsbehörde","staatsautorität","immunität","verhandlung","botschafter","handlung","strafverfolgung","bundesjustizminister","personalakten","sauter","zusatzfrage","dr","höcherl","bucher","zentralen","zentralen","verfahren","staatsanwaltschaft","vorgänge","strafverfolgung","herr","heinemann","zeugen","wahr","vermerk","referat","irrtümer","deutscher","ernährungswirtschaft","freien","schön","daten","abgeleitet","künstlern","hilfeleistung","kulturelle","urlaub","enquetekommission","reise","kulturpolitik","auslandsschulen","stiftung","lattmann","fränkischen","spielzeug","architektur","christine","palästinenser","israels","wertschöpfung","schwere","abbruch","text","apotheken","arzneimittelgesetz","pharmaindustrie","roma","mainz","subunternehmer","opfern","mineralischen","entwicklungsbank","wiedergutmachung","preussag","gedenkstätte","liste","privatisierung","alteigentümer","wismut","bischofferode","ostdeutschen","eigentum","ostdeutschen","neuen","ddr","neuen","neuen","ostdeutschland","osten","ostdeutschland","osten","ostdeutschen","ostdeutschen","länder","ostdeutschen","sachsenanhalt","bundesländern","streik","bundesländern","aufbau","ostdeutschen","neuen","pds","aufbau","osten","bonn","einheit","ost","westen","osten","west","ost","westen","westen","westen","ostdeutschen","bundesnetzagentur","west","westen","ghettorente","osten","netzneutralität","film","geschiedenen","ostdeutschland","einheit","treuhand","ostdeutschen","sed","haribo","ddr","einheit"
"6","herrn","wahlprüfung","genehmigung","herr","reifferscheidt","verurteilte","mangellage","kommunistischen","beleidigung","konsumgüterwirtschaft","bundesjustizminister","schäffer","juden","reform","verhängt","staatsanwälte","bundesminister","herr","zusatzfrage","haftgrund","zusatzfrage","bundesjustizminister","bucher","jaeger","staatsanwaltschaft","rollmann","polizei","hofmann","staatsanwaltschaft","gott","sicherungsgruppe","treu","nachrichtenmagazin","experimenten","zmp","gesetzgebungsarbeit","abstand","filmförderung","entlastet","film","vorndran","auswärtigen","künstlerischen","goetheinstituts","ehemaligen","kultur","auswärtigen","auswärtigen","schriftsteller","kunst","pfeifer","planung","postverkehr","libanesischen","israelischen","arbeiter","ostwestkonflikts","zuwendungen","materien","zustände","vertriebenenverbände","dollarthafen","sinti","sinti","arzneimitteln","grube","antarktischen","terminbörse","stiftung","banken","volkskammer","unternehmen","vermögen","rückgabe","sport","schönberg","gysi","neuen","mauer","kommunen","werften","ostdeutschland","ostdeutschland","ost","bundesländern","schwanitz","bundesländern","bundesländern","einheit","ostdeutschland","ostdeutschland","sachsen","aufbau","ostdeutschland","ostdeutschland","osten","bundesländern","regionen","baumann","osten","ostdeutschen","osten","bundesländern","regionen","ostdeutschen","ostdeutschland","ostdeutschen","westen","ostdeutschland","ostdeutschland","west","ostdeutschland","tkg","ostdeutschen","renten","nutzer","ostdeutschland","rentenrecht","westen","angleichung","lebensverhältnisse","ostdeutschland","ost","thüringen","westen","ost","ost","lebensverhältnisse"
"7","justiz","dr","dr","belegschaft","immunität","förderergesellschaften","unangemessen","staatssicherheit","ziebell","justiz","blankenhorn","verfahren","staatsanwaltschaft","staatsanwaltschaft","arreststrafe","stammberger","gerstenmaier","höcherl","strauß","innern","verfahren","landesjustizverwaltungen","beruhigungszellen","austausch","presse","dr","moersch","zeitungen","referat","helfe","hörmann","staatsminister","vorkommt","radioaktive","aufsichtsrat","schwarzer","ravens","filme","bewerber","fernsehen","berufsordnung","mittlerorganisationen","reisen","auszeichnung","reiseveranstalter","beschwerden","auswärtige","volksvertretungen","auswärtigen","versicherungsunternehmen","geliefert","einzugsermächtigungsverfahren","franke","postverkehr","böhm","stehenden","neubeginn","aufgehoben","bundesregierungen","senat","medikamente","hafen","arzneimittelmuster","tschechoslowakische","beer","messel","moratorium","karibik","vollmer","entschädigung","opfer","pdslinke","pds","sanierung","ag","kali","grundstücke","sport","bundesländern","ostdeutschland","altschulden","bvs","bundesländern","bodenreform","pds","metro","einheit","ddr","ostdeutschland","ostdeutschen","west","aufbau","stolpe","sachsen","ostdeutschen","regionen","neuen","bundesländern","übersicht","regionen","einheit","ostdeutschen","regionen","einheit","bundesländern","bundesländern","einheit","west","einheit","einheit","rente","grw","osten","bundesnetzagentur","ostdeutschen","ost","netzneutralität","osten","ostdeutschen","westen","west","lebensverhältnisse","westen","west","ramelow","wiedervereinigung","west","ost"
"8","dr","strafverfahren","weis","euler","strafverfahren","gerichtliche","strafverfahren","gerichte","verfahren","sowjetzone","staatsanwaltschaft","strafgesetzbuches","verjährungsfrist","verteidiger","verfolgung","bundesminister","fragestunde","strauß","gerstenmaier","journalisten","gerstenmaier","bauer","zusatzfrage","niedrigen","zeitschrift","verfolgung","bewaffneten","dr","kern","herr","wirtschaftskrise","glaube","würzburg","jegliche","aufgaben","zerredet","los","datenschutz","zwischenfrage","berufe","lohnsteuerhilfevereine","kultur","reiseveranstalter","lattmann","wimmer","bericht","stiftung","kulturpolitik","auswärtige","parlamentsreform","kriterien","kulturpolitik","behinderungen","behinderungen","israelis","begrüßt","meinungsunterschiede","abtreibung","wettbewerbsverzerrung","antworten","arzneimittelmarkt","diskriminierung","arzneimittelgesetzes","urlaub","firmen","entschädigung","ressourcen","bank","zwangsarbeit","gedenkstätte","treuhandanstalt","privatisierung","eigentum","eigentum","kommunen","mecklenburgvorpommern","neuen","ostdeutschen","sports","bvs","mauer","altschulden","kommunen","ostdeutsche","ostdeutschen","osten","ddr","einheit","aufbau","aufbau","einheit","ostdeutschland","ostdeutschen","ostdeutschen","mecklenburgvorpommern","ga","stolpe","aufbau","west","ostdeutschen","regionen","neuen","west","westen","einheit","bvvg","ddr","ostdeutschen","ostdeutschen","lohnunterlagen","renten","angleichung","west","ghetto","breitbandausbau","ostdeutschen","ostdeutschen","filme","filme","einheit","platz ","ost","west","einheit"," jahre","ostdeutschen","ostdeutschen","seddiktatur"
"9","aufhebung","dehler","odenthal","dr","dehler","justizbeitreibungsordnung","bundesdisziplinarordnung","gefangenen","dr","angeklagten","hallstein","vermögens","verfahren","strafprozeßordnung","truppendienstrichter","ermittlungen","herr","beschuldigten","herr","wiederholungsgefahr","verfolgung","herr","material","herr","bundesminister","herr","gegenseitigkeit","paß","schaden","leisten","versicherung","kräfte","gediehen","berlin","aufhebung","argentinische","bitte","glotz","einstellung","erwerbstätigen","zuständigkeiten","enquetekommission","kunst","kunst","massentourismus","vertriebenen","enquetekommission","konsularvertrag","kunst","weinwirtschaft","nächsten","parlaments","granzow","stercken","melsungen","berlinförderungsgesetzes","genehmigt","verblendung","frühen","reuter","apotheken","dollart","arzneimittelgesetz","dick","auftragnehmer","gerster","rohstoffaktivitäten","vollmer","bankenmacht","stadt","antrag","neuen","rückgabe","unternehmen","sanierung","rückgabe","unternehmen","einigungsvertrag","wurden","einigungsvertrag","verbund","kommunen","hacker","leipzig","aufbau","aufbau","ostdeutschland","ostdeutsche","west","maßstäbegesetz","aufbau","bundesländer","sachsen","bundesländer","bundesländer","west","einheit","sachsen","ostdeutschland","bundesländern","investitionszulage","west","westen","ddr","neuen","ostdeutschen","neuen","rentenüberleitung","neuen","ostdeutschen","ddr","neuen","rente","westen","angleichung","westen","rentenrecht","bundesnetzagentur","ostdeutschland","rentenrecht"," prozent","west","bundesbehörden","westen","ostdeutschland","ostdeutschland","ostdeutschland","west"
"10","schreiben","september","wahlprüfung","zollbeamten","schreiben","untersuchungsgefangenen","hauptverhandlung","zone","gefangenen","gericht","urteil","generalsekretär","verfolgung","strafverfahren","einzutragen","wegen","bundesanwaltschaft","ermittlungen","rechtshilfeersuchen","untersuchungshaft","minister","justizminister","wegen","zeitungsaustausch","herr","parlamentarischer","landtag","haase","lenz","herrn","freiburg","damen","bundesrechnungshof","stücklen","befristung","unbestimmte","einleiten","films","dr","künstlerbericht","bundesregierung","sprache","künstlern","künstlerischen","schutzbauwerke","kommission","konrad","vertriebenen","kulturellen","autoren","gesagt","selbstdarstellung","ermittlungen","beschwerden","palästinensischen","versetzen","israel","zumutung","fanatismus","wiederholen","arzneimittelgesetzes","arzneimittel","arzneimitteln","mainzer","frau","opfer","schily","center","opfer","zwangsarbeiter","vollmer","eigentümer","kommission","neuen","gmbh","vermögensabgabe","ostdeutschland","entschädigung","sportbericht","ost","mecklenburgvorpommern","enteignungen","sachsen","sachsenanhalt","westen","ddr","schwanitz","aufbau","westen","ländern","ammendorf","ostdeutschen","west","stundenwoche","einheit","bundesländer","regionen","einheit","einheit","west","west","westen","ostdeutschen","bundesländer","angleichung","seen","bvvg","bundesländern","angleichung","rentenversicherung","einheit","westen","verordnung","regionen","einheit","polnischen","wiedervereinigung","kinos","angleichung","ostdeutschland","damen","ostdeutschen","ostdeutsche","ostdeutsche","aufstand","west","westen","ostdeutschen"
