"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sagen","ja","ja","ja","ja","ja","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","gesagt","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","gesagt","gesagt","gesagt","sagen","sagen","sagen","sagen","sagen","herr","herr","sagen","sagen","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","sagen","sagen","sagen","herr","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","mal","sagen","sagen"
"2","ja","sagen","sagen","sagen","sagen","sagen","kollege","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","sagen","sagen","gesagt","gesagt","herr","gesagt","herr","sagen","sagen","herr","herr","sagen","sagen","herr","herr","gesagt","herr","gesagt","herr","herr","gesagt","herr","gesagt","herr","gesagt","herr","herr","herr","herr","herr","herr","gesagt","gesagt","herr","gesagt","gesagt","gesagt","herr","herr","herr","herr","herr","herr","herr","sagen","herr","herr","herr","herr","sagen","herr","herr","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","herr","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ja","ja","mal","mal","sagen","mal","mal"
"3","herr","kollege","kollege","kollege","kollege","kollege","ja","kollege","ja","kollege","ja","kollege","kollege","kollege","kollege","kollege","ja","kollege","kollege","kollege","kollege","gesagt","gesagt","kollege","kollege","ja","ja","ja","ganz","heute","heute","herr","herr","herr","herr","heute","herr","herr","herr","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","gesagt","herr","gesagt","gesagt","herr","gesagt","herr","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","ja","gesagt","herr","herr","herr","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","herr","ja","ja","herr","ja","gesagt","mal","gesagt","ja","ja","ja","ja"
"4","kollege","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","ja","kollege","herr","ja","herr","ja","herr","kollege","herr","ganz","ganz","gar","damen","ja","ja","ja","heute","ganz","ganz","ja","damen","herr","heute","regierung","kollege","heute","damen","heute","ja","kollege","ja","damen","ja","ja","ja","ja","ja","ja","ja","ja","ja","bundeskanzler","reden","heute","ganz","ganz","ja","reden","sage","heute","heute","heute","heute","heute","heute","heute","ja","ja","herr","ja","ja","ja","ja","gesagt","ja","ja","ja","ja","ja","ja","ja","ja","tun","sage","tun","reden","tun","ganz","tun","ja","wirklich","wirklich","tun","hätten","heute","wirklich","darüber","tun","ganz","tun","immer","tun","tun","thema","eigentlich","immer","kollege","sage","frau","tun","ganz","tun","kollege","kollege","finde","ja","ja","ja","herr","herr","ganz","eigentlich","mal","gesagt","ja","gesagt","gesagt","gesagt","gesagt"
"5","dinge","herr","gar","herr","gar","gar","dinge","dinge","gar","herr","ganz","dinge","ganz","ja","dinge","ja","herr","ja","gar","ja","herren","herren","damen","damen","herren","damen","heute","heute","herr","herren","herren","ja","heute","opposition","regierung","herr","kollege","damen","damen","herren","herren","herren","kollege","kohl","bundeskanzler","kollege","bundeskanzler","bundeskanzler","strauss","ganz","ja","heute","ja","heute","reden","sage","eigentlich","heute","ganz","ja","ja","eigentlich","herren","eigentlich","ja","eigentlich","eigentlich","eigentlich","sage","wirklich","wirklich","sage","ganz","ganz","kollege","reden","sage","sage","sage","kollege","reden","sage","tun","ganz","tun","schon","reden","finde","hätten","ja","hätten","wirklich","wirklich","opposition","heute","tun","ganz","hätten","heute","geht","immer","immer","reden","ja","eigentlich","sage","eigentlich","sage","frau","frau","ganz","tun","frau","tun","wirklich","finde","wirklich","eigentlich","wirklich","ja","herr","eigentlich","glaube","reden","glaube","glaube","glaube","glaube"
"6","gar","gar","herr","ganz","herr","dinge","ganz","ganz","dinge","gar","herr","ja","gar","ganz","gar","gar","ganz","gar","glaube","gar","ganz","gar","herren","herren","ganz","herren","herren","kollege","kollege","ganz","ganz","opposition","opposition","debatte","opposition","opposition","opposition","kollege","herren","kollege","ja","kollege","heute","kollege","kohl","kohl","kohl","heute","heute","heute","reden","ganz","ganz","reden","heute","heute","ja","reden","ja","sage","ganz","reden","ja","kollege","eigentlich","heute","sage","reden","wirklich","eigentlich","sage","ganz","sage","sage","sage","kollege","kollege","ganz","tun","reden","ganz","wirklich","reden","reden","sage","ganz","tun","ja","wirklich","ganz","tun","hätten","heute","hätten","hätten","heute","immer","wirklich","merkel","tun","hätten","darüber","immer","schon","tun","finde","kollege","tun","sage","sage","kollege","ganz","ganz","ganz","ganz","eigentlich","finde","finde","eigentlich","wirklich","schon","herr","schon","herr","schon","schon","finde","antrag"
"7","gesagt","dinge","dinge","gar","ganz","herr","gar","herr","herr","ganz","gar","ganz","dinge","gar","ganz","ganz","dinge","dinge","dinge","heute","damen","ganz","ganz","debatte","herr","kollege","damen","herren","vielleicht","herr","reden","damen","kollege","heute","kollege","ja","ja","herren","ja","opposition","kollege","heute","damen","bundeskanzler","reden","heute","reden","kohl","bundeskanzler","reden","ganz","ja","eigentlich","herren","damen","reden","heute","gar","herren","eigentlich","reden","ja","eigentlich","herren","herren","wirklich","reden","wirklich","eigentlich","ganz","eigentlich","wirklich","wirklich","wirklich","wirklich","wirklich","wirklich","wirklich","wirklich","tun","kollege","reden","ganz","ja","ja","wirklich","schon","reden","reden","tun","ja","schon","tun","reden","herrn","geht","müssen","heute","ganz","schon","müssen","thema","eigentlich","geht","sage","schon","schon","kollege","schon","kollege","frau","eigentlich","damen","sage","schon","wirklich","glaube","ganz","finde","eigentlich","wirklich","schon","eigentlich","glaube","reden","eigentlich","bisschen","kollege"
"8","ganz","gesagt","ganz","dinge","dinge","ganz","herr","gar","ganz","dinge","dinge","gar","immer","dinge","herr","dinge","gar","ganz","eigentlich","dinge","ja","ja","debatte","ganz","möchte","möchte","möchte","herr","heute","ja","kollege","herren","debatte","damen","damen","regierung","regierung","opposition","heute","damen","heute","damen","herren","heute","kollege","bundeskanzler","ganz","ganz","reden","gar","sage","herren","rede","eigentlich","bundeskanzler","kollege","damen","ganz","gar","reden","schon","sage","wirklich","sage","reden","sage","heute","sage","ganz","sage","hätten","schon","eigentlich","eigentlich","eigentlich","sage","reden","geht","kollege","ganz","tun","immer","finde","sage","frage","hätten","wirklich","wirklich","tun","hätten","reden","heute","reden","tun","geht","wirklich","geht","debatte","müssen","sage","eigentlich","debatte","wirklich","tun","wirklich","immer","tun","ganz","geht","schon","geht","frau","glaube","glaube","glaube","glaube","ganz","glaube","ganz","glaube","immer","finde","herr","wirklich","eigentlich","thema","ganz","schon"
"9","glaube","vielleicht","vielleicht","vielleicht","schon","schon","weiss","tun","weiss","genau","immer","weiss","herr","immer","immer","möchte","eigentlich","glaube","ja","herren","heute","heute","möchte","heute","damen","ganz","herr","damen","möchte","debatte","sage","kollege","reden","ja","ja","bundeskanzler","herren","heute","bundeskanzler","ganz","opposition","bundeskanzler","bundeskanzler","opposition","heute","opposition","kollege","kollege","eigentlich","bundeskanzler","partei","sage","wirklich","damen","herren","rede","kollege","eigentlich","eigentlich","herren","herren","herren","damen","ja","kollege","reden","gar","heute","reden","tun","ganz","reden","geht","geht","ganz","ganz","ganz","reden","ganz","sage","finde","ganz","kollege","wissen","ganz","ja","ja","debatte","sage","debatte","sage","ganz","wahrheit","kollege","darüber","ganz","darüber","geht","geht","hätten","debatte","schon","tun","thema","kollege","tun","geht","geht","ganz","tun","damen","schon","ja","eigentlich","tun","ganz","eigentlich","gar","glaube","schon","darüber","glaube","reden","thema","ganz","finde","schon","herr"
"10","schon","schon","schon","weiss","vielleicht","vielleicht","tun","weiss","wissen","wissen","wissen","schon","weiss","heute","glaube","genau","herren","heute","herr","damen","möchte","herr","herr","herr","heute","debatte","kollege","gar","herren","möchte","damen","ganz","ja","herren","barzel","kollege","damen","strauss","ganz","bundeskanzler","bundeskanzler","strauss","eigentlich","herren","eigentlich","reden","heute","eigentlich","gar","überhaupt","debatte","bundeskanzler","reden","ja","sage","gar","herren","kollege","damen","kollege","eigentlich","damen","reden","tun","tun","gar","kollege","ganz","tun","reden","schon","eigentlich","reden","schon","reden","tun","geht","gar","geht","müssen","sage","frage","geht","schon","wissen","sage","hätten","sage","ganz","thema","heute","reden","sage","schon","tun","müssen","heute","tun","immer","ganz","schon","reden","geht","debatte","schon","eigentlich","hätten","schon","kollege","eigentlich","sage","ja","herren","kollege","frau","immer","schon","gibt","schon","gar","ganz","gar","darüber","eigentlich","bisschen","ganz","eigentlich","thema"
