"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","heimatvertriebenen","vertriebenen","zonenrandgebiet","sontra","flüchtlinge","vertriebenen","flüchtlinge","vertriebenen","flüchtlinge","flüchtlinge","zonenrandgebiet","vertriebenen","flüchtlinge","flüchtlinge","flüchtlinge","rehs","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","sport","novelle","sport","novelle","olympischen","herold","novelle","lastenausgleichs","flüchtlinge","unterhaltshilfe","herold","sport","sports","leistungssport","sport","bundeszentrale","sport","behindertensport","sommerzeit","dsb","sommerzeit","sport","sport","sport","olympischen","bundesergänzungszuweisungen","schweiz","sportvereine","sport","sport","her","genäht","parteien","parteien","parteien","parteien","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","mitglieder","untersuchungsausschuss","untersuchungsausschuss","schäuble","brasilien","untersuchungsausschuss","untersuchungsausschuss","rüstungsexporte","bnd","schiff","untersuchungsausschuss","deponie","untersuchungsausschuss","untersuchungsausschuss","dzt","untersuchungsausschuss","vulkan","sket","kontrolle","banken","gres","metro","untersuchungsausschuss","sport","hessischen","untersuchungsausschuss","vereine","untersuchungsausschuss","untersuchungsausschuss","sport","akten","sport","untersuchungsausschuss","sport","untersuchungsausschuss","untersuchungsausschuss","petitionen","sport","sport","olympischen","dat","sport","sport","sport","sport","barrierefreiheit","sport","behinderung","sport","behinderung","petitionen","sport","sport","barrierefreiheit","sport","petitionen","behinderungen","sport","wahlrecht","ehrenamt","thw","behinderungen","petitionen","antidiskriminierungsstelle"
"2","vertriebenen","flüchtlinge","vertriebenen","vertriebenen","vertriebene","flüchtlinge","aussiedler","flüchtlinge","vertriebenen","eingliederung","zonenrandgebieten","heimatvertriebenen","vertriebenen","vertriebenen","hauptentschädigung","vertriebenen","vertriebenen","zone","novelle","flüchtlinge","vertriebene","wiedergutmachung","lemmer","flüchtlinge","flüchtlinge","sports","flüchtlinge","olympischen","entschädigung","spiele","innerdeutsche","flüchtlinge","fircks","unterhaltshilfe","spiele","münchen","flüchtlinge","sportförderung","bundesausschuss","sports","vereine","sports","sport","stiftung","übungen","behinderungen","granzow","widerspruchslösung","gemeinnützigkeit","sport","teilnahme","architekten","spenden","warenkorb","sports","dimension","gäck","parteienfinanzierung","untersuchungsausschuss","spenden","untersuchungsausschuss","untersuchungsausschusses","flick","mainz","untersuchungsausschuss","transnuklear","journalisten","libyen","libyen","gansel","südafrika","irak","stavenhagen","waffen","koko","dienste","blut","koko","untersuchungsausschuss","guernica","bremer","bnd","vorstand","unternehmen","bremer","werften","kiep","kohl","akten","cdu","werften","kirch","möllemann","grossveranstaltungen","untersuchungsausschuss","sportförderung","untersuchungsausschusses","sports","petitionsausschuss","kontrollgremium","petitionsausschuss","doping","petitionen","sport","de","untersuchungsausschuss","sportanlagen","petitionsausschuss","frauenfussball","barrierefreien","behinderung","sport","behinderung","menschen","petitionsausschuss","behinderung","doping","petition","behinderungen","petitionsausschuss","teilhabe","petitionsausschuss","behinderung","stiftung","menschen","petitionen","barrierefreiheit","sport"
"3","menschen","eingliederung","eingliederung","eingliederung","oberländer","eingliederung","vertriebene","sowjetzonenflüchtlinge","oberländer","evakuierten","zonenrandgebiete","glaubhaft","vertriebene","zonenrandgebiet","unterhaltshilfe","unterhaltshilfe","personenkreis","vertriebenen","unterhaltshilfe","unterhaltshilfe","kriegsgeschädigte","flüchtlinge","novelle","rehs","vertriebenen","novelle","sport","sports","flüchtlinge","novelle","barm","gleichstellung","ddr","aufbaudarlehen","olympischen","schüsse","vertriebenen","sport","bundesausschusses","sportkonferenz","vereinen","stiftung","hauser","berlin","jentsch","beschwerdestelle","asylbewerber","einwilligungslösung","vereinen","sportler","freistaat","ingenieure","meinike","ersichtlich","schirmer","unbedingt","privater","untersuchungsausschuss","flick","amnestie","spenden","boenisch","parteien","verhaltensregeln","parlamentarischen","akten","untersuchungsausschüsse","firmen","firmen","brasilien","gansel","exporte","irak","kontrolle","schalck","pkk","untersuchungsausschusses","schalckgolodkowski","bnd","untersuchungsausschusses","bvs","bvs","schafe","bury","altersvorsorge","schiffbau","merkel","untersuchungsausschuss","übernahmen","landowsky","vereinen","cdu","untersuchungsausschusses","akten","leipzig","sports","einsetzung","untersuchungsausschuss","untersuchungsausschusses","elmasri","journalisten","sportler","olympischen","petitionen","sport","petitionen","sports","petitionen","fussball","sport","olympischen","menschen","menschen","behinderungen","menschen","doping","behinderung","menschen","menschen","petition","menschen","petitionen","petitionen","engagement","helferinnen","petition","sport","behinderung"
"4","flüchtlinge","heimatvertriebenen","massnahmen","flüchtlinge","heimatvertriebenen","sowjetzonenflüchtlinge","vertriebenen","oberländer","lager","vertriebenen","vertriebenen","vertriebene","weltflüchtlingsjahr","hauptentschädigung","novelle","flüchtlinge","lastenausgleich","korspeter","flüchtlinge","weber","novelle","entschädigung","vertriebenen","lastenausgleich","vertriebene","entschädigung","heimatvertriebenen","spiele","häftlinge","vertriebenen","spiele","fircks","spiele","ausgleichsfonds","sport","zonengrenze","stiftung","evers","gabe","sportförderung","sport","vereine","parteien","olympischen","sportbund","schirmer","aktionsprogramms","brd","vereine","olympische","olympischen","besetzung","athen","zusatzfrage","schwarz","abgrenzungen","darzulegen","untersuchungsausschusses","schröder","parteienfinanzierung","flick","spenden","parlamentarischen","lappas","gremium","center","material","gansel","ermittlungen","firmen","firmen","illegalen","waffen","firma","koordinierung","kontrollkommission","rüstungsexporte","untersuchungsausschusses","plutonium","ddr","werften","pkk","firmen","transparenz","unternehmen","divag","cdu","werften","cdu","berliner","ehrenamtlich","sport","affäre","untersuchungsausschuss","hirsch","kaster","sport","sportförderung","fischer","nachrichtendienste","untersuchungsausschuss","nada","petitionsausschuss","petitionsausschuss","un","petitionsausschuss","olympischen","bäume","sports","mad","behinderungen","behinderungen","barrierefreiheit","teilhabe","behinderungen","petitionen","sportler","behinderung","behinderung","sport","behinderung","esport","petitionsausschuss","behinderungen","petition","petitionsausschuss","petitionsausschuss","behinderungen"
"5","land","heimat","heimatvertriebenen","eschwege","kriegsgeschädigte","heimatvertriebenen","oberländer","eingliederung","eingliederung","landfrauen","junghans","oberländer","oberländer","novelle","vertriebenen","lastenausgleichsgesetz","betroffenen","gleichstellung","hirsch","milliarden","heimatvertriebenen","milliarden","entschädigung","schätzungen","aschaffenburg","leibeserziehung","promille","flüchtlinge","schäden","vereine","olympischen","vertriebenen","innerdeutsche","lastenausgleichsgesetzes","fircks","innerdeutsche","ruhrkohle","bundessportplan","sport","vereine","monopolstellung","sporthilfe","organisationen","sportorganisationen","wiesbaden","postverkehr","meinecke","spendenbereitschaft","sports","spiele","sport","zusatzfrage","spendenbescheinigungskompetenz","staatssekretär","sportförderung","ablösung","erfolg","demokratie","akten","untersuchungsausschuss","unabhängigkeit","einsetzung","kontrollkommission","parlamentarischen","untersuchungsausschusses","firma","untersuchungsausschussgesetz","jordanien","beteiligung","südafrika","bundesregierung","möllemann","israel","bundesregierung","kommerzielle","schönberg","blutprodukte","mfs","willy","schmidbauer","verbund","kontrolle","kontrolleure","gres","banken","kontrolle","aufklärung","bundesdruckerei","hessen","werften","übungsleiterpauschale","kohl","fdp","sports","olympischen","olympischen","spiele","vereine","uhl","bnd","bnd","sports","journalisten","spiele","is","akten","de","petition","fussballweltmeisterschaft","tourismus","spiele","nada","olympischen","sport","sport","sports","integrationsbetriebe","petitionsausschuss","eingliederungshilfe","menschen","inklusion","behinderungen","gemeinnützigkeit","menschen","bevölkerungsschutz","menschen","petition","menschen"
"6","bayern","bauern","zonenrandgebieten","heimatvertriebenen","vertriebenen","evakuierten","mittelbetriebe","vertriebene","vertriebene","flüchtlingen","bundesdurchschnitt","österreichischen","kriegsgeschädigte","geschädigten","zone","vertriebene","spdbundestagsfraktion","vertriebene","verfolgten","ansprüche","vertriebenen","hauptentschädigung","hirsch","leistungen","heimatvertriebenen","vereinen","sportmedizin","vertriebene","sport","komitee","flüchtlinge","hauptentschädigung","rassendiskriminierung","fircks","kriegsschadensrente","politische","saarland","breitensport","abgeordneter","sportpolitik","vereinsrecht","sportförderung","behindertensports","berliner","britischen","sports","behindertensport","zdf","sportbericht","komitee","kraftwerkbau","badenwürttemberg","vereine","buchführung","leistungssport","umsatzsteuerpräferenzen","aussergewöhnliche","flick","spenden","spender","amnestie","schily","untersuchungsausschusses","untersuchungsausschusses","kontrollkommission","hdw","parlamentarischen","bundesregierung","rabta","untersuchungsausschusses","kiel","untersuchungsausschuss","untersuchungsausschuss","januar","untersuchungsausschusses","verfassungsschutz","export","treuhandanstalt","bundesnachrichtendienst","pforzheim","bremen","werften","uboote","beteiligungen","dutyfree","unternehmen","million","cdu","kohl","untersuchungsausschusses","sport","akten","koch","spitzensport","spiele","öffentlichkeitsarbeit","feiertag","kaster","beweisaufnahme","aufklärung","ströbele","parr","spiele","libyen","ok","sports","sportpolitik","sports","antrag","barrierefreie","barrierefreiheit","engagement","behinderungen","sotschi","behinderung","sportler","integrationsfirmen","behinderungen","bundesteilhabegesetz","petenten","gesellschaft","gemeinnützigkeit","behinderungen","invictus","helfer","sport","vereine","leitung"
"7","schleswigholstein","menschen","sowjetzonenflüchtlinge","sowjetzonenflüchtlinge","betriebe","oberländer","heimatvertriebene","heimatvertriebenen","friedland","rückführung","zonenrandgebiets","osterreich","bauern","rehs","geschädigten","kriegsgeschädigte","zahl","flüchtlingen","entschädigung","schäden","hilfsmassnahmen","schäden","haag","gradl","exklave","sportstätten","gleichstellung","entschädigung","kriegsgefangenen","unterhaltshilfe","beziehungen","lastenausgleichsgesetzes","flüchtlinge","hauptentschädigung","geschädigten","erklärung","steinkohlenbergbau","landgerichte","olympischen","bundessportplan","sports","sportvereine","überraschungsurteile","sport","sportbundes","beschwerdemöglichkeiten","schulsport","sportvereine","mayervorfelder","moskau","moskau","wahrzunehmen","gemeinnützigkeit","spektakuläre","antrag","sozialdemokraten","npd","gmbh","untersuchungsausschusses","flick","bundeskanzler","bundesnachrichtendienst","spenden","mainzer","fraktionen","material","untersuchungsausschusses","kreditanstalt","gansel","hdw","diestel","firmen","illegalen","dienste","schalckgolodkowski","untersuchungsausschuss","waffen","ddr","kontrolle","einsetzung","mecklenburgvorpommern","dienste","berliner","anleger","bank","pkk","staatsanwaltschaft","aufklärung","sitten","parteiengesetz","spenden","korruption","cdu","riegert","bewerbung","leipzig","unregelmässigkeiten","elektronische","sachstandsbericht","schulsport","kontrollgremium","dopingbekämpfung","parr","petition","wi","kontrolle","untersuchungsausschusses","petenten","sportanlagen","unbehindertenrechtskonvention","tourismus","ehrenamt","sportler","unbehindertenrechtskonvention","inklusion","olympischen","sports","petitionen","teilhabe","sportausschuss","bundesteilhabegesetz","athleten","petition","behinderung","ehrenamtlichen","behinderung","menschen","bevölkerungsschutz"
"8","not","vertriebene","betriebe","vertriebene","arbeitskräfte","vertriebene","hilfe","kather","einheimischen","rehs","massnahmen","derjenigen","geflüchteten","auszahlung","zwangslage","mischnick","persönliche","heimatvertriebenen","juden","regierungsentwurf","einrichtungshilfe","unterhaltshilfe","fonds","unterhaltshilfe","büsingen","olympischen","vertriebenen","geschädigten","vertriebenen","gleichstellung","vermögen","sowjetzonenflüchtlinge","olympischen","kriegsschadenrente","flüchtlinge","schmid","olympischen","landgerichten","strafmass","förderung","bewährungshelfer","sportbericht","vereinfachungsnovelle","fristverlängerung","behinderungen","broll","sammellager","abkürzung","sportler","gemeinnützigkeit","bayern","einmünden","zusatzfrage","säulen","sportorganisationen","begriff","befürwortet","spenden","parteienfinanzierung","klasen","parlaments","kontrollkommission","brauchitsch","parlaments","bundestages","firmen","beschlagnahme","export","kontrolle","kiel","untersuchungsausschusses","bericht","bundesregierung","kontrollkommission","firmen","geheimdienste","bachmaier","schily","marschewski","informiert","untersuchungsausschuss","schiffbau","kollege","kontrolle","ausländische","ag","schreiber","doping","koch","kiep","schiffbau","spenden","kohl","tr","rostock","sportliche","einladerdatei","regierungssprecher","erlasse","journalisten","kontrolle","dopings","petition","petenten","een","untersuchungsausschusses","bewerbung","ben","mädchenfussball","petitionsausschuss","unbehindertenrechtskonvention","petitionen","teilhabe","inklusion","teilhabe","spiele","menschen","unbehindertenrechtskonvention","betroffenen","athleten","anfrage","special","menschen","petition","behinderungen","teilhabe","organisationen","inklusion"
"9","heimat","oberländer","umsiedlung","evakuierten","sowjetzonenflüchtlinge","kather","betriebe","verbände","dm","vertriebene","zonengrenze","eingliederung","eingliederung","vertriebene","kriegssachgeschädigten","novelle","novelle","eichelbaum","israel","novelle","betroffenen","rehs","gleichstellung","vertriebene","kriegsgeschädigte","flüchtlinge","sowjetzonenflüchtlinge","sportbund","windelen","sowjetzonenflüchtlinge","novelle","heimatvertriebenen","impfgeschädigten","eingliederung","novelle","ausgeweitet","kreditvolumen","olympischen","arbeitskräften","sportorganisationen","lebensversicherung","schäuble","vereine","schäuble","soltaulüneburg","hartenstein","jentsch","sportvereinen","sportorganisationen","sommerspielen","empfehlung","nung","fernsehanstalten","definieren","sportbund","schröder","hiesse","kommission","firma","abgeordneten","diäten","parlamentarischen","schily","öffentlichkeit","parlament","oberfinanzdirektion","selbstrecherchiertes","wiederaufbau","haussmann","staatsanwaltschaft","akten","waffen","schalckgolodkowski","bericht","schiffe","antiquitäten","einsetzung","bericht","kontrollkommission","ehemaligen","treuhandanstalt","maritimen","kontrolliert","bank","rössel","korea","übernahmen","olympischen","merkel","aufklärung","riegert","parteiengesetz","geschäftsordnungsausschuss","mitteldeutsche","kohl","sportverbände","visaausschuss","elektronischen","aussenminister","parlamentarischen","petenten","dosb","petenten","sports","för","ströbele","untersuchungsausschuss","wagin","wm","petitionen","menschen","ehrenamtlich","sports","olympischen","petition","petitionsausschuss","antidopinggesetz","bundesteilhabegesetz","sports","barrierefreiheit","ausweis","olympics","feuerwehren","games","bundesteilhabegesetz","ehrenamt","behinderung","diskriminierung"
"10","müssen","sowjetzonenflüchtlinge","zonenrandgebiete","arndt","hilfe","menschen","schleswigholstein","aussiedler","flüchtlingen","sowjetzonenflüchtlinge","eingliederung","grenzen","reitzner","lastenausgleichsgesetzes","rutschke","aufbaudarlehen","vertriebene","lastenausgleich","böhm","personen","wiedergutmachung","vertriebenen","vertriebene","berlin","walsrode","heimkehrer","korspeter","schäden","lastenausgleichsfonds","flüchtlingen","worden","flüchtlingen","olympiabaugesellschaft","lastenausgleichs","unterhaltshilfeempfänger","flugzeug","wirtschaftsunternehmen","spiele","wertgrenze","sportvereine","arndt","sportkonferenz","bundeszentrum","marken","flächen","zeitgesetz","sportler","tod","sportförderung","komitees","kühbacher","haushaltsausschuss","griechenland","belange","bundestrainer","entscheiden","seeberufsgenossenschaft","schily","parteispenden","parteispenden","öffentlichkeit","parteien","politischen","offenlegung","schily","südafrika","aufklärung","lieferung","firma","bundesregierung","staatsanwaltschaft","illegale","pkk","godewind","bnd","mfs","rüstungsgütern","schalck","such","mfs","hennemann","kontrollkommission","region","unternehmensübernahmen","wolf","bvs","kohl","koch","sport","kohl","ehrenamt","sports","aufzuklären","na","sport","entscheidungsprozesse","machenschaften","untersuchungsausschusses","schily","untersuchungsausschusses","sport","petitionsrecht","jahresbericht","sportler","spraak","bagdad","breitensport","sportpolitik","protokoll","itb","ukraine","inklusion","design","barrieren","bundesteilhabegesetz","petition","integrität","sprache","werner","arbeit","sport","menschen","wahlrechtsausschlüsse","ehrenamtlichen","hilfswerk","stiftung","behinderungen","zivilschutz"
