"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","abgeordneten","immunität","immunität","schmeisser","sozialistischen","kühn","orden","volksbefragung","volksbefragung","demokratie","musterland","parteien","heinemann","gemeinde","verfassung","verfassung","badenwürttemberg","grundgesetzes","badenwürttemberg","parteien","rechtsausschuss","heinemann","grundgesetzes","parteien","griechischen","demokratie","verfassung","parlament","bundesverfassungsgericht","benda","bundesverfassungsgericht","shb","dkp","partei","partei","dkp","partei","verfassung","partei","terroristen","freiheit","freiheit","terrorismus","terrorismus","terrorismus","kommunisten","freiheit","partei","bremen","geistige","gewalt","demonstration","polizei","gewalt","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","volkszählung","gewalt","demokratie","parteien","demokratie","demokratie","geschichte","berlin","berlin","berlin","demokratie","demokratie","berlin","verfassung","berlin","demokratie","religionsunterricht","überhangmandate","conradi","wahlkreise","demokratie","parteien","demokratie","demokratie","demokratie","wahlkreise","demokratie","demokratie","wahl","finanzplatz","wahlprüfungsausschuss","bafin","bafin","steinkohle","offenlegung","immobilienfonds","mitbestimmung","reits","kfw","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","verbraucher","banken","banken","banken","ezb","ezb","banken","wirecard","ezb"
"2","abgeordneten","immunität","abgeordneten","abgeordneten","blankenhorn","kühn","bundesdisziplinarordnung","farben","volk","demokratie","verfassung","verfassung","heinemann","urteil","gemeinden","grundgesetzes","prinzip","baden","art","art","burgbacher","schäfer","grundgesetzes","verfassungsänderung","dorn","verfassung","verfassung","npd","demokratie","benda","dorn","bundesverfassungsgerichts","vds","listen","gewalt","demokratie","partei","demokratie","demokratie","demokratie","demokratischen","partei","brandt","freiheit","terroristen","terroristen","demokratie","demokratie","demokratie","verfassungsschutzbericht","partei","polizei","demonstrationen","demonstrationen","demonstrationen","partei","neuwahlen","demokratie","israel","demokratie","demokratie","sinti","demokratie","geschichte","gewalt","demokratie","politischen","geschichte","opfer","geschichte","parteien","hauptstadt","geschichte","geschichte","berlin","berlin","verfassung","grundgesetz","verfassung","verfassung","brandenburg","wahlkreise","kirchen","wahlrecht","enquetekommission","demokratie","bannmeile","enquetekommission","wahlrecht","kinderkommission","bundesbank","volksbegehren","schriftführer","finanzmarkt","zweitstimmen","anleger","bilanzrechtsreformgesetz","steinkohlenbergbau","aktionäre","anleger","reits","reit","manager","banken","bank","sparkassen","regulierung","bank","finanztransaktionsteuer","krise","griechenland","regulierung","bankenaufsicht","bankenunion","bank","ezb","bank","bank","banken","verbraucherinnen","verbraucher","bank","bank","finanztransaktionsteuer","bafin","verbraucher","bafin","verbraucherinnen"
"3","herrn","justiz","strafverfahren","strafverfahren","ziebell","studentenbundes","hauptverhandlung","schwarzweissrot","demokratie","volk","partei","demokratie","partei","schröder","staat","parteien","selbstverwaltung","landes","wahl","baden","schmittvockenhausen","grundgesetzes","gemeinschaftswerk","grundgesetz","alliierten","parteien","dorn","demokratie","parlamentarischen","verfassung","grundgesetzes","benda","wohlrabe","grundgesetzes","demokratie","wähler","demokratischen","demokratischen","grundgesetz","terroristen","demokratie","demokratie","staat","terroristen","freiheit","rechtsstaat","verfassung","verfassung","demokratischen","grundordnung","freiheit","verhältnismässigkeit","gewalt","demonstration","demonstration","neuwahlen","wähler","brandt","saudiarabien","partei","vogel","roma","toten","demokratie","demokratie","staat","gewalt","demokratie","geschichte","demokratischen","demokratie","entscheidung","verfassung","bonn","verfassung","opfer","umzug","verfassungskommission","demokratie","diäten","juden","reformkommission","demokratie","verkleinerung","dvu","bannmeile","parteien","parteien","parteien","krefeld","onlinewahlen","bürger","stimmkarte","altersvorsorge","finanzplatz","prospektpflicht","prüfstelle","bergbau","gmbh","fonds","investivlohn","airbus","anleger","kfw","krise","bank","krise","krise","bank","bank","spanien","aufsicht","bank","steuerzahler","bankenunion","einlagensicherung","bausparkassen","verbraucher","bank","banken","handwerker","kredite","ezb","bargeld","zentralbank","bafin","banken","griechenland"
"4","geschäftsordnung","genehmigung","vulkan","wahlprüfung","angeklagten","studentenbund","akten","hakenkreuz","verfassung","innenminister","volk","partei","grundgesetz","bundesinnenminister","selbstverwaltung","grundgesetz","freien","bevölkerung","rechtsausschuss","grundgesetzes","art","äusseren","benda","verfassung","parlamentarischen","dorn","parlament","auseinandersetzung","verfassung","arndt","genscher","arndt","rollmann","demokratische","staat","bundeskanzler","kpd","verfassung","dregger","demokratischen","terrorismus","sozialismus","sozialismus","staat","demokratie","sicherheit","verfassungsschutz","staat","freiheit","strauss","staat","hausbesetzungen","demonstranten","demonstranten","staat","brandt","koalition","parteien","demokratie","demokratischen","dregger","zimmermann","geschichte","gewalt","demokratischen","zimmermann","zimmermann","politischen","parteien","parteien","verfassung","verfassung","demokratie","föderalismuskommission","demonstration","wache","verfassungskommission","berlin","grundgesetzes","verkleinerung","kirchen","überhangmandaten","juden","rechtschreibung","arbeit","extremismus","parlament","sekten","wahlrechts","friese","wahlen","wahlen","stimmkarten","insolvenzordnung","strobl","grauen","versicherungsunternehmen","zweitstimmen","wahlrecht","tätigkeit","bafin","börsenumsatzsteuer","banken","bank","hypo","landesbanken","finanzmärkte","finanztransaktionsteuer","anleger","finanzmärkte","aufsicht","finanzmärkte","zypern","aufsicht","steuerzahler","schick","verbraucher","bafin","verbraucherinnen","verbraucherschutz","bankenunion","verbraucher","commerzbank","sparer","urteil","wirecard","anleger","hauptversammlung"
"5","ausschuss","straftaten","genehmigung","wahn","immunität","artikel","beschuldigten","auszeichnungen","barzel","verfassung","grundgesetz","heuss","spenden","arndt","freien","urteil","grundgesetz","land","entscheidung","rechtsausschuss","parteiengesetz","art","art","jahn","vorbehaltsrechte","parlamentarischen","art","grundgesetz","regierung","parlament","innenministeriums","verfassung","grundgesetzes","demokratischen","demokratischen","september","parteien","grundgesetz","demokratischen","staat","rechtsstaat","kommunisten","demokratie","verfassungsschutz","gewalt","martin","partei","sicherheitsbehörden","bundeskanzler","partei","demokratie","rechts","polizei","gewalt","junge","koalition","regierung","partei","partei","bürger","geschichte","hessen","mahnmal","demokratischen","politischen","politische","verfassung","demokratischen","vollmer","politischen","opfer","demokratie","parteien","demokratie","gewalt","gedenkstätte","demokratie","grundgesetzes","heym","parlament","mahnmal","berlin","übergangsgeld","überhangmandate","verfassung","parlament","parlamentarischen","spenden","friese","wahlkreis","scholz","finanzmarkt","gewählt","finanzplatzes","wahl","anlegerschutz","bilanzkontrollgesetz","grundmandatsklausel","hauptversammlung","gmbh","aufsichtsrat","anleger","gmbh","aufsichtsrat","estate","bankenaufsicht","finanztransaktionsteuer","finanzmärkte","bankenabgabe","griechenland","krise","bank","aufsicht","schick","aufsicht","aufsicht","kunden","schick","bafin","bafin","einlagensicherung","risiken","euro","griechenland","wirecard","verbraucherinnen","esm","verbraucher"
"6","dr","strafverfahren","verfahren","faust","strafverfahren","jugend","nsdap","kommission","grundgesetz","metzger","barzel","volkes","verfassung","art","verbände","art","staat","rechtsausschuss","bundesverfassungsgericht","schäfer","grundgesetzes","benda","verfassung","staatsvertrag","wahlrecht","stunde","alliierten","parteien","zivilverteidigung","parlamentarischen","parlament","dkp","mützelburg","grundgesetz","politischen","deutschland","verfassungsschutz","freiheit","ministerpräsident","dienst","partei","dregger","terrorismus","maihofer","staat","bekämpfung","verfassungstreue","polizei","staat","bremer","bundeskanzler","partei","frieden","staat","jungen","demokratie","partei","staat","brandt","dregger","volkes","tiedge","juden","volk","staat","politischen","demokratischen","vollmer","kunst","partei","grundgesetz","bonn","opfer","umzug","grundgesetz","entscheidung","parteien","art","militärjustiz","abgeordneten","denkmal","verkleinerung","bundestag","demokratie","zwischenbericht","mitglieder","wahlrecht","parlament","wahlkreise","wahlkreiskommission","volksentscheid","volksentscheid","stimmen","anleger","finanzmarkt","kapitalmarkt","versicherungsnehmer","bergleute","gehälter","wechsel","sachalin","wohnimmobilien","unternehmen","landesbanken","finanzmärkte","krise","ratingagenturen","hre","krise","zentralbank","finanzmärkte","krise","steuerzahler","kapitalmarkt","dispozinsen","bank","konto","aufsicht","verbraucherschutz","kunden","steuerzahler","finanzkrise","steuerzahler","kredite","bundesbank","unternehmen","wirtschaftsprüfer","aktionäre"
"7","aufhebung","wahl","weis","akten","reifferscheidt","majonica","hamburger","schwarzrotgold","volksbegehren","atomare","konrad","petenten","art","grundgesetzes","gesellschaft","bundesinnenminister","grundgesetzes","grundgesetzes","landes","volksbegehren","spenden","vorbehaltsrechte","grundgesetz","schmittvockenhausen","notstandsverfassung","demokratischen","benda","dorn","art","grundgesetzes","kollege","grundgesetzes","dreckmann","verfassung","dkp","mende","demokratie","kpd","parteien","rechtsstaat","parteien","demokratischen","sicherheit","dregger","rechtsstaat","schleyer","dregger","staates","demokratische","organisationen","demokratischen","demonstrationen","kommunisten","freiheit","grundgesetz","schmidt","brandt","regierungserklärung","parteien","brandt","volk","bundesinnenminister","opfer","volkes","bundeskanzler","bundeskanzler","demokratische","partei","politischen","opfer","unrecht","parlament","parlament","entscheidung","opfer","politische","geschichte","volk","sitzordnung","entschädigung","häfner","wahlrecht","bezüge","reformkommission","mitglieder","präsidium","wahlrechts","verfassung","diäten","demokratie","häfner","anleger","wahlausweis","regelinsolvenzverfahren","wahlprüfungsausschusses","finanzplatzes","anlegerschutz","kohle","transparenz","ehrenkodex","unternehmens","korruption","abfindungen","krise","bafin","ratingagenturen","bank","bankenabgabe","schick","finanztransaktionsteuer","bank","steinbrück","ezb","regulierung","ratingagenturen","verbraucher","verbraucherinnen","anleger","kunden","verbraucherpolitik","kunden","ezb","fusion","banken","verbraucher","schuldner","anlegerschutz","zentralbank"
"8","justiz","wahlprüfung","wahlprüfung","strauss","wuermeling","stil","abendländische","manteuffel","april","kommunisten","bundespräsident","demokratischen","parteiengesetz","karlsruhe","barzel","staat","auslegung","kopf","kopf","neugliederung","partei","rechtsausschusses","wahl","grundgesetzänderung","bundesinnenminister","grundgesetz","notstandsgesetzgebung","partei","parlaments","wahl","politischen","genscher","studentenschaften","partei","kpi","grundgesetz","verfassung","parteien","partei","demokraten","freiheit","staat","terroristischen","verfassung","demokratischen","freiheit","dienst","dregger","staates","auseinandersetzung","gewalt","demonstranten","freiheit","vermummung","vogel","helmut","schmidt","freiheit","arabischen","unseres","demokratischen","partei","unserer","dregger","geschichte","geschichte","bundeskanzler","staat","volk","politische","vollmer","stadt","museum","verfassung","geschichte","geschichte","grundgesetz","demokratie","parlament","häfner","berlin","umzug","gernika","abgeordneten","parlament","parlamentarischen","marschewski","psychogruppen","demokratischen","marschewski","volksbegehren","bundesebene","mitglieder","petitionsausschuss","unbegründet","journalisten","mannheimer","finanzplatz","vorstände","bank","mitarbeiterbeteiligung","unternehmens","ikb","gmbh","kfw","kredite","müssen","regulierung","gläubiger","europa","basel","bankenaufsicht","finanzmärkte","bank","schick","bafin","girokonto","risiken","produkte","kredite","bank","bundesbank","griechenland","aufsichtsrat","unabhängigkeit","gläubiger","finanzaufsicht","zinsen"
"9","ausschusses","dr","odenthal","verfahren","verfahren","lohmar","industrie","band","volksbefragungen","grundgesetz","dortmund","hessen","schröder","verfassung","wohlfahrtspflege","auszuüben","gemeinden","badischen","grundgesetz","verfassungsänderung","finanzierung","juni","notstandsverfassung","demokratie","grundgesetz","genscher","parlaments","genscher","mehrheit","staatssekretäre","verfassung","rechts","verband","hamburgcomment","mandel","schulz","kommunistischen","spartakus","freiheit","parteien","ministerpräsident","dienst","terroristen","sicherheit","partei","hanns","staat","vertrauen","inneren","franz","dregger","bürgermeister","brandt","polizeibeamten","polizei","wähler","dienstag","koalition","politischen","politischen","partei","demokratie","volk","brandt","verfassung","demokratischen","volkes","politische","waffenss","grundgesetz","fünfprozentklausel","grundgesetz","grundgesetzes","beschluss","parteien","volk","grundgesetzes","vogel","demokratischen","parlaments","grundgesetzes","demokratie","rechtschreibung","übergangsgeld","handlungsempfehlungen","bundestages","bürgerinnen","politischen","wahlhelfer","wahlkreisen","briefwahl","häfner","wahlen","demokratie","überhangmandate","anlegerschutzes","insolvenz","strobl","aktiengesellschaften","schröder","vorstände","exittax","managergehälter","unternehmen","real","bafin","schick","schick","fonds","regulierung","regulierung","hochfrequenzhandel","sparkassen","fonds","risiken","anleger","gläubiger","verbraucherinnen","meister","instrumente","verbraucherschutz","verbraucherinnen","targetsalden","zinsen","verbraucherinnen","zinsen","haftung","kredite"
"10","schreiben","dehler","oberbundesanwalt","schreiben","kläger","korrespondenz","nichtöffentlichkeit","verliehen","menzel","partei","heinemann","bürger","rechenschaftslegung","bundesverfassungsgericht","könen","schäfer","dr","neugliederung","landesregierung","abstimmung","rechtsausschuss","notstand","erler","art","demokratie","demokratie","gesetze","grundgesetzes","schmittvockenhausen","grundgesetz","art","grundgesetz","lsd","titel","grundordnung","demokratischen","verbotenen","bundesverfassungsgericht","grundgesetzes","ministerpräsident","ordnung","dkp","sozialdemokraten","traube","schleyer","bundeskanzler","öffentlichen","bürger","auseinandersetzung","mad","inneren","vogel","bundeskanzler","inneren","recht","oktober","mehrheit","wähler","waffenlieferungen","parteien","bundeskanzlers","verantwortung","volkes","unseres","gesetze","opfer","staat","menschen","menschen","demokratische","demokratischen","geschichte","unrecht","beschlusses","volk","kollwitz","volk","föderalismus","volk","stiftungen","parlament","parlament","häfner","sekten","beamten","parlaments","plebiszite","politische","wahl","oberfranken","friese","marschewski","bitte","petitionswesen","mündliche","finanzplatz","ias","kampagne","partei","diäten","anleger","aufsichtsrat","schuldner","korruption","aufsicht","unternehmen","iwf","finanzkrise","griechenland","efsf","finanzaufsicht","steuerzahler","krise","finanzmärkte","eigentümer","kapitalmarkt","sparkassen","kleinanleger","produkt","bank","kredite","einlagensicherung","eib","verbraucherschutz","euro","bank","insolvenz","iwf"
