"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","müssen","müssen","müssen","unserer","unserer","müssen","müssen","müssen","müssen","entwicklung","muß","müssen","müssen","entwicklung","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","bereich","entwicklung","bereich","tourismus","stiftungen","bereich","bereich","vereine","enquetekommission","förderung","bereich","neue","wichtig","raumfahrt","wichtig","öpp","bereich","müssen","bereich","bereich","müssen","bereich","entwicklung","bereich","entwicklung","müssen","wandel","bereich","engagement","gesellschaft","digitale","digitale","digitale","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung"
"2","unsere","aufgabe","menschen","unsere","menschen","politischen","politischen","politischen","politischen","staat","staat","politischen","politischen","aufgabe","menschen","aufgabe","aufgabe","aufgabe","aufgabe","menschen","unseres","unsere","unsere","unsere","regierungserklärung","unsere","unsere","unseres","gesellschaft","menschen","gesellschaft","gesellschaft","unserer","gesellschaft","gesellschaft","unseres","gesellschaft","gesellschaft","gesellschaft","gesellschaft","menschen","menschen","menschen","gesellschaft","unsere","unsere","unsere","probleme","müssen","menschen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","muß","probleme","unserer","menschen","müssen","entwicklung","unsere","entwicklung","entwicklung","müssen","entwicklung","entwicklung","entwicklung","müssen","entwicklung","müssen","bereich","neuen","tourismus","müssen","müssen","bereich","bereich","neuen","bereich","neue","bereich","bereich","tourismus","müssen","bereich","engagement","aufgabe","enquetekommission","aufgabe","entwicklung","wichtig","bereich","bereich","müssen","bereich","müssen","müssen","bereich","müssen","bereich","müssen","bereich","entwicklung","bereich","entwicklung","bereich","enquetekommission","bereich","digitalen","projekte","bereich","ländlichen","ländlichen","engagement","müssen","intelligenz","ländlichen","ländlichen","digitale","digitale","digitalen","digitalen"
"3","deutschen","unsere","politischen","menschen","unsere","staat","menschen","staat","staat","politischen","entwicklung","unsere","aufgabe","menschen","entwicklung","politischen","aufgaben","unsere","aufgaben","unsere","unsere","aufgabe","regierungserklärung","aufgabe","unsere","aufgabe","staat","unsere","unsere","unsere","menschen","menschen","menschen","menschen","menschen","unsere","bürger","bürger","menschen","bürger","gesellschaft","unsere","gesellschaft","unsere","unseres","aufgabe","probleme","menschen","menschen","müssen","menschen","gesellschaft","aufgabe","menschen","menschen","menschen","bereich","probleme","bereich","aufgabe","unserer","unserer","bereich","müssen","unsere","unserer","unserer","muß","technikfolgenabschätzung","unserer","müssen","muß","bereich","muß","neuen","muß","müssen","müssen","bereich","bereich","bereich","müssen","müssen","entwicklung","muß","entwicklung","stiftungen","enquetekommission","engagement","neue","förderung","bereich","fördern","bedeutung","müssen","bereich","müssen","müssen","partnerschaften","wichtig","wichtig","wichtig","wichtig","wichtig","wichtig","beirat","unsere","unsere","bereich","wichtig","ländlichen","herausforderungen","bereich","gesellschaft","bereich","nachhaltige","digitalen","bereich","entwicklung","digitalen","digitalen","ländlichen","digitale","intelligenz","digitalen","ki","digitale","digitale"
"4","immer","politischen","aufgabe","politischen","aufgabe","menschen","aufgabe","entwicklung","menschen","menschen","unseres","aufgabe","menschen","müssen","aufgabe","unsere","unsere","unseres","unseres","aufgaben","freien","freien","gesellschaft","unseres","aufgabe","großen","menschen","politischen","menschen","gesellschaft","politische","unsere","unsere","unsere","bürger","herren","menschen","aufgabe","staat","menschen","unsere","gesellschaft","unserem","menschen","muß","entwicklung","menschen","gesellschaft","mehr","mehr","unsere","aufgabe","bereich","damen","muß","probleme","muß","unsere","probleme","probleme","entwicklung","muß","menschen","bedeutung","probleme","muß","entwicklung","unserer","unserer","muß","aufgabe","bereich","muß","bereich","bereich","bereich","rahmenbedingungen","neue","neuen","neuen","verwaltung","neuen","neuen","aufgaben","müssen","müssen","bedeutung","entwicklung","zentren","entwicklung","stiftungen","engagements","bereich","fördern","wichtig","müssen","bereich","entwicklung","müssen","entwicklung","dass","wichtige","neue","unsere","unsere","müssen","wichtig","müssen","wichtig","entwicklung","herausforderungen","gesellschaft","internet","müssen","gesellschaft","entwicklung","müssen","regionen","wichtig","tourismus","ländlichen","digitalen","digitalen","digitale","innovationen","daten","forschung","zukunft"
"5","menschen","menschen","unsere","entwicklung","entwicklung","aufgabe","entwicklung","menschen","unseres","unseres","politischen","menschen","staat","unsere","unsere","aufgaben","immer","aufgaben","müssen","aufgabe","aufgabe","unseres","unseres","verantwortung","unseres","menschen","aufgabe","politische","unseres","politischen","unsere","müssen","aufgabe","heute","staat","jahren","staat","unsere","gesellschaftlichen","unsere","staat","mehr","freien","aufgabe","menschen","menschen","aufgabe","unsere","unsere","entwicklung","zukunft","menschen","mehr","unsere","damen","aufgabe","probleme","aufgabe","muß","muß","aufgabe","entwicklung","muß","entwicklung","bedeutung","aufgabe","muß","zukunft","muß","unsere","unserer","ländern","strukturen","aufgabe","muß","rahmenbedingungen","neuen","bereich","müssen","verwaltung","tourismus","entwicklung","muß","müssen","sowie","aufgaben","müssen","engagement","aufgaben","bericht","enquetekommission","aufgabe","müssen","engagement","wichtige","neue","vielfalt","beispiel","wichtig","gemeinsam","neue","entwicklung","dass","wichtige","dass","herausforderungen","herausforderungen","wichtig","unsere","herausforderungen","gesellschaft","ehrenamtlich","ländlichen","herausforderungen","entwicklung","bereich","entwicklung","entwicklung","digitalen","bereich","digitale","künstliche","raum","digitalen","blockchain","digitalen","zukunft","wichtig"
"6","müssen","staat","staat","staat","staat","entwicklung","unsere","leben","aufgabe","immer","freiheit","volk","deutschen","staat","deutschen","entwicklung","entwicklung","müssen","unsere","müssen","müssen","menschen","sozialen","entwicklung","müssen","unseres","unseres","entwicklung","immer","entwicklung","entwicklung","aufgabe","unseres","damen","damen","müssen","damen","menschen","unsere","aufgaben","unseres","aufgabe","entwicklung","bürger","aufgaben","unseres","mehr","entwicklung","gesellschaft","zukunft","gesellschaft","muß","menschen","muß","wichtig","dabei","aufgabe","immer","aufgabe","unsere","bereich","menschen","unsere","muß","muß","unsere","bereich","aufgaben","unsere","bereich","bedeutung","strukturen","ländern","neuen","aufgaben","neuen","ländern","muß","ländern","muß","öffentlichen","rahmenbedingungen","ländern","neue","bereichen","neuen","aufgaben","müssen","besonders","kooperation","rahmenbedingungen","bürgerschaftlichen","engagement","aufgabe","wichtiger","beispiel","internet","wichtige","gemeinsam","wichtige","unsere","unserer","entwicklung","thema","herausforderungen","wichtig","entwicklung","nachhaltige","herausforderungen","müssen","wichtig","ländlichen","herausforderungen","ländlichen","ländlichen","gesellschaft","herausforderungen","müssen","müssen","digitale","unsere","digitale","herausforderungen","regionen","herausforderungen","zukunft","intelligenz","stärken"
"7","politischen","unseres","immer","aufgabe","politischen","unsere","staat","unsere","unsere","unsere","menschen","freiheit","unsere","aufgaben","politischen","staat","unseres","immer","volkes","immer","probleme","entwicklung","aufgaben","immer","aufgaben","aufgaben","entwicklung","menschen","aufgabe","unseres","politischen","staat","entwicklung","bereich","entwicklung","bürger","unsere","freiheit","bürger","aufgabe","müssen","müssen","müssen","aufgaben","bürger","unserem","entwicklung","muß","probleme","muß","probleme","probleme","muß","zukunft","mehr","unsere","damen","bereich","unsere","zukunft","probleme","bereich","besonders","zukunft","aufgabe","bedeutung","zukunft","bereich","bereich","aufgaben","aufgaben","aufgabe","neuen","bedeutung","ländern","unsere","zukunft","rahmenbedingungen","muß","aufgaben","muß","aufgaben","rahmenbedingungen","bedeutung","besonders","förderung","neue","neue","entwicklung","tourismus","engagement","gesellschaft","wichtige","förderung","bereich","aufgaben","neue","bedeutung","wichtiger","dass","wichtige","unsere","thema","herausforderungen","unserer","bedeutung","zukunft","herausforderungen","nachhaltigkeit","gesellschaft","wandel","ehrenamt","arbeit","digitalen","wichtig","digitalisierung","wichtig","tab","regionen","ländlichen","neue","zukunft","müssen","künstliche","zukunft","intelligenz","entwicklung","müssen"
"8","entwicklung","entwicklung","müssen","müssen","unseres","unseres","volkes","immer","entwicklung","volkes","aufgabe","probleme","welt","probleme","aufgaben","unseres","politischen","entwicklung","menschen","unseres","menschen","probleme","probleme","heute","politischen","entwicklung","ordnung","heute","politischen","aufgabe","müssen","unseres","staat","herren","müssen","gesellschaft","politischen","müssen","aufgabe","müssen","bereich","entwicklung","unseres","unseres","mehr","müssen","herren","bürger","aufgabe","aufgabe","aufgabe","unsere","herren","aufgabe","unsere","mehr","mehr","mehr","mehr","bereich","unsere","aufgabe","aufgabe","unsere","entwicklung","aufgaben","aufgaben","aufgabe","aufgaben","rahmenbedingungen","rahmenbedingungen","zukunft","bedeutung","sowie","bedeutung","aufgabe","bedeutung","zukunft","rahmenbedingungen","neue","neuen","bedeutung","bereichen","verwaltung","unsere","muß","muß","aufgaben","rahmenbedingungen","wichtig","stiftung","rahmenbedingungen","gesellschaft","rahmenbedingungen","strukturen","raumfahrt","bereiche","vielfalt","wettbewerb","entwickeln","zukunft","thema","wichtige","wichtiger","bedeutung","nachhaltige","bedeutung","nachhaltigkeit","menschen","demografischen","müssen","entwicklung","entwicklung","entwicklung","digitalisierung","digitalen","ländlichen","herausforderungen","herausforderungen","agenda","bereich","ki","intelligenz","tourismus","müssen","wichtig","bereich","herausforderungen"
"9","möchte","volkes","unseres","immer","volkes","immer","unseres","unseres","immer","problem","aufgaben","kräfte","kräfte","besonders","leben","immer","menschen","menschen","staat","staat","politischen","großen","müssen","gesellschaft","großen","müssen","großen","gesellschaft","entwicklung","politische","unseres","entwicklung","müssen","reformen","politischen","menschen","sozialen","staat","muß","muß","mehr","bürger","aufgabe","bleibt","freien","gesellschaft","muß","müssen","zukunft","probleme","muß","mehr","bestandsaufnahme","bereich","gesellschaft","bereich","unsere","muß","aufgaben","entwicklung","menschen","bedeutung","probleme","besonders","zukunft","menschen","bereichen","bedeutung","zukunft","zukunft","sowie","unsere","probleme","chancen","rahmenbedingungen","zukunft","muß","länder","zukunft","ländern","neue","muß","bedeutung","ländern","gesellschaft","wichtig","vereine","tourismus","müssen","bedeutung","wichtige","bericht","chancen","wichtige","förderung","wichtige","wichtiger","bereichen","engagement","neue","unserer","dass","unsere","beispiel","entwicklung","besonders","dass","zukunft","engagement","unsere","thema","müssen","digitale","wichtig","herausforderungen","wichtig","projekte","neue","bereich","entwicklung","zukunft","bereich","strategie","ki","daten","forschung","innovationen","forschung"
"10","glaube","immer","deutschen","gerade","vertrauen","volkes","gerade","deutschen","freiheit","deutschen","willen","großen","aufgaben","kräfte","immer","müssen","volkes","gebiet","entwicklung","freien","aufgaben","grundlage","aufgabe","aufgaben","probleme","heute","gesellschaft","müssen","große","müssen","leben","muß","aufgaben","müssen","unsere","staat","regierungserklärung","aufgaben","entwicklung","staat","lande","unserem","bedeutung","mehr","staat","bereich","neue","aufgabe","entwicklung","freien","verantwortung","zukunft","probleme","probleme","gerade","schließlich","dabei","damen","damen","aufgaben","zukunft","mehr","entwicklung","aufgabe","chancen","zukunft","aufgabe","unsere","aufgabe","bedeutung","enquetekommission","unserer","unserer","unserer","arbeit","bedeutung","neue","wichtige","bedeutung","rahmenbedingungen","rahmenbedingungen","vielen","entwicklungen","tourismus","neue","bedeutung","rahmenbedingungen","gesellschaft","gesellschaft","aufgabe","vereinen","bürgerschaftliches","wichtig","stärkung","bedeutung","strukturen","entwicklung","bereiche","thema","beispiel","wichtiger","engagement","herausforderungen","entwicklung","wichtige","nachhaltigkeitsstrategie","menschen","wichtige","wichtige","internet","wichtige","wichtig","thema","arbeit","agenda","herausforderungen","arbeit","programm","neue","thema","entwicklung","regionen","ki","bereich","bereich","künstliche","wichtig","wandel"
