"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","sitzung","sitzung","geschäftsordnung","antrag","geschäftsordnung","uhr","tagesordnung","geschäftsordnung","tagesordnung","präsident","herr","präsident","beamten","herr","beamten","beamten","beamten","beamten","beamten","dienst","beamten","beamten","beamten","beamten","dienstes","dienst","beamten","beamten","dienst","beamten","benda","dienstes","innern","sicherheit","innern","genscher","genscher","genscher","dienst","bundesgrenzschutz","oldenburg","dienstes","dienst","dienst","höcherl","beamten","beamten","baum","bundesgrenzschutz","datenschutz","nebentätigkeit","asylbewerber","ausländer","ausländer","beamten","cbfunk","volkszählung","bundesinnenminister","datenschutz","volkszählung","zimmermann","polizei","polizei","volkszählung","datenschutz","datenschutz","ausländer","ausländer","ausländer","juden","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","ausländer","kanther","ausländer","ausländer","ausländer","staatsangehörigkeit","kanther","staatsangehörigkeit","schily","zuwanderung","npd","marschewski","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","schily","schily","schily","staatsangehörigkeit","sicherheit","sicherheit","integration","integration","integration","daten","daten","daten","integration","flüchtlinge","staatsangehörigkeit","datenschutz","de","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","afghanistan","familiennachzug","migration","migration","flüchtlinge","grenze","griechenland","migration","menschen"
"2","nr","uhr","uhr","sitzung","sitzung","sitzung","geschäftsordnung","geschäftsordnung","tagesordnung","fraktion","fraktion","schuldscheindarlehen","herren","herr","vorlage","herr","harmonisierungsnovelle","dienst","antrag","dienst","schmittvockenhausen","dienst","gscheidle","dienstes","gscheidle","dienst","beamten","dienst","vergütungsgruppe","beamten","genscher","genscher","dienst","genscher","bundesgrenzschutz","genscher","innern","innern","dienst","öffentlichen","bundesgrenzschutzes","schaumburglippe","öffentlichen","öffentlichen","öffentlichen","bundeskriminalamt","dienst","datenschutz","bundesinnenminister","beamten","bundesbeauftragten","dienst","bundesamt","integration","asylbewerber","bundesinnenminister","ausländer","bundesinnenminister","ausländer","personalausweis","datenschutz","verfassungsschutz","daten","zimmermann","daten","volkszählung","datenschutzbeauftragten","datenschutz","polizei","verfassungsschutz","diestel","köppe","akten","asylrecht","asylrecht","asylrecht","ausländer","ausländern","kanther","innenminister","staatsangehörigkeit","kanther","flüchtlinge","ausländer","ausländer","integration","zuwanderung","asyl","rechtsextremismus","zuwanderung","schily","schily","schily","zuwanderungsgesetz","bundesinnenminister","sicherheit","sicherheit","sicherheitsbehörden","schily","schäuble","terrorismus","schäuble","bundespolizei","daten","datenschutz","datenschutz","datenschutz","daten","zuwanderung","deutschland","deutschland","flüchtlinge","flüchtlinge","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","flüchtlinge","menschen","pakt","flüchtlinge","migration","griechenland","griechischen","deutschland","geflüchteten"
"3","tagesordnung","drucksache","tagesordnung","uhr","tagesordnung","tagesordnung","tagesordnung","rasner","fraktion","präsident","herren","dr","herr","antrag","herren","weihnachtsgeld","dienst","dienstes","kriegsopferversorgung","schmittvockenhausen","beamten","öffentlichen","innenausschuß","dienst","dienst","angestellten","brück","dienstes","dienst","dienstes","innern","innern","beamten","dienst","bundesgrenzschutzes","bundesgrenzschutz","dienst","öffentlichen","innern","maihofer","beamten","niedersachsen","dienst","dienstes","teilzeitbeschäftigung","beamten","öffentlichen","sicherheitsbehörden","beamten","asylbewerber","datenschutzes","beamten","asylrecht","ausländischen","datenschutz","beamte","bundesinnenminister","daten","film","ausländer","beamten","bundesinnenminister","bürger","innenminister","bürger","zimmermann","ausländer","zimmermann","staatsangehörigkeit","schäuble","schäuble","gerster","stasi","schengener","flüchtlinge","asyl","asylbewerber","staatsangehörigkeit","flüchtlinge","ausländer","kanther","flüchtlinge","raucher","kanther","aussiedler","staatsbürgerschaft","bundesinnenminister","rüttgers","zuwanderung","integration","bundesinnenminister","integration","bosbach","ausländer","sicherheit","bundesinnenminister","bundesinnenminister","bundesinnenminister","bundesinnenminister","integration","antiterrordatei","winkler","schäuble","datenschutz","schäuble","integration","integration","bundespolizei","daten","migranten","zuwanderung","datenschutz","deutschland","staatsangehörigkeit","deutschland","menschen","integration","menschen","menschen","menschen","flüchtlinge","flüchtlinge","integration","migranten","integration","deutschland","asyl","ukraine"
"4","drucksache","tagesordnung","antrag","antrag","uhr","uhr","sitzung","uhr","präsident","herren","geschäftsordnung","präsident","damen","vorlage","damen","herren","herr","antrag","geschäftsordnung","doppelversorgung","herr","dienstes","dienst","beamte","innenausschuß","beamten","verbesserungen","innenausschuß","beamte","wagner","dienstes","bundeskriminalamt","besoldung","öffentlichen","genscher","neuregelungsgesetz","beamten","dienst","dienstes","innenministerkonferenz","polizei","dienst","gerster","beamten","beamten","schleyer","beamte","innenminister","datenschutz","daten","dienst","asylbewerber","verfahren","ausländern","asylverfahren","dienst","cbfunker","datenschutz","ausländischen","ausweis","dienst","beamten","datenschutz","daten","verfassungsschutz","datenschutzbeauftragten","baumann","innern","gentechnologie","innern","akten","unterlagen","asylbewerber","asylverfahren","asyl","ausländer","bürgerkriegsflüchtlinge","einbürgerung","staatsangehörigkeit","flüchtlinge","sonntagwolgast","innenminister","marschewski","staatsbürgerschaft","zuwanderung","schily","ausländer","card","marschewski","flüchtlinge","marschewski","sicherheit","sicherheit","integration","innenminister","zuwanderung","integration","strobl","integration","bundesinnenminister","datei","innenminister","sicherheit","terrorismus","integration","polizei","abkommen","datenschutz","deutschland","integration","daten","dat","staatsangehörigkeit","flüchtlingen","asylbewerber","asylbewerber","flüchtlingen","flüchtlingen","flüchtlingen","zuwanderung","migration","bamf","menschen","miri","migranten","moria","ortskräfte","flüchtlinge"
"5","sitzung","antrag","drucksache","tagesordnung","geschäftsordnung","antrag","antrag","sitzung","herren","uhr","herr","dehler","fraktion","präsident","präsident","antrag","damen","präsident","präsident","dienstes","dienstes","besoldung","dienstes","öffentlichen","dienstes","angestellte","schmittvockenhausen","besoldungsgruppe","ii","öffentlichen","abteilung","verbrechensbekämpfung","öffentlichen","datenverarbeitung","polizei","liedtke","sicherheit","dienstes","öffentlichen","beamten","dienstes","dienstes","abgeordneten","riedl","beamte","dienst","dienstes","baum","bgs","datenschutzes","spranger","beamte","flüchtlinge","türken","asylrecht","öffentlichen","datenschutz","ausländer","beamten","daten","daten","volkszählung","sicherheit","volkszählung","zimmermann","daten","daten","hirsch","schäuble","ausländern","daten","verfassungsschutz","aufarbeitung","asyl","ausländer","staatsangehörigkeit","abschiebung","ausländerbeauftragten","abschiebung","sonntagwolgast","flüchtlinge","sonntagwolgast","innenminister","flüchtlinge","spätaussiedler","ausländer","innenminister","deutschland","dass","ausländischer","sicherheit","beckstein","zuwanderungsgesetz","schily","kaplan","innenminister","zuwanderungsgesetz","terrorismus","innenminister","polizei","sicherheitsbehörden","flüchtlinge","bundesinnenminister","schäuble","bka","thw","elena","staatsangehörigkeit","flüchtlingen","daten","integration","residenzpflicht","wolff","optionspflicht","menschen","deutschland","land","herkunftsstaaten","land","deutschland","bamf","migranten","staatsangehörigkeit","menschen","flüchtlinge","migration","menschen","registrierung"
"6","punkt","bundestages","fraktion","bundestages","bundestages","ältestenrat","ältestenrat","präsident","uhr","sitzung","tagesordnung","vorlage","beamten","kühlthau","kollege","präsident","herren","schmittvockenhausen","vorlage","vorlage","zivilbeschäftigten","anpassung","brück","schmittvockenhausen","miessner","innenausschuß","innenausschuß","schmittvockenhausen","angestellten","genscher","öffentlichen","sofortprogramm","beamte","verwaltung","innern","innenausschuß","länder","minister","bundesinnenminister","innern","wahlrecht","beamten","mandat","anwärterbezüge","datenschutz","spranger","riedl","datenschutzes","innern","bundesgrenzschutzes","innern","innern","asyl","ausländerpolitik","ausländerfeindlichkeit","hirsch","beamten","minderheiten","innenminister","hirsch","zimmermann","tiedge","verfassungsschutz","sicherheit","boykott","hirsch","zimmermann","polizei","innern","datenschutz","dienste","aufarbeitung","ausländer","flüchtlinge","asylrechts","flüchtlinge","innenminister","schmalzjacobsen","innern","asylbewerber","integration","schmalzjacobsen","staatsangehörigkeit","rassismus","einwanderungsland","doppelte","flüchtlinge","marschewski","gewalt","rechtsextremismus","innenminister","uhl","integration","staatsangehörigkeit","bundesgrenzschutz","flughafen","koschyk","datenschutz","stadler","innenminister","schäuble","sicherheit","pkk","integrationspolitik","terrorismus","sicherheitsbehörden","vorratsdatenspeicherung","zuwanderung","zwangsheirat","flüchtlinge","flüchtlinge","stiftung","aufenthaltsgesetz","migration","staatsangehörigkeit","eritrea","asylverfahren","land","staatsbürgerschaft","einwanderungsgesetz","land","menschen","asyl","staatsangehörigkeit","inseln","migranten","migranten","geflüchtete"
"7","fraktion","punkt","morgen","drucksache","übergang","präsident","fraktion","fraktion","antrag","antrag","damen","börsenumsatzsteuer","innenausschuß","fraktion","lesung","vorschuß","gscheidle","vorlage","dienstes","höcherl","besoldung","innenausschuß","öffentlichen","besoldungsgruppe","ländern","öffentlichen","stufe","besoldung","besoldungsgruppe","innern","beamte","beamten","innern","innenausschuß","länder","polizei","polizei","länder","polizei","polizei","innern","bundesgrenzschutzes","entschädigung","berger","bürgerinitiativen","bundesinnenminister","datenschutz","polizei","bundesgrenzschutzes","polizei","datenverarbeitung","öffentlichen","zirndorf","baum","einbürgerung","regenspurger","bundesamt","zimmermann","volkszählung","fälschungssicheren","mikrozensus","datenschutz","zimmermann","inneren","schmidtbott","polizei","datenverarbeitung","waffenschmidt","penner","gerster","innern","stasi","gerster","zuwanderung","zuwanderung","schengener","jelpke","jelpke","ausländergesetzes","innenausschuß","schmalzjacobsen","marschewski","rauchen","integration","flüchtlinge","zuwanderung","rüttgers","green","innenminister","schily","ausländer","versammlungsrecht","strobl","deutschland","integration","integration","innenminister","polizei","türkische","schily","integration","migranten","daten","zuwanderung","elena","europol","flüchtlinge","deutschland","asylbewerber","datenschutz","migration","un","flüchtlingen","deutschland","migration","asyl","deutschland","einstufung","deutschland","land","integration","familiennachzug","asylbewerber","deutschland","deutschland","flüchtlinge","migrationspolitik","polen"
"8","betreffend","überweisung","nächste","fraktion","sonntag","wehrpflichtgesetzes","rasner","grundgesetzänderung","damen","damen","ältestenrat","kapitalverkehrsteuergesetzes","hauses","dienst","antrag","geschäftsordnung","geschäftsordnung","geschäftsordnung","gscheidle","bundesbeamtengesetzes","beamte","schmittvockenhausen","dorn","innenausschuß","beamte","beamte","öffentlichen","besoldungsneuregelungsgesetz","besoldungsneuregelungsgesetz","schäfer","innenministerium","kriminalpolizei","richterbesoldung","beamten","inneren","beamten","öffentlichen","beamten","berger","dienstes","wahlkreise","bundesgrenzschutz","beamten","maihofer","dienstes","innenminister","verfassungsschutz","bundesinnenminister","bundesgrenzschutz","bundesinnenminister","datenschutzbeauftragten","nebentätigkeiten","asylverfahren","asylbewerber","ausländern","dienstes","datenschutzbeauftragten","innenminister","zimmermann","ausweises","dienstes","polizei","zevis","hirsch","gesetze","schmidtbott","wahlrecht","daten","schengener","verfassungsschutzes","innenausschuß","sed","köppe","genfer","seiters","zuwanderung","ulla","ausländergesetz","schmalzjacobsen","einbürgerung","ausländern","ausländern","nichtraucher","menschen","land","staatsangehörigkeitsrecht","tampere","ausländer","bundesinnenminister","gewalt","integration","innenminister","innern","marschewski","stokar","luftsicherheitsgesetz","beamten","sicherheit","datei","winkler","innenminister","pass","sicherheitsbehörden","migranten","innenminister","piltz","griechenland","migranten","datenschutz","integrationskurse","stiftung","asylbewerber","menschen","asylbewerber","optionspflicht","zuwanderung","asyl","sicheren","schutz","familiennachzug","zuwanderung","seehofer","einwanderung","seehofer","griechischen","menschen","flüchtlinge","kommunen"
"9","herren","betreffend","herren","beratung","drucksache","damen","herren","herren","minuten","herr","hauses","geschäftsordnung","erklärung","einfachen","fraktion","dienstes","vorlage","brück","damen","überleitung","weihnachtsgeld","bundesregierung","besoldungsordnung","fortbildung","innenausschusses","besoldung","unteroffiziere","öffentlichen","amtsbezeichnung","beamte","dienst","dienst","vereinheitlichung","wagner","bundesinnenminister","bund","dienstes","ministerpräsidenten","innenminister","bund","länder","innenausschuß","gehobenen","bundesinnenminister","badenwürttemberg","länder","innern","innenausschuß","spranger","datenschutz","sicherheitsbehörden","arbeitserlaubnis","arbeitserlaubnis","gerster","integration","ausländer","ausgangsleistung","sondersitzung","dreßler","zimmermann","schäfer","hirsch","hirsch","sicherheitsbehörden","hirsch","speicherung","bundesinnenminister","volkszählung","ausländern","hirsch","gerster","schäuble","ausländerfeindlichkeit","ausländer","politisch","einbürgerung","datenschutz","bgs","vietnam","ausländergesetzes","marschewski","rückkehr","integration","sonntagwolgast","marschewski","bundesinnenminister","asyl","dass","schily","ausländer","bosbach","zuwanderungsgesetz","bundesinnenminister","grindel","bundeskriminalamt","bosbach","polizei","informationen","koschyk","terrorismus","polizei","bundesinnenminister","innenminister","bka","zuwanderung","sicherheit","innenminister","elena","veit","syrien","mayer","asylbewerberleistungsgesetz","bleiberechtsregelung","menschen","beck","integration","kommen","asylverfahren","abschiebungen","abschiebungen","subsidiär","asyl","zuwanderung","personen","asylsystem","inseln","ortskräften","deutschland"
"10","damen","fraktionen","bundestages","nächste","anträge","herren","punkt","damen","sitzung","hauses","rasner","februar","gerstenmaier","herren","hauses","damen","besoldung","herr","dienst","angestellten","stiftung","beamtenbesoldung","bundesinnenminister","berufsunteroffiziere","beamtenschaft","meermann","besoldungsneuregelungsgesetz","verbesserungen","bat","schmittvockenhausen","benda","polizei","gehobenen","dorn","beamten","hätte","inneren","zentralstelle","inneren","bundesinnenminister","dienst","öffentlichen","datenschutzgesetz","nivellierung","bundesgrenzschutz","innern","bundesinnenminister","daten","statistischen","innenausschuß","tätigkeitsbericht","ausländer","ausländer","dregger","asyl","ausländern","ausländern","faschismus","ausländerpolitik","ausländern","statistischen","dienst","kontrollkommission","bundesinnenminister","datenschutz","datenschutzbeauftragte","polizei","innenminister","beamten","schengener","jüdischen","staatssicherheit","sed","flüchtlingskonvention","bundesinnenminister","asylrechts","asylrechts","ausländerzentralregister","schengener","schmalzjacobsen","einbürgerung","rückführung","özdemir","rauchen","ausländerrecht","kinder","jelpke","menschen","extremismus","deutschland","verfassungsschutz","vereinigungen","innenminister","asyl","zuwanderungsgesetz","terrorismus","deutschland","datei","warndatei","innern","trennungsgebot","migration","integrationsplan","böhmer","migranten","kriminalität","swiftabkommen","onlinedurchsuchung","wolff","türkischen","willkommenskultur","integration","ausländer","beck","asylbewerberleistungsgesetz","beck","migration","innenminister","leben","integration","migranten","integration","deutschland","zuwanderung","migration","lesbos","staatsbürgerschaft","migration"
