"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundeskanzler","bundeskanzler","herr","herr","herr","herr","herr","herr","herr","herr","bundespost","bundespost","herr","bundespost","herr","herr","guttenberg","herr","herr","herr","herr","herr","herr","herr","herr","herr","dr","zwischenfrage","zwischenfrage","herr","herr","herr","frau","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","herr","zwischenfrage","zwischenfrage","zwischenfrage","herr","herr","zwischenfrage","sport","zwischenfrage","zwischenfrage","zwischenfrage","abgeordneter","zwischenfrage","plenarsaal","zwischenfrage","zwischenfrage","sport","zwischenfrage","zwischenfrage","pds","zwischenfrage","abgeordneten","herr","herr","zwischenfrage","zwischenfrage","sport","zwischenfrage","zwischenfrage","vizepräsident","zwischenfrage","vizepräsident","zwischenfrage","dat","zwischenfrage","zwischenfrage","wort","wort","erteile","wort","erteile","erteile","wort","erteile","erteile","wort","wort","erteile","wort","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","wort","dat","de","de","votum","rss","krise","pandemie","pandemie","impfpflicht"
"2","herrn","herrn","herrn","bundeskanzler","herrn","bundeskanzler","herrn","bundeskanzler","bundeskanzler","herr","herr","herrn","bundeskanzler","bundeskanzler","herrn","bundeskanzler","schloss","herrn","herrn","herr","herr","höcherl","post","südtirol","bundespost","herr","kollege","bundeskanzler","süsterhenn","strauss","bundeskanzler","ehmke","ehmke","zwischenfrage","ehmke","bundesminister","herr","gestatten","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","zwischenfrage","herr","herr","herr","zwischenfrage","zwischenfrage","herr","zwischenfrage","herr","olympischen","sport","zwischenfrage","herr","zwischenfrage","gestatten","gestatten","zwischenfrage","herr","herr","zwischenfrage","sport","pds","zwischenfrage","zwischenfrage","herr","gestatten","herr","sport","gestatten","herr","herr","zwischenfrage","herr","de","gestatten","kollege","erteile","erteile","wort","erteile","wort","wort","erteile","wort","wort","erteile","erteile","wort","kollege","wort","bitte","wort","wort","vizepräsidentin","wort","wort","wort","bitte","bitte","vizepräsident","redner","bitte","redner","vizepräsidentin","vizepräsidentin","wort","wort","kollege","de","dat","kollege","dat","stromsperren","virus","virus","impfen","impfen"
"3","bundesregierung","bundeskanzler","kollege","herrn","bundeskanzler","herrn","bundeskanzler","herrn","herrn","herrn","herrn","bundeskanzler","herrn","herrn","kollege","herrn","güde","jahn","wehner","innern","post","innern","herr","bundesminister","post","freiherr","bundeskanzler","kollege","untersuchungsausschuss","zwischenfrage","ehmke","dr","zwischenfrage","gestatten","dr","ehmke","gestatten","herr","gestatten","gestatten","gestatten","gestatten","herr","herr","herr","herr","herr","herr","herr","herr","herr","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","kollege","herr","abgeordneter","sport","abgeordneter","gestatten","abgeordneter","herr","herr","abgeordneter","gestatten","gestatten","gestatten","herr","herr","zwischenfrage","heuer","sport","sport","herr","zwischenfrage","herr","herr","bitte","gestatten","herr","gestatten","is","kollege","wort","kollegin","kollegen","kollegin","kollegen","kollegen","kollegen","kollegen","kollegen","kollegin","kollegin","kollegin","kollegin","kollegin","vizepräsidentin","vizepräsidentin","bitte","vizepräsidentin","wort","vizepräsidentin","bitte","bitte","vizepräsident","vizepräsident","bitte","wort","redner","wort","claudia","wort","ge","vizepräsidentin","vizepräsidentin","un","un","spdfraktion","selous","untersuchungsgegenstand","pandemie","massnahmen","geimpft","pandemie"
"4","möchte","möchte","bundeskanzler","herren","kollege","minister","kollege","kollege","herren","kühn","adenauer","dehler","kollege","minister","cdu","herren","herrn","herren","kollege","höcherl","kollege","erler","kollege","brief","brief","bundeskanzler","scheel","guttenberg","kollege","kollege","zwischenfrage","zwischenfrage","dr","dr","zwischenfrage","herrn","kollege","herrn","guillaume","kollege","staatssekretärin","herr","frau","abgeordneten","abgeordneter","bundesminister","abgeordneten","abgeordneten","abgeordneter","abgeordneter","abgeordneter","abgeordneter","abgeordneter","abgeordneter","bitte","abgeordneter","abgeordneter","gestatten","abgeordneter","gestatten","gestatten","herr","herr","gestatten","sport","bitte","herr","herr","abgeordneter","abgeordneter","gestatten","abgeordneten","herr","vizepräsident","gestatten","gestatten","bitte","vizepräsident","vizepräsident","vizepräsident","zwischenfrage","kollege","sport","vizepräsident","ick","herr","kollegin","otto","kollege","otto","kollegin","kollegin","kollegin","kollegin","kollegin","kollegen","kollegen","dr","kollegen","vizepräsidentin","kollegin","dr","vizepräsidentin","kollegin","kollegin","redner","kollegin","vizepräsident","wort","redner","wort","bitte","vizepräsident","vizepräsidentin","roth","redner","men","erhält","erhält","schwimmen","ik","wort","de","ndiaga","massnahmen","impfen","lage","impfung"
"5","herren","kollege","gesagt","damen","damen","herren","herren","herren","gesagt","gesagt","bundeskanzlers","kollege","opposition","kollege","bundeskanzler","damen","jahn","präsident","strauss","erler","minister","schäfer","minister","italienischen","kollege","kollege","guttenberg","scheel","zwischenfrage","gestatten","dr","kollege","kollege","herrn","kollege","herr","herrn","kollege","staatssekretärin","schlei","schlei","schlei","herrn","abgeordneter","abgeordneten","abgeordneter","abgeordneter","abgeordneter","bitte","bitte","bitte","bitte","bitte","gerster","abgeordneter","herrn","bitte","erlauben","kollege","abgeordneten","abgeordneter","gestatten","bitte","vizepräsident","abgeordneter","abgeordneter","abgeordneten","abgeordneter","sport","vizepräsident","abgeordneter","vizepräsident","vizepräsident","abgeordneten","abgeordneten","doping","vizepräsident","gestatten","bitte","bitte","einzelhandel","vizepräsident","kollege","kollege","zwischenfrage","bitte","solms","kollege","kollegin","solms","otto","zwischenfrage","gestatten","zwischenfrage","dr","dr","zwischenfrage","kollegen","vizepräsident","bitte","bitte","wort","kollegin","bitte","dr","bitte","herr","dr","herr","wort","redner","vizepräsident","wort","zwischenfrage","wort","cducsufraktion","redner","redner","redner","kollege","kollege","staatssekretärs","menschenrechte","de","corona","impfstoff","inzidenz","virus"
"6","kollege","bundesregierung","herren","minister","herren","gesagt","gesagt","erklärung","dr","cdu","bundespräsidenten","dr","bundeskanzlers","dr","minister","kollege","minister","damen","dr","post","erler","kollege","fernmeldewesen","post","minister","oberpfalz","freiherr","interview","hs","dr","herrn","herrn","herrn","abgeordneten","bundesminister","aufgaben","bundesminister","abgeordneter","kollege","frau","frau","abgeordneten","abgeordneten","frau","bitte","abgeordneten","herrn","bitte","abgeordneten","abgeordneten","abgeordneten","abgeordneten","kollege","abgeordneten","kollege","stoltenberg","windelen","abgeordneten","erlauben","kollege","spiele","bitte","abgeordneten","bitte","bitte","abgeordneten","vereine","vereine","vizepräsident","abgeordneten","abgeordneten","pds","ullmann","gestatten","vizepräsident","vizepräsident","kollege","bitte","gestatten","kollege","kollege","bitte","gestatten","hirsch","un","kollegin","gestatten","solms","otto","kollegen","zwischenfrage","gestatten","zwischenfrage","otto","zwischenfrage","zwischenfrage","kollege","bitte","kollege","dr","katrin","kollegin","dr","dr","redner","kollegin","dr","hermann","kollegin","herr","schön","schön","schön","kollegin","kollegin","bitte","vizepräsidentin","kollegin","nächste","wort","ok","inflationär","herr","abermilliarden","lage","krise","virus","geimpft"
"7","glaube","gesagt","möchte","bundesregierung","minister","kollege","presse","gesagt","rede","stephan","gesagt","mende","partei","bundeskanzlers","dr","minister","bundesverteidigungsminister","kollege","herren","alliierten","bundesminister","minister","stücklen","kollege","stücklen","herrn","dorn","äusserung","zeugin","bundeskanzler","vizepräsident","bundeskanzler","gestatten","ehmke","herrn","besondere","dr","abgeordneten","bundeskanzler","herrn","herrn","herrn","schlei","herrn","bundesminister","herrn","bitte","herrn","bundesminister","bundesminister","herrn","kollege","abgeordneten","bitte","herrn","bitte","kollege","bitte","gestatten","erlauben","ruhrgebiet","abgeordneten","redezeit","abgeordneten","gestatten","vizepräsident","bitte","vizepräsident","bitte","bitte","volkskammer","liste","gestatten","uwejens","bitte","bitte","abgeordneten","kollege","kollege","hirsch","gestatten","kollegin","bitte","bitte","wi","kollegen","otto","hermann","hermann","hermann","hermann","vizepräsident","dr","kollege","kurzintervention","kollege","dr","kollege","lammert","fraktion","dr","susanne","schön","redner","bitte","dr","redner","redner","dr","schön","oswald","kollegin","herr","roth","redner","erhält","erhält","cducsufraktion","cducsufraktion","wi","hebben","cdu","aktion","umerziehung","wochen","lockdown","massnahmen","massnahmen"
"8","regierung","herren","minister","kollege","bundeskanzlers","bundeskanzlers","damen","sozialdemokratischen","kollege","fonds","brief","worden","dr","herren","partei","präsidenten","herren","erklärung","damen","verfassungsschutz","schoettle","bundesminister","erler","dr","herrn","zwischenfrage","verfassungsschutz","herrn","dr","herrn","gestatten","gestatten","abgeordneter","kollege","gestatten","abgeordneten","abgeordneten","dr","frau","abgeordneten","abgeordneten","staatssekretärin","bundeskanzler","kollege","vizepräsident","bitte","bundesminister","bundesminister","herrn","vizepräsident","bundesminister","vizepräsident","vizepräsident","kollege","abgeordneten","vizepräsident","vizepräsident","abgeordneter","abgeordneten","vizepräsident","herr","vizepräsident","vizepräsident","redezeit","abgeordneten","sport","vizepräsident","bitte","abgeordneten","angerechnet","bitte","pdslinke","abgeordneter","bitte","sports","abgeordneten","gfn","cronenberg","hirsch","kurzintervention","kurzintervention","kollegen","hansulrich","burkhard","nich","vizepräsident","bitte","zwischenfrage","solms","zwischenfrage","solms","hermann","kollege","gestatten","kollege","bitte","gestatten","vizepräsident","dr","solms","schön","kastner","zwischenfrage","erhält","erhält","kastner","otto","herr","redner","zwischenfrage","kollegin","zwischenfrage","kollegin","herr","nächste","zwischenfrage","kollegin","zwischenfrage","spdfraktion","ok","linksgrüne","drohnen","social","telefon","coronavirus","schnelltests","epidemischen","impfungen"
"9","heute","opposition","damen","gesagt","parlament","damen","dr","bundesminister","damen","arndt","dr","herren","rasner","kollegen","geschäftsordnung","anfrage","ministers","bundeskanzler","mommer","gebührenerhöhung","cramer","brief","bundesminister","minister","zwischenfrage","stammberger","herrn","vizepräsident","gestatten","ehmke","kollege","schäfer","vizepräsident","abgeordneter","besondere","parlamentarischen","vizepräsident","vizepräsident","herrn","dr","abgeordneter","kollege","vizepräsident","vizepräsident","dr","dr","schön","schön","vizepräsident","herrn","vizepräsident","herrn","herrn","haase","kreile","abgeordneten","herrn","herrn","bitte","bitte","olympische","redezeit","abgelaufen","wolfgramm","vizepräsident","redezeit","gutachten","abgeordneten","redezeit","redezeit","vizepräsident","gestatten","cronenberg","pdslinke","dieterjulius","cronenberg","redezeit","sports","dr","dr","hansulrich","dr","sportförderung","kollegin","gestatten","solms","kollegen","vizepräsident","vizepräsident","vizepräsident","kollege","solms","solms","vizepräsident","grünen","vizepräsident","vizepräsident","schön","zwischenfrage","otto","herr","redner","spdfraktion","frau","herr","göringeckardt","solms","solms","schön","kollegin","herr","erhält","dank","bitte","cducsufraktion","herr","herr","claudia","kollegin","is","afd","to","hergestellt","haushalt","schnell","tests","masken","herbst"
"10","sagen","damen","dr","opposition","opposition","presse","minister","minister","wehner","bundeskanzlers","herren","gesagt","presse","protokoll","rede","ministers","untersuchungsausschuss","mommer","minister","untersuchungsausschuss","postverwaltungsgesetzes","alliierten","gebühren","bundespost","dr","dr","müllerhermann","gestatten","zeugen","wörner","strauss","abgeordneten","abgeordneten","bundeskanzler","abgeordneter","zwischenfrage","abgeordneter","bitte","schlei","abgeordneter","bundeskanzler","funcke","kollege","bitte","herrn","frau","redezeit","kollege","schön","schön","posser","bundesminister","haase","vizepräsident","dr","dr","minister","vizepräsident","vizepräsident","stratmann","abgeordneten","kollege","schluss","sport","sportler","kleinert","redezeit","sitzordnung","vereine","stücklen","gysi","heuer","bitte","redezeit","krebsregister","heuer","dr","dieterjulius","burkhard","abgeordneten","klose","hansulrich","klose","dr","ook","otto","vizepräsident","kollegen","zwischenfrage","kollege","vizepräsidentin","bitte","spdfraktion","solms","tion","hermann","lammert","solms","norbert","schön","göringeckardt","schön","solms","zwischenfrage","susanne","susanne","vizepräsidentin","zwischenfrage","solms","solms","zwischenfrage","herr","eduard","claudia","herr","kollegin","ten","roth","zwischenfrage","för","zwischenfrage","aktion","gäbe","ja","situation","testen","intensivstationen","impfstoffe"
