"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","vermögen","lastenausgleich","vertriebenen","forderungen","vertriebenen","geschädigten","kather","ansprüche","flüchtlinge","eingliederung","wochenschau","flüchtlinge","flüchtlinge","flüchtlinge","unterhaltshilfe","entschädigung","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","vertriebenen","flüchtlinge","novelle","lastenausgleichs","aufbaudarlehen","unterhaltshilfe","verhaltensregeln","waffengesetzes","seeschiffahrt","vertriebenen","vertriebenen","elbe","dmkg","meere","sommerzeit","shb","sommerzeit","streik","pressefusionskontrolle","luxemburg","medien","klein","petitionsausschuß","ausstellung","radio","peace","springer","bundeskartellamt","parteien","sport","spenden","olympischen","sport","flick","untersuchungsausschuß","plenarsaal","untersuchungsausschuß","gutachten","sport","bundesrechnungshof","untersuchungsausschuß","untersuchungsausschuß","sport","irak","kontrolle","koko","verfassungsschutz","untersuchungsausschuß","koko","dzt","untersuchungsausschuß","untersuchungsausschuß","bnd","klonen","stiftung","dat","berufsgenossenschaften","wort","sport","promille","expo","tourismus","sport","tourismus","sport","leipzig","sport","tempelhof","ro","außengastronomie","schulsport","sport","sport","sport","sport","sport","sport","sport","sport","spielhallen","barrierefreiheit","tourismus","behinderung","sport","behinderung","behinderungen","sport","sport","behinderung","sport","schwimmen","behinderungen","sport","betreuer","stiftung","thw","behinderungen","sport","behinderung"
"2","vermögen","vertriebenen","geschädigten","lastenausgleich","stiftung","oberländer","entschädigung","geschädigten","vertriebenen","beweissicherung","vertriebenen","beirat","vertriebenen","vertriebenen","novelle","rehs","flüchtlinge","zone","novelle","flüchtlinge","vertriebene","wiedergutmachung","vertriebenen","flüchtlinge","flüchtlinge","entschädigung","flüchtlinge","geschädigten","flüchtlinge","novelle","eingliederung","flüchtlinge","fircks","unterhaltshilfe","waffen","besoldungsvereinheitlichungs","flüchtlinge","orgaß","hofmann","lastenausgleich","grenzkommission","stiftung","see","berliner","spartakus","dkp","bölling","widerspruchslösung","petitionsausschuß","klein","medien","medien","medienbericht","journalisten","forces","monopolkommission","stunde","parteienfinanzierung","untersuchungsausschuß","parteien","sport","spenden","parteien","verhaltensregeln","sport","hdw","vereine","vereine","sport","gansel","gansel","rüstungsexporte","bnd","waffen","untersuchungsausschuß","dienste","blut","untersuchungsausschuß","untersuchungsausschuß","untersuchungsausschusses","untersuchungsausschusses","sicherheitsdienste","titzestecher","kemper","de","arbeitsschutz","charta","expo","promillegrenze","tourismus","tourismuswirtschaft","sports","großschutzgebieten","uhr","tourismus","wassertourismus","ehrenamtlich","sport","lärm","sport","tourismus","doping","parr","olympischen","tourismus","sports","spenden","sports","sport","tourismus","behinderung","sport","behinderung","menschen","sport","institut","doping","barrierefreiheit","behinderungen","sport","teilhabe","esport","behinderungen","ehrenamt","stiftung","sport","vereine","antidiskriminierungsstelle"
"3","geschädigten","geschädigten","vertriebenen","geschädigten","kulturbesitz","sowjetzonenflüchtlinge","hauptentschädigung","entschädigung","vertriebene","entschädigung","entschädigung","ufa","vertriebene","novelle","hauptentschädigung","flüchtlinge","lastenausgleich","vertriebenen","flüchtlinge","unterhaltshilfe","novelle","flüchtlinge","gleichstellung","reserven","kriegsgeschädigte","flüchtlinge","heimatvertriebenen","flüchtlinge","entschädigung","flüchtlinge","novelle","gleichstellung","polen","flüchtlinge","fircks","geschäftsordnungsausschuß","ruhrkohle","seeleute","ausgleichsfonds","hofmann","gutachten","heimkehrerstiftung","wirtschaftszone","ristock","msb","petitionsausschuß","aussperrung","medien","hauff","schwarzschilling","sendungen","cbfunk","weirich","fernsehen","people","burda","fernsehen","rechnungsprüfungsausschuß","flick","parteienfinanzierung","spiele","rechnungshof","spenden","sport","sportler","akten","bundesrechnungshof","libyen","vereine","untersuchungsausschusses","sport","exporte","waffen","bundesrechnungshofes","schalck","pkk","blutprodukte","schalckgolodkowski","untersuchungsausschusses","einsetzung","stasiunterlagengesetz","pkk","stiftung","kontrolle","ick","akten","kollege","dass","alkohol","hinsken","hinsken","sportler","sport","großveranstaltungen","olympischen","tourismus","flughafen","rp","sperrzeiten","flughäfen","parr","tourismus","olympischen","tourismus","sports","altersgrenzen","tourismus","tourismus","lärm","barrierefreien","sport","menschen","tourismus","behinderungen","behinderung","menschenrechte","behinderung","behinderungen","menschen","barrierefreiheit","menschen","gemeinnützigkeit","behinderung","behinderungen","bevölkerungsschutz","menschen","behinderung","sport"
"4","dm","lastenausgleich","lastenausgleichsgesetzes","entschädigung","ansprüche","flüchtlinge","lastenausgleichsbank","ansprüche","reich","ansprüche","heimatvertriebenen","vertriebenen","weltflüchtlingsjahr","hauptentschädigung","unterhaltshilfe","vertriebenen","vertriebenen","vertriebene","unterhaltshilfe","weber","entschädigung","entschädigung","schäden","rehs","vertriebenen","heimkehrer","vertriebenen","novelle","häftlinge","unterhaltshilfe","geschädigten","vertriebenen","entschädigungsregelung","eingliederung","schußwaffen","bereits","waffen","brt","ausführte","flüchtlinge","schröder","heimkehrer","schröder","luster","hochschulen","zeitgesetz","gestreikt","nöbel","radio","fernsehen","schwarzschilling","fernsehen","enquetekommission","satelliten","europe","presse","fusion","kontrolle","parteien","spender","ruhrgebiet","bundesrechnungshof","untersuchungsausschuß","einkünfte","plenarsaals","sport","untersuchungsausschuß","firmen","sports","hdw","kiel","bericht","untersuchungsausschuß","rechnungsprüfungsausschuß","kommerzielle","kontrollkommission","untersuchungsausschusses","mfs","bnd","industrie","gauckbehörde","kontrolle","bismarck","herr","un","gauckbehörde","rüttgers","doping","beamten","brähmig","tourismusbranche","riegert","zwischenfrage","sports","bewerbung","tourismuswirtschaft","flughäfen","ar","fußballweltmeisterschaft","fluglärm","monopol","sportler","spiele","spiele","bürgerschaftlichen","fußball","sportanlagen","sportpolitik","tourismus","behinderung","behinderungen","behinderungen","menschen","tourismus","menschen","behinderung","sportler","menschen","behinderung","sportausschuss","behinderung","teilhabe","gemeinnützigkeit","engagement","helfer","behinderung","barrierefreiheit","behinderungen"
"5","vertriebenen","vertriebene","heimatvertriebenen","vorfinanzierung","verbrieften","eingliederung","ansprüche","vertriebenen","enteignung","vertriebenen","ansprüche","lastenausgleich","kriegsgeschädigte","geschädigten","geschädigten","vertriebene","rutschke","korspeter","hirsch","ansprüche","kriegsgeschädigte","milliarden","novelle","schäden","heimatvertriebenen","schäden","schmidt","vertriebene","gleichstellung","betroffenen","vertriebenen","fircks","lastenausgleichsgesetzes","ausgleichsfonds","kriegsschadensrente","ablösung","waffengesetz","schiffe","freiwillig","czaja","grenze","elbe","seemeilen","kreditanstalt","vds","hartenstein","petitionsausschuß","fernsehen","klein","neuen","planungsabteilung","cbfunker","rundfunk","bundespost","conventional","zusammenschluß","ministererlaubnis","untersuchungsausschusses","büchner","klasen","olympische","untersuchungsausschusses","schily","parlaments","dkp","oberfinanzdirektion","sport","sitzordnung","kontrolle","kiel","südafrika","sports","illegalen","bundesrechnungshof","koordinierung","akten","blutprodukten","bundesgesundheitsamt","blut","blut","sekten","dienste","uta","embryonenschutzgesetzes","wi","cia","roma","olympischen","dass","burgbacher","brähmig","dopingopfer","großschutzgebiete","olympischen","spiele","uhr","berufsgenossenschaften","un","uhr","pflege","spielsucht","engagement","bewegung","sports","tourismuswirtschaft","tourismus","parteien","kulturtourismus","frauenfußball","sport","olympischen","nada","barrierefreiheit","inklusion","inklusion","doping","integrationsbetriebe","unbehindertenrechtskonvention","bundesteilhabegesetz","schwimmunterricht","inklusion","athleten","werkstätten","menschen","behinderungen","betreuung","behinderungen","menschen"
"6","heimatvertriebenen","entschädigung","dm","lastenausgleichs","lastenausgleich","heimatvertriebenen","leistungen","hauptentschädigung","eingliederung","sowjetzonenflüchtlinge","kiel","lastenausgleichs","eingliederung","rehs","vertriebenen","kriegsgeschädigte","vertriebene","gleichstellung","entschädigung","milliarden","heimatvertriebenen","schäden","entschädigung","vertriebenen","vertriebene","mick","korspeter","mick","rutschke","kinderkriminalität","flüchtlingen","hauptentschädigung","tatsächlich","geschädigten","lastenausgleichsgesetzes","ehrenordnung","ag","schiffen","waffengesetz","geschädigten","lüneburg","kriegsgefangenenentschädigungsgesetzes","delegation","unvorhersehbar","schoeler","jugendorganisationen","petition","einwilligungslösung","bundesminister","programme","rundfunk","schwarzschilling","medien","informationsfreiheit","alliance","wirtschaftsminister","reisen","untersuchungsausschuß","akten","flick","bewerbung","sports","brauchitsch","offenlegung","sitzordnung","ofd","untersuchungsausschüsse","untersuchungsausschuß","gemeinnützigen","staatsanwaltschaft","untersuchungsausschusses","irak","rüstungsexport","bericht","untersuchungsausschusses","bad","rüstungsexporte","untersuchungsausschusses","kontrolle","opfer","bundesbeauftragten","mitarbeiter","klonens","schultze","nich","berufskrankheiten","arbeitserlaubnispflicht","sports","getränk","irber","irber","sportausschuss","nationalpark","spitzensport","rostock","sportförderung","sport","ra","ta","grenzwerte","sportwetten","ehrenamtlich","staatsvertrag","peking","leitlinien","doping","sports","autonomie","sozialtourismus","unbehindertenrechtskonvention","jugendtourismus","inklusion","olympischen","unbehindertenrechtskonvention","teilhabe","sports","integrationsfirmen","doping","eingliederungshilfe","inklusion","anfrage","behinderungen","menschen","behinderung","helferinnen","betreuer","menschen","leitung"
"7","gesetz","hand","heimatvertriebenenwirtschaft","eingliederung","schäden","kather","unterhaltshilfe","kunze","flüchtlinge","ermäßigung","flüchtlinge","beschäftigungszeiten","nahm","lastenausgleichsgesetz","zone","lastenausgleichsgesetz","geschädigten","flüchtlingen","verfolgten","schäden","gleichstellung","hauptentschädigung","baulandsteuer","lastenausgleich","stock","vertriebenen","gleichstellung","schäden","kriegsgefangenen","schäden","mitteldeutschen","lastenausgleichsgesetzes","geschädigten","hauptentschädigung","erwerb","erwerb","vertriebenen","flotte","hauptentschädigung","hauptentschädigung","niedersächsischen","josten","meeresbodenbehörde","hermann","jusohochschulgruppen","broll","streiks","cbfunk","medien","rundfunk","luxemburg","rundfunk","sendung","hörfunk","must","verlage","wirtschaftsminister","öffentlichkeit","schröder","amnestie","bundesrechnungshof","untersuchungsausschuß","untersuchungsausschusses","abgeordneten","untersuchungsausschuß","firmen","sportvereine","gansel","bundesrechnungshofs","südafrika","firmen","untersuchungsausschuß","rüstungsexporte","firmen","mfs","geheimdienste","bga","institute","plutonium","stiftung","akten","kontrollkommission","dolly","titzestecher","ook","arbeitsunfälle","se","spitzensport","sport","außengastronomie","mosdorf","biergärten","touristische","riegert","sport","antrag","flugverkehr","är","ladenöffnungszeiten","anwohner","sports","nada","schulsport","reisen","barrierefreiheit","ehrenamtlichen","parteiengesetz","olympischen","oits","behinderungen","jugendreisen","unbehindertenrechtskonvention","behinderungen","sport","bundesteilhabegesetz","olympischen","menschenrechte","sprache","sports","schwimmbäder","sport","special","feuerwehren","barrierefreiheit","bundesteilhabegesetz","betreuungsrecht","transparenzregister","bevölkerungsschutz"
"8","lastenausgleichs","kather","lastenausgleichs","atzenroth","gläubiger","entschädigung","vertriebenen","lastenausgleich","kriegsfolgengesetz","lastenausgleich","lastenausgleich","mißstände","bauern","vertriebene","kriegssachgeschädigten","aufbaudarlehen","schäden","heimatvertriebenen","juden","personen","vertriebenen","unterhaltshilfe","ansprüche","sozialer","gasturbine","unterhaltshilfe","sowjetzonenflüchtlinge","kriegsgeschädigte","schäden","czaja","klatschen","sowjetzonenflüchtlinge","petitionen","kriegsschadenrente","geschädigten","übersenden","tonnen","lastenausgleichsgesetz","befehl","lastenausgleichsgesetz","rechtsstandpunkt","boote","landeszentralbank","hartenstein","dkp","eingeschleusten","herr","spendenbereitschaft","petitionsausschusses","cbfunk","öffentlichrechtlichen","öffentlichrechtlichen","fernsehen","kabelfernsehen","nuclear","stunde","begrüßt","exekutive","firma","untersuchungsausschuß","spenden","vereine","rechnungshof","untersuchungsausschusses","mitglieder","südafrika","gemeinnützigkeit","gemeinnützigen","vereinen","firmen","bundesrechnungshof","illegalen","firmen","firma","firmen","untersuchungsausschuß","bachmaier","schalck","bundesnachrichtendienst","aufzuklären","aufklärung","bundesnachrichtendienst","embryonenschutzgesetz","mitarbeiter","nu","tödlichen","behörde","sportler","expo","gäste","übernachtungen","sperrzeiten","nationalparks","ess","hotel","sports","schönefeld","lle","gäste","fluglärmgesetz","schuldnerberatungsstellen","sports","sports","sportler","dosb","vereine","lärm","baunutzungsverordnung","fluglärm","barrierefreie","menschen","barrierefreiheit","sportler","teilhabe","unbehindertenrechtskonvention","sportler","sports","bundesteilhabegesetz","betroffenen","athleten","bundesteilhabegesetz","olympics","invictus","games","ehrenamtlichen","betreuten","organisationen","inklusion"
"9","entschädigung","lastenausgleichsgesetzes","bundesvertriebenengesetzes","vermögen","umstellung","vertriebene","flüchtlinge","hausratentschädigung","entschädigung","vermögen","geschädigten","erkennen","geflüchteten","auszahlung","zwangslage","mischnick","banken","lastenausgleich","vertriebene","regierungsentwurf","einrichtungshilfe","rehs","vertriebene","dezember","fänge","lastenausgleichs","mick","reparationsschädengesetz","vertriebenen","gleichstellung","künstlerisch","heimatvertriebenen","eingliederung","rutschke","unterhaltshilfeempfänger","angehörige","herr","deutschen","fairer","vertriebene","wissenschaftlichen","einschreibsendungen","juli","bauvorhaben","orientierung","gesungen","informationsamt","presse","satelliten","pilotprojekte","fernsehen","medienpolitischen","wdr","rundfunk","us","aktuelle","grenzen","flick","sports","parteispenden","rechnungshof","gemeinnützigkeit","flickkonzerns","präsidenten","sports","staatsanwaltschaft","untersuchungsausschußgesetz","rabta","firmen","stoltenberg","staatsanwaltschaft","illegale","bundesregierung","illegalen","schalckgolodkowski","aufklärung","waffen","bericht","öffentlichkeit","aufklärung","verdacht","bundesnachrichtendienstes","klonierung","dr","wat","nachrichtendienste","schluß","hannover","getränke","gastronomie","urlaub","doping","kollegin","breitensport","uhr","irber","ladenschluss","kt","biergärten","sprintstudie","schuldnerberatung","ehrenamt","sportwetten","ioc","bürgerschaftliches","vereinen","sponsoring","bewegung","baunutzungsverordnung","open","barrierefreiheit","teilhabe","design","barrieren","tourismus","spiele","menschenrechtsverteidiger","sport","teilhabe","dosb","ausweis","barrierefreiheit","games","sport","contergan","teilhabe","gemeinnützigkeit","katastrophenschutz"
"10","abgabe","bank","leistungen","lastenausgleichsgesetzes","geschädigten","bund","richtlinien","oberländer","vermögen","geschädigten","zeitliche","wochenschauen","oberländer","lastenausgleich","rehs","lastenausgleich","bundespost","eichelbaum","bundesentschädigungsgesetz","vertriebenen","wiedergutmachung","vertriebenen","hirsch","unterhaltshilfe","steuerbegünstigung","personen","verbesserungen","ansprüche","lastenausgleichsfonds","sowjetzonenflüchtlinge","liquidation","flüchtlingen","deutschen","fonds","flüchtlinge","vorgänge","anmeldung","reeder","schiffe","verfassungsminister","londoner","stammvermögen","verfahrensfrage","stadt","postgilde","see","arbeitskampf","medienpolitik","petition","medienpolitischen","bürger","kanäle","öffentlichrechtlichen","schwarzschilling","american","medien","herauszuhalten","untersuchung","steuergeheimnis","karl","bundesrechnungshofes","parteien","flickkonzern","mandats","parlaments","barschel","vereinen","büchner","rechnungshof","bohl","bundesregierung","möllemann","bericht","illegale","lederer","kontrolle","informationen","köppe","new","behörden","mfs","tätigkeit","schmude","kollege","ok","wort","poß","sportausschuss","verkehrssicherheit","mosdorf","sport","sportlerinnen","gestatten","bewerbung","hinsken","außengastronomie","flughafengesellschaft","itz","öffnungszeiten","flughafen","detlef","stiftungen","detlef","tourismuswirtschaft","engagement","jugendaustausch","spende","bewerbung","anwohner","menschen","spiele","sports","teilhabe","olympischen","olympia","instituts","menschenrechtsrat","barrieren","unbehindertenrechtskonvention","korte","barrieren","behinderung","inklusion","ehrenamtlichen","hilfswerk","unbehindertenrechtskonvention","vereinen","bbk"
