"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","verfassung","amnestie","richter","bundesverfassungsgericht","richter","arndt","amnestie","justiz","bundesverfassungsgericht","verfahren","richter","richter","justiz","ehe","justiz","ahlers","richter","gericht","richter","justiz","justiz","strafrecht","justiz","rechtsprechung","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","vogel","pornographie","richter","justiz","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","wirtschaftskriminalität","frauen","verteidiger","rechtsausschuss","justiz","verjährung","strafe","freiheitsstrafe","strafe","todesstrafe","todesstrafe","richter","verjährung","erhard","justiz","auslieferung","polizei","justiz","gefangenen","justiz","justiz","terrorismus","gewalt","polizei","polizei","polizei","polizei","polizei","hafenstrasse","justiz","unterlagen","kriminalität","kronzeugenregelung","kriminalität","kriminalität","polizei","justiz","justiz","gewalt","justiz","tod","kriminalität","kriminalität","geis","täter","justiz","justiz","justiz","sicherheit","opfer","sicherungsverwahrung","opfer","opfer","sicherungsverwahrung","justiz","straftaten","opfer","justiz","justiz","opfer","justiz","daten","daten","datenschutz","daten","sicherungsverwahrung","sicherungsverwahrung","opfer","datenschutz","justiz","polizei","vorratsdatenspeicherung","opfer","vorratsdatenspeicherung","daten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","polizei","rechtsstaat","polizei","sicherheitsbehörden","polizei","rechtsstaat"
"2","bundesverfassungsgericht","amnestie","rechtsausschuss","zulassung","richter","bundesverfassungsgericht","richter","wehrbeauftragten","wittrock","gericht","richter","rechtsausschuss","verjährung","untersuchungshaft","richter","ehegatten","bundesanwaltschaft","gericht","justiz","gericht","bucher","weber","justiz","tier","ehe","diemernicolaus","busse","richter","freiheitsstrafe","mülleremmert","juristen","justiz","strafrecht","ehe","richter","jahn","leben","gefangenen","leben","kindes","straftaten","scheidung","vogel","eltern","gefangenen","verteidiger","vogel","mord","justiz","strafe","erhard","freiheitsstrafe","justiz","todesstrafe","richter","justiz","richter","altun","engelhard","juristenausbildung","zwangsernährung","polizei","polizei","polizei","rechtsstaat","gewalt","justiz","justiz","gewalt","gewalt","justiz","akten","akten","polizei","straftaten","straftaten","polizei","kriminalität","drogen","kronzeugenregelung","tod","korruption","justiz","opfer","polizei","justiz","opfer","geis","kriminalität","straftaten","kriminalität","sicherungsverwahrung","täter","straftaten","justiz","opfer","richter","wohnraumüberwachung","täter","rechtspolitik","opfer","montag","waffen","telekom","internet","kinderpornografie","internet","opfer","daten","straftaten","sicherungsverwahrung","datenschutz","datenschutz","daten","untersuchungsausschuss","daten","straftaten","sexuelle","opfer","täter","opfer","justiz","rechtsstaat","opfer","rechtsextremismus","polizei","verfassungsschutz","rechtsextremismus"
"3","grundgesetz","grundgesetz","richter","anwaltschaft","bundesverfassungsgerichts","wahl","justiz","gerichte","richter","richter","gericht","verwaltungsgerichtsbarkeit","verbrechen","rechtsausschuss","rechtsprechung","jahn","justiz","entwurf","rechtsprechung","jahn","verjährungsfrist","verjährung","strafe","gerichtsbarkeit","justiz","heinemann","justiz","wiederholungsgefahr","justiz","diemernicolaus","diemernicolaus","richter","eyrich","justiz","kriminalität","fall","frauen","justiz","fristenregelung","eltern","frau","frauen","bekämpfung","kinder","überwachung","vogel","rechtsausschuss","verbrechen","freiheitsstrafe","justiz","gericht","erhard","freiheitsstrafe","justiz","justiz","engelhard","emmerlich","bundesjustizminister","justiz","juristen","justiz","with","terrorismus","terroristen","verurteilung","justiz","straftaten","gewalt","justiz","justiz","gewalt","aufarbeitung","justiz","drogen","justiz","polizei","justiz","with","kriminalität","kriminalität","justiz","täter","täter","straftaten","sicherheit","straftaten","täteropferausgleich","täter","opfer","geis","kronzeugenregelung","täter","verbrechen","röttgen","zypries","täter","rechtspolitik","fingerabdruck","kriminalität","täter","montag","justiz","straftaten","sicherungsverwahrung","zypries","opfer","vorratsdatenspeicherung","straftaten","vorratsdatenspeicherung","software","daten","opfer","daten","snowden","daten","verfassungsschutz","untersuchungsausschuss","straftaten","amri","straftaten","anschlag","polizei","sicherheitsbehörden","polizei","rechtsstaat","rechtsstaat","gewalt","telegram"
"4","grundgesetzes","bundesverfassungsgericht","rechtspfleger","grundgesetz","gericht","gericht","strafe","wehrbeauftragte","rechtsausschuss","bundesverfassungsgerichts","anwalt","verwaltungsrichter","justiz","richter","rechtsausschuss","rechtsprechung","sicherungsgruppe","strafe","gerichte","presse","verjährung","ersatzdienst","strafrechts","richter","diemernicolaus","busse","richter","kriminalität","verjährung","polizei","reform","entschädigung","reform","scheidung","wiederholungsgefahr","strafvorschriften","schutz","strafe","frau","frau","kind","ehegatten","rechtsausschuss","kindes","rechtsausschuss","justiz","kleinert","aufhebung","rechtsausschuss","hartmann","freiheitsstrafe","strafe","strafe","amtsgericht","de","schmude","urteil","justiz","demonstranten","strafe","engelhard","verletzten","wirtschaftskriminalität","justiz","strafe","polizeibeamten","demonstrationen","gefangenen","polizeibeamten","verfassungsschutz","hamburger","unterlagen","kriminalität","aufarbeitung","täter","justiz","straftaten","täter","gewalt","rechtsstaat","drogen","drogen","hirntod","täter","straftaten","telefonüberwachung","justiz","instanz","geis","kriminalität","geis","straftaten","straftaten","justiz","straftaten","straftaten","zypries","justiz","stalking","opfer","rechtspolitik","richter","bundesverfassungsgericht","bundesverfassungsgericht","justiz","daten","opfer","justiz","täter","daten","täter","straftaten","opfer","nsa","menschenhandel","straftaten","täter","gewalt","sicherheit","fussfessel","untersuchungsausschuss","straftaten","verfassungsschutz","sicherheitsbehörden","polizisten","straftaten","sicherheitsbehörden","sicherheitsbehörden"
"5","verfassung","richter","gerichte","justiz","grundgesetz","justiz","strafrechts","richter","arndt","rechtsausschuss","justiz","arndt","rechtsausschuss","gericht","bundesgerichtshofs","warentests","arndt","güde","rechtsmittel","rechtsausschuss","verlängerung","richter","entwurf","tieren","richter","hauser","gerichte","diemernicolaus","täter","justiz","justizminister","reform","mülleremmert","reform","straftaten","auffassung","pornographie","schutz","lebens","verteidiger","wirtschaftskriminalität","indikation","verteidiger","vogel","justiz","emmerlich","justizminister","täter","hartmann","bewährung","vorschrift","rechtspolitik","abschaffung","landgericht","schmude","bad","wertgrenzen","kemal","ehe","straftaten","bundesjustizminister","rechtsstaat","kleinert","kronzeugenregelung","justiz","untersuchungshaft","engelhard","demonstrationen","with","verfassungsschutzes","senat","rehabilitierung","opfer","opfer","kriminalität","drogen","organisierten","justiz","drogenpolitik","däublergmelin","organentnahme","hauptverhandlungshaft","gewalt","justiz","justiz","rechtspolitik","kronzeugenregelung","däublergmelin","straftaten","opfer","straftaten","geis","sexuellen","stünker","dnaanalyse","justiz","kauder","opfer","hartenbach","straftaten","leutheusserschnarrenberger","telefonüberwachung","gehb","datenschutz","kinderpornografie","internet","rechtspolitik","daten","straftaten","täter","datei","sicherungsverwahrung","wirtschaftskriminalität","untersuchungsausschuss","justiz","aufklärung","polizei","täter","straftaten","polizisten","polizei","verfassungsschutz","polizisten","täter","täter","rechtsextremismus","straftaten","straftaten"
"6","art","bundesverfassungsgerichts","straffreiheit","gericht","reform","bundesverfassungsgerichts","arrest","justiz","rechtsprechung","verfahren","rechtsprechung","instanz","jahn","bundesjustizminister","wittrock","verfahren","verfahren","bundesverfassungsgericht","senats","diemernicolaus","verbrechen","gerechtigkeit","strafrechtsreform","tiere","gerichte","bundesjustizminister","güde","verbrechen","strafrecht","richter","strafrecht","lenz","entwurf","arndt","haftrechts","staatsanwaltschaften","frau","reform","schwangerschaftsabbruch","kind","verteidiger","arzt","gericht","eyrich","besuchsüberwachung","bundesjustizminister","generalbundesanwalt","unverjährbarkeit","strafrechtlichen","rechtsausschuss","justiz","justiz","schmude","auslieferung","untergebrachten","emmerlich","staatsanwaltschaft","engelhard","justizminister","engelhard","hungerstreik","rechtspolitik","engelhard","straftaten","polizei","vermummung","strafe","polizeibeamten","strafe","engelhard","kriminalität","köppe","aufarbeitung","straftaten","polizei","täter","täter","de","täter","beck","richter","kriminalität","kriminalität","lauschangriff","prävention","stgb","amnestie","richter","täter","polizei","sicherungsverwahrung","beck","opfer","opferschutz","strafverfahren","kauder","opfer","dnaanalyse","dnaanalyse","zypries","zypries","telekommunikationsüberwachung","bundesverfassungsgerichts","vorratsdatenspeicherung","opfer","grundrechte","datenschutz","täter","gewalt","justiz","strafe","daten","menschenhandel","bürger","täter","ströbele","vorratsdatenspeicherung","menschenhandel","verfassungsschutz","untersuchungsausschuss","straftaten","sicherheitsbehörden","kriminalität","gewalt","hanau","täter","bundespolizei","hanau"
"7","gericht","grundgesetzes","greve","bundesverfassungsgericht","wahl","wahlmännergremium","strafrecht","rechtsausschuss","mord","senat","jahn","jahn","verfahren","rheinlandpfalz","frau","stammberger","höcherl","gerichts","jahn","justiz","benda","rechtsausschuss","täter","jaeger","gericht","rechtsprechung","strafrecht","straftaten","diemernicolaus","demonstration","richter","polizei","schutz","ehegatten","verbrechensbekämpfung","reform","lebens","leben","fristenlösung","ehe","strafgesetzbuches","versorgungsausgleich","überwachung","freiheitsstrafe","inhaftierten","weber","gericht","gerechtigkeit","anwalt","vogel","paragraphen","rechtsordnung","erhard","de","recht","rechtspolitik","with","gerichte","bundesjustizminister","gefangenen","terroristen","de","terroristen","bekämpfung","rechtsordnung","terrorismus","de","terroristen","urteil","terrorismus","untersuchungshaft","verfassungsschutz","stasi","organisierten","rechtsstaat","verjährung","strafe","magdeburg","verbrechen","richter","kriminalität","beck","polizei","verbrechen","gendatei","polizei","straftaten","polizei","richter","stgb","innere","justiz","rechtspolitik","strafverfahren","richter","strafe","ströbele","zypries","graffiti","montag","nešković","pressefreiheit","montag","justiz","ströbele","waffen","missbrauch","waffen","montag","quellentkü","straftaten","täter","straftaten","aufklärung","sicherheitsbehörden","vleute","sicherheitsbehörden","polizei","polizisten","opfer","justiz","karlsruhe","straftaten","rechtsextremismus","hass","gewalt","rechtsextremismus","justiz"
"8","recht","art","urteil","anwalt","verfassung","grundgesetz","gerichte","wahl","verfassung","gerichte","rechtsanwalt","oberverwaltungsgericht","arndt","verfahren","bundesgerichtshof","bundesjustizminister","oster","jahn","richter","zeugnisverweigerungsrecht","verfahren","jahn","heinemann","bundesjustizminister","hauser","recht","strafrechts","heinemann","strafrechts","demonstrationen","jahn","mülleremmert","schriften","härteklausel","vogel","wirtschaftskriminalität","reform","strafrechts","mutter","kinder","ehe","frau","kinder","recht","verteidigerüberwachung","zwangsernährung","hartmann","justiz","lenz","lebenslangen","rechtsausschuss","straftaten","vogel","kriminalität","fälle","schwalbach","klein","justizminister","demonstrationen","verbrechen","justizminister","engelhard","opfer","gewalt","demonstrationsfreiheit","terroristen","gewalt","pressefreiheit","de","with","polizei","stasi","täter","verbrechen","with","ddr","kanther","bekämpfung","rechtsstaat","rechtspolitik","organspende","geis","menschen","polizei","inneren","taxifahrer","ströbele","herta","beck","richter","beck","geldstrafe","missbrauch","sicherungsverwahrung","täter","nachträgliche","bundesverfassungsgericht","ströbele","menschenhandel","journalisten","täter","bundesverfassungsgericht","zypries","gericht","datenschutz","bundesverfassungsgericht","straftaten","schutz","datenschutz","onlinedurchsuchung","waffen","polizei","strafe","edward","staatsanwaltschaft","polizei","maas","verfassungsschutz","sicherheitsbehörden","ströbele","sicherheitsbehörden","ersatzfreiheitsstrafe","gewalt","straftaten","straftaten","hass","anschlag","gewalt"
"9","justiz","justiz","straftaten","verfassung","grundgesetzes","arndt","rechtsprechung","gericht","verfahren","rechtsprechung","instanz","rechtsprechung","rechtsprechung","hauptverhandlung","ehegatten","oberstaatsanwalt","wittrock","verteidiger","reischl","strafprozessordnung","richter","arndt","sonderausschuss","entwurf","busse","dr","gericht","haft","taten","reform","hirsch","hirsch","ehe","gerichte","diemernicolaus","endet","strafrecht","freiheitsstrafe","abtreibung","justiz","kronzeugen","kind","geschiedenen","strafe","verteidigung","justizminister","verjährung","mordverjährung","vogel","verfahren","götz","richter","hansjochen","rechtshilfe","wirtschaftskriminalität","sachbeschädigung","bundesgerichtshofs","wirtschaftskriminalität","juristen","richter","gerichte","rechtsausschuss","gewalt","rechtsstaat","terroristen","de","kronzeugenregelung","rechtsstaat","strafvollzug","rechtsstaat","engelhard","kinkel","rechtsstaat","täter","opfer","aufarbeitung","meyer","gewalt","geis","organisierten","opfer","polizei","schmidtjortzig","organisierten","geis","kriminalität","kriminalität","verbrechen","pofalla","täter","opfer","stgb","fälle","täter","ströbele","ströbele","bundesverfassungsgerichts","täter","polizei","strafverfolgung","rechtsausschuss","journalisten","strafprozessordnung","gehb","kauder","straftaten","justiz","internet","internet","rechtsstaat","opfer","waffen","strafbar","ströbele","verfassungsschutz","sicherheit","edathy","stgb","täter","gewalt","gewalt","sicherheit","sicherheit","hass","rassismus","gefährder","rechtsstaat","opfer"
"10","bundesjustizminister","bundesjustizminister","gericht","bundesverfassungsgerichts","bundesjustizminister","mehrheit","rechtspfleger","bundesverfassungsgerichts","bundesjustizminister","bundesverwaltungsgericht","oberlandesgericht","verwaltung","verjährungsfristen","strafprozessordnung","böhm","unlauteren","haftbefehl","diemernicolaus","bucher","grundsatzrevision","jahn","zeugen","diemernicolaus","zeitungen","rechtsausschuss","ehe","mülleremmert","haftgrund","güde","gewalttätigkeiten","demonstrationen","jahn","juristen","gericht","rechtsausschuss","lenz","eyrich","strafgesetzbuches","schwangerschaft","straftaten","kriminellen","kinder","justiz","rechtspolitik","eyrich","strafprozessordnung","friedmann","strafverfolgung","rechtsberatung","straftaten","vogel","täter","iran","strafvollzug","verjährungsfrist","rechtspolitischen","volksgerichtshof","urteile","juristenausbildung","polizei","strafe","sexuelle","strafprozessordnung","with","mayer","engelhard","with","strafe","richter","strafe","raf","staatssicherheit","polizei","justiz","verjährung","akten","sicherheit","straftaten","polizei","täter","täter","richter","organe","geis","bekämpfung","beck","geis","sachbeschädigung","ströbele","jugendliche","justiz","van","justiz","opfern","stünker","stünker","menschenhandel","gehb","gehb","daten","rechtsstaat","strafprozessordnung","hessen","waffen","richter","kauder","täter","montag","polizei","computer","justiz","stgb","strafbarkeit","freiheit","straftaten","sicherheitsbehörden","verfassungsschutz","nachrichtendienste","rechtsstaat","amri","breitscheidplatz","chemnitz","europol","sicherheit","verfassungsschutz","polizisten","hass","kriminalität"
