"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sagen","ja","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","sagen","sagen","herr","sagen","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","dass","herr","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","herr","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass"
"2","ja","sagen","ja","ja","ja","ja","gesagt","ja","ja","gesagt","gesagt","gesagt","gesagt","kollege","kollege","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","heute","gesagt","herr","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","herr","gesagt","gesagt","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","sagen","sagen","herr","gesagt","herr","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","dass","dass","herr","dass","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","herr","sagen","herr","herr","dass","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","mal","mal","sagen"
"3","dinge","kollege","gesagt","gesagt","gesagt","kollege","ja","gesagt","gesagt","ja","kollege","kollege","kollege","gesagt","gesagt","kollege","kollege","gesagt","ganz","ganz","kollege","gesagt","kollege","kollege","kollege","heute","ja","ja","ganz","ganz","heute","heute","herr","kollege","herr","sagen","herr","gesagt","gesagt","gesagt","herren","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ja","gesagt","gesagt","gesagt","gesagt","herr","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","dass","sagen","sagen","sagen","sagen","sagen","gesagt","sagen","herr","herr","herr","herr","herr","sagen","sagen","sagen","sagen","herr","sagen","sagen","sagen","sagen","herr","herr","herr","herr","gesagt","gesagt","gesagt","mal","ja","mal","mal","sagen","sagen","mal"
"4","glaube","gar","kollege","dinge","kollege","gesagt","kollege","kollege","kollege","kollege","ja","dinge","dinge","ja","ja","gar","ganz","ja","kollege","kollege","ganz","herren","ja","damen","ja","kollege","ganz","ganz","muß","heute","herr","herr","heute","heute","heute","gesagt","kollege","herren","kollege","ja","gesagt","kollege","gesagt","kollege","ja","kollege","ja","ja","ja","gesagt","ja","ja","ja","ja","ganz","kollege","kollege","kollege","heute","heute","damen","damen","heute","herren","ja","ja","ja","ja","ja","ja","gesagt","ja","ja","ja","ja","ja","ja","ja","kollege","kollege","kollege","kollege","kollege","kollege","sage","kollege","kollege","kollege","kollege","kollege","dass","dass","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","herr","herr","ja","ja","mal","ja","ja","ja","ja","ja"
"5","kollege","dinge","dinge","kollege","gar","dinge","dinge","glaube","gar","dinge","dinge","herr","ja","herr","herr","ja","ja","ganz","ja","dinge","herren","heute","herren","ja","herren","ganz","heute","heute","möchte","ja","ganz","opposition","regierung","opposition","regierung","opposition","opposition","kollege","herren","herren","ja","ja","ja","ja","kollege","ja","bundeskanzler","bundeskanzler","heute","reden","ganz","ganz","reden","heute","ja","heute","reden","ganz","damen","ja","ja","heute","damen","eigentlich","eigentlich","heute","eigentlich","eigentlich","wirklich","ganz","wirklich","wirklich","sage","ganz","wirklich","kollege","kollege","kollege","ja","ja","ja","wirklich","ganz","tun","kollege","tun","ganz","ja","ja","hätten","kollege","finde","schon","schon","hätten","hätten","hätten","wirklich","hätten","hätten","eigentlich","eigentlich","schon","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","gesagt","kollege","ja","ja","ja","ja","ja","ja","herr","gesagt","gesagt","gesagt","glaube","glaube","gesagt","gesagt"
"6","herr","glaube","gar","möchte","glaube","gar","glaube","ganz","glaube","gar","ganz","ja","gar","dinge","dinge","dinge","dinge","dinge","glaube","ja","möchte","ganz","ganz","herren","ganz","ja","herren","möchte","ja","möchte","gar","ja","debatte","herr","kollege","herren","heute","ja","damen","kollege","damen","heute","damen","herren","heute","heute","kollege","kollege","ganz","ganz","reden","heute","heute","reden","reden","ja","ja","sage","ganz","kollege","heute","reden","herren","damen","heute","sage","kollege","wirklich","finde","eigentlich","ganz","ganz","wirklich","sage","sage","wirklich","wirklich","sage","tun","ganz","ganz","ganz","ja","sage","reden","ja","tun","herrn","ganz","darüber","schon","wirklich","reden","wirklich","schon","darüber","ganz","reden","merkel","geht","schon","kollege","kollege","frau","frau","frau","frau","tun","frau","frau","ganz","ganz","frau","glaube","ganz","kollege","wirklich","finde","schon","schon","schon","eigentlich","glaube","reden","gesagt","gesagt","glaube","glaube"
"7","gar","gesagt","möchte","glaube","dinge","glaube","gar","dinge","ganz","ganz","glaube","ganz","ganz","müssen","gar","tun","gar","muß","möchte","heute","gar","ja","damen","muß","herr","damen","muß","herren","kollege","herren","möchte","ganz","kollege","regierung","opposition","ja","regierung","heute","ja","ganz","kollege","herren","herren","heute","damen","ganz","reden","ganz","reden","heute","sage","reden","ganz","ganz","heute","reden","heute","muß","ja","sage","reden","herren","eigentlich","ganz","wirklich","eigentlich","heute","reden","eigentlich","wirklich","hätten","sage","ganz","kollege","kollege","ganz","sage","ganz","sage","frage","tun","sage","sage","ja","ja","sage","ja","reden","hätten","ja","hätten","schon","hätten","sage","reden","ganz","tun","debatte","geht","wirklich","immer","tun","eigentlich","wirklich","eigentlich","tun","eigentlich","frau","tun","ganz","glaube","tun","ganz","ganz","glaube","glaube","schon","glaube","glaube","glaube","glaube","finde","thema","glaube","vielleicht","finde","reden","antrag"
"8","möchte","möchte","schon","gar","wirklich","möchte","herr","gar","herr","glaube","gar","schon","herr","gar","ganz","ganz","weiß","herr","muß","muß","damen","kollegen","heute","ganz","damen","herren","möchte","muß","debatte","debatte","ja","herren","opposition","debatte","ja","damen","herren","damen","ganz","opposition","ganz","bundeskanzler","opposition","ganz","bundeskanzler","eigentlich","ganz","kohl","bundeskanzler","rede","muß","eigentlich","eigentlich","kollege","kollege","ganz","sage","heute","kollege","damen","ganz","ja","reden","ja","kollegen","reden","sage","ganz","kollege","sage","kollege","eigentlich","reden","wirklich","eigentlich","tun","ganz","wirklich","wirklich","sage","reden","ja","tun","ganz","tun","ganz","reden","sage","wirklich","ganz","ja","sage","wirklich","hätten","wirklich","wirklich","reden","hätten","wirklich","tun","kollege","schon","ja","schon","wirklich","ganz","tun","ganz","ganz","tun","frau","glaube","kollegen","finde","kollege","ganz","finde","ganz","tun","ganz","reden","glaube","reden","thema","schon","thema","ganz","herr"
"9","gesagt","schon","ganz","vielleicht","ganz","vielleicht","heute","tun","heute","herr","herr","glaube","muß","glaube","gesprochen","weiß","herr","heute","dinge","herr","muß","damen","möchte","heute","möchte","möchte","kollege","sei","reden","damen","dinge","regierung","herren","gar","herren","muß","ja","opposition","opposition","damen","bundeskanzler","damen","heute","bundeskanzler","eigentlich","herren","kohl","reden","eigentlich","eigentlich","wirklich","herren","kollege","kollegen","kollegen","kollegen","muß","ja","reden","reden","eigentlich","eigentlich","ja","sage","muß","ganz","tun","sage","ganz","kollege","sage","kollege","schon","reden","ganz","reden","reden","hätten","geht","tun","wirklich","tun","reden","reden","frage","schon","schon","tun","reden","müssen","reden","herrn","herrn","kollege","sage","eigentlich","müssen","ganz","sage","ganz","tun","wirklich","wirklich","darüber","sage","hätten","sage","hätten","geht","ja","tun","frau","ja","tun","schon","schon","eigentlich","eigentlich","wirklich","eigentlich","eigentlich","herr","herr","eigentlich","ganz","schon","schon","schon"
"10","ganz","herr","glaube","immer","möchte","ganz","ganz","immer","dinge","immer","müssen","gar","tun","ganz","müssen","herr","tun","gar","eigentlich","gar","ja","wissen","dinge","debatte","muß","muß","glaube","kollege","heute","opposition","kollege","kollege","ganz","herren","damen","regierung","damen","ganz","regierung","bundeskanzler","eigentlich","ganz","hätten","eigentlich","ganz","sage","gar","sei","strauß","gar","debatte","sage","rede","gar","tun","sage","tun","eigentlich","muß","eigentlich","schon","kollege","wirklich","heute","sage","wirklich","debatte","heute","sage","tun","eigentlich","reden","kollege","wissen","reden","sage","tun","tun","eigentlich","wirklich","sage","frage","frage","schon","schon","wirklich","hätten","ganz","gemacht","wirklich","wirklich","hätten","tun","ganz","darüber","tun","kollege","kollege","eigentlich","debatte","wirklich","hätten","thema","tun","frage","sage","hätten","finde","sage","geht","geht","schon","glaube","ja","finde","debatte","glaube","schon","eigentlich","wirklich","vielleicht","schon","gar","ganz","thema","eigentlich","finde","kollege"
