"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","verordnungen","antrag","sonntage","antrag","jugendlichen","passau","bundesjugendplan","licht","reinhaltung","bestellen","kattenstroth","gutachten","ausrüstungshilfe","frachthilfe","umwandlung","fahnen","juden","beglaubigung","lautete","kommissionen","bundeskasse","schwarzarbeit","listen","versicherungsnehmer","vorzeitig","schwarzwälder","rechtsanwälte","steiner","guillaume","bundeskanzleramtes","akten","schüler","traube","nachrichtendienste","garching","laabs","öffentlichkeitsarbeit","bürgschaft","strauß","lahnstein","illegalen","kontrollkommission","lahnstein","lahnstein","strukturberichterstattung","de","de","de","kultur","urheber","sprache","kulturpolitik","kultur","kultur","künstler","künstler","ostdeutschen","kultur","kultur","kultur","öffentlichrechtlichen","kultur","föderalismuskommission","film","wache","dat","kultur","ard","abgeordneten","einzelhandel","überhangmandate","conradi","banken","film","welle","volksfeste","dass","film","forschung","stammzellen","stammzellen","ladenöffnungszeiten","wale","klonen","enquetekommission","stammzellen","patientenverfügung","gmbh","girokonto","ethikrat","patientenverfügung","studie","stammzellen","cannabis","patientenverfügung","patienten","ethikrat","pid","cannabis","organspende","beschneidung","erkrankungen","pille","sterben","sterben","ezigaretten","rauchen","forschung","cannabis","cannabis","organspende","organspende","organspende","werbung","impfen","impfen","impfpflicht"
"2","damen","umdruck","umdruck","umdruck","abgeordnete","umdruck","abs","umdruck","abzulehnen","unertl","präsident","gewerbeordnung","häftlinge","lange","margentarife","jugendliche","charta","gemeinlast","salzgitter","abgase","messungen","bundesschatzministerium","unfallschwerpunkte","ausbildungshilfe","ostbayern","autobahntankstellen","bundespresseamt","herr","verwaltungsbehörden","schonfrist","herr","bonn","entwicklungshelfer","zusatzurlaub","prämie","mischnick","kirschwasser","überziehen","zeugen","ehmke","chef","guillaume","verbraucherpolitik","verfassungsschutz","kontrolle","verfassungsschutz","spionagefall","bölling","monierbau","mad","posser","illegale","untersuchungsausschuß","bnd","sportbund","skarpelissperk","la","et","la","kunst","geistigen","kultur","goetheinstitut","sprache","sprache","kultur","konkurs","welle","kunst","kulturellen","museum","kultur","kulturelle","berlin","sprache","gedenkstätte","de","kulturpolitik","stoiber","diäten","ladenöffnungszeiten","umzug","übergangsgeld","welle","kaufmann","otto","welle","bundesdruckerei","dass","pid","forschung","forschung","einzelhandel","walfang","film","girokonto","embryonalen","organspende","rechtsform","gmbh","ethikrates","patienten","gmbh","forschung","patienten","patienten","studien","technikfolgenabschätzung","kind","menschen","menschen","eltern","cannabis","verschreibungspflicht","sterbehilfe","menschen","eshishas","ezigarette","cannabis","drogen"," a","widerspruchslösung","widerspruchslösung","widerspruchslösung","rauchen","impfstoff","geimpft","impfung"
"3","ausschuß","präsident","präsident","vizepräsident","umdruck","präsident","umdruck","dr","bitten","kennzeichnungspflicht","abgeordnete","frau","präsident","energiewirtschaftsgesetzes","präsident","friseurhandwerk","verboten","jugendlichen","südbrücke","messungen","grundwassers","senator","warschauer","ausrüstungs","courtoisie","mm","bezugssystem","schwedischen","grundpreiskennzeichnung","zusatzfrage","einkommensschichten","kollege","roser","droge","versicherer","hätte","arbeitskreises","regelsatzes","wienand","bundeskanzleramt","schüler","ehmke","stern","maihofer","verfassungsschutz","traube","untersuchungsausschuß","staatssekretär","schlecht","franz","köln","lahnstein","parlamentarischen","bundeskanzleramt","bundestrainer","lahnstein","et","la","auktionshaus","kulturpolitik","eigentums","kulturpolitik","kultur","kunst","lehrer","künstlersozialversicherung","konkursordnung","kulturarbeit","künstler","kulturpolitik","kulturellen","kulturarbeit","kulturellen","beschluß","kultur","kollwitz","berlin","welle","rundfunkanstalten","verkleinerung","öffnungszeiten","reformkommission","bezüge","wahlkreise","beamten","bury","schaustellergewerbe","rundfunk","pid","stammzellen","embryonalen","embryonen","uhr","iwc","enquetekommission","künstlerinnen","forschung","sterben","mindestkapital","konto","rauchen","sterben","rettungsassistenten","stammzellforschung","patientenverfügung","arzt","patientinnen","patienten","behinderung","kabinenluft","entscheidung","kindes","betreuungsbehörde","frauen","leben","suizid","sterben","ezigaretten","patientenverfügung","suizid","studie"," a","entscheidung","masern","menschen","geimpft","sterben","impfen"
"4","herren","vizepräsident","lesung","präsident","dr","bitten","satz","abs","präsident","stoffe","antrags","krabben","straßenbauplan","elbrächter","landesjugendamt","samstagnachmittag","jugendliche","richtsätze","verkehrsunterricht","belgische","wasserhaushaltsgesetzes","sport","xvi","wischnewski","fertigen","var","roten","schweden","standardisierung","revisionen","berater","fragwürdige","revolutionär","herr","isländischen","scheel","amerikanischen","freies","ehmke","nollau","bnd","bundeskanzleramt","verbraucher","verfassungsschutzes","akten","untersuchungsausschuß","minderheit","bundeskanzleramt","beton","josef","merex","merex","untersuchungsausschusses","bundesnachrichtendienstes","handballbund","kabinettsbeschluß","les","kreuz","versteigert","künstler","kultur","künstler","goetheinstituts","kulturpolitik","herr","sprache","sozialplan","kultur","kulturpolitik","kulturelle","kulturelle","anstalten","museum","umzug","deutschen","käthe","umzug","kunst","öffentlichrechtlichen","parlament","wiese","wahlkreise","dienst","transparenz","börnsen","kontrollkommission","öffnungszeiten","bank","filmförderung","embryonen","embryonen","menschenwürde","samstag","finanzplatz","klonens","konto","stammzellforschung","enquetekommission","gründung","selbstverpflichtung","enquetekommission","nichtraucherschutz","strahlung","embryonalen","arzt","beratung","ärzte","ethikrates","leben","drogen","cannabis","betroffenen","drogen","wirkstoff","suizid","cannabis","ärzte","selbstbestimmung","hinterbliebenen","drogenpolitik","altersfeststellung","ärzte","test","entscheidung","werbeverbot","cannabis","geimpfte","geimpft"
"5","präsident","dr","änderungsantrag","bitten","änderungsantrag","abs","bitten","vizepräsident","pfennig","präsident","bitten","kollegin","wort","gesetz","zentralen","berufsschule","jugendlichen","getreidefrachten","schulen","stäube","heizöltanks","jugend","radioaktivität","geliefert","fragebögen","sammelstelle","dpa","vizepräsident","öffentliche","herr","amtlichen","hören","herr","makler","krampf","gesetz","parl","deren","guillaume","verfassungsschutz","waffengeschäften","rücktritt","verbraucherbericht","wohnung","koch","nachrichtendienste","verfassungsschutz","wahlplattform","staatssekretär","untersuchungsausschuß","öffentlichkeit","öffentlichkeitsarbeit","illegalen","bundesnachrichtendienst","stenzel","regierungserklärung","le","vornehmen","stempel","kulturellen","vorwort","kunst","sonn","künstler","schulen","jugendschutz","arbeitsloseninitiativen","deutschlandfunk","duve","duve","kunst","kulturellen","museums","konzeptkommission","gedenkstätten","bundeszentrale","un","berlin","rundfunk","stiftungen","uhr","wilhelm","rechtschreibung","wahlrecht","filmförderungsgesetz","staatssekretäre","übernahmen","fusion","ladenschluss","menschlichen","import","enquetekommission","ladenschlussgesetz","forschung","ethik","organe","erfindungen","patientenverfügungen","gmbhrechts","jedermann","ethischen","selbstbestimmung","girokonto","stammzelllinien","rauchverbot","ärzte","patientenrechte","ethikbeirat","eltern","intersexualität","biobanken","eingriff","substitutionsbehandlung","levonorgestrel","menschen","palliativversorgung","sterbehilfe","zigaretten","studien","jugendschutz","werbung","ärztinnen","ärzte","geimpft","blutspende","impfung","impfung","impfungen"
"6","gesetz","abgeordnete","vizepräsident","lesung","herren","dr","dr","präsident","werkfernverkehrs","stammberger","abzulehnen","lebensmittelgesetz","herr","vier","damen","jugendarbeitsschutzgesetz","internationalen","ablösung","bonner","persönliche","tonne","firma","herr","besucher","kürze","sammelstellen","bundesaußenministers","könne","beglaubigungen","gmbh","wienand","zusatzfrage","australien","griechenland","sorge","grobe","bundesregierung","mittlerweile","untersuchungsausschuß","guillaumes","bundesnachrichtendienstes","präsidenten","guillaume","terroristen","chef","dienste","lutze","papier","treuarbeit","dienste","kraftwerkbau","arbeitnehmerüberlassung","rauschenbach","präsidenten","seriösen","wettbewerb","que","presse","et","kulturelle","rheumakranken","ausland","werbung","kulturarbeit","feiertagen","filme","künstlersozialversicherung","kulturellen","kulturellen","neumann","kulturpolitik","rundfunk","stiftung","verlagerung","hörfunk","film","kultur","kulturellen","sitzordnung","entschädigung","ladenschlußgesetz","überhangmandaten","beamten","verkleinerung","filmförderungsgesetzes","wilhelm","schausteller","öffentlichrechtlichen","präimplantationsdiagnostik","embryonalen","film","renesse","geschäfte","richtlinie","verbot","künstler","embryonen","patienten","stammkapitals","limited","rauchverbot","rauchen","leukämie","embryonen","passivrauchen","entscheidung","arzt","tab","behinderungen","behinderungen","entscheidungslösung","zwangsbehandlung","psychischen","psychischen","tod","leben","suizid","alkohol","studie","legalisierung","studien","entscheidung","ärztinnen","impfen","diabetes","impfstoffe","impfstoff","menschen"
"7","herr","herr","ziffer","wort","vizepräsident","vizepräsident","vizepräsident","wort","abs","umdruck","schmücker","borsäure","verwaltungsbehörde","reiseandenken","gemeingebrauch","samstagnachmittagen","reichsgoldmünzen","gewerblichen","gelbem","jugendlichen","vizepräsident","gutachten","tierschutzgesetzes","spannungsgebiet","verlust","kriminalpolizei","herr","einwohner","beurkundung","bauwirtschaft","konzept","abgeordneter","helfer","welt","anziehend","vw","späte","herr","schäuble","bnd","carstens","ermittlungen","nouhuys","innenminister","bundesinnenminister","standort","generalbundesanwalt","schröder","banken","nachrichtendienste","beton","firma","illegale","angelegenheiten","vorsitzenden","spät","qui","mais","zahlenmaterial","künstlern","kulturellen","schulen","auswärtige","deutschen","menschenverachtende","videokassetten","kunst","bundesrundfunkanstalten","lesen","welle","museums","kulturelle","deutschen","film","gedenkstätte","gedenkstätten","ick","einrichtungen","berlin","einkünfte","urbaniak","rundfunk","medien","bury","filmförderung","schmidt","schaustellergewerbes","internet","produzenten","zugabeverordnung","adulten","embryo","öffnungszeiten","finanzmarkt","filmwirtschaft","richtlinie","schweiz","pid","limited","banken","ethische","krankheit","krebs","stichtag","befruchtung","menschen","behandlung","ethische","patienten","behinderung","organspender","leben","betreuung","danach","ärzte","tod","palliativmedizin","ärzte","angehörigen","ehegatten","ärzte","organe","spender","impfung","verbot","impfungen","leben","allgemeine"
"8","möchte","herren","bitten","dr","abs","anliegen","abzulehnen","abgeordnete","atzenroth","ausnahmen","herr","antrag","dr","verkaufsoffenen","herren","jugendarbeitsschutzgesetzes","abzulehnen","bundesjugendplans","gelbes","geesthacht","landwirtschaftlich","flutlichtanlage","alphastrahler","diplomatischen","orient","wischnewski","generation","gewerkschaften","notar","kollege","bitte","gestrige","bekämpfung","schwerbeschädigtengesetz","beisein","übernehmen","söhne","katastrophenschutzes","untersuchungsausschusses","untersuchungsausschuß","akten","merex","van","fall","maihofer","culham","schadensbewertung","kanzleramt","emstek","untersuchungsausschusses","ag","franz","einsetzung","nachrichtendienste","hersteller","parlamentarischen","en","son","anonymen","duve","erkrankungen","lärmschutzzone","kulturellen","geschichte","grundhaltung","künstlersozialkasse","sozialplanforderungen","kulturelle","kulturarbeit","künstler","duve","werbung","keller","beschlusses","kulturelle","landesmedienanstalten","wi","kulturelle","zdf","parlaments","häfner","wahlrecht","rechtschreibreform","rechtschreibung","hgb","deutschen","einzelhandel","banken","volksfeste","präimplantationsdiagnostik","menschlichen","stammzelllinien","ladenschluss","übernahmen","forschung","anfrage","richtlinie","menschen","mindeststammkapitals","bonität","gremium","patientenverfügungen","kikkstudie","patienten","beratung","befruchtung","patient","ethikbeirates","menschen","intersexuellen","organe","jüdischen","substanzen","erkrankungen","patienten","arzt","selbstbestimmung","drogen","patienten","freiheitsentziehende","schwangerschaftsabbrüche","jusos","informationen","tod","entscheidung","menschen","menschen","herbst"
"9","glaube","änderungsantrag","gesetz","änderungsantrag","präsident","wort","herren","bitten","umdruck","elbrächter","herren","bier","formulierung","sonntagen","eier","montagvormittag","nachmittag","nachbarschaftshilfe","rauchens","haniel","berührung","wiesbadener","geißler","militärische","nichteinmischung","umwandlungen","zwischenfrage","kollege","uhr","knüppel","verwaltungsverfahren","freundlichkeit","entwicklungshelfern","arbeitstage","schwesternausbildung","bilanz","weltkrieg","geschädigten","zeuge","einstellung","bundeskanzleramt","bundeskanzleramtes","bundeskanzleramtes","märz","dienste","jet","voss","vermerk","carstens","linde","staatssekretär","strauß","nachrichtendienste","kontrollkommission","kontrolle","minister","dans","unhaltbare","aufwertung","bund","kulturdenkmäler","deutsch","stiftung","deutsche","kulturelle","vermarkter","kultur","künstler","neumann","geistigen","fünf","rundfunkanstalten","minderheiten","bonn","deutsche","mahnmal","kunst","kulturförderung","anstalten","parlamentsreform","beschäftigten","verkleinerung","bundestag","überhangmandate","unternehmen","parlamentarischen","ladenöffnungszeiten","medien","übernahmen","embryo","antrag","indikation","einzelhandels","japan","medizin","biopatentrichtlinie","software","leben","hedgefonds","menschen","enquetekommissionen","menschen","erkranken","embryonale","indikation","leben","patientenrechtegesetz","patientenberatung","präimplantationsdiagnostik","krankheiten","organspendeausweis","gesetzentwurf","gesundheit","eingenommen","beihilfe","pille","arzt","arzt","demenz","zeulner","menschen","leben"," a","impfungen","zigarette","biontech","impfstoffe","impfstoffe"
"10","bitte","zuzustimmen","abzulehnen","abgeordnete","damen","herren","präsident","damen","spd","frau","anträge","dittrich","häftlingen","ausnahmen","abzulehnen","beschäftigt","abs","güternahverkehrstarifs","honnef","staustufe","merkmale","gutachter","dr","afrika","annäherung","scheel","repräsentant","förderung","vizepräsident","coppé","schlüssel","erledigung","münzen","ersetzung","reifen","leider","isländischen","osthandel","verdacht","untersuchungsausschusses","mitarbeiter","untersuchungsausschuß","verbraucherpolitischen","innern","schüler","bundesanwaltschaft","untersuchungsausschusses","streng","bundeskanzleramt","minderheit","gericht","unterlagen","fahrzeuge","gespielt","untersuchungsausschuß","herausgreifen","nous","vorganges","un","geschichte","rheumatischen","deutsche","feiertagen","kulturellen","unrealistisch","kategorie","diätenerhöhung","ostdeutsche","czaja","eigentums","ehemaligen","kulturpolitik","gedenkstätten","ministerien","deutsch","filme","konzeptkommission","auslandssender","öffentlichrechtliche","öffentlichen","einzelhändler","berlin","stimme","gres","filmförderungsanstalt","bundestag","kontrag","mosdorf","einzelhandel","rabattgesetz","leben","embryonalen","verbraucher","dass","menschenwürde","dass","forscher","selbstbestimmung","reduzierung","dehm","lebenswissenschaften","willen","unternehmergesellschaft","verschiebung","leben","betroffenen","register","ethischen","stammzellen","intersexuelle","organ","dass","psychische","beratung","selbstbestimmung","hilfe","hospiz","menschen","leid","vorsorgevollmacht","schwangerschaftsabbruch","werbung","leben","menschen","tabakwerbung","impfdosen","suizid","lauterbach"
