"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","europa","europäischen","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","atomwaffen","sowjetunion","wiedervereinigung","politik","sowjetunion","politik","waffen","welt","welt","berlin","vertrag","sowjetunion","bundeskanzler","politik","schröder","frankreich","staaten","staaten","europa","politik","sowjetunion","ddr","sowjetunion","sowjetunion","politik","sowjetunion","deutschland","sowjetunion","politik","ddr","ddr","vertrag","ddr","ddr","polen","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","berlin","ddr","berlin","ddr","ddr","ddr","ddr","einheit","polen","vertrag","deutschen","deutschen","kultur","ddr","tschechischen","einheit","kulturpolitik","erklärung","ausstellung","kultur","deutschen","berlin","mahnmal","stiftung","jüdischen","polen","kulturpolitik","welle","kultur","kultur","antisemitismus","kultur","welle","kultur","mauer","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","israel","kultur","völkermord","kultur","antisemitismus","antisemitismus","kultur","kultur","kultur","opfer","kultur","geschichte","kultur"
"2","deutschlands","politik","deutschlands","verträge","wiedervereinigung","politik","politik","waffen","wiedervereinigung","deutschlands","aussenpolitik","abrüstung","aussenpolitik","berlin","deutschen","berlin","ollenhauer","europa","politik","politik","staaten","auswärtigen","nato","europa","beziehungen","politik","ddr","staaten","politik","politik","bundeskanzler","ddr","deutschland","bundeskanzler","verträge","deutschland","vertrag","staaten","ddr","sowjetunion","sowjetunion","ddr","menschenrechte","menschenrechte","menschenrechte","sowjetunion","sowjetunion","sowjetunion","sowjetunion","beziehungen","sowjetunion","berlin","beziehungen","beziehungen","beziehungen","berlin","beziehungen","deutschlandpolitik","beziehungen","polen","deutschen","menschenrechte","berlin","berlin","ddr","berlin","ddr","berlin","berlin","einheit","einheit","ddr","deutschen","deutschen","polen","geschichte","deutschen","kultur","vertreibung","ddr","tschechischen","tschechischen","wehrmacht","kulturpolitik","geschichte","geschichte","denkmal","opfer","demokratie","opfer","sprache","antisemitismus","deutschen","welle","juden","welle","kultur","geschichte","opfer","bibliothek","welle","künstler","enquetekommission","computerspiele","medien","grundgesetz","versöhnung","stiftung","religionsfreiheit","digitalisierung","namibia","aufarbeitung","künstler","ddr","künstler","welle","bildungspolitik","geschichte","kulturelle","geschichte","kultur","welle","geschichte","ddr","juden","opfer","antisemitismus","geschichte"
"3","deutschland","deutschlands","politik","deutschlands","deutschlands","welt","sowjetunion","sowjetunion","politik","waffen","welt","politik","sowjetunion","staaten","politik","schmückle","bundeskanzler","staaten","vertrag","europa","erler","staaten","deutschland","truppen","sowjetunion","staaten","deutschlands","politik","deutschlands","staaten","politik","sowjetunion","beziehungen","auswärtigen","politik","bundesrepublik","nationen","politik","beziehungen","beziehungen","deutschland","deutschland","helsinki","helsinki","mertes","berlin","berlin","wiedervereinigung","menschenrechte","sowjetunion","deutschen","nation","sowjetunion","berlin","sowjetunion","beziehungen","deutschlandpolitik","nation","berlin","beziehungen","polen","deutschen","deutschen","grenze","beziehungen","deutschlandpolitik","rumänien","polen","polen","deutschen","deutschen","deutschen","einheit","ddr","deutschland","einheit","kulturellen","enquetekommission","polen","menschen","kultur","sudetendeutschen","geschichte","stiftung","einheit","gedenkstätten","bonn","deutschen","geschichte","deutschen","deutschen","kultur","staatsministerin","sprache","entschädigung","kulturpolitik","sprache","breitenkultur","kultur","nationalbibliothek","islam","kulturellen","kulturpolitik","elser","juden","verfassung","stiftung","religionsfreiheit","christen","aufarbeitung","musik","ddr","kreativwirtschaft","geschichte","künstlersozialversicherung","aufarbeitung","kulturelle","deutschen","film","kultur","israel","deutsche","opfer","opfer","geschichte","geschichte","helmut","opfer"
"4","europäischen","europa","ollenhauer","sowjetunion","politik","sowjetunion","ungarn","wiedervereinigung","nato","politik","bundeskanzler","wiedervereinigung","berlin","nato","staaten","europa","politik","politik","staaten","deutschfranzösischen","europa","französischen","französischen","vereinigten","politik","sowjetunion","sowjetunion","europa","deutschland","bundeskanzler","europa","nation","bundesrepublik","ddr","vertrag","ddr","vereinten","deutschland","sowjetunion","berlin","beziehungen","polnischen","deutschland","berlin","deutschland","menschenrechte","mertes","deutschen","politik","menschenrechte","politik","beziehungen","deutschen","polen","polen","deutschlandpolitik","deutschen","berlin","deutschen","deutschen","deutschlandpolitik","deutschland","menschenrechte","deutschen","deutschland","menschenrechte","beziehungen","beziehungen","ungarn","menschen","deutschlands","deutschland","vertrag","einheit","menschen","ddr","deutschland","einheit","sudetendeutschen","geschichte","sudetendeutschen","deutschtschechischen","krieg","geschichte","demokratie","kultur","geschichte","freiheit","kultur","rechtssicherheit","kultur","geschichte","kulturpolitik","juden","kultur","deutsche","deutsche","berliner","islam","bücher","muslime","künstlersozialversicherung","kulturelle","auslandsschulen","antisemitismus","staatsziel","vertreibung","demokratie","sinti","opfer","sinti","kreativwirtschaft","aufarbeitung","grütters","kunst","geschichte","kulturellen","kultur","bildungspolitik","kunst","sprache","deutschen","ddr","geschichte","juni","aufarbeitung","kohl","welle"
"5","deutschen","ollenhauer","londoner","politik","konferenz","deutschlands","welt","abrüstung","deutschlands","sowjetunion","sowjetunion","zone","welt","welt","berlin","nato","sowjetunion","bundeskanzler","welt","staaten","bundeskanzler","beziehungen","staaten","deutschland","europa","deutschland","europa","tschechoslowakei","anerkennung","ddr","staaten","deutschland","staaten","europa","europa","staaten","staaten","sowjetunion","deutschland","deutschland","konferenz","berlin","jäger","deutschland","staaten","beziehungen","beziehungen","nation","deutschland","deutschen","berlin","deutschen","deutschlandpolitik","deutschen","deutschland","nation","berlin","deutschen","deutschlandpolitik","deutschland","berlin","deutschlandpolitik","deutschland","deutschland","staaten","west","polen","menschenrechte","freiheit","berlin","deutschland","deutschlands","deutschland","ungarn","einheit","polen","einheit","freiheit","nachbarn","deutschen","beziehungen","beziehungen","opfer","kulturellen","freiheit","freiheit","juden","kultur","berliner","kulturpolitik","deutsche","deutschen","deutsche","jüdischen","denkmal","deutschen","leitkultur","kulturpolitik","ddr","deutsche","deutschen","kulturwirtschaft","musik","filme","jüdischen","stiftung","enquetekommission","christen","geschichte","akten","kloster","kulturellen","künstlerinnen","kunst","liebknecht","ddr","deutschen","kulturgut","kulturellen","künstler","welle","freiheit","freiheit","freiheit","jüdischen","deutschen","juden","aufarbeitung"
"6","politik","welt","europäischen","deutschland","sicherheit","bundesrepublik","nato","welt","atomwaffen","atomwaffen","erler","deutschlands","wiedervereinigung","erler","bundeskanzler","politik","wehner","vereinigten","vereinigten","deutschland","auswärtigen","bundeskanzler","politik","politik","bundeskanzler","beziehungen","staaten","sowjetischen","staaten","vertrag","ddr","bundeskanzler","ddr","deutschen","deutschland","bundeskanzler","deutschland","beziehungen","vertrages","politik","staaten","deutschen","beziehungen","deutschlandpolitik","sowjetunion","nation","deutschland","deutschland","nation","deutschland","polen","deutschland","innerdeutschen","sowjetunion","deutschen","deutschen","gespräche","deutschland","deutschland","deutschlandpolitik","deutschland","polen","deutschlandpolitik","menschenrechte","einheit","beziehungen","berliner","deutschen","berliner","polen","polen","polen","ddr","geschichte","deutsche","menschen","kulturelle","geschichte","tschechen","freiheit","deutschen","tschechen","verbrechen","opfer","aufarbeitung","deutschen","deutschen","kunst","jüdische","deutsche","geschichte","juden","kunst","deutsche","opfer","sprache","deutschen","auswärtige","büttner","künstler","aufarbeitung","kulturelle","kulturwirtschaft","medien","geschichte","demokratie","vertriebenen","kunst","welle","filme","reagan","filme","staatsleistungen","aufarbeitung","kirchen","juden","auswärtige","versöhnung","filme","welle","juden","geschichte","juden","juden","ddr","minderheiten","stiftung","freiheit"
"7","deutsche","wiedervereinigung","europa","welt","moskau","europa","deutschlands","politik","abrüstung","welt","wiedervereinigung","freiheit","deutschen","amerikanischen","sowjetunion","staaten","staaten","europäischen","entspannung","berlin","welt","deutschland","europa","bundesrepublik","vereinigten","bundeskanzler","berlin","bundeskanzler","beziehungen","europa","deutschland","europa","europa","politik","ddr","vertrag","grundvertrag","bundesrepublik","bundesrepublik","staaten","berlin","sowjetunion","schlussakte","sowjetunion","chile","deutschland","abkommen","politik","staaten","bundeskanzler","deutschland","sed","schlussakte","honecker","polnischen","deutschland","deutschland","einheit","staaten","volksrepublik","beziehungen","beziehungen","berliner","polen","deutschen","staaten","deutschen","staaten","deutschen","deutschland","menschen","freiheit","deutschpolnischen","deutschlands","europa","freiheit","freiheit","kulturpolitik","vertriebenen","enquetekommission","bundeskanzler","geschichte","deutsche","menschen","stiftung","einheit","demokratie","volk","gedenkstätten","stiftung","freiheit","berliner","geschichte","deutschen","jüdischen","opfer","rechtschreibung","religionsunterricht","teilung","neumann","islamkonferenz","vielfalt","kulturellen","washingtoner","film","grundgesetzes","steinbach","religion","künstler","reformation","polen","digitalisierung","vertreibung","kulturpolitik","künstlersozialkasse","bauhaus","grütters","deutsche","kunst","freiheits","geschichte","juden","sinti","hohenzollern","kultur","christen","orte","religionsfreiheit"
"8","verträge","konferenz","welt","freiheit","welt","freiheit","sicherheit","deutschlands","waffen","aussenpolitik","westlichen","deutschen","deutschland","bundesrepublik","deutschlands","erler","freiheit","frankreich","europa","vereinigten","deutschen","politik","welt","französischen","deutschland","regierung","beziehungen","aussenminister","bundeskanzler","deutschland","moskau","staaten","politik","staaten","deutschen","scheel","einheit","nationen","verträge","verträge","bundesrepublik","beziehungen","mertes","politik","beziehungen","deutschlandpolitik","bahr","berlin","beziehungen","sowjetischen","nation","deutschlandpolitik","berlin","helsinki","menschen","deutschlands","staaten","geschichte","nation","berlin","deutsche","windelen","beziehungen","beziehungen","deutschlands","berlins","berlins","deutschlandpolitik","menschen","freiheit","freiheit","europa","menschen","deutschland","bundeskanzler","deutschlands","deutsche","deutschland","deutschen","bundeskanzler","tschechen","deutschen","deutschen","deutschen","deutsche","republik","opfer","geschichte","freiheit","kultur","auslandsschulen","deutsche","demokratie","deutschland","stiftung","nooke","stiftung","deutsche","brandenburger","kunst","christen","religionsfreiheit","neumann","film","aufarbeitung","freiheit","flucht","versöhnung","kultur","access","rasse","film","kreativen","gedenken","ddr","deutschen","stiftung","sowjetunion","welle","deutschen","deutsche","forum","israel","revolution","freiheit","verbrechen","sowjetunion","kunst"
"9","welt","deutschland","deutschland","europa","deutschen","verträge","freiheit","nato","welt","nato","staaten","europa","spanien","atomwaffen","nato","bundeskanzler","mauer","welt","bundeskanzler","deutschfranzösische","beziehungen","europa","französische","sowjetunion","deutschlands","bundesrepublik","deutschland","deutschland","drüben","bundesrepublik","verhandlungen","vertrag","entspannung","bundesrepublik","frieden","deutschen","nation","berlin","abkommen","nation","elbe","nation","staaten","schlussakte","berlin","staaten","politik","einheit","berlin","geschichte","bundeskanzler","polen","deutschland","innerdeutschen","innerdeutschen","berliner","innerdeutschen","deutschlands","deutschlands","staaten","deutschlands","ottawa","staaten","menschen","berliner","deutschland","besuch","akademie","senat","deutschlands","staatsvertrag","menschen","deutsche","europa","polnischen","deutschland","bundeskanzler","deutschen","bundeskanzler","deutschland","unrecht","unrecht","volk","freiheit","volk","tschechischen","freiheit","demokratie","einheit","zwangsarbeiter","kulturen","historischen","sprache","opfer","berliner","künstler","geschichte","deutschen","islamismus","palast","neumann","christen","kunst","schulen","deutschland","eigentum","bdv","vertreibung","polen","welterbestätten","stöbe","geschichte","geschichte","kulturelle","geschichte","völkermord","geschichte","opfer","geschichte","juden","israels","denkmal","deutschen","antisemitismus","jüdische","griechenland","deutschen","ddr"
"10","einheit","verträge","sowjetunion","sicherheit","genf","staaten","deutschland","atomaren","deutschland","deutschland","freiheit","welt","freiheit","deutschland","deutsche","vereinigten","europa","nato","erler","deutschen","wiedervereinigung","deutschlands","bündnis","waffen","bundesrepublik","welt","nation","welt","berlin","nation","barzel","bundesrepublik","berlin","berlin","nation","brandt","politik","verträge","tschechoslowakei","deutschen","abkommen","vereinbarungen","ksze","deutschen","polen","entspannung","deutschen","deutschlandpolitik","deutschen","frieden","beziehungen","deutschlands","menschenrechte","deutschland","berlin","drüben","beiden","teilung","einheit","geschichte","einheit","grenzen","stadt","geschichte","freiheit","deutschen","staaten","deutschland","sowjetunion","währungsunion","europa","deutsche","bundeskanzler","polen","nachbarn","bundeskanzler","baltischen","deutschlands","heimat","aufarbeitung","geschichte","prag","marshallplan","tschechischen","diktatur","demokratie","stadt","berlin","opfer","geschichte","demokratie","opfer","freiheit","zentralrat","homosexuellen","geschichte","barthel","mauer","demokratie","staatsziel","dialog","konvention","kreativwirtschaft","georg","staatsminister","medien","stiftungsrat","flucht","kommunismus","demokratie","mor","urheber","kirchen","staatsministerin","weltgemeinschaft","deutsche","auslandsschulen","film","deutsche","künstlerinnen","erinnerungskultur","kulturellen","roma","deutschen","deutschen","akten","demokratie","seddiktatur"
