"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","heimkehrer","kriegsopfer","novelle","ansprüche","kriegsopfer","entschädigung","novelle","staatsvertrag","kriegsopfer","kriegsopfer","kriegsopfer","häftlinge","heimkehrer","schwerbeschädigten","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","spanischen","aufsichtsrat","spanischen","patentanwalt","unternehmen","tankstellengewerbes","neugliederung","fremdenverkehr","saar","saarland","saar","abwässer","liter","bodensee","waffen","bitte","werbung","kohle","forschung","kernenergie","forschung","kernenergie","forschung","kernenergie","kernenergie","energiepolitik","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","nordsee","kernenergie","forschung","kommission","mikroelektronik","umweltschutz","umweltschutz","buschhaus","umwelt","kernenergie","umwelt","wallmann","kernenergie","töpfer","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","töpfer","umwelt","umwelt","umwelt","töpfer","umwelt","merkel","naturschutz","umwelt","naturschutz","umwelt","merkel","merkel","umweltpolitik","trittin","kernenergie","trittin","trittin","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","klimaschutz","energiewende","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","erneuerbaren","klimaschutz","klimaschutz","energien"
"2","dm","kriegsopfer","lastenausgleichsgesetzes","leistungen","dm","novelle","geschädigten","ansprüche","schuldner","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","kriegsopferversorgung","kriegsopfer","entschädigung","kriegsopfer","kriegsopfer","kriegsopfer","kriegsopfer","blank","seidel","gesellschaft","gesellschaften","gesellschaften","volkswagenwerk","euskirchen","volksbegehren","fremdenverkehrs","saarland","herr","saarland","niederländischen","benzin","rhein","erwerb","abgeschlossenen","waffengesetzes","energieprogramm","forschungspolitik","energieversorgung","technologie","kohle","technologie","forschung","energiepolitik","fortschreibung","energiepolitik","grundlagenforschung","kohle","kohle","kohle","enquetekommission","forschung","entsorgung","enquetekommission","snr","snr","wald","umwelt","umweltschutz","umweltschutz","tempolimit","umweltschutz","kernenergie","nordsee","umwelt","umwelt","umwelt","umwelt","umwelt","enquetekommission","töpfer","umwelt","rio","töpfer","töpfer","umwelt","enquetekommission","umwelt","umwelt","naturschutz","umwelt","naturschutz","umweltpolitik","umwelt","umwelt","umwelt","energien","klimaschutz","transporte","naturschutz","klimaschutz","umweltpolitik","naturschutz","erneuerbaren","erneuerbaren","umweltpolitik","klimaschutz","erneuerbaren","erneuerbaren","gabriel","klimaschutz","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","erneuerbaren","klimaschutzplan","klimaschutz","co","klimaschutz","klimaschutz","co","klimaschutz","energien","energien","erneuerbaren"
"3","vermögen","entschädigung","novelle","kriegsopfer","leistungen","entschädigung","hauptentschädigung","entschädigung","österreichischen","bundesversorgungsgesetzes","bundesversorgungsgesetzes","pferde","kriegsopfer","lastenausgleichsgesetz","geschlechtskrankheiten","bazille","kriegsopfern","grundrente","kriegsopfern","bundesversorgungsgesetz","marken","wilhelmi","spanien","anwalt","selbstschutzes","orthopädisch","baden","kurorte","saarlandes","fremdenverkehrsgewerbes","thadden","gewässer","gramm","abfall","schusswaffen","erwerb","waffengesetz","energieversorgung","forschungs","kohle","energieprogramm","energie","forschungspolitik","energie","forschung","energie","wolfram","kohle","forschung","forschung","forschung","fernwärme","gutachten","enquetekommission","stahl","forschung","forschung","waldsterben","forschung","umwelt","autos","umweltschutz","luft","umwelt","umwelt","industrie","kernenergie","umweltpolitik","umweltpolitik","nordsee","kernenergie","tschernobyl","kernenergie","ostsee","naturschutz","rio","morsleben","töpfer","umweltpolitik","merkel","reaktorsicherheit","merkel","merkel","naturschutz","naturschutz","ausstieg","ukraine","ausstieg","umwelt","naturschutz","umweltpolitik","nachhaltigkeit","erneuerbaren","erneuerbaren","eeg","emissionshandel","klimaschutz","erneuerbaren","klimaschutz","umweltpolitik","umwelt","erneuerbaren","erneuerbaren","erneuerbaren","asse","erneuerbaren","klimaschutz","energiekonzept","japan","röttgen","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","klimaschutz","paris","energien","energiewende","energien","energiewende","energiewende","energien","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","gesetz","schwerbeschädigten","dm","kriegsgefangenen","bundesversorgungsgesetzes","bundesversorgungsgesetzes","leistungen","bundesversorgungsgesetz","gläubiger","bundesversorgungsgesetz","entschädigung","ausfuhr","rutschke","währungsstichtag","kriegsopfer","bundesentschädigungsgesetz","blank","versorgung","bazille","herr","sturmflut","gesellschaften","spanische","patentanwälte","spanischen","unternehmen","saarland","fremdenverkehrswirtschaft","saarländischen","fremdenverkehrs","strukturbericht","rheins","blei","rheins","waffe","künstliche","wilhelmshaven","energie","grundlagenforschung","energieprogramm","kohle","energiepolitik","energie","energiepolitik","kohle","kernenergie","fortschreibung","energiepolitik","energie","industrie","energiepolitik","energiepolitik","technologie","energiepolitik","technologie","brüter","steger","umwelt","technik","nordsee","zimmermann","umwelt","nordsee","tschernobyl","umweltschutz","kernenergie","umweltpolitik","naturschutz","kernenergie","anlagen","töpfer","kernenergie","reaktorsicherheit","töpfer","umweltschutz","naturschutz","kernenergie","umweltpolitik","reaktorsicherheit","reaktorsicherheit","tschernobyl","umweltschutz","kernenergie","umwelt","bundesministerin","trittin","umweltpolitik","trittin","umweltpolitik","klimaschutz","energiepolitik","energiepolitik","umwelt","verpackungsverordnung","klimaschutz","klimaschutz","erneuerbaren","umwelt","kernenergie","klimaschutz","naturschutz","emissionshandel","gabriel","energie","gabriel","energie","kopenhagen","laufzeitverlängerung","kernenergie","energiewende","röttgen","eegumlage","altmaier","eeg","erneuerbaren","erneuerbaren","energiewende","klimaschutz","energien","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energiewende","erneuerbaren","klimaschutz"
"5","kriegsopfer","weihnachtsbeihilfe","unterhaltshilfe","dm","kriegsopfer","bundesversorgungsgesetz","unterhaltshilfe","kather","österreich","gesundheit","kriegsbeschädigten","probst","entschädigung","kriegsgefangenen","feststellungsgesetzes","neuordnungsgesetz","probst","ausgleichsrente","kriegsopferausschuss","hinterbliebenen","riegel","aktiengesellschaft","gesellschaft","gesellschaft","spanien","schweigepflicht","rheinlandpfalz","tourismus","wasserstrassenanschluss","ferien","land","landes","bleigehalt","industrie","abfall","saar","waffen","kernenergie","zentren","steinkohle","fortschreibung","russe","forschungs","kernkraftwerke","energie","kohle","brüter","forschung","energiepolitik","umweltpolitik","laermann","programm","stahl","forschung","schnellen","luft","technologie","luft","technologie","wald","auto","benzin","kernenergie","umweltschutz","wallmann","umweltpolitik","tschernobyl","kernenergie","umweltschutz","umweltschutz","umweltschutz","schmidbauer","schäfer","ökologischen","feige","feige","verwertung","feige","naturschutz","umweltschutz","bundesministerin","reaktorsicherheit","bundesministerin","umweltschutz","umweltpolitik","kernenergie","naturschutz","umwelt","energien","gorleben","kernenergie","johannesburg","trittin","wälder","trittin","trittin","trittin","trittin","energiepolitik","energiepolitik","erneuerbaren","klimawandel","bali","strom","erneuerbaren","biogas","röttgen","röttgen","erneuerbare","klimaschutz","strom","altmaier","erneuerbaren","klimaschutz","energieeffizienz","fracking","erneuerbaren","fracking","erneuerbaren","strom","erneuerbaren","energien","energiewende","energiewende","wasserstoff","wasserstoff","klimapolitik","energie"
"6","geschädigten","antrag","erhöhung","petersen","kriegerwitwen","kriegsopferversorgung","schwerbeschädigten","geschädigten","ansprüche","ansprüche","schwerbeschädigten","pferden","leiden","kriegsopferversorgung","könen","erlitten","versorgung","neuordnungsgesetz","leistungen","fragebogen","spanien","hauptversammlung","herr","spanische","gasturbinen","aussteuer","rechtsgefühl","fremdenverkehrsgewerbe","saarbrücken","bericht","staatsregierung","niedersachsen","pro","abwässer","waffengesetz","distanzieren","eilers","energieträger","energie","russe","energiepolitik","tonnen","kernenergie","technologie","kernkraftwerke","forschung","ausgleichsabgabe","energie","nutzung","energiepolitik","niedersachsen","industrie","energieforschung","abfälle","brüter","umweltschutz","inbetriebnahme","späth","waldsterben","umweltpolitik","umweltpolitik","luft","tschernobyl","cattenom","tschernobyl","entsorgung","nordsee","energien","naturschutz","naturschutz","energien","naturschutz","energiepolitik","naturschutz","reaktorsicherheit","umweltpolitik","abfälle","ökologische","kernenergie","morsleben","merkel","umweltpolitik","gorleben","bundesministerin","reaktorsicherheit","naturschutz","kernenergie","energiepolitik","haag","umwelt","klimaschutz","trittin","ökologischen","wald","energiepolitik","eeg","energiepolitik","energie","sellafield","gabriel","klimaschutz","prozent","erneuerbare","kraftwärmekopplung","emissionshandel","erneuerbare","prozent","erneuerbare","strom","durban","energieeffizienz","eeg","gorleben","strom","eeg","energieeffizienz","strom","strom","hendricks","mieterstrom","sektoren","klimawandel","gas","wasserstoff","strom","strom","strom","ausbau"
"7","entschädigung","bundesversorgungsgesetzes","kriegsopferversorgung","lastenausgleich","entschädigung","entschädigungsbehörden","ansprüche","kunze","scherpenberg","ausgleichsrente","stilwandel","bundesversorgungsgesetz","kriegsopfern","erlitten","schwerbeschädigtengesetzes","entlohnung","neuordnungsgesetz","blank","rutschke","dm","spanische","publizität","sämtliche","spanischen","exportfinanzierung","kollege","volksentscheid","urlaub","satzung","eingetragen","zonenrandgebiet","bayern","verminderung","luft","schneider","zustimmend","schneider","datenverarbeitung","lenzer","forschung","kernenergie","steinkohle","lenzer","nutzung","energiepolitischen","energieversorgung","schnellen","öl","steinkohle","umweltschutz","energieversorgung","forschung","forschungs","kernkraftwerke","kernenergie","kohle","enquetekommission","umweltpolitik","umweltpolitik","kernenergie","wald","technik","technik","industrie","hauff","naturschutz","umweltschutz","reaktorsicherheit","stoffe","stoffe","lippold","ökologischen","energieversorgung","konferenz","bundesumweltminister","dsd","entsorgung","naturschutz","umweltschutz","bundesministerin","kernenergie","bundesministerin","umweltpolitik","kioto","kernenergie","ökologische","klimaschutz","grill","naturschutz","kernenergie","trittin","umweltpolitik","ökologische","novelle","emissionshandel","industrie","umwelt","energieforschung","trittin","umwelt","reaktorsicherheit","gabriel","co","prozent","energie","strom","erneuerbare","klimaschutz","kernkraftwerke","energieeffizienz","photovoltaik","strom","emissionshandel","energieeffizienz","strom","gabriel","hendricks","eeg","marrakesch","tihange","klimawandel","strom","strom","strom","eeg","energie","copreis","energiewende"
"8","mark","heimkehrern","bundesversorgungsgesetzes","entschädigung","kriegsbeschädigten","heimkehrer","novelle","kriegsopferversorgung","osterreich","kriegsopfern","termin","ausgleichsrente","probst","entschädigung","schwerbeschädigte","zuwendung","vorrangig","beschädigten","versorgung","arbeit","division","aktionäre","anträgen","unternehmen","raumfahrtindustrie","reine","badischen","gäste","saargebiet","wahlberechtigten","wasserstrassenanschluss","niederländische","bleigehalts","gewaltverbrechen","waffenbesitzkarte","verrat","werbewirtschaft","daten","anfrage","energie","hauff","nutzung","forschungsförderung","kohle","technologie","technologie","technologie","albrecht","anlagen","nutzung","kernkraftwerke","riesenhuber","programm","fortschreibung","nutzung","inbetriebnahme","schnellen","grossfeuerungsanlagenverordnung","luft","luft","benzin","umweltpolitik","stoffe","umweltpolitik","naturschutz","umweltschutz","industrie","fckw","industrie","kernenergie","pvc","reaktorsicherheit","tschernobyl","elbe","ökologischen","ökologischen","umweltpolitik","lippold","klimaschutz","umweltpolitik","morsleben","caspersmerk","reaktorsicherheit","klimaschutz","transporte","energien","ausstieg","energie","kernenergie","atomenergie","umwelt","emissionshandel","eeg","ökologisch","umweltpolitik","tonnen","industrie","wald","umwelt","energie","fell","energieeffizienz","prozent","gabriel","gorleben","energieeffizienz","fotovoltaik","strom","energiekonzept","energie","energie","cent","solarindustrie","industrie","kohle","strom","prozent","ausbau","paris","kohle","emissionshandel","anlagen","kohleausstieg","emissionshandel","eegumlage","nord","co","fossilen"
"9","antrag","höhe","grundrente","schäden","regelung","dm","schäden","leistungen","van","entschädigung","kriegsopfern","grundrente","beschädigten","kriegsgefangenenentschädigungsgesetz","lebensunterhalt","leistungen","bazille","bundesversorgungsgesetz","kriegsopferrechts","verbesserung","marqués","unternehmen","hessen","spanien","aufsichtsratsmitglieder","weiland","süsterhenn","zentrale","bundesregierung","tourismus","kanal","bayerische","gruhl","gruhl","besitz","landtagswahlen","zusatzfrage","energiekrise","technologiepolitik","technologie","wolfram","technologie","laermann","matthöfer","nutzung","bundesregierung","energie","ministerpräsident","wolfram","stoffe","energie","kernkraftwerke","kernenergie","gorleben","hamburg","kernenergie","riesenhuber","bundesinnenminister","industrie","waldsterben","tempolimit","wald","umweltpolitik","brokdorf","töpfer","reaktorsicherheit","brüter","industrie","natur","reaktorsicherheit","ökologischen","umweltpolitik","ökologischen","industrieländer","umweltpolitik","verpackungsverordnung","endlager","ökologischen","lippold","natur","endlager","angela","umweltschutz","reaktorsicherheit","nachhaltigkeit","nachhaltigkeit","ökologische","umweltpolitik","ökosteuer","umweltpolitik","ausstieg","erneuerbaren","naturschutz","trittin","umwelt","umwelt","minister","abfälle","energieeffizienz","kernenergie","endlager","kernenergie","naturschutz","erneuerbare","strom","ccs","umwelt","energie","ausstieg","gorleben","prozent","energie","emissionshandels","energie","krischer","tonnen","kohle","hendricks","endlager","hendricks","kohleausstieg","ausbau","stream","klima","kohleausstieg","co","wasserstoff","strom"
"10","heimkehrer","leistungen","lastenausgleichsgesetz","heimkehrer","verbrieften","leistungen","ausgleichsfonds","hauptentschädigung","fälle","reform","angebot","kriegsopfern","häftlingen","bundesversorgungsgesetzes","verfolgten","kriegsopferausschuss","neuordnungsgesetzes","rutschke","probst","elternrente","nerva","konzern","gmbh","holzapfel","präsident","nahostkrise","schmittvockenhausen","ausland","montanindustrie","erdgas","saarbrücken","ems","hubraumsteuer","gewässer","munition","helmut","hassel","russe","forschungsminister","energieforschung","russe","wolfram","technologien","hauff","wolfram","energieprogramms","forschung","landesregierung","energieversorgung","umwelt","nutzung","ausbau","nutzung","nutzung","technik","steinkohle","brüter","technik","mikroelektronik","zimmermann","luft","ibbenbüren","ta","reaktorsicherheit","reaktorsicherheit","stoffe","naturschutz","schäfer","schäfer","entsorgung","ökologische","enquetekommission","umweltpolitik","umweltpolitik","genehmigungsverfahren","umweltschutz","reaktorsicherheit","klinkert","massnahmen","endlager","stoffe","verpackungsverordnung","entsorgung","kernenergie","angela","wiederaufbereitung","energien","erneuerbaren","energiepolitik","ausstieg","erneuerbaren","umwelt","ökosteuer","eeg","photovoltaik","emissionshandels","kiotoprotokoll","erneuerbare","atomenergie","energiegipfel","sigmar","kohle","energie","eeg","umwelt","nutzung","energieeffizienz","energiepolitik","ccs","umwelt","industrie","energieeffizienz","backloading","eegumlage","hendricks","kwk","klimawandel","fukushima","gorleben","anlagen","klimaziele","grad","energie","klimawandel","energie","gas","kohleausstieg","energieversorgung"
