"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","zusatzfrage","zusatzfrage","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","staatssekretär","parl","parl","staatssekretär","parl","staatssekretär","staatssekretär","parl","parl","parl","staatssekretär","parl","staatssekretär","staatssekretär","staatssekretär","parl","parl","parl","parl","frage","staatssekretär","frage","frage","parl","frage","frage","six","frage","amt","untersuchungsausschuss","minister","minister"
"2","bundesminister","verkehr","verkehr","verkehr","bundesminister","bundesminister","staatssekretär","bundespost","zusatzfrage","staatssekretär","zusatzfrage","zusatzfrage","verkehr","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","staatssekretär","bundesminister","zusatzfrage","zusatzfrage","bundesministerium","zusatzfrage","zusatzfrage","herr","zusatzfrage","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","zusatzfrage","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","zusatzfrage","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","staatssekretärin","staatssekretär","staatssekretär","staatssekretär","staatssekretärin","staatssekretärin","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","staatssekretär","staatssekretär","parl","staatssekretär","parl","parl","staatssekretär","staatssekretär","staatssekretär","parl","staatssekretär","parl","parl","parl","staatssekretär","staatssekretär","staatssekretärin","frage","parl","parl","parl","staatssekretär","frage","bundesregierung","bundesregierung","bundesregierung","bundesregierung","auswärtigen"," g","untersuchungsausschuss","untersuchungsausschuss"
"3","anfragender","bundesminister","bundesminister","müllerhermann","staatssekretär","staatssekretär","bundesministerium","straßenbau","verkehr","zusatzfrage","verkehr","bundesminister","zusatzfrage","dr","bundesminister","dr","dr","dr","bundesminister","staatssekretär","dr","bundesministerium","dr","dr","dr","zusatzfrage","parlamentarischer","bundesminister","zusatzfrage","beim","beim","beim","beim","zusatzfrage","zusatzfrage","bundesminister","parl","zusatzfrage","zusatzfrage","beim","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","zusatzfrage","staatssekretär","staatssekretärin","staatssekretärin","zusatzfrage","staatssekretär","bundesminister","staatssekretärin","staatssekretärin","bundesminister","zusatzfrage","frage","bundesminister","frage","staatssekretärin","bundesminister","frage","frage","bundesminister","bundesminister","frage","frage","frage","frage","frage","bundesminister","bundesminister","frage","bundesminister","frage","staatssekretärin","staatssekretär","frage","staatssekretär","parl","staatssekretär","herr","herr","frage","präsident ","frage","herr","herr","frage"
"4","herr","ehlers","frage","verkehrsfinanzgesetz","bundesbahn","bundesbahn","straßenbau","staatssekretär","bundesverkehrsminister","bundesministerium","staatssekretär","dr","frage","bundesminister","dr","bundesminister","bundesminister","vizepräsident","dr","vizepräsident","herr","dr","zusatzfrage","herr","herr","parlamentarischer","herr","herr","herr","bundesminister","bundesminister","zusatzfrage","zusatzfrage","bundesminister","frage","zusatzfrage","bundesminister","frage","bundesminister","zusatzfrage","beim","herr","herr","herr","herr","herr","vizepräsident","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","vizepräsident","vizepräsident","vizepräsident","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","zusatzfrage","herr","herr","herr","herr","herr","herr","herr","frage","bundesminister","staatssekretärin","beim","bundesminister","beim","bundesminister","zusatzfrage","zusatzfrage","zusatzfrage","staatssekretärin","bundesminister","staatssekretär","frage","zusatzfrage","zusatzfrage","frage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","frage","bundesminister","nachfrage","frage","frage","bundesminister","bundesminister","bundesminister","bundesminister","bundesminister","frage","frage","bundesminister","frage","staatssekretär","bundesminister","bundesminister","bundesminister","bundesminister","bundesregierung","bundesregierung","fragen","präsident ","billy","herr","präsident ","präsident ","frage","spiegel"
"5","verkehr","dr","straße","bundesverkehrsminister","bundesministerium","zusatzfrage","finanzen","bundesverkehrsminister","bundesminister","verkehr","bundesminister","bundesministerium","bundesverkehrsminister","bundesbahn","verkehr","vizepräsident","vizepräsident","bundesminister","herr","dr","vizepräsident","herr","vizepräsident","frage","bundesministerium","bundesminister","dr","zusatzfrage","bundesminister","zusatzfrage","zusatzfrage","frage","bundesminister","beim","bundesminister","vizepräsident","beim","bundesminister","beim","bundesminister","herr","dr","vizepräsident","frage","vizepräsident","vizepräsident","herr","vizepräsident","frage","rufe","frage","bundesregierung","vizepräsident","frage","vizepräsident","vizepräsident","frage","herr","herr","herr","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","frage","frage","frage","frage","vizepräsident","frage","frage","frage","frage","frage","frage","bundesminister","frage","bundesminister","bundesminister","vizepräsident","frage","beim","bundesminister","bundesminister","bundesminister","bundesminister","zusatzfrage","frage","bundesminister","bundesminister","frage","staatssekretärin","bundesminister","frage","bundesminister","frage","bundesregierung","staatssekretärin","bundesminister","staatssekretärin","staatssekretärin","staatssekretärin","fragen","nachfrage","nachfrage","nachfrage","nachfrage","staatssekretärin","staatssekretärin","staatssekretärin","hintze","staatssekretär","bundesregierung","herr","herr","herr","herr","bundesminister","fragen","präsident ","minister","auswärtige","amt","zeugen","herr"
"6","frage","frage","müllerhermann","straßen","fernmeldewesen","bundesministerium","bundesminister","schmidt","staatssekretär","frage","beantwortung","frage","bundesminister","verkehr","abgeordneten","bundesministerium","abgeordneten","abgeordneten","vizepräsident","herr","bundesminister","frage","herr","bundesministerium","frage","vizepräsident","bundesminister","beim","frage","frage","frage","bundesminister","abgeordneten","frage","beim","beim","frage","beim","frage","herr","bundesminister","vizepräsident","frage","abgeordneten","schmittvockenhausen","frage","frage","frage","abgeordneten","frage","bundesregierung","rufe","frage","abgeordneten","frage","frage","kollege","abgeordneten","abgeordneten","abgeordneten","abgeordneten","frage","frage","frage","frage","frage","westphal","westphal","vizepräsident","vizepräsident","westphal","frage","vizepräsident","vizepräsident","kollege","vizepräsident","staatssekretärin","bundesregierung","herr","beim","beim","frage","beim","zusatzfrage","frage","frage","frage","frage","frage","frage","beim","bundesministerin","frage","beim","bundesminister","staatssekretärin","staatssekretärin","dr","beim","staatssekretärin","bundesregierung","bundesregierung","bundesregierung","nachfrage","fragen","staatssekretärin","bundesregierung","staatssekretärin","bundesregierung","staatssekretärin","nachfrage","nachfrage","herr","peter","bundesregierung","staatssekretärin","roth","staatssekretärin","bundesminister","bundesministerin","präsident ","frau","amt","frau","bundesregierung","frage","worden","ministerin"
"7","staatssekretär","herr","ehlers","bundesminister","post","bundesverkehrsminister","zusatzfrage","zusatzfrage","dring","bundespost","seebohm","verkehr","bundesbahn","frage","frage","herr","verkehr","herr","verkehr","frage","bundesministerium","vizepräsident","abgeordneter","abgeordneter","abgeordneten","frage","vizepräsident","frage","beim","rufe","abgeordneten","abgeordneten","frage","vizepräsident","vizepräsident","frage","vizepräsident","herr","herr","abgeordneten","frage","abgeordneten","dr","vizepräsident","frage","bundesregierung","abgeordneten","dr","rufe","abgeordneten","rufe","frage","bundesregierung","rufe","grüner","bundesregierung","bundesregierung","frage","frage","frage","frage","abgeordneten","abgeordneten","abgeordneten","bundesregierung","westphal","frage","vizepräsident","abgeordneten","westphal","vizepräsident","klein","bundesregierung","kollege","vizepräsident","kollege","vizepräsident","staatssekretärin","beim","vizepräsident","frage","herr","frage","staatssekretärin","staatssekretärin","beim","beim","beim","dr","beim","zusatzfrage","nachfrage","dr","dr","dr","dr","beim","staatssekretärin","dr","beim","nachfrage","staatssekretärin","vizepräsidentin","bundesregierung","bundesregierung","nachfrage","staatssekretärin","bundesministerin","vizepräsidentin","vizepräsidentin","herr","herr","fragen","bundesminister","vizepräsident","herr","bundesregierung","bundesregierung","vizepräsidentin","vizepräsidentin","staatssekretär","beantwortung","venezuela","nachfrage","bundesamt","bundesregierung","maut","frau"
"8","finanzen","post","staatssekretär","straßenbau","zusatzfrage","dr","straßen","post","betreffend","dr","bundesministerium","abgeordneten","abgeordneten","bundesministerium","bundesministerium","abgeordneter","frage","frage","abgeordneten","seebohm","abgeordneter","bundesminister","frage","abgeordneten","vizepräsident","dr","beim","dr","abgeordneten","dr","rufe","rufe","dr","abgeordneten","herr","herr","herr","abgeordneten","vizepräsident","frage","dr","frage","abgeordneten","bundesregierung","dr","abgeordneten","schoeler","abgeordneten","bundesregierung","kollege","vizepräsident","abgeordneten","abgeordneten","vizepräsident","rufe","rufe","dr","westphal","stücklen","westphal","bundesregierung","bundesregierung","westphal","bundesregierung","renger","abgeordneten","abgeordneten","dr","dr","dr","bitte","hans","kollege","bundesregierung","klein","bundesregierung","kollege","kollege","vizepräsident","herr","vizepräsident","vizepräsident","burkhard","dr","herr","bundesregierung","herr","bundesregierung","herr","herr","dr","petra","beim","vizepräsident","vizepräsident","staatsministerin","dr","staatsministerin","fragen","dr","vizepräsidentin","pau","nachfrage","beim","nachfrage","vizepräsidentin","bitte","bundesregierung","fragen","beim","frau","beim","beim","bundesregierung","herr","beantwortet","staatssekretärin","bundesministerin","staatssekretärin","roth","beantworten","staatssekretär","herr","ministerin","brandenburg","minister","bundesregierung","nkr"
"9","abgeordneter","straße","dr","bundespost","bundesverkehrsminister","finanzen","hartmann","müllerhermann","tarife","betreffend","frage","betreffend","betreffend","abgeordneten","schmid","bundesbahn","abgeordneter","dehler","frage","abgeordneten","frage","abgeordneter","abgeordneten","vizepräsident","bundesminister","abgeordneten","frage","abgeordneten","dr","abgeordneten","dr","dr","herr","herr","dr","schmid","abgeordneten","vizepräsident","abgeordneten","dr","abgeordneten","bundesregierung","rufe","rufe","rufe","rufe","rufe","schmittvockenhausen","schoeler","vizepräsident","abgeordneten","vizepräsident","rufe","bundesregierung","abgeordneter","abgeordneten","vizepräsident","bundesregierung","dr","bundesregierung","westphal","rufe","bundesregierung","cronenberg","abgeordneten","dr","bundesregierung","abgeordneten","bitte","bitte","abgeordneten","beantwortung","beantwortung","beantwortung","hans","beantwortung","lintner","vizepräsident","dr","staatssekretärin","herr","bundesregierung","hirsch","herr","vizepräsident","vizepräsidentin","bundesregierung","vizepräsident","beim","dr","vizepräsident","herr","bundesregierung","staatssekretärin","bundesministerin","amt","innern","bundesregierung","kastner","nachfrage","fragen","petra","beim","herr","vizepräsidentin","kollegin","vizepräsidentin","bitte","bitte","herr","kollegin","kollegin","kollegin","vizepräsident","hintze","frau","claudia","vizepräsidentin","nachfrage","bundesminister","dass","vielen","auswärtige","vielen","ministerin","frau","präsident ","bundesregierung"
"10","bundesregierung","staatssekretär","finanzen","bahn","dr","frage","zweckbindung","bundesminister","bundesministerium","bundesverkehrsminister","betreffend","herr","dr","gerstenmaier","bundesbahn","abgeordneten","bundesministerium","bundesministerium","abgeordneter","abgeordneter","abgeordneten","abgeordneten","bundesminister","bundesminister","abgeordneter","beim","abgeordneten","vizepräsident","bundesregierung","herr","beantwortung","herr","vizepräsident","rufe","abgeordneten","abgeordneten","rufe","dr","rufe","vizepräsident","vizepräsident","schmittvockenhausen","hassel","dr","abgeordneten","schoeler","bundesregierung","rufe","kollege","bundesregierung","schoeler","abgeordneter","abgeordneter","abgeordneter","bundesregierung","wurbs","rufe","würzbach","bundesregierung","dr","kollege","kollege","kollege","westphal","spranger","bundesregierung","rufe","vizepräsidentin","bundesregierung","abgeordneten","renger","kollege","rufe","rufe","bundesregierung","rufe","eduard","lintner","bundesregierung","hans","rufe","dr","herr","bundesregierung","bitte","herr","dr","herr","vizepräsident","vizepräsident","rudolf","bläss","bundesministerin","bundesregierung","bundesregierung","beim","vizepräsident","beim","susanne","zusatzfrage","beim","beim","pau","fragen","beim","bundesregierung","pau","kollegin","kollegin","göringeckardt","bundesministerin","vizepräsidentin","nachfrage","bitte","frau","nachfrage","vizepräsidentin","frau","beck","nachfrage","frau","dass","kontingentflüchtlinge","fragen","amtes","untersuchungsausschusses","amt","lara"
"11","dr","bundesverkehrsminister","bundesverkehrsminister","lasten","schmidt","schmidt","zehnjahresplan","verkehr","seebohm","jaeger","dring","gerstenmaier","seebohm","herr","seebohm","verkehr","herr","abgeordneter","bundesministerium","verkehr","dehler","dehler","verkehr","dehler","rufe","bundesministerium","bundesregierung","bundesregierung","rufe","bundesregierung","herr","vizepräsident","rufe","dr","rufe","dr","dr","rufe","dr","rufe","rufe","rufe","haehser","kollege","bundesregierung","stücklen","stücklen","bundesregierung","schriftlich","beantwortet","grüner","grüner","dr","dr","abgeordneten","kollege","abgeordneter","frau","westphal","würzbach","stücklen","frau","rufe","kollege","frau","bitte","bitte","bundesregierung","westphal","schön","vizepräsidentin","rufe","klein","fragen","beantwortung","dr","bundesregierung","eduard","eduard","klein","dr","staatssekretärin","dr","rufe","geiger","rufe","bitte","rudolf","otto","vizepräsidentin","bundesregierung","beim","vizepräsident","herr","beim","auswärtigen","herr","rufe","staatsminister","staatsminister","dr","vizepräsidentin","staatsminister","vizepräsidentin","dr","herr","beim","vizepräsidentin","beim","katrin","beim","bundesregierung","frau","frau","peter","bitte","barthle","beantwortet","fragen","staatsminister","erkenntnisse","beantwortet","peenewerft","untersuchungsausschusses","dass","auswärtige","untersuchungsausschusses","amt"
"12","post","zusatzfrage","herr","verkehrs","frage","seebohm","beantwortung","dr","straße","bundesminister","gerstenmaier","straßenbau","hettlage","beantwortung","dring","frage","jaeger","verkehr","seebohm","dring","verkehr","fragen","seiermann","rufe","bundesregierung","innern","bundesministerium","innern","beantwortung","vizepräsident","bundesregierung","beantwortung","schmittvockenhausen","finanzen","bundesregierung","rufe","bundesregierung","bundesregierung","bundesregierung","schmittvockenhausen","abgedruckt","beantwortung","bundesregierung","abgedruckt","baum","kollege","dr","abgedruckt","zusatzfragen","abgedruckt","frau","dr","windelen","wurbs","kollege","frau","zusatzfragen","rufe","weitere","rufe","dr","stücklen","würzbach","rufe","abgeordneter","rufe","fragen","bitte","rufe","rufe","rufe","bundesregierung","hans","kollegin","rufe","bitte","fragen","beantwortet","lintner","rufe","bundesregierung","rufe","rufe","finanzen","michaela","bitte","vizepräsidentin","rufe","hermann","bundesregierung","herr","vizepräsidentin","kastner","fritz","rufe","vizepräsident","rudolf","lammert","vizepräsident","vizepräsident","staatsminister","fragen","petra","dr","asse","beantwortet","herr","beim","herr","kollegin","bundesregierung","bitte","reaktorsicherheit","nachfrage","nachfrage","beim","frau","mittwoch","schriftlich","fragen","minister","kollege","frau","amt","frau","anfrage","ja","anne"
