"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","bundesarbeitsminister","renten","rentner","rentenversicherung","renten","renten","rentenversicherung","schellenberg","schellenberg","renten","renten","versicherten","schellenberg","krankenversicherung","renten","schellenberg","kriegsopferversorgung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","schellenberg","rentenversicherung","sozialordnung","rentenversicherung","rentenversicherung","rentenversicherung","lohnfortzahlung","rentner","katzer","krankenversicherung","rentenversicherung","rentenversicherung","rentner","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","künstler","rentenversicherung","mitbestimmung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","rentenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","blüm","blüm","renten","krankenversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","pflegeversicherung","rentenversicherung","pflegeversicherung","positivliste","pflegeversicherung","krankenkassen","rentenversicherung","rentenversicherung","seehofer","krankenversicherung","patienten","pflegeversicherung","rente","gesundheitswesen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","rente","pflegeversicherung","pflegeversicherung","prävention","rentenversicherung","rente","krankenkassen","rente","rente","rente","krankenkassen","rente","kopfpauschale","krankenversicherung","patienten","versorgung","praxisgebühr","patienten","pflege","patienten","pflege","versorgung","patienten","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","renten","erhöhung","rente","rentenversicherung","witwen","rente","rente","rente","renten","renten","unfallversicherung","kriegsopfer","krankenversicherung","krankenversicherung","versicherten","schellenberg","bilanzen","krankenversicherung","krankenversicherung","dm","sozialordnung","angestellten","sozialordnung","schellenberg","rentenversicherung","rentner","sozialordnung","unfallversicherung","arbeiter","rentenversicherung","vermögensbildung","angestellten","rentner","rentner","rentenversicherung","rente","altersgrenze","krankenversicherung","sozialordnung","rentenversicherung","rentenversicherung","renten","selbstverwaltung","krankenversicherung","rentenversicherung","rentner","altersgrenze","rentenversicherung","renten","rentenversicherung","franke","montanmitbestimmung","krankenversicherung","blüm","krankenversicherung","sozialpolitik","krankenversicherung","blüm","renten","blüm","rentner","rente","rentner","rente","rentenversicherung","blüm","blüm","blüm","rente","rentenversicherung","rente","rente","versicherten","kirschner","patienten","pflege","pflege","pflegeversicherung","krankenversicherung","seehofer","rentenversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","riester","rentenversicherung","rente","rentner","rentenreform","patienten","patienten","patienten","rentenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","krankenkassen","krankenkassen","kolb","rentenversicherung","versicherten","versicherten","rentenversicherung","rentner","krankenversicherung","rentenversicherung","krankenversicherung","versicherten","versicherten","patienten","patienten","praxisgebühr","patienten","versorgung","versorgung","patienten","pflege","patienten","patienten","versorgung","pflegekräfte","patienten","pflege","patienten","patienten","patienten","patienten","pflegekräfte"
"3","kriegsopfer","kriegsopfer","bundesarbeitsminister","sozialreform","rentner","rentner","rentner","arbeiter","rente","bundesarbeitsminister","anpassung","kriegsopferversorgung","handwerker","unfallversicherung","schellenberg","unfallversicherung","bundesarbeitsminister","unfallversicherung","anpassung","blank","renten","dm","rentenversicherung","stingl","arbeit","krankenversicherung","angestellten","sozialordnung","schellenberg","sozialordnung","sozialbericht","gesetzlichen","katzer","selbständigen","krankenversicherung","frauen","rentner","dynamisierung","rentenversicherung","altersversorgung","rentner","katzer","rentenversicherung","rentner","krankenkassen","renten","müller","rente","krankenversicherung","rentner","künstler","blüm","rentner","ehrenberg","beiträge","blüm","selbstbeteiligung","sozialpolitik","rentner","krankenkassen","renten","blüm","renten","sozialpolitik","älteren","krankenversicherung","versicherten","rentenversicherung","krankenversicherung","gesundheitsreform","rentner","rentenversicherung","rente","versorgung","versicherten","aids","pflegebedürftigen","rente","sozialhilfe","krankenversicherung","krankenversicherung","rentenversicherung","krankenkassen","rente","rente","patienten","pflegeversicherung","rente","rentenversicherung","ärzte","krankenkassen","versicherten","krankenkassen","gesundheitswesen","patienten","praxisgebühr","krankenversicherung","beiträge","soziale","krankenversicherung","krankenversicherung","rentenversicherung","pflege","rentenversicherung","versicherten","krankenversicherung","versicherten","patienten","krankenkassen","ärzte","pflege","patientinnen","versorgung","hebammen","angehörigen","pflege","krankenhäuser","hebammen","versorgung","krankenversicherung","krankenversicherung","versorgung","versorgung","versorgung","pflegekräfte","versorgung","krankenhäuser","pflegebonus"
"4","erhöhung","dm","rentner","rente","leistungen","rentenversicherung","angestellten","angestellten","versicherten","anpassung","bundesarbeitsminister","schellenberg","arzt","renten","arbeiter","rentenversicherung","bilanz","stingl","renten","renten","krankenkassen","schellenberg","rente","renten","katzer","schellenberg","katzer","arbeit","angestellten","schellenberg","sozialbudget","rentenversicherung","renten","katzer","katzer","rentenversicherung","rente","renten","versicherten","sozialbudget","gesetzlichen","krankenversicherung","renten","renten","altersgrenze","franke","krankenversicherung","renten","rente","publizisten","sozialpolitik","krankenversicherung","franke","franke","unfallversicherung","krankenversicherung","blüm","renten","blüm","mischfinanzierung","rente","rentner","rente","blüm","kindererziehungszeiten","rente","gesundheitswesen","versicherten","blüm","rente","renten","polikliniken","blüm","versicherten","gesundheitswesen","dm","leistungen","krankenversicherung","pflege","sozialhilfe","krankenkassen","versicherten","seehofer","krankenkassen","pflegeversicherung","rente","krankenversicherung","rentenversicherung","vorsorge","krankenkassen","versicherten","versorgung","patienten","gesetzlichen","rentner","rentner","versicherten","patienten","beitragssatz","gesetzlichen","gesundheitsreform","pflege","altersvorsorge","unfallversicherung","gesundheitsfonds","versicherten","rösler","gesetzlichen","pflege","krankenkassen","krankenversicherung","krankenkassen","patientinnen","pflege","pflegebedürftigen","gesundheit","versorgung","versorgung","krankenkassen","pflegeversicherung","versorgung","spahn","pflegeversicherung","krankenkassen","versorgung","krankenhäuser","sana","patienten"
"5","antrag","heimkehrer","erhöhung","bundesarbeitsminister","rentenmehrbetragsgesetz","leistungen","schellenberg","kalinke","beiträge","sozialordnung","sozialpolitik","rente","rentenversicherung","rentenversicherung","angestellten","rente","rentenversicherung","schellenberg","schellenberg","schellenberg","schellenberg","arbeiter","sozialpolitischen","bundesarbeitsminister","schellenberg","angestellten","mischnick","leistungen","krankenversicherung","krankenversicherung","leistungen","sozialordnung","sozialordnung","schellenberg","rente","rentner","schellenberg","rentenversicherung","rentner","franke","versicherten","rentner","müller","franke","gesetzlichen","rente","ehrenberg","altershilfe","blüm","renten","publizisten","rentenversicherung","renten","rentner","rentner","rentner","gesetzlichen","rentner","sozialpolitik","rentner","blüm","renten","kindererziehungszeiten","rentner","kriegsopfer","renten","dm","rente","versicherten","krankenversicherung","dm","blüm","dm","gesetzlichen","ärzte","rentenversicherung","patienten","dreßler","seehofer","pflegeversicherung","leistungen","seehofer","rente","krankenversicherung","rentenversicherung","zuzahlungen","rentner","renten","riester","versorgung","gesetzlichen","gesundheitspolitik","gesetzlichen","rente","krankenversicherung","rentenversicherung","rentenversicherung","versicherten","krankenversicherung","kolb","reform","reform","menschen","krankenkassen","kassen","gesetzlichen","zusatzbeiträge","krankenkassen","krankenversicherung","versicherten","versicherten","versicherten","krankenhäuser","krankenkassen","pflegeversicherung","prävention","patientinnen","krankenhäusern","versicherten","pflegekräfte","pflegeversicherung","ärzte","ärzte","patientinnen","krankenhäusern","krankenversicherung","krankenhäusern","gesundheitswesen"
"6","rente","leistungen","rentenversicherung","arbeitslosen","sozialreform","sozialreform","rentenversicherung","schellenberg","rentner","rentenversicherung","rentenversicherung","bundesarbeitsminister","schellenberg","rente","lohnfortzahlung","anpassung","versicherungstechnischen","rente","rentner","rente","rente","versicherten","katzer","dm","sozialpolitik","spitzmüller","sozialpolitik","krankenversicherung","spitzmüller","renten","arbeitnehmer","rentner","rente","rente","renten","flexiblen","katzer","anpassung","gesetzlichen","gesetzlichen","kriegsopfer","kriegsopfer","sozialpolitik","rente","müller","kriegsopfer","flexiblen","franke","künstler","krankenversicherung","rente","rentner","müller","arbeitnehmer","versicherten","arbeitnehmer","arbeit","rente","rente","krankenhaus","rentnern","älteren","blüm","renten","arbeitslosen","dreßler","bundesanstalt","reform","beamtenversorgung","krankenkassen","rentenversicherung","dreßler","rentner","krankenkassen","rente","krankenversicherung","psychotherapeuten","seehofer","leistungen","gesetzlichen","sozialhilfe","leistungen","versicherten","versicherten","patienten","versicherten","rentenversicherung","patienten","patienten","versicherten","gesundheitspolitik","leistungen","rente","krankenhäuser","rentnerinnen","rente","zahnersatz","rentenversicherung","rente","krankenkassen","gesetzlichen","pflegeversicherung","alter","rentnerinnen","rente","selbstständigen","sozialausgleich","rösler","pflegeversicherung","pflege","bahr","ärzte","pflegeversicherung","versicherten","versicherten","krankenkassen","gröhe","altenpflege","pflegekräfte","bürgerversicherung","krankenhäusern","versicherten","patientinnen","pflegebedürftigen","gesundheitswesen","krankenhäusern","versorgung","krankenhäusern"
"7","leistungen","renten","dm","novelle","rente","bundesarbeitsminister","beiträge","steigerungsbetrag","rentenversicherung","sozialpolitischen","schellenberg","rentner","bundesarbeitsminister","bundesarbeitsminister","krankenkassen","rentner","sozialpolitik","kriegsopfer","rente","sozialordnung","blank","renten","arbeit","sozialordnung","versicherten","beiträge","alters","renten","rentenversicherung","katzer","rentenversicherung","schellenberg","krankenversicherung","renten","altersgrenze","sicherung","franke","altersversorgung","franke","sozialen","krankenkassen","sozialpolitik","rentner","selbstverwaltung","rentner","ehrenberg","gesetzlichen","ehrenberg","rentner","gesetzlichen","blüm","arbeitnehmer","ehrenberg","sozialordnung","rentenversicherungsträger","rente","vogt","soziale","arbeitnehmer","bundesanstalt","bundesarbeitsminister","sozialpolitik","bundesarbeitsminister","sozialhilfe","rente","sozialpolitik","strukturreform","dm","rentenreform","dm","dreßler","ärzte","renten","psychisch","krankenhaus","rente","kompensation","dm","gesetzlichen","rentenversicherung","renten","gesetzlichen","gesetzlichen","gesetzlichen","krankenversicherung","gesetzlichen","gesundheitswesen","krankenversicherung","gesetzlichen","krankenversicherung","versorgung","rente","gesundheitswesen","versicherten","gesetzlichen","gesetzlichen","gesetzlichen","kassen","prozent","rentner","versorgung","krankenversicherung","gesetzlichen","altersvorsorge","gesetzlichen","altersvorsorge","krankenkassen","sozialausgleich","gesetzlichen","krankenversicherung","krankenkassen","krankenversicherung","ärzte","gröhe","leistungen","krankenhäuser","krankenhäusern","gesundheit","pflegeversicherung","krankenhäuser","patienten","krankenversicherung","spahn","pflegeversicherung","patientinnen","spahn","patientinnen","arbeitsbedingungen"
"8","heimkehrer","weihnachtsbeihilfe","kriegsopfer","arbeitslosenversicherung","dm","gesetzentwurf","kalinke","knappschaftlichen","stingl","leistungen","rente","anpassung","arbeiter","sozialpolitischen","ruf","unfallverhütung","kriegsopfer","versicherten","sozialen","bilanzen","arbeit","versicherungspflichtgrenze","sozialpolitik","sozialen","selbstverwaltung","rente","hinterbliebenenversorgung","rente","lösung","rohde","sozialpolitik","versicherten","arbeit","frauen","koalition","cducsu","krankenversicherung","leistungen","leistungen","sozialordnung","leistungen","rente","sozialversicherung","gesundheitswesen","witwen","rentenanpassungsgesetz","rentner","rentner","krankenkassen","rente","soziale","sicherung","arbeitslosenversicherung","krankenversicherung","braun","sozialen","glombig","arbeitnehmer","gesetzlichen","krankenversicherung","krankenversicherung","hinterbliebenenrente","älteren","kindererziehungszeiten","sozialpolitik","arbeit","rentenversicherung","dreßler","renten","dreßler","sozialhilfe","rentner","gesundheitswesen","dm","krankenkassen","blüm","dm","renten","krankenkassen","patienten","seehofer","kassen","rehabilitation","blüm","krankenkassen","gesundheitswesen","krankenkassen","krankenkassen","prozent","gesundheitspolitik","seehofer","gesetzlichen","krankenhäuser","krankenhäusern","krankenkassen","patienten","beiträge","gesetzlichen","rentner","patienten","kassen","rentner","krankenversicherung","pflegeversicherung","krankenhäuser","menschen","system","lauterbach","versorgung","gesetzlichen","patientinnen","versorgung","leistungen","qualität","pflegenden","ärzte","gesundheitswesen","kleinschmeink","gröhe","leistungen","altenpflege","altenpflege","krankenversicherung","angehörigen","krankenkassen","krankenkassen","kliniken","pflegenden"
"9","gesetz","arbeit","arbeitslosenversicherung","witwen","renten","angestellten","leistungen","bergbau","angestellten","reform","leistungen","rentenversicherung","kostenbeteiligung","sozialpolitik","geiger","sozialpolitik","blank","arbeiter","sozialpolitischen","monatlich","sozialpolitik","rente","rentner","katzer","arbeitslosenversicherung","sozialordnung","arbeitnehmer","angestellten","arbeitnehmer","rente","schellenberg","gesetzentwurf","schellenberg","gesetzentwurf","sozialordnung","katzer","renten","sozialhilfe","arendt","arendt","sozialen","dm","krankenkassen","gesetzlichen","rente","kriegsopferversorgung","renten","versicherten","müller","soziale","ehrenberg","müller","selbstverwaltung","krankenkassen","sozialversicherungsträger","franke","arbeitnehmer","krankenhaus","bundesarbeitsminister","sozialpolitik","beiträge","psychisch","kriegsopfer","fuchs","kriegsopferversorgung","rentner","leistungen","krankenkassen","reform","renten","mindestrente","krankenkassen","selbstbeteiligung","gesundheitswesen","versorgung","leistungen","versorgung","rentner","dreßler","ärzte","gesetzlichen","gesundheitswesen","patienten","rentenreform","versicherten","thomae","riester","gesundheitspolitik","leistungen","qualität","rentner","kranken","versorgung","arzneimittel","versorgung","altersvorsorge","storm","krankenversicherung","heinrich","renten","wettbewerb","krankenkassen","pflegeversicherung","gesetzlichen","versorgung","versorgung","lauterbach","kopfpauschale","kassen","patientinnen","ärzte","pflege","prävention","gesundheitswesen","menschen","krankenversicherung","versicherten","patientinnen","psg","versicherten","gesetzlichen","pflegekräfte","gesetz","spahn","krankenhäuser","gesetzlichen","pflegekräfte","krankenhäuser"
"10","arbeit","schwerbeschädigten","sozialreform","arbeitslosigkeit","witwenrente","schellenberg","sozialversicherung","leistungen","arbeiter","kalinke","kriegsopferversorgung","bilanz","leistungen","arbeiter","kollege","unfälle","kriegsopferversorgung","kostenbeteiligung","bundesarbeitsminister","arbeit","dm","beiträge","renten","beiträge","sozialversicherung","versicherten","sozialen","rentner","leistungen","kriegsopfer","sozialordnung","vorsorge","ehrenberg","beiträge","schellenberg","selbständigen","flexiblen","rentner","rente","renten","sozialordnung","soziale","versicherten","kostendämpfung","beiträge","rentnern","sozialpolitik","sozialordnung","angestellten","rentenanpassungsbericht","renten","ehrenberg","gesundheitswesen","senator","krankenkassen","soziale","sozialpolitik","sozialhilfe","krankenversicherung","arbeit","rentenanpassung","kindererziehungszeiten","glombig","strukturreform","strukturreform","unruh","selbstbeteiligung","renten","kindererziehungszeiten","rentner","grauen","dm","krankenkassen","dreßler","gesetzlichen","pflegebedürftigen","gesetz","gesetzlichen","rentenversicherung","versorgung","stufe","rente","gesundheitswesen","beiträge","gesundheitswesen","versorgung","versicherten","dreßler","altersvorsorge","seehofer","ärzte","seehofer","beiträge","leistungen","renten","prozent","kolb","gesundheit","rentenpolitik","versicherten","rente","gesundheitsreform","versicherten","pflege","patienten","rentner","patienten","spahn","krankenkasse","gesundheitswesen","arzt","arzt","versicherten","leistungen","gröhe","gesundheitskarte","kleinschmeink","gesundheitswesen","kleinschmeink","krankenhäusern","pflegebedürftigen","krankenhäusern","privaten","pflegekräfte","krankenhaus","gesundheitswesen","pflegeversicherung","versorgung"
