"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","rundfunk","wyler","radioaktivität","filmwirtschaft","butter","verbraucher","werbung","anstalten","werbung","sender","gesamtdeutsche","presse","presse","diehl","bildung","presse","ahlers","öffentlichkeitsarbeit","ahlers","presse","presse","presse","presse","journalisten","chef","steiner","presse","presse","presse","bölling","öffentlichkeitsarbeit","bundesrechnungshof","urteil","stiftung","öffentlichkeitsarbeit","luxemburg","medien","klein","medien","medienbericht","radio","satelliten","springer","verkabelung","medienpolitik","schreckenberger","ded","formaldehyd","formaldehyd","tierversuche","plenarsaal","brunnen","tierversuche","asbest","asbest","bundesgesundheitsamt","haftung","arbeitsschutz","rückgabe","rückgabe","alteigentümer","alteigentümer","vermögensabgabe","hacker","entschädigung","mauer","ddr","ddr","ddr","ddr","ddr","ddr","ostdeutschen","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","osten","ostdeutschland","ost","ostdeutschland","ii","ost","ostdeutschland","ostdeutschland","osten","osten","ost","ddr","ost","ddr","ost","ost","ost","genossenschaften","genossenschaften","ost","osten","polen","einheit","ddr","osten","ost","ost","osten","osten","osten","ddr","einheit","osten","ostdeutschland"
"2","deutschen","berliner","berliner","berliner","berliner","berliner","berliner","zone","fernsehen","zone","berliner","kühn","kühn","fernsehen","fernmeldewesen","luft","westdeutschen","haltbarkeitsdauer","werbung","film","fernsehen","hase","rundfunk","gesamtdeutschen","zeitungen","zeitungen","bundespressechef","bundeszentrale","journalisten","bundespressechef","presse","presse","öffentlichkeitsarbeit","ahlers","ahlers","journalisten","ddr","bundeskanzleramtes","zeugen","guillaume","chef","bölling","bundesbank","bölling","bölling","öffentlichkeitsarbeit","konrad","bölling","hauff","klein","bundesrechnungshof","fernsehen","weirich","vereins","medien","presse","paterna","flensburg","entscheidungen","entwicklungshelfer","bundesgesundheitsamt","emden","tierversuchen","gastronomie","arzneimittel","rauchen","lebensmittel","tierschutz","asbest","verbraucher","tiere","treuhand","entschädigung","rückgabe","eigentum","entschädigung","ddr","eigentum","rückgabe","hacker","mauer","ostdeutschen","altschulden","ostdeutschen","pds","ddr","ddr","ddr","ostdeutschen","osten","osten","osten","ost","neuen","ost","ost","ostdeutschland","ost","west","ostdeutschland","ost","bundesländern","ostdeutschland","ddr","osten","ost","ostdeutschland","osten","ddr","osten","rente","ost","ost","osten","ost","ddr","ddr","ost","ost","osten","lebensverhältnisse","lebensverhältnisse","ostdeutschland","ostdeutschland","thüringen","osten","kirchen","schwedt"
"3","berliner","berlins","zone","fremdenlegion","berlins","zone","berlins","amnestie","berliner","sed","drüben","fernsehen","fernmeldewesen","rundfunkanstalten","pöhler","film","berliner","hausfrau","wahlkreise","verbraucher","werbung","film","fernsehen","zeitungen","zeitschriften","schulzevorberg","presse","bildungsarbeit","zeitungen","presse","ahlers","öffentlichkeitsarbeit","ahlers","chef","informationsamtes","informationsamt","presse","grabert","wienand","ehmke","bölling","journalisten","broschüre","urteil","anzeigen","bundesverfassungsgericht","bundeszentrale","urteil","radio","schwarzschilling","rechnungsprüfungsausschuss","öffentlichrechtlichen","rundfunk","fernsehen","selbstdarstellung","monopolkommission","schwarzschilling","roten","medienpolitik","köhler","gefahrstoffverordnung","ostfriesland","arzneimittel","gefahrstoffverordnung","verboten","bundesgesundheitsamt","innenräumen","tierversuche","arzneimittel","bundesgesundheitsamt","geschädigten","entschädigung","eigentum","entschädigung","vermögensrechtsänderungsgesetz","rückgabe","entschädigung","ddr","entschädigung","ostdeutschen","grundstücke","altschulden","ostdeutschen","verjährung","sed","schwanitz","ostdeutschen","ostdeutschen","osten","neuen","neuen","neuen","osten","osten","bundesländern","neuen","sachsen","osten","ost","osten","osten","ost","ost","ost","west","west","seen","einheit","osten","west","ostdeutschland","osten","osten","west","west","einheit","ost","tab","west","ddr","osten","regionen","ostdeutschen","ost","daseinsvorsorge","ddr","einheit","osten"
"4","deutsche","deutschen","berlins","deutschen","dienstgruppen","berlins","stadt","drüben","rundfunkanstalten","berliner","werbung","werbung","heck","programm","kühn","bechert","besold","lebensmittel","presse","fernsehen","presse","presse","werbung","drüben","film","güntherkommission","zeitungen","the","pressekommission","propaganda","information","informationsamtes","anstalt","informationsamtes","chef","ahlers","vertretung","presse","ehmke","chef","bundeskanzleramtes","zeitungen","schüler","presse","bayerischen","verfassungsgericht","urteil","presse","klein","neuen","planungsabteilung","rundfunk","huonker","satelliten","stelleneinsparungen","burda","medienpolitik","aktuelle","entscheidung","mitarbeiterkonferenz","dioxine","krebserzeugend","tier","autoradios","möglichst","tierversuchen","gefahrstoffverordnung","pcp","bga","arzneimittel","arbeitsschutzes","eigentümer","hacker","eigentum","rückgabe","eigentum","rehabilitierung","kommission","ddr","einigungsvertrag","unrecht","enteignungen","hacker","bodenreform","bundesländern","bundesländern","neuen","osten","ddr","länder","bundesländern","sachsenanhalt","aufbau","streik","neuen","osten","einheit","regionen","bundesländern","ostdeutschen","neuen","ostdeutschen","einheit","bundesländern","ostdeutschland","einheit","osten","ostdeutschland","west","ddr","osten","west","west","ostdeutschland","ostdeutschland","volkskammer","west","west","bonn","west","west","ostdeutschland","ddr","ostdeutschen","regionen","haribo","ost","lebensverhältnisse"
"5","bundesregierung","zone","besetzten","berlins","notopfer","viermächtestatus","brandt","gefangenen","anstalten","sowjetischen","tochter","programm","rundfunkanstalten","werbung","ausbaustufe","bevölkerung","berlin","fernsehen","fernsehen","presse","rundfunkanstalten","informationsamt","anstalten","rundfunk","fernsehen","kommission","bundeszentrale","politische","berichterstattung","pressefreiheit","journalisten","chef","information","staatssekretär","anzeigen","staatsangehörigkeit","verordnung","informationsamtes","schäuble","bundeskanzleramt","informationsamtes","akten","broschüren","bundesverfassungsgericht","anfragen","bundesverfassungsgerichts","adenauer","wahlplattform","medien","fernsehen","bundesrechnungshofes","medienpolitischen","medien","öffentlichkeitsarbeit","prioritäten","schwarzschilling","fahrlässig","kampagne","glotz","luuk","basf","dollarthafen","tiere","bestrahlung","wissenschaft","chory","lebensmitteln","tiere","therapierichtungen","bestrahlung","tier","stetten","vermögensgesetzes","stichtagsregelung","entschädigung","ausgleichsleistungen","hansjoachim","rückgabe","unrecht","schuldner","ostdeutschen","bundesländern","entschädigung","bundesländern","ostdeutschen","neuen","bundesländern","ostdeutschland","neuen","bundesländern","ostdeutschen","bundesländern","neuen","bundesländern","ostdeutschland","bundesländern","bundesländern","bundesländern","pds","aufbau","bundesländern","osten","bundesländern","neuen","bundesländern","osten","west","ost","westen","ostdeutschland","west","einheit","rente","einheit","renten","polnischen","osten","schäden","ostdeutschen","geschiedenen","einheit","gleichwertige","ost","regionen","osten","ostdeutschen","ostdeutschen","einheit"
"6","alliierten","deutsche","sowjetisch","gefangenen","alliierten","gefangenen","sitz","berliner","werbefernsehen","zonengrenze","rundfunk","heck","rundfunks","fernsehprogramm","beklagenswert","werte","luft","hausfrauen","wettbewerb","rundfunk","rundfunk","bundespressechef","stiftung","fernsehen","rundfunk","fernsehen","fernsehen","of","rundfunk","anzeige","propaganda","anzeige","staatssekretär","abgeordneter","staatssekretär","journalist","chef","wechmar","presse","journalisten","zeitungen","ehmke","öffentlichkeitsarbeit","bundesverfassungsgerichts","herr","rechnungshof","beilage","staatssekretär","satelliten","programme","sendungen","sender","enquetekommission","medien","dr","aktuelle","fernsehrats","informations","veranstalter","meinungsdruck","holzschutzmitteln","dollart","tierschutz","dosis","pro","tiere","bestrahlung","tierschutzgesetzes","schäden","schäden","schädiger","bgb","vermögensgesetz","geis","hacker","entschädigungs","grundstücke","alteigentümer","grundstücke","entschädigung","altschulden","neuen","luther","verlängerung","neuen","ostdeutschland","aufbau","neuen","einheit","ostdeutschen","west","sachsen","bundesländern","ostdeutschland","ostdeutschen","aufbau","osten","ostdeutschen","ostdeutschland","neuen","ostdeutschen","neuen","neuen","ostdeutschland","westen","ostdeutschland","ddr","westen","einheit","westen","ghetto","westen","hochwasser","uruguay","ostdeutschen","ostdeutschen","ostdeutschland","rentenrecht","westen","westen","regionen","ost","treuhand","west","einheit","ostdeutschland","west","ost"
"7","zone","notopfer","bundesrepublik","kriegsverurteilten","deutschen","deutschen","hauptstadt","mannheim","rundfunk","bundesgebiet","programm","anstalt","fernsehen","reichsnährstandsbeamten","kleve","niederschläge","filmproduktion","herstellungsdatum","zeitungen","beyer","ard","kinderlähmung","kronach","gegenseitigkeit","schulzevorberg","informationsamt","informationsamt","presse","gütt","staatssekretär","informationspolitik","information","bundeszentrale","journalisten","abgeordneter","rundfunk","ständigen","göbel","untersuchungsausschuss","nollau","schüler","herr","zeitungen","anzeigen","presse","dienstag","nachlass","bundeskanzleramt","bundesminister","rundfunk","huonker","schwarzschilling","presse","meisterprüfung","programmen","wirtschaftsminister","verkehrszentralregister","verkabelung","medien","helfer","krebserzeugend","einstufung","tieren","tiere","heissen","nichtraucher","bundesgesundheitsamt","verbraucher","bauschadensbericht","lebensmittel","schulmedizin","eigentum","eigentümer","gläubiger","eigentümer","hacker","enteignungen","bräutigam","hacker","hansjoachim","entschädigung","hacker","heuer","flächen","osten","staatsminister","schwanitz","bundesländern","bundesländern","massstäbegesetz","aufbau","aufbau","west","bundesländer","bundesländer","regionen","ostdeutschen","neuen","hammelsprung","regionen","regionen","west","west","dkp","ostdeutschen","bvvg","ostdeutschen","ostdeutschen","ostdeutschland","einheit","westen","angleichung","hochwasserschutz","ostdeutschen","westen","abkommen","ostdeutschen","betroffenen","einheit","einheit","wiedervereinigung","einheit","regionen","thüringen","unmut","ost","staatsleistungen","ölembargo"
"8","berlins","sowjetischen","sowjetischen","alliierten","zone","zonengrenze","gesamtdeutsche","sowjetisch","programm","drüben","fernsehen","rundfunkanstalten","anstalten","freies","sender","atomkernenergie","films","ware","verbrauchers","medien","verbraucher","anzeigenaktion","programm","austausch","filme","film","scheel","diehl","bildung","journalisten","raffert","abgeordneter","redaktion","herr","broschüre","bundesregierung","vertretungen","freiherr","zeuge","bnd","journalisten","öffentlichkeitsarbeit","presse","abgeordneter","essel","bölling","adenauers","schröder","genscher","pilotprojekte","luxemburg","einsetzung","fernsehen","baustellen","linsmeier","bundespost","eintragungen","weirich","fragen","mitbestimmung","deckrotwein","vertrag","patienten","formaldehyd","verbot","wissenschaftler","arbeitsloseninitiativen","produkte","naturheilmittel","verbraucherinnen","schäden","haftung","schwerin","vermögensgesetz","investitionen","vermögensfragen","alteigentümer","gläubiger","vermögensgesetz","luther","hacker","entschädigung","uwejens","neuen","ehemaligen","pds","osten","schwanitz","ostdeutschland","aufbau","ostdeutschland","ostdeutschen","ostdeutschen","sachsen","aufbau","ga","neuen","sachsen","osten","bundesländern","einheit","westen","ostdeutschen","westen","einheit","ostdeutschen","einheit","rentenüberleitung","ostdeutschen","lohnunterlagen","ddr","ostdeutschland","zuwanderer","westen","einheit","ehemaligen","wiedervereinigung","osten","angleichung","angleichung","leipzig","westen","lebensverhältnisse","einheit","brandenburg","wiedervereinigung","ostdeutschland","west"
"9","amerikanischen","sowjetzone","roten","legion","gefangenen","drüben","alliierten","sitz","werbung","werbung","sowjetischen","rundfunk","kirchen","instrument","post","atomwaffenversuche","produzenten","angabe","rundfunk","selbstkontrolle","blumenfeld","rundfunk","hofmann","zone","films","meinungsfreiheit","öffentlichkeitsarbeit","and","sänger","abgeordneter","informationsamtes","sendung","exemplare","bundesregierung","bundesregierung","bundespresse","informationsamtes","ehmke","wechmar","guillaumes","bnd","chef","staatssekretär","schäfer","anzeigenserie","rechnungsprüfungsausschuss","verfassungsgericht","wischnewski","göttingen","rundfunkanstalten","schwarzschilling","anstalten","verkabelung","dienste","genutzt","tätig","aktuelle","wettbewerb","trinkwasserverordnung","auswahlverfahren","furane","dollarthafens","tierschutzes","entgiftung","enquetekommission","kosmetika","verboten","tierschutzes","industrie","lebensmitteln","tieres","vermögen","berufsgenossenschaften","schuldner","hofräume","enteignungen","ausgleichsleistungen","kleinert","neuen","neuen","rehabilitierung","einigungsvertrag","rehabilitierung","alteigentümer","ostdeutschland","rolf","entschädigung","einheit","beamten","solidarpakt","länder","ostdeutschland","ländern","ostdeutschen","regionen","ostdeutschen","regionen","aufbau","lindern","investitionszulage","investitionszulage","regionen","westen","regionen","neuen","bundesländern","neuen","bundesländern","heimkinder","rentenversicherung","renten","genossenschaft","westen","rente","angleichung","ost","rentenrecht","westen","ostdeutschland","rentenrecht","ostdeutschland","ostdeutschen","west","lebensverhältnisse","lebensverhältnisse","west","ddr","ostdeutschen"
"10","kommission","stadt","deutschen","zone","tarifvertrag","gesamtdeutsche","bonn","entlassen","kühn","sowjetzonalen","zone","fernsehprogramm","post","sender","freies","radioaktiven","werte","strobel","film","flaschen","beyer","beirat","rundfunkanstalten","eckardt","zeitschrift","ahlers","ahlers","moersch","diehl","zeitungen","bundespresseamt","propaganda","journalisten","pressefreiheit","herr","chef","wechmar","staatsanwaltschaft","untersuchungsausschusses","verfassungsschutz","bundeskanzleramt","bundeskanzleramt","abgeordneter","herr","anzeige","haase","bundesverfassungsgericht","papier","schwarzschilling","medienpolitischen","rundfunk","enquetekommission","notruftelefone","bundespost","werbung","bundeswirtschaftsminister","glasfasertechnologie","medien","planungsdaten","geschäftsleitung","furanen","niederlande","industrie","bundesgesundheitsamt","medikamenten","tierschutzgesetz","tiere","tierschutzbericht","institut","zulassung","haftung","vermögensgesetz","grundsatzes","gres","rückübertragung","bodenschätzen","eigentum","einigungsvertrag","enteignungen","leipzig","rückgabe","betroffenen","ehemaligen","leipzig","ost","ost","ostdeutschland","west","westen","ostdeutschland","ammendorf","bundesländer","sachsen","westen","ländern","bundesländer","west","leipzig","unzählige","west","bundesländer","bundesländer","bundesländer","west","angleichung","westen","bundesländern","west","ehemaligen","neuen","rentenversicherung","renten","renten","neuen","rentenwert","ghetto","angleichung","wahlkreis","rentenangleichung","ostdeutschland","solidaritätszuschlag","west","westen","ddr","bundesländer","regionen","bundesländern","gleichwertige"
