"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","berufsvertretung","film","filmwirtschaft","wracks","urheber","film","anstalten","urheber","sender","anmeldungen","presse","presse","presse","bildung","presse","ahlers","ehmke","ehmke","ehmke","ahlers","presse","ehmke","presse","eppler","entwicklungshilfe","presse","presse","entwicklungspolitik","bölling","öffentlichkeitsarbeit","afrika","entwicklungspolitik","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","zusammenarbeit","entwicklungspolitik","entwicklungsländern","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","südafrika","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","namibia","nationen","südafrika","irak","krieg","nationen","nationen","welt","nationen","entwicklungspolitik","vereinten","entwicklungspolitik","nationen","welt","afrika","nationen","entwicklungspolitik","nationen","entwicklungszusammenarbeit","entwicklungsländer","afrika","entwicklungszusammenarbeit","entwicklungsländern","globalisierung","globalisierung","simbabwe","afrika","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","armut","entwicklungszusammenarbeit","entwicklungszusammenarbeit","afrika","china","china","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","afrika","mädchen","afrika","fluchtursachen","deg","afrika","afrika","afrika","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","berliner","berliner","zonenrandgebiet","berliner","berliner","berliner","berliner","berliner","fernsehen","berliner","fernsehen","kühn","kühn","bundesinnenminister","kühn","kommission","berlin","turn","urheberrecht","presse","fernsehen","künstler","fernsehsender","patentamt","kommission","kommission","bundeszentrale","bundeszentrale","ausschüsse","ehmke","presse","ahlers","aufgaben","presse","ahlers","aufgaben","journalisten","chef","eppler","chef","bölling","entwicklungshilfe","broschüre","bölling","entwicklungspolitik","vereinten","afrika","nationen","südafrika","entwicklungspolitik","entwicklungspolitik","welt","entwicklungspolitik","entwicklungshilfe","zusammenarbeit","entwicklungspolitik","entwicklungshilfe","unctad","nicaragua","nicaragua","welt","welt","afghanistan","chile","entwicklungsländer","welt","welt","welt","vereinten","nationen","tropischen","irak","menschenrechte","welt","hilfe","vereinten","afrika","nationen","welt","vereinten","entwicklungspolitik","entwicklungspolitik","vereinten","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungspolitik","entwicklungspolitik","kuba","afrika","entwicklungsländer","entwicklungspolitik","afrika","entwicklungspolitik","armut","entwicklungspolitik","afrikanischen","armut","lateinamerika","entwicklungszusammenarbeit","kuba","aids","afrikanischen","afrika","entwicklungsländern","budgethilfe","kenia","haiti","zusammenarbeit","entwicklungszusammenarbeit","niebel","niebel","bmz","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kuba","entwicklungszusammenarbeit","menschenrechte","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","indien","china","globalen","menschenrechte","entwicklungszusammenarbeit"
"3","stadt","notopfer","zonenrandgebieten","berlins","notopfer","notopfer","berlins","stadt","berliner","stadt","berliner","fernsehen","fernmeldewesen","rundfunkanstalten","speditionsnahverkehr","filmwirtschaft","westdeutschen","eisbrecher","fernsehen","rundfunk","rundfunkanstalten","urhebers","rundfunk","fernsehen","fernsehen","zeitungen","fernsehen","moersch","ausschußsitzungen","pressefreiheit","öffentlichkeitsarbeit","presse","besondere","informationsamtes","informationsamtes","dienstes","chef","entwicklungshilfe","entwicklungspolitik","pressefreiheit","zeitungen","bahr","todenhöfer","entwicklungspolitik","entwicklungsländer","afrika","befreiungsbewegungen","vereinten","entwicklungshilfe","entwicklungshilfe","dritten","entwicklungsländer","kernforschungsanlage","welt","picotrac","entwicklungsländer","köhler","entwicklungsländern","region","welt","entwicklungsländer","nationen","welt","sanktionen","chile","chile","dritten","südafrika","namibia","welt","welt","kuwait","entwicklungspolitik","vereinten","nationen","welt","vereinten","entwicklungspolitik","nationen","lateinamerika","entwicklungszusammenarbeit","menschenrechte","internationalen","zusammenarbeit","entwicklungszusammenarbeit","menschenrechte","internationalen","entwicklungszusammenarbeit","entwicklungsländer","nordkorea","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungsländern","kolumbien","simbabwe","entwicklungspolitik","darfur","entwicklungspolitik","entwicklungspolitik","kuba","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungsländern","hilfe","niebel","niebel","indien","entwicklungspolitik","wasser","entwicklungspolitik","entwicklungsländern","entwicklungszusammenarbeit","afrika","entwicklung","entwicklungspolitik","palmöl","fluchtursachen","entwicklungspolitik","entwicklungspolitik","müller","menschenrechte","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","welt","hunger"
"4","berlins","berlins","zonenrandgebiete","senat","berlins","berlins","stadt","sitz","rundfunkanstalten","bundesgebiet","sowjetischen","werbung","heck","rundfunk","forstwirtschaftliche","filmindustrie","berliner","hypothekengewinnabgabe","presse","fernsehen","rundfunk","verwertungsgesellschaften","fernsehprogramm","prüfer","film","güntherkommission","zeitungen","presse","berichterstattung","wörner","bundeskanzleramt","chef","presse","chef","chef","presse","verordnung","grabert","presse","journalisten","informationsamtes","entwicklungsländer","bundesbank","urteil","südlichen","nationen","entwicklungshilfe","flüchtlinge","todenhöfer","welt","welt","zusammenarbeit","entwicklungshilfe","entwicklungsländern","entwicklungsländer","welt","zusammenarbeit","belgrad","afrika","entwicklungspolitik","afrika","vereinten","entwicklungsländer","welt","entwicklungsländern","nicaragua","apartheid","menschenrechte","welt","khmer","nationen","nationen","vereinten","entwicklungsländern","vereinten","uno","nationen","welt","internationalen","menschenrechte","expo","entwicklungsländern","uno","kosovo","menschenrechte","zusammenarbeit","entwicklungsländern","zusammenarbeit","iwf","entwicklungszusammenarbeit","entwicklungsländer","internationalen","afrika","entwicklungszusammenarbeit","zusammenarbeit","sudan","indien","sudan","zusammenarbeit","entwicklungsländer","zusammenarbeit","simbabwe","birma","lateinamerika","entwicklungspolitik","entwicklungsländern","zusammenarbeit","entwicklungsländern","kongo","bmz","zusammenarbeit","entwicklungsländern","zusammenarbeit","uruguay","entwicklungspolitik","armut","armut","menschenrechte","entwicklungspolitik","entwicklung","müller","entwicklungspolitik","eritrea","menschenrechte","hongkong","menschenrechte","china","entwicklungspolitik"
"5","baden","stadt","brökelschen","stadt","aufbauplan","viermächtestatus","bonn","mannheim","programm","berlins","berlins","heck","rundfunkanstalten","fernsehens","fernsehen","rundfunkanstalten","auskünfte","fernsehen","urheberrechts","selbstkontrolle","presse","werke","bundespost","gesamtdeutsche","rundfunk","schulzevorberg","öffentlichkeitsarbeit","politische","journalisten","presse","bundeskanzleramtes","informationsamtes","bundesminister","journalisten","ehmke","pressereferat","informationsamtes","bundeskanzleramtes","todenhöfer","informationsamtes","chef","presse","öffentlichkeitsarbeit","entwicklungshilfe","südafrika","entwicklungsländer","gewalt","entwicklungsländern","afrikanischen","hilfe","entwicklungsländer","entwicklungsländern","entwicklungsländern","zusammenarbeit","echternach","handwerk","verpflichtungsermächtigungen","welt","salvador","afghanistan","guatemala","dritten","terrorismus","menschenrechte","welt","entwicklungsländer","entwicklungsländer","entwicklungsländer","südafrika","vereinten","wälder","saddam","welt","china","menschenrechte","somalia","menschenrechte","afrika","entwicklungsländer","welt","internationalen","internationalen","entwicklung","entwicklungsländern","vereinten","schuldenerlaß","zusammenarbeit","werften","entwicklungspolitik","zusammenarbeit","werften","entwicklung","wieczorekzeul","entwicklungspolitik","entwicklungsländern","venezuela","armutsbekämpfung","kambodscha","entschuldung","wto","entwicklungspolitik","entwicklungsländern","entwicklungsländern","afrika","afrika","antrag","entwicklungspolitik","wirtschaftliche","entwicklungsländern","zusammenarbeit","kinderarbeit","niebel","niebel","afrikanischen","weltweit","liberia","afrika","kekeritz","entwicklung","aktionsplan","globalen","menschenrechte","welt","china","globalen","welt","lieferkettengesetz","welt"
"6","bevölkerung","land","berliner","notopfer","notopfers","brökelschen","brandt","friedensburg","anstalten","bund","rundfunk","programm","fernsehen","zweidrittelmehrheit","sender","welle","besold","film","anstalten","medien","deutschlandfunk","urheberrecht","fernsehen","rundfunk","zeitungen","fernsehen","rundfunk","verleger","öffentlich","bundespressechef","bundeskanzler","anzeige","bayernkurier","ehmke","kpi","besondere","korrespondenten","jugoslawien","chef","bölling","öffentlichkeitsarbeit","todenhöfer","abgeordneter","köhler","todenhöfer","entwicklungshilfe","todenhöfer","entwicklungshilfe","dritten","dritten","zusammenarbeit","entwicklungshilfe","rose","entwicklungsländer","kakaoabkommen","global","dritten","industrieländer","chile","zusammenarbeit","dritten","zusammenarbeit","entwicklungspolitik","namibia","la","sanktionen","kurden","afghanistan","brasilien","entwicklungspolitik","kuwait","welt","china","südafrika","humanitäre","entwicklungspolitik","china","entwicklungsländer","vereinten","uno","entwicklungsländern","nationen","welt","nationen","internationalen","internationalen","entwicklungszusammenarbeit","entwicklungspolitik","kuba","armut","entwicklungsländern","entwicklungszusammenarbeit","internationalen","sars","armut","entwicklungsländern","china","entwicklungsländern","armutsbekämpfung","afrika","afrika","china","entwicklungspolitik","genitalverstümmelung","krankheiten","china","menschenrechte","entwicklung","wasser","entwicklungsländern","bmz","zusammenarbeit","hunger","entwicklung","nigeria","welt","globalen","zusammenarbeit","menschenrechte","zusammenarbeit","minister","äthiopien","venezuela","müller","welt","china","afrika","afrika"
"7","land","senat","frau","neumann","brandt","gesamtdeutsche","sitz","königswinter","kühn","hauptstadt","bundesgebiet","anstalt","anstalten","anstalten","indischen","filme","sachverständigenkommission","seidel","rundfunk","filmwirtschaft","ard","schutzfrist","kommission","anmeldung","films","rundfunkanstalten","bildung","urheber","öffentlichkeit","herr","besondere","öffentlichkeitsarbeit","öffentlichkeitsarbeit","staatssekretär","anzeigen","presserat","wechmar","wirtschaftliche","wechmar","wirtschaftliche","journalisten","entwicklungsländern","presse","presse","befreiungsbewegungen","entwicklungsländern","südafrika","hilfe","nationen","entwicklungsländern","afrikanischen","länder","pohlmeier","dritten","gtz","dritten","wirtschaftliche","iwf","welt","währungsfonds","entwicklungsländern","afrika","nicaragua","menschenrechtsverletzungen","südafrika","menschenrechte","chile","weltbank","weltbank","entwicklungshilfe","vereinten","vereinten","entwicklungshilfe","entwicklungspolitik","jugoslawien","entwicklungsländern","entwicklungszusammenarbeit","gorazde","menschenrechte","internationalen","burundi","zusammenarbeit","staaten","entwicklungshilfe","welt","ärmsten","nationen","entwicklung","bmz","internationalen","internationalen","armut","mugabe","wirtschaftliche","entwicklungsländer","aids","entwicklungsländern","entwicklungspolitik","simbabwe","entwicklungsländern","odaquote","entwicklungsländer","malaria","entwicklung","entwicklung","entwicklungsländer","wirtschaftliche","entwicklungspolitik","zusammenarbeit","kinderarbeit","entwicklung","afrika","armut","abkommen","haram","entwicklungspolitik","entwicklung","entwicklung","zusammenarbeit","müller","bmz","bmz","äthiopien","weltweit","menschenrechte","lieferkettengesetz","globalen","globale"
"8","kehl","bundeszuschuß","hilfe","hauptstadt","bundeszuschusses","zone","gesamtdeutsche","senat","werbefernsehen","bundes","sender","rundfunkanstalten","grundgesetzes","rundfunks","entsandt","fernsehen","berlins","vereine","film","pflanzenschutzmittel","blumenfeld","geräte","kronach","eckardt","rundfunkanstalten","bericht","schulzevorberg","unabhängigkeit","arbeit","journalisten","windelen","aufgaben","herr","abgeordneter","abgeordneter","präsidenten","bundeskanzleramtes","gutachten","jugoslawien","zeitungen","köhler","entwicklungspolitischen","entwicklungsländer","anzeigen","schwarzen","dritten","südlichen","swapo","afrikapolitik","türkei","entwicklungsbank","ärmsten","brück","nichtregierungsorganisationen","hilfe","armut","welt","dritten","el","entwicklungsländern","nicaragua","entwicklungsländer","entwicklungshilfe","entwicklungsländer","prensa","afrika","entwicklungspolitik","flüchtlinge","menschenrechte","roten","internationalen","kurden","türkei","norden","entwicklungspolitik","hilfe","asien","ruanda","entwicklungsländern","entwicklungspolitik","nationen","welt","sicherheitsrat","bmz","abkommen","hedrich","internationale","entwicklungsländern","zusammenarbeit","werften","tobinsteuer","welt","bmz","entwicklungsländer","menschenrechte","darfur","darfur","entwicklungsländer","afrika","china","armut","entwicklungspolitik","afrikanischen","chinesischen","entwicklungsländer","kolumbien","bmz","armut","armut","entwicklung","wirtschaftliche","wirtschaftliche","mexiko","müller","boko","weltweit","weltweit","weltweit","afrikanischen","wirtschaftliche","global","minister","maduro","welt","globale","müller","entwicklungszusammenarbeit","weltweit"
"9","länder","bayerischen","hilfsmaßnahmen","eternit","stadt","korspeter","hauptstadt","provisorium","werbung","werbung","zwangssparen","rundfunk","rundfunks","grundgesetzes","vereine","berlin","filmproduktion","bemühungen","zeitungen","films","welle","film","anstalten","landräte","patentamt","sendungen","information","kaiserstuhl","sänger","kanzleramt","kanzleramt","herr","ahlers","herr","broschüre","pressestelle","bundeskanzleramt","zusammenarbeit","informationsamtes","bundesrechnungshof","herr","minister","broschüren","herr","entwicklungsländern","swapo","vereinten","entwicklungsländer","entwicklungspolitik","nationen","afrika","dritten","flüchtlinge","entwicklungspolitischen","welt","zusammenarbeit","entwicklungspolitischen","zusammenarbeit","staaten","iwf","zusammenarbeit","afghanistan","menschenrechte","nicaragua","unctad","hilfe","irak","entwicklungsländern","entwicklungsländer","brasilien","menschenrechte","hussein","entwicklungsländern","afrika","somalia","menschenrechte","welt","uno","entwicklungshilfe","internationale","kinderarbeit","entwicklungszusammenarbeit","entwicklungspolitik","welt","indien","entwicklungsländer","globalisierung","welt","weltbank","wieczorekzeul","wto","entwicklungsländern","wirtschaftliche","armutsbekämpfung","ministerin","kongo","entwicklungsländer","zusammenarbeit","wieczorekzeul","weltbank","hivaids","afrikas","tuberkulose","entwicklungsländer","armut","lateinamerika","armut","bmz","völker","wirtschaftliche","entwicklungsländern","myanmar","abkommen","hunger","ebola","staaten","entwicklungsländern","entwicklungszusammenarbeit","müller","entwicklungszusammenarbeit","menschenrechte","eritrea","hilfe","kinderarbeit","gesundheit","weltweit","hongkong","g "
"10","sitz","notopfers","behrisch","abgeordnetenhaus","überleitungsgesetzes","zonenrandgebiet","friedensburg","berlins","rundfunk","sowjetischen","zivilverteidigung","fernsehprogramm","macht","gibt","rundfunk","rundfunk","westdeutschland","sportvereine","urhebers","funk","berlin","dienstag","deutschlandfunks","sendungen","konzentration","journalisten","springer","schulzevorberg","plenum","bundeskanzler","ahlers","besondere","unosatzung","bundesregierung","herr","bnd","ddr","presse","zusammenarbeit","zeugnisverweigerungsrecht","entwicklungshilfe","öffentlichkeitsarbeit","entwicklungsländern","brück","schlei","welt","entwicklungspolitik","welt","hilfe","zusammenarbeit","entwicklungsländern","antrag","wirtschaftliche","hilfe","abkommen","entwicklungshilfe","entwicklungsländer","wirtschaftliche","entwicklungshilfe","dritten","warnke","entwicklungshilfe","entwicklungsländern","apartheid","entwicklungshilfe","apartheid","weltbank","nationen","zusammenarbeit","zusammenarbeit","regenwälder","golf","entwicklungsländer","entwicklungsländer","entwicklungsländern","krieg","zusammenarbeit","menschenrechte","entwicklungszusammenarbeit","staaten","vereinten","staaten","wirtschaftliche","spranger","internationale","weltbank","welt","internationalen","internationalen","entwicklung","welt","menschenrechte","menschenrechte","simbabwe","wieczorekzeul","chávez","zusammenarbeit","indien","ministerin","armut","china","ländern","budgethilfe","korruption","zusammenarbeit","indien","kopp","kuba","menschenrechte","raabe","kopp","entwicklung","entwicklung","ländern","entwicklung","afrikanischen","bekämpfen","fluchtursachen","wirtschaftliche","hunger","entwicklung","odaquote","afrikanischen","hongkong","entwicklungsländern","globale","staaten","bmz"
