"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro"
"2","millionen","millionen","millionen","millionen","bundesfinanzminister","millionen","millionen","millionen","milliarden","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","milliarden","millionen","millionen","millionen","millionen","milliarden","milliarden","milliarden","milliarden","dm","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden"
"3","haushalt","haushalt","haushalt","haushalt","millionen","haushaltsausschuss","milliarden","haushalt","millionen","haushalt","milliarden","millionen","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","finanzplanung","millionen","milliarden","milliarden","milliarden","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","gemeinden","millionen","millionen","haushalt","millionen","millionen","haushalt","millionen","millionen","millionen","millionen","haushalt","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","nachtragshaushalt","haushalt","millionen","millionen","haushalt","haushalt","haushalt","millionen","haushalt","haushalt","bund","haushalt","bundesbank","haushalt","millionen","haushalt","haushalt","millionen","haushalt","millionen","haushalt","dm","haushalt","millionen","haushalt","haushalt","haushalt","millionen","haushalt","haushalt","haushalt","haushalt","haushalt","millionen","haushalt","schulden","haushalt","haushalt","millionen","haushalt","geld","haushalt","schulden","haushalt","milliarden","investitionen","milliarden","millionen","haushalt","länder","haushalt","milliarden","geld","haushalt","kommunen","haushalt","geld","haushalt"
"4","ausgaben","einzelplan","einzelplan","haushaltsausschuss","haushalt","haushalt","haushalt","milliarden","ausgaben","milliarden","haushalt","haushalt","haushalt","haushalt","rund","milliarden","haushalt","haushalt","haushalt","haushalt","haushalt","betrag","haushalt","haushalt","haushalt","millionen","gemeinden","finanzplanung","gemeinden","finanzplanung","haushalt","haushalt","finanzplanung","gemeinden","haushalt","jahr","haushalt","haushalt","haushalt","haushalt","ausgaben","ausgaben","rund","ausgaben","bund","haushalt","haushalt","ausgaben","haushalt","bund","millionen","haushalt","ausgaben","haushalt","haushalt","millionen","haushalt","haushalt","haushalt","haushalt","jahr","haushalt","jahr","haushalt","jahr","haushalt","jahr","haushalt","haushalt","haushalt","millionen","millionen","haushalt","finanzierung","millionen","millionen","millionen","jahr","millionen","millionen","millionen","millionen","millionen","millionen","jahr","millionen","millionen","haushalt","millionen","jahr","millionen","jahr","millionen","haushalt","millionen","jahr","millionen","jahr","jahr","millionen","jahr","jahr","millionen","jahr","millionen","geld","millionen","millionen","schuldenbremse","millionen","millionen","millionen","geld","millionen","millionen","millionen","millionen","geld","millionen","millionen","geld","millionen","millionen","millionen","geld","geld","kommunen","millionen"
"5","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","einzelplan","milliarden","einzelplan","ausgaben","haushaltsausschuss","haushalt","haushaltsausschuss","bundesfinanzminister","bundesfinanzminister","bundesfinanzminister","bundesfinanzminister","betrag","haushaltsausschuss","bundesfinanzminister","ausgaben","bundesfinanzminister","haushaltsausschuss","ausgaben","haushalt","möller","ausgaben","ausgaben","ausgaben","finanzplanung","gemeinden","finanzplanung","haushalt","höhe","finanzplanung","haushalt","finanzplanung","gemeinden","bund","ausgaben","ausgaben","ausgaben","ausgaben","höhe","rund","°o","haushalt","millionen","ausgaben","ausgaben","millionen","jahr","ausgaben","bund","ausgaben","haushalt","einzelplan","jahr","jahr","finanzplanung","jahr","jahr","jahr","haushalt","jahr","rund","jahr","neuverschuldung","jahr","haushalt","jahr","jahr","jahr","jahr","jahr","jahr","jahr","jahr","jahr","jahr","haushalt","bund","waigel","kommunen","jahr","haushalt","jahr","haushalt","ausgaben","jahr","jahr","jahr","haushalt","jahr","millionen","jahr","jahr","jahr","millionen","jahr","haushalt","schulden","jahr","koalition","millionen","jahr","prozent","schulden","neuverschuldung","geld","geld","haushalt","jahr","schulden","geld","millionen","geld","geld","haushalt","geld","länder","geld","geld","millionen","geld","schuldenbremse","investitionen","bund","millionen","bund","geld"
"6","einzelplan","tit","bundesfinanzminister","milliarden","ausgaben","bundesfinanzminister","bundesfinanzminister","tit","bundesfinanzminister","tit","ausgaben","ausgaben","gemeinden","ausgaben","bund","bundesfinanzminister","ausgaben","bund","bund","bund","haushalts","mittel","ausgaben","haushalts","haushalts","mittelfristigen","ausgaben","ausgaben","haushalt","mittelfristigen","finanzplanung","ausgaben","ausgaben","haushalt","finanzplanung","zahlen","haushaltsausschuss","jahr","bund","bund","bund","jahre","jahre","bund","ausgaben","jahr","jahr","jahr","ausgaben","jahr","ausgaben","jahr","bundeshaushalt","jahr","höhe","bundeshaushalt","jahr","finanzplanung","rund","stoltenberg","stoltenberg","bundeshaushalt","zahlen","stoltenberg","stoltenberg","stoltenberg","ausgaben","mittel","ausgaben","nachtragshaushalt","haushalt","mittel","ausgaben","ausgaben","dienstag","einsparungen","einzelplan","kommunen","jahr","bund","länder","bundeshaushalt","waigel","bundeshaushalt","prozent","jahr","schulden","mittel","ausgaben","ausgaben","euro","haushalt","prozent","schulden","prozent","ausgaben","ausgaben","prozent","ausgaben","steinbrück","millionen","schulden","geld","geld","jahr","haushalt","jahr","jahr","jahr","geld","haushalt","jahr","haushalt","kommunen","schulden","kommunen","mittel","bund","kommunen","bund","investitionen","mittel","bund","geld","millionen","kommunen","millionen","schuldenbremse"
"7","betrag","ausgaben","ausgaben","bundesfinanzminister","haushalts","milliarden","rund","einzelplan","jahre","kap","haushaltsausschuss","bund","ausgaben","einzelplan","haushalt","ausgaben","bundeshaushalt","bundes","ausgaben","ausgaben","jahr","haushaltsausschuss","bund","bund","höhe","steuererhöhungen","bund","haushalt","bund","bundesfinanzminister","haushaltsausschuss","mittel","höhe","bund","bund","haushalt","bund","bund","haushaltsausschuss","gemeinden","nachtragshaushalt","haushalt","ausgaben","bundeshaushalt","haushalt","bund","gemeinden","konsolidierung","bund","haase","jahr","einzelplan","bund","ausgaben","nachtragshaushalt","nachtragshaushalt","rund","stoltenberg","zahlen","ausgaben","rund","bundesfinanzminister","finanzminister","dienstag","milliarde","ausgaben","neuverschuldung","haushaltsausschuss","rund","mittel","kosten","ausgaben","bundeshaushalt","bund","einzelplan","bund","bund","bundes","einzelplan","jahr","haushalt","waigel","bund","ausgaben","rund","mittel","sparen","prozent","investitionen","geld","ausgaben","prozent","ausgaben","höhe","eichel","prozent","prozent","schulden","prozent","prozent","prozent","geld","schulden","haushalt","geld","minus","mittel","mittel","geld","mittel","nachtragshaushalt","mittel","prozent","jahr","mittel","geld","einzelplan","mittel","mittel","kommunen","mittel","kommunen","investitionen","investieren","haushalt","jahr","jahr","schulden"
"8","bund","bundesfinanzminister","betrag","ausgaben","haushaltsausschuss","ausgaben","mittel","ausgaben","jahr","ausgaben","tit","ritzel","haushaltsausschuss","haushalts","beträge","jahr","rund","jahr","haushaltsausschuss","haushalts","höhe","höhe","hessen","gemeinden","haushaltsausschuss","haushalt","haushaltsausschuss","mittelfristigen","finanzreform","ausgaben","ausgaben","haushalts","betrag","steuererhöhungen","jahr","länder","bundeshaushalt","bundes","länder","rund","althammer","jahr","bund","gemeinden","jahr","verschuldung","bund","finanzpolitik","höhe","haushalt","bundeshaushalt","bundeshaushalt","riedl","haushaltsausschuss","ausgaben","rund","haushaltsausschuss","ausgaben","bundeshaushalt","bundesfinanzminister","bundeshaushalt","zahlen","jahre","ausgaben","zahlen","bundesfinanzminister","bundeshaushalt","bund","mittel","geld","ausgaben","bundeshaushalt","einzelplan","bundes","neuen","ausgaben","haushaltsausschuss","länder","waigel","ausgaben","bundes","ausgaben","jahr","einzelplan","bund","bundeshaushalt","ausgaben","ausgaben","mittel","höhe","prozent","höhe","einzelplan","prozent","bundeshaushalt","investitionen","schulden","mittel","eichel","geld","bundeshaushalt","koalition","steinbrück","höhe","prozent","schuldenbremse","prozent","sparen","mittel","einzelplan","schuldenbremse","schulden","jahr","mittel","investitionen","schulden","investitionen","jahr","bund","mittel","bund","bund","jahr","kommunen","investitionen","bund","haushalt","mittel"
"9","tit","kap","milliarden","haushalts","bund","tit","jahr","bundesfinanzminister","rund","einzelplan","haushalts","finanzminister","mittel","haushaltsausschuss","finanzminister","tit","haushalts","haushaltsausschuss","möller","bundeshaushalt","haushaltsausschuss","jahr","haushalts","höhe","finanzplanung","jahr","finanzreform","bund","möller","möller","rund","rund","bund","höhe","haushalts","rund","haushalts","länder","gemeinden","apel","finanzplanung","öffentlichen","zahlen","öffentlichen","länder","gemeinden","rund","bundes","bundes","höhe","bundesfinanzminister","bund","jahr","geld","rund","finanzminister","einzelplan","zahlen","finanzplanung","finanzminister","ausgaben","rund","erhöhung","zahlen","höhe","rund","stoltenberg","rund","bundeshaushalt","rund","waigel","rund","bund","länder","bundeshaushalt","bundeshaushalt","ausgaben","bund","bundeshaushalt","bundeshaushalt","prozent","bund","bundesfinanzminister","waigel","waigel","einzelplan","eichel","höhe","einzelplan","mittel","mittel","investitionen","mittel","mittel","schulden","mittel","eichel","ausgaben","bundeshaushalt","ausgaben","steinbrück","prozent","koalition","erhöhung","investitionen","höhe","ausgaben","schuldenbremse","prozent","schuldenbremse","jahr","ausgaben","mittel","einzelplan","jahr","jahr","etat","investitionen","investitionen","prozent","jahr","jahr","haushalt","mittel","schulden","schuldenbremse","nachtragshaushalt","investitionen"
"10","milliarden","betrag","bund","tit","notopfer","betrag","bund","betrag","etzel","bundesfinanzminister","jahr","jahr","einzelplan","jahr","gemeinden","betrag","bund","haushalts","haushalts","jahr","möller","rund","gemeinden","haushaltsausschuss","gemeinden","bundesfinanzminister","haushalt","bundes","haushaltsausschuss","haushalts","leicht","jahre","jahr","erhöhung","haushaltsausschuss","offentlichkeit","finanzplanung","rund","jahr","bundes","jahr","höhe","leicht","bundesfinanzminister","bundes","bundes","bundeshaushalt","°o","haushaltsausschuss","finanzpolitik","bundes","haushalts","westphal","rund","milliarde","zahlen","finanzminister","bundeshaushalt","haushaltsausschuss","nachtragshaushalt","haushaltsausschuss","stoltenberg","haushalt","bundesfinanzminister","haushalt","bundeshaushalt","bundesfinanzminister","bundeshaushalt","haushalts","ausgaben","bundesfinanzminister","länder","neuen","schulden","bund","länder","bundeshaushalt","finanzminister","bundes","kommunen","jahr","prozent","prozent","höhe","länder","prozent","bundeshaushalt","investitionen","prozent","eichel","schulden","ausgaben","eichel","eichel","ausgaben","kürzungen","höhe","geld","millionen","koalition","ausgaben","mittel","einzelplan","bundeshaushalt","steinbrück","prozent","einzelplan","einzelplan","höhe","schulden","mittel","einzelplan","mehr","ausgaben","etat","bund","jahr","haushalt","länder","mehr","prozent","länder","kommunen","schulden","länder","investitionen","schulden","einzelplan"
