"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","film","wirtschaft","wettbewerb","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","unternehmungen","deist","bundeswirtschaftsminister","deist","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaftspolitik","wirtschaft","wirtschaft","kurlbaum","unternehmen","kohle","schiller","wirtschaft","bundeswirtschaftsminister","wirtschaft","wirtschaft","saar","schiller","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","strauß","inflation","strauß","wirtschaft","strauß","strauß","wirtschaft","wirtschaft","wirtschaft","wachstum","wirtschaft","unternehmen","wirtschaft","wirtschaft","bundesbank","wirtschaft","wirtschaft","investitionszulage","investitionen","arbeitslosigkeit","unternehmen","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","wirtschaft","arbeitslosigkeit","unternehmen","ddr","ddr","marktwirtschaft","arbeitsplätze","unternehmen","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mittelstand","mittelstand","mittelstand","deutschland","handwerk","deutschland","unternehmen","deutschland","deutschland","deutschland","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mittelstand","unternehmen","unternehmen","unternehmen","unternehmen","ceta","ceta","abkommen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen"
"2","kohle","wirtschaft","marktwirtschaft","kartelle","bundeswirtschaftsminister","wirtschaft","bergbau","kartellbehörde","deist","deist","bundeswirtschaftsminister","kohle","wirtschaft","wirtschaft","vermögensbildung","deist","deist","bergbau","marktwirtschaft","konjunkturpolitik","kohle","privatisierung","schiller","schmücker","stabilität","kohle","wirtschaftspolitik","bundeswirtschaftsminister","wirtschaft","wirtschaft","schiller","stabilität","bundesbank","wirtschaft","strauß","wirtschaft","inflation","inflation","bundesbank","bundesbank","aufschwung","wirtschaft","mittelstandspolitik","investitionen","wachstum","strukturpolitik","wirtschaft","wachstum","wirtschaft","biedenkopf","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","investitionen","investitionen","wachstum","haussmann","marktwirtschaft","marktwirtschaft","ddr","wirtschaft","investitionen","unternehmen","unternehmen","wirtschaft","wirtschaft","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","deutschland","arbeitsplätze","deutschland","unternehmen","deutschland","unternehmen","wachstum","unternehmen","wachstum","deutschland","unternehmen","unternehmen","arbeitsplätze","deutschland","deutschland","telekom","aufschwung","deutschland","krise","krise","krise","krise","handwerk","deutschland","wachstum","deutschland","unternehmen","wirtschaft","wirtschaft","ceta","ceta","abkommen","abkommen","usa","mittelstand","altmaier","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft"
"3","regierung","eisen","wirtschaftspolitischen","wirtschaft","wirtschaftspolitik","investitionen","kohle","bundeswirtschaftsminister","hellwig","unternehmen","privatisierung","konzentration","niedersachsen","deist","schmücker","unternehmen","kohle","kohle","luitpoldhütte","bundesregierung","unternehmen","wirtschaft","schmücker","wirtschaft","wirtschaftspolitik","ruhr","ruhr","schiller","schiller","aufwertung","wirtschaft","stoltenberg","stabilität","stabilität","bundesbank","strauß","stabilitätspolitik","stabilitätspolitik","strauß","inflation","kohl","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","marktwirtschaft","wirtschaftspolitik","marktwirtschaft","arbeitslosigkeit","arbeitslosigkeit","unternehmen","leistungsbilanzdefizit","unternehmen","zinsen","investitionen","wettbewerbsfähigkeit","arbeitsplätze","wirtschaft","investitionen","arbeitsplätze","unternehmen","wirtschaft","investitionen","unternehmen","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitsplätze","wirtschaft","wirtschaft","währungsunion","staatsvertrag","investitionen","marktwirtschaft","wirtschaft","osten","solidarpakt","unternehmen","unternehmen","unternehmen","wirtschaft","deutschland","deutschland","deutschland","arbeitslosigkeit","deutschland","wirtschaft","arbeitsplätze","deutschland","politik","deutschland","unternehmen","deutschland","mittelstand","deutschland","unternehmen","mittelstand","wachstum","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","aufschwung","deutschland","arbeitsplätze","marktwirtschaft","arbeitsplätze","brüderle","wachstum","wirtschaft","rösler","mittelstand","wirtschaft","wirtschaft","mittelstand","mittelstand","ttip","ttip","ttip","unternehmen","unternehmen","ceta","abkommen","marktwirtschaft","industrie","altmaier","altmaier","marktwirtschaft","mittelstand"
"4","industrie","kohle","wirtschaftspolitik","industrie","deist","deist","wirtschaft","kurlbaum","kohle","bundesschatzminister","kohle","unternehmen","eigentum","eigentum","kurlbaum","erhard","wirtschaft","bundeswirtschaftsminister","deist","stabilität","bundeswirtschaftsminister","preisbindung","wirtschaft","bundesbank","wachstum","wirtschaft","schiller","aufwertung","aufwertung","bundesbank","stabilität","wirtschaft","müllerhermann","rezession","wirtschaft","stabilität","stabilität","bundesbank","stabilitätspolitik","arbeitslosigkeit","friderichs","aufschwung","aufschwung","wachstum","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","investitionen","wachstum","pieroth","investitionen","lambsdorff","investitionen","arbeitsplätze","unternehmen","unternehmen","investitionen","wirtschaft","lambsdorff","zinsen","unternehmen","politik","arbeitsplätze","politik","bangemann","bangemann","arbeitslosigkeit","arbeitsplätze","fusion","unternehmen","lafontaine","wirtschaft","investitionen","arbeitsplätze","arbeitsplätze","arbeitsplätze","deutschland","lafontaine","rexrodt","deutschland","wirtschaft","wirtschaft","arbeitslosigkeit","deutschland","arbeitslosigkeit","politik","politik","wirtschaft","arbeitslosigkeit","prozent","prozent","prozent","unternehmen","handwerksordnung","clement","prozent","prozent","wachstum","wachstum","mittelstand","wachstum","arbeitsplätze","marktwirtschaft","aufschwung","wirtschaft","marktwirtschaft","wachstum","brüderle","brüderle","wirtschaft","wirtschaft","mittelstand","handwerk","deutschland","handwerk","abkommen","wirtschaft","unternehmen","gabriel","wirtschaft","usa","ceta","altmaier","china","unternehmer","marktwirtschaft","wettbewerb","marktwirtschaft"
"5","wirtschaftspolitik","wirtschaftspolitik","wettbewerb","bundeswirtschaftsminister","ausschreibung","kohle","preis","wirtschaft","stiftung","bundeswirtschaftsminister","unternehmungen","bergbau","unternehmungen","bundeswirtschaftsminister","unternehmen","wirtschaft","bergbau","deist","bundeswirtschaftsminister","bundeswirtschaftsminister","bergbau","kurlbaum","bergbau","stabilität","bundesbank","schiller","bundeswirtschaftsminister","wirtschaftspolitik","bundeswirtschaftsminister","bundeswirtschaftsminister","aufwertung","bundesbank","wirtschaft","inflation","stabilität","bundeskanzler","stabilitätsabgabe","müllerhermann","lambsdorff","lambsdorff","rezession","rezession","arbeitslosigkeit","strauß","friderichs","wachstum","biedenkopf","inflation","biedenkopf","vermögensbildung","kiep","stahlindustrie","lambsdorff","bundesbank","investitionen","arbeitslosigkeit","unternehmen","arbeitsplätze","unternehmen","wachstum","investitionen","wirtschaft","wirtschaftspolitik","unternehmen","unternehmen","unternehmen","wachstum","unternehmen","arbeitsplätze","wirtschafts","investitionen","unternehmen","unternehmen","marktwirtschaft","ostdeutschland","ostdeutschland","lafontaine","arbeitslosigkeit","wirtschaftspolitik","politik","arbeitslosigkeit","arbeitslosigkeit","politik","politik","prozent","arbeitslosigkeit","mehr","arbeitslosigkeit","arbeitsplätze","wachstum","wachstum","arbeitsplätze","wirtschaft","prozent","handwerk","arbeitsplätze","sparkassen","prozent","prozent","wachstum","mittelstand","deutschland","wirtschaft","marktwirtschaft","mittelstand","wirtschaft","wirtschaft","aufschwung","deutschland","krise","deutschland","opel","deutschland","investitionen","abkommen","wirtschaft","abkommen","usa","ttip","handel","wirtschaft","usa","forschungsförderung","altmaier","marktwirtschaft","arbeitsplätze","startups","wettbewerb"
"6","politik","stahlindustrie","kohle","marktwirtschaft","konjunkturpolitik","maßnahmen","deist","deist","bergbau","hellwig","bergbau","deist","privatisierung","aktionäre","konzentration","kurlbaum","wirtschaftspolitik","wirtschaft","wettbewerb","wirtschaftsbericht","steinkohlenbergbau","veba","bundeswirtschaftsminister","kohle","schiller","strukturpolitik","saar","außenwirtschaftlichen","saarland","müllerhermann","stoltenberg","müllerhermann","aufwertung","preissteigerungen","inflation","schiller","narjes","lambsdorff","stabilität","friderichs","investitionen","investitionen","investitionen","wirtschaftspolitik","investitionen","investitionen","unternehmen","konjunktur","lambsdorff","wachstum","unternehmen","japan","bundesbank","unternehmen","gemeinschaftsinitiative","lambsdorff","lambsdorff","lambsdorff","wachstum","arbeitsplätze","wachstum","wachstum","roth","investitionen","wirtschaftspolitik","wachstum","politik","wirtschaftspolitik","subventionen","wirtschaft","einheit","arbeitsplätze","einheit","ostdeutschland","einheit","rexrodt","wirtschaftspolitik","rexrodt","deutschland","rexrodt","mehr","politik","investitionen","mehr","politik","wirtschaftspolitik","bundeskanzler","prozent","wirtschaft","wirtschaft","arbeitsplätze","wachstum","prozent","wachstum","prozent","wachstum","mittelstand","mittelstand","politik","wirtschaft","wirtschaft","glos","wachstum","wirtschaft","deutschland","mittelstand","deutschland","deutschland","mittelstand","wachstum","rösler","heil","freien","wachstum","deutschland","standards","standards","kanada","kanada","sigmar","abkommen","forschungsförderung","mittelstand","arbeitsplätze","investoren","wettbewerb","arbeitsplätze","wachstum"
"7","westdeutschland","konsumgenossenschaften","industrie","kartell","preise","bergbau","öffentlichen","hand","wirtschaft","privatisierung","aktien","wirtschaft","volkswagenwerk","konzentration","burgbacher","aktionär","energiepolitik","wirtschaftsbericht","unternehmen","unternehmen","schmücker","aktien","gutachten","kuponsteuer","aktion","bergbau","kohle","bundesbank","bundesbank","jahreswirtschaftsbericht","wirtschaftspolitik","inflation","strauß","bundesbank","wirtschafts","herr","maßnahmen","bundesfinanzminister","müllerhermann","ehrenberg","arbeitslosigkeit","ehrenberg","rezession","marktwirtschaft","mittelstand","unternehmen","lambsdorff","programm","wirtschaftspolitik","wirtschaftspolitik","lambsdorff","arbeitslosigkeit","graf","investitionszulage","arbeitsplätze","graf","marktwirtschaft","wachstum","investitionen","investitionen","bangemann","unternehmen","politik","wirtschaftspolitik","roth","wirtschaftspolitik","wirtschaftspolitik","roth","roth","haussmann","arbeitslosigkeit","einheit","wirtschaftspolitik","osten","investitionen","osten","investitionen","wirtschaftspolitik","arbeitslosigkeit","mittelstand","politik","mehr","mehr","wirtschaft","arbeitsmarkt","deutschland","arbeitslosigkeit","politik","mittelstand","arbeitsplätze","arbeitslosigkeit","wirtschaft","clement","wirtschaft","wirtschaft","clement","arbeitsplätze","clement","bundeskanzler","beschäftigung","aufschwung","mittelstand","arbeitsplätze","nokia","arbeitsplätze","subventionen","mittelstand","wirtschaft","aufschwung","europa","arbeitsplätze","wachstum","industrie","arbeitsplätze","gabriel","freihandelsabkommen","industrie","freihandelsabkommen","sigmar","kanada","trump","japan","china","mittelstand","investitionen","mittelstand","mittelstand","arbeitsplätze"
"8","arbeitslosigkeit","filme","bundeswirtschaftsminister","kartellbehörde","wettbewerb","konjunktur","volkswagenwerk","hellwig","behörde","wirtschaft","wirtschaft","heizölsteuer","bundeswirtschaftsminister","unternehmungen","bundeswirtschaftsminister","aktionäre","energiewirtschaft","energiepolitik","angebot","wirtschaftspolitik","wirtschaft","unternehmungen","wirtschaftspolitik","bergbau","bundeswirtschaftsminister","saar","jahreswirtschaftsbericht","maßnahmen","wirtschaftspolitik","wirtschaftspolitik","bundeswirtschaftsminister","konjunkturpolitik","mai","vollbeschäftigung","wirtschaftspolitik","rücktritt","strauß","konjunkturpolitik","graf","wirtschaft","müllerhermann","lambsdorff","mittelstand","lambsdorff","wirtschaftspolitik","jahreswirtschaftsbericht","jahreswirtschaftsbericht","nachfrage","marktwirtschaft","arbeitnehmer","wirtschaftspolitik","zinsen","arbeitsplätze","zinsen","arbeitslosigkeit","politik","bundesbank","roth","wirtschaftspolitik","wirtschaftspolitik","wirtschaftspolitik","arbeitsmarkt","bangemann","mehr","investitionen","wirtschaft","bangemann","investitionen","wachstum","bundesrepublik","wirtschafts","arbeitslosigkeit","arbeitslosigkeit","aufschwung","wirtschaftspolitik","investitionen","wachstum","aufschwung","brauchen","arbeitslosigkeit","lafontaine","wachstum","wirtschaft","rexrodt","wirtschaft","mehr","wachstum","wachstum","wachstum","wirtschaftspolitik","wirtschaft","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","politik","wirtschaft","clement","wirtschaft","mittelstand","mehr","land","wachstum","wettbewerb","unternehmens","bundeskanzlerin","deutschland","arbeitsplätze","arbeitsplätze","krise","mittelstand","krise","rösler","berufe","industrie","ttip","investitionen","mittelstand","forschungsförderung","freihandelsabkommen","deutschland","handel","wirtschaft","industriestrategie","deutschland","arbeitsplätze","automobilindustrie","investitionen","deutschland"
"9","produktion","bundeswirtschaftsminister","betriebe","erhard","konjunkturpolitischen","regierungserklärung","preise","wirtschaftspolitik","preise","aktien","wirtschaftspolitik","erhard","unternehmen","volksaktie","maßnahmen","wirtschaftspolitik","maßnahmen","bundesregierung","verbraucher","kurlbaum","burgbacher","schmücker","ruhr","bundeswirtschaftsminister","marktwirtschaft","wirtschaftspolitik","stabilität","absicherung","mittelständischen","dienstag","wachstum","preissteigerungen","dienstag","aufwertung","müllerhermann","arbeitslosigkeit","konjunkturzuschlag","graf","ehrenberg","graf","bundesbank","müllerhermann","wirtschaftspolitik","inflation","bundesbank","biedenkopf","sachverständigenrat","unternehmen","arbeitsplätze","arbeitslosigkeit","bundesbank","arbeitsplätze","unternehmen","lambsdorff","bundesbank","wachstum","roth","aufschwung","arbeitnehmer","protektionismus","roth","aufschwung","wachstum","beschäftigung","wachstum","politik","roth","subventionen","wettbewerb","wachstum","wirtschaft","wirtschaftspolitik","ddr","einheit","solidarpakt","einheit","arbeitslosigkeit","politik","wachstum","wirtschaftspolitik","beschäftigung","beschäftigung","prozent","bundeskanzler","mehr","lafontaine","wirtschaft","mittelstand","arbeitsmarkt","arbeitsmarkt","steuerreform","politik","mehr","clement","mehr","reformen","opel","mehr","land","brüderle","brüderle","wirtschaft","post","wachstum","glos","wettbewerb","marktwirtschaft","marktwirtschaft","wachstum","marktwirtschaft","wettbewerb","lindner","wachstum","marktwirtschaft","freihandelsabkommen","schiedsgerichte","gabriel","handelsabkommen","handel","welt","eu","investitionen","startups","wettbewerbsfähigkeit","mittelstand","industrie","unternehmer","wirtschaftsstabilisierungsfonds"
"10","eisen","behörde","unternehmungen","wettbewerbs","industrie","markt","preiserhöhung","erhard","unternehmungen","eigentum","atzenroth","heizöl","wirtschaftspolitik","aktien","becker","eigentum","arendt","unternehmen","schmücker","aufwertung","steinkohle","wettbewerb","steinkohle","stahlindustrie","kohle","maßnahmen","bundesbank","stabilität","stabilität","stabilität","maßnahmen","bundeswirtschaftsminister","bundeskanzler","inflationäre","wechselkurse","finanzpolitik","stabilitätsprogramm","stabilität","bundeswirtschaftsminister","milliarden","bundeskanzler","inflation","unternehmen","arbeitsplätze","strauß","bundeswirtschaftsminister","wirtschaftspolitik","arbeitsplätze","gewerkschaften","subventionen","politik","kiep","kiep","kiep","wirtschaftspolitik","roth","graf","subventionen","roth","stoltenberg","politik","mehr","marktwirtschaft","stoltenberg","subventionen","roth","unternehmen","mehr","daimlerbenz","staatsvertrag","lambsdorff","wirtschafts","osten","bundesländern","westen","wirtschaftspolitik","rexrodt","deutschland","mittelstand","scharping","wachstum","prozent","scharping","arbeitsmarkt","bundeskanzler","mittelstand","arbeitsmarkt","mehr","prozent","brüderle","wirtschaftspolitik","bundeskanzler","land","betriebe","steuerreform","mehr","politik","land","rotgrün","bürokratie","politik","airbus","mittelstand","mittelstand","politik","post","politik","post","arbeitsplätze","brüderle","industrie","bochum","kammern","heil","ceta","deutschland","deutschland","industrie","wirtschaft","freihandelsabkommen","china","mittelstand","steuerliche","forschungsförderung","houben","wachstum","deutschland","rahmenbedingungen"
