"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beratung","beratung","ausschuß","drucksache","ausschuß","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","drucksache","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuß","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","beratung","drucksache","beratung","beratung","beratung","beratung","beratung","ausschuß","ausschuß","beratung","ausschuß","beratung","beratung","drucksache","drucksache","ausschuß","ausschuß","ausschuß","drucksache","drucksache","ausschuß","drucksache","ausschuß","ausschuß","ausschuß","ausschuß","beratung","ausschuß","ausschuß","drucksache","ausschuss","ausschuss","drucksache","drucksache","ausschuss","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","zwangsarbeit","opferentschädigung","krise","pandemie","pandemie","pandemie"
"2","ausschuß","ausschuß","beratung","ausschuß","beratung","beratung","ausschuß","beratung","ausschuß","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuß","drucksache","beratung","beratung","beratung","rates","rates","rates","drucksache","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","ausschuß","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","ausschuß","drucksache","drucksache","drucksache","beratung","ausschuß","beratung","beratung","drucksache","beratung","beratung","drucksache","ausschuß","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","ausschuss","beratung","drucksache","drucksache","ausschuss","drucksache","ausschuss","ausschuss","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","stimmen","beratung","protokoll","sozialgesetzbuch","pandemie","krise","lage","maßnahmen"
"3","nr","rufe","drucksache","beratung","drucksache","ausschuß","beratung","berichterstatter","beratung","rufe","rufe","ausschuß","ausschuß","ausschuß","berichterstatter","ausschuß","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuß","berichterstatter","drucksache","berichterstatter","drucksache","enthaltungen","enthaltungen","beratung","beratung","rates","beratung","rates","beratung","verordnung","ausschuß","rates","ausschuß","ausschuß","rates","ausschuß","verordnung","comment","ewg","beratung","beratung","beratung","beratung","beratung","tagesordnung","beratung","beratung","beratung","drucksache","beratung","beratung","beratung","drucksache","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","ausschuß","drucksache","drucksache","drucksache","beratung","ausschuß","ausschuß","ausschuß","beratung","drucksache","drucksache","beratung","ausschuß","ausschuß","beratung","beratung","beratung","beratung","beratung","drucksache","ausschuß","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","beratung","beratung","beratung","beratung","beratung","beschlussempfehlung","ausschuss","beratung","beratung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","gesetzentwurf","stimmt","ilo","gesetz","virus","virus","krise","virus"
"4","drucksachen","drucksache","rufe","rufe","punkt","berichterstatter","tagesordnung","punkt","überweisung","tagesordnung","enthaltungen","gewünscht","tagesordnung","eingebrachten","bericht","beratung","ausschuß","ausschuß","ausschuß","enthaltungen","ausschuß","ausschuß","berichterstatter","ausschuß","ausschuß","ausschuß","enthaltungen","berichterstatter","berichterstatter","ausschuß","tagesordnung","beratung","berichterstatter","verordnung","berichterstatter","rates","berichterstatter","verordnung","berichterstatter","berichterstatter","ausschuß","berichterstatter","ewg","verordnung","verordnung","berichts","eingebrachten","tagesordnung","eingebrachten","eingebrachten","beratung","drucksachen","entwurfs","drucksachen","aussprache","gesetzes","tagesordnung","tagesordnung","aussprache","aussprache","aussprache","aussprache","aussprache","beschlußempfehlung","aussprache","fraktion","fraktion","fraktion","überweisungsvorschlag","beschlußempfehlung","beschlußempfehlung","aussprache","überweisungsvorschlag","überweisungsvorschlag","beschlußempfehlung","eingebrachten","beschlußempfehlung","beschlußempfehlung","überweisungsvorschlag","überweisungsvorschlag","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","aussprache","aussprache","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","aussprache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beratung","beratung","aussprache","beschlussempfehlung","beratung","beratung","beratung","beratung","beratung","fraktion","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","sitzung","gesetzentwurf","zwangs","kirchentag","maßnahmen","maßnahmen","inzidenz","impfen"
"5","bitte","überweisung","punkt","berichterstatter","tagesordnung","punkt","punkt","ausschuß","tagesordnung","entwurfs","ausschuß","überweisung","punkt","punkt","tagesordnung","tagesordnung","tagesordnung","tagesordnung","enthaltungen","ausschuß","enthaltungen","ausschusses","enthaltungen","eingebrachten","ausschusses","enthaltungen","ausschuß","gegenprobe","gegenprobe","tagesordnung","berichterstatter","ausschuß","tagesordnung","beratung","ausschuß","ewg","rates","ewg","tagesordnung","rates","ewg","verordnung","comment","ewg","comment","tagesordnung","entwurfs","eingebrachten","schreiben","drucksachen","überweisungsvorschlag","ältestenrat","eingebrachten","beschlußempfehlung","beschlußempfehlung","aussprache","drucksachen","aussprache","tagesordnung","tagesordnung","tagesordnung","beschlußempfehlung","beschlußempfehlung","drucksachen","tagesordnung","überweisungsvorschlag","überweisungsvorschlag","tagesordnung","fraktion","drucksachen","eingebrachten","überweisungsvorschlag","entwurfs","beschlußempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","drucksachen","aussprache","beschlußempfehlung","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","berichterstattung","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","aussprache","überweisungsvorschlag","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","aussprache","aussprache","abgeordneten","überweisungsvorschlag","fraktion","fraktion","fraktion","fraktion","fraktion","ausschuss","beratung","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","beratung","stimmt","wer","ausschuss","entschließungsanträge","fraktion","eid","leistungsanspruch","corona","lockdown","maßnahmen","lage"
"6","punkt","punkt","gesetzes","tagesordnung","berichterstatter","tagesordnung","rufe","tagesordnung","punkt","punkt","eingebrachten","tagesordnung","eingebrachten","tagesordnung","ausschusses","berichterstatter","eingebrachten","enthaltungen","ausschusses","gegenprobe","tagesordnung","gegenprobe","gegenprobe","ausschusses","enthaltungen","gegenprobe","tagesordnung","ausschuß","tagesordnung","verordnung","ausschuß","verordnung","ausschuß","ausschuß","rates","nr","eingebrachten","beratung","eingebrachten","tagesordnung","verordnung","rates","ausschuß","ausschuß","ausschuß","beschlußempfehlung","comment","überweisungsvorschlag","tagesordnung","tagesordnung","ältestenrat","tagesordnung","ältestenrates","berichterstatter","tagesordnung","entwurfs","entwurfs","überweisungsvorschlag","überweisungsvorschlag","ältestenrat","beschlußempfehlung","tagesordnung","tagesordnung","fraktion","antrags","aussprache","tagesordnung","beschlußempfehlung","beschlußempfehlung","eingebrachten","drucksachen","beschlußempfehlung","eingebrachten","eingebrachten","eingebrachten","entwurfs","entwurfs","eingebrachten","drucksachen","aussprache","fraktion","fraktion","fraktion","eingebrachten","drucksachen","federführendcomment","entwurfs","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","abgeordneter","abgeordneter","fcomment","fcomment","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","abgeordneter","fcomment","überweisungsvorschlag","stimmt","enthaltungen","stimmt","stimmt","enthaltungen","stimmt","stimmt","stimmt","wer","wer","wer","ausschuss","beschlussempfehlung","fraktion","beratung","fraktion","beratung","stimmt","stimmt","schriftführer","angenommen","itplanungsrat","opfern","lage","hilfen","virus"," g"
"7","rufe","aussprache","berichterstatter","punkt","überweisung","rufe","aussprache","gesetzes","entwurfs","überweisung","punkt","gegenprobe","enthaltungen","enthaltungen","punkt","gewünscht","ausschusses","punkt","gewünscht","punkt","gegenprobe","enthaltungen","punkt","tagesordnung","tagesordnung","tagesordnung","gegenprobe","tagesordnung","ausschuß","punkt","gegenprobe","berichterstatter","eingebrachten","ewg","verordnung","ausschuß","verordnung","berichts","entwurfs","ewg","berichterstatter","ewg","berichts","berichts","berichts","berichterstatter","ältestenrates","entwurfs","entwurfs","berichterstatter","eingebrachten","unterrichtung","überweisungsvorschlag","tagesordnung","ältestenrat","überweisungsvorschlag","aussprache","ältestenrat","ältestenrates","überweisungsvorschlag","entwurfs","ältestenrat","fraktion","aussprache","fraktion","tagesordnung","beschlußempfehlung","überweisungsvorschlag","aussprache","fraktion","entwurfs","drucksachen","beschlußempfehlung","entwurfs","drucksachen","beschlußempfehlung","überweisungsvorschlag","berichterstattung","antrags","eingebrachten","aussprache","aussprache","aussprache","entwurfs","entwurfs","eingebrachten","eingebrachten","abgeordneten","fcomment","abgeordneter","aussprache","eingebrachten","abgeordneten","beschlussempfehlung","eingebrachten","abgeordneten","eingebrachten","überweisungsvorschlag","aussprache","beschlussempfehlung","enthaltungen","enthaltungen","stimmt","enthaltungen","wer","stimmt","wer","enthaltungen","wer","fraktion","fraktion","fraktion","fraktion","aussprache","beratung","fraktion","stimmt","fraktion","fraktion","fraktion","schriftführerinnen","stimmen","übereinkommen","gewalttat","coronakrise","schnelltests","epidemischen","gastronomie"
"8","tagesordnung","gesetzes","entwurfs","ausschusses","rufe","entwurfs","gesetzes","gewünscht","rufe","enthaltungen","tagesordnung","rufe","rufe","rufe","enthaltungen","punkt","punkt","berichterstatter","tagesordnung","tagesordnung","ausschusses","berichterstatter","beschlossen","entwurfs","gegenprobe","ausschusses","ausschusses","eingebrachten","eingebrachten","rates","enthaltungen","überwiesen","gegenprobe","tagesordnung","tagesordnung","berichts","entwurfs","überwiesen","gesetzes","eingebrachten","berichts","tagesordnung","überwiesen","beratung","überwiesen","ältestenrates","tagesordnung","berichterstatter","überweisungsvorschlag","geschäftsordnung","einverstanden","ausschusses","gesetzes","ausschusses","einverstanden","tagesordnung","beschlußempfehlung","ältestenrates","entwurfs","eingebrachten","ältestenrat","gesetzes","entwurfs","tagesordnung","überweisungsvorschlag","antrags","eingebrachten","aussprache","drucksachen","entwurfs","berichterstatter","tagesordnung","gesetzes","drucksachen","entwurfs","drucksachen","aussprache","tagesordnungspunkt","beschlußempfehlung","entwurfs","drucksachen","drucksachen","drucksachen","fraktion","ausschußcomment","fraktion","gesetzes","fcomment","eingebrachten","fcomment","eingebrachten","fraktion","beschlussempfehlung","abgeordneten","fcomment","eingebrachten","abgeordneten","abgeordneter","enthaltungen","tagesordnungspunkt","aussprache","aussprache","wer","abgeordneter","überweisungsvorschlag","wer","überweisungsvorschlag","wer","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","aussprache","aussprache","aussprache","aussprache","enthält","bitte","wer","estland","prima","wochen","tests","masken","krise"
"9","berichterstatter","tagesordnung","tagesordnung","entwurfs","gesetzes","gesetzes","berichterstatter","ausschusses","enthaltungen","ausschuß","handzeichen","punkt","bitte","entwurfs","ausschuß","enthaltungen","berichterstatter","eingebrachten","gegenprobe","gewünscht","gewünscht","eingebrachten","handzeichen","punkt","drucksachen","eingebrachten","rufe","entwurfs","gewünscht","eingebrachten","eingebrachten","eingebrachten","gesetzes","berichterstatter","eingebrachten","überwiesen","tagesordnung","berichterstatter","ausschusses","verordnung","überwiesen","berichts","beschlußfassung","überwiesen","beschlußfassung","entwurfs","gemäß","federführend","ältestenrates","überweisungsvorschlag","haus","beschlußempfehlung","tagesordnung","aussprache","drucksachen","ältestenrates","eingebrachten","eingebrachten","eingebrachten","beschlußempfehlung","eingebrachten","drucksachen","beschlossen","berichterstatter","eröffne","beschlußempfehlung","aussprache","ältestenrat","ältestenrates","überweisungsvorschlag","gesetzes","tagesordnungspunkt","aussprache","fraktion","berichterstattung","tagesordnungspunkt","drucksachen","entwurfs","eingebrachten","gesetzes","antrags","eingebrachten","berichterstattung","gesetzes","eingebrachten","gesetzes","federführendcomment","tagesordnungspunkt","überweisung","abgeordneten","entwurfs","entwurfs","überweisung","überweisung","entwurfs","fcomment","fcomment","fcomment","weiterer","eingebrachten","tagesordnungspunkt","überweisungsvorschlag","aussprache","wer","enthaltungen","angenommen","aussprache","überweisungsvorschlag","aussprache","angenommen","tagesordnungspunkt","abgeordneter","angenommen","tagesordnungspunkt","angenommen","stimmen","stimmen","stimmen","überweisungsvorschlag","dagegen","fraktion","abstimmung","ausschuss","hürde","kurzarbeit","testen","testen","infektionsschutzgesetz"
"10","aussprache","entwurfs","überweisung","aussprache","entwurfs","gewünscht","bitte","entwurfs","gegenprobe","gesetzes","entwurfs","enthaltungen","berichterstatter","gegenprobe","eingebrachten","eingebrachten","entwurfs","gegenprobe","punkt","berichterstatter","wünscht","bericht","eingebrachten","wer","verordnung","gesetzes","eingebrachten","punkt","handzeichen","entwurfs","gesetzes","gesetzes","entwurfs","berichts","berichts","schreiben","berichts","änderung","verordnung","entwurfs","tagesordnung","änderung","rat","rat","endgültigen","überweisungsvorschlag","überweisungsvorschlag","ältestenrates","gesetzes","comment","haushaltsausschuß","verordnung","ältestenrat","gewünscht","beschlossen","eingebrachten","gesetzes","entwurfs","beschlußempfehlung","ältestenrates","überweisungsvorschlag","eingebrachten","drucksachen","ausschusses","geschäftsordnung","ältestenrat","entwurfs","drucksachen","tagesordnung","berichterstatter","fraktion","widerspruch","drucksachen","aussprache","tagesordnungspunkt","aussprache","gesetzes","gesetzes","fraktion","drucksachen","eingebrachten","entwurfs","federführendcomment","berichterstattung","fraktion","entwurfs","tagesordnungspunkt","fraktion","tagesordnungspunkt","eingebrachten","abgeordneten","ausschusscomment","rufe","eingebrachten","abgeordneten","entwurfs","abgeordneter","eingebrachten","eingebrachten","überweisung","fcomment","abgeordneten","angenommen","überweisungsvorschlag","angenommen","gegenstimmen","fcomment","angenommen","angenommen","aussprache","enthaltungen","abgeordneten","dagegen","stimmen","dagegen","tagesordnungspunkt","enthält","enthält","dagegen","gesetzentwurf","stimmkarte","abgeordneten","pflichtarbeit","neuen","unternehmen","lage","intensivstationen","müssen"
