"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","bundesbaugesetzes","ausschuss","wochenschau","beirat","gutachten","petenten","petitionen","petitionen","petitionen","petitionsausschuss","diäten","bundestages","petitionen","verwaltung","petitionen","coburg","petitionen","petitionsausschuss","montabaur","parlamentsreform","redezeit","bauer","präsidium","eingaben","petitionen","touristikunternehmen","argentinien","visagebühren","wohlrabe","auslieferung","filme","ausstellung","kalender","entschädigung","parlament","nachrichtendienste","enquetekommission","parlament","parlament","eurocontrol","geschäftsordnung","bundestages","petitionsausschuss","kontrollkommission","bundesrechnungshof","the","petition","de","la","de","strafaussetzung","strafaussetzung","strafaussetzung","wein","meldepflicht","catenhusen","freisetzung","antarktis","freisetzung","gentechnologie","gentechnik","forschung","aids","raumfahrt","grossforschungseinrichtungen","forschung","forschung","forschung","forschung","forschung","forschung","bse","forschung","klonen","verbraucher","fusionskontrolle","bse","gentechnik","expo","verbraucher","forschung","stammzellen","stammzellen","verbot","gentechnik","klonen","gentechnik","stammzellen","gentechnik","gentechnik","gentechnik","ethikrat","patientenverfügung","studie","stammzellen","cannabis","patienten","patienten","patienten","pid","menschen","organspende","beschneidung","erkrankungen","pille","sterben","sterben","sterben","selbstbestimmung","forschung","cannabis","cannabis","organspende","organspende","organspende","werbung","cannabis","sterben","leben"
"2","antrag","antrag","drucksache","antrag","antrag","antrag","wirtschaftspolitik","antrag","luftaufsicht","bundesbeauftragten","bürokratie","beirat","anträge","eingeladen","eingaben","petenten","eingaben","petitionsstelle","petitionen","brese","vorstand","petentin","bundestages","mrd","hofmann","petitionsausschuss","hofmann","neuwied","ausschüsse","ältestenrat","petitionsausschusses","center","petitionen","veba","gebuchten","granitindustrie","senat","film","reichstag","film","din","kalenders","abgeordneten","parlaments","kontrolle","parlament","enquetekommission","wahl","flugsicherung","parlament","wahl","parlament","parlamentarischen","rechnungshof","of","petenten","la","de","la","bewährung","bewährung","bewährung","verbraucher","curie","gentechnologie","jugendschutz","dienstleistungsabend","gentechnologie","forschung","forschung","grundlagenforschung","gentechnik","forschung","forschung","gentechnik","aids","technologie","verbraucher","verbraucher","gentechnik","uran","mikrotesla","raucher","gentechnik","gentechnik","grossbritannien","schwangerschaftsabbruch","gentechnik","verbraucherschutz","embryonen","forschung","forschung","forschung","wale","gentechnik","gentechnisch","forschung","patientenverfügung","biotechnologie","gentechnisch","ethikrates","patienten","rettungsassistenten","forschung","patienten","patientenverfügung","studien","kältemittel","kind","krankheiten","menschen","eltern","betreuungsbehörde","verschreibungspflicht","sterbehilfe","menschen","ärzte","ärzte","hinterbliebenen","drogen","werbung","widerspruchslösung","widerspruchslösung","widerspruchslösung","menschen","menschen","leben","ärztinnen"
"3","nr","drucksache","antrag","drucksache","drucksache","ausschüsse","antrag","ausschüsse","mitberatung","gutachten","mittelständischen","gutachten","ausschuss","ausschuss","petitionen","petition","luftfahrtunternehmen","petitionsausschuss","eingaben","abgeordneten","gradl","petition","finanzplanung","verwaltung","bamberg","herr","weyer","kollege","parlament","minuten","redezeit","verwaltung","petitionsausschusses","petitionsausschuss","reisebedingungen","geschäftsordnungsausschuss","rumänischen","filmwirtschaft","jugoslawien","zloty","normung","wochenschau","mandat","bundestages","parlament","parlaments","wahl","kommission","parlament","arbeit","mitglieder","demokratie","untersuchungsausschuss","rechnungsprüfungsausschuss","and","of","et","et","mm","de","freiheitsstrafe","jugendgerichtsgesetz","winzer","verbrauchers","verbot","videokassetten","antarktischen","gentechnisch","gentechnik","gentechnologie","faktenbericht","enquetekommission","technologie","ru","gentechnisch","gentechnik","gentechnik","gesundheit","seehofer","pyrethroide","rindfleisch","konvention","rauchen","rauchen","biotechnologie","verbraucher","vertriebsweg","gesundheit","bse","pid","embryonalen","enquetekommission","menschenwürde","sars","china","pflanzen","embryonalen","organspende","evaluierung","ostsee","enquetekommission","gentechnisch","leukämie","stammzellforschung","patientenverfügung","arzt","patientinnen","studien","patienten","behinderung","entscheidung","menschen","psychischen","erkrankungen","leben","suizid","sterbehilfe","menschen","patientenverfügung","suizid","studie","entscheidung","ärzte","masern","rauchen","impfen","suizid","entscheidung"
"4","drucksache","überweisung","überweisung","ausschusses","federführend","drucksache","federführend","drucksache","ausschüsse","ausschuss","arbeitsfähig","ufa","antrag","bundesregierung","betreut","eingaben","schutzhütten","eingaben","petitionsausschusses","bundestagsabgeordneten","rutschke","olympiastadion","wirtschaftlichkeit","räume","hauptzollamt","unterbringung","bundestagsvorstand","herr","geschäftsordnung","ausschüssen","würzburg","beförderung","wiedergutmachung","petitionsausschusses","petitionsausschuss","verhaltensregeln","wohlrabe","filmförderung","ausstellung","combatschulen","möhring","trauerbeflaggung","dienstes","abgeordneten","untersuchungsausschuss","kommission","parlaments","parlaments","petitionsausschuss","parlaments","geschäftsordnung","plenarsaal","untersuchungsausschusses","bundesrechnungshofes","to","positiven","les","sachverhalten","geweckt","bewährungshelfer","bewährungshelfer","bewährungshelfer","weine","geräte","verbraucher","gentechnik","ressourcen","organismen","antarktis","gentechnikgesetz","forschungs","gentechnologie","hermes","methode","verbraucher","technologie","wissenschaft","bundesgesundheitsamt","bse","produkte","verbraucherschutz","chemikalien","verbot","nichtraucher","bio","tiere","lebensmittel","gentechnisch","gesundheit","stammzellen","embryonen","embryonen","klonen","gentechnisch","enquetekommission","biotechnologie","stammzellforschung","sterben","gentechnologie","kleinwale","gremium","pflanzen","strahlung","embryonalen","arzt","ärzte","patient","patient","leben","behinderungen","beschneidung","kindes","psychische","levonorgestrel","ärzte","tod","suizid","arzt","studien","ehegatten","studien","ärzte","entscheidung","entscheidung","entscheidung","impfpass","selbstbestimmung","ärzte"
"5","ausschusses","berichterstatter","ausschusses","antrags","überweisung","ausschusses","drucksache","haushaltsausschuss","federführenden","gesetzentwurf","bundesanstalt","ausschuss","haushaltsausschuss","gewerbliche","wessel","braunkohlenbriketts","dienstordnung","petitionsausschusses","absender","hauses","petitionen","petitionsausschuss","bundesrechnungshofs","zimmer","verwaltung","hilfswerks","arbeitsbedingungen","arbeitsbedingungen","arbeit","mitglieder","petitionen","document","ehefrauen","privatisierung","eingaben","argentinischen","rumänien","filme","verfolgung","ausstellung","personengesellschaft","wochenschauen","öffentlichen","deutschen","untersuchungsausschusses","parlamentarischen","parlamentarischen","wahlkreise","luftraum","minderheit","alterspräsident","bundestages","parlamentarische","bemerkungen","our","mitarbeiter","le","pflichten","aufgesucht","praxisphase","praxisphase","klausel","würzburg","anschaffung","verbraucherpolitik","filme","mineralischen","mikroorganismen","risiken","risiken","wissenschaft","krankheit","riesenhuber","riesenhuber","technologie","vosen","raumfahrt","technologie","rindfleisch","gesundheit","verbraucher","arzneimittel","nichtraucher","lebensmittel","einstandspreis","arbeitsschutz","gentechnisch","schutz","stiftung","gentechnik","import","menschenwürde","gentechnik","walfang","klonens","forschung","indikation","forschung","haftet","schweinswale","ethischen","gentechnik","gentechnisch","stammzelllinien","befruchtung","beratung","patientenrechte","klimaanlagen","behinderung","intersexualität","biobanken","betroffenen","betreuung","frauen","menschen","hilfe","arzt","leben","studie","jugendschutz","ärzte","organe","test","geimpft","krankheit","impfpflicht","menschen","schwangerschaftsabbrüche"
"6","berichterstatter","ausschusses","berichterstatter","überweisung","mitberatung","angelegenheiten","ausschüsse","weisung","bundeswasserstrassen","antrag","überweisen","einsender","eigenvorsorge","filmselbstkontrolle","klasse","gutachten","petenten","brese","postleitzahl","böhm","bürohaus","mastanlage","arbeitsbedingungen","dorn","rechnungsprüfungsausschuss","petitionsausschusses","hause","abgeordneten","fragestunde","parlament","arbeit","petitionen","theologiestudenten","document","petitionsausschusses","präsidium","rumänische","verwaltungsrat","fahne","fernsehen","kapitalgesellschaft","ddr","bundestages","alex","parlamentarische","verfassung","wähler","parteien","petitionsrecht","abgeordneten","gewählt","parlaments","beschwerden","parlament","that","eingabe","que","en","gegenliebe","kandidiert","medizinstudium","jugendstrafrecht","richtlinien","grossdemonstration","kommission","gentechnologie","moratorium","moratorium","freisetzung","catenhusen","naturmedizin","risiken","bemannten","präparat","gentechnikgesetz","wissenschaft","technologien","medizinprodukte","kennzeichnung","technologie","grossbritannien","felder","tiere","kennzeichnung","forschung","gentechnik","arzneimittel","arten","tiermehl","menschlichen","gentechnik","renesse","wissenschaft","moratorium","forschung","organismen","embryonen","patienten","bundesärztekammer","drobinskiweiss","ethische","sterben","krebs","embryonen","krankheiten","betroffenen","who","arzt","eltern","intersexuellen","organspender","folter","menschen","danach","suizid","leben","palliativmedizin","strafrecht","angehörigen","drogenpolitik","schwangerschaftsabbrüche","ärztinnen","ärztinnen","impfen","werbeverbot","ovcw","tod","suizid"
"7","bericht","ausschüsse","federführend","geschäftsordnung","ausschüsse","federführend","ausschusses","rechtsausschusses","wasserhaushaltsgesetz","optik","antrag","gestaut","dr","institution","beispielen","bundesminister","tinte","vorstand","briefmarken","unabhängigkeit","verwaltung","eingabe","fritz","frehsee","bundestages","petenten","geschäftsordnungsausschuss","brauereien","parlaments","ausschüsse","legislaturperiode","arbeit","petitionsausschuss","akten","peter","erläuterungen","staatsangehörigkeit","glotz","wittmann","herr","londoner","film","mitglieder","hermann","mitglieder","verfassungsreform","veröffentlichung","deutschen","eingabe","bundestages","schriftführer","parlamentarischen","bundestages","rechnungshofes","we","temperament","qui","le","korrekter","ärzte","herr","freiheitsstrafen","uwg","rheinlandpfalz","konsumenten","gentechnisch","bundesforschungsanstalt","veränderter","riesenhuber","antarktis","technologie","forschung","bemannte","zulassung","wissenschaft","catenhusen","transrapid","seehofer","lebensmittel","verbraucher","forschung","gesundheit","forschung","verbraucherinnen","dfb","berufsgenossenschaften","verbraucher","tiere","mifegyne","embryonalen","verbraucher","embryo","embryonen","iwc","gentechnisch","veränderte","schwangeren","enquetekommission","schliessungen","veränderten","gentechnik","selbstbestimmung","gentechnik","patienten","medizinischen","leben","ärzte","ärzte","behinderungen","betroffenen","entscheidungslösung","juden","gesundheit","psychischen","tod","palliativversorgung","menschen","betroffenen","patienten","legalisierung","schwangerschaftsabbruch","jusos","leben","impfung","leben","drogen","bundesverfassungsgericht","sterben"
"8","überweisen","überweisen","überweisen","bericht","ausschusses","federführenden","federführenden","unterausschuss","überweisen","bodenbewertung","überwiesen","stauereibetriebe","endgültig","sachliche","gesetzesänderung","petent","reichsgoldmünzen","petenten","paketen","aufwandsentschädigung","bundestagsvorstand","verwaltung","selber","petitionsausschuss","hauptzollamtes","hilfswerk","verwaltung","risiko","ausschusssitzungen","täuschung","verwaltung","bekanntgabe","sterilisation","zusatzurlaub","spdbundestagsfraktion","ordnung","kollege","films","handlung","kopien","verbraucherrat","reichstagsgebäude","tourismus","mitarbeiter","parlaments","kontrollkommission","parlamente","bundespräsident","maastricht","parlamentarischen","hauses","geschäftsordnung","einsetzung","parlamentarischen","is","seminare","en","mais","le","bewährungshilfe","oberverwaltungsgerichte","herr","umwelttag","leibesfrucht","frau","flughafen","ressourcenaktivitäten","terminbörse","forschungspolitik","technologie","embryonenforschung","genomanalyse","esa","hoechst","industrie","gesundheit","forschungs","institute","gentechnisch","pyrethroiden","tiermehl","nachzulassung","schweiz","sauer","verbot","rinder","apotheken","patentamt","verbraucherinnen","leben","adulten","import","klonens","china","verbot","veränderten","forscher","pid","ressortforschungseinrichtungen","sorten","lebenswissenschaften","krankheit","rettungsdienst","stichtag","indikation","befruchtung","behandlung","hersteller","stammzellen","gesundheit","organspendeausweis","zwangsbehandlung","betroffenen","wirkstoff","hilfe","pille","patienten","sterben","ärztliche","freiheitsentziehende","drogen","leben","frauen","menschen","blutspende","legalisierung","sterbehilfe","menschen"
"9","dr","federführend","ausschüsse","federführend","federführenden","antrags","überweisung","ausschüssen","antrag","bundesrechnungshofs","stammberger","ladung","zurückrufen","direktor","beirat","bulletins","münzen","wessel","lücken","bezüge","rechnungsprüfung","eingaben","müssen","hochhaus","bundesrechnungshofs","errichtung","müller","selbstbewusstsein","redezeit","präsidium","bundestages","petitionsausschusses","unfruchtbarmachung","center","gestatten","frage","herold","projektförderung","kollege","plo","aktiengesellschaft","beflaggung","angehörigen","arbeit","untersuchungsverfahren","dienste","wahlberechtigten","mitglieder","parlaments","mitglieder","parlament","bauten","rauschenbach","beschwerden","it","merkwürdig","dans","gemeindehaushalte","the","ausschüsse","bewährungshilfe","ausweitung","würzburger","morgigen","einschätzung","organismen","rohstoffaktivitäten","medizin","catenhusen","riesenhuber","methoden","anwendung","columbus","enquetekommission","riesenhuber","blunck","industrie","forschungspolitik","verbraucherschutz","gentechnologie","wissenschaft","elektromagnetische","klonens","kapitallebensversicherung","verbraucher","verbraucherinnen","biotechnologie","menschlichen","warentest","expo","mensch","wissenschaft","lensing","robertkochinstitut","ethik","happachkasan","schwangerschaft","biotechnologie","gentechnisch","forschung","röspel","patientenverfügungen","pflanzen","embryonale","beratung","krankheit","arzt","patientinnen","präimplantationsdiagnostik","studien","leben","eingriff","organspende","eingenommen","arzt","arzt","leben","geschäft","demenz","zeulner","drogenpolitik","werbung","informationen","impfungen","zigarette","impfungen","selbsttötung","selbstbestimmung"
"10","punkt","überwiesen","überwiesen","haushaltsausschuss","überweisen","bericht","überweisen","befasst","überwiesen","stiller","gesetz","zuverlässigkeit","beantragen","einsender","eingeführt","kinderarbeit","nachahmungen","petentin","verbieten","altersversorgung","vorstandes","petitionsausschusses","dr","untergebracht","abelein","saalmikrofon","kandidaten","gebäude","geschäftsordnungsausschuss","arbeit","mitarbeiter","bediensteten","maximale","kapitalerhöhung","gelähmt","auftretens","reiseveranstalter","filmförderungsanstalt","komplizierte","waffengesetzes","umwandlung","streifenboot","rechtsstellung","geschäftsordnung","untersuchungsausschüsse","volksbegehren","wahlzeit","parlamentarischen","bundesverwaltung","geschäftsordnungsausschuss","abgeordneten","fraktionen","mitglieder","rechnungshofs","peace","einzelnen","nous","arbeitgebers","müssten","nachricht","freiheitsstrafen","flensburg","einzelhandel","syphilis","bezeichnung","eimer","handel","risiken","technologie","wissenschaft","seesing","technikfolgenabschätzung","mikroelektronik","wissenschaftler","lebensmittel","verbraucher","krüger","wissenschaft","wissenschaft","wissenschaft","seehofer","werbung","menschen","gentechnisch","freisetzung","aufhebung","mifegyne","menschliche","widmannmauz","präimplantationsdiagnostik","menschlichen","stammzelllinien","verbieten","forschung","anlage","grüne","erfindungen","ressortforschung","belästigungen","gentechnikgesetzes","tauss","forschung","veränderten","leben","entscheidung","menschen","unternehmensmitbestimmung","arzneimittel","menschen","intersexuelle","organe","jüdischen","betreuungsbehörden","beratung","beihilfe","ärzte","selbstbestimmung","menschenwürde","nichteinwilligungsfähigen","vorsorgevollmacht","lebens","spender","spender","impfpflicht","tabakwerbung","krankheit","entscheidung","informationen"
