"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","sozialversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentner","angestellten","rentenversicherung","schellenberg","schellenberg","unfallversicherung","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","unfallversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","unfallverhütung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","unfallversicherung","lohnfortzahlung","rentner","sozialbericht","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentner","rentenversicherung","rente","rentenversicherung","künstler","rentenversicherung","montanmitbestimmung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","rentenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","blüm","blüm","rente","krankenversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","pflegeversicherung","krankenversicherung","pflegeversicherung","positivliste","pflegeversicherung","krankenversicherung","krankenversicherung","rentenversicherung","seehofer","krankenversicherung","patienten","pflegeversicherung","rente","gesundheitswesen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","rente","pflegeversicherung","pflegeversicherung","prävention","rentenversicherung","rente","krankenkassen","rente","rente","rente","krankenkassen","rente","krankenversicherung","krankenversicherung","versicherten","versorgung","praxisgebühr","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","renten","kinderbeihilfen","angestellten","rentner","leistungen","rente","rente","angestellten","renten","renten","renten","schellenberg","versicherten","unfallversicherung","versicherten","schellenberg","bundesarbeitsminister","krankenversicherung","anpassung","schellenberg","renten","angestellten","schellenberg","schellenberg","sozialordnung","rentner","angestellten","rentenversicherung","arbeiter","rentenversicherung","katzer","gesetzlichen","rentner","rentner","rentner","rentenversicherung","altersgrenze","renten","sozialordnung","rentenversicherung","rentenversicherung","renten","selbstverwaltung","krankenversicherung","krankenkassen","rentenversicherung","altersgrenze","krankenversicherung","künstler","rentenversicherung","künstler","mitbestimmung","krankenversicherung","blüm","arbeitsgemeinschaften","blüm","rentenversicherung","blüm","renten","blüm","rentner","blüm","rentner","rente","älteren","blüm","blüm","blüm","rente","gesundheitsreform","rente","renten","versicherten","versorgung","patienten","pflege","pflege","rente","krankenversicherung","seehofer","rentenversicherung","krankenkassen","rentenversicherung","pflegeversicherung","rente","rentenversicherung","pflegeversicherung","rentner","rentenversicherung","patienten","patienten","patienten","rentenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","versicherten","krankenkassen","kolb","rentenversicherung","versicherten","versicherten","pflege","rentner","versicherten","krankenversicherung","kopfpauschale","versicherten","pflege","patienten","patienten","praxisgebühr","patienten","versorgung","versorgung","patienten","patienten","patienten","versorgung","versorgung","pflegekräfte","patienten","pflege","patienten","patienten","patienten","patienten","pflegekräfte"
"3","rentenversicherung","bundesarbeitsminister","sozialversicherung","versicherten","rentner","renten","renten","arbeiter","rente","anpassung","familienausgleichskassen","rentner","arzt","krankenversicherung","schellenberg","unfallversicherung","bilanz","schellenberg","renten","renten","schellenberg","dm","berufsgenossenschaften","stingl","schellenberg","krankenversicherung","sozialpolitik","kriegsopferversorgung","angestellten","katzer","sozialbudget","angestellten","katzer","selbständigen","krankenversicherung","rente","rentner","krankenversicherung","rentenversicherung","altersversorgung","rentner","katzer","rentenversicherung","rentner","krankenversicherung","renten","flexiblen","rentenversicherung","krankenversicherung","publizisten","franke","blüm","rentner","ehrenberg","seehofer","sozialpolitik","selbstbeteiligung","sozialpolitik","blüm","krankenkassen","renten","rente","renten","blüm","kindererziehungszeiten","krankenversicherung","versicherten","versicherten","krankenversicherung","dm","rentner","rentenversicherung","blüm","krankenkassen","versicherten","dm","pflegebedürftigen","pflegeversicherung","sozialhilfe","krankenversicherung","krankenversicherung","rentenversicherung","krankenkassen","rente","riester","patienten","rente","rente","rentenreform","ärzte","krankenkassen","versorgung","krankenkassen","gesundheitswesen","patienten","praxisgebühr","krankenkassen","beiträge","rente","krankenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","versicherten","patienten","krankenkassen","ärzte","pflege","patientinnen","versorgung","hebammen","angehörigen","pflege","versorgung","hebammen","patienten","pflegeversicherung","krankenversicherung","versorgung","versorgung","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","frau","berufsgenossenschaften","rentner","ärzte","rentenmehrbetragsgesetz","rentenversicherung","rentenversicherung","rente","krankenversicherung","bundesarbeitsminister","anpassung","anpassung","handwerker","renten","arbeitnehmer","rentenversicherung","bilanzen","rente","krankenversicherung","rente","krankenkassen","schellenberg","unfälle","renten","sozialpolitik","schellenberg","katzer","renten","schellenberg","renten","rentenversicherung","rentenversicherung","sozialordnung","rente","katzer","frauen","rente","rentenversicherung","versicherten","sozialordnung","gesetzlichen","krankenversicherung","renten","renten","witwen","franke","herabsetzung","renten","rente","rentner","blüm","rentenversicherung","franke","sozialordnung","krankenversicherung","krankenversicherung","blüm","rentner","rentner","mischfinanzierung","rente","sozialpolitik","rente","sozialpolitik","rentenversicherung","rente","gesundheitswesen","rentenversicherung","beamtenversorgung","rentenversicherung","dm","polikliniken","rente","kirschner","gesundheitswesen","krankenversicherung","leistungen","rentenversicherung","pflege","sozialhilfe","krankenkassen","seehofer","seehofer","krankenkassen","krankenversicherung","zuzahlungen","krankenversicherung","patienten","vorsorge","versorgung","gesetzlichen","versicherten","gesetzlichen","gesetzlichen","rentner","rentner","rentenversicherung","gesundheit","beitragssatz","kolb","gesundheitsreform","pflege","menschen","unfallversicherung","gesundheitsfonds","versicherten","rösler","gesetzlichen","patienten","krankenkassen","krankenversicherung","versicherten","patientinnen","pflege","pflegebedürftigen","gesundheit","krankenhäuser","versorgung","krankenkassen","krankenversicherung","versorgung","ärzte","pflegeversicherung","patientinnen","versorgung","krankenhäuser","versorgung","pflegebonus"
"5","berlin","horn","bundesarbeitsminister","rentenversicherung","witwen","sozialreform","schellenberg","schellenberg","versicherten","rentenversicherung","schellenberg","rente","schellenberg","rentenversicherung","ruf","rente","rentenversicherung","versicherten","schellenberg","familienausgleichskassen","rente","arbeiter","rentenversicherung","bundesarbeitsminister","selbstverwaltung","angestellten","sozialordnung","arbeit","krankenversicherung","krankenversicherung","sozialpolitik","sozialordnung","renten","katzer","renten","rentner","katzer","dynamisierung","rentner","gesetzlichen","krankenkassen","rentner","sozialversicherung","rente","sozialhilfe","rente","krankenkassen","franke","renten","renten","sozialpolitik","krankenversicherung","ehrenberg","rentner","egert","rentner","vogt","renten","rente","arbeit","blüm","renten","blüm","rentner","kriegsopfer","rentner","dm","rente","renten","krankenversicherung","rentenversicherung","blüm","dm","versicherten","ärzte","blüm","psychotherapeuten","dressler","seehofer","gesetzlichen","leistungen","versicherten","rente","krankenversicherung","pflegeversicherung","gesundheitswesen","rentner","rentenversicherung","riester","versicherten","versicherten","gesetzlichen","patienten","krankenhäuser","krankenversicherung","gesetzlichen","krankenversicherung","versicherten","krankenversicherung","gesetzlichen","reform","reform","altersvorsorge","krankenkassen","kassen","selbstständigen","zusatzbeiträge","krankenkassen","krankenversicherung","versicherten","versicherten","ärzte","ärzte","krankenkassen","versicherten","prävention","patientinnen","altenpflege","versicherten","bürgerversicherung","pflegeversicherung","versicherten","krankenversicherung","krankenkassen","krankenkassen","krankenversicherung","krankenhäusern","gesundheitswesen"
"6","versicherten","leistungen","renten","sozialreform","beiträge","angestellten","rentner","kalinke","rentner","sozialpolitischen","bundesarbeitsminister","rentenversicherung","rentenversicherung","bundesarbeitsminister","lohnfortzahlung","anpassung","versicherungstechnischen","arbeiter","rentner","bilanzen","sozialordnung","versicherten","bericht","beiträge","versicherten","spitzmüller","mischnick","sozialordnung","spitzmüller","rente","schellenberg","rentner","arbeit","schellenberg","rente","flexiblen","schellenberg","anpassung","gesetzlichen","sozialbudget","versicherten","sozialpolitik","müller","franke","gesetzlichen","kriegsopfer","krankenversicherung","altershilfe","rentner","rente","publizisten","rentner","renten","franke","sozialversicherungsträger","franke","gesetzlichen","rente","sozialpolitik","bundesanstalt","krankenversicherung","älteren","kindererziehungszeiten","sozialhilfe","rente","sozialpolitik","strukturreform","reform","versicherten","rente","renten","ärzte","rentner","gesetzlichen","rente","rentenversicherung","dm","dm","dressler","ärzte","gesetzlichen","gesetzlichen","versicherten","gesetzlichen","rentenversicherung","gesetzlichen","rentenversicherung","krankenkassen","gesetzlichen","krankenkassen","gesundheitspolitik","leistungen","rente","rente","gesetzlichen","rente","gesetzlichen","rentenversicherung","beiträge","krankenkassen","versorgung","menschen","alter","altersvorsorge","rente","leistungen","sozialausgleich","rösler","pflegeversicherung","pflege","bahr","krankenkassen","krankenhäuser","versicherten","pflegeversicherung","krankenkassen","krankenhäusern","krankenhäusern","pflegeversicherung","pflegekräfte","patienten","altenpflege","vergütung","angehörigen","krankenhäusern","krankenhäusern","sana","krankenhäusern"
"7","selbstverwaltung","selbstverwaltung","sozialreform","bundesarbeitsminister","sozialreform","schellenberg","beiträge","steigerungsbetrag","beiträge","kalinke","leistungen","beiträge","arbeiter","sozialpolitischen","arbeiter","rentner","lohnfortzahlung","kostenbeteiligung","sozialen","sozialpolitik","arbeit","versicherungspflichtgrenze","sozialpolitischen","sozialpolitik","arbeit","beiträge","finanzänderungsgesetz","krankenversicherung","rentenversicherung","schellenberg","sozialen","schellenberg","rente","renten","leistungen","katzer","franke","leistungen","leistungen","sozialen","kriegsopfer","rente","rentner","selbstverwaltung","altersgrenze","ehrenberg","müller","krankenkassen","krankenkassen","krankenversicherung","rente","gesetzentwurf","müller","senator","beiträge","sozialen","glombig","arbeitnehmer","arbeitnehmer","krankenhaus","bundesarbeitsminister","rentner","älteren","renten","sozialpolitik","renten","patienten","dm","rentenreform","krankenkassen","dressler","rentner","renten","gesundheitswesen","krankenhaus","rente","kompensation","gesetzlichen","leistungen","pflegeversicherung","sozialhilfe","leistungen","rehabilitation","versicherten","patienten","rente","gesundheitswesen","krankenversicherung","patienten","gesundheitspolitik","versorgung","gesundheitspolitik","gesundheitswesen","versicherten","rentnerinnen","rentenversicherung","zahnersatz","soziale","heinrich","patienten","gesetzlichen","krankenkassen","riesterrente","rentnerinnen","versorgung","gesetzlichen","krankenkassen","sozialausgleich","gesetzlichen","krankenversicherung","patientinnen","krankenversicherung","pflegeversicherung","gröhe","pflegenden","krankenhäuser","gröhe","kleinschmeink","pflegekräfte","versicherten","krankenhäusern","pflegekräfte","betreuer","pflegeversicherung","patientinnen","patientinnen","patientinnen","arbeitsbedingungen"
"8","bundesarbeitsminister","winkelheide","rente","sozialversicherung","reform","krankenversicherung","versicherten","leistungen","rentenversicherung","beiträge","rente","bilanz","bundesarbeitsminister","rente","geiger","unfallverhütung","sozialpolitik","sozialpolitischen","rente","einkommensgrenze","sozialpolitik","renten","sozialpolitik","sozialpolitischen","katzer","rente","alters","leistungen","lösung","sozialordnung","sozialordnung","versicherten","krankenversicherung","frauen","altersgrenze","cducsu","flexiblen","sozialen","arendt","renten","leistungen","kriegsopfer","sozialpolitik","gesundheitswesen","rentner","rentenanpassungsgesetz","ehrenberg","ehrenberg","blüm","soziale","rentenversicherungsträger","müller","gesetzlichen","krankenversicherung","versicherten","rente","sozialpolitik","sozialen","gesetzlichen","fuchs","rentnern","hinterbliebenenrente","bundesarbeitsminister","kindererziehungszeiten","arbeitslosen","dressler","selbstbeteiligung","dressler","beamten","dressler","sozialzuschlag","dressler","selbstbeteiligung","dm","krankenkassen","sozialhilfe","versorgung","leistungen","krankenkassen","rentenversicherung","renten","kassen","gesundheitswesen","seehofer","krankenkassen","versicherten","krankenkassen","renten","prozent","krankenversicherung","seehofer","rente","krankenhäuser","krankenhäusern","krankenkassen","altersvorsorge","beiträge","patienten","rentner","rentner","kassen","pflegeversicherung","gesetzlichen","pflegeversicherung","patienten","versorgung","system","lauterbach","versorgung","gesetzlichen","krankenkassen","pflege","krankenversicherung","qualität","menschen","ärzte","gesundheitswesen","patientinnen","psg","krankenhäuser","altenpflege","spahn","ärzte","pflegebedürftigen","gesundheitswesen","versicherten","kliniken","krankenhäuser"
"9","leistungen","arbeitslosenversicherung","arbeitslosenversicherung","arbeitslosigkeit","versicherten","leistungen","kalinke","beiträge","angestellten","rente","rentenversicherung","sozialbericht","kostenbeteiligung","arbeiter","angestellten","sozialpolitischen","anpassung","berufsgenossenschaften","gutachten","bilanz","blank","rente","bundesarbeitsminister","dm","krankenversicherung","sozialpolitik","hinterbliebenenversorgung","schellenberg","versicherten","kriegsopferversorgung","leistungen","leistungen","ehrenberg","öffnung","rentnern","sicherung","renten","altersversorgung","müller","arendt","sozialen","sozialen","sozialen","kostendämpfung","rente","rentnern","renten","versicherten","sozialen","becker","sozialversicherung","sicherung","rente","krankenkassen","rentenversicherungsträger","glombig","arbeitnehmer","soziale","krankenversicherung","krankenversicherung","rentenanpassung","arbeitslosen","kriegsopfer","gesetzlichen","kriegsopferversorgung","strukturreform","reform","krankenkassen","gesundheitsreform","renten","rentenerhöhung","versorgung","gesundheitswesen","psychisch","gesetzlichen","leistungen","patienten","lahnstein","gesetzlichen","versorgung","seehofer","gesundheitswesen","gesetzlichen","rentenreform","versicherten","leistungen","versicherten","gesundheitspolitik","rentenniveau","qualität","rentner","kranken","beiträge","leistungen","renten","patienten","storm","krankenversicherung","storm","renten","wettbewerb","krankenversicherung","pflegeversicherung","gesetzlichen","krankenhäuser","beiträge","bürgerversicherung","kopfpauschale","kassen","gesundheitswesen","ärzte","gesundheitswesen","leistungen","patientinnen","gröhe","krankenversicherung","kleinschmeink","gesundheit","gröhe","leistungen","pflegebedürftigen","krankenversicherung","spahn","pflegekräfte","krankenhäuser","krankenkassen","krankenhaus","pflegenden"
"10","angestelltenversicherung","kinderbeihilfe","beiträge","schellenberg","renten","gesetzentwurf","arbeiter","bergbau","stingl","sozialordnung","sozialpolitik","unfallversicherung","ärzte","sozialpolitik","krankenkassen","sozialpolitik","renten","stingl","sozialpolitischen","versicherungstechnischen","rentner","beiträge","unfallverhütungsbericht","katzer","sozialen","finanzänderungsgesetz","arbeit","kattenstroth","versicherungspflichtgrenze","anpassung","sozialpolitischen","rohde","gesetzlichen","altersgrenze","sozialordnung","flexible","krankenversicherung","arendt","renten","franke","versorgung","gesetzlichen","versorgung","gesetzlichen","müller","kriegsopferversorgung","sozialpolitik","rentner","angestellten","sozialen","künstlersozialabgabe","franke","leistungen","arbeit","sozialgesetzbuches","arbeitnehmer","rente","leistungen","bundesarbeitsminister","selbstverwaltung","sozialhilfe","psychisch","glombig","glombig","sozialhilfe","unruh","rentenversicherung","renten","reform","rentner","pflege","krankenkassen","pflege","kranken","versorgung","kompensation","krankenversicherung","renten","rentenversicherung","patienten","stufe","selbstverwaltung","patienten","pflege","gesundheitswesen","krankenkassen","versorgung","inflationsrate","rentner","seehofer","ärzte","seehofer","versorgung","arzneimittel","versorgung","beiträge","kopfpauschale","kassen","zöller","versicherten","rente","gesundheitsreform","krankenversicherung","pflege","gesetzlichen","altersvorsorge","lauterbach","spahn","krankenkasse","leistungen","pflegeversicherung","versorgung","menschen","gesundheit","leistungen","gesundheitskarte","pflegeversicherung","pflegekräfte","iii","kleinschmeink","bürgerversicherung","krankenkassen","patientinnen","spahn","versicherten","gesundheitswesen","ärzte","gesundheitssystem"
