"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","amerikanischen","bremerhaven","fremdenlegion","dienstgruppen","amerikanischen","wehrübungen","amerikanischen","van","bundesregierung","auswärtigen","pferde","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","staatssekretär","staatssekretär","staatssekretär","staatssekretär","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","türkei","türkei","staatsminister","türkei","staatsminister","auswärtigen","staatsminister","staatsminister","auswärtigen","staatsminister","staatsminister","türkei","staatsminister","staatsminister","auswärtigen","auswärtigen","staatsminister","untersuchungsausschuss","welle","china","welle","china","china","untersuchungsausschuss","untersuchungsausschuss","bafin","usbekistan","kfw","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","griechenland","ezb","banken","bafin","ezb"
"2","bundesregierung","deutschen","gelände","alliierten","alliierten","bundesregierung","forderungen","bundeswehr","scherpenberg","auswärtigen","scherpenberg","auswärtigen","van","amts","wyler","amts","schröder","schröder","amts","amts","amts","dr","amts","schröder","staatssekretär","auswärtigen","jahn","auswärtigen","auswärtigen","staatssekretär","zusatzfrage","staatssekretär","staatssekretär","staatssekretär","auswärtigen","herr","auswärtigen","moersch","moersch","moersch","moersch","zusatzfrage","zusatzfrage","zusatzfrage","dohnanyi","zusatzfrage","zusatzfrage","dohnanyi","dohnanyi","dohnanyi","zusatzfrage","dohnanyi","frau","zusatzfrage","corterier","zusatzfrage","möllemann","türkei","möllemann","möllemann","möllemann","möllemann","möllemann","möllemann","auswärtigen","schäfer","schäfer","türkei","türkei","auswärtigen","auswärtigen","schäfer","türkei","auswärtigen","türkei","staatsminister","staatsminister","schäfer","staatsminister","china","staatsminister","mauss","auswärtigen","staatsminister","auswärtigen","auswärtigen","staatsminister","auswärtigen","auswärtigen","staatsminister","staatsminister","welle","auswärtigen","sprache","akten","auswärtigen","welle","aufhebung","fischer","kontrollgremium","bnd","usbekischen","ikb","kfw","krise","sparkassen","finanzmärkte","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","schick","bank","bank","verbraucher","banken","ewf","kredite","bank","ezb","zentralbank","bafin","wirecard","hauptversammlung"
"3","deutsche","besatzungsmacht","entschädigung","deutschen","anfrage","heimkehrer","bundesregierung","mai","bundesregierung","staatssekretär","van","ausfuhr","scherpenberg","staatssekretär","amts","staatssekretär","dr","amts","schröder","carstens","schröder","staatssekretär","dr","dr","zusatzfrage","jahn","auswärtigen","jahn","jahn","zusatzfrage","staatssekretär","zusatzfrage","moersch","moersch","moersch","bundesminister","parl","auswärtigen","parl","auswärtigen","zusatzfrage","moersch","moersch","wischnewski","zusatzfrage","dohnanyi","frau","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","zusatzfrage","corterier","dr","frau","zusatzfrage","möllemann","bundesregierung","türkei","zusatzfrage","auswärtigen","menschenrechte","auswärtigen","saudiarabien","tibet","rumänien","schäfer","schäfer","schäfer","bundesregierung","auswärtigen","schäfer","amt","schäfer","schäfer","pkk","auswärtigen","auswärtigen","auswärtigen","amt","schmidbauer","iran","amt","menschenrechte","türkei","auswärtigen","türkei","amt","volmer","kulturpolitik","kirch","menschenrechte","staatsminister","untersuchungsausschuss","auswärtige","untersuchungsausschuss","waffenembargos","untersuchungsausschusses","parlamentarischen","untersuchungsausschuss","ströbele","ströbele","banken","bank","bank","regulierung","krise","bank","finanzmärkte","finanzmärkte","finanzmärkte","bank","steuerzahler","bankenunion","einlagensicherung","bausparkassen","verbraucher","bank","verbraucherinnen","verbraucher","ezb","ezb","bargeld","bafin","wirecard","esm","griechenland"
"4","menschen","fischer","besatzungsmacht","gefangenen","britischen","gefangenen","deutschen","markenbutter","staatsvertrag","kanowski","bundesregierung","van","amts","carstens","staatssekretär","carstens","zusatzfrage","carstens","carstens","staatssekretär","dr","schröder","carstens","amts","amts","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","dahrendorf","bundesminister","moersch","parlamentarischer","zusatzfrage","abgeordneter","abgeordneter","moersch","parl","auswärtigen","zusatzfrage","auswärtigen","herr","herr","herr","herr","herr","hammbrücher","herr","dr","herr","dohnanyi","herr","hammbrücher","dr","zusatzfrage","hammbrücher","herr","bundesregierung","zusatzfrage","auswärtigen","hupka","zusatzfrage","zusatzfrage","zusatzfrage","schäfer","menschenrechte","auswärtigen","auswärtigen","auswärtigen","bundesregierung","schäfer","helmut","stavenhagen","türkei","auswärtigen","auswärtigen","kurden","helmut","amt","chinesischen","kulturpolitik","auswärtigen","türkei","türkei","amt","öcalan","europarat","amt","ludger","ludger","amt","untersuchungsausschuss","amt","akten","hirsch","kulturpolitik","auswärtigen","auswärtigen","auswärtigen","nachrichtendienste","journalisten","rundfunk","bafin","landesbanken","hypo","landesbanken","krise","finanztransaktionsteuer","anleger","bank","spanien","bank","zypern","schick","steuerzahler","aufsicht","verbraucher","bafin","bafin","kunden","einlagensicherung","finanzkrise","griechenland","finanztransaktionsteuer","urteil","verbraucher","banken","zentralbank"
"5","alliierten","sowjetzone","deutschen","anfrage","deutschen","deutschen","botschaft","wurden","schuldner","panzer","fremdenlegion","pferden","staatssekretär","dr","behörden","amt","gerstenmaier","dr","dr","dr","carstens","zusatzfrage","staatssekretär","zusatzfrage","jahn","herr","herr","herr","zusatzfrage","bundesminister","parlamentarischer","bundesminister","abgeordneter","parlamentarischer","herr","vizepräsident","herr","zusatzfrage","zusatzfrage","amt","herr","vizepräsident","staatssekretär","vizepräsident","vizepräsident","dr","dohnanyi","dr","herr","frau","dr","dr","herr","jäger","türkei","vizepräsident","bundesregierung","stücklen","türkei","zusatzfrage","auswärtigen","menschenrechte","auswärtigen","menschenrechte","bundesregierung","auswärtigen","menschenrechte","bundesregierung","adamschwaetzer","adamschwaetzer","amt","amt","helmut","schiff","iran","kurden","türkischen","türkei","kurden","menschenrechte","china","kolumbien","amt","schäfer","hoyer","volmer","amt","volmer","menschenrechte","amt","tschechischen","amt","menschenrechtspolitik","deutsche","staatsanwaltschaft","deutsche","auswärtige","auswärtige","beweisaufnahme","ströbele","ströbele","öffentlichrechtlichen","untersuchungsausschuss","bank","estate","ratingagenturen","ratingagenturen","hre","bankenabgabe","griechenland","bank","aufsicht","aufsicht","aufsicht","ratingagenturen","bank","konto","schick","verbraucherinnen","bafin","ezb","risiken","commerzbank","kredite","wirecard","schuldner","anleger","hauptversammlungen"
"6","zone","alliierten","amerikanischen","französischen","dienstgruppenangehörigen","anfrage","wurden","gefangenen","österreichischen","anfrage","amts","staatssekretär","amt","abkommen","kreitmeyer","lahr","bundesminister","gerstenmaier","staatssekretär","amt","staatssekretär","herr","schröder","bundesminister","dr","beim","zusatzfrage","beim","herr","parlamentarischer","herr","parlamentarischer","zusatzfrage","abgeordneter","bundesminister","parlamentarischer","zusatzfrage","herr","herr","herr","amt","abgeordneter","ddr","abgeordneter","dr","vizepräsident","dr","vizepräsident","vizepräsident","dr","vizepräsident","kollege","dr","vizepräsident","herr","herr","windelen","zusatzfrage","auswärtigen","bundesregierung","herr","bundesregierung","bundesregierung","bundesregierung","amt","türkei","bundesregierung","iran","bundesregierung","stavenhagen","zusatzprotokolle","bundesregierung","auswärtigen","peru","rushdie","türkischen","iran","amt","hoyer","amt","hoyer","bundeskanzler","china","auswärtige","schäfer","amt","menschenrechte","ludger","volmer","fischer","auswärtige","auswärtigen","folter","auswärtigen","kanzleramt","sprache","deutsche","kulturpolitik","uhl","bnd","kontrolle","fernsehen","untersuchungsausschusses","krise","bafin","bankenaufsicht","iwf","finanzmärkte","krise","finanztransaktionsteuer","basel","krise","steuerzahler","regulierung","aufsicht","ezb","kunden","anleger","kunden","kredite","bankenunion","bank","post","sparer","bundesbank","gläubiger","scholz","verbraucher"
"7","amerikanischen","kommission","küste","kriegsverurteilten","bundesregierung","amerikanische","amerikanischen","ehemaligen","mai","deutschen","zahlungen","scherpenberg","bundesregierung","scherpenberg","brentano","bundesregierung","spanien","zusatzfrage","amt","auswärtige","herr","abgeordneter","herr","kahnackermann","herr","zusatzfrage","beim","bundesminister","bundesminister","herr","dr","herr","herr","bundesminister","zusatzfrage","zusatzfrage","beim","beim","beim","staatssekretär","abgeordneter","frage","jäger","frau","abgeordneter","hammbrücher","herr","bundesregierung","kollege","vizepräsident","frau","bundesregierung","vizepräsident","herr","vizepräsident","dr","jenninger","vizepräsident","menschenrechte","herr","vogel","herr","herr","amt","herr","stavenhagen","botschaft","schäuble","amt","türkei","menschenrechte","türkei","menschenrechte","absage","kurden","israel","türkische","auswärtige","türkischen","dialog","iran","amt","hoyer","hoyer","werner","naumann","europarates","china","todesstrafe","untersuchungsausschuss","sprache","staatsanwaltschaft","kulturpolitik","deutsch","auswärtigen","bildungspolitik","untersuchungsausschusses","volksrepublik","sachstandsbericht","elmasri","kontrollgremium","quorum","vergaberecht","libyen","real","bafin","bank","regulierung","schick","zentralbank","finanzaufsicht","steinbrück","finanzmärkte","kapitalmarkt","schick","bafin","girokonto","aufsicht","schick","verbraucherschutz","handwerker","verbraucher","euro","banken","verbraucher","verbraucherinnen","haftung","aktionäre"
"8","besatzungsmacht","bundesregierung","menschen","bundesregierung","amerikanischen","deutsche","zigaretten","luftwaffe","staatssekretär","mai","mutter","amts","botschaft","van","bundesregierung","dr","präsident","herr","auswärtige","zusatzfrage","abgeordneter","amts","zusatzfrage","herr","bundesminister","bundesminister","bundesregierung","zusatzfrage","beim","dr","dahrendorf","abgeordneter","bundesminister","herr","parlamentarischer","schmid","herold","abgeordneter","bundesminister","abgeordneter","vizepräsident","staatssekretär","abgeordneter","bundesregierung","frau","frau","vizepräsident","frau","hammbrücher","jäger","kollege","jäger","jäger","wangen","jäger","abgeordneter","abgeordneter","hammbrücher","mertes","mertes","polen","westphal","vogel","herr","stavenhagen","rumänien","türkei","regierung","stavenhagen","amt","ratifizierung","herr","türkischen","schäfer","menschenrechte","helmut","menschenrechte","srü","werner","hoyer","chinesischen","bernd","menschenrechte","kulturpolitik","lukaschenko","pkk","volmer","christen","türkei","kulturpolitik","auslandsschulen","akten","staatsministerin","deutschen","bundeskanzleramt","kultur","neumann","waffenembargo","zeugen","aufklärung","geheimdienste","andischan","gremium","schäffler","finanzmärkte","kredite","finanztransaktionsteuer","bankenabgabe","fonds","markt","bafin","bankenaufsicht","ezb","finanzmärkte","dispozinsen","verbraucher","steuerzahler","risiken","meister","bank","bank","griechenland","steuerzahler","negativzinsen","banken","bank","untersuchungsausschuss","iwf"
"9","bevölkerung","menschen","bundesregierung","schäden","tarifvertrags","britischen","firmen","soldaten","auswärtigen","sowjetzonalen","truppenvertrag","tiere","entwicklungsländer","brentano","fleisch","amtes","lautet","amt","gerstenmaier","botschaft","zusatzfrage","carstens","abgeordneter","amt","amt","bundesregierung","vizepräsident","bundesregierung","marx","beim","marx","frage","beim","dr","dr","auswärtigen","bundesminister","bundesminister","abgeordneter","vizepräsident","abgeordneten","bundesregierung","vizepräsident","jäger","stücklen","abgeordneter","frage","kollege","bundesregierung","kollege","hammbrücher","vizepräsident","kollege","hammbrücher","leber","bundesregierung","vizepräsident","auswärtigen","vizepräsident","polen","bundesregierung","frage","vizepräsident","auswärtige","gansel","china","gansel","menschenrechte","hammbrücher","herr","auswärtige","amnesty","amt","türkischen","helmut","pkk","schäfer","waffen","schäfer","schäfer","auswärtige","hoyer","schäfer","werner","todesstrafe","ludger","ludger","untersuchungsausschuss","zöpel","herr","volmer","parteiengesetz","menschenrechtskommission","englisch","kohl","deutschen","amtes","taiwan","ausschuss","untersuchungsausschusses","bundesnachrichtendienst","menschenrechte","journalisten","aufsichtsrat","kfw","krise","hedgefonds","steuerzahler","gläubiger","dass","krise","hochfrequenzhandel","regulierung","fonds","kunden","steuerzahler","schick","kleinanleger","produkte","verbraucherpolitik","kunden","einlagensicherung","fusion","steuerzahler","unabhängigkeit","ezb","wirtschaftsprüfer","verbraucherinnen"
"10","britischen","zone","stadt","legion","streitkräfte","schäden","behörden","kellogg","deutschen","oktober","fällen","bundesrepublik","deutschen","übungen","bevölkerung","auswärtige","antwort","bundesregierung","zusatzfrage","kahnackermann","bundesregierung","vizepräsident","bundesminister","staatssekretär","auswärtige","vizepräsident","bundesminister","vizepräsident","amt","bundesregierung","beziehungen","dr","dr","frage","vizepräsident","dr","abgeordneter","frage","vizepräsident","frage","staatssekretär","abgeordneten","bundesregierung","frage","hammbrücher","frage","jäger","hammbrücher","frau","renger","bundesregierung","frau","bundesregierung","frau","bundesregierung","renger","auswärtigen","herr","herr","vizepräsident","czaja","vizepräsident","menschenrechtspolitik","vizepräsident","schwöre","bundesregierung","amt","jordanien","herr","auswärtige","iran","stavenhagen","türkische","menschenrechte","israel","amt","auswärtigen","menschenrechte","pkk","iran","tibet","menschenrechte","werner","helmut","bundesregierung","menschenrechte","zöpel","menschenrechte","christoph","zusatzfrage","ludger","deutschen","affäre","staatsanwaltschaft","anlage","deutsch","kultur","kultur","außenminister","aufgeklärt","parlamentarischen","untersuchungsausschuss","kollege","steinbrück","aufsicht","aufsicht","dass","leerverkäufe","finanzkrise","steinbrück","finanztransaktionsteuer","steuerzahler","sparkassen","bafin","risiken","anleger","verbraucherinnen","europäischer","boni","versicherungen","kredite","bundesbank","targetsalden","hauptversammlung","geldpolitik","bargeld","finanzaufsicht","banken"
