"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","mehrheitswahlrecht","bundeskanzler","parteien","bundeskanzler","volksbefragung","bundeskanzler","bundeskanzler","herr","parteien","bundeskanzler","bundeskanzler","parteien","schloß","gewerkschaften","herr","höcherl","parteien","schäfer","herr","herr","dorn","herr","demokratie","partei","parlament","herr","herr","herr","herr","herr","partei","partei","partei","partei","verfassung","partei","demokratischen","freiheit","freiheit","freiheit","terrorismus","terrorismus","demokratie","freiheit","bundeskanzler","bremen","bundeskanzler","bundeskanzler","demonstration","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","gewalt","demokratie","demokratie","geschichte","menschen","menschen","menschen","berlin","menschen","geschichte","menschen","menschen","demokratie","verfassung","demokratie","menschen","menschen","menschen","menschen","menschen","demokratie","demokratie","mahnmal","opfer","demokratie","opfer","demokratie","demokratie","kultur","juden","antisemitismus","opfer","npd","brandenburger","mauer","kultur","kultur","kultur","kultur","ddr","kultur","kultur","kultur","demokratie","roma","rechtsextremismus","roma","kultur","kultur","kultur","kultur","israel","kultur","völkermord","kultur","antisemitismus","religionsfreiheit","menschenrechte","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","kollege","kollege","herrn","bundeskanzler","parteien","herr","partei","herr","herr","herr","adenauer","bundeskanzler","partei","urteil","partei","bundeskanzler","güde","demokratie","jahn","verfassungsschutz","höcherl","höcherl","erler","grundgesetzes","parteien","partei","dorn","herr","herr","kollege","kollege","schäfer","shb","dkp","bundeskanzler","bundeskanzler","dkp","demokratie","demokratie","demokratie","terroristen","partei","sozialismus","demokratie","terroristen","terroristen","partei","demokratie","demokratie","partei","partei","jungen","demonstrationen","demonstration","freiheit","partei","neuwahlen","demokratie","israel","demokratie","geschichte","vogel","bundeskanzler","geschichte","demokratie","politischen","bundeskanzler","menschen","freiheit","geschichte","deutschen","hauptstadt","geschichte","menschen","gewalt","gewalt","verfassung","menschen","menschen","einheit","religionsunterricht","demokratie","ausstellung","demokratie","geschichte","freiheit","demokratie","demokratie","jüdischen","deutschen","freiheit","antisemitismus","demokratie","kultur","juden","kultur","rechtschreibung","geschichte","opfer","bibliothek","rechtsextremismus","rechtsextremismus","enquetekommission","gysi","medien","grundgesetz","stiftung","kultur","christen","demokratie","rechtsextremismus","rechtsextremismus","künstler","demokratie","roma","aufarbeitung","bildungspolitik","geschichte","religionsfreiheit","ukraine","afd","chemnitz","menschenrechte","kultur","opfer","afd","antisemitismus","freiheit"
"3","herrn","herrn","kollege","minderheit","demokratie","kollege","herr","kollege","demokratie","partei","herr","herrn","bundeskanzler","herr","herr","herr","jahn","notstand","wehner","alliierten","schmittvockenhausen","erler","kollege","kollege","herr","kollege","verfassung","demokratie","demokratie","demokratie","zwischenfrage","kollege","kollege","kollege","demokratie","parlamentarischen","bundeskanzler","staatssekretäre","grundgesetz","staat","demokratie","sozialismus","brandt","terrorismus","demokratie","demokratie","kommunisten","staat","freiheit","verfassungsschutzbericht","freiheit","gewalt","bundeskanzler","demonstrationen","demonstration","brandt","koalition","brandt","demokratie","partei","demokratie","volk","demokratie","demokratie","bundeskanzler","gewalt","politischen","demokratie","geschichte","demokratie","demokratie","demokratie","deutschen","ddr","demokratie","geschichte","menschen","grundgesetz","geschichte","ddr","opfer","geschichte","wehrmacht","opfer","menschen","gedenkstätten","denkmal","stiftung","menschen","islam","geschichte","berliner","geschichte","jüdischen","entschädigung","stiftung","leitkultur","tor","islam","nationalbibliothek","npd","rassismus","kulturpolitik","computerspiele","demokratie","verfassung","versöhnung","stiftung","religionsfreiheit","verfassungsschutz","nazis","aufarbeitung","antisemitismus","geschichte","sinti","welle","deutschen","sachsen","demokratie","geschichte","antisemitismus","kultur","geschichte","meinungsfreiheit","afd","freiheit","geschichte","kultur"
"4","herren","opposition","gesagt","dänemark","herr","partei","kollege","wehner","partei","demokratie","bundeskanzlers","demokratie","erler","heinemann","bundeskanzlers","partei","herrn","presse","sache","innern","partei","innern","spd","verfassung","alliierten","demokratie","herr","auseinandersetzung","parlamentsreform","wahl","bundeskanzler","bundeskanzler","zwischenfrage","zwischenfrage","herr","herr","wahl","parlamentarischen","partei","demokratischen","partei","demokratie","staat","partei","freiheit","freiheit","bundeskanzler","verfassung","partei","bundeskanzler","jungen","generation","demonstranten","demonstranten","gewalt","neuwahlen","partei","partei","partei","parteien","volk","partei","juden","volk","geschichte","bundeskanzler","menschen","parteien","demokratie","freiheit","geschichte","entscheidung","berlin","berlin","deutschen","demokratie","geschichte","ddr","deutschen","geschichte","brandenburg","opfer","leben","freiheit","enquetekommission","berlin","opfer","deutschen","geschichte","berliner","deutschen","juden","menschen","opfer","opfer","geschichte","kultur","berliner","demokratie","demokratie","demokratie","opfer","kulturelle","npd","juden","demokratie","vertreibung","religionsfreiheit","sinti","kultur","namibia","rassismus","npd","ruanda","künstler","ddr","kulturelle","demokratie","christen","kultur","christen","welle","freiheit","freiheit","freiheit","opfer","afd","opfer"
"5","gesagt","gesagt","parteien","kollege","wahlgesetz","demokratie","demokratie","herrn","bundeskanzler","volk","demokratie","partei","heinemann","arndt","schröder","demokratie","partei","jahn","kanzler","untersuchungsausschuß","herr","alliierten","heinemann","jahn","kollege","regierung","benda","dorn","regierung","genscher","gestatten","zwischenfrage","gestatten","bundeskanzler","sozialdemokratischen","wähler","parteien","herr","dregger","terroristen","freiheit","kommunisten","demokratie","staat","partei","bundeskanzler","kohl","partei","demokratischen","grundordnung","führung","demokratischen","partei","freiheit","demokratischen","schmidt","wähler","parteien","politischen","brandt","vogel","demokratie","deutschen","politischen","politischen","geschichte","volk","deutschen","volk","deutschen","freiheit","verfassung","verfassung","deutschen","deutschland","deutschen","gewalt","geschichte","ddr","demokratie","demokratie","ddr","opfer","geschichte","freiheit","geschichte","bonn","menschen","opfer","rechtssicherheit","denkmal","gesellschaft","kunst","deutschland","berliner","seddiktatur","deutschen","demokratie","kultur","rechtsextremismus","welle","kulturellen","musik","elser","hdj","freiheit","vertriebenen","gewalt","demokratie","opfer","musik","npd","aufarbeitung","ddr","ddr","opfer","kulturellen","opfer","bildungspolitik","demokratie","kultur","demokratie","opfer","geschichte"," juni","rassismus","freiheit","geschichte"
"6","sagen","herren","opposition","herrn","partei","herrn","bundeskanzler","partei","volk","herrn","bundespräsidenten","text","herr","schröder","parteien","herren","untersuchungsausschuß","notstandes","herrn","untersuchungsausschusses","innern","herr","schäfer","schmittvockenhausen","partei","parlamentarischen","parlament","npd","kollege","partei","brandt","partei","vds","schäfer","schäfer","demokratie","demokratischen","verfassung","ministerpräsident","brandt","terrorismus","demokratischen","partei","kohl","demokratischen","staat","verfassung","geschichte","verfassung","bremer","demokratischen","partei","freiheit","staat","generation","koalition","regierung","kohl","brandt","volk","dregger","brandt","toten","menschen","demokratischen","menschen","demokratischen","politischen","deutschen","volk","volk","menschen","demokratie","demokratie","verfassung","ddr","grundgesetz","demokratie","opfer","freiheit","deutschen","unrecht","geschichte","leben","deutschen","menschen","juden","freiheit","berliner","demokratie","kultur","geschichte","freiheit","demokratie","denkmal","ddr","sprache","kultur","ddr","deutsche","islam","demokratie","kulturellen","opfer","antisemitismus","staatsziel","steinbach","christen","kommunismus","aufarbeitung","demokratie","demokratie","bahai","gedenken","demokratie","geschichte","stiftung","deutschen","deutschen","künstler","gewalt","freiheit","kultur","hass","geschichte","gewalt","sprache","welle"
"7","damen","bundeskanzler","partei","gesagt","wähler","gesagt","kühn","herren","verfassung","volksbefragung","herrn","gesagt","demokratie","demokratie","demokratie","damen","herr","demokratischen","staat","schmittvockenhausen","erler","vorbehaltsrechte","schmittvockenhausen","grundgesetz","parlamentarischen","demokratischen","polizei","kollege","genscher","parlamentarischen","demokratie","tübingen","wohlrabe","gestatten","kollege","mende","spd","demokratischen","parteien","parteien","ordnung","dregger","sozialdemokraten","demokratischen","staat","kohl","freiheit","bundeskanzler","demokratische","verfassung","staat","staat","gewalt","partei","demonstrationen","helmut","brandt","freiheit","parteien","unseres","kohl","unseres","menschen","kohl","verfassung","staat","volkes","freiheit","berlin","demokratischen","ddr","geschichte","leben","einheit","geschichte","volk","volk","volk","leben","deutschen","gewalt","deutschen","gewalt","kultur","aufarbeitung","einheit","geschichte","volk","jüdische","deutsche","menschen","opfer","weiss","kulturstiftung","kultur","bundespräsident","stiftung","neonazis","islamismus","muslime","muslime","npd","demokratie","kultur","geschichte","stiftung","flucht","bäume","kultur","extremismus","extremismus","antisemitismus","geschichte","aufarbeitung","künstlersozialversicherung","völkermord","auswärtige","versöhnung","religion","deutschen","demokratie","religionsfreiheit","gewalt","opfer","hass","geschichte","juden","afd"
"8","heute","sagen","herren","dänischen","bundeskanzler","parlament","herren","parteien","dr","verfassung","partei","damen","bundeskanzlers","karlsruhe","herrn","verfassung","bundesverteidigungsminister","herr","demokratie","herr","kollege","schmittvockenhausen","partei","schäfer","wahlrecht","stunde","kollege","genscher","parlamentarischen","bundeskanzler","partei","spd","herrn","herrn","mandel","müller","wähler","grundgesetz","demokratischen","verfassung","spd","staat","demokratischen","verfassung","gewalt","verfassung","staat","demokratischen","staat","organisationen","geistige","bürgermeister","kommunisten","polizei","partei","demokratie","dienstag","demokratischen","volk","demokratischen","unseres","politischen","unserer","gewalt","menschen","israel","geschichte","bundeskanzler","politischen","ddr","verfassung","stadt","ddr","unrecht","demonstration","deutschland","deutschland","freiheit","vertreibung","opfer","leben","leben","deutschen","ddr","demokratischen","deutschen","deutschen","geschichte","gedenkstätten","menschen","opfer","kultur","deutschen","barthel","jüdischen","gedenken","muslime","religionsunterricht","teilung","kunst","aufarbeitung","künstler","kulturwirtschaft","staatssicherheit","jüdischen","medien","bdv","religion","geschichte","geschichte","mor","ddr","vertreibung","rechtsextremismus","opfer","juden","opfer","sowjetunion","kulturelle","freiheit","israel","islam","chemnitz","afd","antifa","deutschen","hass","rassismus"
"9","ja","kollegen","kollegen","herren","kollege","kühn","politischen","gesagt","barzel","innenminister","erler","zitiert","wehner","bundesverfassungsgericht","urteil","bundeskanzlers","minister","staat","brief","schäfer","minister","minister","wehner","staatsvertrag","koalition","genscher","alliierten","parteien","parlaments","redezeit","wörner","demokratie","demokratie","dr","verfassung","staatssekretäre","demokratie","zwischenfrage","spd","demokraten","rechtsstaat","verfassung","terrorismus","terroristen","bundeskanzler","rechtsstaat","parteien","bürger","brandt","auseinandersetzung","demokratie","demokratie","brandt","demokratie","demokratie","genscher","schmidt","verfassung","kohl","bürger","brandt","kohl","politischen","unseres","volk","politische","gewalt","demokratischen","china","sozialismus","deutschland","deutschen","deutschland","enquetekommission","demokratischen","opfer","verfassungskommission","enquetekommission","unrecht","diktatur","geschichte","volk","demokratie","stiftung","ddr","demokratischen","freiheit","verantwortung","leben","stiftung","berliner","architektur","opfer","zentralrat","stiftung","gedenkstätten","geschichte","breitenkultur","berliner","palast","dialog","künstlersozialversicherung","kunst","demokratie","aufarbeitung","grundgesetzes","aufarbeitung","kunst","welle","gesellschaft","kloster","geschichte","demokratie","jüdischen","liebknecht","religionsfreiheit","freiheit","kulturgut","freiheit","opfer","freiheit","afd","afd","rundfunk","partei","menschenrechte","gewalt","gesellschaft"
"10","möchte","partei","demokratie","opposition","wahlrecht","sozialistischen","gesagt","erklärung","gesagt","cdu","amt","kollege","herrn","bundesinnenminister","grundgesetz","bundesinnenminister","bundeskanzler","minister","immunität","öffentlichkeit","parteiengesetz","kollege","damen","verfassungsänderung","demokratie","bundeskanzler","notstandsgesetzgebung","politischen","kollegen","auseinandersetzung","redezeit","herrn","studentenbund","partei","dkp","freitag","herr","bundeskanzler","freiheit","ministerpräsident","parteien","dkp","verfassung","solidarität","brandt","demokratischen","demokratischen","staates","geschichte","politischen","brandt","demokratische","polizei","inneren","frieden","kohl","kohl","sozialdemokraten","demokratischen","freiheit","deutschen","verantwortung","volk","vogel","volkes","volk","verfassung","leben","leben","berlin","einheit","grundgesetz","volk","verfassung","volk","leben","deutschen","einheit","volk","enquetekommission","kirchen","freiheit","krieg","unrecht","einheit","reichstag","menschen","deutsche","gewalt","entschädigung","terrors","historischen","deutsche","stiftung","homosexuellen","juni","islamismus","befriedeten","menschen","staatsziel","islamkonferenz","vielfalt","kreativwirtschaft","gregor","npd","ddr","stiftungsrat","demonstranten","künstler","akten","sinti","kreativwirtschaft","staatsleistungen","revolution","rassismus","demokratie","geschichte","kultur","geschichte","freiheits","gesellschaft","religion","juden","öffentlichrechtlichen","juden","christen","meinungsfreiheit","aufarbeitung"
