"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","volk","unserer","politischen","menschen","politischen","politischen","politischen","politischen","unserer","freiheit","staat","volk","politischen","politischen","menschen","politischen","aufgabe","freiheit","staat","menschen","unserer","unserer","unserer","unserer","regierungserklärung","unserer","unserer","unserer","gesellschaft","unserer","unserer","unserer","menschen","gesellschaft","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","müssen","müssen","unsere","unserer","probleme","unserer","unserer","unserer","entwicklung","entwicklung","bereich","grossforschungseinrichtungen","müssen","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","müssen","müssen","entwicklung","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","bereich","entwicklung","entwicklung","tourismus","entwicklung","entwicklung","tourismus","tourismus","enquetekommission","entwicklung","bereich","tourismus","entwicklung","bereich","nachhaltigkeit","öpp","bereich","müssen","tourismus","müssen","müssen","entwicklung","entwicklung","zusammenarbeit","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","afrika","afrika","afrika","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","deutschen","volk","volk","politischen","demokratie","menschen","unserer","staat","politischen","unserer","politischen","politischen","unserer","freiheit","politischen","staat","politischen","staat","volkes","unserer","politischen","unseres","regierungserklärung","unsere","unserer","unsere","menschen","politischen","unserer","menschen","gesellschaft","menschen","gesellschaft","unserer","gesellschaft","menschen","gesellschaft","gesellschaft","gesellschaft","gesellschaft","menschen","menschen","menschen","unsere","unsere","unsere","unsere","menschen","menschen","menschen","menschen","menschen","unsere","menschen","probleme","unsere","unsere","müssen","müssen","müssen","müssen","müssen","müssen","entwicklung","enquetekommission","entwicklung","müssen","müssen","technikfolgenabschätzung","müssen","bedeutung","entwicklung","entwicklung","müssen","entwicklung","müssen","ländern","bereich","tourismus","bereich","tourismus","bereich","bereich","entwicklung","umweltbildung","förderung","müssen","enquetekommission","bereich","entwicklung","bereich","globalisierung","tourismus","entwicklung","entwicklung","bereich","länder","entwicklung","partnerschaften","entwicklung","bereich","entwicklung","bereich","entwicklung","müssen","nachhaltige","entwicklung","zusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","tourismus","afrika","entwicklungszusammenarbeit","nachhaltige","nachhaltige","deg","entwicklung","entwicklung","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","tourismus","entwicklungszusammenarbeit","globalen","afrika","entwicklungszusammenarbeit"
"3","demokratie","politischen","menschen","deutschen","menschen","staat","volkes","unserer","volkes","volkes","volkes","unserer","volk","unserer","aufgabe","unsere","unsere","unseres","unseres","unsere","unseres","menschen","unsere","unseres","unsere","politischen","unsere","politische","menschen","politischen","menschen","gesellschaft","unserer","menschen","menschen","unsere","menschen","unsere","staat","menschen","gesellschaft","unsere","gesellschaft","menschen","menschen","menschen","müssen","unsere","unsere","müssen","müssen","müssen","unserer","unserer","unserer","müssen","müssen","probleme","aufgabe","probleme","unserer","bereich","menschen","bereich","unserer","unserer","unserer","unsere","müssen","unserer","müssen","aufgabe","neuen","aufgabe","neuen","bereich","bereich","neue","bereich","müssen","öffentlichen","entwicklung","bedeutung","aufgaben","bereich","bereich","rahmenbedingungen","bereich","tourismus","bereich","globalisierung","entwicklung","bereich","enquetekommission","beispiel","antrag","müssen","bereich","müssen","müssen","wichtig","müssen","wichtig","tourismus","bereich","beirat","wichtig","entwicklungszusammenarbeit","zusammenarbeit","entwicklungspolitik","tourismus","antrag","antrag","entwicklungspolitik","nachhaltige","afrika","entwicklungszusammenarbeit","palmöl","entwicklungszusammenarbeit","entwicklungspolitik","entwicklung","müller","nachhaltigkeit","indien","globalen","entwicklungszusammenarbeit","globalen","welt"
"4","politischen","staat","unserer","volk","volkes","unserer","volk","menschen","unseres","politischen","unserer","volkes","unsere","menschen","unserer","volk","unseres","unsere","unserer","aufgabe","unsere","unsere","gesellschaft","politik","unseres","menschen","staat","unseres","unsere","gesellschaft","politischen","demokratie","aufgabe","heute","unsere","unseres","staat","staat","menschen","unsere","verantwortung","gesellschaft","mehr","gesellschaft","mehr","müssen","unseres","müssen","gesellschaft","unsere","gesellschaft","unsere","menschen","unsere","müssen","probleme","unserer","unsere","probleme","aufgabe","bereich","unserer","entwicklung","bedeutung","unsere","zukunft","unsere","unserer","forschung","technikfolgenabschätzung","aufgabe","aufgaben","strukturen","aufgaben","strukturen","bedeutung","müssen","aufgabe","förderung","neue","müssen","müssen","neuen","enquetekommission","enquetekommission","neue","neue","müssen","müssen","müssen","entwicklung","engagement","müssen","wichtige","wichtig","wichtig","entwicklung","tourismus","bereich","wichtig","unsere","wichtig","zusammenarbeit","bereich","budgethilfe","zusammenarbeit","bereich","entwicklungsländern","wasser","entwicklungsländern","wasser","bmz","zusammenarbeit","ländlichen","entwicklungspolitik","welt","entwicklungspolitik","zusammenarbeit","zusammenarbeit","zusammenarbeit","entwicklungspolitik","entwicklung","tourismus","afrika","who","welt","welt","hunger"
"5","unserer","menschen","staat","unsere","deutschen","demokratie","staat","volk","menschen","menschen","freiheit","freiheit","vergangenheit","aufgabe","freiheit","aufgabe","unserer","unserer","deutschen","unseres","volkes","freiheit","volkes","politischen","menschen","unseres","unseres","unsere","politischen","demokratie","unseres","probleme","unseres","reformen","unseres","immer","unsere","menschen","unsere","staat","staat","bürger","unsere","aufgaben","unseres","unseres","menschen","gesellschaft","müssen","aufgabe","unsere","gesellschaft","bürger","probleme","menschen","aufgabe","aufgabe","gesellschaft","unsere","entwicklung","probleme","aufgabe","unserer","müssen","aufgabe","bereich","zukunft","zukunft","bereich","dara","enquetekommission","strukturen","ländern","ländern","aufgabe","ländern","rahmenbedingungen","ländern","müssen","verwaltung","bereich","neuen","neue","müssen","gesellschaft","müssen","bereich","nachhaltigkeit","zentren","chancen","rahmenbedingungen","bereich","gesellschaft","müssen","bereich","müssen","antrag","nachhaltige","gemeinsam","nachhaltige","entwicklung","bereich","unsere","entwicklungsländern","nachhaltige","bedeutung","herausforderungen","nachhaltige","nachhaltigkeit","zusammenarbeit","zusammenarbeit","entwicklungsländern","ländlichen","menschen","afrika","entwicklungszusammenarbeit","globalen","nachhaltige","wirtschaftliche","wirtschaftliche","müller","entwicklungspolitik","menschenrechte","welt","globale","lieferkettengesetz","lieferkettengesetz","entwicklungspolitik"
"6","volkes","volkes","demokratie","unserer","staat","deutschen","menschen","unsere","volk","staat","unsere","staat","menschen","staat","staat","volkes","kräfte","aufgabe","staates","freiheit","menschen","staat","unseres","staat","staat","grossen","gesellschaft","menschen","unseres","unseres","leben","müssen","unsere","bürger","aufgabe","zukunft","unseres","freiheit","gesellschaftlichen","verantwortung","unsere","unseres","aufgaben","unseres","aufgaben","aufgabe","immer","unseres","probleme","bürger","aufgabe","aufgabe","aufgabe","aufgabe","gerade","menschen","deshalb","mehr","neuen","unsere","chancen","menschen","probleme","aufgabe","bereich","aufgabe","bereich","bereich","unserer","projekte","aufgaben","ländern","aufgabe","bedeutung","ländern","aufgaben","bedeutung","müssen","neuen","bedeutung","verwaltung","rahmenbedingungen","strukturen","förderung","nachhaltige","aufgaben","entwicklung","neue","rahmenbedingungen","beispiel","enquetekommission","müssen","fördern","rahmenbedingungen","wichtige","wichtige","ländern","wichtig","antrag","unsere","bedeutung","unsere","herausforderungen","wichtig","wichtig","müssen","müssen","niebel","müssen","bmz","antrag","menschen","meeresforschung","nachhaltigkeit","nachhaltigkeit","nachhaltigkeit","nachhaltigkeit","weltweit","weltweit","tourismus","zusammenarbeit","welt","tourismusstrategie","müller","entwicklungsländern","müller","entwicklungszusammenarbeit","weltweit"
"7","menschen","demokratie","volkes","staat","volk","volkes","freiheit","volkes","freiheit","volk","volk","unseres","welt","politik","deutschen","freunde","staat","menschen","freiheit","staat","staat","verantwortung","politischen","menschen","volkes","politik","politischen","demokratie","staat","unsere","müssen","heute","müssen","aufgabe","freiheit","fortschritt","freiheit","unseres","aufgabe","bürger","herren","aufgabe","freiheit","verantwortung","politik","immer","dabei","mehr","unseres","gesellschaft","zukunft","oft","probleme","bürger","aufgabe","gesellschaft","menschen","menschen","gesellschaft","neue","menschen","probleme","unsere","tourismus","zukunft","unsere","aufgabe","aufgabe","neue","aufgabe","unsere","bereich","bereich","bereich","bereich","aufgabe","aufgaben","bedeutung","ländern","aufgaben","neue","aufgaben","ländern","bedeutung","müssen","länder","bedeutung","tourismus","aufgaben","bedeutung","förderung","bericht","wichtig","wichtig","müssen","chancen","wichtige","antrag","wichtige","beispiel","zusammenarbeit","bedeutung","bedeutung","herausforderungen","zusammenarbeit","herausforderungen","entwicklungspolitik","nachhaltigkeit","herausforderungen","niebel","kinderarbeit","entwicklungspolitik","entwicklungspolitik","entwicklungszusammenarbeit","weltweit","weltweit","fluchtursachen","welt","entwicklungspolitik","nachhaltigkeit","global","minister","eritrea","weltweit","welt","nachhaltigkeit","menschenrechte","globale"
"8","immer","opposition","deutschen","volkes","unserer","unsere","partei","partei","staat","unseres","partei","partei","staat","unsere","unsere","unserer","volkes","politischen","unsere","politischen","aufgabe","not","staat","heute","politik","heute","generation","gesellschaft","aufgabe","politische","unsere","unsere","freiheit","freiheit","mehr","bürger","bürger","mehr","bürger","müssen","damen","damen","unseres","aufgabe","gesellschaft","unserem","probleme","immer","deshalb","mehr","politik","mehr","mehr","gesellschaft","gesellschaft","aufgaben","ziel","aufgabe","bereich","gesellschaft","aufgabe","neue","aufgaben","unserer","entwicklung","entwicklungen","zusammenarbeit","forschung","unsere","zusammenarbeit","zukunft","bedeutung","aufgaben","unserer","neue","neue","neuen","neuen","zukunft","unsere","ländern","unsere","öffentlichen","rahmenbedingungen","unserer","öffentlichen","unserer","nachhaltige","wichtig","bericht","müssen","gesellschaft","unserer","länder","länder","beispiel","wichtig","länder","wichtiger","länder","herausforderungen","länder","entwicklung","ländern","unsere","wichtig","unsere","wirtschaftliche","engagement","kinderarbeit","entwicklungsländern","zusammenarbeit","entwicklungszusammenarbeit","müssen","ländlichen","armut","müssen","ländlichen","welt","welt","globalen","bmz","welt","kinderarbeit","lieferkettengesetz","weltweit","globale","afrika"
"9","heute","unsere","aufgabe","demokratie","unsere","freiheit","aufgabe","verantwortung","partei","deutschen","demokratie","menschen","deutschen","volk","volk","unseres","freunde","staates","politik","verantwortung","volk","volkes","politik","politische","politischen","staat","ordnung","staat","leben","staat","probleme","aufgabe","probleme","damen","bürger","gesellschaft","aufgabe","aufgabe","heute","aufgaben","probleme","probleme","damen","staat","unseren","deshalb","politik","aufgabe","entwicklung","deshalb","bürger","bürger","entwicklung","entwicklung","unseren","deshalb","bereich","entwicklung","herren","gentechnologie","unsere","gesellschaft","herren","zukunft","gentechnologie","gesellschaft","gesellschaft","aufgaben","stärker","raumfahrt","unserer","unserer","unsere","unsere","förderung","rahmenbedingungen","förderung","aufgaben","bedeutung","aufgabe","aufgaben","bedeutung","rahmenbedingungen","wichtig","sozialen","unserer","aufgaben","engagement","beispiel","neue","chancen","nachhaltige","wichtige","förderung","rahmenbedingungen","länder","beispiel","müssen","entwicklung","herausforderungen","wichtige","entwicklungsländer","thema","unsere","tourismus","länder","entwicklungszusammenarbeit","mittel","tab","wirtschaftliche","ländlichen","niebel","technologien","herausforderungen","zusammenarbeit","menschen","ziele","globalen","fluchtursachen","müller","bmz","äthiopien","entwicklung","entwicklung","hunger","staaten","staaten","krisen"
"10","unsere","aufgabe","opposition","immer","demokratischen","volk","unsere","unseres","unsere","unsere","unseres","deutschen","partei","unseres","kräfte","freiheit","volk","volkes","aufgabe","aufgaben","heute","volk","menschen","volkes","volk","politische","leben","grossen","grossen","generation","freiheit","mehr","mehr","herren","entwicklung","müssen","mehr","bürger","entwicklung","heute","unseres","mehr","müssen","bürger","entwicklung","verantwortung","aufgabe","deshalb","politik","gilt","dabei","probleme","zukunft","mehr","deshalb","grosse","brauchen","deshalb","chance","chancen","neue","unsere","aufgabe","fremdenverkehr","menschen","enquetekommission","aufgaben","enquetekommission","aufgabe","bereich","ländern","neuen","bedeutung","besonders","rahmenbedingungen","förderung","mittel","strukturen","aufgabe","neuen","staat","strukturen","mehr","neue","unsere","enquetekommission","beispiel","förderung","enquetekommission","ressourcen","wichtig","sozialen","förderung","bedeutung","ländern","rahmenbedingungen","herausforderungen","bedeutung","zusammenarbeit","nachhaltigkeit","thema","wichtige","wichtige","länder","herausforderungen","nachhaltigkeit","thema","müssen","entwicklungsländern","herausforderungen","menschen","ländlichen","entwicklungsländern","tourismus","entwicklungsländern","zusammenarbeit","afrika","müssen","bmz","aktionsplan","weltweit","weltweit","nachhaltige","globalen","gesundheit","hunger","indigene","bmz"
