"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","logemann","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","ertl","landwirtschaft","landwirtschaft","gallus","gallus","landwirtschaft","gallus","gemeinschaft","landwirtschaft","landwirtschaft","europäischen","landwirtschaft","gemeinschaft","landwirtschaft","europäischen","landwirtschaft","europäischen","landwirtschaft","europäischen","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","ländlichen","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft"
"2","preise","milch","einfuhr","ernährung","pf","ernährung","grünen","horlacher","grünen","grünen","grünen","preise","grünen","grünen","schwarz","grünen","verbraucher","landwirtschaftlichen","ernährung","grünen","ernährung","forsten","forsten","ernährung","höcherl","höcherl","höcherl","höcherl","forsten","forsten","forsten","forsten","forsten","ernährung","forsten","forsten","forsten","ernährung","ernährung","forsten","forsten","agrarpolitik","landwirtschaft","agrarpolitik","landwirtschaftlichen","ertl","gallus","agrarpolitik","betriebe","landwirtschaft","gallus","gemeinschaft","landwirtschaft","landwirtschaft","gallus","europäischen","europäischen","gemeinschaft","gemeinschaft","gemeinschaft","bauern","landwirtschaft","bauern","gemeinschaft","bauern","landwirtschaft","europäischen","landwirtschaft","betriebe","europäischen","betriebe","bauern","gatt","landwirte","rohstoffe","bauern","borchert","landwirte","bauern","bauern","bauern","landwirte","borchert","borchert","agrarpolitik","bauern","agenda","tierschutz","bauern","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","landwirte","landwirte","künast","verbraucher","verbraucher","ländlichen","verbraucher","landwirtschaft","ernährung","landwirtschaft","gentechnik","verbraucherschutz","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","ernährung","verbraucher","ernährung","verbraucher","glyphosat","ernährung","ernährung","tiere","landwirte","ländlichen","wald","landwirte","landwirte","landwirte","landwirte"
"3","einfuhr","ernährung","getreide","verbraucher","milch","verbraucher","bericht","grünen","kriedemann","landwirtschaftlichen","landwirtschaftlichen","butter","betriebe","agrarpolitik","ernährung","agrarpolitik","ernährung","grünen","schwarz","schwarz","forsten","ernährung","ernährung","forsten","forsten","ernährung","forsten","forsten","ernährung","ernährung","ernährung","ernährung","ernährung","forsten","ernährung","ernährung","ernährung","forsten","forsten","ertl","ernährung","logemann","landschaftspflege","ertl","gallus","gallus","eg","ertl","landwirte","eg","eg","agrarpolitik","europäischen","schmitz","europäischen","landwirtschaft","landwirtschaft","europäischen","bauern","landwirtschaft","eg","europäischen","betriebe","europäische","eg","gemeinschaft","bauern","eg","bauern","bauern","eg","eg","bauern","kiechle","nachwachsenden","landwirte","forsten","bauern","borchert","borchert","landwirte","agrarpolitik","tierschutz","betriebe","bauern","agenda","bauern","ernährung","landwirte","bauern","künast","künast","landwirte","verbraucher","ernährung","künast","verbraucherschutz","landwirtschaft","reach","verbraucherschutz","verbraucher","seehofer","seehofer","seehofer","verbraucherinnen","gentechnisch","verbraucher","verbraucherinnen","verbraucherinnen","verbraucherschutz","verbraucherinnen","aigner","verbraucherinnen","gentechnisch","ernährung","verbraucher","ernährung","verbraucher","gentechnik","essen","ernährung","tiere","lebensmittel","bauern","wasser","wald","naturschutz","ernährung"
"4","ernährung","forsten","landwirtschaftlichen","ernährungsausschuss","mineralölwirtschaft","grünen","landarbeiter","bauern","ha","betriebe","betriebe","schwarz","landwirtschaftlichen","landwirtschaftlichen","betriebe","landwirtschaftlichen","schwarz","schwarz","forsten","forsten","schwarz","schwarz","grünen","höcherl","ernährung","forsten","ernährung","ernährung","höcherl","ertl","logemann","logemann","logemann","logemann","logemann","logemann","ertl","logemann","ertl","ernährung","eigen","ertl","naturschutz","agrarbericht","rohr","betriebe","antarktis","eg","agrarpolitik","landwirtschaftlichen","lebensmitteln","bauern","gemeinschaft","gemeinschaftsaufgabe","agrarpolitik","eg","agrarpolitik","bauern","agrarpolitik","bauern","gemeinschaft","bauern","agrarpolitik","akte","agrarpolitik","bauern","gemeinschaft","gemeinschaft","eg","eg","flächen","betriebe","gattverhandlungen","betriebe","bauern","bäuerinnen","niedersachsen","gatt","agrarpolitik","landwirte","borchert","borchert","tiere","bauern","landwirte","tierschutz","landwirte","landwirtschaftlichen","agrarpolitik","künast","verbraucher","ernährung","bauern","bauern","künast","ernährung","künast","verbraucherschutz","verbraucherschutz","goldmann","seehofer","ernährung","ernährung","verbraucherschutz","gentechnik","ernährung","ernährung","verbraucherschutz","aigner","ernährung","verbraucherschutz","verbraucherinnen","produkte","verbraucher","tiere","glyphosat","ezigaretten","ernährung","tiere","lebensmittel","glyphosat","ländlichen","wolf","landwirte","bauern","bauern","bauern","lebensmittel"
"5","dm","verbraucher","marktordnung","zollsenkung","verbraucher","landwirtschaftlichen","landwirtschaftlichen","landwirtschaftlichen","betriebe","bauern","plan","verbraucher","kriedemann","betriebe","agrarpolitik","betriebe","abschöpfung","ernährung","schmidt","agrarpolitik","grünen","landwirtschaftlichen","landwirtschaftlichen","pf","grünen","ewg","agrarpolitik","agrarpolitik","bundesminister","agrarpolitik","ertl","ertl","ertl","ertl","ertl","ertl","logemann","ertl","agrarpolitik","agrarpolitik","logemann","ländlichen","landschaft","ländlichen","ernährung","landwirtschaftlichen","ernährung","landwirtschaftlichen","bauern","gemeinschaft","cadmium","europäischen","eg","eigen","gemeinschaft","ernährung","eg","agrarpolitik","betriebe","betriebe","europäischen","eg","landwirte","landwirtschaft","landwirte","eg","eg","bauern","europäischen","gemeinschaft","bauern","europäischen","agrarpolitik","agrarpolitik","agrarpolitik","ländlichen","ernährung","agrarpolitik","landwirte","agrarpolitik","ernährung","sielaff","agrarpolitik","agrarpolitik","sielaff","funke","agrarpolitik","bauern","funke","ernährung","bauern","verbraucher","ernährung","künast","landwirte","bauern","bauern","verbraucherpolitik","künast","seehofer","verbraucherschutz","verbraucherschutz","verbraucherschutz","goldmann","verbraucherschutz","pflanzen","aigner","aigner","verbraucherschutz","verbraucherinnen","aigner","verbraucherschutz","pflanzen","honig","tierschutz","lebensmittel","tierschutz","bauern","ländlichen","schulverpflegung","landwirte","bauern","glyphosat","bäuerinnen","düngeverordnung","ministerin","ministerin","bauern"
"6","verbraucher","erzeuger","bender","preise","landwirtschaftlichen","preise","plan","preise","bericht","agrarpolitik","agrarpolitik","marktordnung","agrarpolitik","plan","forsten","schwarz","forsten","agrarpolitik","gellersen","landwirtschaftlichen","schmidt","agrarpolitik","agrarpolitik","schmidt","landwirtschaftlichen","landwirtschaftlichen","landwirtschaftlichen","mansholt","minister","höcherl","landwirtschaftlichen","agrarpolitik","brüssel","landwirtschaftlichen","landwirte","molkereien","agrarpolitik","landwirtschaftlichen","logemann","logemann","rohr","ernährung","eigen","landwirtschaftlichen","wimmer","agrarpolitik","agrarpolitik","betriebe","gallus","gallus","gemeinschaft","eg","preispolitik","ernährung","eg","gemeinschaft","europäische","eg","europäischen","eg","agrarpolitik","europäische","eg","gallus","gemeinschaft","agrarpolitik","flächenstillegung","europäische","landwirte","betriebe","wein","lpg","eg","tiere","landwirte","landwirtschaftlichen","jochen","borchert","betriebe","landwirtschaftlichen","forsten","bauern","ernährung","landwirte","forstwirtschaft","agrarpolitik","funke","thalheim","ernährung","landwirte","landwirte","bauern","künast","ernährung","bauern","verbraucherschutz","verbraucher","ernährung","goldmann","ernährung","verbraucherinnen","goldmann","raum","verbraucher","seehofer","verbraucherschutz","verbraucherinnen","ernährung","lebensmittel","antibiotika","ernährung","ernährung","verbraucherschutz","gentechnik","verbraucherinnen","gentechnik","eshishas","milch","minister","bfr","bauern","betriebe","ernährung","klöckner","tiere","klöckner","insektenschutz","umwelt"
"7","forsten","horlacher","preise","forsten","erzeuger","kriedemann","verbraucher","betriebe","landwirtschaftlichen","kriedemann","bericht","einfuhr","bericht","pf","landwirtschaftlichen","bauern","erzeuger","bauern","ewgkommission","ernährung","brüssel","betriebe","höcherl","preis","agrarpolitik","logemann","minister","landwirtschaftlichen","peters","peters","brüssel","landwirte","landwirtschaftlichen","konservenindustrie","bauern","bundesminister","landwirtschaftlichen","weizen","agrarbericht","eigen","erzeugergemeinschaften","landwirtschaftlichen","italien","gallus","landwirte","antarktis","ländlichen","landwirte","ertl","landwirte","europäischen","gallus","stahlindustrie","ertl","landwirte","kommission","mitgliedstaaten","kiechle","eg","geldern","kiechle","landwirte","kiechle","eigen","europäischen","europäische","landwirte","europa","bäuerlichen","europäische","europäischen","agrarpolitik","entwicklungsländer","eg","kiechle","agrarpolitik","betriebe","bekleidungsindustrie","agrarreform","bäuerinnen","betriebe","kalb","bauern","ernährung","hektar","landwirte","betriebe","funke","ländlichen","agrarpolitik","ministerin","berninger","modulation","modulation","tierschutz","goldmann","lebensmittel","goldmann","verbraucherinnen","vogelgrippe","bauern","verbraucherinnen","räume","ländlichen","bauern","agrogentechnik","landwirte","holz","ernährung","aigner","betriebe","tiere","gentechnisch","lebensmittel","lebensmittel","tiere","tiere","rauchen","verbraucher","tiere","ländlichen","ernährung","bauern","ländlichen","tierwohl","ernährung","wald","flächen"
"8","preis","einfuhr","vorratsstelle","milch","preise","forsten","preise","dm","dm","alterskassen","lübke","erzeuger","plan","preise","einfuhr","plan","getreide","forsten","landwirtschaftlichen","bauern","agrarpolitik","ewg","schmidt","markt","betriebe","milch","milch","brüssel","butter","logemann","niegel","landwirtschaftlichen","preise","preise","brüssel","betriebe","agrarbericht","kiechle","ritz","ritz","agrarpolitik","forsten","natur","eg","forsten","eg","kommission","bauern","landwirtschaftlichen","betriebe","landwirte","ertl","preise","europäischen","betriebe","brüssel","landwirtschaftlichen","betriebe","europa","milch","gallus","agrarpolitik","gallus","agrarpolitik","betriebe","brüssel","agrarpolitik","binnenmarkt","gemeinschaft","landwirte","gemeinschaft","landwirtschaftlichen","kiechle","bauern","uruguayrunde","betriebe","sielaff","textil","jochen","sielaff","schleswigholstein","betriebe","betriebe","forsten","betriebe","tierschutzes","landwirtschaftlichen","forsten","betriebe","verbraucher","ernährung","getreide","verbraucher","agrarpolitik","goldmann","verbraucher","landwirten","ministerin","ministerin","virus","landwirte","tierschutz","happachkasan","produkte","goldmann","aigner","landwirtschaftlichen","ländlichen","produkte","tiere","nanotechnologie","tierschutz","umwelt","landwirte","bauern","gentechnisch","lebensmittel","minister","bauern","glyphosat","bienen","klöckner","ländliche","ministerin","ernährung","umwelt","umwelt","özdemir"
"9","pfennig","obst","verbraucher","linoleum","bauern","milch","betriebe","ernährung","preise","milch","subventionen","markt","preise","schwarz","bauern","bäuerlichen","agrarpolitik","struve","milch","betriebe","landwirtschaftlichen","grünen","brüssel","ertl","ewg","agrarpolitik","bauern","bundesminister","poppenbüll","brüssel","dasch","ritz","agrarpolitik","broschüre","ewg","trinkmilch","ländlichen","sauter","betriebe","landwirte","obst","flurbereinigung","ertl","betriebe","mitverantwortungsabgabe","ländlichen","butter","forstpolitik","eg","agrarpolitik","butter","landwirte","eigen","eg","brüssel","butter","markt","europa","kiechle","agrarpolitik","betriebe","spanien","landwirtschaftlichen","eg","kiechle","europa","betriebe","agrarpolitik","agrarpolitik","landwirtschaftlichen","landwirtschaftlichen","lpgen","ernährung","reform","gatt","borchert","flankierenden","bäuerinnen","brüssel","ernährung","landwirtschaftlichen","ernährung","landwirtschaftlichen","agenda","agenda","ländlichen","thalheim","landwirte","pfennig","ministerin","ländlichen","ministerin","carstensen","verbraucherpolitik","verbraucher","ministerin","ernährung","freilandhaltung","ernährung","verbraucherinnen","goldmann","rauchen","landwirte","spielzeug","happachkasan","mon","agrarpolitik","agrarpolitik","lebensmitteln","ländlichen","antibiotika","lebensmittel","honig","pollen","agrarpolitik","landwirte","landwirte","schmidt","landwirte","verbraucher","verbraucher","wolf","wasser","wolf","fleisch","lebensmittel","insekten","betriebe"
"10","regierung","milchwirtschaft","vorratsstellen","pächter","forsten","bauern","grüne","kriedemann","subventionen","logemann","mittel","landwirtschaftlichen","roggen","bauern","markt","pf","schmidt","preise","preise","schmidt","hüttebräuker","hüttebräuker","betriebe","preise","markt","mansholt","logemann","grünen","landwirtschaftlichen","ritz","ausgleich","bauern","landwirte","bundesminister","landwirtschaftlichen","wurden","betriebe","getreide","landwirte","bauern","eg","eigen","naturschutzes","landwirte","peters","agrarbericht","landwirtschaftlichen","gemeinschaft","kiechle","bundesminister","kiechle","einkommen","mitgliedstaaten","forsten","einkommen","ertl","brüssel","europäische","landwirte","europa","bäuerlichen","europa","europäischen","bauern","europäische","eigen","brüssel","betriebe","kommission","eigen","eigen","landwirte","forsten","tierschutz","flächen","sielaff","schweinepest","betriebe","forsten","forsten","milch","forsten","landwirte","jochen","ernährung","landwirtschaftlichen","ernährung","gemeinschaftsaufgabe","gemeinschaftsaufgabe","landwirtschaftlichen","modulation","malchin","matthias","berninger","landwirtschaftlichen","betriebe","goldmann","tierversuche","verbraucherpolitik","höhn","raum","höhn","verbraucher","gentechnik","gentechnisch","ländlichen","ländlichen","verbraucherpolitik","betriebe","lebensmittel","produkte","tierhaltung","glyphosat","verbraucherinnen","betriebe","bauern","betriebe","ländlichen","lebensmittel","zulassung","lebensmittel","ministerin","essen","hektar","landwirten","landwirten","hektar","fischerei"
