"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","millionen","jahre","milliarden","seeschiffahrt","dm","maßnahmen","entwicklung","entwicklung","maßnahmen","entwicklungshilfe","maßnahmen","maßnahmen","maßnahmen","maßnahmen","strukturpolitik","förderung","entwicklungspolitik","unternehmen","unternehmen","granitindustrie","preisbindung","wirtschaft","wirtschaft","wirtschaft","energieprogramm","kernenergie","forschung","kernenergie","forschung","forschung","kernenergie","kernenergie","kohle","kohle","kernenergie","kernenergie","forschung","kernenergie","forschung","kommission","mikroelektronik","kohle","forschung","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","forschung","tschernobyl","kernenergie","großforschungseinrichtungen","forschung","forschung","kernenergie","forschung","kernenergie","raumfahrtindustrie","tschernobyl","energien","kernenergie","energien","merkel","ausstieg","ukraine","energien","kernenergie","transporte","energien","energien","energien","energien","energien","de","energien","energien","energien","energien","energien","energien","energien","energien","asse","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","energien","energiewende","energiewende","energiewende","energiewende","energiewende","energiewende","erneuerbaren","erneuerbaren","energien","energien","energien"
"2","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","bauwirtschaft","millionen","millionen","millionen","millionen","millionen","millionen","dm","dm","dm","dm","entwicklung","dm","maßnahmen","entwicklungshilfe","investitionen","entwicklungsländern","investitionen","entwicklung","entwicklung","entwicklung","zonenrandgebiet","zonenrandgebiet","entwicklungshilfe","förderung","förderung","förderung","unternehmen","heizöl","grüner","energieversorgung","kohle","kohle","unternehmen","forschung","kernenergie","energiepolitik","energiepolitik","energiepolitik","kernenergie","kernenergie","kohle","enquetekommission","technologie","enquetekommission","stahl","kohle","snr","riesenhuber","technologie","kohle","kernenergie","forschung","forschung","tschernobyl","kohle","kohle","tschernobyl","energien","kernenergie","kernenergie","kernenergie","kernenergie","energiepolitik","energien","gentechnik","gentechnik","forschung","energien","energien","luft","kernenergie","stromeinspeisungsgesetz","gorleben","nordrheinwestfalen","kernenergie","kernenergie","kernenergie","kernenergie","trittin","trittin","kernenergie","energiepolitik","erneuerbaren","erneuerbaren","erneuerbaren","energien","erneuerbaren","steinkohle","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","wettbewerb","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","energien","energien","energiewende","energien","erneuerbaren","erneuerbaren","energien","energien","siemens","erneuerbaren","energien","energien","energien","erneuerbaren","strom","erneuerbaren"
"3","milliarden","milliarden","mittel","milliarden","milliarden","milliarden","milliarden","milliarden","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","jahr","jahr","millionen","millionen","jahre","investitionen","entwicklung","milliarden","maßnahmen","entwicklung","entwicklungspolitik","industrie","investitionen","arbeitsplätze","förderung","förderung","regionalen","entwicklungsländern","mittlere","sports","insgesamt","entwicklungshilfe","energieversorgung","verbraucher","kohle","programm","energie","technologie","energiepolitik","energiepolitik","unternehmen","unternehmen","kohle","energiepolitik","forschung","forschung","energiepolitik","energieforschung","energiepolitik","technologie","snr","forschung","forschung","mikroelektronik","energiepolitik","wiederaufarbeitung","brüter","tschernobyl","wallmann","tschernobyl","steinkohle","brüter","kohle","kohle","technologie","energien","energiepolitik","tschernobyl","forschung","energieversorgung","technologie","braunkohle","kernenergie","forschung","morsleben","morsleben","windenergie","energien","kernenergie","transporte","trittin","ausstieg","ausstieg","energien","gorleben","energiepolitik","grill","eeg","eeg","eeg","dat","energiepolitik","erneuerbaren","sellafield","energiepolitik","wettbewerb","kernenergie","erneuerbaren","strom","erneuerbaren","strom","fotovoltaik","laufzeitverlängerung","japan","energiewende","erneuerbaren","erneuerbaren","gorleben","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energien","erneuerbaren","mieterstrom","energien","energien","erneuerbaren","energiewende","energiewende","energiewende","erneuerbaren","gas"
"4","bundesregierung","mittel","bundesregierung","rund","maßnahmen","länder","jahr","jahr","jahr","millionen","jahr","jahre","jahr","jahr","maßnahmen","milliarden","rund","jahr","jahre","maßnahmen","millionen","millionen","investitionen","milliarden","wirtschaft","maßnahmen","wirtschaft","arbeitsplätze","dm","gebieten","strukturbericht","maßnahmen","entwicklungsländer","wirtschaft","regionalen","bord","wettbewerb","kohle","unternehmen","energieprogramm","wirtschaft","energiepolitik","forschungspolitik","energie","kohle","fortschreibung","kohle","forschung","energie","energiepolitik","energiepolitik","fernwärme","stahl","entsorgung","enquetekommission","kohlepolitik","technologie","kommission","großforschungseinrichtungen","steinkohle","technologie","wiederaufarbeitungsanlage","technologie","cattenom","steinkohle","entsorgung","kernkraftwerke","energiepolitik","riesenhuber","riesenhuber","wasserstoff","steinkohle","energieversorgung","riesenhuber","kernenergie","industrie","steinkohle","steinkohle","nutzung","dasa","endlager","stromeinspeisungsgesetzes","transporte","grill","atomenergie","energien","stadtwerke","energiepolitik","energiepolitik","kernenergie","ausstieg","hirche","strom","bergbau","energiepolitik","erneuerbaren","regulierungsbehörde","regulierungsbehörde","kernenergie","ministererlaubnis","gabriel","klimaschutz","strom","kraftwärmekopplung","strom","biogas","gorleben","energiekonzept","kernenergie","energieeffizienz","strom","eegumlage","altmaier","eeg","energieeffizienz","kwk","strom","strom","endlager","erneuerbaren","erneuerbaren","strom","gas","strom","wasserstoff","nord","energiewende","ausbau"
"5","rund","jahre","milliarden","jahr","mittel","rund","rund","jahre","zahlen","winter","zonenrandgebiet","rund","entwicklung","maßnahmen","jahr","jahre","milliarden","milliarden","investitionen","investitionen","maßnahmen","förderung","jahre","wirtschaft","milliarden","investitionen","entwicklung","förderung","rund","regionalen","regionalen","gebieten","kiep","mittleren","wirtschaft","wirtschaft","marktwirtschaft","grüner","wettbewerb","energie","fortschreibung","tonnen","forschungs","technologie","energie","energie","wolfram","grundlagenforschung","forschung","öl","laermann","forschung","kernenergie","fortschreibung","schnellen","steinkohle","riesenhuber","wolfram","steger","energieversorgung","technologien","kohle","riesenhuber","brokdorf","nutzung","transnuklear","gutachten","technologie","berlin","gentechnik","forschungs","gentechnik","steinkohle","elektrofahrzeugen","brunsbüttel","hoechst","morsleben","technologie","kohle","kernenergie","sachsenanhalt","forschung","energiepolitik","strom","entsorgung","energiepolitik","energien","erneuerbaren","transporte","atomenergie","grill","enquetekommission","verbändevereinbarung","erneuerbare","photovoltaik","un","kernenergie","energie","energiepolitik","energie","bundesnetzagentur","kohle","preise","energie","energie","wettbewerb","röttgen","erneuerbare","strom","röttgen","röttgen","altmaier","erneuerbaren","strom","eeg","krischer","energieeffizienz","eeg","gorleben","strom","kohle","ausbau","strom","wasserstoff","strom","strom","kohleausstieg","energieversorgung"
"6","mittel","etwa","länder","jahre","bundesregierung","bundesregierung","jahre","länder","jahre","jahre","jahre","jahr","jahren","jahre","gewerblichen","jahren","jahre","steigerung","jahr","millionen","jahre","jahren","rund","entwicklungspolitik","industrie","milliarden","dm","entwicklungshilfe","gebiete","investitionen","wirtschaft","entwicklung","eppler","maßnahmen","förderungsmaßnahmen","finanzen","verbraucher","friderichs","bundeskartellamt","russe","energiepolitik","russe","forschungsförderung","kohle","unternehmen","kohle","energie","energie","energieversorgung","nutzung","niedersachsen","programm","forschungs","forschung","kernenergie","brüter","schnellen","kernenergie","riesenhuber","wolfram","technik","technologie","kernkraftwerke","kernkraftwerke","konsens","töpfer","kalkar","forschung","töpfer","nutzung","nutzung","forschung","töpfer","mosdorf","technologie","vosen","energiepolitik","energiepolitik","energiepolitik","raumfahrt","energien","erneuerbare","energieversorgung","ahaus","atomwirtschaft","wiederaufbereitung","strom","kraftwärmekopplung","morsleben","castortransporte","erneuerbaren","hustedt","verbändevereinbarungen","steinkohle","erneuerbare","ok","erneuerbare","kernenergie","energieeffizienz","kernenergie","endlager","energieeffizienz","verbraucher","prozent","gorleben","erneuerbare","erneuerbare","röttgen","ccs","energie","photovoltaik","strom","solarindustrie","industrie","strom","netze","kwk","ausbau","endlagerung","tihange","ausstieg","wald","nord","gas","eeg","wasserstoff","ausbau","energie"
"7","länder","rund","rund","höhe","jahre","jahr","zahlen","zahlen","etwa","jahr","maßnahmen","maßnahmen","rund","entwicklung","rund","entwicklung","steigerung","jahren","jahren","handelsflotte","milliarden","wirtschaft","preise","investitionen","dm","entwicklung","entwicklungshilfe","gebieten","regionalen","entwicklungshilfe","entwicklungsländer","bundesregierung","wirtschaftliche","unternehmer","mittleren","ereignis","wirtschaft","arbeitsplätze","industrie","kernenergie","unternehmen","steinkohle","energie","nutzung","technologie","forschungs","forschung","öl","steinkohle","kommission","energie","riesenhuber","programm","kernkraftwerke","brüter","kernenergie","steger","technik","forschungs","forschung","gentechnologie","schnellen","nutzung","kohle","energiepolitik","nutzung","töpfer","nutzung","senat","energien","grundlagenforschung","energien","kozloduj","wissenschaftler","risse","kernenergie","technologie","artikelgesetz","energieversorgung","endlager","abfälle","regenerativen","entsorgung","morsleben","grill","atomenergie","trittin","strom","atommüll","ausstieg","anlagen","erneuerbaren","biomasse","hustedt","energieversorgung","wi","wettbewerb","energieforschung","atomenergie","energiegipfel","strom","wettbewerb","erneuerbare","verbraucher","kernenergie","energie","kernenergie","strom","erneuerbare","gorleben","energieeffizienz","eeg","strom","eegumlage","kohle","energieeffizienz","wärme","stahlindustrie","euratom","netzentgelte","görlitz","erneuerbare","stream ","nord","eegumlage","stream ","wasserstoff","strom"
"8","wirtschaft","länder","jahre","bundesregierung","jahr","maßnahmen","jahres","rund","rund","etwa","entwicklung","entwicklung","zahlen","investitionen","entwicklung","gestiegen","jahren","investitionen","entwicklung","milliarden","jahren","milliarden","industrie","industrie","anteil","jahren","anteil","milliarden","regionale","arbeitsplätze","maßnahmen","bund","zonenrandgebiet","investitionen","mittlere","ostbayerischen","regionalen","verbraucher","internationalen","programm","arbeitsplätze","wolfram","wettbewerb","matthöfer","energiepolitischen","kernenergie","brüter","technologie","nutzung","forschungs","brokdorf","förderung","bugl","kohle","projekt","inbetriebnahme","inbetriebnahme","steinkohle","technik","nutzung","nutzung","nutzung","ausstieg","energiepolitik","kernkraftwerke","energiepolitik","snr","wackersdorf","energiepolitik","gentechnologie","energieversorgung","gentechnologie","greifswald","kernenergie","kernkraftwerke","gentechnikgesetzes","kohle","kohle","mochovce","forschung","stoffe","erneuerbaren","morsleben","schütz","ausstieg","energieversorgung","kraftwärmekopplung","grill","kraftwärmekopplung","zwischenlager","trittin","kernenergie","energiepolitik","müller","kernenergie","eeg","energie","erneuerbare","energie","fell","gorleben","strom","energie","erneuerbare","atomenergie","ccs","eeg","brennelementesteuer","ausstieg","strom","asse","cent","eeg","energieeffizienz","krischer","stadtwerke","energie","tschernobyl","atomenergie","energiepolitik","energie","akzeptanz","versorgungssicherheit","kohleausstieg","kohleausstieg","gas","energie","fossilen"
"9","höhe","zahlen","etwa","etwa","investitionen","jahre","mittel","mittel","gestiegen","rund","steigerung","etwa","maßnahmen","jahren","steigerung","steigerung","maßnahmen","gestiegen","zahlen","reedereien","jahr","jahre","gestiegen","entwicklungsländern","jahren","industrie","jährlich","regionalen","gebieten","wirtschaftliche","investitionen","unternehmen","förderung","betriebe","steigerung","sprunghaft","strukturpolitik","energieprogramm","preise","steinkohle","wirtschaftsausschuß","unternehmen","technologien","bundesregierung","bergbau","technologie","fortschreibung","landesregierung","förderung","laermann","öl","kernkraftwerke","kalkar","großforschungseinrichtungen","industrie","wolfram","enquetekommission","technologie","technologien","braunkohle","forschungs","wiederaufarbeitung","sicherheit","ausstieg","energieversorgung","gorleben","energien","riesenhuber","steinkohle","energie","faktenbericht","energiepolitischen","energie","technologie","gentechnikgesetz","grundlagenforschung","raumfahrt","forschungspolitik","stromeinspeisungsgesetz","energien","gorleben","strom","hague","landesregierung","müller","wiederaufarbeitung","tschernobyl","energieversorgung","gorleben","endlager","energiebericht","eeg","monopolkommission","subventionen","biomasse","nich","hustedt","wettbewerb","kernkraftwerke","biokraftstoffe","verbraucher","erneuerbare","prozent","klimaschutz","erneuerbare","energieeffizienz","strom","gorleben","kernkraftwerke","ausbau","energie","ausbau","netzausbau","energie","energie","strom","klimaschutz","fukushima","euratomvertrag","anlagen","arbeitsplätze","windenergie","kohleausstieg","windenergie","ausbau","energie","erneuerbare","öl"
"10","jahre","höhe","jahr","mittel","entwicklung","programm","länder","wirtschaft","wirtschaft","bauarbeiter","zonenrandgebieten","je","etwa","rund","jahren","rund","entwicklung","rund","wirtschaft","jahr","rund","zahlen","jahr","jahren","kredite","wirtschaft","jahre","regionale","förderung","strukturpolitik","entwicklung","investitionen","privaten","mittelständische","privaten","verringert","entwicklungspolitik","energie","energie","wolfram","wolfram","energieversorgung","entwicklung","förderung","nutzung","bundesregierung","energieversorgung","heizöl","wolfram","energie","energieversorgung","ausbau","technologien","kernkraftwerken","thtr","forschung","nutzung","bergbau","industrie","gentechnologie","biotechnologie","energiepolitik","atomenergie","nutzung","gentechnologie","wiederaufarbeitung","daniels","biblis","forschungs","technik","technologie","technologie","kohle","umwelt","braunkohle","catenhusen","energien","braunkohle","atomenergie","technologie","technologie","plutonium","strom","merkel","umwelt","kernkraftwerke","anlagen","anlagen","ausstieg","atommüll","atomenergie","energieversorgung","anlagen","agentur","branche","för","strom","regulierung","energiemix","gabriel","fell","energie","klimaschutz","wettbewerb","atomkraft","energieversorgung","energie","energie","energiewende","kernenergie","kraftwärmekopplung","energie","endlager","netzausbau","gabriel","gabriel","kohle","erneuerbare","atomkraft","kohle","kernenergie","anlagen","energieversorgung","kohle","kohle","ausbau","energieversorgung","energiewende"
