"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","opposition","presse","bundeskanzler","demokratie","bundeskanzler","parteien","bundeskanzler","volksbefragung","bundeskanzler","bundeskanzler","bundeskanzler","parteien","bundeskanzler","partei","parteien","schloss","gewerkschaften","argoud","presse","parteien","äusseren","gemeinschaftswerk","grundgesetzes","parteien","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","shb","dkp","demokratie","partei","partei","partei","verfassung","partei","freiheit","freiheit","freiheit","freiheit","freiheit","demokratie","partei","freiheit","demokratie","bremen","bundeskanzler","partei","demonstration","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","demokratie","demokratie","parteien","demokratie","demokratie","demokratie","berlin","verfassung","berlin","gewalt","gewalt","verfassung","verfassung","demokratie","menschen","religionsunterricht","demokratie","ausstellung","demokratie","demokratie","demokratie","demokratie","christen","demokratie","islam","demokratie","gewalt","demokratie","juden","antisemitismus","opfer","ukraine","israel","ukraine","demokratie","rechtsextremismus","demokratie","demokratie","gysi","demokratie","demokratie","demokratie","demokratie","roma","rechtsextremismus","roma","beschneidung","demokratie","demokratie","roma","verfassungsschutz","sicherheitsbehörden","demokratie","religionsfreiheit","antisemitismus","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","demokratie","demokratie","herrn","minderheit","parlament","demokratie","demokratie","partei","demokratie","partei","adenauer","demokratie","partei","urteil","demokratie","partei","güde","staat","demokratischen","parteien","partei","schäfer","spd","grundgesetz","dorn","parteien","verfassung","parteien","parlament","benda","parlament","demokratischen","vds","demokratie","partei","demokratie","dkp","demokratie","demokratie","staat","demokratie","sozialismus","sozialismus","demokratie","demokratie","freiheit","demokratie","demokratie","partei","partei","partei","bundeskanzler","bundeskanzler","freiheit","partei","partei","neuwahlen","demokratie","israel","parteien","vogel","vogel","geschichte","geschichte","demokratie","bundeskanzler","politischen","geschichte","geschichte","parteien","geschichte","hauptstadt","demokratie","geschichte","demokratie","demokratie","demokratie","grundgesetz","gewalt","demokratie","brandenburg","menschen","gewalt","menschen","freiheit","berlin","bonn","demokratie","rechtsextremismus","demokratie","freiheit","demokratie","freiheit","jüdischen","juden","demokratie","npd","brandenburger","mauer","rechtsextremismus","demokratie","rechtsextremismus","gewalt","demokratie","juden","grundgesetz","parteien","gewalt","demokratie","demokratie","rechtsextremismus","wahlrecht","antisemitismus","verfassungsschutz","demokratie","israel","gewalt","völkermord","demokratie","demokratie","afd","afd","grundgesetz","meinungsfreiheit","afd","afd","afd","freiheit"
"3","herrn","parlament","demokratie","dänischen","bundeskanzler","parlament","politischen","politischen","partei","demokratie","demokratie","politischen","bundeskanzler","heinemann","bundeskanzler","bundeskanzler","jahn","notstand","mann","zeugnisverweigerungsrecht","parteiengesetz","alliierten","demokratie","parteien","alliierten","partei","dorn","auseinandersetzung","verfassung","parlamentarischen","politischen","parteien","demokratie","partei","demokratischen","wähler","demokratischen","verfassung","grundgesetz","demokratie","terroristen","partei","brandt","staat","partei","staat","kommunisten","partei","freiheit","verfassungsschutzbericht","generation","jungen","demonstrationen","partei","demokratischen","brandt","partei","parteien","parteien","demokratie","demokratie","brandt","demokratie","demokratie","gewalt","politischen","bundeskanzler","demokratie","parteien","geschichte","verfassung","entscheidung","menschen","demokratie","menschen","menschen","gewalt","menschen","menschen","geschichte","gewalt","gesellschaft","demokratie","freiheit","enquetekommission","freiheit","geschichte","freiheit","gewalt","gewalt","kampf","gesellschaft","menschen","deutschland","demokratie","geschichte","demokratie","tor","demokratie","muslime","npd","rassismus","rechtsextremismus","ddr","hdj","verfassung","spenden","religionsfreiheit","überhangmandate","verfassungsschutz","demokratie","rechtsextremismus","npd","polizei","verfassungsschutz","aufarbeitung","demokratie","sachsen","religion","npd","antisemitismus","chemnitz","afd","afd","opfer","rassismus","antisemitismus","afd"
"4","partei","partei","parlament","demokratie","parteien","partei","partei","herrn","bundeskanzler","volksbefragung","bundeskanzlers","partei","demokratie","demokratie","parteien","verfassung","partei","presse","rechtsstaat","journalisten","schmittvockenhausen","notstand","verantwortung","demokratie","demokratie","verfassung","parlament","npd","parlamentarischen","politische","politische","partei","demokratischen","demokratischen","staat","demokratischen","bundeskanzler","freiheit","freiheit","brandt","demokratischen","demokratie","partei","partei","staat","bundeskanzler","freiheit","staat","bundeskanzler","bundeskanzler","freiheit","staat","partei","demokratie","freiheit","neuwahlen","wähler","brandt","demokratie","partei","geschichte","kohl","parteien","vogel","geschichte","gewalt","demokratischen","partei","volk","demokratischen","parteien","demokratie","geschichte","verfassung","verfassung","geschichte","geschichte","demokratie","volk","freiheit","menschen","volk","wehrmacht","geschichte","demokratischen","geschichte","freiheit","menschen","npd","menschen","geschichte","antisemitismus","geschichte","opfer","jüdischen","bundespräsident","leitkultur","demokratie","islam","islamischen","islam","opfer","rassismus","npd","antisemitismus","freiheit","verfassung","christen","wahlrecht","gewalt","datei","rassismus","akten","untersuchungsausschuss","sinti","gewalt","verfassungsschutz","geschichte","gewalt","parteien","religionsfreiheit","stiftungen","verfassung","hass","hass","freiheit","meinungsfreiheit","rassismus"
"5","opposition","bundeskanzler","opposition","dänemark","weimarer","politischen","bundeskanzler","demokratie","verfassung","sozialdemokraten","partei","heuss","heinemann","bundesinnenminister","verfassung","demokratie","untersuchungsausschuss","demokratie","zeitung","staat","burgbacher","vorbehaltsrechte","heinemann","staatsvertrag","partei","demokratischen","parteien","politischen","grundgesetz","politischen","parlamentarischen","verfassung","wohlrabe","verfassung","grundordnung","freitag","demokratie","parteien","partei","terroristen","partei","kommunisten","demokratie","demokratischen","gewalt","partei","bundeskanzler","demokratischen","demokratischen","politischen","demokratischen","generation","brandt","politik","generation","demokratie","kohl","demokratischen","politischen","spenden","kohl","demokratischen","opfer","demokratischen","demokratischen","israel","geschichte","politischen","politischen","volk","volk","verfassung","berlin","politische","demonstration","volk","verfassungskommission","verfassungskommission","geschichte","verfassung","demokratie","geschichte","menschen","sekten","geschichte","einheit","deutschen","volk","menschen","geschichte","menschen","möllemann","gesellschaft","leben","geschichte","freiheit","integration","geschichte","freiheit","halberstadt","muslime","npd","npd","opfer","politische","grundgesetzes","stasi","polizei","religionsfreiheit","extremismus","nazis","npd","aufarbeitung","rechtsextremismus","sicherheitsbehörden","demokratie","opfer","gewalt","christen","partei","gewalt","parteien","gewalt","antisemitismus","partei","hass","freiheit","opfer"
"6","regierung","herr","parteien","herr","mehrheitswahlrecht","herrn","kühn","parlament","wahlen","adenauer","bundespräsidenten","amt","demokratischen","schröder","staat","politischen","minister","notstandes","herrn","demokratie","politischen","ablösung","professor","verfassungsänderung","wahlrecht","parlamentarischen","polizei","politische","regierung","parlament","reformen","benda","mützelburg","ordnung","kommunistischen","parlamentarischen","parteien","grundgesetz","parteien","demokratischen","kohl","staat","staat","verfassung","demokratischen","brandt","verfassung","bundeskanzler","demokratische","demokratischen","staat","demokratie","demonstranten","demonstration","gewalt","helmut","regierung","partei","partei","brandt","volk","partei","toten","helmut","politischen","geschichte","volk","bundeskanzler","bundeskanzler","menschen","menschen","bonn","volk","enquetekommission","volk","rechtsextremismus","menschen","gewalt","demokratischen","einheit","kirchen","freiheit","rechtsstaat","demokratischen","menschen","menschen","menschen","deutschen","geschichte","gesellschaft","gesellschaft","geschichte","deutschland","zentralrat","opfer","leben","menschen","opfer","partei","gewalt","toleranz","christen","opfer","elser","jüdischen","gewalt","freiheit","demonstrationen","christen","aufarbeitung","polizei","demokratie","rechtsextremismus","sicherheitsbehörden","rassismus","opfer","npd","versöhnung","rechtsextremismus","opfer","christen","religionsfreiheit","grundgesetzes","gewalt","rassismus","gewalt","sprache","hass"
"7","politischen","herrn","politischen","parlament","opposition","parlamentarischen","opposition","opposition","volk","herr","demokratischen","theodor","bundeskanzlers","partei","arndt","artikel","herrn","demokratischen","staat","freiheit","staat","demokratie","grundgesetzes","verfassung","parlamentarischen","demokratische","alliierten","partei","grundgesetzes","verfassung","freiheit","sozialismus","grundgesetzes","bürgermeister","politischen","politischen","verfassung","politischen","ministerpräsident","demokraten","staat","demokratischen","sozialdemokraten","dregger","bundeskanzler","demokratischen","brandt","geschichte","geschichte","grundordnung","demokratie","politischen","frieden","jungen","demokratie","kohl","koalition","freiheit","brandt","demokratischen","unserer","demokratie","politischen","politischen","volkes","politische","politische","menschen","menschen","partei","grundgesetz","stadt","parteien","entscheidung","geschichte","politischen","grundgesetz","geschichte","verfassung","gesellschaft","denkmal","gewalt","geschichte","psychogruppen","ddr","demokratischen","bonner","geschichte","gesellschaft","rechtsextremismus","volk","juden","leben","demokratie","gesellschaft","menschen","gesellschaft","freiheit","integration","religion","christen","toleranz","parteien","partei","opfer","polizei","gewalt","demonstranten","sinti","wahlrecht","verfassungsschutz","aufarbeitung","partei","untersuchungsausschusses","rechtsextremismus","vleute","rechtsextremismus","armeniern","verfassungsschutz","rassismus","gesellschaft","menschenrechte","opfer","freiheit","gewalt","opfer","hass","gesellschaft"
"8","herren","politischen","herr","opposition","wähler","kühn","herr","parteien","herr","volk","amt","demokratischen","grundgesetz","karlsruhe","bundesverfassungsgericht","demokratischen","bundesverteidigungsminister","leber","parlament","verfassung","spd","art","verfassungsänderungen","jahn","vorbehaltsrechte","politischen","demokratischen","verfassung","parlamentarismus","demokratischen","demokratische","dkp","rollmann","radikalen","verfassung","wahl","freiheitlichen","demokratischen","dregger","parteien","parteien","dregger","grundgesetz","kohl","brandt","parteien","staat","verfassung","staat","bremer","jungen","freiheit","freiheit","inneren","jungen","koalition","brandt","vogel","kohl","politischen","unseres","politischen","mahnmal","volk","auseinandersetzung","staat","menschen","demokratischen","partei","politischen","bundeskanzler","grundgesetz","grundgesetz","politischen","demokratischen","bundeskanzler","volk","grundgesetzes","einheit","volk","mahnmal","verfassung","opfer","sprache","revolution","reichstag","stadt","berlin","freiheit","stolz","solidarität","erfurt","gewalt","jüdische","leben","israel","muslime","berliner","islamismus","dialog","dialog","religionsfreiheit","aktionsplan","staatssicherheit","npd","ddr","roma","menschen","kommunismus","partei","frankfurt","antisemitismus","staatsleistungen","nsu","nsu","juden","extremismus","opfer","sicherheitsbehörden","geschichte","sprache","islam","chemnitz","geschichte","antifa","muslime","gewalt","demokratischen"
"9","kollege","parteien","bundeskanzler","herrn","wahlgesetz","opposition","parlament","herr","barzel","bundeskanzlers","staat","volk","verfassung","bundesverfassungsgericht","grundgesetz","grundgesetzes","kapfinger","verfassung","minister","demokratischen","presse","verfassung","parlamentarischen","grundgesetzänderung","grundgesetz","bildung","demokratische","demokratischen","bürger","eid","demokratischen","kräfte","studentenschaften","listen","inneren","schulz","staat","bundesverfassungsgericht","staat","freiheit","politischen","parteien","demokratischen","sozialismus","terrorismus","kohl","dregger","unseres","inneren","organisationen","geistige","gewalt","kommunisten","staat","kohl","schmidt","unseres","kohl","demokratischen","unseres","brandt","verantwortung","partei","kohl","verfassung","demokratischen","union","politische","demokratischen","verfassung","partei","geschichte","partei","menschen","deutschland","heute","bürger","volk","opfer","demokratischen","geschichte","verantwortung","nationalsozialismus","enquetekommission","volk","politischen","berliner","politischen","politischen","muslime","denkmal","freiheit","opfer","geschichte","jüdische","namibia","leben","religionsunterricht","opfer","toleranz","islamkonferenz","menschen","freiheit","gregor","geschichte","polizisten","politischen","polizisten","polizisten","akten","sinti","juden","geschichte","geschichte","liebknecht","freiheit","polizei","volk","opfer","rechtsextremismus","hass","religion","geschichte","juden","juden","meinungsfreiheit","juden","gewalt"
"10","parlament","rede","kiesinger","politischen","regierung","sozialistischen","wahl","sozialdemokratische","volksbefragungen","verfassung","politischen","herrn","politischen","innenminister","bundeskanzlers","urteil","herr","freiheit","schreiben","parteiengesetz","demokratie","rechtsausschuss","parteien","demokratischen","notstandsverfassung","politische","notstandsgesetzgebung","grundgesetz","parteien","grundgesetzes","parteien","politische","lsd","zusatzurlaub","lande","mehrheit","kommunisten","schelsky","demokratischen","ministerpräsident","inneren","dkp","verfassung","solidarität","terroristen","politischen","parteien","grundgesetz","sozialismus","geschichte","brandt","gesellschaft","kohl","demonstranten","menschen","freiheit","demokratischen","unseres","vogel","volk","politischen","parteien","unserer","brandt","unseres","unserer","parteien","leben","waffenss","politische","politischen","parlament","entscheidung","diktatur","bürger","deutschen","politischen","art","leben","diktatur","juden","demokratischen","volk","gesellschaft","aufarbeitung","deutschen","einheit","haacke","demokratischen","freiheit","gewalt","berliner","toleranz","vertrag","deutschland","rau","demokratische","staat","religion","menschen","religion","extremismus","partei","dkp","aufarbeitung","wahlrecht","aufarbeitung","rechtsextremismus","gewalt","bundeszentrale","extremismus","partei","vertreibung","aufarbeitung","opfer","geschichte","freiheit","polizei","bericht","juden","juden","grundgesetz","freiheit","hetze","gesellschaft","gesellschaft","land","extremismus"
