"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","einzelplan","einzelplan","einzelplan","einzelplan","haushaltsausschuss","einzelplan","bonn","einzelplan","einzelplan","tit","haushaltsausschuss","tit","einzelplan","beamten","matzner","haushaltsausschuss","beamten","beamten","beamten","beamten","schmittvockenhausen","dienst","bundeskriminalamt","dienstes","beamten","innern","dienst","beamten","beamten","beamten","genscher","benda","dienstes","genscher","bundesgrenzschutz","genscher","genscher","genscher","genscher","innern","bundesgrenzschutz","oldenburg","öffentlichen","dienstes","teilzeitbeschäftigung","enquetekommission","dienst","beamten","beamten","beamten","datenschutz","nebentätigkeit","asylbewerber","ausländer","asylbewerber","bundesinnenminister","türkei","türkei","türkei","türkei","volkszählung","zimmermann","polizei","flüchtlinge","volkszählung","datenschutz","datenschutz","ausländer","ausländer","ausländer","diestel","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","innenminister","ausländer","ausländer","ausländer","staatsangehörigkeit","kanther","staatsangehörigkeit","schily","zuwanderung","zuwanderung","marschewski","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","sicherheit","sicherheit","sport","schäuble","integration","datenschutz","sport","datenschutz","integration","flüchtlinge","staatsangehörigkeit","datenschutz","sport","sport","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","zuwanderung","familiennachzug","migration","flüchtlinge","flüchtlinge","grenze","griechenland","migration","menschen"
"2","haushalt","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","verwaltung","haushaltsausschuss","vogel","tit","haushaltsausschuss","haushaltsausschuss","tit","haushaltsausschuss","tit","tit","kühlthau","tit","dienst","dienst","architekten","dienst","beamten","beamten","beamten","beamten","innenausschuss","dienstes","beamten","verbrechensbekämpfung","köppler","dienst","innern","genscher","beamten","innern","genscher","innern","innern","innern","innern","dienst","bundesgrenzschutzes","schaumburglippe","dienstes","dienst","dienst","beamten","beamten","datenschutz","baum","bundesgrenzschutz","bundesbeauftragten","dienst","bundesamt","integration","ausländer","hirsch","ausländer","türkischen","chile","datenschutz","datenschutz","verfassungsschutz","daten","asyl","verfassungsschutz","zimmermann","ausländer","zimmermann","aussiedler","verfassungsschutz","dienste","unterlagen","akten","asylrecht","asylrecht","asylrecht","ausländer","ausländern","ausländer","kanther","sonntagwolgast","kanther","flüchtlinge","kanther","ausländer","integration","zuwanderung","asyl","innenminister","zuwanderung","schily","schily","schily","zuwanderungsgesetz","sicherheit","schily","bundesinnenminister","sicherheitsbehörden","schily","schäuble","terrorismus","doping","bundespolizei","datenschutz","daten","datenschutz","daten","bundespolizei","zuwanderung","integration","sport","nada","integration","staatsbürgerschaft","flüchtlingen","sport","integration","integration","integration","flüchtlinge","migration","pakt","menschen","migration","flüchtlinge","griechischen","deutschland","geflüchteten"
"3","haushaltsausschuss","tit","haushalt","tit","ministerien","tit","haushaltsausschuss","haushaltsausschuss","tit","kap","kap","kap","haushaltsausschuss","einzelplan","beamten","beamten","harmonisierungsnovelle","dienstes","dienstes","dienstes","innenausschuss","öffentlichen","gscheidle","dienst","dienst","benda","innenausschuss","innenausschuss","vergütungsgruppe","genscher","beamten","innern","besoldung","dorn","bundesgrenzschutzes","mandel","dienst","dienst","dienst","innenministerkonferenz","beamten","niedersachsen","dienst","riedl","beamten","dienst","öffentlichen","sicherheitsbehörden","bundesinnenminister","asylbewerber","datenschutzes","beamten","asylrecht","ausländischen","datenschutz","innern","bundesamt","auslieferung","menschenrechte","afghanistan","folter","bundesinnenminister","afghanistan","terrorismus","daten","polizei","zimmermann","datenschutz","polizei","ausländern","akten","köppe","asylbewerber","schengener","asyl","asyl","asylbewerber","staatsangehörigkeit","staatsangehörigkeit","ausländer","staatsangehörigkeit","flüchtlinge","innenminister","ausländer","aussiedler","staatsbürgerschaft","ausländer","deutschland","marschewski","flüchtlinge","sicherheit","sicherheit","bosbach","ausländer","bundesinnenminister","zuwanderung","sicherheit","polizei","bundesinnenminister","kontrollgremium","sicherheitsbehörden","integration","integration","sport","sport","daten","integration","daten","deutschland","migranten","olympischen","datenschutz","olympischen","staatsangehörigkeit","menschen","flüchtlingen","menschen","menschen","sport","menschen","menschen","flüchtlinge","migration","migranten","griechenland","migranten","asyl","ukraine"
"4","ministerium","haushalt","bundesrechnungshofs","haushalt","ausgaben","haushaltsausschusses","vorwegbewilligungen","kap","wasserhaushaltsgesetz","einzelplan","einzelplan","turn","beamten","haushaltsausschuss","überleitung","ministerium","dienstes","schmittvockenhausen","dienst","schmittvockenhausen","weihnachtszuwendungen","innenausschuss","innenausschuss","öffentlichen","miessner","angestellten","öffentlichen","dienstes","zivilverteidigung","dienstes","öffentlichen","verbrechensbekämpfung","dienst","becker","sicherheit","polizei","beamten","öffentlichen","dienstes","öffentlichen","dienstes","dienst","daten","beamten","öffentlichen","parlaments","verfassungsschutz","innenausschuss","datenschutz","bundesinnenminister","spranger","asylbewerber","asyl","ausländern","türkei","ausländer","datenschutz","altun","türkischen","personalausweis","daten","afghanistan","datenschutz","polizei","bürger","volkszählung","datenschutzbeauftragten","innern","staatsangehörigkeit","innern","innern","verfassungsschutz","aufarbeitung","asylverfahren","ausländer","ausländer","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","flüchtlinge","kanther","innenminister","integration","flüchtlinge","zuwanderung","schily","bundesinnenminister","rüttgers","schily","integration","bundesinnenminister","terrorismus","zuwanderungsgesetz","integration","innenminister","bundesinnenminister","zuwanderungsgesetz","terrorismus","innenminister","terrorismus","antiterrordatei","schäuble","sicherheit","daten","schäuble","waffen","sport","sport","daten","deutschland","deutschland","flüchtlinge","flüchtlinge","flüchtlingen","deutschland","menschen","flüchtlingen","flüchtlingen","menschen","familiennachzug","bamf","bamf","asylbewerber","menschen","integration","menschen","menschen","flüchtlinge"
"5","tit","kap","tit","haushaltsausschusses","bergmeyer","kap","planstellen","ritzel","haushalt","titel","haushaltsausschusses","sportstätten","schäfer","kap","beamtengruppen","titel","besoldung","tit","gscheidle","doppelversorgung","dienst","dienstes","öffentlichen","besoldungsgruppe","öffentlichen","dienst","brück","dienst","innern","öffentlichen","dienstes","polizei","innern","brück","innern","olympischen","länder","beamten","öffentlichen","badenwürttemberg","dienst","dienstes","mandat","bundesinnenminister","beamte","öffentlichen","bewerber","datenschutzes","bgs","innenausschuss","innern","beamte","flüchtlinge","ausländerpolitik","asylverfahren","ausländerfeindlichkeit","bundesinnenminister","volkszählung","ausländer","ausländer","konvention","volkszählung","bürger","asylbewerber","sportler","datenschutzbeauftragten","baumann","polizei","innern","schäuble","daten","gerster","ausländer","flüchtlinge","flüchtlinge","staatsangehörigkeit","innenminister","ausländerbeauftragten","innenminister","sonntagwolgast","ausländern","sonntagwolgast","marschewski","staatsbürgerschaft","spätaussiedler","ausländer","tampere","marschewski","bundesinnenminister","ausländischer","marschewski","beckstein","sicherheit","staatsangehörigkeit","zuwanderungsgesetz","innenminister","integration","datenschutz","stadler","innern","datei","sportler","waffen","terrorismus","integration","integration","abkommen","datenschutz","flüchtlingen","flüchtlinge","zuwanderung","residenzpflicht","deutschland","optionspflicht","asylbewerber","deutschland","sport","herkunftsstaaten","flüchtlingen","deutschland","flüchtlinge","migranten","integration","miri","migranten","moria","migranten","registrierung"
"6","kap","ministerium","haushaltsausschusses","kap","haushalt","vorwegbewilligung","tit","vockenhausen","beamte","aufgaben","titel","titel","schmitt","kühlthau","vorigen","einzelplan","gscheidle","matzner","beamte","bundesbeamtengesetzes","bundesrechnungshofes","besoldung","dienst","dorn","gscheidle","öffentlichen","schmittvockenhausen","besoldungsgruppe","bvs","innern","beamte","beamten","wagner","rechtspfleger","polizei","beamten","sicherheit","dienstes","beamten","länder","innern","bundesgrenzschutz","gerster","innenausschuss","enquetekommission","innern","beamte","baum","innern","daten","dienst","bundesinnenminister","zirndorf","türken","einbürgerung","ausländerpolitik","miltner","bundesinnenminister","folter","ausweis","menschenrechtsverletzungen","polizei","sicherheit","zimmermann","zimmermann","daten","daten","aussiedler","schengener","datenschutz","informationen","aufarbeitung","stasi","asyl","asylrechts","flüchtlinge","abschiebung","schmalzjacobsen","abschiebung","einbürgerung","schmalzjacobsen","marschewski","staatsangehörigkeit","rassismus","flüchtlinge","doppelte","flüchtlinge","card","einwanderung","schily","innenminister","integration","integration","schily","kaplan","integration","koschyk","strobl","integration","innenminister","bnd","winkler","bundesinnenminister","schäuble","bka","sicherheit","griechenland","staatsangehörigkeit","zwangsheirat","datenschutz","integration","waffen","sportler","migration","staatsangehörigkeit","asylbewerber","migration","einstufung","land","abschiebungen","land","menschen","staatsangehörigkeit","deutschland","migration","migration","ausländerzentralregister","integration"
"7","aufgaben","abteilung","haushaltsplan","ministerium","haushaltsausschusses","titel","bundesbauten","zivilbevölkerung","schoettle","zivilen","schäfer","einzelplan","titel","innenausschuss","dienst","weihnachtsgeld","versorgungsempfänger","besoldung","petitionsausschusses","beamte","beamte","schmittvockenhausen","brück","beamte","dienstes","angestellte","dienstes","schmittvockenhausen","schmittvockenhausen","wagner","dienst","sofortprogramm","genscher","dienst","länder","bundesgrenzschutz","polizei","länder","innenausschuss","beamten","wahlrecht","öffentlichen","gehobenen","öffentlichen","dienstes","länder","einstellungsbehörden","innenminister","bundesgrenzschutz","polizei","tätigkeitsbericht","öffentlichen","asylverfahren","baum","asylrecht","asylrechts","fares","menschenrechte","bundesinnenminister","türkischen","volkszählungsurteil","tiedge","verfassungsschutz","innenminister","gesetze","innenminister","polizei","asylbewerber","datenschutz","schengener","informationstechnik","schäuble","gerster","polizei","zuwanderung","schengener","polizei","polizei","ausländergesetzes","ausländergesetzes","integration","schmalzjacobsen","kanther","integration","ausländern","zuwanderung","innenminister","ausländer","ausländer","deutschland","ausländer","uhl","strobl","marschewski","bundesgrenzschutz","flughafen","innenminister","bundesinnenminister","koschyk","schily","journalisten","innenminister","sport","integrationspolitik","zuwanderung","kontrolle","flüchtlinge","integrationskurse","veit","sport","daten","deutschland","staatsangehörigkeit","menschen","migration","doping","deutschland","sicheren","staatsbürgerschaft","einwanderungsgesetz","zuwanderung","familiennachzug","einwanderung","seehofer","inseln","deutschland","flüchtlinge","geflüchtete"
"8","verwaltung","amt","aufgaben","beamten","einzelplan","fonds","einzelplan","luftschutz","aufgaben","beamten","beamten","bundesrechnungshofes","ministerium","dienst","bundesbeamtengesetzes","kap","brück","innenausschuss","öffentlichen","höcherl","angestellten","beamtenbesoldung","dienstes","schmittvockenhausen","besoldung","beamten","stufe","öffentlichen","besoldungsgruppe","schäfer","benda","bundeskriminalamt","innenausschuss","nienberge","innenminister","innenausschuss","öffentlichen","minister","länder","berger","länder","beamten","entschädigung","anwärterbezüge","datenschutz","parlament","dienstes","bundesinnenminister","bundesgrenzschutzes","dienst","sicherheitsbehörden","baum","arbeitserlaubnis","türkei","ausländerfeindlichkeit","dienst","flüchtlinge","innenminister","ausländischen","chile","chile","datenschutz","zevis","terroristen","hirsch","innern","ausländern","innenminister","einbürgerung","gerster","neusel","stasi","ausländerfeindlichkeit","zuwanderung","seiters","zuwanderung","ulla","integration","innern","asylbewerber","marschewski","ausländern","staatsbürgerschaft","bundesinnenminister","land","kinder","integration","green","bundesgrenzschutz","bundesinnenminister","integration","innenminister","innenminister","kemper","umzug","bosbach","polizei","sicherheit","datei","elmasri","innenminister","flüchtlinge","integrationsplan","zuwanderung","sicherheit","sicherheitsbehörden","syrien","ausländer","asylbewerber","türkischen","spiele","asylbewerber","sports","sport","optionspflicht","sports","asyl","land","deutschland","land","integration","asyl","asyl","personen","deutschland","flüchtlinge","staatsbürgerschaft","schutz"
"9","ministeriums","haushaltsausschusses","beamten","aufgaben","verwaltungsreform","ritzel","bonner","dm","vogel","ministerium","bundesinnenminister","reichshaushaltsordnung","innenausschuss","erhöhung","übergeführt","kontrolle","bundesinnenminister","verbesserungen","schmittvockenhausen","versorgungsempfänger","besoldung","sachverständigenrat","besoldungsordnung","innenausschuss","beamtenschaft","polizei","verbesserungen","innern","besoldungsneuregelungsgesetz","bundesinnenminister","abteilung","kriminalpolizei","bundeskriminalamt","dienstes","beamten","ländern","bundesgrenzschutz","gerlach","wahlkreiskommission","bund","polizei","innenausschuss","beamten","bund","untersuchungsausschusses","verfassung","datenschutz","beamte","dienst","bundesgrenzschutzes","datenverarbeitung","ausländer","fellner","asylbewerber","ausländern","datenschutz","bundesbeauftragten","türkische","zimmermann","kurden","datenschutzbeauftragten","kontrollkommission","kontrollkommission","ausländer","boykott","speicherung","asylbewerber","waffenschmidt","ausländern","verfassungsschutzes","innenausschuss","innern","sed","genfer","politisch","asylrechts","bgs","jelpke","schmalzjacobsen","innenausschuss","flüchtlinge","integration","özdemir","sonntagwolgast","integration","bundesinnenminister","rüttgers","innenminister","integration","familienbericht","bosbach","inneren","innern","deutschland","integration","terrorismus","stokar","datei","sicherheitsbehörden","stadler","ströbele","bundesinnenminister","sicherheitsbehörden","migranten","bkagesetz","thw","swiftabkommen","waffen","integration","integrationskurse","waffen","sports","menschen","deutschland","asylbewerberleistungsgesetz","olympischen","asylverfahren","asylverfahren","migration","migration","migranten","flüchtlingen","zuwanderung","staatsangehörigkeit","menschen","inseln","integration","kommunen"
"10","dm","auswärtigen","forschung","vogel","bundesrechnungshof","vorwegbewilligungen","bauten","aufgaben","parlaments","ansatz","zivilen","sachausgaben","notstandsplanung","einfachen","verbesserungen","vorschuss","bezüge","haushaltsausschuss","architekt","personenkreis","dienstes","anpassung","bundesinnenminister","fortbildung","beamte","bundesgrenzschutz","besoldungsneuregelungsgesetz","besoldungsneuregelungsgesetz","selbstschutz","beamte","versetzt","dorn","öffentlichen","öffentlichen","inneren","darüber","bundes","innenminister","berger","polizei","vereinbarung","volksentscheid","datenschutz","bundeskriminalamt","verfassungsreform","bundesgrenzschutz","bundesverfassungsgerichts","daten","daten","datenschutz","datenschutzbeauftragten","innern","verfolgung","kinder","schöfberger","beamten","verfassungsschutz","kemal","volkszählung","zimmermann","volkszählungsgesetz","hirsch","hirsch","türkei","datenschutz","verfassungsschutz","innern","volkszählung","penner","hirsch","verfassungsschutz","staatssicherheit","asyl","ausländer","asylverfahren","einbürgerung","jelpke","ausländischen","sonntagwolgast","schmalzjacobsen","innern","innern","bürgerkriegsflüchtlinge","marschewski","ausländerrecht","staatsangehörigkeitsrecht","asyl","schily","rechtsextremismus","ausländer","verfassungsschutz","zuwanderungsgesetz","bundesinnenminister","richtlinie","digitalfunk","luftsicherheitsgesetz","terrorismus","philipp","schleuserkriminalität","bundesinnenminister","polizei","sicherheit","innenminister","bka","staatsangehörigkeit","schäuble","sicherheit","zuwanderung","wolff","sicherheit","waffenregister","asylbewerberleistungsgesetz","flüchtlingen","asylbewerber","herkunftsstaaten","sportler","land","marokko","maizière","integration","subsidiär","asylverfahren","abschiebung","heimat","griechischen","personen","flucht","migration"
