"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","tagesordnung","antrag","antrag","tagesordnung","tagesordnung","tagesordnung","geschäftsordnung","tagesordnung","präsident","präsident","niedersachsen","vertrag","kirche","wagen","höcherl","saevecke","innern","höcherl","höcherl","höcherl","bundesminister","gesamtdeutsche","herr","guttenberg","diehl","herr","untersuchungsausschuss","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","journalisten","chef","steiner","guillaume","chef","schlei","bölling","urteil","nachrichtendienste","urteil","laabs","öffentlichkeitsarbeit","bundeskanzleramt","strauss","rechnungsprüfungsausschuss","bundestagswahl","kontrollkommission","bnd","bundeszollverwaltung","beamten","cbfunk","petitionen","petitionsausschuss","abgeordneten","petitionsausschuss","dienst","petitionen","auswärtigen","plenarsaal","petition","petitionsausschuss","petition","petitionsausschuss","parlaments","sperrklausel","petitionsausschuss","parlament","berlin","bundestages","petitionsausschuss","berlin","welle","ard","parlament","petitionen","überhangmandate","petitionsausschuss","wahlkreise","petitionen","parlamentarischen","petitionen","untersuchungsausschuss","ehrenamt","untersuchungsausschuss","vereine","untersuchungsausschuss","untersuchungsausschuss","petitionsausschuss","untersuchungsausschuss","petitionsausschuss","untersuchungsausschuss","ro","untersuchungsausschuss","untersuchungsausschuss","petitionen","roma","petitionen","petitionen","petitionsausschuss","petitionsausschuss","untersuchungsausschuss","petitionen","kinderarbeit","kinderarbeit","kinderarbeit","petitionen","drogen","interimsabkommen","petitionen","institut","ezigaretten","petition","institut","cannabis","cannabis","petitionsausschuss","petitionen","petition","petition","cannabis","petitionen","antidiskriminierungsstelle"
"2","nr","sitzung","sitzung","geschäftsordnung","tagesordnung","geschäftsordnung","sitzung","geschäftsordnung","tagesordnung","präsident","geschäftsordnung","uhr","kirche","zustand","evangelischen","verfahren","strauss","höcherl","höcherl","innern","innern","innern","minister","bundesminister","innern","freiherr","bundespressechef","staatssekretär","süsterhenn","ehmke","herr","herr","herr","presse","herr","aufgaben","presse","bundeskanzleramtes","guillaume","ehmke","bölling","frau","staatssekretär","bölling","kontrolle","öffentlichkeitsarbeit","spionagefall","bölling","abschiebung","franz","bundesrechnungshof","öffentlichkeitsarbeit","beschwerden","beamten","welle","beamte","cbfunker","petitionsausschuss","petition","petition","petition","petition","petitionsausschuss","dienst","petitionsausschuss","center","petenten","petenten","petition","parlament","wahl","parlament","bundestages","föderalismuskommission","parlament","petitionen","umzug","petitionsausschuss","bundestages","abgeordneten","stiftungen","petitionen","petition","welle","petitionsausschuss","parlament","petitionsausschuss","kohl","ehrenamtlich","cdu","petitionsausschuss","engagement","möllemann","petitionen","akten","petitionen","untersuchungsausschusses","rp","untersuchungsausschusses","untersuchungsausschusses","petitionsausschuss","sinti","roma","petitionsausschuss","petitionen","petitionen","unternehmensmitbestimmung","petitionsausschuss","spielhallen","petitionen","asbest","petitionsausschuss","kammern","handwerkskammern","petitionsausschuss","menschenrechte","eshishas","petitionsausschuss","cannabis","petitionen","progression","petitionen","petitionsausschuss","petitionen","schwimmen","petitionen","petitionsausschuss","leitung"
"3","drucksache","tagesordnung","antrag","sitzung","sitzung","sitzung","geschäftsordnung","rasner","präsident","geschäftsordnung","haus","haus","präsident","werner","geschäftsordnung","stück","ahlers","innern","gerstenmaier","verfassungsschutz","bundesminister","bundesminister","mende","herr","bundesminister","herr","staatssekretär","diehl","hs","herr","bundeskanzler","ahlers","aufgaben","informationsamtes","bundesminister","staatssekretäre","herr","grabert","staatssekretärin","schlei","schlei","staatssekretärin","schüler","öffentlichkeitsarbeit","abgeordneter","bundesverfassungsgericht","voss","urteil","bayerische","mad","vorgänge","singen","untersuchungsausschuss","bundeskanzleramt","stelleneinsparungen","dienstes","beamte","entschädigung","petitionen","parlament","petitionen","auswärtigen","petition","petition","petitionen","document","petition","petitionsausschuss","bundesrechnungshof","dienst","bundestages","bundestages","abgeordneten","beschluss","abgeordneten","bannmeile","parteien","parlament","parlament","parlaments","parlament","petitionsausschuss","conradi","wahlrecht","petitionsausschusses","parlaments","vereine","petitionen","wahlrecht","landowsky","vereinen","petitionsausschuss","parteien","petition","hirsch","petenten","einsetzung","ar","petitionsausschuss","heimgesetz","bafin","namibia","petitionsausschuss","petition","invest","untersuchungsausschuss","untersuchungsausschusses","petition","ausbeuterische","petitionsausschuss","dow","petition","petitionen","petitionsausschuss","handwerk","petitionen","zigaretten","petitionen","instituts","petitionsausschuss","kalte","petition","petition","petitionsausschuss","petentin","petition","petition","diskriminierung"
"4","tagesordnung","drucksache","drucksache","uhr","uhr","antrag","uhr","sitzung","fraktion","herren","herren","abgeordneter","kriegsdienstverweigerer","landesregierung","kirchen","staatssekretär","innern","strauss","bundesminister","alliierten","minister","minister","gesamtdeutsche","minister","minister","bundeskanzler","herr","bundeskanzler","zeugin","bundespressechef","bundeskanzleramt","bundeskanzler","bundesminister","chef","ahlers","besondere","bahr","presse","bundeskanzler","bundeskanzler","bundeskanzleramtes","bölling","abgeordneter","abgeordneter","anzeigen","abgeordneter","minderheit","staatssekretär","bayerischen","josef","bundeskanzleramt","vorgänge","parlamentarischen","rechnungshof","untersuchungsausschuss","regenspurger","watt","petition","petenten","petenten","beamten","dienstes","dienst","dienstes","petitionsausschusses","petenten","petitionsausschusses","sitzordnung","bundestages","auswärtigen","fünfprozentklausel","petitionen","parlaments","bundestages","hörfunk","petenten","fraktionen","petitionen","berlin","petitionsausschuss","petenten","umzug","petitionen","verkleinerung","eingaben","pkk","petitionsausschusses","cdu","hessischen","petitionsausschuss","petitionen","parteien","einsetzung","untersuchungsausschuss","kohl","petition","beamten","le","uhl","einsetzung","petenten","petitionsausschuss","sinti","petenten","petitionsrecht","akten","gorleben","petenten","spielsucht","zrbg","stade","spielverordnung","petitionsausschuss","fachausschüssen","meisterbrief","cannabis","jugendliche","tab","biologie","petition","kalten","rauchen","petenten","bürger","social","petitionsausschuss","ausschusses","antidiskriminierung"
"5","punkt","uhr","uhr","tagesordnung","geschäftsordnung","uhr","antrag","fraktion","herren","uhr","gerstenmaier","damen","jahn","niedersächsischen","tagewoche","durchschnitt","fragestunde","fristeinrede","rechtshilfeersuchen","herr","herr","herr","herr","mende","orchester","staatssekretär","scheel","bundespressechef","herr","pressefreiheit","brief","presse","besondere","herr","abgeordneter","parlamentarischen","ravens","herr","wienand","bundeskanzleramt","bundeskanzler","bundeskanzler","broschüre","gaus","herr","rechnungshof","untersuchungsausschuss","abgeordneter","reaktorsicherheit","untersuchungsausschuss","bundesrechnungshofs","beamten","presse","beratungsstelle","beamten","petition","ausgangsleistung","diäten","petitionsausschusses","plenum","dienst","beamten","öffentlichen","petitionsausschuss","plenarsaals","parlaments","petitionen","bundestages","petenten","dienstes","wahlrecht","parlaments","überprüfung","ministerien","bfd","fraktionen","parteienfinanzierung","petitionsausschusses","rundfunkanstalten","bundestages","petitionsausschuss","bnd","parlament","demokratie","bürgerinnen","geschäftsordnung","eingaben","schmidt","akten","berliner","ehrenamt","cdu","untersuchungsausschusses","petenten","kanzleramt","petitionsrecht","fischervolmererlass","itz","beweisaufnahme","entbürokratisierung","untersuchungsausschuss","petitionsrecht","petition","bürger","bürger","petition","mitbestimmung","petitionsrecht","petitionsausschuss","ghetto","teersanden","spielerkarte","substanzen","petition","petition","instituts","rauchen","rauchen","menschenrechte","drogen","drogen","anliegen","petitionsausschusses","petenten","entrepreneurs","drogen","petenten","petition"
"6","sitzung","überweisung","ausschuss","drucksache","ausschuss","ältestenrat","fraktion","grundgesetzänderung","sitzung","antrag","ältestenrat","geschäftsordnung","antrag","niedersachsen","evangelische","bundestag","zusatzfrage","herr","rückführung","untersuchungsausschuss","schmittvockenhausen","alliierten","lemmer","gesamtdeutschen","lemmer","parlamentarischer","presse","guttenberg","moersch","presse","herrn","bundesminister","auswärtigen","abgeordneter","presse","bundesminister","ddr","ehmke","zeugen","chef","staatssekretärin","staatssekretär","bundesbank","bundesverfassungsgerichts","bölling","bölling","spionage","bundeskanzleramt","herr","dienste","gerichtsverfassungsgesetzes","aufgriffslisten","untersuchungsausschusses","lahnstein","hause","petitionen","leinen","petenten","beamten","beamten","dienstes","auswärtige","petenten","verhaltensregeln","petenten","akten","segall","parlament","petitionen","geschäftsordnung","parlament","eingaben","kolleginnen","umzug","beschluss","eingaben","bundestages","petenten","pds","diäten","häfner","reformkommission","bundestag","parlament","parlament","präsidium","bürger","petitionsausschuss","ehrenamtlichen","untersuchungsausschusses","ehrenamtlich","petitionen","affäre","bürgerinnen","untersuchungsausschusses","bürger","dubio","lle","fischer","xi","petitionsausschusses","herero","eingaben","petitionsausschusses","germany","arbeit","erkundung","anliegen","kinder","petition","ghetto","hausangestellten","handwerk","ausschüsse","drogen","petition","jugendlichen","staatsleistungen","petition","petenten","drogenpolitik","bürger","anliegen","petitionsausschusses","damen","legalisierung","ausschuss","besetzung"
"7","fraktion","punkt","fraktion","bundestages","drucksache","fraktion","ältestenrat","präsident","redezeit","damen","rasner","dr","stimmrechtsbeschränkung","flächen","präsident","gemeinsamen","bundesanwaltschaft","bundesminister","verdacht","minister","schoettle","schoettle","studie","fragen","gesamtdeutsche","bundesminister","zusatzfrage","zeitung","zeugen","bundeskanzler","besondere","aufgaben","moersch","staatssekretär","informationsamtes","dienstes","chef","bahr","schlei","presse","schüler","gaus","herr","herr","akten","bundesverfassungsgerichts","schadensbewertung","presse","fernschreiben","nachrichtendienste","zivilprozessordnung","strauss","rauschenbach","bundesnachrichtendienstes","zollverwaltung","petenten","kanäle","petitionsausschusses","petitionsrecht","informationen","petenten","petenten","petitionsausschusses","auswärtige","bundestages","parlament","bundestages","petitionen","petitionsausschusses","petition","petitionsausschuss","petitionsausschusses","ministerien","petitionsausschuss","parlaments","parlament","parlament","arbeit","stoiber","verkleinerung","bundestages","rundfunk","medien","petitionen","bürger","bundestages","petenten","koch","wahlrechts","parteiengesetz","bürger","kohl","kohl","petitionsausschusses","wahlprüfungsausschuss","petitionsausschusses","schleuserbanden","io","sachstandsbericht","einrichtungen","eingaben","quorum","petenten","namibia","aussenwirtschaft","untersuchungsausschusses","rechtsform","bürger","ilo","ausbeuterische","zrbg","petitionsausschusses","petition","ryf","petitionsausschusses","pariser","nikotin","petenten","synthetische","jugendschutz","gescheitert","werbung","ausschuss","petitionsrecht","petitionsausschusses","petenten","bürgerstunde","cannabis"
"8","betreffend","betreffend","überweisung","antrags","ältestenrat","beratung","rasner","herren","antrag","fraktion","fraktion","bundestages","damen","harm","panzer","fraktionen","gerstenmaier","gerstenmaier","uhr","schoettle","vizepräsident","schmittvockenhausen","bundeskanzlers","bürgermeister","bundeskanzlers","bundespressechef","freiherr","äusserungen","kern","wörner","zusatzfrage","besondere","abgeordneter","ehmke","chef","pressereferat","verordnung","göbel","ehmke","nollau","informationsamtes","sicherheitsrisiko","öffentlichkeitsarbeit","vertretung","staatssekretär","verfassungsgericht","untersuchungsausschusses","wahlplattform","schmid","untersuchungsausschusses","streng","broschüren","kontrolle","beschwerden","präsidenten","bayerncomment","wörtlich","abgeordneten","diäten","dienst","petitionsausschusses","einfachen","massenpetitionen","petenten","petition","verwaltung","anliegen","plenarsaal","eingaben","fraktionen","petitionen","petition","mitglieder","parlament","kommission","petition","konzeptkommission","kommission","öffentlichrechtlichen","stiftungen","abgeordneten","berlin","bürgerbeauftragte","bundestages","arbeit","parteien","übungsleiterpauschale","bürgerinnen","engagement","bürger","ehrenamtliche","bürger","aufzuklären","akte","staatsanwaltschaft","bürgerinnen","winkler","ko","zeugen","ausschuss","verwaltungsrat","opposition","fahrlehrer","bürgerinnen","bürgerinnen","petitionsausschusses","salzstocks","bürgerinnen","ausbeuterischer","spieler","ausbeuterische","spieler","handwerkskammern","prozent","eingaben","petitionsausschuss","ezigarette","anliegen","jugendliche","drogenpolitik","hauptausschuss","petitionsausschusses","arbeit","cannabis","erwägung","petitionsausschusses","petitionsausschusses","bundes"
"9","ausschuss","bundestages","punkt","deckung","bundestages","präsident","punkt","damen","damen","hauses","damen","abgeordnete","evangelischen","herr","vertrag","gleiche","bundesminister","charakters","madrid","untersuchungsausschusses","alliierten","schäfer","schmücker","innern","lücke","informationsamt","bundeszentrale","äusserung","referat","staatssekretär","bundeskanzleramtes","chef","presse","journalisten","besondere","frage","bundesminister","wechmar","untersuchungsausschuss","staatssekretärin","presse","öffentlichkeitsarbeit","broschüren","bundesverfassungsgericht","simitis","rechnungsprüfungsausschuss","urteil","papier","bundeskanzleramtes","april","besorgen","begleitung","sendung","postverkehr","spekulationen","besoldung","beamten","eingaben","beschwerden","volksentscheid","plenum","petitionsausschuss","plenum","oberjettenberg","parlament","parlamentsreform","beamten","petitionsausschusses","parlament","bundestages","volkskammer","petenten","diäten","beschlusses","richter","petitionsausschusses","beschluss","berlin","zdf","entschädigung","bundestag","bundestages","petenten","überhangmandate","demokratie","akten","bürgerinnen","aufklärung","ehrenamtliche","wahlkreise","enquetekommission","parteiengesetz","stadler","engagement","unterlagen","ausschuss","einladerdatei","kt","aussenminister","se","petition","minderheitenrechte","petitionsausschusses","petitionsrecht","bfai","petenten","rechtsformen","eingaben","produkte","spielhallen","kanada","spielerschutz","hausangestellten","eingaben","bürgerinnen","astatus","jugendschutz","technikfolgenabschätzung","konsum","bürgerinnen","inflation","cannabis","sozialunternehmen","afd","anliegen","schwarzmarkt","plenum","unabhängigkeit"
"10","abgeordneten","antrags","betreffend","ausschuss","überweisung","rasner","minuten","ältestenrat","gerstenmaier","ältestenrat","tagesordnung","gerstenmaier","herr","vertragswerk","herr","zustand","herr","präsident","papen","bundesminister","frage","frage","veröffentlichung","bundeskanzlers","mende","ahlers","information","bundesminister","staatsanwaltschaft","äusserung","aufgaben","informationsamtes","äusserung","zusatzfrage","aufgaben","presse","bundeskanzler","informationsamtes","untersuchungsausschusses","bnd","herr","funcke","schlei","staatssekretär","parlamentarische","presse","fingerhut","bundespresseamt","presse","althammer","steuergeldern","bundeskanzler","beratungsstelle","prowe","ministers","petitionsausschusses","mitarbeiter","bericht","bürger","abgeordnete","bürger","beamte","beamten","petitionsausschusses","sitzordnung","plenum","parlament","parlaments","anwaltschaft","parlamentsreform","parteien","fraktionen","deutschen","verlagerung","berlin","arbeit","juni","petition","sitzordnung","bundestag","conradi","wahlkreise","petitionsausschusses","reformkommission","bundestages","gremium","petition","bürger","tätigkeit","kiep","übungsleiterpauschale","spenden","altmaier","tr","behörde","petent","visaausschuss","pl","petitionsrecht","qualität","bmf","petitionen","jahresbericht","namibischen","petition","parlaments","untersuchungsauftrag","petitionsausschusses","kreistag","glücksspiel","ilo","hausangestellte","hausangestellte","petitionen","bürger","prinzipien","konsum","bürger","harmlos","tempel","anträge","bürgerinnen","bürger","anliegen","einfach","alkohol","unterschriften","lehmann"
