"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","beratung","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","beratung","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beratung","drucksache","drucksache","beratung","beratung","beratung","drucksache","ausschuss","ausschuss","beratung","ausschuss","beratung","beratung","drucksache","drucksache","ausschuss","beratung","ausschuss","drucksache","drucksache","ausschuss","drucksache","drucksache","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschüsse","ausschuss","herero","wahlkreise","wahlkreise","abgeordneten","kirchen","bundestag"
"2","beratung","rufe","beratung","ausschuss","beratung","beratung","ausschuss","beratung","drucksache","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","rates","beratung","rates","rates","rates","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","drucksache","ausschuss","beratung","beratung","drucksache","drucksache","drucksache","beratung","beratung","drucksache","ausschuss","drucksache","drucksache","drucksache","ausschuss","beratung","beratung","drucksache","drucksache","beratung","beratung","beratung","ausschuss","ausschuss","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","überweisungsvorschlag","drucksache","drucksache","drucksache","drucksache","beratung","drucksache","überweisung","aussprache","aussprache","überweisung","drucksache","drucksache","ausschuss","antrags","einsatzmedaille","wahlrecht","wahlrecht","bundestag","abgeordneten","abgeordneten"
"3","nr","ausschuss","drucksache","beratung","drucksache","ausschuss","beratung","ausschuss","beratung","tagesordnung","rufe","ausschuss","ausschuss","ausschuss","bericht","tagesordnung","beratung","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","drucksache","berichterstatter","drucksache","gegenprobe","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","rates","berichterstatter","ausschuss","ausschuss","ausschuss","verordnung","verordnung","ewg","beratung","beratung","beratung","beratung","beratung","tagesordnung","beratung","beratung","beratung","beratung","beratung","drucksache","beratung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","beratung","drucksache","beratung","ausschuss","ausschuss","beratung","ausschuss","drucksache","ausschuss","beratung","ausschuss","ausschuss","drucksache","beratung","beratung","beratung","beratung","drucksache","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","abgeordneter","überweisungsvorschlag","drucksache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","beratung","drucksache","aussprache","überweisungsvorschlag","überweisung","überweisung","drucksache","aussprache","beratung","abgeordneter","tagesordnungspunkt","nama","abgeordneten","abgeordneten","parteien","abgeordnete","geschäftsordnung"
"4","drucksachen","drucksache","berichterstatter","berichterstatter","punkt","berichterstatter","punkt","berichterstatter","tagesordnung","entwurfs","ausschuss","überweisung","punkt","eingebrachten","punkt","beratung","ausschuss","drucksache","ausschuss","enthaltungen","ausschuss","enthaltungen","berichterstatter","berichterstatter","ausschuss","ausschuss","enthaltungen","berichterstatter","berichterstatter","tagesordnung","berichterstatter","rates","berichterstatter","verordnung","berichterstatter","rates","rates","verordnung","ausschuss","berichterstatter","ewg","berichterstatter","ewg","comment","verordnung","tagesordnung","entwurfs","tagesordnung","eingebrachten","geschäftsordnung","beratung","drucksachen","ältestenrates","drucksachen","aussprache","ältestenrates","tagesordnung","tagesordnung","aussprache","aussprache","aussprache","aussprache","aussprache","fraktion","fraktion","fraktion","fraktion","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","eingebrachten","eingebrachten","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","beschlussempfehlung","aussprache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","aussprache","überweisungsvorschlag","aussprache","aussprache","aussprache","abgeordneten","aussprache","überweisungsvorschlag","überweisungsvorschlag","fcomment","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","fcomment","fcomment","abgeordneter","beratung","beratung","abgeordneter","abgeordneter","überweisung","aussprache","überweisungsvorschlag","drucksache","aussprache","beratung","aussprache","ausschusssitzungen","tagesordnung","ausschüsse","vorschlag","vorschlag","lobbyregister","bundestag","wahl"
"5","gesetzes","überweisung","gesetzes","rufe","berichterstatter","punkt","tagesordnung","tagesordnung","punkt","überweisung","tagesordnung","tagesordnung","eingebrachten","tagesordnung","berichterstatter","ausschuss","tagesordnung","tagesordnung","ausschusses","ausschuss","enthaltungen","gegenprobe","gegenprobe","ausschusses","enthaltungen","tagesordnung","ausschusses","enthaltungen","gegenprobe","ausschuss","gegenprobe","verordnung","tagesordnung","beratung","ausschuss","ewg","berichterstatter","ewg","tagesordnung","rates","verordnung","verordnung","comment","ewg","comment","berichterstatter","eingebrachten","berichterstatter","tagesordnung","entwurfs","überweisungsvorschlag","tagesordnung","gesetzes","berichterstatter","beschlussempfehlung","tagesordnung","beschlussempfehlung","fraktion","tagesordnung","tagesordnung","tagesordnung","tagesordnung","fraktion","beschlussempfehlung","aussprache","aussprache","überweisungsvorschlag","tagesordnung","überweisungsvorschlag","drucksachen","drucksachen","überweisungsvorschlag","entwurfs","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","drucksachen","aussprache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","berichterstattung","überweisungsvorschlag","entwurfs","aussprache","überweisungsvorschlag","aussprache","aussprache","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","aussprache","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","abgeordneter","überweisungsvorschlag","fcomment","fcomment","überweisungsvorschlag","abgeordneter","fcomment","beratung","beratung","beratung","fcomment","abgeordneter","überweisung","abgeordneten","abgeordneten","ausschüsse","drucksache","drucksache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisung","überweisung","beratung","gefecht","wahlkreis","bundestages","abgeordnete","parteien","abstimmungsreihenfolge"
"6","punkt","gesetzes","rufe","ausschusses","rufe","rufe","rufe","punkt","überweisung","rufe","enthaltungen","punkt","tagesordnung","punkt","ausschusses","punkt","eingebrachten","rufe","rufe","punkt","tagesordnung","ausschuss","enthaltungen","eingebrachten","ausschusses","enthaltungen","gegenprobe","tagesordnung","tagesordnung","verordnung","tagesordnung","ausschuss","ausschuss","ewg","rates","nr","eingebrachten","überwiesen","eingebrachten","tagesordnung","beratung","rates","ausschuss","ausschuss","ausschuss","entwurfs","comment","entwurfs","entwurfs","tagesordnung","ältestenrates","ältestenrat","entwurfs","beschlussempfehlung","tagesordnung","überweisungsvorschlag","drucksachen","aussprache","ältestenrat","ältestenrat","fraktion","fraktion","tagesordnung","tagesordnung","tagesordnung","überweisungsvorschlag","tagesordnung","beschlussempfehlung","beschlussempfehlung","fraktion","eingebrachten","tagesordnung","eingebrachten","eingebrachten","eingebrachten","überweisungsvorschlag","entwurfs","berichterstattung","antrags","eingebrachten","fraktion","fraktion","aussprache","entwurfs","fraktion","federführendcomment","aussprache","überweisungsvorschlag","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","abgeordneter","abgeordneten","fcomment","fcomment","fcomment","fcomment","überweisungsvorschlag","beschlussempfehlung","fcomment","aussprache","abgeordneter","fraktion","abgeordneten","abgeordneten","überweisungsvorschlag","aussprache","abgeordneter","beratung","aussprache","abgeordneter","überweisung","überweisung","überweisungsvorschlag","ausschüsse","interfraktionell","beratung","beratung","überweisung","überweisungsvorschlag","antrags","verteidiger","namibia","bundestag","wahlkreis","wahlrecht","staatsleistungen","bundestages"
"7","tagesordnung","entwurfs","entwurfs","punkt","entwurfs","tagesordnung","gesetzes","gewünscht","rufe","ausschuss","eingebrachten","gegenprobe","entwurfs","entwurfs","ausschuss","gewünscht","punkt","punkt","enthaltungen","tagesordnung","gewünscht","ausschusses","beschlossen","entwurfs","gegenprobe","gegenprobe","tagesordnung","ausschuss","ausschuss","rates","ausschuss","berichterstatter","eingebrachten","ausschuss","verordnung","ausschuss","verordnung","beratung","entwurfs","eingebrachten","berichts","ewg","berichts","berichts","berichts","berichts","überweisungsvorschlag","überweisungsvorschlag","schreiben","berichterstatter","haushaltsausschuss","einverstanden","überweisungsvorschlag","tagesordnung","ältestenrat","eingebrachten","aussprache","geschäftsordnung","überweisungsvorschlag","eingebrachten","ältestenrat","ältestenrat","beschlussempfehlung","aussprache","geschäftsordnung","tagesordnung","eingebrachten","überweisungsvorschlag","aussprache","eingebrachten","berichterstatter","beschlussempfehlung","aussprache","aussprache","drucksachen","entwurfs","überweisungsvorschlag","eingebrachten","drucksachen","aussprache","aussprache","drucksachen","fraktion","eingebrachten","drucksachen","fraktion","eingebrachten","fcomment","fcomment","fcomment","abgeordneter","eingebrachten","fcomment","überweisung","eingebrachten","abgeordneten","abgeordneten","fcomment","weiterer","überweisung","fraktion","fraktion","abgeordneter","fcomment","abgeordneter","weiterer","überweisung","antrags","abgeordneten","abgeordneten","abgeordneten","weiterer","überweisungsvorschlag","beratung","interfraktionell","aufgeführten","interfraktionell","tagesordnung","abgeordneter","zp","abgeordneten","ausschüsse","stichtag","abgeordnete","bundestagswahl","bundestages","bundestages","diäten"
"8","berichterstatter","aussprache","punkt","tagesordnung","tagesordnung","entwurfs","ausschusses","gesetzes","entwurfs","gesetzes","punkt","rufe","rufe","überweisung","tagesordnung","berichterstatter","ausschusses","enthaltungen","tagesordnung","berichterstatter","gegenprobe","bericht","punkt","rufe","tagesordnung","ausschusses","ausschuss","eingebrachten","handzeichen","punkt","enthaltungen","eingebrachten","entwurfs","tagesordnung","tagesordnung","überwiesen","entwurfs","berichts","gesetzes","verordnung","berichterstatter","tagesordnung","überwiesen","beratung","überwiesen","beschlussempfehlung","ältestenrates","beschlussempfehlung","überweisungsvorschlag","eingebrachten","aussprache","unterrichtung","eingebrachten","gewünscht","drucksachen","entwurfs","eingebrachten","ältestenrat","eingebrachten","ältestenrates","beschlussempfehlung","beschlussempfehlung","drucksachen","drucksachen","antrag","antrags","aussprache","aussprache","tagesordnung","entwurfs","fraktion","drucksachen","gesetzes","drucksachen","entwurfs","gesetzes","drucksachen","tagesordnungspunkt","beschlussempfehlung","entwurfs","antrags","aussprache","drucksachen","fraktion","eingebrachten","eingebrachten","gesetzes","abgeordneten","überweisung","abgeordneter","entwurfs","überweisungsvorschlag","überweisung","abgeordneten","entwurfs","beschlussempfehlung","beschlussempfehlung","abgeordneter","aussprache","abgeordneten","abgeordneter","abgeordneten","beschlussempfehlung","weiterer","fraktion","fraktion","abgeordneter","abgeordneten","aussprache","fcomment","fcomment","überweisungsvorschlag","weiterer","interfraktionell","aufgeführten","ausschüsse","ausschüsse","aufgeführten","aufgeführten","abgeordneter","beratung","verliert","bundesstiftung","bundestages","bundestag","bundestagswahl","wahlwerbung","mehrheit"
"9","rufe","berichterstatter","ausschusses","bericht","gesetzes","bericht","berichterstatter","entwurfs","gegenprobe","enthaltungen","handzeichen","eingebrachten","gegenprobe","gegenprobe","gegenprobe","eingebrachten","berichterstatter","berichterstatter","gewünscht","ausschusses","ausschusses","berichterstatter","handzeichen","tagesordnung","verordnung","eingebrachten","entwurfs","punkt","eingebrachten","eingebrachten","gesetzes","tagesordnung","gesetzes","berichterstatter","eingebrachten","berichts","tagesordnung","berichterstatter","ausschusses","ewg","tagesordnung","entwurfs","endgültigen","überwiesen","beratung","ältestenrates","tagesordnung","ältestenrates","ältestenrates","beschlussempfehlung","ältestenrat","beschlussempfehlung","tagesordnung","aussprache","gewünscht","gesetzes","berichterstatter","antrag","ältestenrates","überweisungsvorschlag","eingebrachten","eingebrachten","ältestenrat","berichterstatter","antrags","beschlussempfehlung","tagesordnungspunkt","geschäftsordnung","drucksachen","überweisungsvorschlag","entwurfs","antrags","beschlussempfehlung","entwurfs","aussprache","aussprache","tagesordnungspunkt","entwurfs","eingebrachten","gesetzes","eingebrachten","eingebrachten","berichterstattung","gesetzes","ausschusscomment","entwurfs","federführendcomment","tagesordnungspunkt","tagesordnungspunkt","abgeordneten","eingebrachten","aussprache","rufe","beschlussempfehlung","beschlussempfehlung","abgeordneter","entwurfs","beschlussempfehlung","überweisungsvorschlag","antrags","abgeordneten","aussprache","aussprache","fraktion","beschlussempfehlung","fcomment","abgeordneten","überweisung","überweisung","überweisung","aussprache","interfraktionell","fcomment","abgeordneten","beratung","fcomment","aufgeführten","ausschüsse","interfraktionell","abgeordneten","geschäftsordnung","recht","baukultur","verhältniswahlrecht","überhangmandate","transparenz","transparenz","wahlrecht"
"10","ausschusses","punkt","überweisung","entwurfs","ausschusses","ausschusses","aussprache","ausschusses","enthaltungen","punkt","bitte","gewünscht","berichterstatter","rufe","enthaltungen","rufe","entwurfs","gewünscht","punkt","gewünscht","punkt","entwurfs","rufe","punkt","drucksachen","punkt","gewünscht","entwurfs","entwurfs","gesetzes","eingebrachten","überwiesen","gegenprobe","berichts","berichts","schreiben","gesetzes","beschlussfassung","beschlossen","entwurfs","überwiesen","eingebrachten","beschlussfassung","rat","rechtzeitige","drucksachen","berichterstatter","gesetzes","berichterstatter","überweisungsvorschlag","einverstanden","berichts","haushaltsausschuss","ältestenrat","berichterstatter","aussprache","entwurfs","bundestages","entwurfs","gesetzes","entwurfs","berichterstatter","beschlossen","entwurfs","beschlossen","ältestenrat","entwurfs","ältestenrat","ältestenrates","aussprache","gesetzes","eingebrachten","tagesordnungspunkt","berichterstattung","tagesordnungspunkt","drucksachen","aussprache","abgeordneten","entwurfs","drucksachen","drucksachen","entwurfs","entwurfs","berichterstattung","entwurfs","tagesordnungspunkt","tagesordnungspunkt","überweisung","entwurfs","überweisung","fcomment","berichterstattung","tagesordnungspunkt","abgeordneter","gesetzes","überweisung","eingebrachten","überweisung","fcomment","fraktion","beschlussempfehlung","beschlussempfehlung","abgeordneten","aussprache","überweisung","beschlussempfehlung","antrags","weiterer","weiterer","weiterer","weiterer","aussprache","zp","aufgeführten","fcomment","beschlossen","tagesordnung","interfraktionell","abgeordneten","entwurfs","plenum","neudeutsch","ausschuss","wahlrechtsreform","wahlrechtsreform","demokratie","ablösung","demokratie"
"11","aussprache","tagesordnung","tagesordnung","überweisung","handzeichen","gesetzes","entwurfs","bericht","gesetzes","eingebrachten","ausschusses","entwurfs","gesetzes","gewünscht","eingebrachten","überweisung","aussprache","ausschusses","eingebrachten","gegenprobe","berichterstatter","rufe","ausschusses","wer","wünscht","rufe","eingebrachten","gesetzes","rufe","entwurfs","betr","gesetzes","enthaltungen","betr","überwiesen","änderung","ewg","tagesordnung","verordnung","ausschusses","ausschusses","berichts","rat","tagesordnung","endgültigen","überweisungsvorschlag","federführend","eingebrachten","beschlussempfehlung","drucksachen","haus","berichterstatter","aussprache","ausschusses","ausschusses","beschlussempfehlung","gesetzes","ältestenrates","beschlossen","entwurfs","berichterstatter","geschäftsordnung","geschäftsordnung","ausschusses","überweisungsvorschlag","ältestenrates","beschlussempfehlung","ältestenrates","ältestenrat","berichterstatter","tagesordnung","gesetzes","tagesordnung","antrags","berichterstattung","berichterstattung","berichterstattung","gesetzes","fraktion","antrags","entwurfs","antrags","abgeordneten","aussprache","gesetzes","abgeordneten","überweisung","fraktion","abgeordneter","fraktion","abgeordneten","ausschusses","eingebrachten","eingebrachten","überweisung","eingebrachten","abgeordneter","weiterer","entwurfs","entwurfs","tagesordnungspunkt","weiterer","überweisung","beschlussempfehlung","weiterer","überweisung","fraktion","aussprache","fraktion","interfraktionell","interfraktionell","ausschüsse","aussprache","tagesordnungspunkt","einverstanden","beratung","interfraktionellen","tagesordnungspunkt","zp","tagesordnung","tagesordnung","ard","verleihung","mandate","lobbyregister","kirchen","bundestagswahl","hauptausschuss"
"12","drucksache","gegenprobe","aussprache","aussprache","überweisung","gewünscht","überweisung","rufe","eingebrachten","gegenprobe","gewünscht","handzeichen","enthaltungen","gesetzes","entwurfs","enthaltungen","gegenprobe","eingebrachten","entwurfs","rufe","eingebrachten","eingebrachten","eingebrachten","gegenprobe","handzeichen","mittelstandsfragen","rufe","gewünscht","einstimmig","berichterstatter","handzeichen","gegenprobe","rufe","eingebrachten","änderung","beschlussfassung","berichts","änderung","rufe","gesetzes","drucksachen","änderung","beratung","beschlussfassung","rat","eingebrachten","gemäss","federführend","gemäss","comment","eingebrachten","aussprache","erste","berichts","einverstanden","ältestenrat","ausschusses","überweisungsvorschlag","gesetzes","fraktion","gewünscht","entwurfs","überweisungsvorschlag","ältestenrat","rufe","antrag","geschäftsordnung","tagesordnungspunkt","tagesordnungspunkt","gesetzes","tagesordnungspunkt","entwurfs","drucksachen","tagesordnungspunkt","gesetzes","tagesordnungspunkt","gesetzes","ausschusses","abgeordneten","fraktion","berichterstattung","berichterstattung","antrags","drucksachen","tagesordnungspunkt","antrags","beschlussempfehlung","eingebrachten","abgeordneten","entwurfs","tagesordnungspunkt","fraktion","interfraktionell","weiterer","abgeordneten","entwurfs","tagesordnungspunkt","fraktion","antrags","aufgeführten","antrags","überweisung","weiterer","überweisung","aussprache","entwurfs","interfraktionell","fraktion","interfraktionell","fraktion","tagesordnungspunkt","aufgeführten","interfraktionell","tagesordnung","beschlossen","tagesordnung","beschlossen","abgeordneten","ausschüsse","einverstanden","einsetzung","aussiedler","baukulturbericht","verkleinerung","abgeordnete","versammlungen","demokratie","parteien"
"13","bitte","schliesse","erste","gewünscht","aussprache","überweisung","gewünscht","schriftlicher","gewünscht","bitte","gegenprobe","ausschusses","gewünscht","beschlossen","rufe","gegenprobe","gewünscht","beschlossen","gegenprobe","eingebrachten","entwurfs","punkt","tagesordnung","drucksachen","berichts","entwurfs","punkt","ausschusses","gewünscht","betr","entwurfs","berichts","ausschusses","nr","gesetzes","rechtzeitig","ausschusses","vorlage","antrags","drucksachen","betr","drucksachen","betr","endgültigen","beschlussfassung","verordnung","gesetzes","beschlossen","gesetzes","gesetzes","drucksachen","gewünscht","ältestenrat","beschlossen","entwurfs","gewünscht","ältestenrat","fraktionen","fraktion","gewünscht","beschlossen","gesetzes","tagesordnungspunkt","tagesordnungspunkt","grünen","beschlossen","ältestenrat","antrags","eingebrachten","tagesordnungspunkt","aussprache","beschlossen","ältestenrat","tagesordnung","ausschusses","abgeordneten","abgeordneten","abgeordneter","federführendcomment","tagesordnungspunkt","abgeordneten","gesetzes","federführendcomment","federführendcomment","abgeordneter","beschlussempfehlung","abgeordneten","abgeordneter","eingebrachten","tagesordnungspunkt","gesetzes","entwurfs","entwurfs","entwurfs","tagesordnungspunkt","fraktion","überweisung","antrags","fraktion","rechtsausschuss","überweisung","antrags","antrags","antrags","interfraktionell","drucksachen","weiterer","interfraktionell","einverstanden","ausschüsse","ausschüsse","tagesordnung","drucksachen","vorgeschlagen","rufe","widerspruch","eröffne","beschlossen","weiterer","tagesordnungspunkt","tagesordnungspunkt","drucksache","tagesordnungspunkt","wahlkreisen","wahlrechts","rechtsverordnung","fraktion","parlament"
"14","entwurfs","erste","einleitung","gesetzes","beschlossen","aussprache","bitte","dritte","handzeichen","handzeichen","entwurfs","enthaltungen","ausschusses","enthaltungen","gewünscht","ausschusses","überweisung","überweisung","wünscht","entwurfs","wünscht","änderung","berichts","enthaltungen","rufe","gewünscht","einstimmig","rufe","punkt","überwiesen","beschlossen","entwurfs","verordnung","überwiesen","rufe","endgültigen","überwiesen","rat","drucksachen","betr","änderung","ausschusses","vorlage","nr","vorlage","federführend","änderung","haushaltsausschuss","änderung","ausschusses","gemäss","ausschusses","bericht","spaniens","eingebrachten","einverstanden","einverstanden","eingebrachten","beschlussempfehlung","geschäftsordnung","gesetzes","tagesordnungspunkt","eingebrachten","eingebrachten","überweisung","gesetzes","ältestenrates","berichterstatter","federführendcomment","tagesordnung","überweisungsvorschlag","fraktion","beschlossen","gesetzes","antrags","fraktion","erste","berichts","gesetzes","federführendcomment","abgeordneter","federführendcomment","abgeordneter","ausschusscomment","abgeordneten","gesetzes","fraktion","entwurfs","gesetzes","eingebrachten","fraktion","gesetzes","antrags","fraktion","abgeordneter","weiterer","gesetzes","rufe","ausschusses","eingebrachten","entwurfs","tagesordnungspunkt","tagesordnungspunkt","interfraktionell","tagesordnungspunkt","eingebrachten","ausschüsse","aufgeführten","antrags","aufgeführten","tagesordnung","fraktion","fraktion","interfraktionellen","vorgeschlagen","vorgeschlagen","abgeordneter","rufe","tagesordnung","ausschüsse","wahlgang","zwei","vorsorgeprinzip","direktmandate","mandate","mandat","bürger","stimmen"
"15","erheben","ausschusses","bericht","eröffne","bericht","beschlossen","beschlossen","einleitung","aussprache","gewünscht","berichterstatter","beschlossen","bitte","berichterstatter","gesetzes","beschlossen","gesetzes","gegenprobe","berichterstatter","handzeichen","drucksachen","tagesordnung","entwurfs","gesetzes","wer","gesetzes","drucksachen","wer","ausschusses","gegenprobe","rufe","betr","änderung","änderung","entwurfs","rat","änderung","endgültigen","änderung","berichts","beschlussfassung","antrags","berichterstatter","berichterstatter","nr","ausschusses","beschlussempfehlung","comment","drucksachen","änderung","sehe","beschlossen","berichterstatter","einverstanden","beschlossen","haus","überweisungsvorschlag","entwurfs","drucksachen","beschlossen","überweisungsvorschlag","überweisungsvorschlag","berichterstatter","berichts","fraktionen","eröffne","gesetzes","drucksachen","rufe","ausschusses","ausschusses","ältestenrat","überweisung","fraktion","fraktion","überweisung","federführendcomment","fraktion","tagesordnungspunkt","berichterstattung","federführendcomment","abgeordneten","eingebrachten","abgeordneten","berichts","rechtsausschuss","ausschusscomment","antrags","rufe","antrags","ausschusscomment","fcomment","gesetzes","ausschüsse","interfraktionell","rechtsausschuss","weiterer","eingebrachten","ausschusscomment","ausschüsse","weiterer","bündnisses","eingebrachten","tagesordnungspunkt","entwurfs","rechtsausschuss","einverstanden","ausschüsse","ausschüsse","antrags","fraktion","drucksachen","ausschüsse","beschlossen","tagesordnungspunkt","rufe","einverstanden","einverstanden","beschlossen","aufgeführten","weiterer","söder","reisen","personalisierten","reduzierung","parlament","parlament","wahlperiode"
"16","gegenprobe","haus","schlage","gegenprobe","gewünscht","handzeichen","gegenprobe","gegenprobe","beschlossen","bericht","gesetzes","gesetzes","überweisung","bericht","handzeichen","entwurfs","bericht","entwurfs","beschlossen","wünscht","rufe","gewünscht","wer","bericht","eingebrachten","wünscht","angenommen","einstimmig","gesetzes","enthaltungen","gewünscht","ewg","punkt","gesetzes","beschlussfassung","festsetzung","ältestenrates","rechtzeitig","rates","änderung","entwurfs","überweisungsvorschlag","rechtzeitig","änderung","änderung","rates","haushaltsausschuss","gemäss","comment","schreiben","beschlossen","widerspruch","beschlussempfehlung","haus","widerspruch","berichterstatter","widerspruch","beschlossen","berichterstatter","beschlussempfehlung","ausschusses","drucksachen","entwurfs","gesetzes","drucksachen","eingebrachten","federführendcomment","beschlossen","entwurfs","beschlossen","änderung","tagesordnungspunkt","federführendcomment","abgeordneter","abgeordneten","tagesordnung","rechtsausschuss","überweisungsvorschlag","überweisung","erste","gesetzes","tagesordnungspunkt","tagesordnungspunkt","tagesordnungspunkt","ausschusses","überweisung","berichterstattung","rufe","interfraktionell","weiterer","überweisung","weiterer","beschlussempfehlung","aufgeführten","ausschusscomment","rufe","antrags","entwurfs","berichterstattung","beschlossen","eingebrachten","interfraktionell","interfraktionell","rufe","antrags","tagesordnungspunkt","aufgeführten","tagesordnungspunkt","aufgeführten","tagesordnung","antrags","überweisungsvorschlag","tagesordnung","antrags","tagesordnung","einverstanden","widerspruch","abgeordneter","tagesordnungspunkt","weiterer","antrag","widerspruch","bundesnetzagentur","parteien","zahl","lobbyismus","wahlen","abgeordnete"
