"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","vertriebenen","vertriebenen","vertriebenen","sontra","flüchtlinge","vertriebenen","aussiedler","vertriebenen","flüchtlinge","saar","saar","saar","flüchtlinge","vertriebenen","flüchtlinge","rehs","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","vertriebenen","herold","flüchtlinge","innerdeutsche","flüchtlinge","unterhaltshilfe","herold","flüchtlinge","seeschiffahrt","depots","sport","din","sport","verbraucherpolitik","stiftung","jentsch","rechtsberatung","reiseveranstalter","sport","künstler","künstler","künstler","künstler","wimmer","libanon","the","of","the","nicaragua","sdaj","ded","ded","gmbh","kreditnehmer","huonker","brd","jugendschutz","kassette","guernica","kunst","stiftung","kultur","treuhand","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","ddr","ddr","ostdeutschen","ddr","ostdeutschen","bundesländern","neuen","neuen","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","ost","ost","ost","ostdeutschland","pds","ost","ostdeutschland","ostdeutschland","ost","osten","ost","ost","ost","ddr","ost","ost","ost","osten","ost","ost","ost","ddr","einheit","ddr","osten","dat","de","osten","ddr","ddr","ddr","einheit","helmut","ostdeutschland"
"2","heimatvertriebenen","flüchtlinge","zonenrandgebiet","eingliederung","arbeitskräfte","flüchtlinge","richtlinien","flüchtlinge","vertriebenen","saarlandes","saarland","saarland","vertriebenen","flüchtlinge","novelle","unterhaltshilfe","dienstordnung","zone","wahlkreise","unterhaltshilfe","vertriebene","wiedergutmachung","vertriebenen","mrd","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","entschädigung","novelle","innerdeutsche","gleichstellung","beziehungen","aufbaudarlehen","fircks","innerdeutsche","fircks","sports","sport","sports","normung","sports","verbraucher","olympischen","dsb","industriefischerei","stiftung","brd","sport","olympischen","publizisten","publizisten","neuss","libanesischen","of","helfer","dienstag","bergpredigt","blockaden","sacharow","leuchtturm","co","geschäftsordnung","film","initiative","videokassetten","legion","baskischen","künstler","salzgitter","einigungsvertrag","treuhandanstalt","treuhandanstalt","treuhand","treuhand","treuhand","treuhand","ddr","sport","ostdeutschen","ddr","neuen","ddr","neuen","ostdeutschland","ost","neuen","ostdeutschland","neuen","neuen","neuen","osten","ost","osten","osten","ostdeutschland","ostdeutschland","osten","west","ostdeutschland","ost","bonn","einheit","ost","osten","ddr","west","osten","ddr","osten","rentenversicherung","ost","ddr","einheit","osten","polen","ddr","polen","ost","de","osten","einheit","osten","osten","juni","ddr","kohl","ddr"
"3","menschen","eingliederung","zonenrandgebieten","flüchtlinge","vertriebene","sowjetzonenflüchtlinge","vertriebenen","sowjetzonenflüchtlinge","oberländer","saarländischen","saarländischen","saarlandes","kriegsgeschädigte","hauptentschädigung","hauptentschädigung","vertriebenen","lastenausgleich","vertriebene","unterhaltshilfe","flüchtlinge","novelle","flüchtlinge","novelle","petitionen","kriegsgeschädigte","flüchtlinge","heimatvertriebenen","geschädigten","flüchtlinge","gleichstellung","beziehungen","innerdeutsche","petitionen","unterhaltshilfe","kriegsschadensrente","vollendung","ruhrkohle","sportförderung","schiffen","sportkonferenz","vereine","stiftung","tourismus","sportorganisationen","wiesbaden","umweltaktion","konrad","zdf","künstlern","publizisten","künstlersozialabgabe","vermarkter","grenzkommission","palästinenser","and","klauseln","historiker","widerstand","gewalt","köhler","sdaj","amp","bundeswasserstrasse","vermögensbeteiligungsgesetz","zirka","filme","condor","geste","kultur","ag","ehemaligen","neuen","neuen","neuen","kommunen","deponie","ddr","treuhand","neuen","bundesländern","bundesländern","bundesländern","kommunen","ostdeutschen","ost","ostdeutschen","aufbau","osten","osten","osten","bundesländern","bundesländern","osten","neuen","neuen","neuen","osten","ost","osten","osten","neuen","ost","ostdeutschland","neuen","ostdeutschland","einheit","osten","einheit","osten","west","ostdeutschland","einheit","beiräte","osten","west","einheit","ost","sowjetunion","west","un","ost","ostdeutschland","ostdeutschland","ostdeutschland","thüringen","osten","osten","aufarbeitung"
"4","flüchtlinge","heimatvertriebenen","heimatvertriebenen","vertriebenen","heimatvertriebenen","eingliederung","flüchtlinge","oberländer","eingliederung","saarland","saarländische","schneider","vertriebene","novelle","unterhaltshilfe","flüchtlinge","tinte","vertriebenen","novelle","weber","kriegsgeschädigte","entschädigung","gleichstellung","niekisch","vertriebenen","vertriebenen","promille","vertriebene","gleichstellung","betroffenen","barm","novelle","zonenrandgebietes","fircks","freiherr","zonengrenze","ag","sport","fonds","sportförderung","nichtsesshaften","vereine","behindertensport","verbraucherzentralen","verbraucher","sports","adenauers","sports","lattmann","sport","vermarkter","künstlersozialabgabe","altreifen","libanesen","to","platten","to","gewalt","bergpredigt","andrej","tutu","dollart","vorstellt","filmförderung","sozialversicherungsausweis","jugendliche","madrid","stadt","kulturpolitik","kultur","bundesländern","bundesländern","bundesländern","rückgabe","neuen","schönberg","ostdeutschen","ostdeutschen","ostdeutschen","altschulden","ostdeutschland","ostdeutschen","ostdeutschland","ostdeutschland","ddr","ostdeutschland","ostdeutschen","neuen","bundesländern","bundesländern","osten","neuen","neuen","bundesländern","bundesländern","bundesländern","einheit","regionen","ost","regionen","ostdeutschen","osten","osten","bundesländern","west","west","ostdeutschland","ostdeutschland","west","ddr","rente","west","osten","west","ostdeutschland","volkskammer","osten","ost","bonn","ddr","einheit","westen","ostdeutschen","ostdeutschen","sozialismus","aufarbeitung","einheit","geschichte"
"5","schleswigholstein","bauern","eingliederung","eschwege","kriegsgeschädigte","heimatvertriebenen","lastenausgleichsbank","kather","vertriebene","französischen","schneider","bundesgebiet","eingliederung","geschädigten","vertriebenen","lastenausgleichsgesetz","vertriebenen","korspeter","flüchtlinge","schäden","gleichstellung","hauptentschädigung","schäden","entschädigung","heimatvertriebenen","heimkehrer","vertriebenen","novelle","häftlinge","flüchtlinge","vermögen","vertriebenen","fircks","petitionsausschuss","unterhaltshilfeempfänger","beziehungen","ddr","evers","erlassen","vereine","sports","sportförderung","urlaub","spiele","sportbund","dollar","nachlass","kurzform","sports","sportler","künstlersozialversicherungsgesetz","selbständigen","besatzungsmächte","stercken","our","stromwirtschaft","of","co","volksbefragung","entwicklungshelfer","roter","kg","co","fernsehen","sei","sauter","baskenland","programmiert","moderne","kulturpolitik","treuhandanstalt","ehemaligen","kommunen","alteigentümer","chemnitz","ddr","neuen","neuen","bundesländern","neuen","altschulden","ostdeutschland","altschulden","ddr","osten","bundesländern","einheit","ostdeutschen","ostdeutschland","länder","ostdeutschland","sachsenanhalt","aufbau","streik","ostdeutschland","osten","sachsen","ostdeutschen","neuen","neuen","osten","bundesländern","neuen","ostdeutschland","westen","osten","ddr","ost","westen","westen","west","ostdeutschland","west","ostdeutschland","ddr","sowjetunion","west","west","westen","ost","dat","ostdeutschen","treuhand","ost","sed","haribo","geschichte","osten"
"6","bayern","sowjetzonenflüchtlinge","sowjetzonenflüchtlinge","arbeitskräfte","vertriebenen","evakuierten","vertriebene","vertriebene","aussiedler","eingliederung","eingliederung","saarbrücken","geflüchteten","rehs","kriegssachgeschädigten","vertriebene","urkunden","flüchtlingen","wahlkreis","novelle","vertriebenen","schäden","wiedergutmachung","flüchtlinge","vertriebene","hassel","gleichstellung","kriegsgeschädigte","rutschke","kinderkriminalität","ddr","fircks","eingaben","fragebogen","lastenausgleichsgesetz","bisher","nordvietnam","seeleute","steinkohlenbergbau","sportpolitik","vereinen","schäuble","verbrauchers","sportvereine","reiseveranstalter","rain","adenauer","bundesrepublik","publizisten","olympische","maschinensteuer","zusatzfrage","elbeabschnitt","unifil","that","panik","radikalismus","gmbh","aktionen","jelena","arbeitsgemeinschaft","emder","krediten","produktivkapital","juni","gefährdungshaftung","brd","baskenland","duve","künstler","eigentum","rückgabe","ehemaligen","entschädigung","bundesländern","neuen","privatisierung","privatisierung","rückgabe","kommunen","kommunen","kommunen","sport","ost","bundesländern","schwanitz","osten","bundesländern","einheit","ostdeutschland","ostdeutschen","ostdeutschland","bundesländern","ostdeutschland","ostdeutschen","aufbau","neuen","neuen","einheit","west","einheit","west","bundesländern","einheit","einheit","bundesländern","ostdeutschen","westen","ostdeutschland","ostdeutschland","osten","westen","rente","ostdeutschen","westen","sowjetischen","ostdeutschland","betroffenen","ostdeutschen","west","un","ddr","ost","thüringen","berufsverbrecher","wiedervereinigung","ddr","enquetekommission"
"7","land","oberländer","betriebe","vertriebene","oberländer","vertriebene","schleswigholstein","eingliederung","länder","saarländische","saarlandes","vertriebene","oberländer","lastenausgleichsgesetz","zone","kriegsgeschädigte","kugelschreibern","gleichstellung","neueinteilung","ansprüche","entschädigung","unterhaltshilfe","bundesvertriebenengesetzes","lastenausgleich","rehs","schäden","sowjetzonenflüchtlinge","schäden","kriegsgefangenen","schäden","flüchtlinge","herold","ddr","freiherr","flüchtlinge","ausgeweitet","guthaben","landgerichte","flüchtlinge","sportvereine","vereinsrecht","sportbericht","reisen","sport","verbraucherpolitik","bibliotheken","reisenden","buches","kunst","komitee","zink","künstlern","monatlich","palästinensern","we","unwirksam","bewilligung","amp","gewaltfreie","mitarbeiterkonferenz","antidumpingverfahren","ems","herr","beteiligungssondervermögen","baum","jugendlichen","kassetten","maschinen","kulturförderung","stadt","ddr","einigungsvertrag","fremdenverkehr","unternehmen","ostdeutschen","sport","kommunen","bundesländern","mauer","ostdeutschland","neuen","ost","neuen","osten","ostdeutschen","aufbau","bundesländern","einheit","ostdeutschen","aufbau","west","aufbau","ostdeutschen","bundesländer","einheit","regionen","ostdeutschen","bundesländern","grenzregionen","aufbau","bundesländern","neuen","west","ddr","bundesländern","neuen","einheit","west","ostdeutschen","einheit","ddr","angleichung","korea","uruguay","renten","juni","wiedervereinigung","schäden","einheit","osten","west","ost","aufarbeitung","einheit","einheit","akten","stiftung","einheit"
"8","umsiedlung","menschen","zonenrandgebiete","heimatvertriebenen","gebieten","oberländer","rehs","geschädigtengruppen","menschen","frankreich","bundesgebiet","eingliederung","saarland","lastenausgleichsgesetzes","rutschke","novelle","lastenausgleichs","heimatvertriebenen","hannover","milliarden","einrichtungshilfe","vertriebenen","geschädigten","schäden","hauptentschädigung","vertriebene","korspeter","reparationsschädengesetz","schäden","unterhaltshilfe","reddemann","beziehungen","herold","ausgleichsfonds","novelle","wiedergutmachung","bevölkerungsgruppe","breitensport","schiffe","bundessportplan","deutsches","sportvereine","ausland","sportler","sportbundes","aussergerichtlichen","urheber","sportverbände","autoren","kunst","künstlersozialkasse","ungleichheit","londoner","meisterprüfung","libanon","rome","drückebergerei","richtlinie","kdlsv","bonner","anweisungen","tschasow","kenntnis","filmwirtschaft","sellin","film","baskischen","legion","nskunst","satzung","treuhand","privatisierung","vermögen","privatisierung","sport","mecklenburgvorpommern","bundesländern","eigentum","ostdeutschland","ost","mauer","altschulden","bundesländern","bodenreform","aufbau","osten","ostdeutschland","ddr","west","ostdeutschen","aufbau","sachsen","west","ostdeutschen","bundesländer","ga","regionen","aufbau","ostdeutschland","ostdeutschen","bundesländer","regionen","ostdeutschen","westen","ostdeutschen","westen","westen","rentenüberleitung","einheit","rentenversicherung","renten","rente","sowjetunion","westen","einheit","kriegsgefangenen","ostdeutschen","osten","ostdeutschland","wi","sprachen","west","west","west","westen","ostdeutschen","ost","seddiktatur"
"9","niedersachsen","vertriebene","massnahmen","sowjetzonenflüchtlinge","sowjetzonenflüchtlinge","kather","betriebe","trakehner","lager","bundesrepublik","saarbevölkerung","problem","weltflüchtlingsjahres","lastenausgleich","geschädigten","lieferprämie","lastenausgleichsgesetz","mischnick","hirsch","vertriebenen","wiedergutmachung","gräber","entschädigung","eingaben","lastenausgleichsgesetz","unterhaltshilfe","verbesserungen","personen","heimatvertriebenen","vertriebene","damm","hauptentschädigung","petitionsausschusses","beziehungen","vertriebenen","erlaubt","freiherr","brt","schiffahrt","maihofer","datenbank","sporthilfe","sport","rechtsberatung","dtsb","stiftung","klagen","öffentlichrechtliche","goetheinstituts","spiele","vermarktern","nordkorea","grenzverlauf","zusatzfrage","is","teilt","is","faschismus","gewaltfreien","meinungsdruck","sand","emsdollart","demokratie","kino","bombardierung","vermietung","pohlmeier","mythos","museen","gedenkstätte","kommunen","kommunen","ländern","eigentum","privatisierung","privatisierung","untersuchungsausschuss","sport","privatisierung","bvs","krüger","krüger","sportförderung","ostdeutsche","pds","ddr","ddr","west","ddr","massstäbegesetz","einheit","bundesländer","stolpe","westen","stolpe","ostdeutschen","bundesländern","grenzregionen","polen","bundesländern","investitionszulage","ostdeutschen","westen","regionen","neuen","ostdeutschland","neuen","ostdeutschen","neuen","lohnunterlagen","westen","ostdeutschen","zuwanderer","ddr","ostdeutschen","ehemaligen","rentenrecht","sowjetischen","ddr","einheit","herr","denkmal","leipzig","wiedervereinigung","wurden","ost","orte","ost"
"10","länder","evakuierten","umsiedlung","evakuierten","massnahmen","umsiedlung","oberländer","heimatvertriebenen","flüchtlingen","übergangszeit","französischen","saargebiet","bauern","auszahlung","zwangslage","eingliederung","vertriebene","eichelbaum","verfolgten","regierungsentwurf","heimatvertriebenen","verbesserungen","ansprüche","reserven","verbesserungen","mick","vertriebene","ansprüche","petitionsausschuss","lastenausgleich","quick","sowjetzonenflüchtlinge","lastenausgleichs","innerdeutsche","geschädigten","statistiken","herr","bundessportplan","deutschen","sportorganisationen","mehrheitsbeteiligung","sportkonferenz","verbraucherbericht","sporthilfe","verbrauchers","sport","reisen","organisiert","schriftsteller","künstlern","künstlern","fehlt","absturz","wimmer","it","be","niedergelegt","entwicklungshelfer","widerstand","luuk","ähnlichen","entwicklungshelfer","bad","förderung","legion","salzgitter","wohlfahrtsverbände","friedensforschungszentrum","architektur","schmidt","fünf","ddr","privatisierung","bundesländern","ddr","rückgabe","ostdeutschland","untersuchungsausschuss","kommunen","treuhandanstalt","grundstücke","wurden","sanierung","west","sed","west","schwanitz","schwanitz","aufbau","bundesländer","ammendorf","ostdeutschen","ländern","sachsen","mecklenburgvorpommern","bundesländer","west","region","aufbau","investitionszulage","regionen","westen","regionen","ostdeutschen","angleichung","ostdeutschen","bundesländern","ehemaligen","ehemaligen","neuen","westdeutschland","neuen","westen","angleichung","angleichung","polnischen","deutschen","opfer","angleichung","ok","ik","freiheits","wiedervereinigung","revolution","damals","geschichte","ostdeutschen","west"
