"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschlands","deutschlands","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","europäischen","wiedervereinigung","freihandelszone","europäischen","sowjetunion","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","vertrag","europäischen","europäischen","europäischen","europäischen","gemeinschaft","europäischen","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europa","konferenz","europa","staaten","europäischen","europäischen","europa","staaten","staaten","staaten","sowjetunion","sowjetunion","europa","sowjetunion","staaten","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","waffen","waffen","sowjetunion","waffen","waffen","europa","sowjetunion","europa","europa","europa","europäischen","europäischen","europa","europäischen","europäischen","russland","europa","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","türkei","europäischen","europa","europäischen","europäischen","europa","europäischen","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europa","europa","europa","europa","griechenland","europa","europa","europa","europa","europa","europa","europa","europäischen","europa","europäischen","europa","europa"
"2","verträge","politik","londoner","verträge","wiedervereinigung","sowjetunion","saar","europäische","sowjetunion","europäischen","staaten","wiedervereinigung","europäischen","staaten","staaten","gemeinschaft","ewg","vertrag","vertrag","europäische","europäische","parlaments","frankreich","französischen","ewg","gemeinschaft","europäische","gemeinschaft","europäische","europäischen","europäische","gemeinschaft","gemeinschaft","gemeinschaft","europäischen","gemeinschaft","europäischen","gemeinschaft","europa","europa","europa","europäischen","puerto","europäischen","europäischen","europa","europa","europäischen","sowjetunion","sowjetunion","welt","bundeskanzler","abrüstung","sowjetunion","staaten","frieden","europa","waffen","waffen","waffen","europa","sowjetunion","waffen","europa","abrüstung","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","waffen","europa","europäischen","europäischen","europäischen","europa","europa","europäischen","europa","europa","europäischen","europäischen","europa","europa","europa","europäischen","europäischen","europa","nizza","europa","europa","europäischen","europäischen","europa","europa","europa","europäischen","türkei","europäischen","europa","europa","europäischen","europa","europäischen","europa","europäische","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","griechenland","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europa","europäischen","europäischen"
"3","bundesrepublik","europäischen","deutschlands","saar","deutschlands","deutschlands","sowjetunion","wirtschaftsgemeinschaft","deutschlands","wirtschaftsgemeinschaft","verträge","beziehungen","efta","ewg","europäische","ewg","wirtschaftsgemeinschaft","vertrages","französischen","ministerrat","europa","parlament","gemeinschaft","ewg","vertrag","ewg","europa","ewg","frankreich","gemeinschaft","gemeinschaft","europäische","europäische","europäische","europäische","gipfelkonferenz","europäische","europäische","gemeinschaft","gemeinschaft","staaten","gemeinschaft","rico","gemeinschaft","europa","staaten","gemeinschaft","europäische","europa","europa","europa","staaten","frieden","polen","frieden","bündnis","staaten","europa","europa","europa","staaten","staaten","amerikanischen","reykjavik","nulllösung","abrüstung","abrüstung","abrüstung","abrüstung","nato","sowjetunion","staaten","europäische","europäische","maastricht","europäische","union","union","russland","europäische","nato","europäische","währungsunion","europäische","euro","europäische","europäische","union","europa","union","union","europäische","europäische","europäische","europäische","europäische","europa","europa","türkei","europäische","europäische","europäische","europäische","europäische","europäische","europa","europäische","europäische","europäische","europäische","griechenland","europäische","europäische","europäische","europäische","europäischen","europäischen","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische"
"4","vertrag","wiedervereinigung","ollenhauer","deutschlands","beziehungen","bundesrepublik","nato","staaten","nato","wiedervereinigung","freihandelszone","europäischen","europa","europäische","wirtschaftsgemeinschaft","gemeinsamen","staaten","brüssel","staaten","parlament","ewg","europäische","französischen","verhandlungen","europäische","europa","ewg","europa","ewg","vertrages","europa","währungsunion","europa","europa","europa","partner","europa","vereinigten","europäische","europäische","gemeinschaft","europäische","europäischen","europäische","gemeinschaft","vereinigten","europäische","gemeinschaft","afghanistan","europäischen","europäischen","europa","europa","bundeskanzler","europa","europa","europäischen","staaten","stationierung","staaten","waffen","europa","usa","waffen","waffen","europa","europa","europa","europa","europa","nato","europäischen","sowjetunion","maastricht","europäische","gemeinschaft","europäische","europäische","union","union","europa","union","europäische","nato","währungsunion","union","union","europäische","union","nizza","europäische","union","türkei","union","türkei","verfassung","europäische","europäische","europäische","union","union","union","union","vertrag","kommission","vertrag","griechenland","kommission","mitgliedstaaten","griechenland","europäische","griechenland","union","union","union","europäische","europäische","union","union","grossbritannien","union","union","union","union","union","union","eu","union"
"5","deutschland","saar","politik","bundesrepublik","konferenz","politik","politik","vertrag","bundeskanzler","deutschlands","europa","gesamtdeutschen","staaten","verhandlungen","vereinigten","europäische","europäische","europäische","auswärtigen","vertrag","französischen","gemeinschaften","kommission","europäische","europa","beitritt","gemeinschaft","europäische","gemeinschaft","staaten","ewg","vertrag","währungsunion","konferenz","ewg","staaten","zusammenarbeit","europa","vereinigten","konferenz","europäische","staaten","gemeinschaft","staaten","vereinigten","gemeinschaft","staaten","staaten","europäischen","afghanistan","sowjetunion","verhandlungen","staaten","staaten","amerikanischen","sowjetunion","waffen","frieden","staaten","sowjetischen","amerikanischen","sdi","staaten","abrüstung","europa","konventionellen","nuklearen","staaten","verhandlungen","abrüstung","europäischen","baltischen","maastricht","waffen","vertrag","staaten","nato","staaten","europäische","währungsunion","europäische","währungsunion","union","union","europäische","nato","euro","regierungskonferenz","europäische","europäische","konvent","europas","union","nato","verfassung","union","union","verfassung","eu","eu","bulgarien","eu","vertrag","union","union","union","eu","union","eu","union","fiskalpakt","union","kroatien","eu","eu","griechischen","union","grossbritannien","mitgliedstaaten","union","eu","eu","eu","eu","eu","eu","union","eu"
"6","bundeskanzler","verträge","europäischen","sowjetunion","sicherheit","staaten","deutschlands","gemeinschaft","staaten","verhandlungen","wiedervereinigung","berlin","europäische","gemeinsamen","ewg","kommission","gemeinsamen","verträge","vertrages","wirtschaftsgemeinschaft","gemeinsamen","gemeinschaft","französische","gemeinschaft","gemeinschaft","europäische","französischen","frankreich","verhandlungen","europäische","staaten","europa","staaten","zusammenarbeit","staaten","pompidou","vereinigten","staaten","staaten","staaten","konferenz","europas","staaten","europas","europäische","amerikanischen","währungssystem","bündnis","gemeinschaft","welt","politik","politik","verhandlungen","europäischen","krieg","abrüstung","verhandlungen","verhandlungen","frieden","abrüstung","nato","usa","europa","staaten","reichweite","staaten","sicherheit","zusammenarbeit","bündnis","staaten","vertrag","sowjetischen","gemeinschaft","staaten","union","nato","gemeinschaft","präsidentschaft","atomwaffen","französischen","union","osze","euro","vertrag","union","kommission","gipfel","mitgliedstaaten","charta","polen","nizza","nato","europas","verfassung","union","eu","eu","union","union","mitgliedstaaten","rumänien","kommission","kommission","eu","eu","eu","union","eu","union","kommission","union","kommission","griechenland","kommission","kommission","griechische","bundeskanzlerin","griechenland","europas","macron","europas","brexit","brexit","europas","mitgliedstaaten","mitgliedstaaten","mitgliedstaaten","europas"
"7","europäischen","bundesrepublik","bundesrepublik","bundeskanzler","politik","verträge","verträge","gemeinsamen","verhandlungen","staaten","vertrag","deutschlands","bundesregierung","vereinigten","gemeinsamen","wirtschaftsgemeinschaft","kommission","frankreich","europäische","europa","auswärtigen","fusion","integration","frankreich","frankreich","frankreich","frankreich","gemeinschaften","französischen","europa","verhandlungen","staaten","verhandlungen","staaten","gemeinschaften","frankreich","staaten","amerikanischen","usa","vereinigten","vereinigten","frankreich","europa","vereinigten","internationalen","europäische","bundeskanzler","vereinigten","welt","moskau","bundeskanzler","amerikanischen","politik","bündnis","bundeskanzler","europäischen","vereinigten","stationierung","bündnis","frieden","vereinigten","genf","nato","amerikanischen","pershing","sicherheit","verhandlungen","europäischen","nato","bündnis","staaten","europäische","union","nato","gemeinschaft","abrüstung","russland","nato","tschetschenien","frankreich","staaten","vertrag","nato","amsterdam","währung","agenda","europas","eu","mitgliedstaaten","erweiterung","mitgliedstaaten","staaten","frankreich","konvent","regierungskonferenz","mitgliedstaaten","kommission","eu","frankreich","verfassung","kommission","mitgliedstaaten","mitgliedstaaten","kommission","mitgliedstaaten","lissabon","mitgliedstaaten","mitgliedstaaten","türkei","eu","esm","mitgliedstaaten","mitgliedstaaten","europas","mitgliedstaaten","union","griechischen","mitgliedstaaten","eu","eu","mitgliedstaaten","grossbritannien","grossbritannien","brexit","ratspräsidentschaft","ratspräsidentschaft","europas","moldau"
"8","schumanplan","deutschland","sowjetunion","statut","bundesrepublik","verhandlungen","kiesinger","verträge","regierung","europäische","verhandlungen","konferenz","verhandlungen","bundesregierung","margulies","brüssel","auswärtigen","gemeinschaft","brüssel","ewg","wirtschaftsgemeinschaft","nationalen","gemeinsamen","europa","vertrages","grossbritannien","staaten","kommission","staaten","birrenbach","zusammenarbeit","wirtschafts","ewg","ewg","währungsunion","europäische","amerikanischen","frankreich","europas","neun","bündnis","tindemans","vereinigten","parlament","carter","welt","vereinigten","parlament","vereinigten","frieden","gleichgewicht","vereinigten","genscher","afghanistan","politik","waffen","gemeinschaft","abrüstung","nato","krieg","verhandlungen","abrüstung","abrüstung","bündnis","sicherheit","bundeskanzler","konventionellen","sowjetischen","amerikanischen","verhandlungen","abrüstung","nato","nato","gemeinschaft","währungsunion","vertrag","staaten","aussenpolitik","russischen","französische","abrüstung","staaten","staaten","russland","wirtschafts","euro","eu","türkei","erweiterung","osterweiterung","ungarn","europäer","kopenhagen","staaten","eu","europas","partnerschaft","mitgliedstaaten","verfassung","kommission","eu","ratspräsidentschaft","türkei","mitgliedstaaten","sis","kommission","island","irland","kommission","mitgliedstaaten","eu","bundeskanzlerin","eu","griechenland","irland","regierung","griechische","eu","kommission","frankreich","kommission","europas","frankreich","frankreich","europas","kommission","staaten","mitgliedstaaten"
"9","politik","ollenhauer","bundeskanzler","politik","verträge","europäischen","sicherheitssystem","wiedervereinigung","politik","sowjetunion","wirtschaftsgemeinschaft","verhandlungen","freihandelszone","vertrag","bundesregierung","europa","gemeinschaft","französischen","beziehungen","brüssel","schröder","ministerrat","ewg","brüssel","französischen","grossbritanniens","gemeinschaften","mitgliedstaaten","vertrag","unterschrift","hallstein","union","wirtschafts","verhandlungen","mitgliedstaaten","erfolg","nationalen","mitgliedstaaten","einigung","ksze","bündnisses","bündnis","amerikanischen","politischen","iwf","amerikanische","amerikanischen","europas","entspannung","gemeinschaft","bündnis","bündnis","rüstungskontrolle","nato","vereinigten","aussenpolitik","abrüstung","genf","vereinigten","usa","sdi","amerikanischen","sdi","usa","mittelstreckenraketen","nato","konventionelle","frankreich","sicherheit","atomwaffen","europäische","waffen","währungsunion","abrüstung","europas","atomwaffen","europas","ksze","staaten","atomwaffen","russischen","regierungskonferenz","russland","euro","europas","eu","europarat","österreich","osterweiterung","vertrag","nationalen","transatlantischen","erweiterung","mitgliedstaaten","brüssel","türkei","rat","europas","beitritt","europas","beitritt","türkei","eu","lissabon","europas","mitgliedstaaten","kommission","griechenland","griechenland","efsf","mitgliedstaaten","europas","bundeskanzlerin","bundeskanzlerin","bundeskanzlerin","eurozone","solidarität","kommission","griechenland","europas","macron","frankreich","vertrag","deal","kommission","europas","kommission","konferenz"
"10","wiedervereinigung","europäische","sicherheitssystem","deutschland","westmächte","gemeinsamen","sicherheit","europa","deutschland","vertrag","gemeinsamen","genf","zusammenarbeit","verträge","deutschen","mitgliedstaaten","europa","europa","frankreich","parlaments","bundesregierung","europa","krise","gemeinsamen","staaten","verhandlungen","mitgliedstaaten","vertrag","abkommen","nvvertrag","vertrag","integration","scheel","mitgliedstaaten","erweiterung","bundesregierung","mitgliedstaaten","nichtverbreitungsvertrag","amerikanischen","genf","versammlung","vereinigten","aussenminister","amerikanischen","nationalen","waffen","europas","amerikanischen","bundeskanzler","bundeskanzler","frieden","waffen","bundeskanzler","frieden","waffen","friedenspolitik","politik","raketen","sowjetischen","nato","strategie","verhandlungen","sowjetischen","sowjetischen","raketen","frieden","nato","nato","usa","europäischen","gorbatschow","frieden","staaten","sowjetunion","maastrichter","waffen","vertrag","europas","nato","sicherheitspolitik","jelzin","mitgliedstaaten","europol","währungsunion","stabilität","bundeskanzler","präsidentschaft","helsinki","aussenminister","staaten","laeken","vertrag","konvent","europas","europas","erweiterung","europas","nato","europas","brüssel","ratspräsidentschaft","europas","europas","europas","vertrag","parlament","rat","europäischer","europas","eurobonds","kommission","eu","zypern","mitgliedstaaten","europas","griechen","kommission","bundeskanzlerin","brexit","brexit","frankreich","macron","mitgliedstaaten","mitgliedstaaten","solidarität","rechtsstaatlichkeit","vereinigten","kommission"
