"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","auswärtigen","abkommen","auswärtigen","dienstgruppen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","entwicklungshilfe","auswärtigen","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","zusammenarbeit","entwicklungsländern","seeschiffahrt","entwicklungspolitik","barcelona","zirisan","auswärtigen","auswärtigen","entwicklungshilfe","auswärtigen","fremdenverkehr","auswärtigen","dahrendorf","auswärtigen","auswärtigen","auswärtigen","auswärtigen","wirtschaftliche","moersch","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","bundesrechnungshof","köhler","entwicklungspolitik","nairobi","entwicklungshilfe","afrika","vereinten","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","vereinten","entwicklungspolitik","entwicklungsländern","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","türkei","vereinten","südafrika","irak","irak","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","menschenrechte","menschenrechte","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","russland","china","afghanistan","iran","nationen","afrika","russland","kosovo","russland","iran","abrüstung","israel","saudiarabien","russland","kosovo","russland","iran","ukraine","ukraine","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","bundesregierung","bundesregierung","auswärtigen","französischen","alliierten","deutschen","china","amt","vertrag","beziehungen","fremdenlegion","scherpenberg","entwicklungsländer","entwicklungshilfe","entwicklungsländern","auswärtigen","entwicklungsländern","entwicklungshilfe","entwicklungshilfe","handelsflotte","entwicklungshilfe","neureut","auslandsvertretungen","schulen","kulturpolitik","auswärtigen","jahn","auswärtigen","jahn","auswärtigen","dahrendorf","kulturpolitik","entwicklungspolitik","moersch","eppler","auswärtigen","wirtschaftliche","eppler","eppler","wirtschaftliche","entwicklungshilfe","entwicklungshilfe","entwicklungsländer","entwicklungspolitik","entwicklungsländer","nationen","afrika","nationen","südafrika","welt","entwicklungspolitik","welt","welt","entwicklungshilfe","welt","entwicklungspolitik","konvention","entwicklungsländern","nicaragua","nicaragua","südafrika","nationen","welt","sanktionen","chile","todesstrafe","welt","namibia","nationen","nationen","nationen","nationen","menschenrechte","vereinten","nationen","vereinten","entwicklungspolitik","vereinten","entwicklungspolitik","nationen","china","afrika","türkei","türkei","kosovo","menschenrechte","türkei","afrika","entwicklungszusammenarbeit","menschenrechte","terrorismus","israel","krieg","nato","terrorismus","afghanistan","afghanistan","menschenrechte","entwicklungszusammenarbeit","menschenrechte","israel","russland","pakistan","china","staaten","kosovo","menschenrechte","menschenrechte","region","menschenrechte","staaten","staaten","syrien","russland","syrien","ukraine","syrien","syrien","syrien","türkei","türkei","türkei","iran","syrien","syrien","türkei","ukraine","russland"
"3","alliierten","saar","deutschen","fremdenlegion","auswärtigen","deutsche","deutschen","beziehungen","deutschen","deutschen","amts","amts","auswärtigen","amts","entwicklungsländer","zusammenarbeit","entwicklungsländer","entwicklungsländern","amt","reedereien","gewandt","kahnackermann","botschaft","ausland","amt","entwicklungspolitik","entwicklungshilfe","fremdenverkehrs","amt","hilfe","entwicklungsländer","auswärtige","entwicklungshilfe","zusammenarbeit","auswärtigen","vertraulichen","entwicklungspolitik","wirtschaftliche","entwicklungspolitik","deutsch","wolfsburg","entwicklungsländer","todenhöfer","entwicklungsländer","entwicklungspolitik","afrika","befreiungsbewegungen","vereinten","entwicklungshilfe","entwicklungspolitik","welt","entwicklungsländer","nationen","welt","picotrac","entwicklungsländer","entwicklungshilfe","belgrad","region","welt","entwicklungsländer","welt","entwicklungsländer","chile","entwicklungsländer","welt","todesstrafe","menschenrechte","namibia","vereinten","welt","kuwait","nationen","welt","hilfe","welt","menschenrechte","entwicklungspolitik","auswärtigen","vereinten","auswärtigen","entwicklungspolitik","menschenrechte","irak","nationen","nato","nationen","menschenrechte","afrika","vereinten","mazedonien","afghanistan","afghanistan","afrika","russland","staaten","irak","nationen","kosovo","staaten","libanon","afrikanischen","menschenrechte","staaten","nato","menschenrechte","aussenpolitik","aussenpolitik","libyen","syrien","iran","syrien","russland","syrien","russland","türkei","saudiarabien","russland","russland","ukraine","russland","syrien","nato","russland","russland","menschenrechte","israel","krieg"
"4","deutsche","deutschen","staaten","alliierten","deutschen","bundesregierung","bundesregierung","deutschen","van","amt","ausland","van","entwicklungsländern","entwicklungsländer","entwicklungspolitik","entwicklungspolitik","entwicklungspolitik","wirtschaftliche","entwicklungsländer","deutschen","wischnewski","auswärtigen","kahnackermann","entwicklungshilfe","auswärtige","entwicklungsländern","kahnackermann","kahnackermann","eppler","kulturpolitik","guatemala","entwicklungshilfe","eppler","wirtschaftliche","moersch","information","entwicklungsländer","jugoslawien","todenhöfer","zusammenarbeit","todenhöfer","bahr","konferenz","köhler","entwicklungsländern","entwicklungsländer","entwicklungsländer","flüchtlinge","welt","entwicklungshilfe","entwicklungsländer","entwicklungsländern","zusammenarbeit","entwicklungsländer","abkommen","dritten","zeichnung","industrieländer","salvador","entwicklungspolitik","afrika","vereinten","nicaragua","menschenrechte","entwicklungsländern","menschenrechte","chile","südafrika","welt","welt","menschenrechte","krieg","irak","südafrika","vereinten","türkei","afrika","welt","menschenrechte","china","iran","auswärtigen","china","entwicklungszusammenarbeit","vereinten","milosevic","menschenrechte","russland","jugoslawien","mazedonien","internationalen","afrika","terrorismus","kongo","irak","region","terrorismus","vereinten","internationalen","nationen","vereinten","darfur","china","russland","menschenrechte","staaten","entwicklungszusammenarbeit","kosovo","ägypten","aussenpolitik","nationen","nationen","china","staaten","irak","staaten","is","türkischen","irak","humanitäre","region","vereinten","saudiarabien","iran","hongkong","nationen","menschenrechte","putin"
"5","kommission","bundeskanzler","amerikanischen","röchling","anfrage","französischen","französischen","amts","scherpenberg","ausland","französischen","bundesrepublik","ausland","entwicklungsländern","kalbitzer","scheel","zusammenarbeit","entwicklungsländer","kulturarbeit","reeder","kahnackermann","loekaserne","deutsche","schröder","ausland","jahn","entwicklungshelfer","jahn","deutschen","wirtschaftliche","zusammenarbeit","wirtschaftliche","entwicklungsländer","bundesrepublik","beziehungen","deutschen","eppler","zusammenarbeit","zusammenarbeit","brück","matthöfer","entwicklungsländern","narjes","brück","südlichen","entwicklungspolitik","vereinten","entwicklungsländern","nationen","entwicklungsländern","dritten","entwicklungshilfe","brück","zusammenarbeit","zusammenarbeit","welt","zusammenarbeit","unctad","afrika","währungsfonds","dritten","zusammenarbeit","entwicklungspolitik","namibia","saudiarabien","entwicklungsländer","kurden","welt","china","auswärtigen","vereinten","jugoslawien","vereinten","menschenrechte","welt","menschenrechte","nationen","auswärtigen","welt","welt","chinesischen","aussenminister","auswärtigen","auswärtigen","internationalen","krieg","vereinten","krieg","auswärtigen","nationen","krieg","terrorismus","internationalen","irak","menschenrechte","afrikanischen","china","aufhebung","vereinten","usa","region","staaten","afrika","israel","pakistan","indien","aussenminister","iran","arabischen","staaten","vereinten","vereinten","staaten","ruanda","hilfe","waffen","nationen","erdogan","is","menschenrechte","südsudan","menschenrechte","usa","region","vereinten","vereinten","russischen","russische"
"6","bundeskanzler","amts","vereinigten","bundesregierung","bundesregierung","amts","deutsche","ausland","staatsvertrag","meyer","amt","deutschen","amt","amt","auswärtigen","entwicklungsländern","wischnewski","doppelbesteuerungsabkommen","auswärtigen","kapitalstruktur","auswärtigen","hilfe","deutschen","deutsche","deutschen","entwicklungsländer","nigeria","deutschen","kambodscha","nigerianischen","amt","zusammenarbeit","entwicklungsländern","entwicklungsländern","zusammenarbeit","volksrepublik","chile","gutachten","jugoslawien","rechnungshof","sondergeneralversammlung","welt","entwicklungsländern","entwicklungsländern","schwarzen","entwicklungsländern","nationen","namibia","vereinten","hilfe","afrikanischen","zusammenarbeit","entwicklungspolitik","dritten","entwicklungsländer","global","verpflichtungsermächtigungen","welt","staaten","zusammenarbeit","guatemala","dritten","menschenrechte","menschenrechtsverletzungen","südafrika","chile","apartheid","iran","menschenrechte","türkei","kuwait","kurden","entwicklungspolitik","jugoslawien","türkei","somalia","china","menschenrechte","staatsminister","auswärtigen","welt","kinkel","nationen","algerien","entwicklungspolitik","jugoslawien","osze","kuba","internationalen","nato","staaten","frieden","nationen","nationen","internationalen","moldau","menschenrechte","region","nationen","vereinten","afghanistan","iran","staaten","streumunition","region","internationalen","haiti","region","menschenrechte","nationen","menschenrechte","waffen","menschenrechte","afrika","waffen","syrien","vereinten","humanitäre","nationen","vereinten","humanitäre","nationen","türkei","china","region","iran","frieden","russischen"
"7","hohen","auswärtige","bundesregierung","deutschen","abkommen","staaten","beziehungen","auswärtige","staatssekretär","auswärtige","scherpenberg","französischen","hilfe","auswärtige","hilfe","amt","kapitalhilfe","kapitalhilfe","kahnackermann","schiffahrt","entwicklungsländern","schule","auswärtigen","deutschen","kahnackermann","ausland","biafra","hilfe","auswärtige","entwicklungshilfe","wirtschaftliche","guinea","kiep","auswärtige","afrika","veröffentlichten","zusammenarbeit","minister","wirtschaftliche","entwicklungsländer","zusage","todenhöfer","welt","zusammenarbeit","todenhöfer","entwicklungshilfe","gewalt","swapo","entwicklungsländer","nationen","zusammenarbeit","ärmsten","entwicklungsländern","entwicklungsländern","echternach","handwerk","brück","iwf","welt","dritten","entwicklungsländern","afrika","afrika","welt","prensa","nicaragua","entwicklungsländer","nationen","türkei","khmer","bundesregierung","vereinten","welt","china","jugoslawien","uno","vereinten","gorazde","internationalen","lateinamerika","beziehungen","china","vereinten","nationen","auswärtigen","nationen","krieg","china","staaten","region","welt","staaten","nato","internationalen","entwicklungszusammenarbeit","menschenrechte","nationen","entwicklungszusammenarbeit","region","russland","kongo","menschenrechte","aussenminister","menschenrechte","israel","regierung","atomwaffen","entwicklungszusammenarbeit","waffen","vereinten","russland","menschenrechte","türkei","aussenpolitik","humanitäre","hilfe","waffen","hilfe","humanitäre","nationen","waffen","welt","menschenrechte","aussenminister","china","china","staaten","waffen"
"8","verhandlungen","saargebiet","alliierten","französische","staaten","auswärtige","forderungen","rom","schuldner","deutsche","eintritt","französische","entwicklungspolitik","scherpenberg","länder","kalbitzer","studenten","entwicklungspolitik","fritz","deutsche","hilfe","argentinien","bier","lehrer","deutsche","deutschen","amt","ausland","zusammenarbeit","eppler","entwicklungspolitik","eppler","moersch","griechischen","nationen","dpameldung","kapitalhilfe","bundesrechnungshof","hilfe","entwicklungshilfe","entwicklungsländer","zusammenarbeit","industrieländer","schlei","südafrika","welt","südafrika","staatsminister","dritten","dritten","entwicklungsländern","dritten","dritten","entwicklungspolitischen","türkei","armut","köhler","konferenz","el","entwicklungshilfe","nicaragua","uno","entwicklungshilfe","apartheid","unctad","staaten","bundesregierung","vereinten","südafrika","roten","südafrika","saddam","china","türkei","auswärtigen","entwicklungspolitik","entwicklungszusammenarbeit","afrika","nationen","dialog","tibet","indonesien","indonesien","vereinten","milosevic","türkei","osttimor","entwicklungszusammenarbeit","iwf","milosevic","nato","kosovo","vereinten","armut","nationen","internationalen","internationalen","staaten","entwicklungspolitik","belarus","staaten","china","aussenpolitik","lateinamerika","indien","russland","kosovo","nato","vereinten","welt","region","israel","kosovo","partnerschaft","türkei","region","russland","krieg","vereinten","staaten","is","aussenpolitik","nationen","ukraine","nationen","belarus","krieg","nato"
"9","auswärtigen","kommission","amts","amts","britischen","amerikanischen","frankreich","hallstein","österreichischen","staaten","vertrag","ausland","amts","van","ländern","wirtschaftliche","öffentlichkeitsarbeit","scheel","zusammenarbeit","auswärtigen","amt","deutsche","portugiesischen","südtirol","jahn","sprache","beziehungen","amt","wirtschaftliche","organisationen","entwicklungshilfe","entwicklungspolitik","chile","freyh","entwicklungsländern","staatsangehörigkeit","hilfe","todenhöfer","minister","köhler","kredit","kulturpolitik","bahr","afrika","befreiungsbewegungen","dritten","entwicklungsländern","entwicklungsländer","staaten","vereinten","bank","hilfe","ländern","hilfe","hilfe","entwicklungspolitischen","welt","williamsburg","entwicklungshilfe","staaten","zusammenarbeit","entwicklungsländer","entwicklungsländern","schwarzen","la","tibet","dritten","menschenrechtsverletzungen","staaten","regierung","saddam","türkei","kurden","afrika","humanitäre","hilfe","zusammenarbeit","un","amt","staaten","kinkel","staaten","beziehungen","kosovo","entwicklungszusammenarbeit","vereinten","internationalen","staaten","entwicklungspolitik","nordkorea","nationen","internationalen","welt","entwicklungspolitik","vereinten","sudan","entwicklungszusammenarbeit","waffenembargos","internationale","kuba","iran","regierung","usa","auswärtigen","usa","region","staaten","hamas","israel","entwicklungszusammenarbeit","südsudan","region","beziehungen","eu","flüchtlinge","saudiarabien","irak","libanon","aleppo","hilfe","irak","iran","region","menschenrechte","humanitäre","staaten","china","frieden"
"10","französischen","staaten","konvention","saar","verhandlungen","amt","amerikanischen","deutsche","amt","exportwirtschaft","staaten","staaten","staaten","staaten","welt","amtes","wirtschaftliche","ministeriums","griechenland","kahnackermann","aussenpolitik","kriege","diplomatischen","amt","kunst","bundesrepublik","auswärtige","bundesrepublik","entwicklungshilfe","zusammenarbeit","entwicklungsländern","bundesrepublik","zusammenarbeit","staatssekretärin","kreuz","ausreise","entwicklungsländern","hilfe","entwicklungsländern","entwicklungsländern","roser","entwicklungspolitischen","delegation","todenhöfer","welt","swapo","welt","flüchtlingen","todenhöfer","türkei","entwicklungsbank","länder","entwicklungshilfe","nichtregierungsorganisationen","brück","bindig","dritten","währungsfonds","südlichen","iwf","warnke","entwicklungshilfe","bundesregierung","staaten","welt","sanktionen","irak","flüchtlinge","staatsminister","menschenrechte","staaten","welt","jugoslawien","entwicklungspolitik","menschenrechtsverletzungen","menschenrechtsverletzungen","asien","schäfer","hoyer","uno","entwicklungspolitik","türkei","bundesregierung","staaten","staaten","flüchtlinge","flüchtlinge","region","nationen","internationalen","usa","mazedonien","menschenrechte","staaten","staaten","regierung","tschetschenien","internationalen","afghanischen","kongo","menschenrechte","nationen","vereinten","serbien","krieg","auswärtigen","auswärtigen","nationen","tunesien","region","eu","auswärtigen","region","türkei","region","humanitäre","osze","nato","aussenpolitik","syrien","vereinten","staaten","israel","usa","staaten","usa","sowjetunion","europa"
