"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","abs","antrag","antrag","antrag","antrag","gewerbeordnung","apotheke","schriften","antrag","gesundheitswesen","frau","frau","verbraucher","frau","frau","frau","frau","frau","gesundheitswesen","gesundheitswesen","frau","frau","gesundheitswesen","gesundheit","gesundheit","umweltschutz","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","krebsforschung","ärzte","zander","wolters","ausbildung","gesundheit","psychisch","therapie","therapie","therapie","ärzte","arzneimittel","wein","biologisch","gesundheit","bundesgesundheitsamt","paraquat","gesundheit","formaldehyd","formaldehyd","tierversuche","chemischen","aids","bundesgesundheitsamt","lebensmittel","aids","gentechnologie","gentechnik","embryonen","aids","kommission","enquetekommission","gentechnik","aids","blut","gesundheit","seehofer","gesundheit","tod","konvention","tod","gentechnik","gentechnik","bse","schwangerschaftsabbruch","gesundheit","gesundheit","forschung","stammzellen","stammzellen","forschung","gentechnik","klonen","gentechnik","reach","gentechnik","reach","reach","rauchen","patientenverfügung","studie","stammzellen","cannabis","patientenverfügung","patienten","patienten","pid","behinderung","organspende","behinderung","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","widerspruchslösung","organspende","menschen","menschen","menschen","menschen","menschen"
"2","abs","umdruck","umdruck","umdruck","abs","abs","antrag","abs","abs","umdruck","ortsklasse","verordnungen","apotheker","arzneimitteln","arzt","schwarzhaupt","schwarzhaupt","gesundheitswesen","frau","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","schwarzhaupt","frau","frau","gesundheitspolitik","gesundheitswesen","frau","frau","psychisch","gesundheit","familie","jugend","krankenhäuser","jugend","familie","jugend","jugend","jugend","jugend","gesundheit","zander","zander","gesundheit","gesundheit","zander","zander","kranken","stoffe","krebs","gesundheit","gesundheitswesen","bundesgesundheitsamt","kontrolle","verbraucher","bäder","schartz","bundesgesundheitsamt","therapie","tierversuche","krebs","arzneimittel","industrie","pflanzenschutzmittel","gesundheit","asbest","krankheit","gentechnik","gentechnologie","forschung","enquetekommission","frau","ru","gentechnisch","gentechnik","gentechnik","verbraucher","verbraucher","produkte","menschen","arzneimittel","menschen","rauchen","bio","grossbritannien","gentechnik","gentechnik","mifegyne","pid","forschung","forschung","gentechnik","sars","gentechnik","gentechnisch","stammzellen","patientenverfügung","stoffe","gentechnik","rauchverbot","patienten","gentechnik","forschung","patienten","patienten","studien","tab","kind","menschen","menschen","menschen","behinderung","behinderung","sterben","behinderung","sterben","behinderung","behinderungen","suizid","behinderungen","organspende","menschen","organspende","betroffenen","behinderungen","sterben","behinderung"
"3","ziffer","änderungsantrag","ziffer","abs","sonntage","umdruck","umdruck","umdruck","bitten","unertl","umdruck","frau","kanka","arzneimittel","krankheiten","frau","gesundheitswesen","schwarzhaupt","gesundheitswesen","werbung","schwarzhaupt","schwarzhaupt","schwarzhaupt","gesundheitswesen","strobel","strobel","strobel","strobel","heuser","strobel","jugend","familie","jugend","familie","familie","familie","jugend","familie","familie","familie","familie","jugend","prinz","patienten","versorgung","zander","gesundheit","jugend","versorgung","chemikaliengesetz","lebensmitteln","krankenhäuser","arzneimittel","arzneimittelgesetz","verbraucher","lebensmitteln","neumeister","weine","gelände","atemwegserkrankungen","arzneimittel","gesundheit","tierversuchen","gesundheit","pflanzenschutzmitteln","tierversuche","gesundheit","tiere","bundesgesundheitsamt","gentechnikgesetz","arbeitsschutz","gentechnik","bundesgesundheitsamt","tiere","verbraucher","walfang","gesundheit","bundesgesundheitsamt","bse","pyrethroide","bse","mikrotesla","hirntod","nichtraucher","medizin","nickels","vertriebsweg","gentechnisch","pid","embryonen","embryonalen","embryonen","verbot","wale","china","biotechnologie","forschung","forschung","risiko","stoffe","gentechnik","gentechnisch","gentechnisch","stammzellforschung","patientenverfügung","arzt","who","technikfolgenabschätzung","leben","barrierefreiheit","behinderung","behinderungen","behinderungen","behinderungen","sterbehilfe","sterben","ärzte","barrierefreiheit","eingliederungshilfe","barrierefreiheit","teilhabe","menschen","widerspruchslösung","widerspruchslösung","behinderungen","selbstbestimmung","leben","leben"
"4","dr","abs","abs","ziffer","umdruck","ziffer","anlage","bitten","änderungsantrag","ziffer","käufer","lebensmittelgesetz","antrag","abs","aufsicht","ministerin","ministerin","ministerin","schwarzhaupt","arzneimittel","ministerin","schulbildung","ministerin","ministerin","wein","mangerkoenig","ärzte","heuser","strobel","familie","strobel","jugend","krankenhäuser","umweltschutz","jugend","westphal","westphal","stoffe","wolters","arzneimittel","gesundheitswesen","arzneimittelsicherheit","versorgung","gesundheit","logopäden","ärzte","krankenhaus","ärzte","therapie","stoffen","cadmium","krankenkassen","fuchs","patienten","tierarzneimitteln","lebensmittel","aktuelle","chory","zulassung","gesundheitliche","bundesgesundheitsamt","stoff","tier","chemie","lebensmittel","rauchen","aids","freisetzung","enquetekommission","risiken","tier","gentechnologie","aids","tierschutz","gentechnikgesetz","gesundheit","blutprodukte","seehofer","kennzeichnung","pharmaindustrie","organentnahme","gesundheit","leben","kennzeichnung","verbieten","arbeitsschutz","gentechnisch","patentamt","widmannmauz","stammzellen","embryonen","menschenwürde","klonen","gentechnisch","enquetekommission","pflanzen","stammzellforschung","sterben","chemikalien","zulassung","raucher","gentechnik","fund","embryonalen","krankheiten","ärzte","patientinnen","krankheiten","patienten","behinderungen","behinderungen","unbehindertenrechtskonvention","barrierefreiheit","inklusion","leben","leben","sterbehilfe","behinderungen","behinderung","ehegatten","behinderung","organe","betreuer","masern","krankheit","behinderung","selbstbestimmung","ärztinnen"
"5","nr","präsident","präsident","präsident","sonntag","siehe","siehe","abzulehnen","dr","kennzeichnungspflicht","regierungsvorlage","reisegewerbe","dittrich","elbrächter","gesetz","hubert","rezeptpflicht","butter","werbung","gesundheit","hubert","hubert","hamm","hubert","ministerin","jugendherbergen","gesundheitswesen","gesundheit","mangerkoenig","jugend","psychiatrischen","umwelt","strobel","umweltschutzes","krankenhaus","dissertation","mangerkoenig","waldes","bundesministerium","zander","ärzte","patienten","gesundheit","neumeister","ärzte","erkrankungen","ärzte","widerspruchslösung","psychiatrie","industrie","krebsbekämpfung","gesundheitswesen","gesundheit","arzneimittelgesetzes","weingesetz","riedl","werbung","höchstmengen","mittel","versuche","arzneimitteln","krebserzeugend","industrie","sandoz","atrazin","dehp","bundesgesundheitsamt","tierschutz","freisetzung","enquetekommission","tiere","krankheit","schaichwalch","zulassung","forschung","iwc","seehofer","tiere","rindfleisch","verbraucher","organspende","werbung","organspende","gesundheit","gentechnologie","tiere","apotheken","kampfhunde","präimplantationsdiagnostik","gentechnik","import","enquetekommission","früherkennung","walfang","forschung","reach","embryonalen","organspende","umwelt","gentechnisch","gastronomie","pflanzen","rettungsassistenten","stammzelllinien","arzt","beratung","patient","ärzte","eltern","krankheiten","entscheidung","inklusion","design","unbehindertenrechtskonvention","suizid","suizid","suizid","eingliederungshilfe","bundesteilhabegesetz","vorsorgevollmacht","anfrage","leben","wahlrecht","behinderungen","selbstbestimmung","betreuung","barrierefreiheit","behinderungen"
"6","umdruck","dr","änderungsantrag","änderungsantrag","präsident","dr","satz","präsident","antrags","stoffe","gifte","krabben","apotheken","gesetz","gesundheitsamt","contergan","hubert","ärzte","verbrauchers","schwarzhaupt","hamm","hamm","offenbach","dr","stoffe","revisionen","gesundheit","bechert","jungmann","brand","kranken","umweltschutzes","ärzte","mangerkoenig","mangerkoenig","bundesgesundheitsamt","umweltschutz","grundgesetzänderung","lebensmittelrechts","wolters","gesundheitswesens","prinz","saynwittgensteinhohenstein","krankenhaus","praktischen","rheumatischen","krankenpflege","familie","krebsbekämpfung","drogen","krebsforschung","kostendämpfung","untersuchungen","arzneimitteln","fuchs","werbung","versorgung","arzneimittel","lager","familie","frau","hydrazin","patienten","meldepflicht","chemischen","freisetzung","pflanzenschutzmitteln","organismen","gesundheit","forschung","arbeitsschutzes","risiken","krankheit","tieren","pflanzen","forschung","bga","lebensmittel","gesundheit","pyrethroiden","pvc","nachzulassung","zustimmungslösung","raucher","patienten","krankheit","arzneimittel","menschlichen","frau","menschlichen","gentechnik","renesse","menschenwürde","forschung","klonens","organismen","embryonen","ressortforschung","industrie","chemikalien","tabakindustrie","sterben","strahlung","embryonen","befruchtung","entscheidung","ärzte","arzt","behinderung","aktionsplan","nanotechnologie","betroffenen","inklusion","teilhabe","tod","tod","palliativmedizin","unbehindertenrechtskonvention","leistungen","leben","inklusion","entscheidung","entscheidung","entscheidung","blutspende","impfpass","suizid","selbstbestimmung"
"7","fassung","vizepräsident","schmid","siehe","ziffer","präsident","dr","vizepräsident","abzulehnen","änderungsantrag","gesetz","bier","gesetz","bundesprüfstelle","präsident","schriften","arzneimittel","strobel","ministerin","auflagen","krankenschwester","krankenschwester","dr","kollegin","bundesminister","rauchen","heuser","krankenhäuser","bevölkerung","ärzte","familie","wasser","liter","umwelt","krankenhäusern","prinz","ärzte","wald","gesamtreform","gewässer","zander","familie","krebs","ärztlichen","jugend","schriften","krankenhäuser","krankenkassen","gesundheit","gesundheit","huber","drogen","ärzten","werbung","winzer","neumeister","gewollt","lebensmitteln","bundesanstalt","formaldehyd","bundesgesundheitsamtes","karwatzki","tierschutz","chemische","industrie","methoden","pflanzenschutzmittel","gesundheit","risiken","anwendung","krankheiten","kommission","therapie","methode","lebensmittel","prävention","blutprodukten","medizinprodukte","verbraucherschutz","arzneimittel","organe","chemikalien","organe","lebensmittel","therapierichtungen","gesundheit","biotechnologie","forschung","medikamentösen","präimplantationsdiagnostik","adulten","embryo","embryonen","moratorium","gentechnisch","forschung","gentechnik","biotechnologie","tierversuche","umwelt","stoff","rauchen","leukämie","stichtag","passivrauchen","befruchtung","patientenrechte","erkrankungen","stammzellen","unbehindertenrechtskonvention","krankheiten","teilhabe","unbehindertenrechtskonvention","behinderte","ärzte","palliativversorgung","behinderung","lösekrugmöller","teilhabe","psychisch","leben","behinderungen","behinderung","behinderung","leben","betreuer","behinderung","suizid"
"8","bitte","fassung","lesung","vizepräsident","fassung","anlage","vizepräsident","änderungsantrag","cducsu","präsident","abzulehnen","wein","apothekers","antrag","damen","verbraucher","contergan","hamm","markt","hubert","gesundheit","dr","bargatzky","gesundheit","säure","ministerin","krankenhäuser","krankheiten","wein","mangerkoenig","frau","ärzte","mangerkoenig","umweltprogramm","westphal","saynwittgensteinhohenstein","ärztlichen","landschaftspflege","werbung","wald","versorgung","zander","abwasserabgabe","kassenärztlichen","medizinstudenten","jugend","versorgung","krankenhaus","krebs","hasinger","gesundheit","jugend","ostsee","arzneimittelsicherheit","frau","gesundheit","patienten","familie","esterwegen","krebserzeugenden","gesundheit","frau","tiere","frau","gesundheit","frau","aufklärung","gentechnisch","asbest","gefahren","verbot","anwendung","erkrankungen","tierversuche","gesundheit","verbraucher","bundesgesundheitsamt","tierschutz","lebensmittel","erkrankungen","hirntod","felder","mensch","nichtraucherschutzgesetz","menschen","gentechnik","zulassung","risiken","alkohol","embryonalen","menschlichen","wissenschaft","ethischen","iwc","ethik","grüne","forscher","reach","tierversuchen","koexistenz","gentechnisch","nichtraucherschutz","krebs","krankheiten","medizinischen","betroffenen","medizinischen","patient","menschen","barrierefreien","cannabis","betreuung","erkrankungen","barrieren","lebens","arzt","arzt","bundesteilhabegesetz","betroffenen","behinderung","angehörigen","spender","test","games","bundesteilhabegesetz","betroffenen","behinderungen","schwangerschaftsabbrüche"
"9","herr","wort","fassung","dr","siehe","bitten","präsident","ziffer","umdruck","elbrächter","präsident","borsäure","stammberger","apotheken","stammberger","bechert","dr","herstellungsdatum","verbraucheraufklärung","verbraucher","verbraucher","zehnjährige","kaiserslautern","arzneibuch","rollmann","pflanzenschutzmittel","krankheiten","ärzte","gesundheit","meinecke","psychiatrie","frau","gesundheitspolitik","bundesministerium","abfallbeseitigung","erkrankungen","bundesministerium","gesamtreform","lebensmittel","arzneimitteln","krankenhäuser","naturheilmittel","patienten","ärztliche","ambulanten","patienten","krankenkassen","armenrecht","huber","zander","patienten","aufklärung","staatssekretär","zander","gesundheit","israel","staatspräsidenten","gesundheitliche","rückstände","zulassung","fiebig","pharmaindustrie","chemischen","störfallverordnung","trinkwasserverordnung","embryonen","lebensmitteln","gentechnologie","forschung","verbot","befruchtung","genomanalyse","forschung","präparat","patentamt","fledermäuse","blunck","institute","gentechnisch","seehofer","seehofer","elektromagnetische","klonen","menschen","antrag","kommission","mifegyne","krankheiten","promille","lebens","stammzelllinien","import","deutschland","wissenschaft","verbot","anbau","stoffe","heiderich","tierschutz","stoffen","gentechnikfrei","selbstbestimmung","global","patienten","indikation","menschen","arzt","gesundheit","präimplantationsdiagnostik","nanotechnologie","unbehindertenrechtskonvention","barrierefreiheit","teilhabe","eingliederungshilfe","gesellschaft","selbsttötung","leben","barrieren","gesetz","suizidprävention","gesellschaft","geschlecht","behinderungen","geimpft","geschlecht","operationen","sterbehilfe","ärzte"
"10","präsident","damen","vizepräsident","bitten","weihnachten","änderungsantrag","bitten","dr","damen","ausnahmen","lieferanten","kollegin","verpachtung","leihbüchereien","möglichkeit","hebammen","orthophosphorsäure","qualität","beyer","hamm","dr","werbung","hebammen","meinecke","weingesetz","verordnung","gesundheitsvorsorge","aufklärung","gesundheitspolitik","zahnärzte","krankenhäuser","prinz","gesundheitsbericht","abfallbeseitigung","umweltschutzes","bauer","landschaftspflege","umweltschutz","arzneimittel","arzneimittelsicherheit","ärztlichen","arzneimitteln","neumeister","ärzten","hammans","rheumabekämpfung","gesundheitswesen","patienten","stoffe","chemischen","bestrahlung","familie","krankenversicherung","gesundheit","amtliche","biologischen","verbrauchers","auftreten","lebensmitteln","arzneimittel","medikamente","bundesgesundheitsamt","verbot","chemieindustrie","meldepflicht","befruchtung","frau","asbest","anwendung","mensch","menschen","technikfolgenabschätzung","nebenwirkungen","tierschutzgesetzes","blunck","gentechnikgesetzes","untersuchungsausschuss","arzneimittel","aids","hersteller","verbraucherschutz","menschen","angehörigen","sauer","catenhusen","berufsgenossenschaften","kirche","stammzellen","promillegrenze","embryo","antrag","indikation","bereits","deutschland","antrag","enquetekommission","chemikalien","tierversuche","studie","gentechnikgesetzes","nichtraucherschutz","patientenverfügungen","kikkstudie","embryonale","rauchverbot","lebendspende","patientenrechtegesetz","who","behinderungen","cannabis","organspender","leben","betreuungsbehörde","bentele","behinderungen","hilfe","selbstbestimmung","sprache","unbehindertenrechtskonvention","betreuungsvereine","bundesteilhabegesetz","special","spender","angehörigen","konversionsbehandlungen","betreuungsrecht","tod","entscheidung"
