"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","aufgabe","aufgabe","aufgaben","aufgaben","aufgabe","aufgabe","aufgabe","aufgaben","unserer","aufgabe","unserer","aufgabe","unserer","aufgabe","aufgaben","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","entwicklung","unserer","unserer","unserer","gesellschaft","gesellschaft","gesellschaft","unserer","gesellschaft","unserer","unserer","unserer","unserer","unserer","bereich","unserer","bereich","unserer","unserer","unserer","unserer","unserer","müssen","unserer","müssen","müssen","müssen","müssen","unserer","müssen","bereich","unserer","müssen","aufgabe","probleme","bereich","bereich","entwicklung","müssen","entwicklung","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","müssen","müssen","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","bereich","entwicklung","förderung","tourismus","entwicklung","entwicklung","entwicklung","tourismus","globalisierung","entwicklung","rahmenbedingungen","bereich","entwicklung","raumfahrt","bereich","bereich","bereich","müssen","bereich","bereich","bereich","bereich","entwicklung","bereich","entwicklung","entwicklung","entwicklung","entwicklung","engagement","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","digitalisierung","entwicklung","ländlichen","ländlichen","digitalisierung","nachhaltigkeit","entwicklung","globalen"
"2","länder","aufgaben","aufgabe","unserer","unserer","unserer","unserer","staat","aufgabe","unserer","entwicklung","unserer","aufgabe","unserer","aufgabe","aufgaben","aufgaben","aufgabe","aufgaben","aufgaben","aufgabe","entwicklung","unsere","entwicklung","unsere","unsere","unserer","entwicklung","entwicklung","gesellschaft","unserer","unserer","unserer","gesellschaft","unserer","besonders","gesellschaft","gesellschaft","bereich","bereich","unserer","bereich","unserer","bereich","bereich","bereich","bereich","bereich","bereich","bereich","unserer","unserer","unserer","bereich","müssen","probleme","müssen","müssen","probleme","müssen","bereich","müssen","entwicklung","fremdenverkehr","probleme","müssen","entwicklung","müssen","müssen","müssen","bedeutung","müssen","entwicklung","entwicklung","entwicklung","müssen","müssen","müssen","müssen","müssen","müssen","entwicklung","bereich","entwicklung","bereich","bereich","entwicklung","enquetekommission","bereich","tourismus","bereich","enquetekommission","bereich","entwicklung","tourismus","bereich","bereich","entwicklung","wichtig","müssen","bereich","müssen","müssen","müssen","müssen","bereich","entwicklung","bereich","bereich","bereich","bereich","entwicklung","gesellschaft","bereich","bereich","nachhaltige","nachhaltige","müssen","ländlichen","engagement","entwicklung","afrika","entwicklung","regionen","entwicklung","afrika","zukunft","stärken"
"3","deutschen","unserer","staat","öffentlichen","staat","staat","aufgaben","entwicklung","staat","entwicklung","aufgabe","probleme","aufgaben","aufgaben","unserer","aufgabe","aufgabe","aufgaben","unseres","unsere","aufgaben","unsere","aufgabe","unsere","entwicklung","müssen","zukunft","müssen","unsere","entwicklung","entwicklung","zukunft","entwicklung","bereich","zukunft","ausbau","aufgabe","aufgabe","gesellschaft","gesellschaft","gesellschaft","unsere","menschen","unsere","aufgaben","unsere","unsere","entwicklung","unserer","müssen","zukunft","menschen","bereich","unserer","probleme","unserer","unserer","probleme","neue","unserer","entwicklung","probleme","müssen","bereich","bereich","unserer","unsere","zukunft","probleme","aufgaben","aufgaben","aufgaben","bereich","aufgaben","aufgaben","ländern","bereich","neuen","bereich","aufgaben","verwaltung","bereich","müssen","förderung","enquetekommission","müssen","bereich","bereich","müssen","bereich","globalisierung","entwicklung","neue","bereich","entwicklung","müssen","ländern","wichtig","müssen","entwicklung","wichtig","wichtig","wichtig","wichtig","entwicklung","herausforderungen","müssen","müssen","engagement","wandel","herausforderungen","bereich","herausforderungen","müssen","herausforderungen","müssen","bereich","nachhaltige","herausforderungen","afrika","bereich","digitalisierung","digitalisierung","entwicklung","afrika","zukunft","zusammenarbeit","zusammenarbeit"
"4","aufgaben","staat","föderalismus","aufgabe","aufgaben","aufgaben","unseres","aufgabe","entwicklung","problem","staat","besonders","entwicklung","entwicklung","besonders","entwicklung","entwicklung","entwicklung","aufgabe","aufgabe","unsere","massnahmen","entwicklung","müssen","müssen","entwicklung","müssen","unsere","modernen","unsere","bereich","müssen","menschen","entwicklung","aufgabe","bürger","bereich","bereich","aufgabe","aufgaben","aufgabe","probleme","bedeutung","menschen","unseres","entwicklung","probleme","müssen","entwicklung","unsere","bereich","bereich","mehr","probleme","bereich","aufgabe","unsere","neue","unserer","bereich","müssen","entwicklung","verbesserung","tourismus","verbesserung","zukunft","bereich","probleme","bereich","unserer","insbesondere","bereich","neuen","neuen","neuen","bereich","bedeutung","förderung","tourismus","bedeutung","tourismus","müssen","bedeutung","müssen","sowie","entwicklung","müssen","müssen","rahmenbedingungen","wichtig","entwicklung","sozialen","chancen","wichtige","wichtig","wichtig","entwicklung","bedeutung","unsere","wichtig","bedeutung","entwicklung","unsere","unsere","wichtig","müssen","wichtig","nachhaltige","wichtig","herausforderungen","wandel","menschen","ländlichen","herausforderungen","müssen","menschen","nachhaltigkeit","ländlichen","bereich","nachhaltigkeit","herausforderungen","regionen","herausforderungen","tourismus","entwicklungszusammenarbeit","entwicklung","herausforderungen","entwicklungszusammenarbeit"
"5","entwicklung","gebiet","länder","staat","immer","entwicklung","entwicklung","unserer","aufgaben","staat","aufgaben","lösung","unseres","besonders","entwicklung","unseres","letzten","unsere","unsere","probleme","probleme","aufgabe","aufgaben","aufgabe","aufgabe","probleme","aufgaben","probleme","zukunft","müssen","zukunft","entwicklung","bereich","menschen","bereich","zukunft","sozialen","zukunft","menschen","probleme","müssen","menschen","verbesserung","probleme","menschen","neue","massnahmen","menschen","massnahmen","aufgabe","damen","schaffen","bedeutung","aufgaben","aufgabe","aufgaben","besonders","damen","bereich","probleme","neue","massnahmen","probleme","müssen","aufgabe","bedeutung","verbesserung","aufgaben","stärker","zusammenarbeit","zukunft","neuen","rahmenbedingungen","bedeutung","rahmenbedingungen","rahmenbedingungen","rahmenbedingungen","bedeutung","neuen","bereich","öffentlichen","öffentlichen","neuen","bedeutung","rahmenbedingungen","neue","bedeutung","neue","tourismus","neue","rahmenbedingungen","bereich","ziel","wichtig","länder","neue","wichtig","ländern","erreichen","unsere","entwicklung","unsere","entwicklung","entwicklung","unsere","wichtig","unsere","herausforderungen","förderung","wichtig","gesellschaft","herausforderungen","bereich","ländlichen","nachhaltige","nachhaltigkeit","müssen","bereich","regionen","bereich","müssen","entwicklungszusammenarbeit","müssen","bereich","bereich","wichtig","wichtig","entwicklungspolitik"
"6","ländern","entwicklung","immer","entwicklung","entwicklung","immer","staat","immer","staates","probleme","unseres","unsere","begrüssen","unsere","gebiet","müssen","massnahmen","müssen","probleme","menschen","entwicklung","aufgaben","gesellschaft","wirtschaftlichen","probleme","menschen","probleme","dabei","aufgaben","probleme","probleme","unsere","probleme","müssen","menschen","unseres","menschen","unsere","gesellschaftlichen","bürger","entwicklung","entwicklung","massnahmen","bürger","probleme","müssen","entwicklung","aufgaben","menschen","entwicklung","wichtig","gesellschaft","menschen","damen","wichtig","mehr","aufgabe","mehr","massnahmen","wichtige","wichtige","aufgabe","rahmenbedingungen","aufgabe","entwicklung","unsere","zukunft","notwendig","unserer","bereich","müssen","besonders","selbsthilfe","bereich","bedeutung","neuen","ländern","aufgabe","förderung","neue","bereich","rahmenbedingungen","rahmenbedingungen","enquetekommission","müssen","strukturen","rahmenbedingungen","förderung","neue","müssen","förderung","rahmenbedingungen","globalisierung","neue","ländern","ländern","müssen","wichtige","wichtige","grosse","unsere","unserer","unserer","herausforderungen","nachhaltige","zusammenarbeit","zusammenarbeit","zusammenarbeit","programm","demografischen","menschen","ehrenamt","zusammenarbeit","menschen","ländlichen","bereich","ländlichen","herausforderungen","afrika","entwicklungspolitik","ländlichen","zukunft","wichtig","digitalisierung","wichtig","entwicklungszusammenarbeit","nachhaltigkeit","entwicklung"
"7","unserer","lösung","unserer","staates","unseres","öffentlichen","staates","wirtschaftlichen","unseres","gebiet","unsere","aufgaben","staat","begrüssen","probleme","besonders","probleme","einzelnen","einzelnen","unseres","politischen","unseres","sozialen","unseres","aufgaben","aufgaben","unsere","zukunft","gesellschaft","aufgabe","menschen","aufgabe","aufgaben","aufgaben","entwicklung","damen","bürger","müssen","entwicklung","aufgabe","menschen","massnahmen","müssen","aufgabe","entwicklung","menschen","müssen","probleme","unsere","massnahmen","menschen","probleme","neue","herren","gerade","bedeutung","aufgaben","bereich","aufgaben","entwicklung","damen","wichtig","insbesondere","bedeutung","bedeutung","besonders","unserer","unsere","besonders","insbesondere","wichtig","aufgabe","aufgaben","leisten","zukunft","bedeutung","neuen","aufgaben","rahmenbedingungen","verwaltung","neue","bedeutung","neue","aufgaben","neue","aufgaben","neue","tourismus","wichtig","chancen","wichtig","gesellschaft","fördern","bedeutung","müssen","unsere","länder","antrag","möglichkeiten","unserer","wichtige","wichtige","mittel","menschen","herausforderungen","unsere","herausforderungen","wichtig","müssen","zusammenarbeit","ländlichen","entwicklungsländern","antrag","wichtig","nachhaltigkeit","wichtig","ziele","regionen","programm","herausforderungen","menschen","bereich","nachhaltigkeit","wichtig","herausforderungen","nachhaltige","digitalisierung","herausforderungen"
"8","staat","staates","gebiet","gerade","notwendigkeit","müssen","bedeutung","unseres","wirtschaftlichen","aufgaben","zeit","mass","problem","probleme","problem","probleme","unseres","probleme","müssen","entwicklung","unseres","zwang","unseres","aufgaben","unseres","zukunft","aufgabe","aufgaben","müssen","dabei","müssen","menschen","müssen","aufgabe","bedeutung","entwicklung","gesellschaftlichen","probleme","probleme","unsere","probleme","aufgabe","entwicklung","aufgaben","unsere","wichtig","neue","unsere","aufgabe","neue","unsere","zukunft","damen","bedeutung","schliesslich","zukunft","ziel","aufgabe","zukunft","neue","aufgabe","unserer","unsere","unserer","unsere","bereich","ziel","besonders","insbesondere","rahmenbedingungen","bereich","insbesondere","bedeutung","rahmenbedingungen","bereich","aufgaben","strukturen","rahmenbedingungen","bedeutung","unserer","ländern","wichtige","ländern","beispiel","förderung","wichtig","aufgaben","wichtig","förderung","rahmenbedingungen","bedeutung","bedeutung","förderung","müssen","rahmenbedingungen","raumfahrt","wichtige","grosse","grosse","wichtige","mittel","rahmenbedingungen","bedeutung","zusammenarbeit","unserer","rahmenbedingungen","unserer","nachhaltigkeit","herausforderungen","unsere","wichtig","ehrenamtlich","thema","nachhaltigkeit","wichtig","herausforderungen","herausforderungen","programm","müssen","bericht","regionen","ländlichen","unsere","engagement","müssen","bereich","unsere","wichtig"
"9","immer","gerade","unseres","immer","vergangenheit","staatlichen","immer","gerade","bedeutung","immer","staates","gebiet","probleme","gebiet","unseres","bereich","müssen","unseres","öffentlichen","massnahmen","bereich","probleme","müssen","probleme","dabei","wirtschaftlichen","menschen","menschen","unseres","menschen","unsere","bereich","aufgabe","bedeutung","müssen","gebiet","zukunft","entwicklung","zukunft","deshalb","aufgaben","müssen","heute","neue","massnahmen","aufgabe","aufgaben","neue","probleme","menschen","aufgaben","aufgabe","unseres","zukunft","damen","bereich","bedeutung","wichtige","neuen","gerade","verbesserung","wichtige","ziel","zukunft","bereichen","aufgabe","besonders","bereich","massnahmen","probleme","probleme","ländern","probleme","wichtig","strukturen","umsetzung","förderung","neue","zukunft","rahmenbedingungen","rahmenbedingungen","massnahmen","massnahmen","wichtig","öffentlichen","wichtige","wichtig","rahmenbedingungen","bedeutung","bedeutung","neue","chancen","wichtige","länder","wichtige","antrag","unsere","müssen","schritt","bedeutung","unserer","ganz","zusammenarbeit","unserer","mittel","bedeutung","bedeutung","unsere","zusammenarbeit","müssen","zusammenarbeit","gesellschaft","massnahmen","thema","thema","regionen","menschen","wichtig","förderung","agenda","unsere","wirtschaft","regionen","entwicklungszusammenarbeit","zusammenarbeit","müssen","weltweit","zukunft"
"10","glaube","immer","staates","unseres","gerade","ländern","gebiet","ländern","ländern","sozialen","müssen","gruppen","lösen","ländern","unsere","ländern","zukunft","menschen","gebiet","ländern","müssen","verantwortung","probleme","bereich","zukunft","sozialen","wirtschaftlichen","politischen","grosse","bereich","aufgabe","probleme","unsere","gebiet","probleme","neuen","unsere","bürger","neue","müssen","neue","deshalb","gesellschaft","deshalb","grosse","deshalb","menschen","bedeutung","jahren","bürger","neue","entwicklung","zukunft","gilt","leisten","ziel","neue","zukunft","damen","bereichen","aufgaben","bereichen","zukunft","besonders","insbesondere","entwicklungen","bedeutung","bedeutung","bedeutung","wichtige","aufgabe","probleme","aufgabe","daher","ländern","daher","aufgaben","ziel","unserer","zukunft","strukturen","aufgaben","strukturen","öffentlichen","aufgabe","öffentlichen","strukturen","bedeutung","aufgaben","entwickeln","entwickeln","neue","sozialen","förderung","chancen","länder","ziel","nachhaltige","antrag","nachhaltige","neue","ländern","wichtige","ländern","zusammenarbeit","thema","thema","ziele","unsere","menschen","wichtige","antrag","menschen","ziele","förderung","projekte","thema","unserer","wichtig","aktionsplan","zukunft","wichtig","wirtschaft","unsere","innovationen","zusammenarbeit","innovationen","nachhaltigkeit"
