"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","erben","film","filmwirtschaft","fernsehen","urheber","film","anstalten","urheber","sender","fernsehen","presse","presse","zeitungen","bundeszentrale","journalisten","zeitungsbeilage","schriftsteller","schriftsteller","seeleute","schulbuchinstitut","künstler","aufschwung","befreiungen","grass","schriftsteller","förderungspräferenzen","elbe","kooperative","agb","alex","übungen","silberland","schiffe","transsexuellen","eurocontrol","gmbh","bodensee","elbe","nordsee","übereinkommen","hamburg","seeschiffahrt","werften","umweltschutz","umweltschutz","buschhaus","umweltschutz","umweltschutz","umweltschutz","umwelt","nordsee","töpfer","töpfer","töpfer","umwelt","töpfer","umwelt","umwelt","umwelt","rio","umwelt","umwelt","umwelt","umwelt","merkel","naturschutz","umwelt","naturschutz","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umweltpolitik","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","umweltpolitik","naturschutz","umweltpolitik","maritimen","wälder","nachhaltigkeit","ethikrat","tourismus","naturschutz","natur","tourismus","meere","wald","holz","maritimen","wald","tourismus","maritimen","tourismus","tourismus","elefanten","meere","edeka","kuba","ministererlaubnis","maritimen","wolf","esport","wolf","wolf","virus","pandemie","impfen","impfpflicht"
"2","berliner","berliner","berliner","berliner","berliner","berliner","berliner","zone","fernsehen","berliner","berliner","kühn","kühn","bundesinnenminister","hof","rundfunkanstalten","westdeutschen","film","urheberrecht","fernsehen","fernsehen","urhebers","rundfunk","rundfunk","zeitschriften","zeitungen","fernsehen","bildung","werbung","schwarmstedt","künstler","sendung","sozialenquete","sendung","verwertungsgesellschaften","darf","clay","fürth","pressefreiheit","krankenschwestern","grenzkommission","guthaben","landesbank","berlinbeauftragten","grenzkommission","grenzkommission","kw","geschlecht","flugsicherung","bergbau","schiffen","schiffe","gutachten","antarktis","wasser","global","seeschiffahrt","wald","umwelt","umweltschutz","umwelt","tempolimit","luft","umweltschutz","umweltschutz","umwelt","umwelt","umwelt","töpfer","umwelt","wälder","töpfer","umweltpolitik","umwelt","naturschutz","rio","töpfer","enquetekommission","umwelt","umwelt","merkel","umwelt","naturschutz","merkel","umwelt","umwelt","umwelt","nachhaltigkeit","haag","klimaschutz","umweltpolitik","klimaschutz","umwelt","wald","ökologisch","häfen","umwelt","nachhaltigkeit","seeschifffahrt","beirat","natur","natur","arten","tourismus","umweltgesetzbuch","delfine","wattenmeer","vielfalt","maritime","elbe","wasser","reeder","hochwasserschutz","hochwasserschutz","wilderei","meer","alpen","ministererlaubnis","waffen","maritime","facebook","wolf","maritime","wölfe","pandemie","virus","pandemie","impfen"
"3","berlins","notopfer","berlins","berlins","notopfer","zone","berlins","berliner","berliner","zone","rundfunk","fernsehen","fernmeldewesen","rundfunk","zuweisung","welle","berliner","rundfunk","fernsehen","selbstkontrolle","rundfunkanstalten","urheberrecht","fernsehen","hersteller","fernsehen","güntherkommission","presse","presse","pressekommission","herr","sozialenquete","autoren","fernsehanstalten","fernsehanstalten","bildenden","anzulegen","ständigen","widerrufsrecht","teile","koreanischer","schröder","ufer","wittmann","vizepräsident","britischen","herr","sender","häfen","wildbret","rheins","gewerkschaft","nordsee","abfallbeseitigung","volmer","gewässer","hamburg","hamburg","waldsterben","natur","wald","auto","benzin","nordsee","wallmann","umwelt","industrie","umweltschutz","umweltpolitik","umweltpolitik","nordsee","enquetekommission","ökologischen","ökologischen","ostsee","töpfer","töpfer","verwertung","umweltpolitik","umweltpolitik","merkel","umweltpolitik","merkel","merkel","naturschutz","naturschutz","nachhaltigkeit","ökologische","umweltpolitik","umweltpolitik","umwelt","klimaschutz","johannesburg","ökologische","verpackungsverordnung","trittin","wald","trittin","häfen","kapitän","überwachung","artenvielfalt","ostsee","schutz","vielfalt","ostsee","nachhaltigkeitsstrategie","wälder","biologischen","elbe","waldstrategie","jugendtourismus","schiffe","hochwasser","lotsen","elfenbein","maritime","wolf","jagd","fusion","elbe","wölfe","weddellmeer","maritimen","wölfen","who","impfen","geimpft","impfung"
"4","todesstrafe","berlins","behrisch","schmidtwittmack","berlins","notopfer","stadt","stadt","rundfunkanstalten","sowjetzonalen","fernsehen","werbung","heck","rundfunkanstalten","erbrecht","fernsehen","besold","westdeutschen","urheberrechts","rundfunk","rundfunk","werke","anstalten","presse","zeitungen","fernsehen","zeitschriften","schulzevorberg","presse","ersatzdienstleistenden","freiheit","büchereien","mitarbeiter","künstler","verwertungsgesellschaft","eingeschoben","vorrechte","staatssekretär","kultusverwaltungen","zielkartei","gutachten","schröder","gebühren","diederich","flächen","gütersloh","sperrguthabenvereinbarung","zuordnung","fleischbeschau","vornamen","elwerath","bucht","ddr","kadmium","gewässerschutz","duve","wolfgramm","luft","umweltpolitik","umwelt","autos","umwelt","umwelt","umweltpolitik","grundwasser","umweltpolitik","umweltpolitik","naturschutz","umweltschutz","umweltschutz","tropischen","schmidbauer","enquetekommission","industrieländer","umweltschutz","verpackungsverordnung","umweltpolitik","töpfer","umweltschutz","umweltschutz","umweltschutz","umweltschutz","natur","umwelt","umweltpolitik","ökologische","klimaschutz","schleswigholstein","umwelt","umweltpolitik","umwelt","umweltpolitik","ökologischen","wälder","verpackungsverordnung","umwelt","umweltschutz","maritime","börnsen","ostsee","ethikrates","meere","novelle","meere","maritimen","nutzung","seen","schutz","wasser","kormoran","reeder","maritime","meeresforschung","tourismuspolitischen","nashörner","mikroplastik","ministererlaubnis","wasserrahmenrichtlinie","tengelmann","gesamtkonzept","weidetierhalter","wildschweine","wölfe","wolfes","gesundheit","impfstoff","inzidenz","pandemie"
"5","bevölkerung","stadt","zone","senat","aufbauplan","berlins","brandt","mannheim","rundfunk","sed","eid","programm","rundfunkanstalten","anstalten","seidl","rundfunk","berlin","überzeugt","presse","medien","deutschlandfunk","verwertungsgesellschaften","fernsehsender","arbeitsmittel","kommission","kommission","springer","urheber","eichgesetz","zeitschriften","schriftstellern","schober","schriftsteller","gern","schriftsteller","stammte","widerrufsrecht","handelsvertreter","chefredakteur","binden","agb","streifenboot","rehlen","bundestagswahlen","bevölkerung","lufthansa","leistung","schiff","luftraum","russe","windenergieanlagen","bundeszentrale","nordseegutachten","hartenstein","wolfgramm","luft","reeder","umwelt","waldsterben","nordsee","umweltpolitik","luft","umweltpolitik","industrie","naturschutz","umweltschutz","nordsee","umweltschutz","naturschutz","umweltpolitik","umweltschutz","naturschutz","naturschutz","konferenz","ökologischen","naturschutz","ökologischen","ökologische","klimaschutz","reaktorsicherheit","ökologische","umweltpolitik","umweltpolitik","umweltschutz","nachhaltigkeit","pallas","wasser","ökologische","trittin","natur","natur","emissionshandel","trittin","novelle","umweltschutz","natur","bundesumweltminister","wald","goldmann","umwelt","naturschutz","vielfalt","wälder","wald","natur","naturschutz","vielfalt","nachhaltigkeitsstrategie","konferenz","arktis","jugendreisen","flagge","patente","meer","tourismus","maritimen","tengelmann","edeka","edeka","schiffe","wettbewerb","antarktis","schiffe","raumfahrt","lage","massnahmen","virus","virus"
"6","bundesrepublik","sowjetischen","sowjetisch","wohnsitz","notopfers","gesamtdeutsche","sitz","rundfunkanstalten","programm","werbung","werbung","heck","fernsehen","rundfunks","erbe","eckardt","schutzhütten","verbleiben","rundfunk","films","ard","geräte","fernsehprogramm","rundfunkanstalten","rundfunk","schulzevorberg","sonntag","bildungsarbeit","zeitungen","ausgefüllt","schober","enquete","journalisten","elektronischen","künstlern","stellenplan","general","fernsprechbücher","laden","koreanischen","übereinkommen","longo","erfinder","debatte","soltaulüneburg","verfassungsbeschwerde","schiff","operation","wild","steuerberater","maschine","mosel","elbe","meeresschätze","duve","umweltschutz","luft","späth","wald","umweltpolitik","zimmermann","auto","ta","natur","umweltschutzes","nordsee","naturschutz","reaktorsicherheit","ökologischen","stoffe","ökologischen","umweltpolitik","töpfer","töpfer","umweltpolitik","dsd","umweltschutz","umweltschutz","lippold","umweltpolitik","naturschutz","reaktorsicherheit","wald","kioto","merkel","ökologischen","naturschutz","nachhaltige","nachhaltigkeit","trittin","umweltschutz","trittin","ökologisch","ökologisch","dosenpfand","nachhaltigkeit","minister","port","holz","umweltpolitik","enquetekommission","arten","artenvielfalt","schutz","schiffe","natur","tourismus","hektar","meere","tourismus","elbe","seeleute","wasser","bundesberggesetz","tiere","tourismus","maritime","tengelmann","marktmacht","branche","rudel","wölfe","häfen","herdenschutz","coronavirus","schnelltests","masken","geimpft"
"7","stadt","sowjetzone","zonengrenzgebiet","stadt","stadt","viermächtestatus","gesamtdeutsche","sitz","anstalten","sowjetzone","zone","rundfunkanstalten","anstalten","grundgesetzes","zuweisungsverfahren","filmwirtschaft","nachahmungen","brunnen","anstalten","funk","presse","schutzfrist","rundfunkanstalten","vierteljahr","hofmann","journalisten","rundfunk","moersch","schriftsteller","hannover","komponisten","rundfunk","rundfunk","journalisten","künstlers","trennung","diplomaten","nölling","anzulegen","rentenalter","niedersächsischen","elbe","patentübereinkommen","argentinien","strassen","mitbestimmungsgesetz","khz","kampfgruppen","maastricht","geschlecht","rapp","verunreinigung","duve","ta","elbe","ta","schiffahrt","umweltpolitik","luft","luft","wald","umweltpolitik","stoffe","hauff","umweltpolitik","buschhaus","umweltverträglichkeitsprüfung","fckw","schäden","anlagen","schutz","enquetekommission","stoffe","ökologischen","natur","umweltpolitik","naturschutz","lippold","naturschutz","bundesministerin","nordsee","bundesministerin","rio","flächen","umweltschutz","steenblock","loske","arten","lippold","nachhaltigkeit","ökosteuer","nachhaltige","naturschutz","innovationsklausel","ostsee","hochwasserschutz","holz","börnsen","alkoholmissbrauch","abfallrechtlichen","vielfalt","meer","biodiversität","arten","tourismuswirtschaft","schutz","natur","naturschutz","indigener","nutzung","maritimen","see","flächen","hochwasser","hochwasserschutz","wald","reeder","jäger","bundeskartellamt","fluss","wolfes","seuche","wolfes","jagd","ausbreitung","tests","massnahmen","impfungen"
"8","sowjetischen","fischer","fischer","neumann","brandt","zonengrenze","hauptstadt","entlassen","kühn","zonengrenze","sowjetzone","rundfunk","grundgesetzes","basis","erblasser","rundfunks","filmproduktion","besucht","film","presse","welle","künstler","kronach","film","film","rundfunkanstalten","werbung","fernsehen","tageszeitungen","fernsehen","freistellungsgesetzes","bildenden","bildenden","technologische","schober","aufsichtsgremien","wiener","benzinbleigesetzes","warum","deutsche","patentübereinkommen","unterhaltszahlungen","patentstelle","individualrechte","terra","petitionsausschuss","schiffseigner","schiffe","fleischbeschaugesetzes","bergrecht","öl","tankerunfällen","gutachtens","lebenden","fischer","hartenstein","seemannsgesetzes","bundesinnenminister","ökologischen","zimmermann","tempolimit","wald","umweltschutzes","rhein","luft","stoffe","tonnen","nordsee","fckw","industrie","töpfer","reaktorsicherheit","umweltschutz","entwicklungsländer","feige","ökologischen","enquetekommission","feige","coemissionen","natur","reaktorsicherheit","caspersmerk","umweltschutz","klimaschutz","wald","naturschutz","homburger","trittin","ökologische","ökologische","trittin","rio","ökosteuer","waldbesitzer","holz","holz","küstenwache","package","promille","kleinwale","biologischen","schutz","vielfalt","artenvielfalt","munitionsaltlasten","beirat","naturschutz","illegalen","wilhelmshaven","wälder","antrag","häfen","flut","flächen","nashörnern","reeder","maritimen","fusion","whatsapp","häfen","weidetierhaltung","virus","erhaltungszustand","schafe","corona","testen","epidemischen","herbst"
"9","ostzone","senat","bevölkerung","notopfer","senat","sowjetischen","bonn","friedensburg","bundesgebiet","besatzungszone","berlins","anstalt","rundfunks","werbung","rundfunk","informationsamt","reichsgoldmünzen","schnittholz","zeitungen","schweigen","werbung","film","rundfunks","rundfunks","films","tageszeitungen","schulzevorberg","unabhängigkeit","stellungnahme","grosser","werke","künstler","hugo","sprung","verlage","fernsehanstalten","werbewirtschaft","naturgemäss","ablehnung","millionen","vereinbarungen","bundesrepublik","haushaltsausschuss","hoechst","roten","schiff","togoischen","handbuch","umlage","umweltschutz","andersartigen","serie","see","internationale","spranger","handelsflotte","paritätisch","grossfeuerungsanlagenverordnung","hauff","waldsterben","hauff","ibbenbüren","technik","stoffe","staatsziel","reaktorsicherheit","natur","hartenstein","industrie","ökologischen","lippold","umweltschutz","reaktorsicherheit","enquetekommission","rio","feige","wald","ökologischen","massnahmen","angela","ökologischen","verpackungsverordnung","boden","bundesministerin","ökologische","umweltschutz","umweltschutz","ökologischen","ökologisch","ostsee","klimapolitik","umwelt","nachhaltigkeit","umwelt","arbeitsplätze","wälder","gutachten","umwelt","zerstörung","bullingschröter","arten","maritime","nachhaltigkeitsstrategie","biodiversität","wasser","wald","nutzung","biodiversität","schutz","schutz","arktis","bord","elbe","schiffe","moldawien","engineering","alpenkonvention","monopolkommission","kaisers","hochwasserschutz","wölfen","antrag","meer","schäden","epidemische","impfstoffe","lage","massnahmen"
"10","sowjetzone","bevölkerung","besetzten","gesamtdeutsche","bundeszuschusses","besucher","sender","straffreiheitsgesetz","werbung","bundesgebiet","hauses","fernsehprogramm","bund","fernsehprogramm","einheitswert","bundesinnenminister","bundesgebiet","fernsehanstalten","urhebers","filmwirtschaft","blumenfeld","presse","inbetriebnahme","partnerschaften","filme","meinungsfreiheit","kommission","politische","fernsehen","hartnäckig","urheberrechts","zusatzfrage","künstler","wollten","büchereien","vorgestellt","gerichtsverfassungsgesetzes","motoren","erfolg","kulturgüter","lauenburg","parl","patentamt","anmeldung","gegend","see","sozialhilfeempfänger","gegengeschlecht","haarwild","operation","sahelzone","übereinkommen","geldern","klärschlamm","ddr","hauff","handelsflotte","zimmermann","pcb","ehmke","benzin","autos","schönberg","luft","natur","umweltminister","industrie","stoffe","natur","reaktorsicherheit","naturschutz","hartenstein","schäfer","globalen","ökologische","umweltschutz","caspersmerk","naturschutz","ozon","vielfalt","gutachten","angela","nachhaltigkeit","umweltplan","holz","loske","lippold","schutz","naturschutz","ökologisch","emissionshandel","konferenz","klimaschutz","natur","umweltminister","naturschutzes","naturschutz","band","tropischen","schutz","gremium","maritimen","indonesien","naturschutz","werften","nachhaltige","biologischen","flächen","heide","flächen","schiffe","holz","schäden","see","schutz","erdgasförderung","kaisers","wasserhaushaltsgesetz","wolf","hochwasser","fusion","gebiete","weidetierhalter","eurecht","massnahmen","lockdown","grundrechte","lauterbach"
