"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","bitte","umdruck","abstimmung","gegenprobe","umdruck","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","enthaltungen","wünscht","wünscht","wünscht","wünscht","wer","wünscht","wünscht","wünscht","wünscht","handzeichen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmen","stimmen","stimmen","stimmen","stimmen","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","enthaltungen","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","fraktion","ausschuss","feuerwehren","ehrenamt","thw","thw","hochwasser","sport"
"2","gegenprobe","abstimmung","umdruck","gegenprobe","gegenprobe","umdruck","bitte","bitte","umdruck","umdruck","bitte","bitte","handzeichen","gegenprobe","umdruck","gegenprobe","änderungsantrag","änderungsantrag","antrag","antrag","antrag","gegenprobe","gegenprobe","antrag","antrag","änderungsantrag","umdruck","umdruck","handzeichen","gegenprobe","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","antrag","wünscht","antrag","wünscht","wünscht","wünscht","enthaltungen","wünscht","wünscht","enthaltungen","gegenprobe","gegenprobe","enthaltungen","enthaltungen","handzeichen","zuzustimmen","handzeichen","handzeichen","handzeichen","zuzustimmen","handzeichen","wünscht","wünscht","wünscht","wünscht","wünscht","wer","wer","abstimmung","wer","stimmt","stimmt","wer","wer","stimmt","wer","enthaltungen","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","enthaltungen","enthaltungen","enthaltungen","gegenprobe","beschlussempfehlung","beschlussempfehlung","stimmen","stimmen","enthaltungen","enthaltungen","enthaltungen","stimmt","enthaltungen","stimmt","stimmen","enthaltungen","stimmt","enthaltungen","drucksache","stimmt","drucksache","stimmt","stimmt","enthaltungen","stimmt","drucksache","stimmt","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","stimmt","wer","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","stimmen","fraktion","vorsorgeprinzip","ehrenamtskarte","helferinnen","bevölkerungsschutz","katastrophenschutz","bevölkerungsschutz"
"3","antrag","gegenprobe","ziffer","bitte","handzeichen","änderungsantrag","handzeichen","handzeichen","bitte","bitte","handzeichen","handzeichen","umdruck","antrag","handzeichen","antrag","umdruck","gegenprobe","ziffer","gegenprobe","gegenprobe","handzeichen","antrag","änderungsantrag","änderungsantrag","umdruck","antrag","gegenprobe","umdruck","enthaltungen","gegenprobe","gegenprobe","gegenprobe","zuzustimmen","zuzustimmen","bitte","handzeichen","zuzustimmen","wünscht","zuzustimmen","zuzustimmen","zuzustimmen","wünscht","antrag","beratung","wünscht","enthaltungen","handzeichen","zuzustimmen","gegenprobe","enthaltungen","handzeichen","wünscht","zuzustimmen","zuzustimmen","wer","wer","enthaltungen","handzeichen","zuzustimmen","handzeichen","wer","wünscht","drucksache","wer","stimmt","wer","wer","stimmt","stimmt","wer","enthaltungen","wer","wer","enthaltungen","wer","angenommen","wer","wer","stimmt","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","enthaltungen","stimmen","stimmen","stimmen","wer","beschlussempfehlung","drucksache","enthaltungen","stimmt","enthaltungen","stimmt","stimmt","enthaltungen","stimmt","drucksache","drucksache","drucksache","drucksache","stimmt","drucksache","fraktion","stimmt","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","wer","stimmt","beschlussempfehlung","wer","wer","wer","wer","wer","geschäftsordnung","bürgen","wahlalter","bevölkerungsschutz","genom","laschet","spiegel"
"4","hand","antrag","gegenprobe","handzeichen","umdruck","handzeichen","gegenprobe","umdruck","abstimmung","handzeichen","gegenprobe","umdruck","bitte","handzeichen","bitte","handzeichen","enthaltungen","antrag","gegenprobe","bitte","änderungsantrag","änderungsantrag","änderungsantrag","wer","wer","gegenprobe","gegenprobe","änderungsantrag","gegenprobe","bitte","bitte","bitte","handzeichen","umdruck","umdruck","wort","zuzustimmen","antrag","bitte","antrag","handzeichen","enthaltungen","zuzustimmen","handzeichen","zuzustimmen","handzeichen","handzeichen","wünscht","handzeichen","zuzustimmen","zuzustimmen","enthaltungen","zuzustimmen","wer","wer","handzeichen","zuzustimmen","zuzustimmen","zuzustimmen","handzeichen","zuzustimmen","handzeichen","stimmt","wünscht","drucksache","drucksache","gegenprobe","abstimmung","beschlussempfehlung","drucksache","drucksache","drucksache","angenommen","angenommen","wer","angenommen","wer","drucksache","stimmen","gegenprobe","gegenprobe","beschlussempfehlung","gegenprobe","enthaltungen","enthaltungen","drucksache","drucksache","drucksache","beschlussempfehlung","enthaltungen","stimmen","enthaltungen","wer","drucksache","drucksache","stimmen","stimmen","wer","enthaltungen","stimmen","enthaltungen","stimmt","enthaltungen","enthaltungen","wer","enthaltungen","beschlussempfehlung","stimmt","enthaltungen","wer","wer","wer","wer","beschlussempfehlung","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmt","fraktionen","abstimmung","innovationsprinzip","feuerwehr","helfer","minderheitenpolitik","katastrophe","ahrtal"
"5","erheben","enthaltungen","abstimmung","ziffer","ziffer","ziffer","ziffer","enthaltungen","handzeichen","enthaltungen","antrag","ziffer","ziffer","bitte","ziffer","änderungsantrag","ziffer","enthaltungen","änderungsantrag","handzeichen","wer","ziffer","umdruck","handzeichen","handzeichen","enthaltungen","handzeichen","enthaltungen","enthaltungen","handzeichen","änderungsantrag","änderungsantrag","änderungsantrag","änderungsantrag","änderungsantrag","wer","wünscht","bitte","zuzustimmen","enthaltungen","enthaltungen","handzeichen","handzeichen","zuzustimmen","handzeichen","zuzustimmen","zuzustimmen","zuzustimmen","gegenprobe","drucksache","drucksache","wer","angenommen","angenommen","enthaltungen","enthaltungen","enthaltungen","gegenprobe","angenommen","angenommen","wer","zuzustimmen","handzeichen","handzeichen","handzeichen","gegenprobe","angenommen","drucksache","abstimmung","änderungsantrag","beschlussempfehlung","angenommen","beschlussempfehlung","drucksache","angenommen","stimmenthaltungen","stimmenthaltungen","angenommen","änderungsantrag","drucksache","stimmt","änderungsantrag","enthaltungen","stimmt","angenommen","wer","wer","beschlussempfehlung","wer","drucksache","wer","stimmen","drucksache","wer","angenommen","wer","gesetzentwurf","angenommen","angenommen","beschlussempfehlung","wer","angenommen","wer","wer","enthaltungen","stimmt","enthaltungen","wer","wer","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmen","stimmen","stimmen","fraktion","stimmen","ausschuss","beratung","stimmkarte","gesetzentwurf","feuerwehr","helfer","hilfswerk","gentechnischen","helfer","katastrophenschutz"
"6","abstimmung","umdruck","antrag","abstimmung","bitte","wer","wer","wer","enthaltungen","antrag","wer","wünscht","antrag","enthaltungen","antrag","enthaltungen","antrag","wer","enthaltungen","änderungsantrag","bitte","antrag","handzeichen","gegenprobe","gegenprobe","zuzustimmen","wer","ziffer","wer","umdruck","handzeichen","handzeichen","bitte","wer","enthaltungen","abstimmung","enthaltungen","handzeichen","handzeichen","handzeichen","bitte","antrag","wer","bitte","enthaltungen","drucksache","drucksache","rufe","wer","handzeichen","abstimmung","drucksache","nr","rufe","rufe","drucksache","rufe","antrag","gegenprobe","beschlussempfehlung","angenommen","angenommen","änderungsantrag","zuzustimmen","stimmt","handzeichen","beschlussempfehlung","handzeichen","angenommen","angenommen","angenommen","stimmen","drucksache","enthaltungen","abstimmung","gesetzentwurf","enthaltungen","gesetzentwurf","drucksache","beschlussempfehlung","drucksache","enthaltungen","stimmt","gegenprobe","gegenprobe","angenommen","beschlussempfehlung","wer","drucksache","stimmen","drucksache","gesetzentwurf","änderungsantrag","stimmen","wer","angenommen","enthaltungen","drucksache","wer","angenommen","stimmen","gegenstimmen","angenommen","angenommen","angenommen","wer","stimmen","fraktion","angenommen","angenommen","beratung","beratung","beratung","angenommen","fraktion","fraktion","stimmen","fraktion","beratung","fraktion","drucksache","wer","katastrophenschutz","einsprüche","thwgesetz","katastrophenhilfe","flut","bbk"
"7","ziffer","mehrheit","mehrheit","wer","enthaltungen","bitte","änderungsantrag","abstimmung","antrag","ziffer","änderungsantrag","antrag","enthaltungen","ziffer","wer","wer","wer","handzeichen","wer","zuzustimmen","handzeichen","enthaltungen","bitte","enthaltungen","ziffer","handzeichen","enthaltungen","handzeichen","änderungsantrag","wer","einzelplan","enthaltungen","enthaltungen","handzeichen","wer","änderungsantrag","bitte","wer","enthaltungen","bitte","wer","bitte","bitte","drucksache","berichterstatter","wer","berichterstatter","wer","angenommen","angenommen","angenommen","angenommen","rufe","enthaltungen","angenommen","gegenprobe","gegenprobe","drucksache","wer","wer","gegenprobe","bitte","zuzustimmen","angenommen","wünscht","abstimmung","abstimmung","angenommen","drucksache","gegenprobe","änderungsantrag","abstimmung","dagegen","gesetzentwurf","gegenprobe","enthaltungen","gesetzentwurf","enthaltungen","abstimmung","änderungsantrag","angenommen","angenommen","angenommen","änderungsantrag","stimmt","abstimmung","abstimmung","angenommen","angenommen","angenommen","angenommen","angenommen","abstimmung","angenommen","gesetzentwurf","gesetzentwurf","wer","stimmen","stimmen","gesetzentwurf","angenommen","wer","stimmen","gegenstimmen","stimmen","angenommen","dagegen","angenommen","beratung","beratung","angenommen","angenommen","fraktion","dagegen","beratung","beratung","beratung","beratung","dagegen","angenommen","wahl","angenommen","bevölkerungsschutz","anerkennung","vvnbda","sollst","rheinlandpfalz","flutkatastrophe"
"8","nr","handzeichen","zuzustimmen","antrag","änderungsantrag","abstimmung","abstimmung","ziffer","wer","wünscht","ziffer","zuzustimmen","wer","änderungsantrag","enthaltungen","bitte","bitte","bitte","gebe","wer","enthaltungen","wer","wer","entschliessungsantrag","siehe","wer","angenommen","wer","ziffer","ziffer","abstimmung","siehe","wer","wünscht","wünscht","damen","wer","enthaltungen","wer","wer","antrag","wer","antrag","wer","wort","beratung","wort","bitte","drucksache","wer","bitte","beschlussempfehlung","enthaltungen","bitte","gegenprobe","rufe","angenommen","bitte","drucksache","gegenprobe","bitte","stimmt","angenommen","stimmt","gegenprobe","angenommen","drucksache","beschlussempfehlung","handzeichen","handzeichen","gegenprobe","dagegen","stimmenthaltungen","stimmenthaltungen","drucksache","drucksache","drucksache","abstimmung","angenommen","angenommen","wer","stimmt","wer","wer","empfiehlt","änderungsantrag","angenommen","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","wer","angenommen","gesetzentwurf","stimmen","drucksache","angenommen","gesetzentwurf","gegenstimmen","wer","gesetzentwurf","stimmen","gegenstimmen","stimmen","fraktion","gegenstimmen","angenommen","beratung","fraktion","fraktion","dagegen","fraktion","empfiehlt","fraktion","dagegen","ausschuss","enthält","ausschuss","angenommen","dagegen","bitte","dagegen","freiwilligen","ehrenamts","ehrenamt","fahrenden","ahrtal","zivilschutz"
"9","angenommen","hand","wer","enthaltungen","wer","enthaltungen","enthaltungen","antrag","angenommen","zuzustimmen","enthaltungen","enthaltungen","änderungsantrag","wer","änderungsantrag","zustimmen","handzeichen","ziffer","bitte","wünscht","zuzustimmen","bitte","angenommen","abstimmung","zuzustimmen","wünscht","bitte","bitte","bitte","änderungsantrag","wer","einzelplan","abstimmung","ziffer","bitte","gegenprobe","änderungsantrag","änderungsantrag","abstimmung","drucksache","drucksache","drucksache","drucksache","enthaltungen","drucksache","angenommen","rufe","drucksache","rufe","rufe","gegenprobe","berichterstatter","stimmt","drucksache","gegenstimmen","angenommen","drucksache","wer","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","gegenprobe","zuzustimmen","wünscht","handzeichen","gegenprobe","fraktion","beschlussempfehlung","fraktion","ausschussfassung","abstimmung","abstimmung","gesetzentwurf","abstimmung","abstimmung","empfiehlt","gegenprobe","wer","abstimmung","handzeichen","empfiehlt","angenommen","gesetzentwurf","beschlussempfehlung","gesetzentwurf","empfiehlt","empfiehlt","empfiehlt","empfiehlt","empfiehlt","beschlussempfehlung","empfiehlt","empfiehlt","empfiehlt","empfiehlt","empfiehlt","empfiehlt","gegenstimmen","gegenstimmen","empfiehlt","gesetzentwurf","fraktion","gegenstimmen","gesetzentwurf","fraktion","dagegen","empfiehlt","dagegen","fraktion","stimmen","angenommen","beratung","angenommen","dagegen","angenommen","enthält","fraktion","gesetzentwurf","schriftführer","stimmt","helfer","ehrenamtlich","ehrenamtlichen","vogt","wiederaufbau","thw"
"10","umdruck","angenommen","hand","änderungsantrag","zuzustimmen","antrag","antrag","wünscht","ziffer","wer","zuzustimmen","wer","wünscht","zuzustimmen","wünscht","ziffer","angenommen","angenommen","angenommen","ziffer","wünscht","angenommen","wünscht","bitte","bitte","bitte","siehe","wort","angenommen","damen","enthaltungen","abstimmung","zuzustimmen","enthaltungen","stimmenthaltungen","herren","angenommen","angenommen","drucksache","angenommen","wort","angenommen","rufe","einzelplan","rufe","berichterstatter","wer","angenommen","berichterstatter","beratung","wer","rufe","gegenstimmen","gegenprobe","drucksache","bitte","bitte","abstimmung","gegenstimmen","rufe","änderungsantrag","ausschussfassung","gegenprobe","beschlussempfehlung","bitte","änderungsantrag","antarktis","dagegen","gegenprobe","fraktion","abstimmung","rufe","gesetzentwurf","dagegen","dagegen","dagegen","empfiehlt","dagegen","beschlussempfehlung","abstimmung","empfiehlt","wer","abstimmung","pds","wer","pds","änderungsantrag","pds","pds","dagegen","abstimmung","abstimmung","cducsu","gegenstimmen","dagegen","gegenstimmen","ausschussfassung","gegenstimmen","gesetzentwurf","beratung","empfiehlt","gesetzentwurf","fraktion","empfiehlt","empfiehlt","empfiehlt","sammelübersicht","stimmen","dagegen","stimmen","abstimmung","dagegen","dagegen","tagesordnungspunkt","enthält","angenommen","dagegen","dagegen","enthält","ausschuss","entschliessungsanträge","grünen","bürgschaft","karte","katastrophenhilfe","gleichrangig","flutkatastrophe","rheinlandpfalz"
"11","mehrheit","zuzustimmen","enthaltungen","wünscht","antrag","gewünscht","ziffern","angenommen","zustimmen","änderungsantrag","wünscht","änderungsantrag","angenommen","wünscht","zuzustimmen","abstimmung","abstimmung","zuzustimmen","handzeichen","enthaltungen","angenommen","nr","zuzustimmen","einzelplan","enthaltungen","angenommen","anlage","abstimmung","zustimmt","abstimmung","ziffer","wer","wünscht","bitte","abstimmung","angenommen","abstimmung","gewünscht","wort","änderungsantrag","einstimmig","änderungsantrag","angenommen","stimmenthaltungen","wer","wort","beratung","berichterstatter","bitte","berichterstatter","rufe","gegenprobe","bitte","einzelplan","bitte","einstimmig","änderungsantrag","angenommen","rufe","bitte","rufe","dagegen","rufe","abstimmung","angenommen","beschlussempfehlung","änderungsantrag","änderungsantrag","wünscht","abstimmung","handzeichen","beschlussempfehlung","gegenprobe","stimmen","handzeichen","gegenprobe","änderungsantrag","stimmenthaltungen","pds","gesetzentwurf","gesetzentwurf","stimmenthaltungen","pds","handzeichen","handzeichen","dagegen","pds","dagegen","änderungsantrag","pds","pds","pds","fraktion","abstimmung","gegenstimmen","dagegen","gegenstimmen","beratung","beratung","dagegen","abstimmung","dagegen","empfiehlt","sammelübersicht","gesetzentwurf","beratung","beratung","gegenstimmen","stimmen","ausschuss","empfiehlt","ausschuss","ausschuss","sammelübersicht","bündnis","enthält","ausschuss","angenommen","gesetzentwurf","enthält","schriftführerinnen","stimmen","amtszeitbegrenzung","vergünstigungen","technische","reichten","zerstört","anne"
