"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","welt","welt","welt","deutschen","welt","welt","atomwaffen","politik","welt","politik","freiheit","welt","berlin","deutschen","welt","berlin","bundeskanzler","sowjetunion","bundeskanzler","politik","staaten","nato","staaten","staaten","politik","politik","sowjetunion","ddr","politik","bundeskanzler","politik","sowjetunion","bundeskanzler","verträge","politik","ddr","ddr","vertrag","ddr","ddr","polen","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","berlin","ddr","ddr","ddr","ddr","einheit","polen","vertrag","polen","deutschen","kultur","kultur","tschechischen","einheit","kulturpolitik","erklärung","polen","kulturpolitik","dat","kultur","mahnmal","stiftung","stiftung","rechtssicherheit","kulturpolitik","welle","kultur","welle","film","de","welle","kultur","büttner","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","kultur","welle","kultur","namibia","kultur","netzneutralität","kultur","kultur","itsicherheit","kultur","kulturgut","kultur","digitalen","digitale","intelligenz","uploadfilter","kultur","digitalisierung","daten","daten","digitalen"
"2","deutschland","volk","deutschen","deutschen","welt","freiheit","freiheit","welt","atomwaffen","waffen","welt","zone","politik","freiheit","welt","berlin","bundeskanzler","europa","politik","politik","erler","deutschland","politik","politik","sowjetunion","europa","ddr","politik","politik","bundeskanzler","sowjetunion","bundeskanzler","bundeskanzler","barzel","sowjetunion","bundeskanzler","vertrag","staaten","ddr","berlin","sowjetunion","ddr","menschenrechte","menschenrechte","menschenrechte","sowjetunion","sowjetunion","sowjetunion","menschenrechte","menschenrechte","deutschland","berlin","beziehungen","polen","beziehungen","berlin","beziehungen","deutschlandpolitik","beziehungen","kultur","deutschen","menschenrechte","berlin","menschenrechte","beziehungen","berlin","ddr","berlin","berlin","einheit","einheit","ddr","deutschen","deutschen","deutschen","polen","kulturellen","kulturpolitik","vertreibung","deutschen","tschechischen","tschechischen","unrecht","kultur","de","gedenkstätten","denkmal","stiftungen","film","kulturpolitik","stiftung","deutschen","kulturpolitik","kultur","kultur","dat","rechtschreibung","kulturpolitik","opfer","bibliothek","welle","unesco","enquetekommission","kultur","medien","staatsziel","stiftung","stiftung","kultur","digitalisierung","musik","leistungsschutzrecht","kultur","digitale","digitalen","welle","digitalen","kultur","digitalen","künstler","kultur","welle","digitalen","daten","daten","digitalen","digitalen","kultur"
"3","volk","europa","volk","europa","politik","politik","ungarn","waffen","welt","freiheit","freiheit","abrüstung","aussenpolitik","welt","politik","deutschland","ollenhauer","politik","entspannung","berlin","bundeskanzler","politik","deutschland","deutschland","politik","staaten","deutschlands","europa","deutschlands","sowjetunion","politik","nation","politik","deutschland","politik","ddr","politik","beziehungen","beziehungen","beziehungen","deutschland","berlin","helsinki","helsinki","deutschland","berlin","berlin","nation","sowjetunion","sowjetunion","berlin","nation","sowjetunion","beziehungen","sowjetunion","beziehungen","deutschlandpolitik","nation","deutschen","polen","berlin","deutschen","menschenrechte","deutschen","deutschen","deutschlandpolitik","rumänien","polen","polen","deutschen","deutschen","deutschen","vertrag","ddr","deutsche","ddr","polen","enquetekommission","sudetendeutschen","ddr","sudetendeutschen","deutschtschechischen","guernica","stiftung","is","naumann","juden","opfer","kultur","polen","sprache","nidarümelin","staatsministerin","sprache","entschädigung","kultur","kultur","breitenkultur","angehörigen","nationalbibliothek","neumann","dresden","kulturpolitik","auslandsschulen","film","stiftung","versöhnung","frequenzen","künstler","internet","internet","kreativwirtschaft","internet","digitalen","digitale","digitalen","verwertungsgesellschaften","urheber","kulturelle","kultur","digitalisierung","digitale","digitale","digitalisierung","digitale","digitale","digitale","digitale"
"4","europa","deutschen","europa","freiheit","volk","deutschen","politik","abrüstung","abrüstung","atomwaffen","erler","politik","freiheit","zone","freiheit","politik","politik","deutschland","bundeskanzler","deutschland","deutschen","volk","staaten","vereinigten","beziehungen","sowjetunion","sowjetunion","staaten","deutschland","ddr","europa","ddr","ddr","politik","vertrag","deutschland","vereinten","politik","vertrages","deutschland","berlin","deutschland","deutschland","berlin","sowjetunion","menschenrechte","beziehungen","wiedervereinigung","beziehungen","beziehungen","sowjetunion","beziehungen","deutschlandpolitik","berlin","polen","deutschlandpolitik","staaten","deutschen","berlin","deutschen","polen","sprache","deutschen","kultur","einheit","menschenrechte","polen","beziehungen","ungarn","polen","deutschland","polen","einheit","ungarn","nachbarn","einheit","kulturelle","ddr","polen","enquetekommission","kultur","sudetendeutschen","geschichte","rechtschreibung","ick","tschechischen","stiftung","entschädigung","bund","stiftung","kultur","kultur","kunst","deutsche","denkmal","welle","deutsche","auswärtige","stiftung","bücher","deutsche","künstler","musik","filme","internet","kulturpolitik","enquetekommission","kunst","charta","enquetekommission","stiftung","urheberrecht","künstler","internet","internet","digitale","digitalisierung","film","film","digitale","welle","kultur","kultur","digitale","blockchain","ki","digitalisierung","digitalisierung"
"5","deutsche","politik","freiheit","volk","volkes","europa","völker","politik","sowjetunion","politik","deutschen","welt","deutschen","nato","berlin","volkes","freiheit","vereinigten","welt","welt","staaten","schröder","bundeskanzler","europa","bundeskanzler","deutschland","nation","tschechoslowakei","anerkennung","staaten","deutschland","deutschland","deutschland","ddr","deutschland","barzel","nationen","bundesrepublik","deutschland","sowjetunion","staaten","polnischen","jäger","politik","mertes","beziehungen","mertes","deutschen","deutschland","deutschen","deutschen","deutschland","deutschen","helsinki","polnischen","deutschen","deutschland","berlin","deutschlandpolitik","deutschland","deutschlandpolitik","deutschland","berliner","berlin","berlin","beziehungen","beziehungen","menschenrechte","berliner","menschen","deutschlands","deutschland","deutschland","einheit","deutschland","nachbarn","deutsche","geschichte","tschechen","kultur","auswärtige","tschechen","deutschen","kulturellen","guernica","medien","opfer","zwangsarbeiter","gedenkstätten","opfer","film","vertreibungen","film","deutschen","stiftung","un","stiftung","stiftung","hinterbliebenen","künstler","deutschen","kulturwirtschaft","kulturelle","spiele","staatsminister","welterbestätten","vertreibung","bäume","polen","medienkompetenz","polen","internet","telekom","digitalisierung","breitbandausbau","bsi","bildungspolitik","internet","filme","künstlerinnen","digitalen","ki","meinungsfreiheit","intelligenz","app","digitalisierung","plattformen","telegram"
"6","welt","europäischen","frieden","deutschland","deutsche","osten","osten","volk","freiheit","volk","volk","sowjetunion","volk","deutschland","august","aussenpolitik","wehner","welt","vereinigten","vereinigten","volk","deutschlands","welt","bundesrepublik","deutschland","bundeskanzler","europa","sowjetischen","bundeskanzler","deutschland","barzel","sowjetunion","entspannung","berlin","europa","scheel","staaten","deutschland","sowjetunion","verträge","beziehungen","deutschen","schlussakte","deutschland","beziehungen","deutschland","deutschland","deutschland","politik","deutschland","polen","deutschen","schlussakte","sowjetunion","staaten","nation","bundesregierung","deutschland","deutschland","beziehungen","deutschland","deutschlandpolitik","deutschlandpolitik","sprache","staaten","west","deutschen","deutschen","freiheit","berlin","polen","deutschlands","deutsche","csfr","polnischen","deutschland","deutschen","einheit","tschechische","seddiktatur","beziehungen","beziehungen","tschechien","opfer","stiftung","stiftungen","stiftungen","tschechischen","staatsminister","deutsche","deutschen","staatsminister","christina","kulturstiftung","staatsministerin","is","barthel","musik","kultur","deutsche","goetheinstitut","künstlersozialversicherung","kulturwirtschaft","washingtoner","filme","medien","vertriebenen","versöhnung","kinos","filme","digitalen","film","kreativwirtschaft","kunst","digitalisierung","infrastrukturen","internet","buchpreisbindung","verwaltung","urheberrecht","internet","digitalen","ki","digitalen","digitalen","plattformen","intelligenz","medien"
"7","europäischen","freiheit","volkes","politik","freiheit","deutsche","volk","atomaren","waffen","atomare","deutschland","deutschen","deutsche","bundesrepublik","volk","deutschen","sowjetunion","staaten","staaten","deutschen","deutschland","deutschen","erler","truppen","deutschlands","nato","staaten","bundeskanzler","berlin","nation","ddr","europa","berlin","europa","bundeskanzler","vertrag","deutschland","sowjetunion","verträge","staaten","bundesrepublik","sowjetunion","deutschen","deutschlandpolitik","polen","nation","bahr","politik","deutschen","moskau","nation","deutschlandpolitik","staaten","honecker","innerdeutschen","deutschland","deutschen","einheit","nation","deutschlandpolitik","beziehungen","polen","deutschland","deutschland","menschenrechte","staaten","staaten","staaten","deutschen","deutschland","menschen","europa","europa","geschichte","menschen","geschichte","baltischen","deutschen","vertriebenen","polen","tschechen","unrecht","deutsche","tschechischen","wi","kulturpolitik","naumann","naumann","berliner","wirtschaft","auswärtigen","deutsche","stiftung","suu","deutschen","ok","sprache","bildungspolitik","sed","neumann","jochimsen","kulturellen","kulturellen","film","griefahn","denkmal","flucht","vertreibung","digitalisierung","access","herero","urheber","enquetekommission","grütters","agenda","bauhaus","kulturelle","digitalisierung","kunst","kunst","daten","künstliche","urheberrecht","ki","kultur","kultur","datenschutz","welle"
"8","völker","deutschland","europäischen","deutsche","völker","deutschland","volkes","bewaffnung","volk","atomaren","aussenpolitik","volk","deutschland","waffen","deutsche","ollenhauer","deutschen","sowjetunion","volk","erler","europa","welt","regierungserklärung","bundeskanzler","europa","entspannung","deutschland","welt","nation","europa","moskau","staaten","staaten","bundesrepublik","frieden","staaten","grundvertrag","verträge","bundesrepublik","politik","politik","beziehungen","menschen","staaten","staaten","deutschlandpolitik","abkommen","einheit","nation","einheit","politik","einheit","deutschland","deutschen","menschenrechte","teilung","gespräche","deutschlands","teilung","kunst","hupka","windelen","beziehungen","grenze","nation","berlins","berlins","deutschlandpolitik","senat","währungsunion","staatsvertrag","deutsche","deutschpolnischen","deutschland","sprache","deutsche","staaten","kulturellen","nachbarn","nachbarn","deutschen","vertreibung","vergangenheit","polen","un","beauftragter","ermordeten","kuratorium","kulturpolitik","entschädigung","auslandsschulen","zentrum","medien","stiftung","filmwirtschaft","wi","rechtschreibreform","christina","häftlinge","palast","bildungspolitik","brücke","kunst","medien","börnsen","aupairs","steinbach","kulturelle","werke","open","verlage","kulturellen","digitale","kulturpolitik","künstler","digitalisierung","kulturellen","digitalen","kulturellen","welle","plattformen","buchpreisbindung","internet","öffentlichrechtlichen","digital","intelligenz","internet","internet"
"9","freiheit","volkes","politik","frieden","moskau","drüben","deutschen","frieden","erler","wiedervereinigung","deutsche","nato","spanien","politik","deutschland","politischen","berlins","freundschaft","erler","volkes","welt","erler","volk","sowjetunion","regierungserklärung","welt","bundeskanzler","bündnis","welt","deutschlands","staaten","berlin","europa","scheel","ddr","beziehungen","einheit","vereinten","politik","nation","entspannung","vereinbarungen","nation","sowjetunion","berlin","deutschen","bundesrepublik","berlin","staaten","sowjetischen","beziehungen","berliner","helsinki","deutschland","deutschland","berliner","beiden","teilung","deutschlands","kulturpolitik","einheit","beziehungen","deutsche","polen","teilung","deutschen","berliner","deutschland","menschen","freiheit","europa","freiheit","ddr","deutsche","europa","republik","sprache","polen","beziehungen","kulturpolitik","unrecht","deutschtschechische","stiftung","kulturgüter","nich","erklärung","eisenman","lammert","lammert","zwangsarbeiter","deutsche","lammert","kulturellen","deutsch","staatsoper","kulturpolitik","deutschen","staatsministerin","stephan","kunst","aufarbeitung","konvention","neumann","filmerbe","rundfunk","ermordeten","internet","ethikrat","netzneutralität","enquete","urheberrecht","filme","digitalen","bundesnetzagentur","künstlersozialversicherung","internet","grütters","urheberrecht","bildungspolitik","daten","medien","digitalisierung","digitalisierung","rundfunk","internet","internet","digital","digital"
"10","volkes","deutsche","völker","volkes","deutschland","volk","westen","völker","atomaren","deutschlands","kommunismus","europa","sowjetunion","konventionellen","deutschlands","nato","mauer","volk","volkes","staaten","volkes","beziehungen","deutschen","sicherheit","bundesrepublik","waffen","berlin","unsere","bundesrepublik","bundesrepublik","frieden","bundesrepublik","bundesrepublik","verbündeten","deutschen","deutschen","nation","vertrag","staaten","deutschen","vertrag","politik","beziehungen","deutschen","bundesrepublik","politik","staaten","mertes","berlin","politik","schlussakte","sed","menschenrechte","innerdeutschen","deutschen","sed","berlin","beziehungen","einheit","volksrepublik","deutsche","deutsche","staaten","deutsche","deutschland","deutschland","menschenrechte","menschen","deutschland","deutschlands","freiheit","menschen","heimat","polen","vertrag","menschen","kulturförderung","kunst","heimat","aufarbeitung","tschechische","deutschen","opfer","rechtschreibreform","vertriebenen","republik","kultur","deutschen","jüdische","deutschen","nidarümelin","vertreibung","deutschen","kyi","deutsche","sprache","hauptstadt","griefahn","hacker","bibliotheken","kulturpolitik","kulturelle","kreativwirtschaft","jugendschutz","kulturpolitik","rundfunk","bdv","kinos","vertreibung","stiftung","digitale","digitalisierung","urheberrecht","breitbandausbau","kunst","provenienzforschung","digitale","verwertungsgesellschaften","digitale","internet","kunst","enquetekommission","plattformen","medien","datenschutz","medien","netz","plattformen"
