"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","deutschen","deutschen","fremdenlegion","alliierten","bundesregierung","deutschen","auswärtigen","staatssekretär","saar","saar","saar","van","auswärtigen","wyler","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","irak","irak","staatsminister","staatsminister","israel","pkk","waffen","koko","dzt","untersuchungsausschuss","untersuchungsausschuss","mauss","staatsminister","staatsminister","dat","pkk","afatabellen","baseler","afatabellen","hennigsdorf","tobinsteuer","kirch","banken","finanzplatz","finanzplatz","bafin","sparkassen","finanzplatz","offenlegung","basel","hedgefonds","reits","kfw","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","kredite","ezb","banken","wirecard","ezb"
"2","alliierten","amerikanischen","amerikanischen","alliierten","dienstgruppen","anfrage","bundesregierung","bundesregierung","vertrag","saarlandes","saarländischen","auswärtigen","französischen","amts","auswärtigen","amts","schröder","verträge","amts","amts","amts","schröder","amts","schröder","amts","jahn","jahn","jahn","jahn","dahrendorf","dahrendorf","moersch","moersch","moersch","moersch","parlamentarischer","moersch","moersch","moersch","moersch","moersch","moersch","ddr","zusatzfrage","dohnanyi","zusatzfrage","zusatzfrage","dohnanyi","dohnanyi","dohnanyi","zusatzfrage","dohnanyi","frau","corterier","corterier","zusatzfrage","möllemann","türkei","möllemann","möllemann","möllemann","möllemann","möllemann","möllemann","auswärtigen","todesstrafe","todesstrafe","türkei","türkei","auswärtigen","waffen","rüstungsexporte","irak","türkei","untersuchungsausschuss","dienste","untersuchungsausschuss","schalckgolodkowski","staatsminister","brunner","staatsminister","staatsminister","auswärtigen","auswärtigen","de","gremium","nutzungsdauer","ratings","akten","aktienoptionen","bundesbank","register","steuerhinterziehung","suu","finanzmarkt","girokonto","schleswigholstein","banken","unternehmen","banken","bafin","telekom","banken","kfw","krise","sparkassen","krise","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","schick","bausparkassen","bank","verbraucher","banken","einlagensicherung","bank","bank","griechenland","zentralbank","bafin","bafin","zentralbank"
"3","deutsche","alliierten","entschädigung","deutschen","anfrage","deutschen","anfrage","deutschen","bundesregierung","französischen","saarland","französischen","auswärtigen","staatssekretär","verhandlungen","carstens","entwicklungsländern","verordnung","carstens","carstens","carstens","amts","carstens","amts","amt","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","zusatzfrage","zusatzfrage","wischnewski","zusatzfrage","dohnanyi","frau","zusatzfrage","zusatzfrage","zusatzfrage","dohnanyi","herr","hammbrücher","jäger","zusatzfrage","hammbrücher","zusatzfrage","möllemann","türkei","türkei","auswärtigen","auswärtigen","auswärtigen","auswärtigen","saudiarabien","schäfer","schäfer","bundesregierung","adamschwaetzer","bundesregierung","bundesregierung","waffen","bnd","waffen","staatsminister","verfassungsschutz","staatsminister","mfs","schmidbauer","botschafter","bundeskanzler","schmidbauer","amt","schäfer","is","staatsminister","afatabelle","generationenbilanzen","gauckbehörde","bombardier","bankgeheimnis","landesbank","gläsernen","kyi","finanzplatzes","konto","banken","konten","aktionäre","ii","sparkassen","reit","manager","banken","bank","bank","finanzmärkte","krise","bank","finanzmärkte","basel","bank","bank","steuerzahler","bankenunion","aufsicht","bank","bafin","bank","verbraucherinnen","verbraucher","kredite","ezb","ezb","bafin","wirecard","esm","zinsen"
"4","amerikanischen","kommission","alliierten","französischen","deutschen","amerikanischen","auswärtigen","amts","auswärtigen","saarländischen","saarländische","bundesrepublik","französische","carstens","staatssekretär","lahr","kahnackermann","bundesregierung","schröder","amt","schröder","carstens","schröder","schulen","auswärtige","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","kulturpolitik","parlamentarischer","parlamentarischer","parlamentarischer","moersch","parl","parl","parl","amt","amt","herr","moersch","herr","herr","dr","hammbrücher","herr","dr","herr","dr","zusatzfrage","zusatzfrage","zusatzfrage","dr","frau","jenninger","bundesregierung","bundesregierung","auswärtigen","hupka","zusatzfrage","menschenrechte","bundesregierung","schäfer","tibet","kurden","schäfer","schäfer","waffen","staatsminister","staatsminister","stavenhagen","schiff","koko","israel","export","untersuchungsausschuss","bnd","stiftungen","untersuchungsausschusses","bernd","mauss","amt","ick","berufsgenossenschaften","umsatzsteuersatz","rating","bundesbeauftragten","adtranz","banken","murdoch","bundesbank","san","banken","anleger","unternehmen","bundesbank","transparenz","bank","unternehmen","kfw","anleger","bank","estate","landesbanken","regulierung","finanztransaktionsteuer","anleger","bank","bank","aufsicht","aufsicht","schick","steuerzahler","einlagensicherung","verbraucher","verbraucher","bafin","bafin","bankenunion","risiken","commerzbank","steuerzahler","urteil","schuldner","anleger","griechenland"
"5","kommission","deutsche","bremerhaven","kriegsverurteilten","bundesregierung","alliierten","forderungen","amerikanischen","van","bundesregierung","schneider","van","amts","scherpenberg","amts","staatssekretär","wandte","carstens","bundesregierung","auswärtige","dr","staatssekretär","dr","ausland","jahn","griechenland","bundesregierung","beim","beim","zusatzfrage","beziehungen","parlamentarischer","abgeordneter","abgeordneter","abgeordneter","beim","herold","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","vizepräsident","herr","vizepräsident","dr","herr","dohnanyi","dr","herr","frau","vizepräsident","dr","dr","dr","türkei","vizepräsident","herr","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","menschenrechte","zusatzfrage","auswärtige","bundesregierung","auswärtigen","irak","iran","bundesregierung","schäfer","untersuchungsausschuss","bundesregierung","türkei","auswärtigen","kommerzielle","kontrollkommission","rüstungsexporte","untersuchungsausschusses","raethjen","staatsminister","akten","bundeskanzler","botschaft","herr","wi","kontrollgremium","hauptamtlichen","entschliessung","rekonstruktion","optionen","aktienoptionen","kirchgruppe","links","finanzmarkt","investmentmodernisierungsgesetz","banken","sicherheitsunternehmen","finanzdienstleistungen","hauptversammlung","erpsondervermögen","reits","anleger","ikb","landesbanken","finanzmärkte","bankenaufsicht","ratingagenturen","finanzmärkte","krise","regulierung","finanzmärkte","finanzmärkte","zypern","aufsicht","aufsicht","bank","konto","schick","kunden","kunden","ezb","finanzkrise","euro","banken","wirecard","bank","banken","kredite"
"6","bundesregierung","besatzungsmacht","gelände","bundesregierung","britischen","auswärtigen","firmen","staatssekretär","scherpenberg","saarland","saarlandes","amts","fremdenlegion","werner","französischen","amtes","kanal","nato","botschafter","botschaft","staatssekretär","dr","staatssekretär","kahnackermann","schütz","beim","beim","bundesregierung","bundesminister","bundesminister","herold","bundesminister","herr","zusatzfrage","herr","abgeordneter","beim","beim","beim","herr","herr","abgeordneter","abgeordneter","bundesregierung","vizepräsident","vizepräsident","herr","bundesregierung","kollege","dr","herr","bundesregierung","herr","vizepräsident","jäger","corterier","bundesregierung","stücklen","auswärtigen","bundesregierung","polen","bundesregierung","bundesregierung","amt","gansel","südafrika","rumänien","gansel","auswärtigen","südafrika","südafrika","auswärtigen","bundesregierung","amt","schalck","bad","schmidbauer","schalck","bundeskanzler","untersuchungsausschusses","scientology","herrn","herr","helmut","un","arbeitsschutz","un","kreditinstitute","branchentabellen","riesenhuber","tobin","banken","bayerischen","übernahmen","fahrverbot","grauen","sparkasse","abfragen","hedgefonds","fonds","banken","immobilien","kredite","krise","hypo","krise","bank","hre","bankenabgabe","finanzkrise","bafin","krise","steuerzahler","regulierung","ratingagenturen","verbraucher","kunden","aufsicht","verbraucherinnen","instrumente","bank","ezb","fusion","sparer","bundesbank","ezb","wirtschaftsprüfer","geldmenge"
"7","zone","amerikanische","deutsche","anfrage","auswärtigen","ausländischen","staatssekretär","hallstein","deutschen","saarländische","französischen","staatssekretär","saar","van","kreitmeyer","französischen","spanien","schröder","französischen","kahnackermann","bundesregierung","zusatzfrage","kahnackermann","amt","staatssekretär","bundesregierung","herr","herr","amt","bundesregierung","marx","auswärtige","beim","beim","beim","schmid","zusatzfrage","abgeordneter","herr","staatssekretär","abgeordneter","bundesregierung","jäger","abgeordneter","frau","hammbrücher","dr","vizepräsident","hammbrücher","jäger","frau","kollege","vizepräsident","wangen","vizepräsident","bundesregierung","windelen","türkischen","mertes","polen","herr","sprache","herr","sprache","amt","türkei","auswärtigen","auswärtigen","brasilien","gansel","gansel","exporte","waffen","bundesregierung","untersuchungsausschusses","geheimdienste","pkk","köppe","bundesnachrichtendienst","auswärtigen","schmidbauer","kolumbien","schäfer","herrn","nich","nachrichtendienste","de","banken","behörde","options","steuerhinterziehung","wiesheu","bankgeheimnis","aung","fahrverbots","prospektpflicht","privatisierung","basel","aktiengesellschaften","kredit","investivlohn","korruption","managergehälter","aufsichtsrat","aufsicht","ratingagenturen","finanztransaktionsteuer","bankenabgabe","schick","finanztransaktionsteuer","krise","bankenaufsicht","regulierung","fonds","schick","bafin","girokonto","anleger","produkte","verbraucherpolitik","risiken","bundesbank","targetsalden","zinsen","euro","zinsen","haftung","wsf"
"8","besatzungsmacht","vereinigten","besatzungsmacht","deutsche","tarifvertrag","streitkräfte","amerikanischen","deutscher","anfrage","bundesrepublik","saarbevölkerung","französische","scherpenberg","abkommen","bevölkerung","amt","beschwerden","erteilt","amt","lahr","amt","kahnackermann","zusatzfrage","carstens","kahnackermann","amt","bundesminister","kahnackermann","zusatzfrage","jahn","bundesminister","marx","bundesminister","frage","bundesminister","bundesminister","innerdeutsche","herr","bundesminister","abgeordneter","vizepräsident","ddr","bundesregierung","jäger","stücklen","frau","vizepräsident","frau","vizepräsident","hammbrücher","hammbrücher","jäger","bundesregierung","herr","leber","möllemann","abgeordneter","auswärtigen","menschenrechte","mertes","vogel","herr","goetheinstitut","polen","israel","stavenhagen","giftgas","schäuble","libyen","adamschwaetzer","firmen","illegalen","israel","konferenz","koordinierung","untersuchungsausschuss","bachmaier","waffen","bernd","stiftung","einsetzung","herr","helmut","gespräche","ook","cia","kapitalvermögen","lennartz","nutzungsdauer","mitarbeiter","konten","bayerische","bank","burma","hedgefonds","kapitalmarkt","kunden","bafin","gehälter","girokonto","mitarbeiterbeteiligung","wohnimmobilien","transparenz","korruption","kfw","kredite","hedgefonds","regulierung","fonds","staatsanleihen","finanzaufsicht","hochfrequenzhandel","sparkassen","gläubiger","dispozinsen","steuerzahler","steuerzahler","risiken","produkt","verbraucherschutz","kredite","bankenunion","finanzkrise","hauptversammlung","banken","schulden","finanzaufsicht","inflation"
"9","hohen","staaten","abkommen","gefangenen","verhandlungen","entschädigung","deutsche","französischen","staatsvertrag","staatssekretär","eingliederung","saarland","frankreich","französischen","vertrag","auswärtige","elektrizität","amts","konvention","staatssekretär","lahr","bundesregierung","botschaft","deutschen","botschaft","bundesrepublik","zusatzfrage","bundesminister","herr","beim","innerdeutsche","beim","jaeger","bundesminister","zusatzfrage","information","ddr","bundesminister","abgeordneter","beziehungen","ddr","frage","staatssekretär","frau","abgeordneter","bundesregierung","bundesregierung","hammbrücher","bundesregierung","vizepräsident","kollege","frau","jäger","hammbrücher","bundesregierung","dr","vizepräsident","vizepräsident","vizepräsident","bundesaussenminister","czaja","frage","vizepräsident","menschenrechte","stavenhagen","menschenrechte","resolution","regierung","todesstrafe","türkei","kiel","israel","schäfer","januar","schäfer","mfs","bundesregierung","kommerzielle","untersuchungsausschuss","august","bernd","bnd","herrn","auswärtige","nu","arbeitsunfälle","wirtschaftsgüter","gauckbehörde","staatssicherheitsdienstes","stock","abgabenordnung","staatsferne","vertrauen","finanzplatzes","anleger","oecd","grossbanken","finanzmarkt","vorstände","kredite","anleger","sparkassen","unternehmen","schäffler","bafin","bafin","finanzmärkten","schick","finanzkrise","zentralbank","regulierung","steuerzahler","finanzmärkte","kapitalmarkt","finanzkrise","versicherungen","einlagensicherung","verbraucherinnen","schick","kredite","handwerker","einlagensicherung","steuerzahler","euro","staatsfinanzierung","finanzaufsicht","scholz","schulden"
"10","besatzungsmächte","bundesregierung","vereinigten","dienstgruppen","dienstgruppenangehörigen","staatssekretär","verhandlungen","unesco","österreichischen","frankreich","frankreich","bundesregierung","kaiser","vertrag","saarlandes","französische","zürich","lieferungen","auswärtige","dr","herr","herr","amt","dr","dr","herr","kahnackermann","amt","auswärtige","funcke","zusatzfrage","zusatzfrage","zusatzfrage","herr","vizepräsident","beziehungen","beziehungen","frage","vizepräsident","vizepräsident","frage","wischnewski","wangen","ddr","hammbrücher","abgeordneter","kollege","kollege","jäger","kollege","bundesregierung","vizepräsident","huonker","frau","herr","abgeordneter","auswärtigen","hammbrücher","czaja","vizepräsident","bundesregierung","boenisch","kulturpolitik","herr","pater","bundesregierung","bundesregierung","libyen","kurden","amt","auswärtigen","firmen","auswärtigen","irak","auswärtigen","antiquitäten","untersuchungsausschusses","akten","plutonium","bundeskanzler","herr","kolumbianischen","kolumbien","kollege","wat","gauckbehörde","abschreibungsfristen","externen","kategorie","beamten","mitarbeiter","beteiligungen","krupp","unternehmen","zuschlagsmarken","to","bank","krüger","gesetzentwurf","kfw","verwaltungsrat","erpsondervermögen","abfindungen","risiken","real","aufsicht","schick","steuerzahler","gläubiger","honorarberatung","iii","steinbrück","ezb","finanzmärkte","ezb","risiko","basiskonto","kleinanleger","risiken","wohnimmobilienkreditrichtlinie","sparer","steuerzahler","griechenland","finanztransaktionsteuer","geldpolitik","aufsicht","aufsicht","billionen"
