"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","möchte","möchte","möchte","glaube","möchte","möchte","möchte","glaube","bedenken","bedenken","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","entwurf","entwurf","entwurf","entwurf","gesetz","strafrecht","entwurf","ordnungswidrigkeiten","entwurf","sonderausschuss","promille","beglaubigung","dienstkleidung","juristen","heinke","juristenausbildung","veba","gehaltskonten","prinz","käufer","anschlussstelle","kreditinstituten","vorläufigen","stabilisierungsfonds","trauerbeflaggung","gebühren","herr","wehrsold","sparbuch","libanon","transsexuellen","makler","geschlecht","notars","notars","kölnbonn","frankfurt","stahlwirtschaft","gemeinschaftsaufgaben","finanzausgleich","zug","planung","parlament","basf","journalisten","abgeordnete","grenze","marshall","prag","guernica","guernica","prag","ddr","ddr","ddr","ddr","ddr","ddr","ddr","dat","ddr","ddr","ddr","einzelhandel","prozent","raucher","rechtschreibung","wettbewerb","metro","vereine","expo","ehrenamt","tourismus","tourismus","bürgerschaftlichen","ladenöffnungszeiten","uhr","tourismus","wassertourismus","mitbestimmung","tourismus","gmbh","gmbh","mitbestimmung","tourismus","roma","tourismus","dat","tourismus","tourismus","tourismus","kinderarbeit","tourismus","tourismus","hausangestellten","tourismus","tourismus","drogen","institut","ezigaretten","rauchen","bonn","cannabis","cannabis","ersatzfreiheitsstrafe","jugendlichen","cannabis","werbung","cannabis","rauchen","cannabis"
"2","möchte","kollege","glaube","glaube","möchte","glaube","glaube","bedenken","bedenken","gesetz","möchte","prinzip","möchte","durchaus","bedenken","durchaus","bedenken","strafe","gesetz","gesetz","gesetz","bestimmungen","entwurf","tier","strafrecht","lücke","strafrecht","alkohol","beurkundung","erfasst","juristenausbildung","niedersachsen","juristen","privatisierung","kreditinstitute","saynwittgensteinhohenstein","verkäufer","käufer","investitionsteuer","herr","weinwerbung","herr","rehlen","abteilung","zulagen","schorsch","christen","kampfgruppen","maklers","rechtsentscheids","transmigranten","hansen","flughafen","kölnbonn","sicherheitspolitisch","bayerncomment","bundesergänzungszuweisungen","besoldung","transitabkommen","eingefroren","komisch","schichtarbeiter","rheinlandpfälzischen","dick","george","berlin","legion","havel","anwaltliche","einheit","einheit","einheit","einheit","einheit","einheit","einheit","de","sed","sed","aufarbeitung","ladenöffnungszeiten","richtlinie","rauchen","rauchen","jens","divag","übungsleiterpauschale","bank","tourismus","expo","vereine","enquetekommission","einzelhandel","burgbacher","uhr","tourismus","tourismus","band","aussengastronomie","tourismus","tourismus","roma","gmbh","gmbh","de","jugendaustausch","barrierefreiheit","friedensforschung","korps","kinderarbeit","jugendtourismus","cannabis","cannabis","uruguay","tourismus","menschenrechte","eshishas","ezigarette","institut","drogen","drogen","rauchen","cannabis","beteiligungen","rauchen","drogen","ezigaretten","rennwett"
"3","ja","glaube","ganz","durchaus","durchaus","müssen","durchaus","glaube","möchte","glaube","glaube","glaube","bedenken","bedenken","lösung","bedenken","gesetze","gesetz","bucher","schutz","bestimmungen","entwurf","strafrechtsreform","gesetz","sonderausschuss","strafe","strafe","kraftfahrer","verwaltungsbehörden","entwurf","ausbildung","geweckt","ausbildung","kapitalerhöhung","lohn","offentlichkeit","südrhodesien","listen","auftraggebers","machens","berufsordnung","leyhausen","wittmann","wittmann","grenadier","werte","marx","geschlecht","christen","sozialklausel","vertriebenen","diäten","flughafens","flughafen","relevanter","finanzbeziehungen","finanzausgleichs","parlament","auktionshaus","literatur","herr","abgeordnete","wort","tschechoslowakische","marshallplan","herr","condor","vaclav","ddr","währungsunion","staatsvertrag","menschen","menschen","menschen","deutschlands","menschen","un","pds","schindler","dat","öffnungszeiten","eurobetriebsräte","nichtraucher","nichtraucher","fusionskontrolle","gastgewerbe","einzelhandel","fusion","ehrenamtlich","zugabeverordnung","vereinen","bürgerschaftliches","uhr","zigaretten","hotel","tourismuswirtschaft","aufsichtsrat","tourismuswirtschaft","rechtsform","eintragung","spielsucht","jugendarbeitsschutzgesetz","sinti","reisen","un","gmbhs","de","dsf","heide","cannabis","kinderarbeit","siegenburg","drogen","brasilien","drogenpolitik","pariser","alpen","ezigaretten","phosphor","jugendschutz","drogenpolitik","werbung","bürokratismus","chile","tabakwerbung","legalisierung","elektro","lara"
"4","herr","ja","durchaus","ganz","ganz","bedenken","ganz","dinge","prinzip","möchte","darüber","möchte","glaube","energiewirtschaftsgesetzes","bestimmungen","eigentlich","auffassung","strafrecht","werk","wiederholungsgefahr","weinwirtschaft","schutz","strafrechts","tiere","entwurf","betriebsverfassungsgesetzes","reform","ordnungswidrigkeit","öffentliche","physischen","referentenentwurf","fünftel","referendare","vertragsbedingungen","gebühren","entsprechend","sparkassen","abzahlungsgesetz","verbraucherzentrale","komitees","komitees","schuldscheindarlehen","einzelerfinder","spdpressedienst","terra","anerkennend","syrien","christlichen","rechtsgeschäfte","staatshaftungsrechts","kraftwerkbau","fiel","reinhold","flughafens","verantwortbar","besoldung","länder","länder","baukommission","parlamentes","riss","tierarzt","otto","tschechoslowakischen","guernica","frau","bezirke","cssr","summierten","staatsvertrag","lafontaine","währungsunion","deutschlands","deutschlands","schäuble","sed","ddr","enquetekommission","de","sed","verbraucher","gepflogenheiten","sauer","hinsken","gwb","reduzierten","öffnungszeiten","brähmig","ladenschluss","rabattgesetz","tourismuswirtschaft","vereine","samstag","jugendarbeitsschutzgesetz","sonn","uhr","unternehmensmitbestimmung","grüne","mitbestimmung","telekom","monopol","sinti","staatsvertrag","tourismuswirtschaft","tourismus","touristischen","reisen","heide","tourismus","barrierefreien","jugendreisen","hausangestellte","substitutionsbehandlung","ländlichen","konsum","instituts","zigaretten","zigaretten","klärschlamm","drogenpolitik","alkohol","gemeinnützige","verunreinigung","rechenschaftsbericht","tabak","konsumenten","freiheitspolitik","legalisierung"
"5","kollege","darauf","darauf","kollege","freunde","dinge","bedenken","darüber","worden","darüber","lösung","bedenken","durchaus","möchte","ausschuss","auffassung","lösung","gesetze","gesetze","haftgrund","schutz","bestimmung","strafe","tieren","strafe","missbrauch","strafbar","bestimmungen","urkunde","gesetz","vorbereitungsdienstes","freitag","rechtsschule","referentenentwurfs","verlage","akuten","gibt","kreuz","privatpersonen","hilfsaktionen","gebühren","stern","haushaltsausschuss","zwischendurch","wehrsoldes","juden","syrischen","branntweins","marx","lauritz","bekommen","unterschieden","düsseldorf","leitlinien","cocomlisten","föderalismus","ergänzungszuweisungen","vogel","erweiterungsbau","gestalt","einstufung","krebserzeugend","waffenhandel","oberjettenberg","marshalls","material","spanische","prag","wehrbereich","menschen","deutschlands","deutschlands","sed","sed","krause","west","ick","blockparteien","ellipse","de","einzelhändler","aufgelöst","nichtraucherschutz","jens","wettbewerbspolitik","mehrwertsteuersatz","vereinen","sparkassen","einzelhandel","hinsken","ehrenamtlich","ehrenamtlich","geschäfte","hotel","bürokratie","irber","ladenschluss","uhr","lärm","haftung","parr","uhr","parr","unternehmergesellschaft","ok","gmbh","kab","konfliktforschung","kyritzruppiner","barrierefreiheit","reisen","ratifizierung","barrierefreiheit","tourismuspolitischen","droge","cannabis","jugendliche","werbung","reisebüros","institut","schwarzmarkt","cannabis","strahlen","courage","zigaretten","schwarzmarkt","elektrogeräte","lotteriegesetz"
"6","sagen","frage","ja","sagen","kollegen","ganz","kollegen","freunde","gewisse","gewisse","gesetz","grundsätzliche","meinung","müssen","diskussion","lassen","diskussion","strafgesetzbuch","schutz","strafrechtsreform","wein","vertretung","reform","bestimmungen","strafrechtsreform","schutz","ordnungswidrigkeiten","strassenverkehr","notar","stgb","zuschauer","mehr","tafelwein","streuung","concorde","behörden","kaufvertrages","textil","depots","gäbe","reine","schlange","gebührenerhöhung","gebieten","wehrsolderhöhung","truppenübungsplätzen","christlichen","privileg","km","staatshaftung","wahr","berlin","wilms","erwachsenenreisen","flankierung","ministerpräsident","horizontalen","produzieren","versteigert","martinyglotz","szenario","millionen","lebensmitteln","johann","spanischen","wort","baskischen","tschechoslowakei","tschechoslowakischen","marktwirtschaft","einigungsvertrag","modrow","einigungsvertrag","west","sed","ehemaligen","is","einheit","honecker","romberg","ladenschlussgesetz","unterscheidung","passivrauchen","rechtschreibreform","lambsdorff","hotellerie","ladenöffnungszeiten","vereine","expo","burgbacher","brähmig","trinkgeldbesteuerung","öffnungszeiten","öffnungszeiten","bürokratieabbau","gastronomie","mitbestimmungsrecht","kurth","sperrzeiten","rechtsform","sportwetten","jugendarbeitsschutzgesetzes","rechtsform","gmbhs","is","gesellschaften","touristen","kyritzruppiner","nordost","siegenburg","cannabis","drogen","hotel","branche","legalisierung","astatus","rauchen","institut","instituts","legalisierung","cannabiskonsum","tabakwerbung","gesetzentwurf","herren","zigarette","alkohol","dualen","drogenpolitik"
"7","frage","ganz","lesung","kollegen","darauf","sagen","sagen","sagen","durchaus","prinzip","prinzip","meinung","darüber","ausschuss","grundsätzliche","gesichtspunkt","grundsätzlichen","entwurfs","geltenden","recht","ausgestaltung","möglichkeit","sonderausschuss","tierschutzgesetzes","polizeibeamten","sonderausschuss","tatbestände","ungerechtfertigte","tür","weniger","vorbereitungsdienst","einsprüche","vorbereitungsdienst","auszusetzen","geldinstitute","liberalismus","kreditinstitute","sozialgerichtsbarkeit","meinungsbildungsprozess","überweisungen","qualität","fache","patentgebühren","zollbeamten","erfindungen","tierschutzes","libanesischen","transsexuelle","maklern","entbürokratisierung","geschädigte","offiziell","christine","innerdeutsche","selbstdarstellung","investitionen","bremen","geläufig","natostrategie","häufigkeit","krebserzeugend","supermarkt","protest","kirchholz","september","deutschtschechoslowakischen","bundesrates","jan","deutschbrasilianische","sed","marktwirtschaft","steuererhöhungen","marktwirtschaft","sozialismus","damaligen","aufarbeitung","wi","staatssicherheit","pds","colonia","konzentration","einzelhandel","rauchern","sprache","einstandspreis","sonne","liberalisierung","banken","burgbacher","brähmig","ehrenamt","hinsken","tourismus","gaststättengewerbe","gaststättengewerbe","aussengastronomie","rogowski","burgbacher","arndtbrauer","limited","verschmelzung","hinsken","unternehmergesellschaft","rechtsform","wi","gmbhrecht","un","friedens","sozialtourismus","itb","barrierefreiheit","schliessung","substanzen","argentinien","nebenwirkungen","prinzipien","tourismus","alkohol","kläranlagen","konsumenten","gescheitert","gentherapie","reststoffe","rechenschaftsberichte","werbeverbot","abgabe","recycling","kneipe"
"8","ausschuss","darüber","kollege","darauf","meinung","durchaus","freunde","meinung","meinung","worden","dinge","kollegen","schon","schon","durchaus","hinaus","freien","strafrechtskommission","möchte","reform","interesse","andererseits","strafvollzug","tierschutzgesetz","gesetzesvorlage","bedacht","volksbegehren","gesetz","scheel","befürchten","hupka","einspruchsführer","assessorexamen","musst","dispositionskrediten","parteipolitischen","institute","auftreten","überweisungen","komitee","nordhoff","staatsoberhauptes","patentstelle","glaube","stellenzulage","löwenanteil","beirut","branntwein","maklerrecht","wort","eingelegt","bürgern","aufwärts","wilms","notwendigerweise","generationen","finanzkraft","sachgerecht","anvertraut","abgeordnete","formaldehyd","übersetzung","wohl","vorfall","marshallplans","obhut","pohlmeier","tschechoslowakischen","cssr","wirtschafts","volkskammer","vereinigung","lafontaine","bürgerinnen","einigungsvertrag","potsdam","nich","sozialismus","ober","einheit","wiese","abends","rauchverbot","raucher","novelle","mehrwertsteuersatzes","sonntag","hannover","brähmig","tourismuswirtschaft","tourismusbranche","engagement","ladenschlussgesetz","staffelt","urlaub","sperrzeiten","bürokratieabbau","kulturtourismus","tanken","beschränkter","wettmonopol","naturparke","limited","hinsken","een","klimke","urlaub","geländes","oits","drogen","jugendherbergen","drugchecking","reisen","östlich","konsumenten","tourismus","alpenkonvention","menschenrechte","menschenrechte","tempel","entkriminalisierung","geldstrafe","rauchen","rezepte","ezigaretten","cannabiskonsum","entsorgung","kontrollierte"
"9","antrag","gar","sagen","ausführungen","anliegen","freunde","darauf","gar","darüber","standpunkt","schon","schon","kollege","grundsätzliche","möglichkeit","glaube","grunde","strafrechts","entwurfs","novelle","gesetze","gesetzen","entwurfs","sonderausschuss","abhörgeräte","kriminellen","promille","treu","lenz","mehr","zeigen","gegensatz","englischen","kreditanstalt","landesjägerschaft","wahrnehmung","däublergmelin","arbeitnehmer","gebühren","elementare","ankam","wunsche","statistik","sprechen","umgebung","renger","nahen","nva","finanzierte","rechtsentscheid","staatshaftungsrechts","grenzen","helsinkigruppe","düsseldorf","bundländerkommission","bayern","verteilung","sachgerechte","abgeschlossenen","vizepräsident","szenarien","einstufung","solms","čssr","hause","tschechoslowakischen","herr","baskischen","methadon","drüben","menschen","marktwirtschaft","sozialismus","bundeskanzler","menschen","vereinigung","se","honecker","honeckers","enquetekommission","ladenschlussgesetzes","wiese","passivrauchens","nichtraucherschutzgesetz","erhard","seiters","übungsleiter","dresdner","getränk","irber","hinsken","engagements","ladenschluss","aussengastronomie","wassertourismus","antrag","arbeitnehmer","tanktourismus","mindeststammkapitals","tourismuswirtschaft","gmbh","jugendarbeitsschutz","spielsucht","stammkapital","tourismuswirtschaft","hotellerie","tourismusbranche","truppenübungsplatzes","hauptquartier","schliessung","kinder","antrag","hausangestellten","sozialversicherungsabkommen","zeulner","grundlage","nikotin","drogen","reiseleistungen","park","abgabe","tabak","leute","ddvg","jugendliche","konsum","sammelquote","kreises"
"10","ganz","müssen","frage","lesung","bedenken","kollege","gerade","lösung","dinge","gerade","kollege","bestimmung","prinzip","fraktion","formulierung","müssen","durchaus","müssen","vorgesehene","entwurfs","vorbereitungsdienst","demokraten","schutz","tieres","gesetz","gesetz","sonderausschusses","fahruntüchtigkeit","uhr","völlig","rechtsverordnung","fragwürdige","juni","verbrauch","buchungsgebühren","vertrauensmännergremium","banken","verkäufer","kollege","warte","kommentator","polen","kompromiss","angedeutet","gebühren","anstrengungen","truppen","schoeler","auftraggeber","lauritzen","abhängen","miteinander","lufthansa","vermutungen","referentenentwurf","bundesstaatlichen","förderabgabe","offensive","dm","austermann","verzeihung","befreiung","einrichtungen","tschechoslowakischer","wiederaufbauprogramm","gängig","baskenland","palach","brasilianischen","vereinigung","deutschland","ministerpräsident","sozialunion","februar","zeugen","teilung","mi","aufarbeitung","sprache","jo","einzelhandels","grosszügig","titzestecher","kultusminister","unternehmen","unternehmen","ehrenamtlichen","weltausstellung","getränke","rauchen","irber","biergärten","einzelhandels","betriebe","tourismuswirtschaft","kurth","aufsichtsräten","brähmig","modell","gäste","staatsvertrag","naturlandschaften","sportwetten","tourismuspolitik","en","hehler","tourismuspolitischen","gelände","polen","barrierefreie","barrierefreien","drogenpolitik","hausangestellte","konsum","betäubungsmittelrechts","gesetzentwurf","ezigarette","rauchens","tourismus","zeulner","tabak","jugendschutz","freigabe","hüten","produkt","verbotspolitik","prävention","konsumenten"
