"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","gegenprobe","bitte","umdruck","umdruck","umdruck","gegenprobe","umdruck","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","gegenprobe","wünscht","gegenprobe","wünscht","wünscht","wünscht","wünscht","wer","wünscht","wünscht","zuzustimmen","wünscht","antrag","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","abstimmung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmen","stimmen","stimmen","stimmen","stimmen","beschlussempfehlung","stimmen","stimmt","stimmt","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","beschlussempfehlung","stimmen","stimmen","stimmen","abstimmung","petitionsausschuss","wahlgang","petitionen","dresden","petitionen","petitionen","petitionsausschuss","wahlrecht","spenden","demokratie","überhangmandate","wahlrecht","ehe","wahlrecht","demokratie","ehe","petitionen","ehe","ehe","petition","ehe","ehe","demokratie","ehe","grundgesetz","bundestag","wahlkreise","bundestag","grundgesetz","bundestag"
"2","antrag","abstimmung","bitte","bitte","umdruck","gegenprobe","bitte","bitte","antrag","gegenprobe","bitte","bitte","umdruck","gegenprobe","umdruck","gegenprobe","änderungsantrag","gegenprobe","antrag","antrag","antrag","gegenprobe","antrag","antrag","antrag","änderungsantrag","umdruck","umdruck","gegenprobe","enthaltungen","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","antrag","wünscht","gegenprobe","wünscht","wünscht","wünscht","enthaltungen","wünscht","gegenprobe","wünscht","gegenprobe","enthaltungen","zuzustimmen","enthaltungen","enthaltungen","zuzustimmen","wünscht","handzeichen","wer","wünscht","handzeichen","enthaltungen","wünscht","wünscht","wünscht","handzeichen","wer","wer","enthaltungen","wer","gegenprobe","stimmt","wer","wer","stimmt","wer","wer","wer","beschlussempfehlung","wer","wer","wer","enthaltungen","enthaltungen","enthaltungen","gegenprobe","beschlussempfehlung","enthaltungen","stimmen","stimmt","stimmen","stimmen","stimmen","beschlussempfehlung","enthaltungen","stimmt","stimmen","enthaltungen","stimmt","stimmt","abstimmung","stimmen","abstimmung","wahl","petitionsausschuss","unesco","petitionsausschuss","petitionsausschuss","vw","petitionsausschuss","wahl","petitionsausschuss","wahlrecht","überhangmandate","wahl","ehe","ehe","geschäftsordnung","petitionsausschuss","petitionen","parteien","petitionsausschuss","sponsoring","npd","bundesverfassungsgericht","parteien","demokratie","wahlrecht","bundestag","demokratie","bundestag","abgeordneten"
"3","gegenprobe","antrag","ziffer","gegenprobe","gegenprobe","änderungsantrag","gegenprobe","handzeichen","gegenprobe","bitte","handzeichen","gegenprobe","handzeichen","antrag","handzeichen","antrag","enthaltungen","antrag","ziffer","gegenprobe","gegenprobe","handzeichen","gegenprobe","änderungsantrag","änderungsantrag","umdruck","antrag","gegenprobe","handzeichen","gegenprobe","bitte","gegenprobe","gegenprobe","änderungsantrag","gegenprobe","bitte","handzeichen","zuzustimmen","bitte","zuzustimmen","zuzustimmen","zuzustimmen","wünscht","antrag","zuzustimmen","handzeichen","enthaltungen","wünscht","enthaltungen","drucksache","handzeichen","handzeichen","handzeichen","zuzustimmen","handzeichen","beschlussempfehlung","zuzustimmen","bitte","handzeichen","handzeichen","handzeichen","wünscht","drucksache","handzeichen","drucksache","abstimmung","stimmt","wer","stimmt","stimmt","wer","enthaltungen","enthaltungen","angenommen","enthaltungen","angenommen","angenommen","beschlussempfehlung","wer","gegenprobe","gegenprobe","drucksache","enthaltungen","beschlussempfehlung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","wer","stimmen","stimmen","wer","stimmen","wer","wer","stimmt","stimmt","petitionsrecht","schriftführer","petenten","brücke","rettungsassistenten","petition","vwgesetz","petitionen","parteien","petitionen","demokratie","bundesverfassungsgericht","rechtsschutz","petitionen","lebenspartnerschaften","wahl","lebenspartnerschaften","paare","gleichstellung","petitionen","parteien","petitionen","grundgesetzes","stiftungen","verfassung","wahlkreise","wahlrecht","abgeordneten","petitionen","demokratie"
"4","ziffer","umdruck","antrag","ziffer","ziffer","ziffer","handzeichen","umdruck","enthaltungen","antrag","gegenprobe","handzeichen","bitte","handzeichen","antrag","änderungsantrag","umdruck","änderungsantrag","gegenprobe","bitte","änderungsantrag","änderungsantrag","handzeichen","wer","wer","gegenprobe","gegenprobe","änderungsantrag","umdruck","umdruck","gegenprobe","bitte","änderungsantrag","umdruck","änderungsantrag","herren","bitte","antrag","zuzustimmen","antrag","antrag","enthaltungen","zuzustimmen","zuzustimmen","beratung","enthaltungen","zuzustimmen","handzeichen","handzeichen","gegenprobe","zuzustimmen","wer","angenommen","wer","zuzustimmen","handzeichen","wer","zuzustimmen","zuzustimmen","zuzustimmen","zuzustimmen","wer","handzeichen","wünscht","wer","stimmt","wer","abstimmung","abstimmung","drucksache","drucksache","drucksache","angenommen","drucksache","wer","beschlussempfehlung","beschlussempfehlung","drucksache","stimmen","stimmt","beschlussempfehlung","änderungsantrag","stimmt","stimmt","drucksache","wer","wer","wer","beschlussempfehlung","enthaltungen","wer","enthaltungen","enthaltungen","stimmt","enthaltungen","enthaltungen","wer","entschliessungsantrag","petitionen","stimmen","petitionsausschusses","bonn","petition","petenten","petitionen","wahl","stimmkarte","petition","stimmgewicht","petitionen","bundesverfassungsgericht","bundesverfassungsgericht","gleichstellung","minderheitenrechte","demokratie","petition","spenden","demokratie","gleichstellung","parteien","grundgesetz","grundgesetz","grundgesetzes","grundgesetz","abgeordneten","grundgesetz","demokratie","geschäftsordnung"
"5","abstimmung","gegenprobe","abstimmung","handzeichen","änderungsantrag","handzeichen","ziffer","enthaltungen","handzeichen","ziffer","antrag","antrag","antrag","enthaltungen","bitte","handzeichen","wer","wer","änderungsantrag","handzeichen","bitte","ziffer","änderungsantrag","gegenprobe","gegenprobe","enthaltungen","handzeichen","handzeichen","enthaltungen","handzeichen","änderungsantrag","änderungsantrag","handzeichen","ziffer","zuzustimmen","damen","zuzustimmen","bitte","enthaltungen","bitte","bitte","handzeichen","handzeichen","handzeichen","enthaltungen","zuzustimmen","handzeichen","zuzustimmen","gegenprobe","handzeichen","gegenprobe","enthaltungen","zuzustimmen","angenommen","enthaltungen","wer","enthaltungen","drucksache","gegenprobe","angenommen","wer","zuzustimmen","stimmt","drucksache","antrag","gegenprobe","abstimmung","handzeichen","drucksache","änderungsantrag","beschlussempfehlung","angenommen","drucksache","beschlussempfehlung","angenommen","drucksache","stimmenthaltungen","angenommen","änderungsantrag","drucksache","stimmt","enthaltungen","drucksache","drucksache","angenommen","drucksache","beschlussempfehlung","beschlussempfehlung","wer","stimmen","beschlussempfehlung","wer","änderungsantrag","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","wer","petition","schriftführerinnen","eingaben","dresdner","petenten","petitionsausschusses","wahlrecht","demokratie","parteiengesetz","direkte","parteien","demokratie","wahlrecht","lebenspartnerschaft","parteien","abgeordneten","richter","petitionsausschuss","lebenspartner","ehe","diskriminierung","petitionsausschuss","enquetekommission","demokratie","wahlrecht","demokratie","bundestages","parteien","artikel","parlament"
"6","hand","enthaltungen","gegenprobe","abstimmung","bitte","antrag","antrag","ziffer","umdruck","handzeichen","wer","ziffer","wer","bitte","wer","enthaltungen","antrag","enthaltungen","enthaltungen","änderungsantrag","handzeichen","antrag","umdruck","handzeichen","handzeichen","handzeichen","enthaltungen","enthaltungen","änderungsantrag","bitte","einzelplan","handzeichen","enthaltungen","wünscht","wünscht","wort","wünscht","handzeichen","wünscht","enthaltungen","enthaltungen","antrag","antrag","bitte","handzeichen","drucksache","drucksache","bitte","wer","zuzustimmen","wer","drucksache","nr","enthaltungen","rufe","enthaltungen","gegenprobe","wünscht","angenommen","bitte","bitte","angenommen","wünscht","zuzustimmen","handzeichen","handzeichen","beschlussempfehlung","drucksache","beschlussempfehlung","handzeichen","angenommen","abstimmung","beschlussempfehlung","enthaltungen","abstimmung","stimmenthaltungen","enthaltungen","gesetzentwurf","abstimmung","änderungsantrag","angenommen","beschlussempfehlung","gegenprobe","gegenprobe","gegenprobe","angenommen","drucksache","angenommen","drucksache","drucksache","drucksache","angenommen","drucksache","angenommen","abstimmung","abstimmung","änderungsantrag","beschlussempfehlung","stimmen","gestimmt","petition","bürgerentscheid","mayer","bürgerinnen","petitionsrecht","welterbestätten","demokratie","bürgerinnen","mandate","petitionsausschuss","demokratie","beck","petitionen","rechte","bundesverfassungsgerichts","lesben","gleichgeschlechtliche","grundgesetz","beck","demokratie","npd","artikel","artikel","bundestages","vorschlag","parlament","parteien","mehrheit"
"7","nr","änderungsantrag","mehrheit","änderungsantrag","handzeichen","wer","änderungsantrag","wer","abstimmung","enthaltungen","änderungsantrag","wünscht","ziffer","ziffer","enthaltungen","wer","ziffer","handzeichen","gebe","zuzustimmen","enthaltungen","wer","angenommen","bitte","bitte","wer","wer","bitte","wer","wer","abstimmung","einzelplan","bitte","zuzustimmen","bitte","wer","enthaltungen","wer","handzeichen","wer","wer","bitte","wer","enthaltungen","wer","wer","bitte","drucksache","angenommen","angenommen","angenommen","beschlussempfehlung","rufe","rufe","angenommen","rufe","angenommen","handzeichen","bitte","gegenprobe","angenommen","bitte","änderungsantrag","stimmt","bitte","drucksache","angenommen","beschlussempfehlung","angenommen","angenommen","änderungsantrag","stimmen","änderungsantrag","stimmenthaltungen","drucksache","enthaltungen","drucksache","abstimmung","drucksache","beschlussempfehlung","drucksache","stimmt","angenommen","änderungsantrag","stimmt","abstimmung","abstimmung","drucksache","angenommen","angenommen","angenommen","drucksache","abstimmung","drucksache","angenommen","empfiehlt","angenommen","bündnisses","baumann","präsidenten","schriftführer","waldschlösschenbrücke","eingaben","bürger","überhangmandate","petition","sponsoring","bürger","bundesverfassungsgericht","ehe","krings","petitionsausschuss","lesben","mitglieder","ehe","lebenspartnerschaften","partei","wahl","parteiengesetz","grundgesetzes","antrag","bundesverfassungsgericht","bundesverfassungsgericht","parteien","demokratie","bundestages","kirchen","bundestages"
"8","erheben","mehrheit","angenommen","antrag","antrag","bitte","wer","antrag","wer","änderungsantrag","ziffer","zuzustimmen","enthaltungen","änderungsantrag","ziffer","bitte","handzeichen","bitte","wer","wünscht","zuzustimmen","bitte","bitte","entschliessungsantrag","zuzustimmen","zuzustimmen","bitte","ziffer","ziffer","änderungsantrag","wort","enthaltungen","zuzustimmen","bitte","enthaltungen","abstimmung","wer","enthaltungen","wer","handzeichen","handzeichen","wer","bitte","drucksache","wort","angenommen","berichterstatter","wer","drucksache","wer","bitte","angenommen","enthaltungen","gegenprobe","bitte","angenommen","rufe","wahl","wer","wer","gegenprobe","drucksache","zuzustimmen","angenommen","fraktion","angenommen","drucksache","angenommen","handzeichen","gegenprobe","gegenprobe","dagegen","abstimmung","gesetzentwurf","gegenprobe","gesetzentwurf","gesetzentwurf","empfiehlt","angenommen","angenommen","abstimmung","handzeichen","wer","wer","empfiehlt","beschlussempfehlung","angenommen","empfiehlt","änderungsantrag","empfiehlt","abstimmung","gesetzentwurf","angenommen","gesetzentwurf","ausschussfassung","angenommen","ausschussfassung","bundesrates","schriftführer","stimmkarte","petitionsrecht","vaatz","rettungsdienst","vwgesetz","vwgesetzes","geschäftsordnung","wahlen","bundesebene","vorschlag","hartmann","partei","gleichstellung","bundesverfassungsgericht","bundesverfassungsgericht","wahl","diskriminierung","lebenspartnerschaft","staatsleistungen","lebenspartnerschaft","grundgesetz","direkte","petitionsausschuss","wahl","artikel","bundesverfassungsgericht","abgeordnete","verfassung","grundgesetz"
"9","angenommen","zuzustimmen","enthaltungen","wer","enthaltungen","abstimmung","abstimmung","abstimmung","zustimmen","wer","enthaltungen","änderungsantrag","änderungsantrag","wer","änderungsantrag","ziffer","bitte","ziffer","bitte","wer","wer","angenommen","zuzustimmen","abstimmung","ziffer","bitte","siehe","wort","bitte","herren","handzeichen","wort","wer","enthaltungen","wer","gegenprobe","angenommen","änderungsantrag","abstimmung","angenommen","drucksache","drucksache","angenommen","wer","bitte","bitte","wort","rufe","rufe","rufe","abstimmung","berichterstatter","stimmt","drucksache","gegenprobe","drucksache","bitte","fraktion","gegenstimmen","drucksache","drucksache","ausschussfassung","angenommen","gegenprobe","zuzustimmen","änderungsantrag","handzeichen","fraktion","fraktion","fraktion","abstimmung","ausschussfassung","gesetzentwurf","dagegen","handzeichen","abstimmung","abstimmung","enthaltungen","gegenprobe","wer","wer","angenommen","pds","angenommen","gesetzentwurf","änderungsantrag","änderungsantrag","abstimmung","pds","dagegen","gesetzentwurf","empfiehlt","cducsu","empfiehlt","drucksache","gesetzentwurf","drucksache","plätze","mehrheit","bitte","schriftführerinnen","petitionsrecht","petitionsausschusses","niedersachsen","volljährigkeit","überhangmandate","mitglieder","volksentscheid","lobbyismus","stimmgewicht","gesetzentwurf","beamten","spenden","bundestages","petition","karenzzeit","wahl","anliegen","gleichgeschlechtliche","bundesverfassungsgericht","ausschüsse","petitionen","petitionen","grundgesetzes","grundgesetz","artikel","abgeordneten","impfpflicht"
"10","umdruck","handzeichen","änderungsantrag","enthaltungen","wer","enthaltungen","enthaltungen","wünscht","ziffer","wünscht","zuzustimmen","wer","angenommen","angenommen","zuzustimmen","zustimmen","angenommen","angenommen","angenommen","ziffer","ziffer","enthaltungen","abstimmung","enthaltungen","siehe","wünscht","angenommen","wer","angenommen","damen","wer","damen","abstimmung","wort","wort","änderungsantrag","wort","drucksache","drucksache","drucksache","wort","angenommen","drucksache","einzelplan","berichterstatter","wort","wer","nr","bitte","beratung","rufe","bitte","gegenstimmen","bitte","nr","gegenprobe","drucksache","fraktionen","drucksache","antrag","änderungsantrag","änderungsantrag","gegenprobe","abstimmung","gegenprobe","wünscht","änderungsantrag","änderungsantrag","gegenprobe","abstimmung","fraktion","änderungsantrag","stimmenthaltungen","stimmen","änderungsantrag","dagegen","empfiehlt","dagegen","pds","abstimmung","empfiehlt","wer","abstimmung","pds","wer","dagegen","pds","gesetzentwurf","empfiehlt","pds","empfiehlt","abstimmung","fraktion","dagegen","dagegen","ausschussfassung","einzelplan","enthaltungen","bitte","vizepräsidenten","abstimmung","mücke","jahresbericht","petitionsrecht","wahlalters","kandidaten","politischen","petenten","wahl","beck","wiefelspütz","lebenspartnerschaften","lebenspartnerschaft","abgeordnete","gleichstellung","bundesverfassungsgericht","parteiengesetz","kirchen","grundgesetz","partei","afd","parteienfinanzierung","petitionsausschuss","vorschlag","wahl","wahlrecht","bundestages","wahl"
"11","mehrheit","hand","wer","wünscht","angenommen","gewünscht","ziffern","angenommen","angenommen","zuzustimmen","wünscht","enthaltungen","wünscht","zuzustimmen","wünscht","einzelplan","abstimmung","wünscht","handzeichen","enthaltungen","wünscht","nr","wer","einzelplan","enthaltungen","angenommen","anlage","abstimmung","stimmen","ziffer","enthaltungen","siehe","wünscht","handzeichen","abstimmung","abgeordnete","änderungsantrag","wort","wort","änderungsantrag","einstimmig","änderungsantrag","rufe","wort","drucksache","rufe","rufe","angenommen","berichterstatter","berichterstatter","drucksache","gegenprobe","bitte","berichterstatter","gegenstimmen","einstimmig","änderungsantrag","mitglieder","änderungsantrag","rufe","abstimmung","stimmt","abstimmung","bitte","wünscht","einzelplan","fraktion","gegenprobe","änderungsantrag","wünscht","handzeichen","rufe","stimmen","abstimmung","gesetzentwurf","empfiehlt","änderungsantrag","stimmenthaltungen","wahl","gesetzentwurf","handzeichen","stimmenthaltungen","empfiehlt","gesetzentwurf","handzeichen","pds","dagegen","pds","dagegen","gesetzentwurf","änderungsantrag","pds","dagegen","abstimmung","einzelplan","entschliessungsantrag","entschliessungsantrag","bitte","petitionsausschusses","mitglieder","namentliche","weltkulturerbe","sachsen","wahl","bürger","arbeit","wahlrecht","volksbegehren","abgeordneten","wähler","lebenspartnerschaft","wahl","bundesverfassungsgerichts","grundgesetz","bundesverfassungsgericht","gleichstellung","teilfinanzierung","bürger","wahl","ehen","abgeordnete","gesetzentwurf","parteien","abgeordneten","bundestagswahl","lobbyregister","abgeordnete","diäten"
