"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","demokratie","opposition","opposition","opposition","demokratie","demokratie","politischen","politischen","volk","volk","demokratie","volk","parteien","politischen","staat","volkes","partei","staat","volk","parteien","parteien","freiheit","regierungserklärung","volk","regierungserklärung","bundeskanzler","demokratie","demokratie","demokratie","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","verfassung","staat","freiheit","freiheit","freiheit","freiheit","demokratie","freiheit","bundeskanzler","bundeskanzler","bundeskanzler","bremen","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","parteien","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","geschichte","menschen","menschen","deutschen","berlin","deutschen","berlin","gewalt","gewalt","demokratie","verfassung","tschechischen","menschen","religionsunterricht","erklärung","wehrmacht","geschichte","demokratie","berlin","mahnmal","opfer","demokratie","opfer","demokratie","antisemitismus","demokratie","juden","antisemitismus","opfer","npd","brandenburger","opfer","bibliothek","rechtsextremismus","demokratie","demokratie","ddr","demokratie","grundgesetz","versöhnung","gewalt","roma","rechtsextremismus","roma","rechtsextremismus","antisemitismus","verfassungsschutz","roma","aufarbeitung","opfer","völkermord","religionsfreiheit","antisemitismus","afd","chemnitz","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","politischen","politischen","demokratie","demokratie","opposition","politischen","demokratie","staat","volkes","demokratie","opposition","partei","partei","demokratie","freiheit","parteien","staat","freiheit","freiheit","volk","volk","volk","gesellschaft","bundeskanzler","parteien","politischen","parteien","politischen","volk","demokratie","freiheit","demokratie","freiheit","reformen","freiheit","partei","freiheit","freiheit","demokratie","demokratie","demokratischen","partei","brandt","demokratie","terrorismus","bundeskanzler","partei","freiheit","partei","bundeskanzler","partei","partei","demonstration","partei","politik","partei","partei","parteien","israel","bundeskanzler","volk","politischen","bundeskanzler","geschichte","demokratie","politischen","demokratie","menschen","freiheit","demokratie","geschichte","demokratie","geschichte","geschichte","menschen","menschen","geschichte","menschen","demokratie","geschichte","menschen","tschechischen","ausstellung","kultur","deutschen","freiheit","demokratie","stiftung","jüdischen","deutschen","freiheit","demokratie","freiheit","jüdischen","juden","geschichte","leitkultur","geschichte","mauer","nationalbibliothek","demokratie","rassismus","rassismus","gysi","juden","demokratie","stiftung","demokratie","religionsfreiheit","verfassungsschutz","rechtsextremismus","aufarbeitung","npd","demokratie","opfer","israel","gewalt","demokratie","demokratie","demokratie","religionsfreiheit","afd","opfer","meinungsfreiheit","afd","afd","antisemitismus","opfer"
"3","volk","demokratie","politischen","volk","politischen","staat","partei","partei","demokratie","volkes","politik","freiheit","volk","volk","volkes","volk","freiheit","gewerkschaften","staat","staat","staat","verantwortung","volk","demokratie","bundeskanzler","koalition","staat","politische","staat","politischen","volk","partei","demokratie","freiheit","demokratie","demokratie","ordnung","demokratischen","freiheit","freiheit","demokratie","sozialismus","demokratie","staat","freiheit","demokratie","demokratie","demokratie","demokratie","partei","unseres","jungen","frieden","kohl","menschen","brandt","neuwahlen","demokratie","parteien","partei","geschichte","geschichte","demokratie","demokratie","gewalt","demokratie","politischen","demokratie","geschichte","deutschen","freiheit","hauptstadt","menschen","deutschen","demokratie","geschichte","menschen","geschichte","vertreibung","demokratie","tschechischen","geschichte","geschichte","stiftung","geschichte","deutschen","opfer","deutschen","geschichte","islam","geschichte","geschichte","opfer","opfer","entschädigung","namibia","integration","tor","demokratie","rechtsextremismus","npd","rechtsextremismus","npd","israel","hdj","freiheit","vertreibung","religionsfreiheit","christen","demokratie","namibia","rassismus","aufarbeitung","geschichte","verfassungsschutz","opfer","freiheit","sachsen","gewalt","geschichte","gewalt","menschenrechte","afd","hass","opfer","freiheit","afd","freiheit"
"4","opposition","volk","volk","politischen","partei","politische","parteien","opposition","freiheit","freiheit","staat","demokratie","opposition","politik","volk","staat","politik","volk","volkes","freiheit","freiheit","vorbehaltsrechte","volkes","parteien","koalition","politische","volk","partei","freiheit","politische","demokratie","freiheit","politischen","demokratie","staat","wähler","staat","demokratie","staat","demokratischen","staat","demokratie","sozialismus","bundeskanzler","bundeskanzler","staat","kohl","staat","freiheit","freiheit","freiheit","kohl","partei","freiheit","frieden","politik","wähler","partei","helmut","demokratie","vogel","partei","volk","menschen","geschichte","bundeskanzler","menschen","politischen","kultur","geschichte","menschen","verfassung","berlin","menschen","deutschen","demokratie","verfassung","demokratie","deutschen","einheit","deutschen","sudetendeutschen","opfer","menschen","ddr","demokratie","denkmal","freiheit","jüdische","rechtssicherheit","deutschen","juden","geschichte","deutschland","opfer","seddiktatur","geschichte","berliner","menschen","demokratie","islam","opfer","ddr","demokratie","antisemitismus","gewalt","steinbach","stiftung","sinti","opfer","nazis","npd","akten","rechtsextremismus","sinti","gewalt","sicherheitsbehörden","geschichte","religion","rassismus","antisemitismus","religionsfreiheit","gewalt","opfer","gewalt","rassismus","geschichte","afd"
"5","deutschen","welt","freiheit","welt","parlament","freiheit","freiheit","volk","opposition","partei","volkes","politischen","volkes","freiheit","staates","politischen","volk","presse","demokratischen","demokratie","politische","staat","staat","staat","demokratie","regierung","bundeskanzler","parteien","verfassung","staat","politischen","staat","menschen","politik","demokratischen","mehrheit","regierungserklärung","verfassung","grundgesetz","partei","kohl","dregger","partei","partei","staat","brandt","parteien","unserer","demokratischen","demokratie","kohl","geschichte","brandt","brandt","kohl","kohl","helmut","kohl","partei","brandt","demokratie","vogel","menschen","kultur","politischen","menschen","geschichte","deutschen","deutschen","freiheit","demokratie","entscheidung","verfassung","demokratie","deutschland","deutschen","gewalt","grundgesetz","geschichte","deutschen","brandenburg","deutschtschechischen","menschen","opfer","freiheit","geschichte","geschichte","demokratie","gedenkstätten","demokratie","opfer","möllemann","kultur","leben","denkmal","juni","demokratie","israel","islam","bücher","muslime","npd","freiheit","npd","jüdischen","ddr","vertriebenen","christen","geschichte","gewalt","datei","antisemitismus","rechtsextremismus","polizei","todesstrafe","ddr","npd","opfer","rechtsextremismus","juden","demokratie","demokratie","geschichte","afd","hass","opfer","freiheit","rassismus"
"6","politische","volkes","parlament","staat","staat","partei","staat","volkes","politik","politik","freiheit","opposition","politik","staat","verfassung","partei","unseres","demokratie","politik","volkes","partei","demokratie","bundeskanzler","volkes","volk","demokratie","studenten","bildung","bundeskanzler","volkes","volkes","menschen","reformen","staat","partei","freitag","demokratischen","partei","bundeskanzler","brandt","ordnung","kommunisten","staat","kohl","partei","kohl","freiheit","partei","ministerpräsident","geschichte","regierungserklärung","menschen","kohl","frieden","partei","koalition","politik","politik","demokratie","volk","politik","volk","deutschen","volk","demokratischen","politische","demokratischen","bundeskanzler","demokratie","volk","volk","deutschen","kultur","deutschland","geschichte","leben","kultur","enquetekommission","sudetendeutschen","freiheit","sudetendeutschen","demokratie","krieg","deutschen","demokratischen","gedenkstätten","bonn","geschichte","opfer","deutsche","denkmal","opfer","menschen","zentralrat","jüdischen","menschen","menschen","demokratie","islamismus","muslime","toleranz","toleranz","rechtsextremismus","elser","geschichte","stiftung","flucht","polizei","kommunismus","aufarbeitung","polizei","demokratie","geschichte","sicherheitsbehörden","rassismus","verfassungsschutz","rechtsextremismus","gewalt","opfer","opfer","christen","islam","freiheit","freiheit","freiheit","hass","meinungsfreiheit","geschichte"
"7","freiheit","partei","politische","politische","volk","parlament","volkes","politische","politischen","opposition","partei","politik","freiheit","partei","parteien","freiheit","parteien","volkes","unseres","politische","politischen","alliierten","freiheit","verfassung","regierung","partei","partei","auseinandersetzung","politischen","regierung","politische","volk","staat","politischen","politischen","unserer","politischen","staat","parteien","demokraten","terroristen","staat","gesellschaft","demokratischen","demokratischen","partei","kommunisten","unseres","strauss","politischen","staat","staat","politik","staat","angst","helmut","koalition","freiheit","politik","demokratischen","volkes","brandt","politischen","politischen","menschen","gewalt","gewalt","freiheit","berlin","berlin","deutschland","menschen","demokratie","bonn","demonstration","volk","deutschen","deutschen","menschen","deutschlands","geschichte","deutschen","deutschen","demokratie","aufarbeitung","menschen","deutschen","menschen","gewalt","geschichte","menschen","berliner","politischen","jüdische","homosexuellen","bundespräsident","muslime","opfer","ddr","deutsche","christen","christen","opfer","staatssicherheit","politische","verfassung","aufarbeitung","demonstranten","türkei","extremismus","verfassungsschutz","ddr","staatsleistungen","opfer","nsu","geschichte","demokratie","versöhnung","religions","freiheits","israel","freiheit","chemnitz","geschichte","rassismus","gewalt","hass","hanau"
"8","staat","politische","staat","parlament","volkes","volk","opposition","freiheit","partei","politischen","bundespräsidenten","staat","staat","opposition","politik","demokratie","verhalten","notstand","leben","unseres","demokratie","äusseren","unseres","politischen","partei","volk","demokratischen","freiheit","parteien","menschen","partei","politischen","volk","solidarität","inneren","regierung","demokratie","unseres","partei","bundeskanzler","parteien","bundeskanzler","sozialdemokraten","parteien","gewalt","staates","brandt","geschichte","geschichte","demokratischen","demokratie","freiheit","menschen","helmut","freiheit","neuwahlen","regierung","brandt","kohl","spenden","deutschen","demokratischen","juden","deutschen","verfassung","staat","gesellschaft","demokratischen","volk","demokratischen","kultur","geschichte","heimat","vergangenheit","kultur","deutschland","deutschland","freiheit","unrecht","ddr","opfer","beziehungen","verbrechen","freiheit","menschen","republik","juden","volk","menschen","entschädigung","volk","historischen","leben","demokratie","geschichte","opfern","stiftung","neonazis","büttner","geschichte","islamkonferenz","religionsfreiheit","geschichte","partei","npd","grundgesetzes","bdv","bäume","opfer","aufklärung","demokratie","geschichte","vertreibung","aufarbeitung","rechtsextremismus","juden","verfassungsschutz","sowjetunion","bericht","rechtsextremismus","juden","religion","menschenrechte","gewalt","geschichte","muslime","juden","gewalt"
"9","politik","politik","welt","freiheit","geschichte","politik","volk","politik","staat","staat","volk","politische","politischen","volkes","gemeinschaft","verfassung","volkes","demokratischen","partei","bundeskanzler","volkes","ablösung","regierung","regierung","politischen","demokratischen","nation","bundeskanzler","volkes","regierungserklärung","politik","demokratischen","staates","demokratischen","lande","damen","partei","unserer","demokratischen","verfassung","bundeskanzler","demokratischen","menschen","verfassung","kohl","parteien","staat","bürger","menschen","verfassung","demokratischen","generation","freiheit","menschen","jungen","demokratie","dienstag","csu","demokratischen","politischen","helmut","parteien","toten","demokratischen","volkes","kultur","mehrheit","deutschland","deutsche","bundeskanzler","berlin","bonn","deutschland","freiheit","leben","opfer","leben","kultur","volk","heute","kirchen","tschechen","nationalsozialismus","leben","einheit","einheit","freiheit","verantwortung","deutschen","polen","aufarbeitung","jüdischen","deutschen","deutschen","gedenken","stiftung","islamismus","religionsunterricht","teilung","islamischen","aufarbeitung","menschen","integration","rechtsextremismus","aufarbeitung","islamkonferenz","stiftungsrat","demonstrationen","demokratie","bundeszentrale","frankfurt","opfer","opfer","nsu","liebknecht","völkermord","stiftung","aufarbeitung","freiheit","freiheit","hass","juden","juden","hetze","antifa","hetze","sprache","hass"
"10","regierung","parlament","volkes","geschichte","regierung","volkes","politische","parlament","regierung","welt","politischen","volkes","demokratie","auseinandersetzung","demokratie","politik","wahrheit","geschichte","demokratie","staate","barzel","verfassung","demokratie","freiheit","wahlrecht","regierungserklärung","verfassung","koalition","partei","generation","regierung","nation","regierungserklärung","unseres","staates","herren","brandt","menschen","ordnung","politischen","partei","parteien","kohl","bürger","volk","politischen","verfassung","parteien","politischen","brandt","generation","demokratischen","kommunisten","politik","brandt","schmidt","unseres","regierungserklärung","brandt","unseres","menschen","demokratie","parteien","vogel","volk","leben","verfassung","berlin","ddr","deutschland","deutsche","stadt","deutsche","unrecht","deutsche","heute","volk","volk","leben","gesellschaft","juden","versöhnung","volk","volk","volk","tschechischen","menschen","deutsche","juden","zwangsarbeiter","unrecht","gesellschaft","volk","erinnerung","jüdische","demokratie","leben","teilung","integration","palast","religion","extremismus","zivilgesellschaft","opfer","ddr","wurde","polen","freiheit","charta","akten","türkei","sicherheitsbehörden","demokratie","ddr","demokratie","wurden","rassismus","armeniern","geschichte","aufarbeitung","gesellschaft","maassen","sinti","antisemitismus","juden","christen","gewalt","rechts"
