"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","müssen","müssen","menschen","menschen","müssen","menschen","menschen","unserer","menschen","menschen","menschen","heute","entwicklungshilfe","menschen","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","unsere","entwicklungsländern","unserer","unserer","unsere","unserer","unserer","unsere","unserer","unserer","unserer","unserer","müssen","unserer","müssen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","bereich","unserer","unserer","unserer","unserer","bereich","müssen","unserer","bereich","müssen","unserer","bereich","müssen","müssen","bereich","müssen","bereich","entwicklung","entwicklung","bereich","bereich","bereich","müssen","entwicklung","müssen","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","entwicklung","entwicklung","müssen","müssen","entwicklung","entwicklung","müssen","müssen","öffentlichen","tourismus","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","bereich","entwicklung","entwicklung","enquetekommission","entwicklung","bedeutung","entwicklung","bereich","bereich","wichtig","bereich","bereich","müssen","bereich","bereich","müssen","müssen","entwicklung","müssen","entwicklung","entwicklung","entwicklung","bereich","engagement","gesellschaft","entwicklung","entwicklung","entwicklung","müssen","müssen","müssen","engagement","wichtig","wichtig","ländlichen","engagement","thw","wichtig","wichtig","wichtig"
"2","heute","unsere","müssen","müssen","menschen","unserer","müssen","heute","unserer","probleme","unserer","immer","hilfe","entwicklungshilfe","entwicklungsländern","unserer","entwicklungsländern","aufgabe","unsere","unsere","unsere","unserer","unsere","unsere","unserer","unsere","unsere","entwicklung","entwicklung","entwicklung","müssen","entwicklung","entwicklung","bereich","entwicklung","probleme","gesellschaft","bereich","bereich","bereich","bereich","bereich","unserer","bereich","bereich","bereich","massnahmen","unserer","bereich","bereich","müssen","unserer","bereich","müssen","unserer","probleme","müssen","bereich","müssen","probleme","bereich","entwicklung","müssen","entwicklung","probleme","bereich","entwicklung","müssen","müssen","müssen","entwicklung","müssen","neuen","müssen","ländern","entwicklung","müssen","müssen","entwicklung","entwicklung","entwicklung","müssen","bedeutung","bereich","enquetekommission","bereich","bereich","bereich","entwicklung","bereich","müssen","engagement","müssen","wichtige","müssen","entwicklung","wichtig","bereich","müssen","wichtig","wichtig","müssen","müssen","bereich","bereich","bereich","wichtig","müssen","engagement","müssen","entwicklung","menschen","entwicklung","bereich","bereich","bereich","bereich","bereich","bereich","menschen","müssen","ländlichen","wichtig","ländlichen","wichtig","zukunft","zusammenarbeit","stärken"
"3","glaube","immer","unsere","heute","heute","müssen","unserer","menschen","immer","unserer","immer","mehr","entwicklungsländer","unsere","entwicklungsländer","müssen","entwicklungsländer","unserer","unserer","menschen","müssen","aufgabe","müssen","entwicklungshilfe","müssen","entwicklungshilfe","müssen","unsere","müssen","unserer","entwicklung","unserer","gesellschaft","entwicklung","zukunft","schritt","aufgabe","müssen","forschung","probleme","müssen","probleme","bedeutung","probleme","massnahmen","aufgabe","entwicklung","entwicklung","unserer","müssen","unserer","bereich","müssen","probleme","bereich","bereich","probleme","probleme","aufgabe","müssen","probleme","probleme","entwicklung","müssen","entwicklung","müssen","bereich","bereich","zukunft","aufgaben","aufgaben","ländern","ländern","aufgaben","entwicklung","ländern","ländern","neuen","tourismus","neuen","müssen","bereich","müssen","bedeutung","bereich","müssen","entwicklung","enquetekommission","engagement","müssen","bereich","bereich","bereich","bereich","wichtig","wichtig","müssen","bedeutung","grosse","müssen","bereich","wichtig","wichtig","wichtig","entwicklung","müssen","bereich","nachhaltige","wichtig","menschen","menschen","bereich","menschen","menschen","herausforderungen","menschen","entwicklung","wichtig","herausforderungen","müssen","unsere","entwicklung","herausforderungen","wichtig","herausforderungen","stärken","zukunft","gemeinsam"
"4","unsere","glaube","heute","grossen","unserer","heute","heute","immer","unsere","heute","mehr","menschen","menschen","unserer","hilfe","unsere","entwicklungspolitik","grossen","aufgabe","müssen","entwicklungspolitik","immer","grossen","entwicklung","probleme","müssen","entwicklung","müssen","unsere","aufgabe","probleme","bedeutung","bereich","gebiet","bereich","entwicklung","bereich","entwicklung","probleme","entwicklung","probleme","unsere","verbesserung","unsere","unsere","entwicklung","bereich","förderung","massnahmen","probleme","entwicklung","aufgabe","probleme","unserer","probleme","unserer","entwicklung","unserer","entwicklung","bereich","müssen","müssen","probleme","besonders","aufgabe","aufgabe","zukunft","aufgabe","bereich","aufgabe","aufgabe","aufgabe","müssen","neuen","neuen","bereich","neuen","ländern","neuen","neue","verwaltung","neuen","bereich","müssen","bedeutung","aufgaben","rahmenbedingungen","engagement","neuen","bericht","neue","gesellschaft","fördern","beispiel","bereich","müssen","ländern","entwicklung","beispiel","entwicklung","unsere","engagement","unsere","thema","wichtig","wichtig","unsere","wichtig","bereich","wichtig","gesellschaft","herausforderungen","bereich","müssen","müssen","müssen","menschen","tab","wichtig","herausforderungen","zukunft","regionen","engagement","ehrenamt","stärken","bereich","gute","herausforderungen"
"5","deutschen","unseres","glaube","unsere","immer","unsere","aufgabe","unsere","heute","problem","entwicklung","entwicklung","müssen","müssen","entwicklungspolitik","menschen","müssen","müssen","entwicklungshilfe","aufgabe","immer","müssen","aufgaben","müssen","entwicklung","probleme","aufgaben","probleme","zukunft","unsere","aufgabe","unsere","unsere","neue","aufgabe","mehr","zukunft","zukunft","entwicklung","zukunft","massnahmen","entwicklung","probleme","müssen","müssen","massnahmen","müssen","müssen","probleme","entwicklung","zusammenarbeit","probleme","entwicklung","entwicklung","entwicklung","entwicklung","unsere","entwicklung","unserer","unserer","aufgabe","unserer","unserer","bedeutung","bereich","unserer","besonders","zukunft","bedeutung","rahmenbedingungen","bedeutung","probleme","bereich","aufgabe","bereich","neuen","bereich","neue","bereich","bereich","tourismus","entwicklung","neuen","förderung","müssen","bedeutung","bedeutung","müssen","rahmenbedingungen","wichtige","chancen","globalisierung","wichtige","wichtig","neue","neue","entwicklung","müssen","unsere","unsere","neue","entwicklung","wichtige","entwicklung","unsere","nachhaltige","zusammenarbeit","nachhaltigkeit","müssen","wandel","herausforderungen","entwicklung","genossenschaften","herausforderungen","menschen","wichtig","wichtig","entwicklung","entwicklung","tourismus","menschen","zukunft","zukunft","tourismus","bereich","müssen","gemeinsam","unsere"
"6","immer","menschen","immer","immer","unsere","grossen","unsere","glaube","glaube","immer","müssen","unserer","immer","aufgabe","menschen","immer","aufgabe","menschen","müssen","immer","aufgabe","entwicklung","dabei","probleme","aufgabe","entwicklungsländern","zukunft","aufgaben","aufgabe","aufgaben","gesellschaft","bereich","aufgaben","unsere","müssen","gesellschaft","müssen","aufgabe","aufgabe","aufgaben","heute","massnahmen","massnahmen","aufgabe","entwicklung","bereichen","probleme","massnahmen","entwicklung","massnahmen","massnahmen","entwicklung","aufgabe","aufgabe","deutlich","aufgabe","stärker","bedeutung","aufgaben","bedeutung","zukunft","verbesserung","bedeutung","aufgabe","zukunft","besonders","unserer","aufgaben","wichtige","bereich","bereich","neuen","bedeutung","ländern","tourismus","rahmenbedingungen","rahmenbedingungen","länder","ländern","bedeutung","bereich","rahmenbedingungen","öffentlichen","enquetekommission","rahmenbedingungen","förderung","müssen","gesellschaft","wichtig","zukunft","förderung","entwicklung","dienstleistungen","enquetekommission","länder","beispiel","zusammenarbeit","ländern","öpp","neue","herausforderungen","unsere","entwicklung","unsere","zusammenarbeit","beirat","entwicklung","herausforderungen","menschen","bereich","müssen","gesellschaft","herausforderungen","gesellschaft","thema","herausforderungen","herausforderungen","arbeit","programm","bereich","herausforderungen","bereich","menschen","herausforderungen","digitalisierung","digitalisierung","digitalisierung","dafür"
"7","möchte","aufgabe","unserer","glaube","aufgabe","aufgabe","gerade","müssen","müssen","mehr","unsere","grossen","mehr","immer","aufgabe","aufgabe","hilfe","aufgaben","immer","heute","besonders","grossen","immer","immer","grossen","entwicklungspolitik","aufgabe","immer","bedeutung","zukunft","unsere","gesellschaft","müssen","aufgaben","menschen","damen","aufgaben","gesellschaft","gesellschaftlichen","müssen","entwicklung","müssen","unsere","entwicklung","besonders","müssen","aufgaben","probleme","besonders","aufgabe","probleme","bedeutung","massnahmen","aufgaben","schliesslich","notwendig","damen","aufgabe","massnahmen","begrüssen","unserer","bedeutung","verbesserung","tourismus","bedeutung","entwicklungen","probleme","bedeutung","aufgabe","neue","müssen","aufgaben","strukturen","neue","bedeutung","neue","insbesondere","rahmenbedingungen","rahmenbedingungen","verwaltung","neuen","bedeutung","rahmenbedingungen","rahmenbedingungen","gesellschaft","ländern","aufgaben","neue","bereiche","chancen","wichtige","müssen","chancen","stärkung","unserer","aufgaben","länder","beispiel","partnerschaften","gemeinsam","unserer","wichtige","bedeutung","zusammenarbeit","engagement","unsere","herausforderungen","bereich","herausforderungen","herausforderungen","thema","ehrenamt","ländlichen","wichtig","wichtig","nachhaltige","arbeit","menschen","menschen","wichtig","arbeit","müssen","müssen","zukunft","zukunft","ort","ganz","freue"
"8","unserer","heute","mehr","unserer","gerade","immer","glaube","entwicklung","mehr","grossen","problem","gebiet","aufgabe","mehr","kalbitzer","gebiet","unserer","mehr","gebiet","mehr","menschen","menschen","probleme","grossen","immer","entwicklung","probleme","aufgabe","grossen","bedeutung","bedeutung","aufgaben","aufgabe","gesellschaft","bedeutung","erfüllen","menschen","förderung","neue","aufgabe","aufgabe","möglichkeiten","aufgabe","dabei","probleme","möglichkeiten","entwicklungen","entwicklungen","zusammenarbeit","zusammenarbeit","zukunft","bereichen","unsere","bedeutung","aufgabe","unsere","deutlich","sollten","begrüssen","besonders","bedeutung","aufgabe","aufgabe","aufgaben","entwicklungen","bedeutung","aufgabe","neue","probleme","bedeutung","wichtige","bereich","probleme","bereich","besonders","insbesondere","aufgaben","förderung","strukturen","aufgaben","rahmenbedingungen","öffentlichen","ländern","aufgaben","insbesondere","länder","bereiche","strukturen","bedeutung","bedeutung","wichtig","bericht","neuen","müssen","gesellschaft","ländern","beispiel","neue","entwicklung","beispiel","bedeutung","unserer","thema","ländern","nachhaltige","herausforderungen","menschen","zusammenarbeit","nachhaltigkeit","demografischen","wichtig","müssen","wandel","thema","gesellschaft","gemeinsam","thema","herausforderungen","zukunft","arbeit","digitalisierung","unsere","tourismus","ort","arbeit","unsere","müssen","zusammenarbeit"
"9","menschen","unserer","gerade","gerade","glaube","glaube","grossen","grossen","problem","müssen","grossen","müssen","unsere","entwicklung","zusammenarbeit","mehr","menschen","probleme","aufgaben","gebiet","heute","probleme","aufgabe","aufgaben","zukunft","grossen","grossen","grossen","modernen","probleme","zukunft","zukunft","probleme","müssen","aufgaben","denen","ziel","unsere","gesellschaft","gesellschaft","aufgaben","aufgabe","müssen","aufgaben","neue","unsere","unsere","bedeutung","aufgaben","bedeutung","aufgaben","menschen","deutlich","notwendig","diskussion","zukunft","unserer","unsere","probleme","aufgabe","verbesserung","aufgaben","zukunft","zukunft","unserer","unsere","aufgaben","probleme","besonders","probleme","insbesondere","strukturen","aufgaben","besonders","strukturen","bedeutung","strukturen","bedeutung","förderung","öffentlichen","neue","strukturen","strukturen","neuen","sowie","aufgabe","gesellschaft","bedeutung","zusammenarbeit","beispiel","neuen","beispiel","beispiel","entwicklung","wichtige","wichtige","stärker","stärker","ländern","bedeutung","beispiel","neue","herausforderungen","projekte","bedeutung","thema","zukunft","unsere","programm","gesellschaft","wandel","ehrenamtlich","antrag","ländlichen","arbeit","thema","stärken","gemeinsam","arbeit","bericht","bereich","herausforderungen","bereich","stärken","engagement","deshalb","bereich","digitalisierung"
"10","gerade","grossen","aufgabe","mehr","volk","gerade","immer","denke","aufgabe","grosse","gebiet","aufgabe","entwicklungsländern","grossen","probleme","aufgaben","zusammenarbeit","gebiet","grossen","aufgaben","grossen","heute","besonders","wirtschaftliche","aufgaben","zukunft","menschen","heute","aufgaben","jahren","bereich","aufgabe","menschen","menschen","gesellschaft","bereich","gebiet","neue","müssen","ausbau","notwendigen","zukunft","möglichkeiten","bereichen","bereichen","förderung","besonders","möglichkeiten","förderung","besonders","aufgabe","sollten","bereiche","sollten","bedeutung","deutlich","bereichen","damen","bedeutung","neue","besonders","menschen","aufgaben","fremdenverkehr","unsere","zukunft","unsere","wichtige","wichtig","zukunft","zukunft","insbesondere","rahmenbedingungen","chancen","förderung","besonders","bedeutung","bereich","zukunft","rahmenbedingungen","bedeutung","insbesondere","neue","neue","neuen","gesellschaftlichen","sowie","rahmenbedingungen","aufgabe","wichtig","beispiel","wichtige","bedeutung","rahmenbedingungen","aufgabe","bedeutung","unserer","grosse","wichtige","länder","entwicklung","aufgabe","aufgabe","herausforderungen","thema","bedeutung","bedeutung","unserer","strukturen","unsere","engagement","thema","thema","unsere","nachhaltige","stärken","wandel","ländlichen","stärken","gute","gesellschaft","menschen","stärken","stiftung","ort","herausforderungen","unserer","müssen"
