"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","volk","adenauer","röchling","manöver","wehrpflicht","wehrpflicht","atomwaffen","atomwaffen","waffen","waffen","nato","spanien","waffen","verteidigung","erler","bundeswehr","erler","erler","zivilen","waffen","hübner","raketen","ausbildungshilfe","kunstamtes","sport","sport","fremdenverkehr","sport","olympischen","spiele","fremdenverkehr","spiele","olympischen","spiele","argentinien","sport","seeschiffahrt","reichstag","sport","revision","sport","daten","stiftung","dsb","sports","konrad","datenschutz","datenschutz","daten","datenschutz","datenverarbeitung","störfälle","datenschutz","datenschutz","bundesinnenminister","versicherungsunternehmen","rechnungsprüfungsausschuss","marburg","strafaussetzung","bewährung","rechnungshof","rechnungshof","film","vizepräsidenten","jugendschutz","bundesrechnungshof","bundesrechnungshof","bundesrechnungshof","stiftung","gedenkstätte","treuhand","treuhand","alteigentümer","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","mauer","ddr","ddr","ddr","ddr","ddr","ddr","ostdeutschen","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","ost","ostdeutschland","ost","ostdeutschland","ost","ost","ostdeutschland","ostdeutschland","osten","osten","ost","ost","ost","ddr","ost","ost","ost","osten","west","osten","osten","polen","einheit","ddr","osten","ost","siemens","osten","ddr","ddr","ddr","einheit","helmut","ostdeutschland"
"2","volk","politik","politik","familie","atomwaffen","waffen","waffen","waffen","waffen","atomwaffen","bundeswehr","atomwaffen","verteidigung","schmidt","nato","nato","militärischen","verteidigung","verteidigung","verteidigung","erler","selbstschutz","militärischen","ausrüstungshilfe","abwehr","sports","sportmedizin","fremdenverkehrs","deutschen","spiele","olympischen","spiele","olympischen","zusatzurlaub","olympischen","argentinischen","stiftung","sports","leistungssport","sports","bundesgerichtshof","sports","datenschutzgesetz","olympischen","datenschutz","silberland","stiftung","datenschutzes","sport","olympischen","bundesbeauftragten","datenverarbeitungsindustrie","darmstadt","bundesbeauftragten","bundesbeauftragten","mikrozensus","versicherer","kleinert","prüfer","bewährung","strafaussetzung","bundesrechnungshof","würzburg","fernsehen","sitze","videokassetten","rechnungsprüfungsausschuss","rechnungshof","rechnungshof","salzgitter","bundesrechnungshof","rückgabe","treuhandanstalt","rückgabe","wismut","deponie","treuhand","ddr","ddr","altschulden","altschulden","ostdeutschen","ostdeutschen","bundesländern","ost","ost","neuen","ostdeutschland","neuen","osten","bundesländern","osten","ost","osten","osten","ost","ostdeutschland","ost","west","ostdeutschland","ost","bundesländern","ost","bundesländern","osten","ddr","osten","osten","ddr","osten","ostdeutschland","ost","rente","ost","ost","einheit","edeka","ost","ost","ddr","görlitz","ostdeutschland","osten","ostdeutschland","thüringen","ddr","kohl","osten"
"3","politik","volkes","westdeutschland","option","waffen","einführung","bundeswehr","atomaren","nato","bundeswehr","verteidigung","truppen","nato","bundeswehr","kennedy","schmückle","verteidigung","allianz","amerikanischen","erler","renger","vorsorge","verteidigung","ausrüstungs","bewährte","leibeserziehung","goldenen","sport","spiele","flammenpfennig","assoziierten","olympischen","bewilligungsstellen","depotpflicht","sport","spiele","nationalstiftung","sportförderung","ausstellung","sportkonferenz","bundesfinanzhof","stiftung","gerster","sportorganisationen","sportbund","bundesmeldegesetzes","adenauer","daten","statistik","sport","datenschutzes","daten","urteil","tätigkeitsbericht","film","datenschutz","datenschutz","kontrolle","kontrolle","rechnungshof","bundesrechnungshofes","strafaussetzung","sonn","filmförderung","bundesrechnungshof","filme","rechnungshof","kriegsbeginn","bundesrechnungshofs","ag","bundesrechnungshofes","treuhandanstalt","rückgabe","treuhandanstalt","treuhand","schönberg","ddr","treuhand","rückgabe","ostdeutschen","ostdeutschen","bundesländern","altschulden","ostdeutschen","neuen","neuen","aufbau","neuen","osten","neuen","osten","neuen","osten","bundesländern","bundesländern","aufbau","sachsen","osten","bundesländern","neuen","osten","ost","ostdeutschland","ostdeutschland","ostdeutschland","west","ostdeutschland","einheit","osten","west","west","einheit","ost","ostdeutschland","west","ddr","ddr","west","ministererlaubnis","west","ost","einheit","ostdeutschland","osten","einheit","osten","einheit","schwedt"
"4","volkes","amerikanischen","demokratischen","französische","verteidigungsminister","erler","wehrübungen","bundeswehr","bundeswehr","verteidigung","strauss","waffen","militärischen","nato","militärischen","bundeswehr","amerikanischen","zivilen","waffen","renger","strauss","schutz","märz","militärische","festgehalten","olympischen","sportförderung","olympischen","sports","bundesligavereine","sportförderung","reeder","organisationskomitees","flaggen","sports","finanzwirtschaftlichen","sportbund","sport","parlamentarischen","sportförderung","kreditgenossenschaft","sporthilfe","datenverarbeitung","sportvereine","versicherungsnummer","schirmer","nachlass","bundesbeauftragten","statistischen","datenschutzes","datenverarbeitung","informationstechnik","daten","datenschutzes","datenschutzes","daten","versicherten","rechnungshof","staatssekretär","bewährungshelfer","bundesrechnungshof","bewährung","umwelttag","kino","auftragnehmer","bundesrechnungshof","arbeitsloseninitiativen","einteilen","bga","geistigen","eigentum","eigentum","hennigsdorf","eigentum","ag","vermögensabgabe","kommunen","entschädigung","ostdeutschen","bvs","mauer","neuen","bundesländern","neuen","pds","schwanitz","ostdeutschen","osten","einheit","bundesländern","neuen","bundesländern","neuen","streik","neuen","neuen","einheit","regionen","ostdeutschland","osten","neuen","neuen","einheit","ost","west","osten","west","ostdeutschland","west","ddr","rente","renten","osten","einheit","ostdeutschland","polnischen","ost","rentenrecht","west","osten","osten","ost","ostdeutschen","ostdeutschen","sed","wiedervereinigung","osten","einheit"
"5","westdeutschland","deutsche","krieges","völklingen","schmeisser","verteidigung","schmidt","bewaffnung","erler","atomare","bundesverteidigungsminister","militärischen","bundeswehr","strauss","strauss","waffen","strauss","waffen","militärischen","verteidigungspolitik","militärische","innenausschuss","verantwortung","waffen","nigeria","spiele","deutschen","spiele","bände","vereine","sport","fremdenverkehrs","organisationskomitee","spiele","münchen","rosa","sports","seeleute","reichstagsgebäude","sportpolitik","finanzgerichtsbarkeit","sportförderung","urlaub","sport","daten","datenschutz","datenschutz","bundesdatenschutzgesetz","daten","datenschutz","bundesbeauftragte","datenschutzes","schachtanlage","datenverarbeitung","datenverarbeitung","fülle","stiftungen","exekutive","patentamts","praxisphase","rechnungshof","bundesrechnungshofes","kapitalvermögen","filmwirtschaft","sitz","sauter","bundesrechnungshofs","zuwider","bundesrechnungshofes","eigentums","bundesrechnungshofs","entschädigung","eigentum","entschädigung","premnitz","rückgabe","privatisierung","eigentum","entschädigung","bundesländern","grundstücke","altschulden","neuen","bodenreform","osten","ostdeutschland","ddr","ostdeutschen","bundesländern","länder","ostdeutschen","sachsenanhalt","aufbau","ostdeutschland","ostdeutschland","osten","osten","ostdeutschen","neuen","bundesländern","bundesländern","osten","neuen","westen","westen","einheit","seen","ost","westen","ostdeutschland","osten","west","rentenversicherung","west","renten","fonds","ministererlaubnis","osten","westen","einheit","ostdeutschland","lebensverhältnisse","treuhand","ost","westen","haribo","ddr","ddr"
"6","regierung","deutschen","volkes","rüstung","blanche","armee","verteidigung","atomare","atomaren","nato","militärischen","strauss","strauss","verteidigung","bundeswehr","militärischen","verteidigungsminister","nato","strauss","nato","divisionen","ernstfall","nato","militärischen","übung","goldenen","kubitza","sports","olympischen","sport","assoziierung","sport","landesleistungszentren","bundesdienst","olympische","strittigen","kultur","evers","frühbezug","vereine","rechtseinheit","vereine","behindertensport","spiele","simitis","sportbund","adenauers","datenverarbeitung","datenschutzes","sportler","daten","gewinnsucht","datenverarbeitung","sicherheitsbehörden","bundesdatenschutzgesetzes","trennungsentschädigung","datenschutzbeauftragten","marburg","seien","bewährungshilfe","rechnungshofes","anstalten","bundesrechnungshof","privaten","seiters","rechnungshof","friedmann","geschenke","aufträge","preussag","errichtung","verkauf","wismut","treuhand","alteigentümer","entschädigung","entschädigung","ostdeutschen","neuen","neuen","kommunen","ostdeutschland","hacker","flächen","bundesländern","ddr","bundesländern","ddr","ostdeutschen","ostdeutschen","einheit","aufbau","bundesländern","neuen","ostdeutschen","bundesländern","bundesländern","neuen","aufbau","west","einheit","regionen","west","regionen","ostdeutschen","ostdeutschland","ostdeutschen","westen","ostdeutschland","westen","ghetto","ostdeutschland","renten","rente","einheit","ghetto","tengelmann","westen","ostdeutschen","geschiedenen","arbeitsplätze","ostdeutschen","ost","west","wiedervereinigung","ost","stiftung","seddiktatur"
"7","adenauer","regierung","vernichtung","röchlings","carte","mann","wehrpflichtigen","ausrüstung","verteidigung","atomaren","verteidigungsminister","guttenberg","zivilen","atomwaffen","waffen","verteidigung","nachahmungen","bundeswehr","nuklearen","bundesluftschutzverband","verteidigung","neubauten","reduzierung","wischnewski","fallschirm","vereinen","sports","deutschen","kpd","münchen","sports","bundesregierung","olympiabaugesellschaft","hundertstel","olympiade","plebiszitären","goldenen","landgerichte","sport","bundessportplan","bgh","sportvereine","datenschutz","marken","sportbundes","gespeichert","bundesdatenschutzgesetz","bundesdatenschutzgesetzes","statistiken","olympische","datenschutzbeauftragten","bundesdatenschutzgesetzes","block","deich","sicherheitsbehörden","atomwaffenfreien","versicherungsaufsichtsgesetzes","privatisierung","kleinert","rechnungshofes","esters","rundfunkanstalten","rechnungsprüfungsausschuss","fernsehanstalten","präsidium","jugendliche","kassette","bundesrechnungshofs","friedmann","verkauf","hadamar","eigentümer","entschädigung","stichtagsregelung","gmbh","mecklenburgvorpommern","grundstücke","privatisierung","treuhandanstalt","hacker","hacker","enteignungen","sanierung","alteigentümer","ostdeutschland","bundesländern","osten","bundesländern","ostdeutschland","aufbau","ostdeutschland","sachsen","ostdeutschen","bundesländer","einheit","bundesländer","neuen","bundesländern","leipzig","aufbau","ostdeutschen","west","bundesländern","neuen","bundesländern","bvvg","ddr","ostdeutschen","heimkinder","einheit","rentenversicherung","rente","zuwanderer","ostdeutschen","ostdeutschen","ost","osten","rente","ostdeutschland","angleichung","facebook","west","west","thüringen","thüringer","akten","ost","enquetekommission"
"8","deutsche","spaltung","unseres","franzosen","blankenhorn","atomwaffen","erler","abrüstung","atomare","strauss","erler","abrüstung","waffen","bundesverteidigungsminister","april","strauss","strategie","bevölkerungsschutz","einheiten","zerstörer","atomwaffen","schutzräume","fünf","spannungsgebiet","einziehung","sportstätten","münchen","kurorte","partsch","zentrifuge","sportbundes","eingeordnet","kuratorium","verbindlichkeiten","spielen","verbotsantrag","kulturbesitz","deutschen","schiffahrt","sportvereine","oberlandesgerichte","sportbericht","bundesdatenschutzgesetz","herr","bundesbeauftragten","herr","datenschutzes","sport","sports","komitee","tätigkeitsbericht","personenbezogener","buch","datenschutzbeauftragten","laufs","innenausschusses","aufsichtsbehörde","wer","grüne","freiheitsstrafe","freiheitsstrafe","präsidenten","werbung","öffentlichrechtlichen","koalitionsvereinbarungen","synagoge","diätenerhöhung","erfuhren","prüfungsrecht","gedenkstätte","stiftung","unternehmens","privatisierung","gläubiger","faser","eigentum","hampel","rückgabe","grundstücke","treuhandanstalt","rückgabe","hacker","ostdeutschland","ost","ostdeutschen","aufbau","ostdeutschland","einheit","aufbau","ostdeutschland","west","ostdeutschland","west","sachsen","westen","regionen","regionen","aufbau","linkspartei","ostdeutschen","west","ostdeutschen","westen","einheit","einheit","ostdeutschen","neuen","rentenüberleitung","ostdeutschen","lohnunterlagen","ddr","ostdeutschen","sgb","westen","westen","ostdeutschen","kaisers","ministererlaubnis","einheit","westen","leipzig","westen","westen","einheit","linken","ostdeutschen","west","ost"
"9","amerikanischen","zeitung","volk","politik","zivilen","allgemeinen","dienstzeit","verteidigung","strauss","merten","merten","verteidigung","spanischen","verteidigungsminister","ausrüstung","bundesverteidigungsminister","bundesverteidigungsminister","abschreckung","atomaren","hubschrauber","zivilbeschäftigten","verteidigung","waffen","spannungen","herren","sportstättenbau","überwiesen","sportförderung","sportlichen","komitee","innern","strafgesetze","olympiade","arbeitstage","ioc","sportler","kulturpflege","brt","deutschen","sportorganisationen","bundesgerichtshofes","schäuble","reisen","nationalstiftung","gerster","ddrwachboot","urheber","bundesbeauftragte","bull","meldebehörden","sozialgesetzbuch","datenschutz","leser","bundesdatenschutzgesetzes","daten","stören","bundesbeauftragten","rundfunkanstalten","staatssekretäre","schöfberger","vorschlagsrecht","vorschlagsrecht","kühbacher","filmtheater","verständnis","kategorie","bundesrechnungshofes","säule","rechnungsprüfungsausschuss","satzung","rechnungsprüfungsausschuss","praklaseismos","bundesrechnungshof","margarethenhütte","alcor","vermögensfragen","untersuchungsausschuss","schily","eigentum","kommunen","krüger","einigungsvertrag","luther","leipzig","sed","osten","einheit","aufbau","ddr","massstäbegesetz","aufbau","ostdeutschen","bundesländer","ostdeutschen","bundesländer","ostdeutschen","aufbau","sachsen","teurer","regionen","investitionszulage","westen","bundesländer","west","neuen","bundesländern","einheit","west","einheit","neuen","zrbg","westen","sowjetunion","angleichung","rente","ghettorente","west","fremdrentenrecht","angleichung","rentenrecht","damen","regionen","bundesbehörden","westen","ehemaligen","ostdeutschland","ostdeutschen","ostdeutschen"
"10","demokratischen","adenauer","zerstörung","pferdmenges","militärische","miliz","verteidigungsminister","erler","bundesverteidigungsminister","ausrüstung","nato","erler","erler","militärischen","bündnisses","kliesing","erler","amerikanischen","abrüstung","zivilverteidigung","index","zivilen","flugkörper","sudan","schon","bundeswehr","anscheinend","sportbund","fremdenverkehr","organisationskomitee","münchen","sports","berlin","bardepotgesetz","olympiabedingten","hinausgeschoben","möller","bundessportplan","witze","maihofer","monopolstellung","sportkonferenz","stiftung","brauerbund","personenkennzeichen","bibliotheken","fotografen","grundrecht","datenverarbeitung","teilnahme","bundesdatenschutzgesetzes","architektur","planstellen","sicherheitsbereich","beschlussempfehlung","entgegen","überschussbeteiligung","beamte","ganzen","weitergehen","verurteilten","rechnungshofes","würzburger","kinos","vertragsbedingungen","gedenkstätte","rechnungshofes","kunden","institut","dokumentationsstätte","sondervermögen","privatisierung","fremdenverkehrs","investitionen","eigentum","dsr","treuhandausschuss","alteigentümer","bundesländern","einigungsvertrag","bund","bund","uwejens","mecklenburgvorpommern","westen","staatsminister","west","schwanitz","west","solidarpakt","ammendorf","bundesländer","sachsen","metall","ddr","ga","ostdeutschen","sachsenanhalt","quer","investitionszulage","bundesländer","alten","regionen","alten","angleichung","westen","westen","eigentümer","bundesländern","renten","renten","grw","angleichung","regionen","angleichung","abkommen","ostdeutschland","wahlkreis","fusion","ostdeutschland","einheit","ddr","wiedervereinigung","wiedervereinigung","osten","westen","westen","west"
