"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","entschädigung","dm","geschädigten","ansprüche","moselkanalisierung","volkswagenwerk","ansprüche","stiftung","aktien","privatisierung","konzentration","niedersachsen","reichsbank","vermögensbildung","unternehmen","unternehmen","unternehmen","wahlkreise","unternehmen","privatisierung","aufsichtsrat","bundesschatzminister","unternehmen","unternehmen","brennbuch","bundesschatzminister","sachkundenachweis","vorstand","eppler","entwicklungspolitik","entwicklungshilfe","entwicklungspolitik","wirtschaftliche","wirtschaftliche","experten","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","bundesrechnungshof","köhler","entwicklungspolitik","nairobi","entwicklungshilfe","afrika","nationen","afrika","nationen","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","zusammenarbeit","entwicklungspolitik","entwicklungsländern","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","namibia","nationen","welt","tropischen","kuwait","menschenrechte","nationen","menschenrechte","nationen","türkei","nationen","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","menschenrechte","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","ukraine","china","afghanistan","iran","nationen","afrika","russland","kosovo","nato","iran","menschenrechte","israel","libyen","russland","kosovo","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","dm","dm","geschädigten","lastenausgleich","verbindlichkeiten","dm","aktien","aktien","eigentum","unternehmungen","aktien","unternehmen","eigentum","unternehmen","reichsbank","aktionär","eigentum","vermögen","wahlkreis","gewählt","veba","unternehmen","gmbh","gesellschaften","xv","hauser","apel","eppler","satzung","entwicklungshilfe","entwicklungsländer","wirtschaftliche","entwicklungshilfe","eppler","eppler","granitindustrie","entwicklungspolitik","eppler","eppler","wirtschaftliche","entwicklungshilfe","entwicklungshilfe","entwicklungsländer","entwicklungsländer","entwicklungsländer","vereinten","entwicklungsländer","vietnam","welt","welt","entwicklungspolitik","entwicklungsländer","entwicklungspolitik","entwicklungshilfe","abkommen","entwicklungspolitik","entwicklungshilfe","williamsburg","nicaragua","nicaragua","südafrika","vereinten","welt","sanktionen","entwicklungsländer","menschenrechte","welt","menschenrechte","vereinten","entwicklungshilfe","welt","nationen","türkei","welt","hilfe","vereinten","entwicklungspolitik","vereinten","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","entwicklungszusammenarbeit","kosovo","menschenrechte","türkei","kosovo","entwicklungszusammenarbeit","menschenrechte","terrorismus","afghanistan","krieg","afrika","terrorismus","afghanistan","russland","menschenrechte","entwicklungszusammenarbeit","menschenrechte","vereinten","russland","pakistan","china","russland","kosovo","abrüstung","menschenrechte","region","menschenrechte","menschenrechte","syrien","russland","russland","syrien","ukraine","syrien","syrien","syrien","türkei","russland","türkei","iran","syrien","syrien","türkei","ukraine","russland"
"3","vermögen","bank","lastenausgleichsgesetzes","vorfinanzierung","dm","kanal","hand","eigentum","aktien","unternehmen","unternehmungen","aktien","privatisierung","eigentum","unternehmen","aktionäre","vermögensbildung","gesellschaften","hannover","belgische","preussag","gesellschaft","gesellschaften","grad","mitbestimmung","unternehmen","salzgitter","gemmingen","stiftung","gawi","kapitalhilfe","eppler","eppler","zusammenarbeit","zusammenarbeit","bord","eppler","wirtschaftliche","entwicklungspolitik","zusammenarbeit","wolfsburg","entwicklungsländer","konferenz","entwicklungspolitik","entwicklungspolitik","afrika","entwicklungsländern","vereinten","südafrika","entwicklungspolitik","welt","welt","entwicklungsländern","welt","entwicklungsländer","welt","zusammenarbeit","unctad","afrika","welt","afrika","welt","afghanistan","chile","welt","welt","chile","welt","namibia","entwicklungspolitik","nationen","krieg","nationen","jugoslawien","nationen","welt","menschenrechte","entwicklungspolitik","auswärtigen","vereinten","welt","entwicklungspolitik","menschenrechte","türkei","nationen","nato","nationen","afrika","afrika","nationen","mazedonien","afrika","terrorismus","kongo","russland","staaten","afghanistan","vereinten","kosovo","nationen","israel","afrikanischen","china","staaten","staaten","menschenrechte","aussenpolitik","kosovo","arabischen","aussenpolitik","staaten","staaten","syrien","syrien","ukraine","türkei","is","russland","russland","ukraine","türkei","syrien","nato","russland","russland","menschenrechte","israel","krieg"
"4","geschädigten","vermögen","lastenausgleich","lastenausgleichs","forderungen","schafe","geschädigten","vermögen","volkswagenwerk","bundesschatzminister","unternehmen","gesellschaft","deist","aktionäre","arbeitnehmer","eigentum","wirtschaft","aktie","luitpoldhütte","jacobi","unternehmen","wilhelmi","gesellschaft","minderheit","rechnungsprüfungsausschuss","abfindungsbrenner","privatisierung","speisen","technische","wirtschaftliche","entwicklungshilfe","entwicklungspolitik","entwicklungsländer","entwicklungsländern","touristikunternehmen","überfahren","entwicklungsländer","jugoslawien","todenhöfer","brück","matthöfer","bahr","todenhöfer","brück","entwicklungsländern","entwicklungsländer","befreiungsbewegungen","entwicklungsländern","dritten","entwicklungshilfe","entwicklungsländer","zusammenarbeit","internationalen","entwicklungsländern","welt","entwicklungsländer","dritten","entwicklungsländern","region","afghanistan","dritten","nationen","entwicklungsländer","menschenrechte","chile","chile","apartheid","südafrika","welt","khmer","menschenrechte","jugoslawien","entwicklungspolitik","vereinten","vereinten","menschenrechte","afrika","welt","menschenrechte","welt","auswärtigen","auswärtigen","china","irak","vereinten","milosevic","vereinten","russland","auswärtigen","vereinten","internationalen","welt","afghanistan","nationen","irak","afrikanischen","china","nationen","ukraine","staaten","region","iran","afrika","russland","menschenrechte","staaten","entwicklungszusammenarbeit","aussenpolitik","ägypten","syrien","vereinten","vereinten","menschenrechte","afrika","irak","syrien","saudiarabien","erdogan","irak","humanitäre","region","vereinten","region","iran","region","nationen","frieden","putin"
"5","gesetz","geschädigten","lastenausgleichsgesetz","milliarde","schäden","lastenausgleich","betätigung","volkswagenwerk","vermögen","privatisierung","eigentum","aktiengesellschaften","volkswagenwerk","deist","ergebnisbeteiligung","deist","unternehmungen","aktien","wilhelmshaven","wahlkreis","aktien","aktien","veba","praktisch","aschaffenburg","hilfswerks","hannoverlangenhagen","vizepräsident","kapitalhilfe","zusammenarbeit","daueraufenthalt","entwicklungsländer","entwicklungsländern","entwicklungshilfe","entwicklungsländern","grössere","wirtschaftliche","zusammenarbeit","wirtschaftliche","rechnungshof","todenhöfer","entwicklungsländern","narjes","zusammenarbeit","südafrika","entwicklungspolitik","welt","welt","entwicklungsländer","dritten","dritten","entwicklungsländern","entwicklungsländer","entwicklungsländer","picotrac","dritten","welt","welt","salvador","währungsfonds","entwicklungsländer","dritten","menschenrechte","welt","entwicklungsländern","entwicklungsländer","dritten","afghanistan","china","südafrika","kuwait","irak","jugoslawien","entwicklungsländern","welt","uno","china","afrika","welt","china","iran","indonesien","auswärtigen","auswärtigen","internationalen","krieg","menschenrechte","krieg","jugoslawien","mazedonien","krieg","terrorismus","internationalen","irak","menschenrechte","region","menschenrechte","aufhebung","vereinten","vereinten","libanon","staaten","menschenrechte","streumunition","pakistan","indien","kosovo","nato","saudiarabien","entwicklungszusammenarbeit","iran","nationen","region","aussenpolitik","humanitäre","region","nationen","hilfe","is","hilfe","südsudan","nationen","türkei","region","sudan","iran","russischen","nato"
"6","millionen","geld","millionen","dm","verbrieften","moselkanal","hauptentschädigung","hauptentschädigung","hellwig","gesellschaften","aktie","eigentum","unternehmen","volksaktie","schmücker","hauptversammlung","beteiligung","gesellschaft","neueinteilung","rein","kurlbaum","aktiengesellschaft","dollinger","aufsichtsrat","volkswagenwerk","staatssekretär","aussperrung","kollege","schmücker","kg","bmz","brück","kiep","freyh","gebuchten","lassen","zusammenarbeit","gutachten","jugoslawien","entwicklungsländer","zusage","todenhöfer","entwicklungsländern","afrika","südlichen","entwicklungsländern","südafrika","entwicklungsländer","entwicklungshilfe","hilfe","zusammenarbeit","entwicklungshilfe","welt","zusammenarbeit","echternach","handwerk","verpflichtungsermächtigungen","industrieländer","el","entwicklungspolitik","guatemala","afghanistan","nicaragua","menschenrechtsverletzungen","südafrika","hilfe","entwicklungsländer","entwicklungsländer","menschenrechte","roten","irak","welt","vereinten","china","jugoslawien","entwicklungspolitik","nationen","menschenrechte","internationalen","lateinamerika","tibet","china","vereinten","nationen","milosevic","jugoslawien","osze","kuba","aussenpolitik","nato","welt","israel","nationen","internationalen","internationalen","menschenrechte","irak","staaten","entwicklungspolitik","usa","staaten","darfur","staaten","menschenrechte","region","internationalen","haiti","iran","menschenrechte","staaten","nationen","menschenrechte","türkei","eu","hilfe","staaten","vereinten","humanitäre","humanitäre","frieden","irak","menschenrechte","kosovo","aussenminister","vereinten","belarus","krieg","russische"
"7","lastenausgleichs","höhe","lastenausgleichs","ausgleichsfonds","gläubiger","mosel","atzenroth","entschädigung","unternehmen","deist","atzenroth","gesellschaften","aktien","unternehmungen","aktionäre","unternehmens","gruppen","betriebsvermögen","niedersachsen","versorgungsunternehmen","bundesschatzminister","privatisierung","volkswagenwerk","bundesnachrichtendienst","gesellschaften","gesellschaften","unternehmen","brück","bundesschatzminister","kapitalhilfe","guss","kapitalhilfe","wirtschaftliche","entwicklungsländer","übereinkommen","sonderfällen","chile","minister","zusammenarbeit","entwicklungshilfe","patentübereinkommen","entwicklungshelfer","industrieländer","köhler","schwarzen","welt","rohstoffe","flüchtlinge","nationen","entwicklungsländern","afrikanischen","dritten","entwicklungshilfe","dritten","kakaoabkommen","global","entwicklungspolitischen","belgrad","chile","dritten","entwicklungsländern","zusammenarbeit","entwicklungspolitik","namibia","prensa","nicaragua","weltbank","entwicklungsländern","weltbank","nationen","saddam","saddam","welt","menschenrechte","türkei","somalia","vereinten","gorazde","nationen","staaten","chinesischen","menschenrechtspolitik","nationen","menschenrechte","entwicklungspolitik","nationen","krieg","entwicklungszusammenarbeit","entwicklungspolitik","internationalen","nato","kosovo","menschenrechte","armut","nationen","internationalen","terrorismus","entwicklungszusammenarbeit","internationalen","belarus","afghanistan","menschenrechte","nationen","israel","entwicklungszusammenarbeit","regierung","aussenminister","region","tunesien","vereinten","region","israel","staaten","humanitäre","flüchtlinge","hilfe","irak","türkischen","hilfe","syrien","nationen","kosovo","usa","irak","nationen","nawalny","kosovo","waffen"
"8","abgabe","hand","vermögen","kapitalerhöhung","regelung","friedensburg","privatisierung","kather","aktie","eigentum","preussag","aktionäre","reichsbank","anteilseigner","liquidation","aktiengesellschaft","vermögen","absturz","ostfriesland","kommunale","eigentum","gesellschaften","aktien","volkswagenwerkes","bundesverfassungsgerichtsgesetzes","immobilienfonds","bundesrechnungshof","gewerbe","herr","bundesstelle","wirtschaftliche","zusammenarbeit","zusammenarbeit","indien","reisebedingungen","berufsschaden","hilfe","bundesrechnungshof","minister","entwicklungsländern","entwicklungsländer","entwicklungspolitischen","welt","internationalen","befreiungsbewegungen","entwicklungshilfe","gewalt","entwicklungshilfe","vereinten","internationalen","entwicklungsländern","hilfe","vereinten","nichtregierungsorganisationen","zusammenarbeit","armut","köhler","internationalen","welt","staaten","nicaragua","uno","entwicklungshilfe","apartheid","la","sanktionen","entwicklungspolitik","weltbank","südafrika","salvador","vereinten","kurden","china","südafrika","humanitäre","türkei","zusammenarbeit","ruanda","krieg","uno","entwicklungspolitik","staaten","indonesien","vereinten","staaten","vereinten","internationalen","china","internationalen","krieg","nationen","frieden","vereinten","entwicklungspolitik","entwicklungszusammenarbeit","moldau","internationalen","region","nationen","russland","menschenrechte","regierung","aussenpolitik","lateinamerika","usa","region","atomwaffen","entwicklungszusammenarbeit","nationen","nationen","entwicklungszusammenarbeit","waffen","china","ruanda","türkei","afrika","region","libanon","aleppo","krieg","humanitäre","region","nationen","ukraine","hongkong","staaten","menschenrechte","russischen"
"9","entschädigung","gesetz","schadensfeststellung","lastenausgleichsgesetzes","lastenausgleich","moselkanals","öffentlichen","geschädigten","unternehmungen","publizität","volksaktie","unternehmungen","aktionäre","aktien","vermögen","grossunternehmen","grundlagen","unternehmens","wahlkreises","spitzenverbände","wochenschau","hauptversammlung","privaten","druckerei","bildungsstätte","stoffbesitzer","weltbank","gastwirt","eppler","herr","entwicklungsländern","wahlkreise","chile","lauterbach","zucker","teilhabe","kapitalhilfe","todenhöfer","hilfe","stahl","weltwirtschaftsordnung","zusammenarbeit","weltwirtschaftsordnung","entwicklungsländern","todenhöfer","dritten","todenhöfer","zusammenarbeit","afrikanischen","nationen","afrika","ärmsten","menschenrechte","entwicklungspolitischen","gtz","zusammenarbeit","wirtschaftliche","iwf","südlichen","zusammenarbeit","warnke","afrika","afrika","schwarzen","unctad","afrika","schwarzen","menschenrechtsverletzungen","entwicklungsländer","menschenrechte","internationale","hussein","kurden","entwicklungspolitik","somalia","entwicklungsländern","entwicklungszusammenarbeit","staaten","hoyer","auswärtigen","staaten","aussenminister","bundesregierung","kosovo","indien","flüchtlinge","osttimor","tschetschenien","zusammenarbeit","milosevic","staaten","internationalen","welt","nato","vereinten","sudan","entwicklungszusammenarbeit","lateinamerika","krieg","terrorismus","entwicklungszusammenarbeit","china","usa","auswärtigen","aussenminister","russland","staaten","hamas","israel","arabischen","russland","region","serbien","staaten","waffen","waffen","osze","libyen","aussenpolitik","nationen","is","aussenpolitik","humanitäre","frieden","kosovo","china","putin","frieden"
"10","antrag","lastenausgleichsbank","höhe","hausrathilfe","reich","zinsen","vermögen","blank","publizität","aktie","lindrath","aktionär","unternehmungen","konzentration","eigentumspolitik","aktionärs","kleinen","kapitalgesellschaften","wahlkreiseinteilung","erklärten","burgbacher","publizität","mitbestimmung","strom","schmidt","anteile","viag","unertl","zusatzfrage","anbauregelung","bundesminister","uganda","welt","dacca","entwicklungsländer","heimat","entwicklungsländern","dr","matthöfer","entwicklungspolitik","patentamt","welt","delegation","todenhöfer","welt","gatt","vereinten","afrika","entwicklungsländern","vereinten","bank","länder","staaten","hilfe","internationalen","entwicklungshilfe","holtz","währungsfonds","entwicklungshilfe","entwicklungsländern","zusammenarbeit","entwicklungsländer","dritten","entwicklungsländer","internationalen","apartheid","flüchtlinge","flüchtlinge","region","vereinten","hussein","vereinten","entwicklungsländern","afrika","menschenrechtsverletzungen","hilfe","kurden","entwicklungsländer","amt","chinesischen","entwicklungszusammenarbeit","entwicklungsländern","beziehungen","zusammenarbeit","entwicklungszusammenarbeit","türkei","flüchtlinge","türkei","iwf","region","usa","mazedonien","frieden","usa","kampf","nationen","nationen","waffenembargos","internationale","erler","iran","vereinten","aussenminister","entwicklungszusammenarbeit","budgethilfe","kenia","internationalen","nationen","vereinten","entwicklungspolitik","südsudan","mali","kosovo","frieden","region","humanitäre","russland","nato","nationen","libyen","vereinten","welt","staaten","aussenpolitik","china","vereinten","türkei","aussenpolitik"
