"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","kirche","welle","vereinigungen","fernsehen","musik","bundespost","bundespost","post","bundespost","post","post","post","post","post","post","fernmeldewesen","schriftsteller","schriftsteller","schober","genossenschaften","künstler","rundfunk","diplomaten","van","diäten","künstler","elbe","oldenburg","künstler","kulturpolitik","geschäftsordnung","enquetekommission","film","film","flugsicherung","medien","rundfunk","medien","ausstellung","informationsfreiheit","the","teilzahlungsbanken","satelliten","kaiserslautern","sportler","kaiserslautern","olympischen","lärmschutzzone","arzneimittel","mainz","rheinlandpfalz","freisetzung","konkurs","freisetzung","gentechnologie","gentechnik","tier","aids","aids","enquetekommission","gentechnik","aids","blut","verbraucher","seehofer","gesundheit","tod","mikrotesla","tod","gentechnik","gentechnik","bse","schwangerschaftsabbruch","gesundheit","verbraucherschutz","forschung","stammzellen","stammzellen","forschung","gentechnik","klonen","gentechnik","stammzellen","gentechnik","forschung","gentechnik","gentechnik","patientenverfügung","studie","stammzellen","cannabis","patientenverfügung","patienten","ethikrat","pid","krankheiten","organspende","behinderung","behinderung","menschen","sterben","menschen","sterben","menschen","menschen","menschen","behinderungen","organspende","organspende","organspende","menschen","behinderungen","menschen","menschen"
"2","berliner","berliner","berliner","minderheit","berliner","berliner","berliner","berliner","berliner","berliner","provokation","kühn","kirche","kirchen","evangelischen","rundfunkanstalten","vereinsgesetz","fernsehens","frankfurtcomment","gebührenerhöhung","post","bundespost","post","fernmeldewesen","bundespost","fernmeldewesen","fernmeldewesen","fernmeldewesen","fernmeldewesen","post","künstler","büchereien","sozialenquete","künstler","verplombung","fellermaier","van","birckholtz","verfehlt","kunst","grenzkommission","schaumburglippe","publizisten","picard","mischfinanzierung","kultur","kulturpolitik","filme","eurocontrol","klein","medien","fernsehen","enquetekommission","fernsehen","of","exemplaren","the","zwei","schröder","grossprojekte","spiele","flughäfen","patienten","mainzer","arzneimitteln","gentechnik","konkursordnung","organismen","gentechnik","gentechnologie","tiere","enquetekommission","schaichwalch","ru","gentechnisch","walfang","gentechnik","gesundheit","verbraucher","pyrethroide","bse","konvention","menschen","kennzeichnung","scientology","grossbritannien","vertriebsweg","gentechnik","gesundheit","stammzellen","forschung","forschung","gentechnik","sars","gentechnik","gentechnisch","forschung","patientenverfügung","gentechnik","gentechnisch","gentechnisch","gentechnik","gentechnik","forschung","patienten","patienten","studien","technikfolgenabschätzung","kind","behinderung","menschen","menschen","menschen","behinderung","menschen","behinderung","menschen","behinderung","behinderungen","barrierefreiheit","menschen","widerspruchslösung","widerspruchslösung","menschen","betroffenen","menschen","sterben","behinderung"
"3","berlins","notopfer","berlins","berliner","mehrheitswahlrecht","wahlgesetz","berlins","mannheim","fernsehen","werbung","berliner","fernsehen","kühn","rundfunk","kirchen","rundfunk","schutzhütten","rundfunk","wangerooge","post","stücklen","fernmeldewesen","fernmeldewesen","bundespost","fernmeldewesen","bundespost","dollinger","wetzel","bundespost","bundespost","verbände","autoren","fernsehanstalten","mittelstandes","verwertungsgesellschaften","ausschuss","herr","herr","pauschalierung","künstlerischen","schröder","niedersachsen","neugliederung","niedersachsen","grenzkommission","garching","wahl","filmförderung","medien","schwarzschilling","schwarzschilling","rundfunk","weirich","satelliten","and","fernsehen","niedrig","entscheidend","olympischen","ertl","ruhrgebiet","lärm","arzneimittelsicherheit","meldepflicht","arzneimittel","mikroorganismen","bundesforschungsanstalt","welle","technikfolgenabschätzung","gentechnikgesetz","forschung","gentechnik","tierversuchen","zulassung","gentechnikgesetz","gentechnik","blutprodukte","bundesgesundheitsamt","bse","stiftung","menschen","arzneimittel","hirntod","menschen","lebensbewältigungshilfe","verbraucher","lebensmittel","gentechnisch","stiftung","embryonen","embryonalen","tierschutz","klonen","gentechnisch","enquetekommission","pflanzen","stammzellforschung","forschung","forscher","zulassung","halter","gentechnisch","gentechnisch","embryonalen","patientenverfügung","arzt","who","tab","patienten","menschen","behinderung","beschneidung","behinderungen","behinderungen","sterbehilfe","sterben","ärzte","barrierefreiheit","behinderung","inklusion","teilhabe","menschen","menschen","widerspruchslösung","behinderungen","behinderung","leben","leben"
"4","wahlen","berlins","wahl","dänemark","wahlgesetz","berlins","brandt","sitz","rundfunkanstalten","bundesgebiet","werbung","werbung","fernmeldewesen","rundfunkanstalten","religionsgemeinschaften","fernsehen","reichsgoldmünzen","blachstein","missionen","diäten","fernmeldewesen","erbendorf","stücklen","steinmetz","coburg","dollinger","bundespost","bundespost","pausch","revisionen","schober","schober","freien","reden","schriftsteller","professor","anmeldung","stadien","grunddiäten","kulturpolitik","gutachten","künstler","kunst","enquetekommission","niedersachsen","verfassungsreform","sperrguthabenvereinbarung","deutschen","künstler","fernsehen","sendungen","schwarzschilling","medienbericht","presse","to","satelliten","amerikaner","umsatzgrössten","schreckenberger","internationalisierung","arzneimittel","medikamente","arzneimittelmuster","amöneburg","schanz","moratorium","sozialplan","gentechnisch","freisetzung","risiken","tieres","gentechnologie","enquetekommission","tiere","verbraucher","iwc","gesundheit","seehofer","gesundheit","verbraucher","organentnahme","gesundheit","leben","lebensmittel","menschen","rinder","gentechnik","patentamt","verbraucher","pid","embryonen","tiere","verbot","forschung","klonens","forschung","embryonalen","sterben","biotechnologie","gentechnikgesetzes","zulassung","patienten","strahlung","stammzellforschung","krankheiten","ärzte","patientinnen","patente","leben","access","behinderungen","behinderungen","betreuungsbehörde","inklusion","leben","leben","suizid","behinderungen","eingliederungshilfe","suizid","behinderung","organe","betreuer","behinderungen","bundesteilhabegesetz","betreuung","suizid","ärztinnen"
"5","wahl","wahl","notopfer","dänischen","notopfer","viermächtestatus","hauptstadt","friedensburg","rundfunk","berlins","fernsehen","heck","kirchen","urteil","evangelische","rundfunks","sachverständigenkommission","besseren","befragung","defizit","postverwaltungsgesetzes","empfang","gebühren","stücklen","bornemann","bornemann","wallmann","pausch","verbraucher","zusatzfrage","werke","enquete","gesellschaft","kaffka","bildenden","ehrenordnung","wald","kopien","künstlern","künstlern","grenze","kulturpolitik","künstlerischen","kunst","anfragen","kommission","schulbuchempfehlungen","filmwirtschaft","schwarzschilling","programme","planungsabteilung","öffentlichrechtlichen","rundfunk","programme","our","of","bewusstsein","nagasaki","kaiserslautern","sdi","olympische","arzneimittel","bundesgesundheitsamt","kostheim","mainz","gentechnisch","bestrahlung","mikroorganismen","risiken","technikfolgenabschätzung","krankheiten","technikfolgenabschätzung","bundeszentrale","tierversuche","tanker","verbraucher","seehofer","tiere","kennzeichnung","pyrethroiden","organspende","verordnung","klonen","verbraucher","bio","bio","arzneimittel","verbot","bse","gentechnik","import","enquetekommission","menschenwürde","pflanzen","forschung","biotechnologie","gentechnik","ressortforschung","forschern","mon","gentechnikfreien","pflanzen","pflanzen","stammzelllinien","arzt","entscheidung","patientenrechte","ethikrates","eltern","leben","entscheidung","eltern","inklusion","unbehindertenrechtskonvention","suizid","suizid","behinderung","lösekrugmöller","bundesteilhabegesetz","behinderung","inklusion","spender","behinderung","angehörigen","selbstbestimmung","betreuer","selbstbestimmung","behinderungen"
"6","partei","stadt","westberlin","berlins","wähler","notopfer","friedensburg","senat","anstalten","rundfunk","herstellungsbetriebe","programm","grundgesetzes","fernsehens","katholischen","anstalten","firma","lächerlich","institution","abgeordneten","cramer","dm","gscheidle","gebühren","steinmetz","befreiung","steinmetz","urheber","dring","bundesarbeitsgericht","schriftstellern","künstler","rundfunk","selbständigen","verwertungsgesellschaft","parlamentariern","rahmengesetz","delden","besitz","berufe","rechtsstandpunkt","kunst","künstlern","osswald","übungen","schlussbericht","kultur","films","fernsehen","rundfunk","fernsehen","medienpolitischen","medien","medien","that","gruppierungen","bereit","massenvernichtungsmitteln","hannover","bericht","bewerbung","münchenriem","jaunich","wiesbaden","grenzaufsichtsdienst","organismen","institut","deutschlandfunk","organismen","forschung","verbot","risiken","aidshilfe","präparat","pflanzen","forschung","blutprodukten","lebensmittel","rindfleisch","produkte","pvc","felder","angehörigen","gentechnisch","lenzer","fleisch","gentechnisch","menschliche","mifegyne","menschlichen","gentechnik","embryonen","schutz","robertkochinstitut","gentechnisch","happachkasan","embryonen","pid","ressortforschung","koexistenz","geraucht","sterben","leukämie","embryonen","befruchtung","beratung","unternehmensmitbestimmung","ethikbeirat","stammzellen","vernachlässigten","krankheiten","betroffenen","unbehindertenrechtskonvention","behinderte","tod","tod","sterbehilfe","eingliederungshilfe","betroffenen","rüffer","anfrage","behinderungen","test","behinderung","blutspende","betreuungsrecht","barrierefreiheit","selbstbestimmung"
"7","parteien","wahlen","sowjetisch","schleswigholstein","wahlrecht","wahlrecht","gesamtdeutsche","stadt","programm","ahlener","berlins","rundfunkanstalten","heck","kirche","kühn","sender","nutzungsentschädigung","länder","sprache","stücklen","gebührenerhöhung","gekämpft","gebührenerhöhung","presse","stücklen","vizepräsident","kanal","dring","lemmer","mertes","komponisten","verwertungsgesellschaft","schriftsteller","selbständige","künstlern","sitten","kunst","wohlrabe","besteuerung","ausland","lüneburg","volksentscheid","art","personalrat","badenwürttemberg","ostdeutschen","bundespräsidenten","fernsehen","luxemburg","medienpolitischen","klein","enquetekommission","fernsehen","rundfunk","we","hörfunk","ausstellungen","rechtlich","spiele","abgrenzung","arzneimitteln","arzneimitteln","pharmazeutischen","kastel","medizin","schmidtbott","bundesgesundheitsamt","medizin","gentechnisch","enquetekommission","embryonen","genomanalyse","memmingen","tierschutz","blunck","hoechst","bga","medizinprodukte","verbraucherschutz","erkrankungen","organe","menschen","organe","angehörigen","mensch","zulassung","apotheken","forschung","widmannmauz","embryonalen","adulten","renesse","demenz","deutschland","verbot","veränderten","erfindungen","biotechnologie","medizin","happachkasan","anbau","selbstbestimmung","krebs","stichtag","leben","befruchtung","behandlung","ethische","präimplantationsdiagnostik","forschung","organspender","leben","betreuung","eingliederungshilfe","ärzte","palliativversorgung","palliativmedizin","unbehindertenrechtskonvention","teilhabe","unbehindertenrechtskonvention","gesellschaft","organspenden","entscheidung","entscheidung","contergan","selbstbestimmung","behinderungen","suizid"
"8","bevölkerung","senat","notopfers","dänische","verhältniswahlrecht","mehrheitswahlrecht","stadt","rundfunkanstalten","kühn","anfrage","programm","anstalt","evangelischen","anstalten","rundfunk","fernsehprogramm","medaillenverordnung","ergebnisse","insel","gebühren","deutschen","entscheidend","besold","fernsehprogramm","deutsche","landgemeinden","hessischen","gesamtdeutsche","landkreis","deutsche","sozialenquete","etwa","mitarbeiter","staats","schober","fernsehanstalten","delden","zulassen","herr","verfassungsminister","niedersächsischen","neugliederung","kulturellen","personalpolitik","auslegung","kulturpolitik","filmtheater","wohlrabe","kunst","pilotprojekte","öffentlichrechtlichen","kommission","technischen","informations","is","blunck","dänen","programm","spitzensport","vogt","unfall","luftverkehr","arzneimitteln","grossgeräte","meldepflicht","bakterien","gentechnisch","bundesrundfunkanstalten","bundesgesundheitsamt","catenhusen","seesing","krankheit","krankheit","tieren","risiken","gesundheit","bundesgesundheitsamt","institute","lebensmittel","gentechnik","hirntod","nachzulassung","organspende","verbraucherinnen","catenhusen","apotheken","zulassung","kampfhunde","warentest","leben","menschlichen","menschenwürde","krankheit","erreger","medizin","organismen","forscher","pflanzen","gentechnisch","wahlfreiheit","rauchverbot","krankheit","happachkasan","krankheiten","indikation","leben","ärzte","studien","medizin","open","beschneidung","inklusion","krankheiten","barrieren","lebens","arzt","arzt","bundesteilhabegesetz","leistungen","suizidprävention","bundesteilhabegesetz","barrierefreiheit","behinderungen","barrierefreiheit","konversionsbehandlungen","unbehindertenrechtskonvention","behinderung","ärzte"
"9","stadt","parteien","parteien","schmidtwittmack","berlins","kandidat","sitz","kartellamt","werbefernsehen","fernsehens","wehrbeauftragten","rundfunk","rundfunkanstalten","evangelischen","pluralismus","gremien","kritik","anstalten","sowjetzonalen","cramer","gebühren","solange","postverwaltungsrat","bundespostminister","knotenvermittlungsstelle","hessischen","kollege","programm","bundesministerium","bezirk","lebensunterhalt","altem","personenkreis","befähigung","künstlers","nebel","riedelmartiny","waffenss","bandenwerbung","berufsgruppen","lauenburg","landesregierung","lattmann","auswärtigen","enquetekommission","zusammensetzung","filmwirtschaft","abgabe","luftraum","rundfunkanstalten","elwerath","kommunikation","verkabelung","filme","it","wettbewerb","kollision","flughäfen","vizepräsident","herr","medikamente","flughafens","arzneimittelgesetzes","geräte","diller","zkbs","sozialplanforderungen","veränderter","wissenschaft","gentechnisch","embryonenforschung","kommission","frau","methode","tiere","blunck","lebensmittel","zulassung","aids","arzneimittel","seehofer","mensch","mensch","gesundheit","freisetzung","aufhebung","verbraucher","menschlichen","verbraucherinnen","präimplantationsdiagnostik","menschen","wissenschaft","verbieten","china","menschenwürde","veränderte","grundlagenforschung","gentechnikgesetz","flach","pflanzen","ressortforschung","patientenverfügungen","anbau","patienten","medizinischen","lebendspende","arzt","patienten","behinderung","intersexualität","entscheidungslösung","unbehindertenrechtskonvention","betroffenen","teilhabe","beihilfe","ärzte","leben","gabriele","gesetz","betroffenen","ausweis","organspender","spender","tod","leben","betreuten","sterbehilfe","schwangerschaftsabbrüche"
"10","bundesrepublik","notopfers","gesamtdeutsche","kieler","dänischen","partei","sender","hauptstadt","werbung","fernsehen","rundfunk","fernsehprogramm","fernsehen","grundgesetzes","konfessionalisierung","cuxhaven","einziehung","kollege","betrachtet","juli","gscheidle","helden","lasten","teilnehmer","bamberg","bundesminister","frequenzen","kaiserstuhl","eichgesetz","prostitution","urheberrechts","rundfunk","journalisten","aktionär","büchereien","studie","energiepolitischen","forschungspolitik","völliger","bericht","möhring","kulturellen","länderneugliederung","lattmann","strassen","standort","filmförderung","filmförderungsanstalt","sendungen","schäfer","sachzwänge","verkabelungsstopp","neuen","hörfunk","peace","freie","to","sprache","los","souveräne","arzneimittelsicherheit","sicherheitsmassnahmen","arzneimittelgesetz","rechtsrheinischen","unmoralisch","viren","schutzmassnahmen","moratorium","enquetekommission","wissenschaft","risiken","anwendung","bergmannpohl","tierschutzgesetzes","forschung","gentechnikgesetzes","blunck","blunck","gentechnisch","pharmaindustrie","grossbritannien","stoffe","zustimmungslösung","zulassung","kösterlossack","gentechnik","belgische","verbraucher","frau","lebens","stiftung","import","antrag","seuche","menschen","heiderich","software","heiderich","projekte","forschung","risiken","forschung","kikkstudie","embryonale","beratung","menschen","patient","ethikbeirates","tab","studien","forschung","kindes","hilfen","behinderten","gesellschaft","selbsttötung","hospiz","sprache","beeinträchtigungen","regelschulen","teilhabeausweis","entscheidungslösung","vergütung","organe","eingliederungshilfe","teilhabe","selbsttötung","sterben"
