"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","abs","abs","abs","abs","abs","abs","abs","abs","abs","abs","vermittlungsausschuss","bundesrat","apotheke","abs","vermittlungsausschuss","abs","abs","abs","urheber","abs","vermittlungsausschuss","abs","abs","bundesrat","gesetz","gesetz","abs","gesetz","gesetz","gesetz","grundgesetzes","gesetz","gesetz","gesetz","gesetz","gesetzes","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","entwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf","petitionsausschuss","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf"
"2","gesetz","gesetz","fassung","gesetzes","vermittlungsausschuss","gesetzes","gesetzes","nr","gesetzes","gesetz","bundesrates","abs","abs","vermittlungsausschuss","abs","bundesrat","bundesrat","bundesrat","urheberrecht","regelung","abs","vermittlungsausschuss","bundesrat","gesetzes","gesetzes","abs","art","bundesrat","art","entwurf","abs","gesetzes","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzes","gesetzes","gesetz","gesetz","entwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","vermittlungsausschuss","entwurf","regelung","entwurf","entwurf","entwurf","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","petitionen","gesetz","petitionsausschuss","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","regelung","protokoll","protokoll","gesetz","regelung","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","verfahren","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz"
"3","ausschuss","entwurf","gesetzes","vermittlungsausschuss","fassung","vorschriften","gesetz","gesetzes","vorschriften","gesetzes","abs","bankenaufsicht","apotheker","gesetzes","vermittlungsausschusses","bundesrates","grundgesetzes","regelung","abs","bundesrat","bundesrat","regelung","steuerschwachen","bundesrates","abs","gesetzes","gesetz","art","abs","gesetzes","art","entwurf","entwurf","entwurf","gesetzes","bundestages","bundesrat","bundesrat","gesetzes","entwurf","gesetzes","gesetzentwurf","vermittlungsausschuss","entwurf","entwurf","gesetzentwurf","bundesrat","entwurf","entwurf","gesetzes","gesetzes","entwurf","gesetz","bundesrat","gesetz","gesetz","gesetz","regelung","gesetz","entwurf","entwurf","entwurf","entwurf","regelung","gesetzentwurf","entwurf","gesetz","regelung","regelung","entwurf","vermittlungsausschuss","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","petitionen","regelung","regelung","regelung","entwurf","regelung","regelung","entwurf","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelungen","regelung","regelung","regelung","richtlinie","protokoll","gesetz","gegebene","gegebene","praxis","gesetz","regelung","regelungen","regelung","regelung","regelungen","gesetz","verfahren","verfahren","verfahren","regelung","verfahren","anhörung","verfahren"
"4","gesetzes","gesetzes","ausschuss","entwurf","bundesrat","entwurf","fassung","staatsangehörigkeit","bundesrates","nr","bundesrat","vorschriften","vorschriften","gesetz","bundesrates","regelung","gesetzes","vermittlungsausschuss","bundesrat","eingaben","bundesrates","rechtsausschuss","gesetzes","gesetz","entwurf","entwurf","bestimmung","grundgesetzes","vermittlungsausschuss","grundgesetzes","entwurf","gesetzentwurf","gesetzes","gesetzes","entwurf","vermittlungsausschuss","gesetzes","gesetzes","bundesrat","gesetzes","entwurf","vermittlungsausschuss","gesetzentwurf","gesetzes","gesetzes","bundesrat","entwurf","bundesrat","gesetzes","regelung","bundesrat","regelung","regelung","entwurf","bundesrat","vermittlungsausschusses","regelung","gesetz","regelung","regelung","regelung","petition","regelung","entwurf","gesetz","regelung","petenten","entwurf","entwurf","regelung","gesetzgeber","entwurf","entwurf","entwurf","regelungen","entwurf","entwurf","entwurf","regelungen","entwurf","verfahren","entwurf","regelungen","entwurf","regelung","entwurf","entwurf","entwurf","regelung","entwurf","entwurf","regelung","entwurf","entwurf","regelungen","entwurf","regelungen","entwurf","entwurf","regelungen","regelungen","regelungen","regelungen","verfahren","regelung","regelungen","regelungen","richtlinie","regelung","regelung","protokoll","gesetz","regelung","regelung","änderungen","regelungen","regelung","verfahren","verfahren","regelung","regelung","regelung","regelung","regelung","verfahren","regelungen","regelung","regelungen"
"5","fassung","änderung","änderung","bundesrat","gesetz","bundesrat","bundesrat","vermittlungsausschuss","bundesrat","vorschriften","vorschriften","bundesrates","gesetz","bundesrat","bundesrat","vorschriften","gesetz","gesetzes","urheberrechts","gesetz","vermittlungsausschusses","rechte","grundgesetzes","regelung","regelung","regelung","grundgesetzes","abs","parlament","bundesrat","gesetz","grundgesetzes","bundesrat","regelung","regelung","vermittlungsausschusses","entwurf","regelung","regelung","bundesrat","bundesrat","bundesrat","abs","regelung","regelung","gesetzes","regelung","regelung","regelung","entwurf","entwurf","gesetzes","bundesrat","abs","regelung","bundesrat","bundesrat","änderung","gesetzes","bundesverfassungsgerichts","petition","regelung","tierversuche","gesetzes","petitionsausschusses","gesetzes","petition","gesetzes","verfahren","gesetzes","entwurf","petitionsausschuss","regelungen","regelungen","verfahren","regelungen","parteien","art","entwurf","petitionsausschuss","entwurf","überhangmandate","entwurf","regelungen","anhörung","anhörung","petitionsausschuss","petitionen","bundesverfassungsgericht","verfahren","verfahren","petitionsausschuss","bundesverfassungsgericht","bundesrat","entwurf","regelungen","entwurf","regelungen","regelungen","entwurf","anhörung","entwurf","anhörung","regelungen","entwurf","verfahren","abs","regelungen","protokoll","gegebene","gegebene","regelungen","bereits","verfahren","bereits","richtlinie","verfahren","regelungen","regelungen","anhörung","regelungen","verbraucher","richtlinie","anhörung","anhörung","regelung","daten","regelung"
"6","bundesrat","bundesrat","gesetz","bestimmungen","gesetzes","fassung","ermächtigung","jugend","regelung","bundesrates","nr","luftverkehrsverwaltung","vermittlungsausschuss","grundgesetzes","gesetzes","regelungen","bundesrates","vermittlungsausschusses","regelung","grundgesetzes","gesetz","urheber","regelung","abs","bundesrat","bundesrat","gesetze","bundesrates","bestimmung","regierungsentwurf","gesetzes","abs","regelung","abs","bundesrat","daher","regelung","entwurf","entwurf","regelung","regelung","regelung","bundesrat","beratungen","bundesrat","bundesrates","gesetzes","gesetzes","bundesrat","bundesrat","regelung","bundesrat","gesetzes","regelung","vermittlungsausschuss","entwurf","bundesverfassungsgericht","beraten","petition","regelungen","petitionsausschuss","rechtsprechung","petitionen","verfahren","petenten","abs","entwurf","petition","änderung","rechtsprechung","regelung","regelungen","gesetzentwurfs","gesetzes","entwurf","betroffenen","regelungen","regelungen","anhörung","parlament","anhörung","regelungen","verfahren","art","petitionsausschuss","regelungen","petitionen","vorliegenden","verfahren","regelungen","regelungen","anhörung","bundesrat","petitionsausschuss","verfahren","verfahren","anhörung","recht","bundesrat","richtlinie","änderungen","anhörung","entwurf","entwurf","verfahren","abs","richtlinie","gegebene","abs","abs","regelungen","abs","abs","vorliegenden","änderung","unternehmen","unternehmen","entwurf","unternehmen","daten","rechtsprechung","datenschutzgrundverordnung","regelungen","entwurf","entwurf","anhörung","verfahren","anhörung"
"7","änderung","berichterstatter","bundesrat","ausschusses","regelung","ausschusses","vermittlungsausschuss","ausschuss","luftaufsicht","entwurf","entwurf","verwaltung","bundesrat","vermittlungsausschusses","gesetz","jedoch","art","petitionsstelle","rechte","art","gesetzes","bundesrat","bundesrates","petitionen","art","bestimmungen","bundesrat","vermittlungsausschuss","gesetzes","art","parlament","regelung","abs","beratungen","abs","bundesrat","bundesrates","bundesrates","vermittlungsausschuss","vorliegenden","beratungen","entwurf","entwurf","abs","bundesrates","regelung","bundesrates","bundesrates","gesetzentwurfs","beratungen","vorschriften","bundesrates","novelle","gesetzentwurf","bundesrates","vermittlungsausschuss","verfahren","gesetzes","petitionsausschuss","bundesrat","gesetzes","bundesrat","verfahren","bundesrat","fraktionen","bundesverfassungsgericht","regelung","verfahren","regelungen","beratungen","abs","gesetzes","abs","verfahren","abs","petitionsausschuss","gesetzes","grundgesetz","gesetzgeber","art","gesetzgeber","bundesverfassungsgericht","petitionsausschuss","bundestag","bürger","vorliegenden","regelungen","regelungen","betroffenen","praxis","vorliegenden","petitionen","regelungen","gesetzgeber","bundesrat","bundesrat","richtlinie","freitag","verfahren","gesetzes","gesetzgeber","gesetzes","verfahren","anhörung","abs","änderungen","verfahren","protokoll","regelungen","regelungen","bereits","regelung","daher","regelungen","vorliegenden","verfahren","entwurf","anhörung","entwurf","rechtssicherheit","unternehmen","musterfeststellungsklage","anhörung","richtlinie","daten","verbraucher","entwurf","gesetzes"
"8","nr","art","berichterstatter","änderung","vermittlungsausschusses","gesetz","änderung","entwurf","entwurf","wirtschaftsstrafgesetzes","gesetzes","vermittlungsausschuss","nr","vorschriften","grundgesetzes","vermittlungsausschuss","nr","gesetz","gesetzes","gesetzes","entwurf","bundesrates","lemke","arbeitsmittel","grundgesetzes","grundgesetzes","zustimmung","gesetzes","bundesrat","abs","vorlage","vorlage","bundesrates","vorlage","bundesrates","regelung","vorliegenden","vermittlungsausschuss","beratungen","beratungen","bundesrates","abs","regelung","bundesrat","beratungen","verfahren","gesetzentwurfs","abs","vorschriften","abs","regelungen","vorschriften","bundesrates","vermittlungsausschusses","beratungen","bundesrates","gesetzes","bundesrat","regelungen","bedenken","petitionen","gesetzes","bundesverfassungsgericht","petition","bundestages","petition","verfahren","rechtsprechung","bundesrat","bundesrat","regelungen","petitionen","art","abs","art","abs","art","petitionsausschuss","abs","kompromiss","art","petitionsausschuss","gesetzgeber","wahlkreise","regelungen","parlamentarischen","bürger","petitionsausschuss","grundgesetzes","änderung","anhörung","grundgesetz","bundesverfassungsgerichts","bundesrates","bundesverfassungsgericht","anhörung","bundesrat","bundesrat","gesetzgeber","gesetzgeber","entwurf","gesetzgeber","änderungen","änderungen","vorliegenden","gegebene","gegebene","verfahren","gegebene","jedoch","verfahren","verfahren","verfahren","änderung","transparenz","bereits","richtlinie","gesetzgeber","gesetzgeber","daher","urteil","anhörung","rechtssicherheit","regelungen","regelungen","entwurf","regelungen","entwurf"
"9","bestimmungen","bestimmungen","bestimmungen","vorschriften","änderung","jedoch","satz","gesetz","gesetz","fassung","vermittlungsausschusses","vermittlungsausschusses","gesetzes","regelung","seidl","anwendung","regelung","vorschriften","vermittlungsausschusses","rechtsverordnung","grundgesetzes","vermittlungsausschusses","rechtsverordnung","rechtsverordnung","regierungsentwurf","art","parlament","rechtsausschuss","grundgesetzes","regelung","gesetzentwurf","art","art","regierungsentwurf","beratungen","art","beratungen","regelungen","änderung","abs","änderung","vorschriften","regelungen","bundesrates","regelungen","parlament","vorschriften","beratungen","bundesrates","bundesrates","bürger","regelungen","beratungen","bundesrates","gesetzes","beratungen","regelungen","verfahren","bundesverfassungsgericht","gesetzes","bundesrat","regelungen","petitionsausschuss","regelungen","legislaturperiode","bundesrat","bundesverfassungsgericht","regelungen","beratungen","regelungen","petitionsausschuss","abs","gesetzes","petitionsausschuss","gesetzes","verfahren","grundgesetz","gesetzes","verfahren","parlaments","bundesverfassungsgericht","anhörung","bürger","beratungen","art","grundgesetz","anhörung","änderung","freitag","bgb","betroffenen","regelungen","verfahren","regelungen","rechtsprechung","änderungen","verfahren","verfahren","betroffenen","entscheidung","verfahren","änderungen","gesetzgeber","vorliegenden","änderungen","vorliegenden","bereits","bereits","bereits","verfahren","richtlinie","bereits","jedoch","bereits","regelungen","entwurf","änderungen","gesetzentwurfs","anhörung","gesetzes","entwurf","unternehmen","betroffenen","gesetzes","änderungen","daten","änderungsantrag","änderungen"
"10","ziffer","vorschriften","ausschusses","fassung","vorschriften","gesetzentwurf","vorschriften","regelung","fassung","daher","personen","nr","bundesrates","bundesrates","erben","eingaben","regelungen","petitionen","entwurf","bestimmungen","regelung","bestimmung","fassung","gesetzentwurf","fassung","vorlage","mai","entwurf","gesetze","bundesrates","bedenken","verabschiedung","vermittlungsausschuss","bundesrates","fassung","abs","änderung","gesetzentwurfs","bundesrates","ausschuss","vorliegenden","bundesrates","bundesrates","gesetzentwurfs","änderung","vermittlungsausschuss","novelle","regelungen","beratungen","regelungen","bundesrates","beratungen","vorliegenden","beratungen","abs","kleingärten","abs","entschädigung","vorliegenden","praxis","vorliegenden","bundesverfassungsgericht","gesetzes","beratungen","petition","änderung","bundestages","änderungen","gesetzgeber","beraten","lesung","beratungen","bundesrat","bundesrat","beratungen","gesetzes","anhörung","beratungen","gesetzes","regelungen","abs","gesetzgeber","grundgesetz","bürger","eingaben","änderung","verfahren","anhörung","änderung","beratungen","änderung","verfahren","gesetzgeber","kompromiss","gesetzgeber","geregelt","änderungen","gesetzgeber","bürger","gesetzentwurfs","parlament","gesetzentwurfs","gesetzes","gesetzes","gegebene","entwurf","vorliegenden","änderungen","verfahren","bereits","jedoch","jedoch","regelungen","richtlinie","verfahren","änderungen","praxis","rechtssicherheit","künftig","entwurf","daten","änderungen","entwurf","änderungen","gesetzes","gesetzes","vorliegenden","umsetzung"
