"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","öffentlichen","wiedergutmachung","wiedergutmachung","wiedergutmachung","wiedergutmachung","entschädigung","staatsangehörigkeit","personen","nr","fremdenlegion","bankenaufsicht","reichsbank","reichsbank","vermittlungsausschuss","eingaben","abs","petitionen","petitionsausschuss","berufsausbildung","petitionen","handwerk","bundeskriminalamt","petitionen","reichstag","oberpfalz","petitionsausschuss","wetzel","parlamentsreform","feld","assoziierten","petitionsausschusses","petitionen","petitionsausschuss","kündigungsfrist","parlamentarischen","administration","staatssekretäre","forschung","presse","forschung","presse","forschung","forschung","forschung","forschung","zonenrandgebiet","grundlagenforschung","unternehmen","forschung","forschung","forschung","forschung","forschung","forschung","stahl","mikroelektronik","stahlindustrie","forschung","saarland","forschung","eureka","forschung","grossforschungseinrichtungen","stahlindustrie","rheinhausen","rheinhausen","ruhrgebiet","unternehmen","nordrheinwestfalen","forschung","praklaseismos","wilhelmshaven","grossforschungseinrichtungen","stahlindustrie","forschung","forschung","forschung","forschung","raumfahrtindustrie","vulkan","sket","klonen","niedersachsen","dat","raumfahrt","gentechnik","werften","film","forschung","stammzellen","stammzellen","gentechnik","gentechnik","gentechnik","gentechnik","stammzellen","gentechnik","gentechnik","gentechnik","ethikrat","gentechnisch","studie","stammzellen","cannabis","gentechnik","studien","ethikrat","pid","behinderung","organspende","behinderung","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","organspende","organspende","menschen","menschen","behinderungen","menschen","menschen"
"2","gesetz","beamten","regelung","entschädigung","regelung","verfolgten","geschädigten","abs","abs","abs","eintritt","abs","häftlinge","anteilseigner","bundesrates","petenten","eingaben","vermittlungsausschuss","eingaben","gewerbeordnung","eingaben","petitionen","schulzevorberg","bezeichnungen","norddeutschen","petitionen","petitionsausschusses","gewerbe","ausschüsse","herren","assoziierung","petitionsausschuss","eingaben","petitionen","spareinlagen","staatssekretäre","verbieten","energieforschung","forschungspolitik","pressefreiheit","presse","fusionskontrolle","krebsforschung","technologie","unternehmen","unternehmen","unternehmen","forschung","forschung","humanisierung","unternehmen","humanisierung","humanisierung","grossforschungseinrichtungen","technologie","stahlindustrie","forschung","bremen","mikroelektronik","bremen","nordrheinwestfalen","forschung","montanmitbestimmung","forschung","montanmitbestimmung","arbeitsplätze","ruhrgebiet","stahlindustrie","forschung","stiftung","forschungs","ag","region","werften","forschung","stahlindustrie","technologie","mitbestimmung","forschungs","luft","bremer","bvs","forschung","preussag","de","werften","biotechnologie","gentechnik","pid","pid","forschung","forschung","film","sars","klonen","gentechnisch","forschung","patientenverfügung","biotechnologie","gentechnisch","gentechnik","gentechnik","gentechnik","forschung","gentechnik","gentechnisch","who","technikfolgenabschätzung","kind","menschen","menschen","menschen","behinderung","behinderung","sterben","behinderung","sterben","behinderung","behinderungen","inklusion","behinderungen","widerspruchslösung","menschen","organspende","behinderungen","menschen","sterben","behinderung"
"3","lastenausgleich","regelung","gesetz","rechtsverordnung","ansprüche","entschädigung","hauptentschädigung","nr","ansprüche","entschädigung","bundesfinanzhofs","luftverkehrsverwaltung","anteilseigner","ehemaligen","reichsbank","abs","petitionen","petitionsausschuss","petitionen","berufsausbildungsgesetz","einsender","eingaben","bundeskriminalamtes","mrd","exklave","petitionsausschusses","ombudsman","sachkundenachweis","ausschusssitzungen","abgeordneten","petitionsausschusses","petitionen","marl","knopf","herr","auflösung","arbeitsgesetzbuch","parlamentarischen","forschungs","zeugnisverweigerungsrecht","technologie","klein","krebs","forschungsförderung","kleinen","forschungs","investitionszulage","förderung","forschungs","arbeitslebens","grundlagenforschung","programm","energieforschung","wissenschaftlichen","stahl","forschung","technologie","stahl","technologie","stahlindustrie","technologien","krupp","eureka","werften","unternehmen","stahlindustrie","regionen","nordrheinwestfalen","fusion","raumfahrt","grundlagenforschung","unternehmens","raumfahrt","forschung","mitbestimmung","bischofferode","stahlindustrie","eko","technologie","dasa","werften","schiffbau","forschungspolitik","schröder","is","raumstation","gentechnisch","gentechnisch","präimplantationsdiagnostik","embryonen","embryonalen","enquetekommission","verbot","gentechnisch","china","pflanzen","embryonalen","forschung","forschung","anbau","ethikrates","pflanzen","gentechnisch","stammzellforschung","gentechnisch","forschung","studie","patente","leben","nanotechnologie","behinderung","behinderungen","design","behinderungen","sterbehilfe","sterben","ärzte","barrierefreiheit","eingliederungshilfe","barrierefreiheit","teilhabe","menschen","widerspruchslösung","widerspruchslösung","bundesteilhabegesetz","behinderung","leben","antidiskriminierungsstelle"
"4","regelung","entschädigung","rechtsverordnungen","regelung","entschädigung","entschädigungsbehörden","ansprüche","jugend","personenkreis","personen","nr","verwaltung","entschädigung","abs","beamtin","ehemaligen","dienstordnung","petitionsstelle","schlachtpferden","entwurf","rieger","petitionsausschuss","amtes","handwerk","petitionen","petitionsausschuss","petitionen","gold","geschäftsordnung","albrecht","präferenzen","document","weinwirtschaft","petitionsausschusses","petitionsausschuss","september","herr","atomprogramm","zentren","journalisten","zeitungen","zusagen","technologie","forschungspolitik","wissenschaftlichen","antarktis","forschung","meerestechnik","stavenhagen","forschungs","förderung","technologie","programm","förderung","thtr","hoffmann","industrie","subventionen","grossforschungseinrichtungen","gentechnologie","gentechnologie","wuppermann","unternehmen","montanmitbestimmung","stahl","stahl","nordrheinwestfalen","arbeitsplätze","subventionen","dara","faktenbericht","nordrheinwestfalen","forschung","margarethenhütte","unternehmen","technologie","mitbestimmung","eisenhüttenstadt","technologien","raumfahrt","bvs","forschung","klonens","forschung","ick","schiffbau","jahrproblem","patentamt","filmförderung","stammzellen","embryonen","embryonen","menschenwürde","forschung","enquetekommission","biotechnologie","stammzellforschung","sterben","forschern","mon","enquetekommission","forschung","strahlung","embryonalen","pflanzen","mon","unternehmensmitbestimmung","ethikrates","eltern","behinderungen","behinderungen","unbehindertenrechtskonvention","behinderungen","inklusion","leben","leben","behinderung","behinderungen","behinderung","suizid","behinderung","organe","behinderung","behinderungen","contergan","betreuung","selbstbestimmung","leben"
"5","öffentlichen","dienst","lastenausgleichsgesetzes","bundesentschädigungsgesetzes","leistungen","gesetzes","leistungen","ausschuss","regelung","ansprüche","eingaben","bundeseigene","zusammenlegung","vermögensauseinandersetzung","abs","petitionen","urkunden","eingaben","ausfuhr","berufsausbildungsgesetzes","petenten","einführungsgesetzes","verbrechensbekämpfung","handwerksordnung","bezeichnungen","bayerischen","zebisch","getretenen","buchführung","werbungskosten","hauses","verspätet","petitionsausschusses","eingabe","petitionsausschusses","professor","länder","kernenergie","technologie","energieforschung","hauff","meinungsvielfalt","forschungspolitik","stavenhagen","forschungsförderung","zonenrandgebiet","fusionskontrolle","meeresforschung","technologie","programm","forschungsförderung","unternehmen","technologie","zentren","förderung","saar","förderung","unternehmen","stahl","fusion","forschungs","technologie","technologie","unternehmen","gentechnologie","nordrheinwestfalen","unternehmen","raumfahrt","forschungspolitik","forschung","naturmedizin","stiftung","neumann","mecklenburgvorpommern","ag","kali","raumfahrt","aktiengesellschaft","unternehmen","forschung","expo","werften","embryonenschutzgesetz","forschungs","un","forschung","bio","kampfhunde","produzenten","gentechnik","import","menschenwürde","kanada","robertkochinstitut","klonens","forschung","gentechnik","biotechnologie","gentechnologie","happachkasan","gremium","anbau","leukämie","stammzelllinien","mon","pflanzen","klinische","ethikbeirat","behinderung","krankheiten","entscheidung","inklusion","inklusion","unbehindertenrechtskonvention","suizid","suizid","sterbehilfe","unbehindertenrechtskonvention","betroffenen","betroffenen","inklusion","spender","wahlrecht","angehörigen","entscheidung","selbstbestimmung","barrierefreiheit","behinderungen"
"6","vermögen","dienstes","abs","personen","gesetzes","nationalsozialistischen","unterhaltshilfe","jugendlichen","mai","durchführung","patentamt","luftverkehrs","ehemaligen","liquidation","entschädigung","petition","tinte","abs","naturpark","ausbildung","entwurf","petentin","bekämpfung","petitionsausschusses","japan","handwerksordnung","steine","intellektuellen","petitionsausschuss","wohlrabe","schrecklich","petition","jacobi","spareinlagen","eingaben","ausscheiden","mutterschutzgesetz","energieforschungsprogramm","grundlagenforschung","zeitungen","stiftung","presseunternehmen","forschungsförderung","förderung","mittleren","förderung","mittleren","unternehmen","grundlagenforschung","technologie","technologie","arbeitslebens","arbeitslebens","grundlagenforschung","solarenergie","strukturpolitik","programm","hilfen","forschungs","unternehmen","technologie","stahlindustrie","richtlinien","küste","arbeitsplätze","bangemann","arbeitsplätze","daimlerbenz","forschungs","riesenhuber","technologie","prakla","bremen","riesenhuber","technologie","ag","unternehmen","technologie","rüttgers","unternehmen","bremen","maritimen","dolly","unternehmen","wi","ariane","gentechnologie","korea","gentechnik","menschlichen","gentechnik","renesse","forschung","biotechnologie","forschung","heiderich","erfindungen","ressortforschung","gentechnisch","koexistenz","ethische","veränderten","happachkasan","embryonen","forschung","agrogentechnik","registrierung","tab","stammzellen","aktionsplan","forschung","betroffenen","teilhabe","teilhabe","tod","tod","suizid","eingliederungshilfe","bundesteilhabegesetz","rüffer","anfrage","behinderungen","test","entscheidung","leben","betreuer","suizid","suizid"
"7","gesetzes","vermögen","entschädigung","lastenausgleich","verbrieften","personen","abs","entschädigung","grundgesetzes","rechtslage","personen","bundesauftragsverwaltung","häftlingen","entschädigung","abfindung","rechtliche","bundesrates","petitionsausschusses","petitionsausschusses","wirtschaft","petitionsausschusses","petition","vorstandsbericht","schulhoff","bundeskriminalamt","ausdrücke","abg","köppler","abgeordneten","stunde","wahlkreis","center","petitionsausschuss","eingaben","petitionen","staatspraxis","jenninger","rahmenprogramm","lenzer","klein","journalisten","zeitungen","forschungs","forschungsminister","förderung","investitionszulage","forschungsförderung","berlin","forschungsförderung","unternehmen","arbeitsplätze","programms","forschungs","wissenschaftler","industrie","saarland","humanisierung","stahlarbeiter","stahlindustrie","forschung","regionen","technologien","vosen","norden","werften","regionen","belegschaft","unternehmen","riesenhuber","landesregierung","riesenhuber","hannover","hennigsdorf","industrie","raumfahrt","fusion","forschungs","riva","wissenschaft","rüttgers","verbund","unternehmen","embryonenschutzgesetzes","stahl","nich","esa","bühler","biotechnologie","films","menschenwürde","werften","wissenschaft","verbieten","grüne","gentechnisch","veränderte","embryonen","heiderich","ressortforschung","drobinskiweiss","ethischen","happachkasan","anbau","stichtag","zulassung","lebendspende","drks","ethische","behinderungen","kabinenluft","nanotechnologie","teilhabe","unbehindertenrechtskonvention","behinderte","ärzte","palliativversorgung","leben","bundesteilhabegesetz","teilhabe","suizidprävention","bundesteilhabegesetz","organspenden","entscheidung","behinderung","betroffenen","betreuungsrecht","behinderung","sterben"
"8","geschädigten","beamtenschaft","gesetzes","schäden","personen","verfolgung","beamtenrecht","gesetzes","gewährung","personenkreis","entschädigung","bundesrat","abs","verwaltung","bundesrat","vorgeschlagene","bund","erteilt","verträge","schmücker","sitz","ehe","neuss","petitionsausschuss","zugeleitet","pflasterer","ukstellung","herr","parlaments","haas","verstanden","petenten","petenten","kündigungsfrist","gesetzlicher","parlament","verzichte","russe","technologiepolitik","wirtschaftliche","tageszeitungen","göttingen","presse","forschungs","forschungs","forschungsförderung","förderung","wissenschaftlichen","förderung","grundlagenforschung","projekte","förderung","stahl","stavenhagen","projekt","dortmund","steger","maxhütte","technologien","technologien","saarland","unternehmen","forschungsminister","norddeutschland","regionen","unternehmen","stahlindustrie","regionen","nordrheinwestfalen","salzgitter","solarenergie","riesenhuber","technologie","grossdubrau","riesenhuber","vosen","urbaniak","forschungspolitik","technologiepolitik","arbeitsplätze","mecklenburgvorpommern","maritime","klonierung","niedersächsischen","ook","weltraumforschung","europarat","schiffbau","embryonenschutzgesetz","embryonalen","film","embryo","klonen","china","ethik","organismen","grundlagenforschung","patientenverfügungen","forscher","gentechnikgesetzes","parlament","tests","pflanzen","embryonale","anbau","anbau","klinischer","ethikbeirates","präimplantationsdiagnostik","unbehindertenrechtskonvention","organspender","leben","betreuungsbehörde","eingliederungshilfe","lebens","arzt","palliativmedizin","lösekrugmöller","gesetz","teilhabe","ausweis","tod","behinderungen","barrierefreiheit","blutspende","unbehindertenrechtskonvention","behinderungen","selbstbestimmung"
"9","abs","besoldung","dienstes","ansprüche","schäden","regelung","ausgleichsfonds","eheschliessung","entschädigung","filmwirtschaft","justizministerium","grundgesetz","regelung","reichsnährstandes","liquidation","auswertung","landbeschaffung","ausfuhrgenehmigungen","abs","eingaben","personalvermehrung","ausländischen","ausländerkriminalität","handwerks","herr","sach","bundesaussenministers","reiseverkehr","fragestunde","bestimmte","gespräche","vorzeitigen","petition","gesetzlicher","schikanen","schmid","salzgitter","ehmke","forschungsminister","fusionskontrolle","laermann","pressefreiheit","grundlagenforschung","projekte","wissenschaftliche","technologie","antarktis","hauff","kleinen","arbeitswelt","forschungspolitik","stahl","programms","technologie","raumfahrt","unternehmen","datenverarbeitung","forschung","riesenhuber","georgsmarienhütte","biotechnologie","landesregierung","gentechnologie","schiffbau","kohle","ruhrgebiet","montanmitbestimmung","ruhrgebietskonferenz","daimlerbenz","raumstation","forschungspolitik","unternehmen","friesland","verbundlösung","premnitz","brüssel","technologien","unternehmen","biotechnologie","technologie","forschung","magdeburg","verbot","arbeitsplätze","nu","raumfahrtpolitik","raumfahrt","stammzellen","risiken","präimplantationsdiagnostik","adulten","import","embryonen","rüstungsexportbericht","medizin","anbau","forscher","enquetekommission","medizin","gentechnikgesetz","lebenswissenschaften","ethikrat","forschung","verschiebung","veränderten","bienen","forschung","pflanzen","medizin","leben","biobanken","betreuung","patente","behinderten","beihilfe","hilfe","arzt","gabriele","leistungen","werkstätten","gesellschaft","entscheidungslösung","spender","leben","selbstbestimmung","betreuten","tod","leitung"
"10","entschädigung","kühn","condor","leistungen","reich","fällen","unehelichen","bonn","leistungen","geschädigten","abs","kreditwesen","eichelbaum","bundesregierung","eingaben","januar","truppenübungsplätze","ausfuhr","umsiedlung","handwerk","grade","bürgerlichen","forschungsanstalt","eingaben","gaubischofsheim","nordbayern","eingaben","dinge","sitzungen","bekanntgeworden","vorsitzende","eingabe","sterilisation","drücken","jacobi","land","fragen","bangladesch","anfrage","walz","klein","konzentration","nachsorge","matthöfer","laermann","mittleren","kleinen","wissenschaft","industrie","förderung","programm","mittleren","forschungsförderung","forschungseinrichtungen","raumfahrtpolitik","arbedsaarstahl","technologien","bundesregierung","förderung","arbeitsplätze","jochimsen","nordrheinwestfalen","riesenhuber","wissenschaft","maxhütte","landesregierung","stahl","dara","technologiepolitik","technologie","region","forschung","arbeitsplätze","unternehmens","unternehmens","unternehmen","aktiengesellschaft","stahlindustrie","catenhusen","urbaniak","uran","konzept","rüttgers","schultze","wat","rachel","broschüre","menschliche","verboten","lebens","menschlichen","stammzelllinien","klonens","pflanzen","menschenwürde","veränderten","china","pid","deutschland","forschung","beirat","genetische","kikkstudie","adulten","happachkasan","veränderten","rechtsformen","ethischen","menschen","intersexualität","organe","contergangeschädigten","technologien","barrieren","gesellschaft","selbsttötung","selbstbestimmung","sprache","hinterbliebenen","hilfe","teilhabeausweis","entscheidung","werkstätten","tod","conterganstiftung","werkstätten","selbsttötung","sterbehilfe"
