"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","bundesarbeitsminister","rentenversicherung","krankenversicherung","rentenversicherung","rentner","rente","rentenversicherung","schellenberg","schellenberg","renten","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","kriegsopferversorgung","renten","kindergeld","renten","rentenversicherung","schellenberg","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","lohnfortzahlung","rentner","katzer","krankenversicherung","rentenversicherung","rentenversicherung","rentner","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","arbeitslosen","rentenversicherung","rentenversicherung","rentenversicherung","montanmitbestimmung","rentenversicherung","ehrenberg","bundesanstalt","rentenversicherung","blüm","rentenversicherung","arbeitnehmer","rentenversicherung","rentenversicherung","blüm","blüm","blüm","blüm","blüm","blüm","blüm","rentenversicherung","arbeitnehmer","blüm","renten","blüm","bundesanstalt","bundesanstalt","pflegeversicherung","pflegeversicherung","blüm","pflegeversicherung","arbeitnehmer","pflegeversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","riester","rente","rentner","rente","mitbestimmung","arbeit","arbeitnehmer","arbeit","arbeitnehmer","rente","bundesagentur","bundesagentur","bundesagentur","arbeitnehmer","arbeitnehmer","arbeitsmarkt","rente","rente","arbeitnehmer","rente","rente","arbeit","rente","mindestlohn","rente","arbeitsmarkt","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","menschen","grundrente","beschäftigten","rente","arbeitsmarkt"
"2","dm","sozialversicherung","rentner","rentner","witwen","renten","renten","rente","renten","renten","unfallversicherung","kriegsopfer","versicherten","unfallversicherung","kindergeld","unfallversicherung","bilanzen","unfallversicherung","rentenversicherung","einkommensgrenze","rentenversicherung","angestellten","rentenversicherung","schellenberg","schellenberg","rentner","angestellten","unfallversicherung","arbeiter","rentenversicherung","vermögensbildung","gesetzlichen","rentner","rentner","rentenversicherung","rentenversicherung","rentner","renten","rentenversicherung","rentenversicherung","rentenversicherung","renten","selbstverwaltung","krankenversicherung","krankenversicherung","rentner","altersgrenze","ehrenberg","blüm","rentner","blüm","mitbestimmung","rentner","arbeitnehmer","rentenversicherung","blüm","selbstbeteiligung","blüm","blüm","bundesanstalt","rentner","arbeitnehmer","arbeitnehmer","rentenversicherung","arbeitnehmer","arbeit","bundesanstalt","arbeit","arbeitnehmer","blüm","rente","rente","krankenversicherung","arbeit","krankenversicherung","blüm","pflege","arbeit","blüm","arbeit","rentenversicherung","blüm","rente","blüm","rente","arbeitgeber","rentenversicherung","rente","rentenversicherung","arbeitslosen","bundesanstalt","arbeit","arbeitsmarkt","bundesanstalt","rentenversicherung","arbeit","menschen","arbeitslosigkeit","arbeitsmarkt","rente","menschen","menschen","arbeitnehmer","rente","arbeitnehmer","menschen","mindestlohn","arbeit","arbeitsmarkt","mindestlohn","rente","rentenversicherung","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","beschäftigten","arbeit","beschäftigten","beschäftigten","rente","menschen","arbeit","rente","grundsicherung","mindestlohn","mindestlohn"
"3","renten","kriegsopfer","rente","rentenversicherung","leistungen","rente","schellenberg","angestellten","rente","bundesarbeitsminister","bundesarbeitsminister","kriegsopferversorgung","arzt","krankenversicherung","versicherten","schellenberg","bundesarbeitsminister","krankenversicherung","krankenversicherung","dm","einkommensgrenze","dm","rente","stingl","sozialpolitik","krankenversicherung","sozialordnung","sozialordnung","schellenberg","katzer","arbeitnehmer","rentenversicherung","katzer","katzer","krankenversicherung","rente","altersgrenze","krankenversicherung","sozialordnung","arbeitnehmer","rentner","katzer","müller","rentner","krankenkassen","renten","flexiblen","blüm","renten","renten","franke","arbeitnehmer","bundesanstalt","arbeit","arbeit","arbeitnehmer","krankenversicherung","arbeit","rentenversicherung","arbeit","blüm","bundesanstalt","gewerkschaften","arbeitnehmer","arbeitslosen","bundesanstalt","krankenversicherung","krankenversicherung","blüm","arbeit","rentner","rentenversicherung","versicherten","arbeitsmarktpolitik","blüm","bundesanstalt","blüm","dressler","arbeit","sozialhilfe","blüm","arbeit","arbeit","rente","riester","rentenversicherung","riester","rentenversicherung","rentenreform","riester","arbeitsmarkt","arbeitsmarkt","arbeitslosigkeit","arbeit","menschen","menschen","hartz","arbeitnehmer","arbeit","arbeit","arbeitnehmer","mindestlohn","menschen","kolb","arbeit","arbeitnehmer","menschen","menschen","arbeit","arbeitsmarkt","arbeit","menschen","rentenversicherung","rentenversicherung","menschen","arbeit","arbeit","arbeitsmarkt","beschäftigten","arbeitgeber","arbeit","menschen","arbeitsmarkt","arbeitsmarkt","beschäftigten","arbeit","rentenversicherung","rente"
"4","antrag","leistungen","bundesarbeitsminister","versicherten","rentner","rentenversicherung","angestellten","arbeiter","versicherten","anpassung","anpassung","schellenberg","handwerker","renten","arbeiter","rentenversicherung","bilanz","rente","anpassung","kind","schellenberg","schellenberg","sozialpolitik","renten","selbstverwaltung","schellenberg","finanzänderungsgesetz","renten","angestellten","renten","sozialbericht","angestellten","sozialordnung","schellenberg","katzer","frauen","rente","rentenversicherung","versicherten","altersversorgung","sozialordnung","krankenversicherung","rentenversicherung","renten","altersgrenze","franke","müller","rente","müller","gesetzlichen","sozialpolitik","blüm","ehrenberg","bundesanstalt","arbeitnehmer","sozialpolitik","rentenversicherung","arbeitnehmer","vorruhestandsregelung","blüm","renten","gewerkschaften","rentenversicherung","arbeitslosen","arbeit","rentenversicherung","arbeit","rentenversicherung","dressler","sozialordnung","dressler","blüm","rente","krankenversicherung","arbeit","arbeit","pflegebedürftigen","arbeitnehmer","arbeitnehmer","blüm","arbeit","arbeitnehmer","arbeitnehmer","arbeit","sozialhilfe","beschäftigungsverhältnisse","rentner","arbeit","riester","arbeitnehmer","arbeitslosen","sozialhilfe","rentenversicherung","arbeitsmarkt","bundesanstalt","laumann","arbeitnehmer","arbeit","menschen","ii","arbeit","arbeitnehmer","arbeit","altersteilzeit","mindestlohn","rentenversicherung","kolb","arbeitsmarkt","zeitarbeit","menschen","beschäftigten","altersarmut","arbeitsmarkt","arbeitsmarkt","arbeit","post","beschäftigten","arbeit","rentenversicherung","rentenversicherung","menschen","arbeit","grundsicherung","rente","arbeitnehmer","menschen","beschäftigten","rentner"
"5","kriegsopfer","renten","sozialversicherung","ärzte","versicherten","angestellten","rentenversicherung","schellenberg","krankenversicherung","rentenversicherung","familienausgleichskassen","bundesarbeitsminister","schellenberg","bundesarbeitsminister","schellenberg","rente","rentenversicherung","arbeiter","schellenberg","familien","blank","versicherungspflichtgrenze","dm","beiträge","versicherten","angestellten","sozialpolitik","schellenberg","krankenversicherung","schellenberg","rentenversicherung","sozialordnung","renten","rente","rente","rentner","katzer","dynamisierung","rentner","arendt","versicherten","rentner","renten","rente","rente","rente","herabsetzung","rentenversicherung","rente","arbeitnehmer","rente","schwarzarbeit","krankenversicherung","rentenversicherung","krankenversicherung","rentner","arbeit","sozialpolitik","gewerkschaften","arbeitnehmer","rente","arbeit","rentner","rente","montanmitbestimmung","dressler","versicherten","versicherten","arbeit","dressler","arbeitnehmer","dressler","rentner","arbeitslosigkeit","versicherten","pflege","arbeitnehmer","rentenversicherung","krankenversicherung","pflegeversicherung","sozialhilfe","lohnfortzahlung","blüm","pflegeversicherung","rentenversicherung","arbeitnehmer","arbeit","renten","beiträge","arbeit","arbeitsmarktpolitik","rente","bundesanstalt","kündigungsschutz","rentner","sozialhilfe","arbeitslosen","menschen","arbeitslosengeld","kolb","kolb","arbeitsmarkt","arbeitslosengeld","menschen","menschen","arbeit","arbeitsmarkt","mindestlohn","leiharbeit","arbeit","rentenversicherung","arbeitsmarkt","arbeit","arbeit","arbeitsmarkt","beschäftigten","arbeitnehmer","arbeitnehmer","menschen","mindestlohn","mindestlohn","mindestlohn","grundrente","hartz","mindestlohn","rente","tarifbindung","menschen"
"6","leistungen","horn","renten","sozialreform","rentenmehrbetragsgesetz","sozialreform","rentner","bergbau","beiträge","sozialordnung","schellenberg","rente","rentenversicherung","rentenversicherung","dm","anpassung","versicherungstechnischen","stingl","rentner","blank","krankenkassen","arbeiter","sozialordnung","dm","sozialen","spitzmüller","sozialen","angestellten","spitzmüller","rente","sozialbudget","rentner","krankenversicherung","renten","renten","cducsu","franke","altersversorgung","arbeit","sozialordnung","gesetzlichen","sozialpolitik","sozialversicherung","franke","rentner","kriegsopfer","sozialpolitik","bundesanstalt","rentner","rente","ehrenberg","rentenversicherung","arbeitnehmer","blüm","arbeitslosengeld","krankenversicherung","vogt","renten","stundenwoche","arbeitslosen","arbeitnehmer","rentenversicherung","bundesanstalt","arbeit","mitbestimmung","arbeitslosen","arbeitnehmer","sozialordnung","krankenversicherung","gesundheitsreform","renten","polikliniken","selbstbeteiligung","arbeitsmarkt","arbeitsmarktpolitik","arbeitsmarktpolitik","arbeit","arbeitsmarktpolitik","sozialhilfe","rentenversicherung","arbeitnehmer","arbeitslosen","rehabilitation","beschäftigung","arbeitnehmer","beschäftigung","arbeitnehmer","arbeitgeber","vorsorge","arbeitsmarkt","riester","arbeitslosigkeit","rente","arbeitgeber","sozialhilfe","arbeitnehmer","arbeit","arbeitsmarkt","laumann","menschen","ii","arbeit","arbeitsmarkt","arbeit","kolb","arbeitsmarkt","zeitarbeit","leyen","menschen","leyen","arbeitnehmer","mindestlohn","arbeitnehmer","menschen","arbeitnehmer","arbeitgeber","mütterrente","arbeitgeber","arbeitnehmer","altersvorsorge","arbeitnehmer","rentenversicherung","arbeit","iv","arbeit","sozialstaat","betriebsräte","rentnerinnen"
"7","rentenversicherung","erhöhung","erhöhung","leistungen","sozialreform","schellenberg","beiträge","steigerungsbetrag","rentner","kalinke","sozialpolitik","rentner","bundesarbeitsminister","rente","ruf","rentner","kriegsopferversorgung","kriegsopfer","rente","schellenberg","dm","versicherten","sozialpolitischen","bundesarbeitsminister","sozialversicherung","beiträge","wuermeling","krankenversicherung","rentenversicherung","sozialordnung","sozialpolitik","schellenberg","arbeit","selbständigen","sozialordnung","flexiblen","schellenberg","anpassung","gesetzlichen","sozialbudget","krankenkassen","kriegsopfer","sozialpolitik","selbstverwaltung","sozialhilfe","ehrenberg","krankenversicherung","renten","krankenversicherung","krankenversicherung","arbeit","rentner","arbeit","arbeitslosen","friedmann","bundesanstalt","arbeitnehmer","bundesanstalt","renten","krankenkassen","bundesarbeitsminister","arbeitslosen","renten","sozialpolitik","sozialpolitik","arbeitnehmer","dressler","rente","rente","rente","rentenversicherung","rentner","dm","arbeitnehmer","patienten","arbeitnehmer","leistungen","pflegeversicherung","bundesanstalt","babel","leistungen","arbeitslosigkeit","leistungen","beiträge","schreiner","arbeit","renten","arbeitsmarkt","prozent","betriebsräte","sozialhilfe","menschen","arbeitslosen","arbeitslosigkeit","arbeit","arbeitsmarkt","arbeitsmarkt","gewerkschaften","hartz","arbeitsmarkt","bundesagentur","löhne","mindestlohn","rentner","arbeitsmarkt","bundesagentur","bundesagentur","arbeitnehmer","rente","rentenversicherung","menschen","arbeit","menschen","euro","gewerkschaften","rente","leiharbeit","mindestlohn","arbeitsmarkt","arbeitnehmer","rente","beschäftigten","mindestlohn","grundsicherung","rentenversicherung","rentenversicherung","löhne","sozialstaat"
"8","erhöhung","sozialreform","schellenberg","sozialversicherung","beiträge","krankenversicherung","versicherten","knappschaftlichen","angestellten","frau","leistungen","anpassung","arbeiter","sozialpolitischen","angestellten","unfallverhütung","blank","schellenberg","sozialen","kindergeldes","familien","renten","renten","katzer","gesetzlichen","sozialpolitik","alters","rente","lösung","krankenversicherung","leistungen","versicherten","rente","frauen","altersgrenze","katzer","flexiblen","leistungen","arendt","arbeit","kriegsopfer","rente","rentner","gesundheitswesen","gesetzlichen","rentenanpassungsgesetz","schwerbehinderte","franke","angestellten","ehrenberg","bundesanstalt","müller","franke","sozialhilfe","egert","arbeit","gesetzlichen","cronenberg","arbeit","cronenberg","arbeit","arbeitslosengeld","arbeit","renten","sozialordnung","sozialordnung","arbeitslosen","arbeitnehmer","arbeitgeber","arbeitgeber","sozialordnung","ärzte","renten","blüm","gesundheitswesen","sozialordnung","bundesanstalt","rente","leistungen","dressler","renten","sozialhilfe","lohnfortzahlung","rentenreform","pflegeversicherung","sozialversicherung","beiträge","arbeitnehmer","arbeitnehmer","arbeitslosigkeit","arbeitslosigkeit","arbeitslosen","menschen","menschen","arbeitsmarkt","rentenversicherung","kündigungsschutz","hartz","arbeitslosigkeit","bundesagentur","arbeitslosengeld","arbeitslosigkeit","ältere","rentenversicherung","rentenversicherung","beschäftigten","arbeitnehmer","rentenversicherung","arbeitnehmer","kolb","leiharbeit","minijobs","gewerkschaften","arbeitnehmer","sanktionen","gewerkschaften","rentenversicherung","riesterrente","nahles","altersarmut","arbeitgeber","arbeitnehmer","beschäftigten","arbeitslosengeld","grundsicherung","homeoffice","mitbestimmung","arbeit"
"9","frau","dm","dm","bundesarbeitsminister","dm","leistungen","leistungen","kalinke","rentenversicherung","sozialpolitischen","rente","rentenversicherung","kostenbeteiligung","sozialpolitik","geiger","sozialpolitik","kriegsopfer","versicherten","dm","renten","rente","beiträge","rentner","sozialpolitik","krankenversicherung","finanzänderungsgesetz","mischnick","kriegsopferversorgung","arbeitnehmer","anpassung","schellenberg","katzer","ehrenberg","beiträge","koalition","koalition","arbeitnehmer","arendt","arbeitnehmer","franke","arbeit","sozialen","arbeitnehmer","gesetzlichen","flexiblen","rentnern","rentner","krankenversicherung","arbeitnehmer","rentenanpassungsbericht","renten","ehrenberg","müller","sozialordnung","nürnberg","franke","sozialordnung","sozialordnung","rentner","sozialordnung","arbeitslosen","rente","rente","rentner","rentenversicherung","krankenversicherung","sozialordnung","dressler","versicherten","rentenversicherung","arbeit","arbeit","arbeitnehmer","abm","afg","leistungen","sozialhilfe","krankenversicherung","dressler","sozialordnung","rente","leistungen","arbeitgeber","schreiner","dm","rente","prozent","schwerbehinderten","altersvorsorge","arbeitsmarktpolitik","statistik","arbeitslosenhilfe","sozialhilfe","rente","arbeitnehmer","rente","ii","laumann","entsendegesetz","hartz","mindestlohn","rentenversicherung","kolb","arbeitsmarkt","arbeitnehmerinnen","altersvorsorge","kurzarbeit","kolb","lohn","altersarmut","gewerkschaften","beschäftigung","euro","erwerbsminderungsrente","arbeitgeber","leiharbeit","armut","dienst","arbeitgeber","menschen","befristungen","arbeitgeber","sozialstaat","weiterbildung","arbeitgeber","arbeitnehmer","gesetzliche","euro"
"10","rente","sozialpolitik","beiträge","rente","reform","sozialen","arbeiter","leistungen","arbeiter","reform","rentenversicherung","bilanz","ärzte","arbeiter","beiträge","stingl","sozialpolitik","dm","sonderzuschuss","rentenversicherung","kindergeld","rente","versicherten","sozialpolitischen","soziale","rente","krankenversicherung","versicherten","versicherungspflichtgrenze","kriegsopfer","sozialordnung","vorsorge","schellenberg","sozialordnung","rentnern","selbständigen","krankenversicherung","sozialen","müller","gesetzlichen","leistungen","gesetzlichen","sozialen","versicherten","beiträge","kriegsopferversorgung","rente","arbeit","alterssicherung","versicherten","sozialen","sicherung","leistungen","arbeitslosengeld","leistungen","rente","arbeitslosigkeit","arbeitslosigkeit","rente","bundesarbeitsminister","krankenversicherung","fuchs","arbeitgeber","fuchs","rente","arbeitslosigkeit","leistungen","bundesanstalt","sozialordnung","krankenkassen","angestellten","versorgung","gesundheitswesen","behinderten","rente","arbeitslosigkeit","sozialordnung","schreiner","pflege","arbeitgeber","arbeitgeber","rente","sozialhilfe","arbeitgeber","beschäftigung","beschäftigten","arbeitslosen","rentnerinnen","rentner","arbeitslose","arbeitslose","prozent","zeitarbeit","arbeitslosen","rentnerinnen","rentner","iv","arbeitgeber","beschäftigung","arbeitslosengeld","hartz","kolb","rentenversicherung","rentnerinnen","bundesagentur","beschäftigung","beschäftigung","arbeiten","löhne","beschäftigung","schlecker","leyen","beschäftigten","mütterrente","beschäftigten","nahles","arbeitgeber","menschen","altersarmut","prozent","befristung","heil","iv","löhne","beschäftigte","kurzarbeitergeld","arbeit","bürgergeld"
