"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","frau","antrag","frau","apotheke","sonntage","antrag","hubert","rezeptpflicht","ärzte","ausbildung","arzneimittel","ausbildung","frau","gesundheitswesen","frau","frau","gesundheitswesen","frau","frau","frau","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","familie","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","zander","ärzte","versorgung","ärzte","ausbildung","zander","psychisch","stoffe","krebs","krankenkassen","ärzte","arzneimittel","wein","biologisch","finanzausgleich","meeresschildkröten","arten","ärzte","ärzte","formaldehyd","tierversuche","ärzte","aids","bundesgesundheitsamt","gesundheit","aids","gentechnologie","gentechnik","arbeitsschutz","aids","menschlichen","ru","gentechnik","aids","gesundheit","verbraucher","seehofer","positivliste","krankenkassen","krankenkassen","tod","krankenkassen","seehofer","krankenversicherung","patienten","pflegeversicherung","patienten","gesundheitswesen","patienten","patienten","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","kolb","krankenversicherung","krankenkassen","patientenverfügung","pflege","patienten","krankenkassen","patienten","krankenversicherung","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","versorgung","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","dr","dr","umdruck","umdruck","dr","dr","abs","abs","frau","unertl","krankenanstalten","kollegin","apotheker","antrag","abs","arzneimitteln","arzneimittel","arzt","krankenpflege","arzneimittelgesetz","hubert","gesundheitswesen","frau","schwarzhaupt","gesundheitswesen","frau","gesundheitspolitik","gesundheitswesen","gesundheitswesen","jugend","familie","jugend","jugend","jugend","jugend","jugend","gesundheit","familie","jugend","jugend","jugend","gesundheit","versorgung","gesundheit","ärzte","erkrankungen","krankenpflege","gesundheit","kranken","chemikaliengesetz","lebensmitteln","krankenhäuser","selbstverwaltung","bundesgesundheitsamt","kontrolle","neumeister","bundesergänzungszuweisungen","washingtoner","tiere","arzt","arzneimittel","psychisch","ärzte","gesundheit","pflanzenschutzmittel","gesundheit","lebensmittel","krankheit","gentechnik","gentechnologie","embryonen","enquetekommission","risiken","zulassung","gentechnisch","gentechnik","blut","gesundheit","gesundheit","seehofer","seehofer","krankenversicherung","krankenversicherung","krankenversicherung","patienten","patienten","krankenversicherung","patienten","budgets","patienten","krankenversicherung","versorgung","krankenkassen","krankenversicherung","krankenversicherung","praxisgebühr","krankenkassen","krankenkassen","beitragssatz","krankenkassen","krankenversicherung","patienten","krankenkassen","krankenkassen","patienten","krankenversicherung","patienten","versicherten","pflege","patienten","praxisgebühr","praxisgebühr","patienten","patienten","versorgung","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","pflege","patienten","patienten","patienten","patienten","pflegekräfte"
"3","herr","herr","dr","präsident","abs","präsident","dr","dr","dr","antrag","präsident","gewerbeordnung","kanka","abs","arzt","abs","antrag","ärzten","krankenschwestern","gesundheit","schwarzhaupt","schulbildung","schwarzhaupt","gesundheitswesen","strobel","strobel","heuser","strobel","heuser","familie","jugend","familie","familie","familie","familie","familie","jugend","jugend","familie","familie","familie","arzneimittelsicherheit","prinz","patienten","medizinstudenten","rheumatischen","gesundheit","ärzte","versorgung","stoffen","krebsbekämpfung","gesundheit","arzneimittel","arzneimittelgesetz","tierarzneimitteln","lebensmittel","finanzausgleichs","arten","meeresschildkröten","tierversuche","tierversuche","versorgung","tier","kassenärztlichen","enquetekommission","rauchen","aids","enquetekommission","enquetekommission","risiken","forschung","gentechnik","pflanzenschutzmitteln","enquetekommission","arbeitsschutz","gesundheit","gentechnik","bundesgesundheitsamt","verbraucher","arzneimittel","krankenversicherung","seehofer","seehofer","gesundheit","krankenversicherung","zuzahlungen","gesundheitswesen","gesundheit","ärzte","ärzte","krankenkassen","krankenversicherung","patienten","gesundheitswesen","krankenkassen","krankenversicherung","versicherten","patienten","krankenversicherung","patienten","versicherten","versicherten","menschen","unfallversicherung","krankenversicherung","patientenverfügung","kopfpauschale","patienten","krankenkassen","ärzte","pflege","patientinnen","versorgung","hebammen","angehörigen","gesundheit","versorgung","hebammen","versorgung","pflegeversicherung","krankenversicherung","versorgung","versorgung","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","abs","präsident","präsident","dr","vizepräsident","abs","präsident","präsident","vizepräsident","kennzeichnungspflicht","herr","verordnungen","nr","arzneimittel","gesundheitsamt","arzneimittelgesetzes","arzneimitteln","berufsgenossenschaften","krankenhaus","gesundheitspolitik","gesundheitswesen","schwarzhaupt","ministerin","ministerin","ministerin","mangerkoenig","strobel","heuser","strobel","frau","strobel","westphal","krankenhäuser","umweltschutz","krankenhäuser","westphal","westphal","stoffe","wolters","arzneimittel","gesundheitswesens","jugend","gesundheit","arzt","logopäden","arzneimittel","ärzte","jugend","psychiatrie","gesundheit","cadmium","gesundheitswesen","kostendämpfung","arzneimittelgesetzes","weingesetz","lebensmitteln","ergänzungszuweisungen","tiere","tier","tiere","patienten","ärzte","arzneimittel","meldepflicht","lebensmittel","tierversuche","frau","gesundheit","bundesgesundheitsamt","gentechnikgesetz","tiere","technikfolgenabschätzung","aids","tiere","verbraucher","forschung","seehofer","seehofer","bse","krankenversicherung","gesundheit","versicherten","menschen","seehofer","krankenkassen","gesundheitswesen","krankenkassen","krankenkassen","gesundheitspolitik","versorgung","versicherten","versicherten","gesundheitswesen","krankenhäuser","versorgung","patienten","krankenversicherung","versicherten","gesetzlichen","versicherten","gesundheitsreform","pflege","pflegeversicherung","pflege","versicherten","menschen","versicherten","krankenkassen","versicherten","krankenkassen","krankenversicherung","krankenkassen","patientinnen","pflege","pflegebedürftigen","pflege","krankenhäuser","versorgung","krankenkassen","krankenversicherung","pflegeversicherung","ärzte","pflegeversicherung","patientinnen","versorgung","krankenhäuser","versorgung","pflegebonus"
"5","herren","vizepräsident","herr","herr","präsident","umdruck","umdruck","umdruck","abzulehnen","präsident","krankenhäuser","krabben","antrag","präsident","krankheiten","ärzte","contergan","fachlich","krankenschwester","hubert","hamm","hamm","hamm","hubert","schwarzhaupt","jugendherbergen","gesundheitswesen","gesundheit","mangerkoenig","westphal","psychisch","umweltschutz","strobel","umweltschutzes","westphal","diagnosezentren","drogen","waldes","bundesministerium","zander","versorgung","patienten","saynwittgensteinhohenstein","zander","gesundheit","patienten","krankenhaus","widerspruchslösung","krebsbekämpfung","industrie","krebsforschung","kostendämpfung","gesundheitswesen","patienten","verbraucher","patienten","horizontalen","tierarten","zulassung","bard","formaldehyd","gesundheit","tiere","chemischen","pflanzenschutzmitteln","befruchtung","bundesgesundheitsamt","freisetzung","risiken","forschung","arbeitsschutzes","gentechnologie","enquetekommission","tierschutz","forschung","verbraucher","blutprodukte","lebensmittel","rindfleisch","patienten","tod","gesundheitswesen","patienten","versicherten","gesundheitswesen","versorgung","versorgung","gesundheitspolitik","krankenversicherung","krankenkassen","gesundheitspolitik","gesundheitspolitik","gesetzlichen","krankenhäusern","gesundheitswesen","krankenkassen","zahnersatz","kassen","zöller","gesetzlichen","versorgung","reform","leistungen","ärzte","gesundheitsfonds","ärzte","rösler","gesetzlichen","krankenversicherung","pflege","patientinnen","ärzte","ärzte","krankenkassen","pflegeversicherung","prävention","patientinnen","krankenhäusern","versicherten","pflegekräfte","versorgung","spahn","ärzte","krankenkassen","krankenkassen","krankenversicherung","krankenhäusern","gesundheitswesen"
"6","vizepräsident","umdruck","abs","vizepräsident","abgeordnete","wort","vizepräsident","frau","regelung","stoffe","dittrich","antrag","herr","arzneimitteln","herr","antrag","hubert","verletzten","berufsausübung","hamm","frau","hubert","ausbildung","kollegin","rollmann","erlassen","ärzte","krankenhäuser","jungmann","strobel","frau","umwelt","ärzte","westphal","krankenhaus","dissertation","rauschmittel","wald","lebensmittelrechts","wolters","ärzte","familie","patienten","kassenärztlichen","arzt","rheumabekämpfung","krankenhäuser","krankenkassen","stoffe","tierversuche","patienten","chemischen","ärzten","arzneimitteln","gesundheit","chemischen","länder","chory","pflanzen","krankheiten","bundesgesundheitsamt","kranken","tierversuchen","krankheit","krankheit","dehp","pflanzenschutzmittel","gentechnologie","forschung","technikfolgenabschätzung","tier","krankheit","krankheit","präparat","gentechnikgesetz","prävention","bga","arzneimittel","kennzeichnung","gesundheit","bse","kassen","krankenkassen","patienten","versicherten","thomae","versicherten","krankenversicherung","versorgung","versicherten","versorgung","leistungen","krankenhäuser","leistungen","ärzte","pflege","gesetzlichen","gesundheit","lotz","ärzte","kassen","ärzte","krankenversicherung","pflegeversicherung","versorgung","versorgung","zusatzbeiträge","rösler","pflegeversicherung","versicherten","versicherten","versicherten","krankenhäuser","versicherten","gesundheit","krankenkassen","gröhe","altenpflege","pflegeversicherung","bürgerversicherung","patienten","altenpflege","vergütung","gesetz","gesundheitswesen","krankenhäusern","sana","krankenhäusern"
"7","präsident","abs","vizepräsident","wort","wort","damen","satz","vizepräsident","änderungsantrag","gesetz","nachholbedarfs","bier","präsident","elbrächter","pflegekinderschutz","arzneimittel","verantwortung","heilbehandlung","arzneimittel","bestellungen","beruf","ausbildung","hebammen","dr","kollegin","arzt","gesundheit","bechert","bevölkerung","mangerkoenig","psychiatrischen","strobel","mangerkoenig","bundesministerium","mangerkoenig","bundesgesundheitsamt","mangerkoenig","landschaftspflege","gesamtreform","gewässer","gesundheitswesen","abfälle","kassenärztlichen","krankenhaus","ambulanten","gesundheit","zander","patienten","gesundheit","chemische","huber","pflegesätze","fuchs","arzneimittelsicherheit","schartz","ärzte","förderabgabe","aussterben","pflanzenschutzmittel","patienten","arzt","krebserzeugend","patienten","wittmann","gesundheitswesen","wissenschaftler","lebensmitteln","tiere","technikfolgenabschätzung","enquetekommission","verbot","risiken","erkrankungen","tierversuche","patienten","hoechst","blutprodukten","medizinprodukte","lebensmittel","ärzte","menschen","gesetzlichen","hirntod","gesundheitswesen","zahnersatz","versicherten","pflegeversicherung","versorgung","krankenkassen","gesundheitspolitik","gesetzlichen","kranken","versorgung","versicherten","selbstverwaltung","gesetzlichen","ärzte","krankenversicherung","rentenversicherung","praxisgebühr","wettbewerb","pflegeversicherung","fonds","menschen","kassen","arzt","sozialausgleich","sozialausgleich","gesundheit","krankenversicherung","bahr","arzt","gesundheit","gröhe","versicherten","krankenhäuser","gesundheitswesen","gesundheit","pflegekräfte","krankenhäuser","altenpflege","versicherten","krankenversicherung","spahn","patientinnen","patientinnen","patientinnen","arbeitsbedingungen"
"8","wort","herren","schmid","bitten","bitten","abgeordnete","damen","bitten","fassung","umdruck","selbstverwaltung","dittrich","dittrich","sonntagen","präsident","frau","hersteller","zugelassen","ärzte","arzneimitteln","krankenschwester","krankenschwester","krankenhäuser","arzneibuch","bundesminister","rauchen","vorsorge","krankheiten","kollegin","ärzte","kranken","mangerkoenig","westphal","mangerkoenig","krankenhäusern","erkrankungen","bundesministerium","grundgesetzänderung","werbung","wald","krankenhäuser","prinz","abwasserabgabe","ärztlichen","jugend","zander","versorgung","krankenhaus","krebs","versorgung","gesundheit","aufklärung","krankenversicherung","zulassung","amtliche","zugelassen","finanzkraft","lebensmittel","paraquat","medizinischen","arzneimitteln","kranker","verbot","arzt","chemischen","freisetzung","krankheit","organismen","freisetzung","anwendung","enquetekommission","genomanalyse","pflanzenschutz","tieren","risiken","krankheit","bundesgesundheitsamt","tiere","verbraucherschutz","lohmann","organentnahme","gesundheit","gesundheitswesen","prävention","gesundheitspolitik","krankenkassen","patientinnen","arzneimittel","gesundheit","krankenversicherung","ärzte","chronisch","seehofer","gesetzlichen","gesetzlichen","kolb","versorgung","gesetzlichen","gesundheit","system","reform","krankenkassen","kassen","versorgung","krankenhäuser","medizinische","lauterbach","lauterbach","patientinnen","patientinnen","krankenkassen","krankenversicherung","prävention","qualität","patienten","ärzte","gesundheit","gesundheitswesen","gröhe","versicherten","krankenhäusern","krankenversicherung","spahn","pflegeversicherung","krankenhäusern","krankenkassen","kliniken","krankenhäuser"
"9","damen","schmid","wort","abgeordnete","abzulehnen","bitten","wort","abgeordnete","abgeordnete","stammberger","ortsklasse","borsäure","apotheken","lange","fassung","geöffnet","zollaufschublager","kreis","hubert","ärzte","ärzte","zehnjährige","offenbach","prinz","stoffe","ministerin","apotheker","ärzte","wein","meinecke","westphal","frau","gesundheitspolitik","umweltprogramm","abfallbeseitigung","bevölkerung","jugendarbeit","westphal","lebensmittel","arzneimitteln","ärztlichen","arzneimitteln","krankenhäuser","neumeister","hammans","gesundheitliche","krankenkassen","ärztlichen","ärzte","apotheken","bundesgesundheitsamt","gesundheitspolitik","kostendämpfungsergänzungsgesetz","schulze","fuchs","familie","bremen","höchstmengen","mittel","hartenstein","versorgung","patienten","tierschutzgesetz","menschen","anwendung","ärzte","aidspolitik","tierschutz","gesundheit","technik","krankheiten","kommission","erkrankung","methode","pflanzen","seehofer","lebensmittel","zulassung","positivliste","krankenkassen","gesundheitswesen","arzneimittel","medizinischen","gesundheitspolitik","gesundheit","zuzahlung","gesetzlichen","psychotherapeuten","leistungen","qualität","risikostrukturausgleich","seehofer","ärzte","krankenkassen","pflegeversicherung","seehofer","krankenhäuser","pflege","rentenpolitik","versorgung","gesetzlichen","sterben","versicherten","leistungen","ärzte","versicherten","krankenkassen","spahn","bahr","gesundheitswesen","ärzte","pflege","pflegeversicherung","gesundheit","gröhe","gesundheitskarte","krankenhäusern","patientinnen","psg","patienten","pflegebedürftigen","pflegekräfte","betreuer","masern","krankenhäuser","gesundheitswesen","krankenhaus","pflegenden"
"10","ziffer","änderungsantrag","lesung","damen","bedenken","herr","bitten","schwestern","spd","elbrächter","regierungsvorlage","lebensmittelgesetz","dr","gesetz","stammberger","änderungsantrag","verkehr","hamm","krankenhäusern","pflanzenschutzmittel","gesundheitspolitik","welter","kaiserslautern","bechert","arzneimittel","schoettle","krankheiten","minister","untersuchungen","versorgung","psychiatrie","umweltschutzes","krankenhaus","umwelt","ärzte","ärztlichen","naturschutz","naturschutz","westphal","arzneimittelsicherheit","zander","naturheilmittel","ärztlichen","krankenhäuser","approbationsordnung","fiebig","jugend","medizinischen","krankenkassen","unterausschuss","bestrahlung","stoffe","krankenkassen","stoffe","winzer","riedl","länderfinanzausgleich","staatssekretär","bundesanstalt","grossgeräte","frau","krebs","tierschutz","arten","meldepflicht","menschen","patienten","zwischenbericht","wissenschaft","wissenschaft","befruchtung","forschung","forschung","tierschutzgesetzes","blunck","gentechnikgesetzes","gentechnologie","blunck","horst","horst","ärzte","patienten","ärzte","gesetzlichen","versorgung","gesundheitspolitik","arzneimittel","gesundheitswesen","budgetierung","kassen","ministerin","gesundheitswesen","leistungen","arzneimittel","chronisch","gesundheitsreform","kopfpauschale","beiträge","gesundheitsreform","arzneimittel","patienten","menschen","versorgung","patientenverfügung","gesetzlichen","betroffenen","system","kopfpauschale","versorgung","leistungen","arzt","versorgung","leistungen","patientinnen","prävention","krankenversicherung","kleinschmeink","kleinschmeink","forschung","leistungen","krankenkassen","krankenkassen","patientinnen","pflegekräfte","krankenhaus","gesetzlichen","pflegekräfte","versorgung"
