"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","ausschuss","frage","möchte","glaube","parlament","parlament","parlament","glaube","öffentlichkeit","öffentlichkeit","verwaltungen","glaube","prüfung","geschlechtskrankheiten","kommission","kommission","finanzreform","urheber","diäten","wochenschau","urheber","bier","ausrüstungshilfe","orchester","entwicklungshilfe","entwicklungshelfer","eppler","eppler","eppler","schriftsteller","entwicklungshilfe","entwicklungspolitik","wirtschaftliche","künstler","verhaltensregeln","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","bundesrechnungshof","köhler","entwicklungspolitik","nairobi","entwicklungshilfe","afrika","nationen","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","entwicklungspolitik","entwicklungspolitik","libanon","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","welt","menschenrechte","krieg","menschenrechte","nationen","menschenrechte","nationen","entwicklungspolitik","nationen","entwicklungspolitik","menschenrechte","menschenrechte","menschenrechte","china","entwicklungspolitik","menschenrechte","kosovo","kosovo","afrika","menschenrechte","kosovo","afghanistan","terrorismus","irak","krieg","afghanistan","afrika","russland","china","afghanistan","iran","nationen","afrika","russland","kosovo","russland","iran","abrüstung","israel","saudiarabien","russland","kosovo","russland","syrien","ukraine","syrien","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","glaube","möchte","meinung","frage","möchte","möchte","glaube","ausschüssen","worden","parlament","kabinett","gebrauch","beamten","geschichtsklitterung","beweiswürdigung","finanzreform","sachverständigenkommission","eid","urheberrecht","abgeordneten","oberpostdirektionsbezirke","künstler","stein","ausbildungshilfe","gasturbine","entwicklungsländern","entwicklungshilfe","entwicklungshilfe","zusammenarbeit","wirtschaftliche","entwicklungsländer","wirtschaftliche","entwicklungshilfe","zusammenarbeit","eppler","geschäftsordnungsausschuss","entwicklungspolitik","eppler","eppler","zusammenarbeit","entwicklungshilfe","entwicklungshilfe","entwicklungsländer","entwicklungsländer","entwicklungsländer","vereinten","afrika","vereinten","welt","entwicklungspolitik","entwicklungspolitik","welt","entwicklungsländern","entwicklungshilfe","entwicklungsländern","entwicklungspolitik","entwicklungshilfe","entwicklungsländern","nicaragua","welt","südafrika","welt","welt","menschenrechte","entwicklungsländer","menschenrechte","welt","namibia","vereinten","khmer","irak","kuwait","türkei","welt","nationen","vereinten","menschenrechte","vereinten","welt","nationen","china","afrika","menschenrechte","entwicklungszusammenarbeit","kosovo","nato","nationen","kosovo","entwicklungszusammenarbeit","menschenrechte","terrorismus","nato","terrorismus","afrika","terrorismus","staaten","terrorismus","menschenrechte","entwicklungszusammenarbeit","staaten","vereinten","russland","pakistan","china","nato","kosovo","entwicklungszusammenarbeit","aussenpolitik","region","entwicklungszusammenarbeit","iran","nationen","region","russland","russland","ukraine","syrien","syrien","syrien","türkei","türkei","türkei","iran","syrien","sudan","türkei","ukraine","russland"
"3","frage","glaube","glaube","glaube","darauf","glaube","regierung","hause","ausschüssen","parlaments","jedenfalls","berechtigten","überprüfung","fsk","vereine","expertenkommission","lehrpersonen","planstelle","wahlkreise","aufwandsentschädigung","buchhandlung","urheberrecht","übereinkommen","ausrüstungs","werke","projekten","wischnewski","entwicklungsdienst","wirtschaftliche","entwicklungshilfe","wirtschaftliche","eppler","eppler","entwicklungsländern","wirtschaftliche","experten","entwicklungsländer","wirtschaftliche","entwicklungspolitik","wirtschaftliche","wolfsburg","entwicklungsländer","todenhöfer","entwicklungspolitik","entwicklungspolitik","afrika","entwicklungsländer","nationen","entwicklungshilfe","entwicklungshilfe","welt","entwicklungsländer","zusammenarbeit","welt","zusammenarbeit","welt","zusammenarbeit","iwf","afrika","afghanistan","afrika","vereinten","menschenrechte","chile","chile","welt","chile","welt","namibia","entwicklungspolitik","welt","irak","nationen","vereinten","hilfe","welt","afrika","entwicklungspolitik","menschenrechte","vereinten","welt","entwicklungspolitik","vereinten","irak","vereinten","menschenrechte","vereinten","menschenrechte","afrika","nationen","mazedonien","afghanistan","afghanistan","kongo","russland","afghanistan","afghanistan","vereinten","kosovo","nationen","israel","afrikanischen","afrika","israel","staaten","regierung","aussenpolitik","kosovo","libyen","entwicklungspolitik","vereinten","syrien","türkei","syrien","ukraine","türkei","is","russland","russland","hilfe","russland","syrien","nato","russland","syrien","nationen","israel","putin"
"4","möchte","frage","ausschuss","darauf","dinge","darauf","möchte","worden","parlaments","hause","kommission","reihe","dorls","ermessensbildung","auftrag","sachverständigenkommission","mitbürger","pharisäisch","urheberrechts","altersversorgung","betrag","urhebers","strafsachen","hersteller","dieselaggregate","entwicklungshilfepolitik","entwicklungsländern","entwicklungsländern","entwicklungshilfe","zusammenarbeit","entwicklungshilfe","entwicklungspolitik","kiep","freyh","verwertungsgesellschaften","damen","eppler","jugoslawien","todenhöfer","brück","todenhöfer","bahr","narjes","brück","entwicklungsländern","entwicklungsländer","entwicklungsländern","entwicklungsländern","staaten","welt","entwicklungsländer","entwicklungsländern","dritten","entwicklungsländern","welt","entwicklungsländer","köhler","welt","salvador","nicaragua","entwicklungsländer","nationen","afghanistan","sanktionen","entwicklungsländern","nicaragua","entwicklungsländer","südafrika","china","nationen","nationen","nationen","jugoslawien","jugoslawien","welt","menschenrechte","nationen","welt","nationen","china","chinesischen","china","nationen","nationen","internationalen","milosevic","krieg","russland","entwicklungspolitik","vereinten","internationalen","internationalen","krieg","nato","irak","afrikanischen","menschenrechte","nationen","internationalen","vereinten","region","darfur","afghanistan","staaten","pakistan","internationalen","atomwaffen","nato","arabischen","aussenpolitik","staaten","vereinten","russland","afrika","hilfe","afrika","saudiarabien","humanitäre","is","frieden","region","vereinten","saudiarabien","iran","region","vereinten","frieden","krieg"
"5","dinge","darauf","möchte","worden","meinung","meinung","schon","parlaments","schon","ausschüssen","glaube","sache","vorschlägen","filmselbstkontrolle","einkommensbegrenzung","exekutive","angeschlossen","anspruch","neueinteilung","mandat","künstler","werke","budde","afrika","dokumentation","entwicklungsdienst","entwicklungsdienst","wirtschaftliche","kapitalhilfe","gawi","zusammenarbeit","guinea","entwicklungsländer","staatssekretärin","zusammenarbeit","flugzeug","wirtschaftliche","zusammenarbeit","zusammenarbeit","rechnungshof","matthöfer","entwicklungsländern","entwicklungsländern","zusammenarbeit","befreiungsbewegungen","entwicklungspolitik","befreiungsbewegungen","flüchtlinge","südafrika","entwicklungsländern","dritten","entwicklungshilfe","welt","entwicklungsländer","echternach","handwerk","welt","unctad","region","dritten","dritten","afghanistan","entwicklungsländer","welt","welt","staaten","dritten","menschenrechtsverletzungen","menschenrechte","südafrika","vereinten","jugoslawien","vereinten","menschenrechte","vereinten","uno","china","menschenrechte","internationalen","welt","tibet","staaten","indonesien","vereinten","nationen","krieg","internationalen","kuba","jugoslawien","mazedonien","krieg","afrika","internationalen","irak","menschenrechte","moldau","irak","staaten","vereinten","menschenrechte","libanon","iran","china","streumunition","region","indien","internationalen","entwicklungszusammenarbeit","ägypten","vereinten","nationen","staaten","libanon","aussenpolitik","irak","waffen","nationen","türkischen","irak","humanitäre","irak","nationen","region","region","russland","iran","russischen","waffen"
"6","ja","fragen","dinge","fragen","darüber","minister","öffentlichkeit","bundestag","minister","darstellung","vielleicht","plenum","matzner","voraussehen","herr","auftrag","interministeriellen","bedauerlicherweise","hannover","tagegeldpauschale","bücher","geräte","buch","besucher","prochazka","geberländer","entwicklungsdienstes","gemmingen","technische","kapitalhilfe","entwicklungspolitik","zusammenarbeit","entwicklungsländern","eppler","bildenden","schiffahrt","zusammenarbeit","minister","wirtschaftliche","entwicklungsländer","sondergeneralversammlung","todenhöfer","konferenz","afrika","südlichen","entwicklungsländern","entwicklungshilfe","welt","entwicklungsländer","hilfe","afrikanischen","zusammenarbeit","entwicklungshilfe","zusammenarbeit","picotrac","dritten","verpflichtungsermächtigungen","belgrad","el","zusammenarbeit","guatemala","dritten","entwicklungspolitik","menschenrechtsverletzungen","prensa","chile","apartheid","afghanistan","welt","menschenrechte","kuwait","welt","welt","china","jugoslawien","somalia","vereinten","afrika","vereinten","lateinamerika","entwicklungspolitik","indonesien","internationalen","welt","entwicklungspolitik","jugoslawien","menschenrechte","krieg","internationalen","nato","welt","frieden","nationen","nationen","internationalen","region","internationalen","entwicklungszusammenarbeit","zusammenarbeit","usa","afghanistan","staaten","menschenrechte","russland","israel","staaten","haiti","nationen","waffen","nationen","entwicklungszusammenarbeit","waffen","staaten","türkei","humanitäre","syrien","vereinten","hilfe","hilfe","waffen","humanitäre","aussenpolitik","türkei","irak","nationen","nawalny","krieg","nato"
"7","regierung","dinge","fragen","hause","jedenfalls","dinge","worden","dinge","öffentlichkeit","aufmerksamkeit","bundesverwaltung","eindruck","sicherlich","mag","entschliessungsantrag","material","beurteilt","verpackten","wahlkreis","dm","bildenden","verwertungsgesellschaften","kollege","wischnewski","fragebögen","wischnewski","einwohnern","entwicklungsdienstes","schriftsteller","entwicklungsländern","entwicklungsländern","brück","chile","entwicklungshilfe","verwertungsgesellschaft","lohnintensiven","chile","gutachten","jugoslawien","entwicklungsländern","entwicklungsländer","entwicklungspolitischen","welt","entwicklungsländern","schwarzen","welt","welt","entwicklungshilfe","vereinten","dritten","entwicklungsländern","ärmsten","internationalen","dritten","entwicklungsländer","global","dritten","dritten","welt","währungsfonds","entwicklungsländern","zusammenarbeit","nicaragua","namibia","la","entwicklungsländer","menschenrechte","nationen","südafrika","entwicklungshilfe","internationalen","saddam","entwicklungspolitik","südafrika","somalia","entwicklungspolitik","entwicklungszusammenarbeit","gorazde","jugoslawien","internationalen","entwicklungszusammenarbeit","welt","uno","staaten","milosevic","flüchtlinge","flüchtlinge","china","nationen","internationalen","nationen","krieg","menschenrechte","armut","entwicklungszusammenarbeit","internationalen","entwicklungszusammenarbeit","region","entwicklungspolitik","russland","kongo","china","aussenpolitik","lateinamerika","indien","region","kosovo","iran","vereinten","welt","region","region","kosovo","staaten","türkei","region","waffen","libanon","humanitäre","syrien","südsudan","iran","usa","aussenminister","vereinten","aussenpolitik","putin","russischen"
"8","sagen","darüber","darüber","dinge","öffentlichkeit","sache","darauf","öffentlichkeit","ganz","eindruck","parlaments","dinge","dienst","interministeriellen","referat","dienst","stunde","referat","urhebers","bezüge","zuungunsten","schutzfrist","heisenberg","hilfe","gasturbinen","brück","rückkehr","entwicklungshelfer","hilfe","hilfe","künstler","schriftsteller","wirtschaftliche","entwicklungsländer","schriftsteller","fernsehanstalten","kapitalhilfe","seeschiffahrt","minister","entwicklungshilfe","zusammenarbeit","entwicklungshelfer","delegation","welt","südafrika","entwicklungshilfe","vereinten","entwicklungsländer","dritten","internationalen","zusammenarbeit","hilfe","pohlmeier","entwicklungspolitischen","hilfe","armut","wirtschaftliche","industrieländer","entwicklungshilfe","entwicklungspolitik","nicaragua","afrika","staaten","apartheid","staaten","hilfe","staaten","entwicklungsländer","zusammenarbeit","roten","golf","vereinten","staaten","afrika","humanitäre","hilfe","asien","ruanda","entwicklungsländer","uno","kinkel","kinkel","uboote","algerien","indien","nationen","osze","entwicklungszusammenarbeit","iwf","region","nato","nationen","frieden","internationalen","nationen","menschenrechte","nationen","aufhebung","nationen","belarus","staaten","nationen","staaten","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","aussenminister","region","tunesien","arabischen","russland","israel","serbien","humanitäre","waffen","staaten","irak","erdogan","aussenpolitik","krieg","is","krieg","humanitäre","ukraine","humanitäre","usa","russische","frieden"
"9","hause","hause","hause","öffentlichkeit","parlament","ausschüsse","erst","schon","fragen","möchte","hause","parlaments","gesamtdisparität","freiwilligen","aufgabenstellung","unterworfen","koblenz","sorge","künstler","monatlich","flensburg","alterskassen","dosen","somalia","bühne","staatsprüfung","methoden","entwicklungsländer","entwicklungshelfer","bundesminister","kapitalhilfe","entwicklungsländern","zusammenarbeit","experten","schober","wahlprogramm","entwicklungsländern","bundesrechnungshof","hilfe","kredit","stahl","zusammenarbeit","weltwirtschaftsordnung","köhler","todenhöfer","dritten","nationen","hilfe","afrikanischen","nationen","entwicklungsbank","dritten","zuwachsraten","hilfe","kakaoabkommen","entwicklungshilfe","entwicklungspolitischen","währungsfonds","südlichen","entwicklungsländern","zusammenarbeit","entwicklungsländer","internationalen","staaten","entwicklungshilfe","afrika","entwicklungspolitik","flüchtlinge","region","vereinten","staaten","kurden","china","konferenz","auswärtigen","entwicklungsländern","welt","entwicklungsländer","krieg","chinesischen","burundi","menschenrechtspolitik","beziehungen","menschenrechte","entwicklungszusammenarbeit","vereinten","osttimor","region","vereinten","milosevic","staaten","staaten","welt","entwicklungspolitik","vereinten","sudan","tschetschenien","waffen","internationale","terrorismus","aussenpolitik","menschenrechte","nationen","nationen","internationalen","kenia","staaten","internationalen","nationen","israel","südsudan","entwicklungszusammenarbeit","china","eu","region","humanitäre","region","krieg","aleppo","region","waffen","frieden","aussenpolitik","aussenpolitik","israel","staaten","aussenpolitik","russische"
"10","darüber","durchaus","worden","meinung","worden","hause","minister","arbeiten","spricht","worden","dienst","eingehend","verantwortung","fachausschüssen","daraufhin","steuerreform","schuldigen","worüber","niedersachsen","hauses","bundestages","rechte","dienstag","geliefert","deutschösterreichischen","ladenschlussgesetzes","rückgliederung","hilfe","herr","wolf","schober","kiep","welt","lauterbach","entwicklungsländern","symmetrie","hilfe","kredit","entwicklungsländer","entwicklungspolitik","entwicklungsländern","welt","industrieländer","todenhöfer","welt","gatt","rohstoffe","staaten","nationen","vereinten","afrika","länder","entwicklungsländer","nichtregierungsorganisationen","israelischen","zusammenarbeit","holtz","zusammenarbeit","dritten","iwf","warnke","uno","terrorismus","entwicklungsländer","unctad","sanktionen","schwarzen","entwicklungsländern","chinesischen","salvador","saddam","hussein","entwicklungshilfe","entwicklungsländern","menschenrechtsverletzungen","jugoslawien","jugoslawien","staaten","entwicklungszusammenarbeit","internationale","entwicklungsländern","aussenminister","bundesregierung","kosovo","staaten","militärische","entwicklungsländer","tschetschenien","aussenpolitik","krieg","vereinten","welt","nato","entwicklungszusammenarbeit","entwicklungspolitik","internationale","russischen","lateinamerika","afghanischen","internationalen","iran","regierung","krieg","serbien","krieg","russland","entwicklungspolitik","hamas","israel","niebel","waffen","auswärtigen","waffen","frieden","flüchtlinge","hilfe","russland","libyen","nationen","vereinten","nationen","hilfe","nationen","maas","frieden","syrien","türkei","europa"
