"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","volk","volk","volk","volkes","politischen","politischen","politischen","volk","freiheit","freiheit","volk","volk","freiheit","freiheit","volkes","volkes","freiheit","volkes","volkes","volk","volk","regierungserklärung","volk","regierungserklärung","menschen","demokratie","demokratie","volk","menschen","bundeskanzler","demokratie","demokratie","freiheit","demokratie","bundeskanzler","freiheit","freiheit","verfassung","staat","freiheit","freiheit","freiheit","freiheit","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","geschichte","menschen","ddr","ddr","menschen","menschen","geschichte","menschen","menschen","menschen","verfassung","menschen","menschen","menschen","erklärung","geschichte","kultur","demokratie","geschichte","mahnmal","opfer","demokratie","opfer","freiheit","antisemitismus","kultur","jüdischen","antisemitismus","opfer","kultur","berliner","mauer","muslime","islam","opfer","demokratie","ddr","juden","grundgesetz","versöhnung","stiftung","roma","opfer","roma","beschneidung","aufarbeitung","ruanda","roma","israel","ddr","völkermord","religionsfreiheit","antisemitismus","afd","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","volk","deutschen","deutschen","volkes","volk","menschen","volkes","volk","freiheit","volk","volkes","deutschen","freiheit","volk","volkes","volk","freiheit","volkes","unseres","freiheit","volkes","freiheit","volkes","volkes","parteien","politischen","nation","politischen","volkes","nation","volk","nation","menschen","menschen","freiheit","demokratie","bundeskanzler","bundeskanzler","demokratie","freiheit","demokratischen","partei","brandt","bundeskanzler","demokratie","freiheit","partei","freiheit","partei","partei","partei","partei","demonstration","menschen","menschen","partei","neuwahlen","partei","menschen","demokratie","menschen","vogel","geschichte","geschichte","geschichte","menschen","demokratie","menschen","ddr","menschen","menschen","demokratie","deutschen","menschen","gewalt","gewalt","demokratie","menschen","demokratie","einheit","deutschen","menschen","menschen","menschen","geschichte","demokratie","demokratie","deutschen","jüdischen","islam","demokratie","demokratie","demokratie","juden","juden","kultur","leitkultur","geschichte","opfer","islamischen","muslime","genitalverstümmelung","osze","gysi","geschichte","freiheit","stiftung","religionsfreiheit","türkei","aufarbeitung","ungarn","aufarbeitung","ddr","geschichte","sinti","ddr","opfer","geschichte","religion","geschichte","antisemitismus","stiftungen","grundgesetz","afd","afd","afd","antisemitismus","freiheit"
"3","menschen","menschen","menschen","welt","menschen","freiheit","freiheit","menschen","volkes","volkes","staat","volkes","volkes","volkes","staat","freiheit","unseres","volk","freiheit","staat","menschen","menschen","volk","freiheit","koalition","regierungserklärung","volk","politische","demokratie","politischen","freiheit","bundeskanzler","freiheit","politik","bundeskanzler","partei","staat","demokratie","freiheit","demokratie","staat","sozialismus","sozialismus","demokratie","freiheit","demokratie","demokratie","partei","freiheit","geschichte","generation","jungen","partei","partei","politik","brandt","partei","demokratie","politik","partei","volk","brandt","menschen","menschen","demokratie","demokratie","politischen","deutschen","freiheit","deutschen","deutschen","freiheit","polen","ddr","deutschland","geschichte","geschichte","geschichte","sudetendeutschen","geschichte","sudetendeutschen","tschechischen","ausstellung","demokratie","deutschen","berlin","bonn","stiftung","geschichte","deutschen","geschichte","israel","freiheit","kultur","entschädigung","geschichte","geschichte","kultur","islam","demokratie","demokratie","demokratie","opfer","genitalverstümmelung","jüdischen","türkei","vertreibung","christen","christen","geschichte","türkei","ddr","geschichte","ddr","opfer","aufarbeitung","geschichte","opfer","christen","beck","religionsfreiheit","afd","geschichte","opfer","opfer","freiheit","afd","geschichte"
"4","deutsche","volkes","welt","deutschen","deutschen","volkes","volk","staat","welt","menschen","volk","freiheit","deutschen","politik","volk","welt","volk","staat","volk","volk","freiheit","volkes","gesellschaft","politischen","bundeskanzler","regierung","generation","bildung","politischen","demokratie","volkes","menschen","staat","staat","staat","wähler","regierungserklärung","staat","staat","brandt","demokratie","demokratie","partei","partei","staat","kohl","freiheit","staat","demokratie","freiheit","kohl","generation","brandt","politik","generation","politik","regierung","freiheit","vogel","brandt","geschichte","politik","volkes","demokratie","politischen","politischen","menschen","demokratie","geschichte","freiheit","freiheit","deutschen","geschichte","deutschen","demokratie","deutschen","gewalt","enquetekommission","vertreibung","demokratie","geschichte","geschichte","wehrmacht","geschichte","freiheit","freiheit","geschichte","geschichte","kultur","deutsche","kultur","geschichte","deutsche","opfer","kultur","bundespräsident","demokratie","israel","demokratie","kultur","christen","christen","freiheit","opfer","opfer","ddr","flucht","ddr","religionsfreiheit","akten","namibia","juden","vertreibung","völkermord","geschichte","geschichte","damals","polen","geschichte","ukraine","christen","religionsfreiheit","freiheit","geschichte","geschichte","opfer","geschichte","opfer"
"5","volkes","politischen","volkes","menschen","staat","volk","welt","unserer","menschen","politik","politik","politischen","welt","politischen","welt","politischen","politik","leben","welt","parteien","unseres","staat","freiheit","staat","volk","koalition","menschen","parteien","nation","generation","politischen","volk","politischen","demokratie","menschen","mehr","politik","demokratischen","grundgesetz","partei","bundeskanzler","kommunisten","demokratie","staat","partei","brandt","kohl","geschichte","brandt","politischen","jungen","politik","freiheit","staat","jungen","kohl","helmut","kohl","partei","demokratischen","demokratie","politischen","demokratie","kultur","menschen","geschichte","politische","bundeskanzler","deutschen","demokratie","geschichte","verfassung","deutschland","demokratie","deutschen","ddr","kultur","einheit","geschichte","freiheit","opfer","demokratie","opfer","kulturpolitik","menschen","gedenkstätten","denkmal","demokratie","opfer","rechtssicherheit","deutschen","möllemann","geschichte","deutschland","opfer","stiftung","tempelhof","religionsunterricht","kultur","palast","dialog","religionsfreiheit","geschichte","gregor","aufarbeitung","verfassung","türkei","freiheit","geschichte","reformation","ungarischen","ungarn","staatsleistungen","aufarbeitung","ddr","völkermord","deutschen","sowjetunion","freiheit","opfer","israel","islam","opfer","meinungsfreiheit","freiheit","geschichte","freiheit","afd"
"6","demokratie","welt","politischen","deutsche","deutsche","deutschen","unserer","volkes","politischen","deutschen","welt","leben","spanien","menschen","unseres","deutschland","demokratischen","demokratischen","politik","unseres","staat","unsere","staat","bundeskanzler","politischen","volk","staat","menschen","bundeskanzler","politische","demokratie","politik","gesellschaft","bundeskanzler","demokratischen","politik","menschen","partei","demokratischen","demokratischen","menschen","bundeskanzler","sozialdemokraten","brandt","demokratischen","partei","parteien","demokratie","geschichte","brandt","freiheit","staat","politik","bürger","partei","demokratie","politik","politik","demokratie","politischen","politik","unseres","volk","vogel","volk","politische","politik","politischen","kultur","geschichte","demokratie","deutschland","deutsche","freiheit","geschichte","deutschland","verfassung","demokratie","leben","deutschen","tschechischen","sudetendeutschen","deutschen","opfer","einheit","deutschen","juden","menschen","jüdische","polen","deutsche","gesellschaft","deutschen","leben","denkmal","seddiktatur","stiftung","staat","islamismus","geschichte","religion","freiheit","aufarbeitung","elser","antisemitismus","demokratie","vertriebenen","religion","sinti","bnd","sinti","geschichte","juden","opfer","kirchen","juden","einheit","versöhnung","opfer","juden","demokratie","freiheit","afd","freiheit","juden","deutschen","juden","deutschen"
"7","deutschland","unseres","unseres","unsere","unseres","staat","menschen","freiheit","politik","welt","bundespräsidenten","politik","politischen","welt","deutschen","politik","staat","menschen","demokratischen","demokratischen","parteien","leben","unseres","unserer","regierung","politik","bundeskanzler","mitbestimmung","drüben","volkes","politik","freiheit","bundeskanzler","demokratischen","volk","regierung","ordnung","brandt","partei","bundeskanzler","unserer","staat","staat","kohl","brandt","staat","staat","menschen","politik","verfassung","politik","menschen","menschen","generation","damen","helmut","kohl","staat","politischen","parteien","vogel","geschichte","juden","volk","gewalt","politik","geschichte","ddr","demokratie","einheit","einheit","geschichte","heimat","deutschland","bundeskanzler","demokratie","deutschland","grundgesetz","deutschen","ddr","demokratie","deutschtschechischen","demokratie","deutschen","demokratischen","einheit","opfer","freiheit","deutschen","geschichte","denkmal","berliner","kunst","zentralrat","jüdischen","ddr","muslime","werte","ddr","dialog","aufarbeitung","ddr","denkmal","staatssicherheit","ddr","stiftung","steinbach","bäume","polen","freiheit","kloster","kirchen","kirchen","gedenken","liebknecht","opfer","freiheit","deutschen","religions","demokratie","juden","chemnitz","grundgesetzes","antisemitismus","thüringen","rassismus","sprache","aufarbeitung"
"8","politischen","unserer","staat","politischen","politischen","welt","unsere","deutschen","unserer","unsere","menschen","menschen","politik","deutschland","deutsche","deutsche","gegner","volke","deutschland","leben","demokratischen","not","kanzler","unseres","politik","bundeskanzler","politischen","freiheit","menschen","bundeskanzler","menschen","volkes","unserer","politischen","politik","unseres","unserer","menschen","politischen","politischen","politischen","brandt","menschen","parteien","parteien","menschen","brandt","bürger","menschen","demokratischen","demokratie","gesellschaft","spd","freiheit","gewalt","staat","wähler","menschen","unseres","volk","kohl","menschen","unserer","kohl","demokratischen","staat","demokratischen","freiheit","volk","bundeskanzler","deutschland","einheit","kultur","einheit","leben","bundeskanzler","volk","freiheit","demokratischen","enquetekommission","leben","deutschen","verbrechen","kulturellen","diktatur","menschen","deutschen","deutsche","menschen","demokratie","opfer","juden","opfer","deutsche","berliner","freiheit","sprache","mauer","berliner","berliner","islamkonferenz","verfolgung","ddr","geschichte","demokratie","opfer","bdv","opfer","opfer","ddr","mor","jüdischen","sowjetunion","wurden","weltgemeinschaft","religionsfreiheit","stiftung","armeniern","ostpolitik","freiheits","sprache","religion","verfassung","menschen","partei","christen","deutschen","religionsfreiheit"
"9","welt","unsere","freiheit","freiheit","welt","zenker","opfer","welt","unsere","politischen","demokratie","deutschland","menschen","deutschen","leben","staat","deutschland","unseres","deutsche","menschen","volke","welt","unserer","drüben","partei","volkes","volkes","partei","unserer","volk","politische","politischen","unseres","solidarität","nation","wer","politischen","ordnung","unserer","verfassung","parteien","sozialdemokraten","gesellschaft","staates","volk","staates","geschichte","volk","demokratischen","demokratie","staat","demokratie","kohl","führung","demokratie","volk","menschen","vogel","helmut","vogel","brandt","volk","vogel","demokratischen","unseres","ddr","deutschen","berlin","deutsche","demokratischen","volk","ddr","ddr","deutsche","deutsche","leben","deutschen","ddr","freiheit","leben","denkmal","unrecht","volk","leben","opfer","kultur","freiheit","verantwortung","berliner","entschädigung","terrors","kultur","kulturelle","geschichte","geschichte","leben","opfer","opfer","büttner","böger","muslimen","mädchen","heute","demokratie","erinnerung","genitalverstümmelung","stasi","versöhnung","ungarn","türkei","polen","religionsfreiheit","korea","revolution","aufarbeitung","befreiung","helmut","aufarbeitung","polen","damals","gewalt","geschichte","ddr","juden","juni","volk","meinungsfreiheit","diskriminierung"
"10","unseres","deutsche","deutsche","staat","freiheit","deutsche","politik","unsere","staat","unseres","politischen","unsere","staat","unsere","menschen","unseres","deutschen","welt","staat","staates","welt","rechtsstaat","menschen","menschen","volkes","nation","unsere","npd","staat","staat","unseres","parteien","shb","unserer","lande","staat","demokratischen","unserer","gesellschaft","gesellschaft","herren","parteien","parteien","bürger","menschen","politischen","kommunisten","generation","unsere","kommunisten","brandt","geschichte","kommunisten","kohl","staat","koalition","brandt","volk","volk","unseres","volkes","partei","freiheit","politischen","politische","kultur","vogel","deutschland","politischen","volk","deutsche","deutsche","leben","enquetekommission","demonstration","freiheit","freiheit","deutschen","opfer","deutschlands","volk","tschechen","leben","freiheit","guernica","reichstag","menschen","volk","leben","menschen","kulturen","architektur","demokratischen","demokratie","homosexuellen","gedenkstätten","berliner","beziehungen","deutschen","pressefreiheit","opfer","religion","freiheits","aufarbeitung","jüdische","grundgesetzes","aufarbeitung","vertreibung","charta","aufklärung","ungarische","religion","akten","jüdischen","kirche","beziehungen","heute","erinnerung","weltanschauungsfreiheit","kohl","geschichte","juden","gewalt","ddr","jüdischen","muslime","religionsfreiheit","religion"
