"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","länder","länder","länder","länder","länder","forschung","länder","wissenschaft","bund","neubau","länder","hochschulen","wissenschaftlichen","länder","radioaktivität","studenten","hochschulen","wissenschaft","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","hochschulen","wissenschaft","bildung","wissenschaft","wissenschaft","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","studenten","ausbildungsplätze","bildung","schulen","studenten","gesamtschule","hochschulen","bildung","bildung","bildung","bildung","studenten","bildung","bildung","ausbildung","ausbildung","ausbildung","ausbildung","hochschulen","ausbildung","mädchen","ausbildung","bildung","ausbildung","hochschulen","ausbildung","bildung","bildung","ausbildung","ausbildung","bildung","bildung","bildung","ausbildung","ausbildung","bildung","bildung","hochschulen","rüttgers","ausbildung","hochschulen","hochschulen","bildung","ausbildung","ausbildung","forschung","hochschulen","bildung","bildung","bildung","ausbildung","bildung","hochschulen","forschung","forschung","forschung","forschung","forschung","forschung","forschung","ausbildung","bildung","bildung","bildung","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","bildung","ausbildung","bildung","bildung","bildung","bildung","bafög","bildung","ausbildung","schulen","bildung","bildung"
"2","bund","bund","bund","bund","bund","bund","wissenschaft","bund","forschung","ländern","instituts","bund","kulturpolitik","hochschulen","ausbildung","bund","hochschulen","wissenschaft","schulen","wissenschaft","bund","wissenschaft","wissenschaft","stoltenberg","wissenschaftliche","hochschulen","hochschulen","wissenschaftliche","wissenschaftliche","clausus","bildung","wissenschaft","bildung","bildung","wissenschaft","universität","wissenschaft","studenten","bildungsgesamtplan","bildung","ausbildung","ausbildung","beruflichen","bildung","bildung","bildungspolitik","ausbildung","bildung","schule","bildung","jungen","studenten","ausbildung","ausbildung","hochschulen","bafög","wilms","ausbildungsplätze","jugendlichen","jugendlichen","hochschulen","ausbildung","jugendlichen","bildung","bildung","jugendlichen","jugendlichen","möllemann","bildung","weiterbildung","ausbildung","bildung","jugendlichen","ausbildung","hochschulen","ausbildung","bildung","bildung","bafög","ausbildung","rüttgers","ausbildung","bildung","rüttgers","rüttgers","forschung","jugendlichen","bildung","bildung","bulmahn","ausbildung","schulen","forschung","ausbildungsplätze","forschung","forschung","bildung","hochschulen","bafög","bildung","bildung","bildung","bildung","forschung","forschung","hochschulen","hochschulen","forschung","forschung","forschung","bildung","forschung","bildung","forschung","hochschulen","ausbildung","forschung","bildung","forschung","forschung","bafög","hochschulen","bildung","ausbildung","bildung","bildung","handwerk","bafög"
"3","ländern","ländern","ländern","vermittlungsausschuss","vermittlungsausschuss","ländern","bund","ländern","hochschulen","gemeinden","institut","studenten","wissenschaftlichen","studenten","entwicklungsländern","kulturpolitik","länder","forschung","hochschulen","bund","wissenschaft","hochschulen","hochschulen","wissenschaftliche","stoltenberg","raumfahrtindustrie","wissenschaftliche","stoltenberg","hochschulen","numerus","hochschulen","bildungsbericht","dohnanyi","dohnanyi","dohnanyi","wissenschaft","hochschulen","bildung","beruflichen","wissenschaft","beruflichen","beruflichen","ausbildung","ausbildung","ausbildung","gesamtschule","studenten","ausbildung","eltern","studenten","engholm","bafög","beruflichen","ausbildungsplätze","bildung","hochschulen","ausbildungsplätze","jungen","jungen","hochschulen","bildung","jungen","jungen","jugendlichen","jugendlichen","weiterbildung","bildung","ausbildung","jugendlichen","hochschulen","beruflichen","jugendlichen","bildung","bafög","wissenschaft","jugendlichen","wissenschaft","jugendlichen","ausbildung","rüttgers","bildung","bildung","rüttgers","forschung","forschung","hochschulen","forschung","forschung","bulmahn","bildung","hochschulen","hochschulen","bulmahn","bildung","hochschulen","bulmahn","hochschulen","bildung","bildung","hochschulen","hochschulen","ausbildung","schavan","bildung","hochschulen","ausbildung","forschung","hochschulen","ausbildung","hochschulen","forschung","hochschulen","forschung","bafög","bafög","hochschulen","hochschulen","forschung","bafög","hochschulen","ausbildung","forschung","ausbildung","schulen","weiterbildung","schüler","schulen","schulen"
"4","grundgesetzes","bundes","gemeinden","ländern","gemeinden","schulen","kernenergie","gemeinden","bund","länder","universität","wissenschaft","bund","universitäten","hochschulen","forschung","ausbildung","studenten","kulturpolitik","länder","schule","bund","stoltenberg","hochschulen","bund","luft","universitäten","hochschulen","wissenschaftlichen","wissenschaft","martin","leussink","hochschulen","bremen","bildungspolitik","möchte","meinecke","numerus","wissenschaft","hochschulrahmengesetz","berufliche","glotz","ausbildungsplätze","ausbildungsplätze","jugendlichen","dregger","bildung","förderung","schulen","juristenausbildung","ausbildung","ausbildung","system","jugendlichen","jungen","bildungspolitik","ausbildung","jugendlichen","mädchen","ausbildungsplätze","jungen","bildung","bildung","ausbildung","hochschulen","möllemann","weiterbildung","bildung","berufsausbildung","möllemann","bildungspolitik","hochschulen","berufe","beruflichen","erfurt","ausbildungsplätze","beruflichen","jugendliche","rüttgers","forschung","ausbildung","forschung","lehrstellen","bildung","bildung","ausbildung","bildung","bulmahn","hochschulen","forschung","forschung","studiengebühren","ganztagsschulen","bulmahn","ausbildung","bildung","bulmahn","bafög","hochschulen","ausbildung","schavan","hochschulen","ausbildung","hochschulen","schavan","forschung","studierenden","schavan","bund","bafög","bund","ausbildung","wissenschaft","bund","forschung","forschung","ausbildung","hochschulen","wissenschaft","ausbildung","forschung","bund","forschung","handwerk","schulen","schule","ausbildung","forschung"
"5","art","grundgesetzes","bundesrat","bundesrat","bundesrat","forschung","länder","hochschulen","länder","hochschulen","wissenschaft","reaktors","studenten","forschung","bund","wissenschaft","entwicklungsländern","wissenschaftlichen","bund","hochschulen","wissenschaftliche","länder","wissenschaftliche","wissenschaft","wissenschaft","wissenschaftliche","wissenschaft","moersch","heppe","bildung","leussink","walz","forschung","universität","raffert","bund","bildungspolitik","clausus","berufliche","studenten","maier","ausbildungsplätze","jungen","schüler","jungen","jugendlichen","jungen","wissenschaft","gesamtschulen","wissenschaft","pfeifer","wissenschaft","juristen","wissenschaft","bildungspolitik","studenten","bafög","mädchen","ausbildungsplätze","jungen","wissenschaft","jugendlichen","mädchen","hochschulen","jungen","wissenschaft","auszubildenden","fachhochschulen","jungen","ausbildung","wissenschaft","beruflichen","hochschulen","berufe","hochschule","wissenschaft","handwerk","jungen","hochschulen","ausbildungsplätze","forschung","ausbildungsplätze","forschung","studiengebühren","ausbildung","studierenden","bulmahn","gmd","bafög","studenten","schulen","bulmahn","schulen","forschung","ausbildungsplätze","ausbildung","raumfahrt","studiengebühren","studiengebühren","bafög","ausbildung","schavan","bafög","wissenschaft","weiterbildung","hochschulpakt","bafög","stipendienprogramm","schavan","bund","wissenschaft","studiengebühren","bund","hochschulen","ausbildung","bund","wanka","wissenschaft","hochschulen","schulen","berufliche","berufliche","studium","berufliche","bafög","schülerinnen","hochschulen","hochschulen"
"6","bundesrat","bundesrat","art","bundes","ländern","bayern","wissenschaftlichen","lehrer","ingenieurschulen","aufgaben","länder","technischen","länder","wissenschaftsrates","technischen","ländern","arbeit","wissenschaftsrat","forschung","lohmar","schulen","ländern","bund","wissenschaftsrat","länder","stoltenberg","studenten","bund","universitäten","stoltenberg","stoltenberg","hochschulen","gesamthochschule","forschung","zwischenbericht","clausus","dohnanyi","studienreform","hochschulen","hochschule","berufsbildung","jugendarbeitslosigkeit","berufliche","hochschulen","wissenschaft","ausbildung","bildungspolitik","ausbildungsförderung","bildung","ausbildung","schule","daweke","berufsbildung","jungen","generation","braunstützer","wissenschaft","jugendliche","bildung","jugendliche","jugendlichen","mädchen","studenten","jugendliche","berufliche","ausbildung","studenten","studenten","möllemann","förderung","weiterbildung","ausbildungsplätze","neuen","studenten","ausbildung","jungen","weiterbildung","wissenschaft","studenten","förderung","wissenschaft","hochschulen","technologie","wissenschaft","wissenschaft","bafög","jugendliche","bafög","ausbildung","edelgard","bulmahn","bildungspolitik","ausbildung","jugendlichen","bulmahn","ausbildungsplätze","wissenschaftler","ausbildung","bulmahn","schavan","hochschulpakt","jungen","hochschulen","ausbildungsbonus","bildungsgipfel","weiterbildung","schavan","bafög","hochschulen","schavan","ausbildung","wissenschaft","schule","wanka","bund","deutschlandstipendium","wissenschaft","wanka","schulen","wanka","schulen","digitalpakt","hochschulen","beruflichen","studierenden","karliczek","wissenschaft","ausbildung"
"7","gesetz","art","föderalismus","gemeinden","stiftung","bundes","kommission","wissenschaft","studierenden","bevölkerungsschutz","technischen","verwendung","wissenschaft","stoltenberg","ländern","länder","fachkräfte","bund","länder","wissenschaftlichen","hochschulen","bildung","länder","wissenschaftlichen","moersch","universitäten","stoltenberg","wissenschaftlichen","moersch","dohnanyi","dohnanyi","martin","bundländerkommission","technologiepolitik","leussink","numerus","bildungsgesamtplan","wissenschaft","studenten","glotz","rohde","wissenschaft","pfeifer","bafög","hochschulen","hochschulen","generation","schüler","studenten","ausland","bildungspolitik","jungen","rossmanith","betriebe","wissenschaft","kuhlwein","frau","bildung","jugendliche","kuhlwein","mädchen","wissenschaft","bafög","jungen","junge","bildungspolitik","möllemann","wissenschaft","hochschulen","bildungspolitik","berufliche","weiterbildung","freien","hochschulen","medizinischen","hochschulen","jugendlichen","beruflichen","wissenschaft","beruflichen","bafög","wissenschaft","wissenschaft","studenten","studierenden","bulmahn","programm","jugendlichen","jugendlichen","studium","jugendlichen","forschung","hochschulen","ausbilden","jugendlichen","edelgard","edelgard","bulmahn","jungen","bund","hightechstrategie","hochschulpakt","hightechstrategie","jugendlichen","hochschulpakt","studierenden","studium","bund","schule","hochschulpakt","lehrerausbildung","bafög","ganztagsschulen","ausbildung","wanka","schulen","bund","weiterbildung","wanka","wissenschaft","beruflichen","wissenschaft","schulen","forschung","studenten","lehrkräfte","schüler","studium"
"8","bundes","gesetz","finanzverfassung","grundgesetzes","bundesrates","gemeinden","wissenschaftler","euratom","ratzel","wissenschaftlichen","hochschulen","förderung","bildung","bund","universitäten","wissenschaftlichen","bund","länder","ländern","ländern","ländern","wissenschaftlichen","wissenschaftlichen","lohmar","hochschulen","wissenschaftsrat","wissenschaftlichen","länder","bund","leussink","forschung","dohnanyi","hochschule","leussink","schule","bildungspolitik","forschung","hochschule","dohnanyi","forschung","ausbildungsordnungen","jugendlichen","generation","schuchardt","ausbildungsplatzförderungsgesetz","beruflichen","schule","beruflichen","schüler","leitvorstellungen","wissenschaft","engholm","berufsbildungsbericht","berufsbildungsbericht","ausbildung","ausbildung","jugendlichen","wilms","studenten","bildung","wilms","wilms","junge","wissenschaft","jugendliche","bafög","beruflichen","fachhochschule","wissenschaft","bafög","hochschulen","wissenschaft","wissenschaft","freien","studenten","beruflichen","hochschulen","handwerk","beruflichen","wissenschaft","studenten","berufsausbildung","studiengebühren","ausbildung","bafög","jugendlichen","ausbildungsplätze","ausbildungsplätze","ministerin","bafög","reform","schule","bildungspolitik","tauss","jungen","jungen","ausbildung","wissenschaft","studierenden","ministerin","studienplätze","ministerin","studiengebühren","jungen","annette","jungen","stipendien","länder","jungen","wissenschaft","lehrer","schavan","ausbildung","schulen","wissenschaft","wanka","ministerin","exzellenzinitiative","ausbildung","nachwuchs","schule","beruflichen","schule","wissenschaft","berufliche","ausbildung","forschung","studierende"
"9","abs","bundesrates","bayern","vermittlungsausschusses","vermittlungsausschusses","land","ländern","forschung","technischen","studierenden","förderung","kaufpreis","aufgaben","aufgaben","freitag","kulturellen","ausland","universitäten","auswärtigen","bildung","bildung","bildungsrat","wissenschaftsrat","universitäten","wissenschaftlichen","bund","universität","universität","universität","studenten","universitäten","gesamtschule","studenten","bremer","bundländerkommission","jahre","bildungsreform","forschung","schule","beruflichen","ausbildungsplätze","betriebe","numerus","numerus","beruflichen","jungen","schüler","jungen","schmude","graduiertenförderung","beruflichen","beruflichen","duale","kuhlwein","bund","wilms","jungen","junge","kuhlwein","wissenschaft","kuhlwein","kuhlwein","beruflichen","beruflichen","beruflichen","jungen","jungen","kuhlwein","mädchen","ausbildungsförderung","berufsausbildung","ländern","bewerber","studium","studium","ausbildungsplatz","berufliche","hochschulen","studierenden","technologie","technologie","lehrstellen","hochschulen","handwerk","technologie","edelgard","sofortprogramm","weiterbildung","studierenden","studierenden","jugendliche","ganztagsschulen","edelgard","jungen","ausbildungsplatz","ministerin","juniorprofessur","studierenden","ausbildung","föderalismusreform","ausbildungsplätze","jugendlichen","weiterbildung","ausbildungsplätze","studierenden","junge","ausbildung","studierenden","länder","studierenden","schavan","duale","schulen","hochschulpakt","studierenden","gehring","beruflichen","deutschlandstipendium","gehring","erasmus","wissenschaft","schulen","schüler","weiterbildung","schüler","digitalpakt","berufliche","wissenschaft"
"10","gemeinden","land","grundgesetz","bundesrats","preussischen","ingenieure","wissenschaftliche","hochschullehrer","schulen","wissenschaft","bund","ländern","stiftung","wissenschaft","wissenschaftlichen","bechert","öffentlichkeitsarbeit","ländern","förderung","wissenschaftsrat","länder","lohmar","ländern","wissenschaftler","universitäten","wissenschaftlichen","länder","ländern","wissenschaft","forschung","moersch","dring","walz","hochschulen","gesamtschule","wiederholen","bundländerkommission","hochschulrahmengesetz","bildungspolitik","lehre","betriebe","berufsbildungsgesetz","clausus","clausus","rohde","hübner","pfeifer","daweke","bildungspolitik","jungen","generation","schulen","ausbildungsplätze","beruflichen","engholm","jungen","bildungspolitik","ausbildungsplatz","junge","uhr","ausbildungsplätze","jugendliche","jugendliche","weiterbildung","weiterbildung","studenten","berufsausbildung","jugendlichen","ausbildungsstätten","wissenschaft","kuhlwein","berufsausbildung","jugendliche","berufliche","studierenden","umweltbildung","berufsausbildung","berufliche","ausbildungsplätze","aufstiegsfortbildung","ausbildungsplätze","beruflichen","berufsausbildung","studierenden","berninger","möllemann","bafögreform","catenhusen","bafögreform","ministerin","universitäten","schavan","tauss","betriebe","jugendliche","jugendlichen","ministerin","kasparick","studium","weiterbildung","bund","wissenschaft","studierenden","weiterbildung","ausbildung","bafög","stipendienprogramm","bildungsgipfel","studiengebühren","länder","schulen","jungen","wissenschaftlichen","schüler","schulsozialarbeit","jugendlichen","meisterbafög","jungen","schüler","fachhochschulen","junge","ausbildung","handwerk","hochschulen","forschung","forschung","schule","studierenden"
