"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","überweisung","drucksache","ausschuss","ausschuss","überweisung","ausschuss","ausschuss","ausschuss","ausschuss","selbständigen","ausschuss","kirche","forchheim","gemeinden","freien","freien","sozialhilfe","kinder","böhm","gradl","neureut","wirtschaftlichkeit","haase","haase","unterbringung","haase","getränkesteuer","erbschaftsteuer","herr","ergänzungshaushalt","fremdenverkehr","bauer","dacca","spannungsverhältnis","günther","visagebühren","gaddum","steiner","guillaume","bundeskanzleramtes","akten","schüler","urteil","bayerischen","urteil","laabs","öffentlichkeitsarbeit","bundeskanzleramt","strauss","bundesrechnungshof","öffentlichkeitsarbeit","kontrollkommission","bnd","bergbauunternehmen","kampagne","kommunisten","parteien","parteien","parteien","bundesrechnungshof","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","mitglieder","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","bundesrechnungshof","untersuchungsausschuss","untersuchungsausschuss","parlament","überprüfung","parlament","koko","akten","untersuchungsausschuss","untersuchungsausschuss","dzt","abgeordneten","untersuchungsausschuss","überhangmandate","stiftung","wahlkreise","enquetekommission","naumann","stiftung","kohl","parteien","untersuchungsausschuss","demokratie","untersuchungsausschuss","untersuchungsausschuss","akten","akten","pds","npd","brandenburger","partei","rechtsextremismus","rechtsextremismus","rechtsextremismus","roma","npd","hdj","wahlrecht","spenden","demokratie","überhangmandate","rechtsextremismus","rechtsextremismus","wahlrecht","demokratie","snowden","verfassungsschutz","verfassungsschutz","untersuchungsausschuss","polizei","polizei","polizei","untersuchungsausschuss","verfassungsschutz","polizei","sicherheitsbehörden","polizei","sicherheitsbehörden","verfassungsschutz","rechtsextremismus"
"2","antrag","drucksache","ausschuss","überweisung","überweisung","ausschuss","überweisung","überweisung","überweisung","überweisung","ausschuss","antrag","selbständigen","kirche","freien","kirche","sozialhilfe","kinder","eltern","fürsorge","räume","düsseldorf","verwaltung","räume","aschaffenburg","haase","kassel","haase","kliesing","dr","guatemala","herr","rassendiskriminierung","hotel","bordunterkunft","pressekonferenz","wohlrabe","herr","zeugen","ehmke","schüler","ehmke","stern","öffentlichkeitsarbeit","bundesrechnungshof","garching","spionagefall","bölling","jablonski","mad","bundesrechnungshofes","presse","untersuchungsausschuss","bundeskanzleramt","energieversorgungsunternehmen","literatur","datenschutzbeauftragten","entschädigung","untersuchungsausschuss","spenden","kleinert","zimmermann","flick","parlamentarischen","parlamentarischen","oberfinanzdirektion","bundesrechnungshof","untersuchungsausschusses","rechnungshof","parlaments","geschäftsordnung","parlaments","parlament","bundesrechnungshof","untersuchungsausschuss","verfassungsschutz","untersuchungsausschusses","koko","untersuchungsausschuss","parlament","sekten","bnd","titzestecher","wahlrecht","stiftung","kultur","kiep","untersuchungsausschuss","hessischen","cdu","parteien","cdu","möllemann","untersuchungsausschuss","untersuchungsausschuss","staatsanwaltschaft","verbotsverfahren","tor","pds","halberstadt","npd","rassismus","rechtsextremismus","rechtsextremismus","npd","polizei","demokratie","stuttgart","wahlrecht","demokratie","demokratie","rechtsextremismus","npd","untersuchungsausschuss","untersuchungsausschuss","sicherheit","sicherheitsbehörden","sachsen","sicherheit","polizisten","anschlag","sicherheitsbehörden","sicherheitsbehörden","rechtsextremismus","rechtsextremismus","polizei","polizei","sicherheitsbehörden"
"3","drucksache","ausschuss","überweisung","drucksache","drucksache","drucksache","federführend","drucksache","federführend","federführend","schicht","selbständigen","evangelischen","bundesernährungsministeriums","gemeinde","sozialhilfe","prinzip","eltern","könen","sozialhilfe","bürohaus","gradl","postanweisungen","zimmer","fussballbund","jaeger","staatssekretär","zonenrandgebiet","filmförderungsanstalt","abgeordneten","ergänzungshaushalts","kollege","appetitlos","ort","klausel","falscher","einzuholen","wehner","wienand","bundeskanzleramt","chef","guillaume","werbeagentur","schäfer","altenheime","bundesverfassungsgericht","untersuchungsausschuss","staatssekretär","schüler","josef","rechnungsprüfungsausschuss","braunstützer","parlamentarischen","bundesrechnungshof","öffentlichkeitsarbeit","kabinettsbeschluss","zdf","parteienfinanzierung","flick","amnestie","parteien","tiedge","parlamentarischen","parlaments","bundestages","bohl","bundestages","kleinert","kontrolle","untersuchungsausschusses","bundestages","geschäftsordnung","abgeordneten","geschäftsordnung","schalck","dienste","akten","schalckgolodkowski","willy","diäten","häfner","reformkommission","bismarck","verkleinerung","zwischenbericht","medien","untersuchungsausschuss","cdu","akten","landowsky","cdu","kohl","fdp","mitteldeutsche","hirsch","kandidaten","bundesverfassungsgericht","neonazis","parteien","demokratie","demokratie","roma","sinti","dkp","demokratie","demokratie","parteien","gewalt","demokratie","verfassungsschutz","datei","npd","antisemitismus","demokratie","sicherheitsbehörden","polizei","verfassungsschutz","verfassungsschutz","amri","untersuchungsausschuss","sicherheitsbehörden","polizei","verfassungsschutz","sicherheit","hass","rechtsextremismus","sicherheitsbehörden","hanau"
"4","ausschuss","antrag","punkt","antrag","federführend","federführend","drucksache","federführend","personalgutachterausschuss","überweisen","antrag","kommunalpolitischen","kriegsdienstverweigerer","evangelischen","jugendhilfe","darum","gemeinden","könen","florenz","bundestagsabgeordneten","bauen","hansing","bundesrechnungshofs","dorn","plenum","benutzt","intention","hongkongvariante","veba","schmid","spreti","würzburg","praktikanten","haushaltungsvorstand","versicherungsnehmer","abgehalten","zielrichtung","lambsdorff","ehmke","nollau","bnd","merex","rechnungsprüfungsausschuss","haase","bayerische","standort","bundeszentrale","bundeskanzleramt","bundeskanzleramtes","untersuchungsausschuss","darlehensanteil","vorgänge","untersuchungsausschusses","rechnungshof","untersuchungsausschuss","sache","leiter","schily","schröder","parteienfinanzierung","entschädigung","kontrollkommission","parteien","verhaltensregeln","untersuchungsausschuss","parlaments","parlamentarischen","bundestages","bundestages","parlament","untersuchungsausschusses","antrag","bundestages","kontrolle","kommerzielle","bannmeile","fraktionen","untersuchungsausschusses","vogel","parlaments","psychogruppen","kontrolle","uta","enquetekommission","arbeit","beauftragter","naumann","aufklärung","wahlrecht","berliner","onlinewahlen","korruption","cdu","tr","staatsanwaltschaft","vorgängerregierung","sachsen","befriedeten","demokratie","sachsenanhalt","rechtsextremen","npd","gewalt","hamburg","rechtsextremismus","polizisten","rechtsextremismus","polizei","polizisten","extremismus","polizei","rassismus","rechtsextremismus","verfassungsschutz","demokratie","vleute","polizei","bundespolizei","polizisten","fussfessel","breitscheidplatz","chemnitz","polizisten","polizei","hanau","gefährder","bundespolizei","extremismus"
"5","tagesordnung","tagesordnung","antrag","beratung","antrag","antrag","wirtschaftspolitik","überweisen","mitberatung","ausschüsse","mittelstandsfragen","ausschüsse","kirchen","kirchen","verbände","staat","könen","bundessozialhilfegesetz","universität","abgeordneten","bundestagsvorstand","bundessozialhilfegesetzes","schwaben","frehsee","verwaltung","herr","präziser","präferenz","nämlich","bundesminister","botschafters","bauer","kost","karachi","prämie","karlsruhe","gezahlt","thürk","untersuchungsausschuss","bnd","waffengeschäften","rücktritt","abgeordneter","dienstag","stern","öffentlichkeitsarbeit","minderheit","wahlplattform","grabert","franz","bundesrechnungshofs","unterlagen","öffentlichkeit","rechnungsprüfungsausschuss","monate","atomwaffenfreien","staatssekretär","kleinert","akten","flick","untersuchungsausschuss","untersuchungsausschusses","spenden","lappas","kontrollkommission","ofd","parlaments","öffentlichkeit","parlamentarischen","geschäftsordnung","bundesrechnungshof","bundestages","parlaments","immunität","untersuchungsausschusses","kontrollkommission","einsetzung","mfs","plutonium","entschädigung","stiftungen","wahlkreise","conradi","überhangmandate","kommission","angelegenheiten","parteien","parteien","kohl","untersuchungsausschusses","bürger","parteien","koch","staatsanwaltschaft","kohl","kollege","leutheusserschnarrenberger","versammlungsrecht","brandenburger","npd","toleranz","sinti","npd","demokratie","partei","wahl","linksextremismus","rechtsextremismus","stimmgewicht","partei","nazis","demokratie","partei","nsa","nsu","aufklärung","edathy","nachrichtendienste","verfassungsschutz","npd","npd","maassen","kriminalität","halle","polizisten","polizisten","rechtsextremismus","faeser"
"6","punkt","punkt","tagesordnung","antrags","mitberatung","punkt","antrag","mitberatung","mitberatend","mitberatend","handwerk","überweisen","unselbständigen","seuche","träger","einrichtungen","hilfe","hilfe","sozialhilfe","könen","rutschke","selbstschutzgesetz","zimmer","kassel","bundesrechnungshofs","hunde","akten","teilung","schriftlicher","strauss","bauer","unterrichten","modellrechnung","westpakistan","hotel","kassenkredit","regierung","versehen","schäuble","guillaumes","bundeskanzleramt","bundeskanzleramt","guillaume","bundesverfassungsgerichts","haase","dienstag","urteil","urteil","schröder","dienste","braunstützer","vorgang","einsetzung","bundesrechnungshofes","schwöre","überzogen","steigerungen","rechnungsprüfungsausschuss","kleinert","untersuchungsausschuss","bundestages","bundesinnenminister","untersuchungsausschusses","untersuchungsausschusses","gremium","untersuchungsausschusses","untersuchungsausschüsse","parlaments","bundesrechnungshofs","arbeit","staatsanwaltschaft","fraktionen","abgeordnete","bundesrechnungshofes","koordinierung","köppe","öffentlichkeit","arbeit","such","verkleinerung","abgeordneten","dienste","bezüge","reformkommission","mitglieder","parteien","ströbele","koch","koch","parteiengesetz","briefwahl","spenden","untersuchungsausschusses","na","kanzleramt","ball","untersuchungsausschuss","wunsiedel","wählerinnen","konzert","parteien","extremismus","rassismus","wegner","vleute","eigentumsfreiheit","wahlrecht","demonstrationen","parteien","polizei","frankfurt","sicherheitsbehörden","polizei","bürger","polizei","sicherheitsbehörden","bundespolizei","sicherheitsbehörden","sicherheitsbehörden","amri","polizei","sicherheit","sicherheit","hass","verfassungsschutz","islamistischen","gewalt","verfassungsschutz"
"7","betreffend","betreffend","federführend","punkt","überweisen","tagesordnung","mitberatung","punkt","überweisen","überwiesen","mittelschichten","überweisung","handwerk","bundesforschungsanstalt","selbstverwaltung","evangelischen","bundessozialhilfegesetz","bundessozialhilfegesetzes","fischwirtschaft","zimmer","dr","dr","paketkarten","verwaltung","lederindustrie","koenen","rate","herr","sperrmassnahmen","falk","graf","umkehr","verstopft","dagegen","stellte","lebenslage","berlin","abgeordneten","guillaume","verfassungsschutz","akten","ermittlungen","grabert","verfassungsgericht","chef","bundesverfassungsgerichts","voss","schröder","festgenommen","nachrichtendienste","bundesausbildungsförderungsgesetz","herr","kontrolle","rechnungshofes","schwantagformel","politiker","vorige","öffentlichkeit","parteienfinanzierung","spender","parlaments","journalisten","kontrollkommission","mitglieder","vizepräsidenten","akten","parlament","bohl","parlament","hdw","parlament","untersuchungsausschuss","untersuchungsausschuss","parlamentarier","akten","bad","bundestages","bericht","marschewski","arbeit","akten","überhangmandaten","übergangsgeld","übergangsgeld","handlungsempfehlungen","bannmeile","cdu","untersuchungsausschusses","cdu","kohl","untersuchungsausschuss","parteiengesetz","parteien","bischofferode","untersuchungsausschusses","anfrage","rechtsextremen","npd","fünfprozenthürde","extremismus","mecklenburgvorpommern","fremdenfeindlichkeit","aktionsplan","wahlrecht","politische","eigentum","extremismus","polizisten","stuttgart","überhangmandate","verfassungsschutz","antisemitismus","untersuchungsausschuss","aufklärung","rechtsextremismus","bnd","terrorismus","kontrolle","bundespolizei","sicherheit","sicherheit","straftaten","europol","zitis","rassismus","hass","anschlag","opfer"
"8","drucksachen","beratung","einverstanden","tagesordnung","beratung","beratung","überweisen","tagesordnung","überwiesen","familienausgleichskassen","überweisung","material","kliesing","tabacina","könen","schröder","düsseldorf","gemeindlichen","gemeinden","unabhängigkeit","arbeitsräume","mitgliedschaft","zahlkarten","hunde","räumen","opfer","durchhalten","sanktionen","parlamentarischen","hypotheken","entführern","ostpakistan","würzburg","evakuiert","erkel","lügner","mehr","ölkrise","untersuchungsausschusses","bundesnachrichtendienst","carstens","brandt","nouhuys","klage","essel","rechnungsprüfungsausschuss","schadensbewertung","papier","bundesministerium","untersuchungsausschusses","ministerium","brief","parlamentarische","bemerkungen","minderheitenbericht","esters","schäfer","untersuchungsausschuss","kontrolle","öffentlichkeit","parlament","parlamentarischen","schily","gremium","untersuchungsausschusses","öffentlichkeit","mitglieder","parlament","parlaments","bohl","parlaments","bündnis","tätigkeit","rechnungsprüfungsausschuss","parlament","untersuchungsausschuss","parlamentarischen","schily","bnd","öffentlichkeit","diäten","pkk","bundesstiftung","demokratie","sachverständigen","parlamentarischen","bannmeile","zeugen","demokratie","zeugen","volksentscheid","akten","müntefering","kalikaliwerk","bundeskanzleramt","zeitraum","dvu","pds","wähler","rechtsextremen","initiativen","demokratie","parteien","partei","wahlrecht","überhangmandate","partei","volksentscheid","polizei","bundeszentrale","extremismus","beamten","parteien","polizei","bundespolizei","mayer","sicherheit","maizière","anschlag","verfassungsschutz","gefährder","bamf","straftaten","verfassungsschutz","extremismus","anschlag","straftaten","straftaten"
"9","beratung","einverstanden","betreffend","federführend","tagesordnung","ausschüsse","überwiesen","verfassungsrecht","federführenden","mitberatung","überwiesen","petenten","betreuung","selbständigen","kirche","zielsetzung","eltern","träger","sachverständiger","sekretärin","bilder","aufmerksamkeit","denkschrift","hochhaus","erbbaurecht","kollege","kollege","widerlegt","filme","erweckt","kontakt","motor","abgeordneter","staatsangehörigen","mittagessen","stetig","pakte","cducsubundestagsfraktion","zeuge","untersuchungsausschuss","bundesnachrichtendienstes","ag","material","karlsruhe","staatssekretär","verfassungsgericht","lutze","bundesverfassungsgerichts","bundesnachrichtendienstes","material","staatssekretär","ministers","lembke","lahnstein","untersuchungsausschusses","paterna","überhaupt","diäten","spenden","unabhängigkeit","esters","verfassungsschutz","zimmermann","parlament","parlaments","hdw","rechnungsprüfungsausschuss","parlamentarischen","aufträge","parlamentarischen","akten","abgeordneten","ullmann","rechnungshof","schalckgolodkowski","parlament","tätigkeit","akten","parlamentarischen","parlamentsreform","diätenerhöhung","schmidt","schmude","sekten","enquetekommissionen","gremium","demokratie","schmidt","wahlrechts","wahlkreise","häfner","staatsanwaltschaft","partei","akte","wahlprüfungsausschuss","herrn","rechtsradikalen","wiefelspütz","wahl","neonazis","neonazis","anfrage","fremdenfeindlichkeit","vleute","jugendliche","gewalt","parteiengesetz","demonstranten","gewalt","wahlrecht","kampf","partei","spenden","daten","untersuchungsausschusses","informationen","nachrichtendienste","gewalt","gefährder","kontrolle","behörden","bundespolizei","extremismus","waffen","stuttgart","extremismus","hass","anschlag"
"10","fraktion","überweisen","beratung","überweisen","punkt","antrags","punkt","überwiesen","luftaufsicht","beweissicherung","mittelstand","unbefriedigende","beauftragten","untersuchung","gesellschaft","verausgabt","fürsorge","vereine","fürsorge","brese","abgeordneten","könen","fritz","untergebracht","dresdner","akten","mitzuteilen","vogel","minuten","darzustellen","rebellen","reste","ix","indien","bundesvertriebenengesetzes","verunglimpfung","herold","innenausschuss","vertrauensmännergremium","einstellung","mitarbeiter","bundesnachrichtendienst","informationen","urteils","akten","rechnungshof","fingerhut","kanzleramt","rieck","lockheed","rechnungshof","wahlprüfungsausschuss","fahrzeuge","esters","bericht","emotionen","reichsbahn","kontrolle","parteispenden","klasen","spenden","rechnungshof","brauchitsch","kontrolle","hauses","firmen","untersuchungsausschusses","fraktionen","abgeordneten","fraktionen","kiel","parlamentarischen","mitglieder","parlaments","abgeordneten","geheimdienste","arbeit","ddr","kontrollkommission","einkünfte","untersuchungsausschusses","parlament","nebentätigkeiten","psychogruppen","endbericht","parlament","merkel","hessen","hessen","kiep","parteiengesetz","untersuchungsausschusses","affäre","verschwunden","herrn","wiefelspütz","wahl","demokratie","tor","parteien","mobilen","rechten","demokratie","parteien","bundeszentrale","kandidaten","sponsoring","linksextremismus","mandate","npd","partei","polizei","sicherheitsbehörden","edward","behörden","untersuchungsausschuss","npd","sicherheit","notz","demokratie","amri","untersuchungsausschuss","rechtsextremismus","anschlag","gewalt","terrorismus","rassismus","islamismus"
