"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wort","abgeordneten","immunität","immunität","immunität","bundesgesundheitsamt","volkswagenwerk","eigentum","stiftung","unternehmungen","privatisierung","konzentration","niedersachsen","unternehmen","vermögensbildung","unternehmen","selbständigen","unternehmen","verbraucher","verbraucher","unternehmen","unternehmen","schmücker","anmeldungen","wein","bundeskartellamt","salzgitter","tankstellen","vorstand","senkung","herr","biosphäre","könig","genossenschaften","schweigens","themen","saar","prof","mitbestimmung","mitbestimmung","arbeitnehmer","mitbestimmung","arbeitnehmer","wahl","bundesvermögensverwaltung","enquetekommission","wahl","wahl","ministerkomitees","geschäftsordnung","wahl","plenarsaal","helsinkigruppe","landgericht","film","landgericht","wertgrenzen","widersprüche","presseerklärung","aussperrung","herr","aussperrung","berufsverbot","mainz","plenarsaal","referat","verwandt","akademie","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","kulturpolitik","berlin","berlin","kulturpolitik","berlin","berlin","rechtschreibung","mer","stetten","stiftungen","stiftungen","stiftung","stiftung","stiftung","kirch","stiftung","kulturstiftung","film","welle","welle","bundesbank","deutsche","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","kultur","welle","kultur","musik","kultur","netzneutralität","digitale","kultur","welle","kultur","kulturgut","kultur","digitalen","kultur","welle","uploadfilter","kultur","digitalisierung","daten","digitalen","kultur"
"2","abgeordnete","immunität","abgeordneten","genehmigung","wuermeling","abteilung","aktien","volkswagenwerk","eigentum","unternehmen","aktien","unternehmen","eigentum","eigentum","unternehmen","aktionär","mittelständischen","vermögen","werbung","werbung","beyer","aufsichtsrat","stiftung","patentamt","unternehmen","revisionen","unternehmen","mineralölgesellschaften","satzung","volljährigkeit","bauforschung","nummer","raumes","unfallort","sage","braucht","strengen","usa","arbeitnehmer","arbeitnehmer","aufsichtsrat","arbeitnehmer","vermögensbildung","eid","mitbestimmungsgesetzes","vermögensbildung","vermögensbildung","wahlkreise","wahl","gmbh","mitglieder","geschäftsordnung","veranstalter","türkei","schwenk","schwenk","zugestehen","hahn","brecht","streikrecht","antidumpingverfahren","kassel","abgeordneter","mainzer","plenarsaals","abgeordneten","privat","wissenschaften","senat","akademie","museum","hauptstadt","bonn","bonn","berliner","entscheidung","umzug","berlin","sitzordnung","stadt","religionsunterricht","umzug","brandenburg","sprache","ons","umzug","volksfeste","stiftungsrecht","warentest","warentest","stiftungen","landesbank","otto","fusion","filmwirtschaft","künstler","rechtschreibung","breitenkultur","vizepräsident","bibliothek","welle","dresden","enquetekommission","kultur","medien","staatsziel","enquetekommission","frequenzen","künstler","digitalisierung","internet","leistungsschutzrecht","kultur","kultur","digitale","digitale","digitalisierung","urheber","kulturelle","digitale","digitale","kultur","digitalen","medien","digitale","digitalen","daten","telegram"
"3","herr","dr","genehmigung","wahlprüfung","dehler","wehrversammlungen","eurofima","aktien","volkswagenwerk","deist","unternehmungen","aktien","privatisierung","aktionäre","arbeitnehmer","deist","betriebe","gesellschaften","wettbewerb","unternehmen","preussag","gesellschaft","wirtschaft","unternehmen","säure","brennbuch","privatisierung","kurlbaum","beglaubigung","britische","dezember","abrupt","rücktritt","listen","versicherer","sternstunde","ddr","denkbar","aufsichtsrat","franke","vw","gewerkschaften","pieroth","bundesminister","mitbestimmung","rapp","wahlberechtigten","parlaments","schmid","parlament","gewählt","bauten","ausstattungen","amtsgericht","abmahnung","brenner","hafen","verstiegen","drohenden","verbot","prämisse","herr","hemmungslos","kostheim","sitzordnung","bundesbaudirektion","provisorium","sitzordnung","berliner","berliner","senat","entscheidung","berliner","föderalismuskommission","rechtssprache","beschluss","bonn","kultur","umzug","umzug","brandenburg","stadt","berliner","berlin","isch","juristinnen","stiftungsrecht","kolumbien","volksfeste","geoinformationen","bildungstest","nidarümelin","irtschaft","stiftungen","neumann","künstlerinnen","rechtschreibreform","musik","schwarzgelben","nationalbibliothek","neumann","künstler","kulturpolitik","auslandsschulen","film","welterbestätten","kulturelle","kunst","kultur","internet","digitalen","urheberrecht","internet","digitalen","digitalen","digitalen","digitalen","kultur","digitalen","künstler","welle","digitale","kultur","rundfunk","blockchain","plattformen","meinungsfreiheit","digitalen"
"4","dr","herr","dr","abgeordneter","kläger","kläger","atzenroth","blank","hellwig","aktien","atzenroth","gesellschaft","deist","volksaktie","schmücker","aktionäre","unternehmen","aktien","verbrauchers","beyer","privatisierung","aktiengesellschaft","warentest","patentamts","weines","tankstellengewerbes","granitindustrie","pick","stiftung","herr","nuance","herr","münzen","gebäude","mantel","anscheinend","saarlandes","herr","gewerkschaften","gewerkschaften","mitbestimmung","aufsichtsrat","gewerkschaften","lenz","rechtsform","parlaments","europawahlordnung","wahlrecht","architekten","geschäftsordnungsausschuss","geschäftsordnung","demokratie","grolsheim","demokratie","filmförderungsgesetz","wertgrenzen","streitwertgrenze","otto","mogelpackungen","herr","worden","nirgends","aussperrung","kastel","neubau","grundposition","redezeit","plenarsaal","bürgermeister","wissenschaften","museums","bonn","museum","beschluss","wasserwerk","stadt","konzeptkommission","kunst","berliner","berliner","berlin","bonn","institute","kultusminister","au","stiftungen","schaustellergewerbe","stifter","schausteller","geoinformationswesen","warentest","murdoch","staatsministerin","kulturförderung","films","enquetekommission","deutsche","staatsministerin","abend","künstler","deutsche","unesco","kulturelle","filme","börnsen","kulturpolitik","staatsminister","kulturelle","kinos","enquetekommission","digitale","kreativwirtschaft","künstler","internet","internet","digitalisierung","verwertungsgesellschaften","film","film","künstlerinnen","digitalisierung","buchpreisbindung","digitale","öffentlichrechtlichen","daten","kultur","digitale","digitale"
"5","abgeordneter","genehmigung","strafverfahren","abgeordneten","wahlprüfung","zorn","hand","privatisierung","aktien","bundesschatzminister","eigentum","eigentum","volkswagenwerk","deist","konzentration","eigentum","schmücker","aktie","raumordnungspolitik","wettbewerb","verbraucher","gesellschaften","institut","prüfer","weingesetz","unternehmen","denkschrift","bundeskartellamt","beurkundung","kollege","mineralölgesellschaften","altöl","mühle","anrecht","gesellschaftern","verdanken","prof","gemälde","franke","länger","volkswagenwerk","unternehmen","mitbestimmung","schwöre","ig","beteiligung","europäischen","wahlkreiseinteilung","bitte","parlamentsreform","alterspräsident","zwingt","menschenrechtsverletzungen","berufungssumme","verlader","dokumentation","begründet","jungsozialisten","wild","gestreikt","lehrstühle","konsensbildung","kampfkraft","wiesbaden","lösung","planung","neubau","berlin","berlins","senat","berliner","stadt","museums","umzug","beschluss","bonn","reichstag","berliner","wittmann","kulturpolitik","auswärtige","dessau","senat","umzug","net","otto","stiegler","stiftung","unabhängigkeit","jork","kulturstiftung","staatsferne","haushaltsdebatte","kultur","filme","staatsministerin","deutschen","christina","themen","neumann","staatsminister","kulturwirtschaft","kulturwirtschaft","washingtoner","griefahn","medien","kulturpolitik","kinos","digitalisierung","filme","verlage","internet","telekom","digitalisierung","breitbandausbau","bauhaus","bildungspolitik","internet","filme","kultur","digitalen","digitalen","meinungsfreiheit","internet","kultur","digitale","plattformen","medien"
"6","immunität","wahlprüfung","wahlprüfung","passnachschau","genehmigung","immunität","betätigung","kurlbaum","unternehmen","privatisierung","aktie","gesellschaften","aktien","aktien","ergebnisbeteiligung","hauptversammlung","handwerk","selbständigen","verbraucheraufklärung","preisbindung","veba","privatisierung","gmbh","prüfung","gesetz","mineralölgesellschaften","bundesschatzminister","staatshandelsländern","lenz","referate","gesinnungswandel","jahresfrist","bedingten","denkschrift","deutung","nachrichtendienstliche","göttingencomment","echtheit","leitenden","herr","neckarsulm","arbeitsdirektor","unternehmen","helfe","schutzbauwerke","pieroth","rapp","parlament","nordrheinwestfalen","fränkische","schriftführer","hauptstadt","mitglieder","landgerichten","vorgebracht","hause","manipulation","enthaltenen","tragödie","bochum","höhen","verbot","dr","amöneburg","alten","wahlmöglichkeiten","plan","akademien","stadt","berlins","standort","parlament","stadt","verlagerung","stadt","umzug","beschluss","künstler","plenarsaal","bonn","kirchen","berliner","sprache","stetten","ma","cducsuantrag","kollege","bürgergesellschaft","stiftungen","wort","buchpreisbindung","bayerischen","medienpolitik","stiftung","staatsministerin","deutschen","zehetmair","unabhängigkeit","kollege","deutsche","kulturgut","brücke","musik","film","filme","aupairs","kulturtourismus","film","werke","medienkompetenz","urheberrecht","kulturellen","kreativwirtschaft","breitbandausbau","digitalisierung","daten","kulturelle","buchpreisbindung","bildungspolitik","urheberrecht","facebook","digitalisierung","plattformen","digitalen","digitalen","internet","internet","internet"
"7","abgeordneten","abgeordnete","odenthal","strafverfahren","abgeordneten","förderergesellschaften","öffentlichen","volksaktie","unternehmungen","gesellschaften","unternehmen","aktiengesellschaften","unternehmen","aktie","wirtschaft","aktiengesellschaft","grosswirtschaft","eigentum","markt","käufer","kartellbehörde","aktien","konzentration","anmeldung","patentamt","gesellschaften","markt","arndt","öffentliche","hussing","scheint","gifte","zustrom","sofortmassnahmen","personalvertretungen","fünftens","bundesregierung","vergleichszahlen","angestellten","angestellten","gewerkschaften","leitenden","anteilseigner","bundesliste","eid","kommission","kommissionsbericht","parteien","ort","fränkischen","bundestages","parlaments","brandt","streitwert","geschäft","behaupten","reinen","ermuntern","gewarnt","eigentum","wdr","luftverkehrsgesellschaften","jeweilige","rechtsrheinischen","erhalten","arroganz","überschritten","wissenschaft","momper","bürgermeister","berlins","regierungssitz","berlins","region","museum","baugesellschaft","kunst","einrichtungen","conradi","eberhard","berliner","umzugs","welle","rechtschreibreform","fend","kaiser","schausteller","stiftungsrechts","stiftungskapital","vollmer","stifter","bayerische","warentest","nooke","kinos","christina","kultur","quote","susanne","kunst","museen","künstlersozialversicherung","kulturellen","konferenz","staatsminister","verfassung","kulturellen","kulturtourismus","netzneutralität","access","musikförderung","urheber","enquetekommission","grütters","agenda","internet","internet","urheberrecht","kunst","kunst","nutzer","bücher","internet","digitale","digital","digitalisierung","netz","digitalisierung"
"8","geschäftsordnung","strafverfahren","herr","beleidigung","lotze","drechsel","privatisierung","eigentümer","aktie","publizität","preussag","mitbestimmung","aktionäre","konzentration","burgbacher","aktionärs","unternehmungen","betriebe","beyer","verpackung","preisbindung","hauptversammlung","interessen","reischl","prüfung","autobahntankstellen","erscheinen","britischen","eichgesetz","nummer","verschärfung","altöle","verkauft","wirtschaftsunternehmen","urteile","kräfte","unserem","gerne","unternehmen","arbeitnehmern","unternehmens","montanmitbestimmung","eigentumspolitik","glückwünsche","adorno","wahl","wählerverzeichnis","wahlkreis","gästehaus","abgeordneten","stimmen","parlament","volksdeutsche","richter","reeder","gebilligt","zugänglich","saarbrücken","betroffenheit","ibm","vizepräsident","herrn","genutzt","rückgliederung","abriss","redezeit","bedanke","kreisrunde","senats","wissenschaft","projekt","sitz","beschluss","beschlusses","region","bundestages","region","juni","gebäude","bundesstadt","kultur","gebäude","beschluss","sigmaringen","hend","sprache","schaustellergewerbes","stiegler","volksfesten","daten","stiftungsrecht","kirchgruppe","empfinde","bundes","christina","anfrage","barthel","anfrage","sprechen","staatsziel","kulturpolitik","kulturelle","künstler","filmerbe","rundfunk","kulturellen","digitale","bund","künstlerinnen","open","leistungsschutzrecht","digitalisierung","digitale","kunst","künstlersozialversicherung","itsicherheit","digitale","verwertungsgesellschaften","kulturellen","internet","internet","buch","urheberrecht","meinungsfreiheit","bim","digital","datenschutz","plattformen"
"9","herrn","wort","abgeordnete","herr","strafverfahren","vergleichen","unternehmungen","aktie","arbeitnehmer","eigentum","volksaktie","rücklagen","atzenroth","aktiengesellschaften","vermögen","unternehmens","wirtschaft","verbandsversammlung","verbraucherpolitik","verbrauchers","wettbewerb","publizität","verbraucher","prüfungsverfahren","winzer","kollege","rechnungsprüfungsausschuss","handelspolitik","urkunde","passiven","spdparteitag","rudolf","befürchtungen","technologie","rücken","zwei","äusserungen","wahlkreiseinteilung","montanmitbestimmung","osnabrück","sauer","angestellten","beteiligung","stimmzettel","betriebe","gewerkschaften","pieroth","volksbegehren","landtagswahl","gesellschaften","notars","wahl","sacharow","freigabe","umsonst","einbussen","haushalt","gesellschaften","kolleginnen","streik","dankbar","entlassungen","herr","plenarsaal","ehmke","wissenschaftlichen","planung","wissenschaftliche","akademie","gerhardt","konzeption","symbol","ministerien","konzeptkommission","historische","deutschen","zwischenbericht","kulturförderung","sitzanordnung","regierender","ler","michaela","kirchen","schreibung","meyer","schröder","stiftungsrechts","zivilrechtlichen","verbraucherschutz","vermögen","nidarümelin","wiesheu","mehrwertsteuersatz","staatsministerin","filmförderungsgesetz","deutsche","hansjoachim","kultur","lammert","bibliotheken","griefahn","kulturellen","kreativwirtschaft","medien","verlage","rundfunk","medien","ffa","internet","digitalen","mediendatenbank","film","urheberrecht","bundesnetzagentur","künstler","provenienzforschung","grütters","kreativen","internet","werke","bundesnetzagentur","internet","digitalisierung","digitalisierung","internet","medien","digital","digital"
"10","berichterstatter","abgeordneter","löhr","äusserung","strafantrag","boykott","unternehmen","zollerhöhung","gesetzentwurf","aktie","lindrath","aktionäre","eigentums","barzel","betriebe","grossunternehmen","kreditversorgung","unternehmens","ware","unternehmens","wirtschaft","aktionäre","veba","entlastung","markt","tankstellen","bundesminister","missbrauch","tankstellen","schmittvockenhausen","gesellschaften","techniker","beruhen","stehen","richtig","art","bisherige","versuch","gewählt","rappe","unternehmen","franke","rappe","gott","arbeitnehmer","arbeitnehmer","überparität","krey","leitende","collet","präsidenten","düsseldorf","august","zivilsachen","gibt","mut","organisationen","geschützt","minimalen","situation","staatshandelsländern","tornados","winzergenossenschaften","befragung","denkmalschutz","plenarsaal","arbeit","herr","diepgen","hessen","westberlin","berliner","senat","berliner","hauptstadt","herr","christo","kulturelle","stadt","region","schulen","eichstädtbohlig","hauptnutzfläche","schulen","berlin","berlin","otto","gemeinnützige","signatur","heinrich","machbarkeitsstudie","tv","ermässigte","kfw","deutschen","kultur","griefahn","lüneburg","bebauten","bernd","bildungspolitik","vielfalt","kunst","schulen","vielfalt","schutz","internet","theater","immateriellen","enquete","kultur","filme","künstlerinnen","enquetekommission","kunst","kultur","urheberrecht","netzneutralität","welle","künstlern","plattformen","verschlüsselung","richtlinie","daten","plattformen","verwaltung","digitaler","daten"
