"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","abstimmung","umdruck","umdruck","bitte","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","umdruck","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","gegenprobe","wünscht","gegenprobe","wünscht","wünscht","handzeichen","zuzustimmen","wer","wünscht","wünscht","zuzustimmen","wünscht","antrag","enthaltungen","enthaltungen","wünscht","enthaltungen","enthaltungen","enthaltungen","abstimmung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","enthaltungen","stimmen","stimmen","stimmen","stimmen","beschlussempfehlung","stimmen","stimmt","stimmt","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","stimmt","stimmt","beschlussempfehlung","stimmt","wer","stimmt","abstimmung","änderungsantrag","abstimmung","abstimmung","abstimmung","schriftführer","schriftführer","kammern","geschäftsordnung","handwerk","karenzzeit","schriftführerinnen","wahl","schriftführerinnen","geschäftsordnung","yücel","wahl","staatssekretäre","wahlrecht","wahlkreise","bundestag","parteien","bundestag"
"2","antrag","gegenprobe","ziffer","bitte","gegenprobe","gegenprobe","bitte","gegenprobe","umdruck","bitte","handzeichen","gegenprobe","umdruck","umdruck","umdruck","gegenprobe","umdruck","gegenprobe","gegenprobe","antrag","antrag","änderungsantrag","gegenprobe","antrag","antrag","änderungsantrag","änderungsantrag","umdruck","umdruck","enthaltungen","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","gegenprobe","wünscht","zuzustimmen","wünscht","wünscht","wünscht","gegenprobe","wünscht","gegenprobe","enthaltungen","enthaltungen","enthaltungen","wünscht","wünscht","wünscht","handzeichen","wer","wünscht","handzeichen","enthaltungen","wünscht","wünscht","enthaltungen","wünscht","wer","wer","drucksache","wer","wer","stimmt","wer","wer","wer","wer","wer","beschlussempfehlung","stimmt","beschlussempfehlung","wer","wer","enthaltungen","stimmen","enthaltungen","gegenprobe","beschlussempfehlung","drucksache","stimmen","stimmt","enthaltungen","beschlussempfehlung","enthaltungen","stimmt","stimmt","stimmt","stimmen","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmen","beschlussempfehlung","enthaltungen","wer","stimmt","abstimmung","gesetzentwurf","abstimmung","schriftführerinnen","schriftführer","schriftführer","schriftführerinnen","schriftführerinnen","berufe","wahl","wahl","wahl","schriftführer","wahlkreis","wahl","schriftführerinnen","ausschüsse","gewählt","wahl","wahlkreise","abgeordneten","abgeordneten","bundestag","abgeordneten"
"3","gegenprobe","abstimmung","bitte","ziffer","umdruck","änderungsantrag","gegenprobe","handzeichen","gegenprobe","gegenprobe","bitte","umdruck","bitte","handzeichen","handzeichen","antrag","änderungsantrag","änderungsantrag","ziffer","gegenprobe","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","gegenprobe","gegenprobe","bitte","gegenprobe","gegenprobe","änderungsantrag","umdruck","wort","handzeichen","wünscht","bitte","antrag","wünscht","zuzustimmen","zuzustimmen","zuzustimmen","zuzustimmen","enthaltungen","enthaltungen","wünscht","handzeichen","gegenprobe","enthaltungen","handzeichen","handzeichen","zuzustimmen","zuzustimmen","beschlussempfehlung","zuzustimmen","wünscht","zuzustimmen","handzeichen","handzeichen","handzeichen","stimmt","drucksache","enthaltungen","stimmt","stimmt","wer","stimmt","stimmt","stimmt","enthaltungen","enthaltungen","wer","angenommen","wer","beschlussempfehlung","beschlussempfehlung","wer","stimmt","beschlussempfehlung","drucksache","gegenprobe","enthaltungen","drucksache","enthaltungen","stimmen","stimmen","stimmen","wer","enthaltungen","drucksache","drucksache","enthaltungen","enthaltungen","enthaltungen","stimmen","enthaltungen","stimmen","enthaltungen","enthaltungen","stimmt","enthaltungen","beschlussempfehlung","wer","schriftführer","schriftführer","änderungsantrag","schriftführerinnen","änderungsantrag","abstimmung","abstimmung","schriftführerinnen","mitglieder","meisterbrief","schriftführer","wahl","schriftführerinnen","schriftführer","schriftführer","wahl","krankheiten","geschäftsordnung","bundestages","wahlrecht","parteien","abgeordneten","mehrheit"
"4","hand","antrag","gegenprobe","gegenprobe","handzeichen","ziffer","handzeichen","umdruck","handzeichen","handzeichen","gegenprobe","handzeichen","handzeichen","antrag","antrag","wer","enthaltungen","antrag","antrag","handzeichen","änderungsantrag","handzeichen","antrag","wer","wer","umdruck","gegenprobe","änderungsantrag","handzeichen","umdruck","gegenprobe","bitte","änderungsantrag","zuzustimmen","änderungsantrag","bitte","bitte","zuzustimmen","wünscht","zuzustimmen","bitte","antrag","enthaltungen","antrag","handzeichen","handzeichen","handzeichen","handzeichen","zuzustimmen","drucksache","zuzustimmen","enthaltungen","zuzustimmen","wer","handzeichen","wer","wer","zuzustimmen","handzeichen","zuzustimmen","zuzustimmen","wer","drucksache","handzeichen","wer","drucksache","gegenprobe","abstimmung","beschlussempfehlung","drucksache","drucksache","drucksache","angenommen","drucksache","enthaltungen","angenommen","angenommen","angenommen","stimmen","gegenprobe","gegenprobe","änderungsantrag","drucksache","beschlussempfehlung","enthaltungen","drucksache","drucksache","enthaltungen","beschlussempfehlung","enthaltungen","stimmen","enthaltungen","wer","stimmen","stimmen","stimmen","drucksache","wer","enthaltungen","beschlussempfehlung","stimmen","wer","beschlussempfehlung","abstimmung","stimmen","entschliessungsantrag","stimmen","schriftführer","bitte","einzelplan","bitte","plätze","freien","minderheitenrechte","richter","schriftführerinnen","stimmkarte","schriftführer","auszählung","stimmkarte","geschäftsordnung","staatssekretäre","parlamentarischen","abgeordneten","vorschlag","abgeordnete","abgeordnete","geschäftsordnung"
"5","erheben","umdruck","antrag","handzeichen","ziffer","handzeichen","ziffer","enthaltungen","bitte","antrag","antrag","ziffer","ziffer","enthaltungen","enthaltungen","änderungsantrag","wer","enthaltungen","enthaltungen","bitte","handzeichen","ziffer","umdruck","gegenprobe","gegenprobe","enthaltungen","enthaltungen","ziffer","enthaltungen","bitte","änderungsantrag","handzeichen","handzeichen","wer","zuzustimmen","abstimmung","wünscht","bitte","enthaltungen","enthaltungen","enthaltungen","enthaltungen","handzeichen","handzeichen","beratung","drucksache","zuzustimmen","drucksache","gegenprobe","zuzustimmen","gegenprobe","wer","angenommen","angenommen","enthaltungen","handzeichen","enthaltungen","drucksache","gegenprobe","wer","wer","zuzustimmen","handzeichen","wünscht","bitte","abstimmung","angenommen","handzeichen","drucksache","änderungsantrag","beschlussempfehlung","angenommen","beschlussempfehlung","angenommen","wer","drucksache","drucksache","drucksache","drucksache","drucksache","stimmt","enthaltungen","enthaltungen","stimmt","gegenprobe","wer","wer","wer","wer","drucksache","wer","stimmen","enthaltungen","drucksache","drucksache","wer","wer","stimmen","drucksache","angenommen","wer","stimmen","stimmen","stimmen","änderungsantrag","stimmt","stimmt","urnen","entschliessungsantrag","schriftführerinnen","plätze","postnachfolgeunternehmen","schriftführer","schriftführer","karenzzeit","tätigkeit","abstimmung","wahlkreise","stimmkarte","wahl","hauptausschuss","offenbar","regierungsbefragung","bundestag","bundestag","demokratie","bundestages","demokratie"
"6","abstimmung","enthaltungen","abstimmung","abstimmung","änderungsantrag","wer","änderungsantrag","wer","enthaltungen","ziffer","wer","antrag","enthaltungen","bitte","bitte","handzeichen","ziffer","handzeichen","änderungsantrag","änderungsantrag","wer","wer","handzeichen","handzeichen","handzeichen","handzeichen","wer","enthaltungen","wer","handzeichen","einzelplan","änderungsantrag","bitte","umdruck","wer","wer","enthaltungen","handzeichen","zuzustimmen","bitte","handzeichen","bitte","wer","bitte","enthaltungen","zuzustimmen","drucksache","zuzustimmen","drucksache","handzeichen","abstimmung","beschlussempfehlung","nr","rufe","rufe","enthaltungen","rufe","handzeichen","wer","angenommen","bitte","angenommen","wünscht","stimmt","handzeichen","gegenprobe","drucksache","drucksache","abstimmung","gegenprobe","angenommen","abstimmung","drucksache","enthaltungen","drucksache","enthaltungen","gesetzentwurf","gesetzentwurf","änderungsantrag","änderungsantrag","drucksache","beschlussempfehlung","stimmt","gegenprobe","angenommen","angenommen","beschlussempfehlung","drucksache","drucksache","stimmen","drucksache","wer","änderungsantrag","gesetzentwurf","wer","gesetzentwurf","gesetzentwurf","drucksache","angenommen","wer","abstimmung","drucksache","drucksache","entschliessungsantrag","entschliessungsantrag","schriftführerinnen","wer","plätze","auszählung","abstimmungen","einzunehmen","post","handwerk","schriftführerinnen","schriftführerinnen","plätze","besetzt","richter","besetzt","auszählung","bundestages","mig","parlamentarische","vorschlag","wahlkreis","wahlrecht","demokratie","wahl"
"7","nr","mehrheit","mehrheit","änderungsantrag","bitte","bitte","abstimmung","ziffer","antrag","enthaltungen","änderungsantrag","zuzustimmen","antrag","änderungsantrag","wer","enthaltungen","bitte","wer","handzeichen","zuzustimmen","enthaltungen","antrag","angenommen","abstimmung","zuzustimmen","wer","handzeichen","handzeichen","änderungsantrag","wer","wort","enthaltungen","zuzustimmen","wünscht","wünscht","damen","zuzustimmen","wer","handzeichen","handzeichen","wer","handzeichen","bitte","wer","wort","wer","berichterstatter","bitte","angenommen","wer","gewünscht","drucksache","rufe","enthaltungen","angenommen","drucksache","gegenprobe","bitte","angenommen","bitte","gegenprobe","bitte","zuzustimmen","zuzustimmen","gegenprobe","handzeichen","abstimmung","angenommen","angenommen","angenommen","änderungsantrag","dagegen","abstimmung","stimmenthaltungen","abstimmung","stimmenthaltungen","enthaltungen","abstimmung","abstimmung","beschlussempfehlung","angenommen","stimmt","angenommen","änderungsantrag","stimmt","abstimmung","abstimmung","angenommen","angenommen","angenommen","angenommen","gesetzentwurf","abstimmung","wer","gesetzentwurf","angenommen","enthaltungen","angenommen","wer","drucksache","gesetzentwurf","gegenstimmen","abstimmung","enthaltungen","enthaltungen","beschlussempfehlung","einzelplan","abgegeben","namentlichen","änderungsanträge","auszählung","auszählung","abstimmung","stimmkarte","schriftführer","wechsel","plätze","thüringen","abstimmung","urnen","antrag","kameruns","amtszeitbegrenzung","abgeordnete","bundestages","lobbyregister","wahlwerbung","wahlrecht"
"8","ziffer","angenommen","hand","antrag","wer","abstimmung","wer","antrag","wer","wer","ziffer","wünscht","wer","ziffer","ziffer","bitte","antrag","bitte","wer","wer","bitte","bitte","bitte","enthaltungen","bitte","bitte","bitte","bitte","ziffer","änderungsantrag","handzeichen","einzelplan","enthaltungen","enthaltungen","wort","abgeordnete","wer","enthaltungen","wer","wer","antrag","wer","antrag","enthaltungen","berichterstatter","berichterstatter","bitte","rufe","wer","angenommen","wer","rufe","enthaltungen","gegenprobe","bitte","angenommen","angenommen","fraktion","bitte","gegenprobe","angenommen","drucksache","änderungsantrag","angenommen","wünscht","änderungsantrag","beschlussempfehlung","änderungsantrag","handzeichen","handzeichen","gegenprobe","stimmen","dagegen","gesetzentwurf","gegenprobe","gesetzentwurf","stimmenthaltungen","enthaltungen","angenommen","wer","wer","wer","wer","wer","empfiehlt","änderungsantrag","angenommen","gesetzentwurf","dagegen","empfiehlt","gesetzentwurf","angenommen","beschlussempfehlung","angenommen","angenommen","drucksache","angenommen","gesetzentwurf","empfiehlt","gesetzentwurf","gegenstimmen","angenommen","gegenstimmen","gegenstimmen","fraktion","fraktion","schriftführerinnen","schliesse","ergebnis","plätze","namentliche","bitte","handwerkskammern","bundestages","geschäftsordnung","übergangsgeld","abgegeben","gewählt","abgegeben","gewählt","abgeordnete","bekennen","bundeskanzler","wahlkreis","bundestagswahl","bundestages","bundestagswahl","parlament"
"9","angenommen","handzeichen","enthaltungen","wer","antrag","antrag","enthaltungen","abstimmung","angenommen","änderungsantrag","wünscht","wer","änderungsantrag","wer","wünscht","zustimmen","handzeichen","ziffer","gebe","wünscht","zuzustimmen","angenommen","wer","bitte","siehe","zuzustimmen","angenommen","abstimmung","bitte","ziffer","abstimmung","wort","wer","bitte","bitte","herren","wort","änderungsantrag","abstimmung","angenommen","drucksache","drucksache","angenommen","drucksache","drucksache","bitte","wort","wer","berichterstatter","rufe","drucksache","berichterstatter","stimmt","bitte","gegenprobe","rufe","drucksache","wer","gegenstimmen","beschlussempfehlung","drucksache","ausschussfassung","angenommen","gegenprobe","zuzustimmen","angenommen","handzeichen","bitte","fraktion","fraktion","fraktion","beschlussempfehlung","änderungsantrag","abstimmung","gesetzentwurf","abstimmung","abstimmung","empfiehlt","gegenprobe","angenommen","empfiehlt","angenommen","empfiehlt","angenommen","gesetzentwurf","pds","änderungsantrag","empfiehlt","gesetzentwurf","gesetzentwurf","empfiehlt","empfiehlt","angenommen","gegenstimmen","dagegen","empfiehlt","empfiehlt","empfiehlt","gesetzentwurf","gegenstimmen","drucksache","fraktion","angenommen","dagegen","ausschussfassung","änderungsantrag","wahl","besetzt","plätze","bitte","abgegeben","stimmkarte","bundespräsidenten","hauptausschuss","meister","mitglieder","urnen","bundesrichter","namentliche","alterspräsidenten","einsetzung","afdfraktion","abgeordneten","wahlrechtsreform","wahl","parlament","transparenz","abstimmungsreihenfolge"
"10","umdruck","damen","angenommen","enthaltungen","enthaltungen","enthaltungen","antrag","wünscht","ziffer","zuzustimmen","enthaltungen","enthaltungen","wünscht","zuzustimmen","änderungsantrag","ziffer","angenommen","angenommen","bitte","ziffer","einzelplan","enthaltungen","abstimmung","einzelplan","ziffer","wünscht","siehe","wer","angenommen","damen","enthaltungen","siehe","abstimmung","stimmenthaltungen","abstimmung","siehe","änderungsantrag","mehrheit","drucksache","drucksache","einstimmig","angenommen","rufe","einzelplan","bitte","angenommen","gewünscht","berichterstatter","rufe","beratung","bitte","angenommen","gegenstimmen","drucksache","nr","gegenprobe","bitte","abstimmung","drucksache","drucksache","änderungsantrag","stimmt","bitte","beschlussempfehlung","stimmt","wünscht","bitte","beschlussempfehlung","wünscht","abstimmung","abstimmung","rufe","stimmenthaltungen","dagegen","dagegen","dagegen","empfiehlt","dagegen","pds","abstimmung","abstimmung","handzeichen","abstimmung","handzeichen","wer","beschlussempfehlung","gesetzentwurf","pds","änderungsantrag","pds","abstimmung","pds","gegenstimmen","empfiehlt","empfiehlt","abstimmung","abstimmung","gegenstimmen","gegenstimmen","abstimmung","angenommen","empfiehlt","fraktion","angenommen","gegenstimmen","bitte","bitte","namentlichen","geschäftsordnung","namentliche","namentlichen","telekommunikation","freiberufler","einsetzung","mitglieder","bundestages","mitglieder","mitglieder","plätze","abgegeben","fraktionen","mitglieder","parlaments","verhältniswahlrecht","überhangmandate","transparenz","fraktion","deutschen"
