"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gerade","aufgabe","aufgabe","gerade","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","problem","entwicklung","unserer","entwicklungshilfe","entwicklung","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","unserer","entwicklungsländern","unserer","unserer","entwicklung","entwicklung","entwicklung","entwicklung","unserer","aufgaben","entwicklung","entwicklung","unserer","bereich","unserer","entwicklung","bereich","unserer","unserer","unserer","unserer","unserer","unserer","bereich","massnahmen","bereich","unserer","unserer","unserer","unserer","müssen","müssen","unserer","unserer","bereich","müssen","bereich","müssen","müssen","bereich","müssen","bereich","bereich","bereich","bereich","bereich","bereich","müssen","müssen","müssen","müssen","entwicklung","müssen","entwicklung","müssen","müssen","müssen","müssen","entwicklung","entwicklung","entwicklung","entwicklung","bereich","entwicklung","tourismus","entwicklung","förderung","entwicklung","förderung","tourismus","entwicklung","bereich","entwicklung","bereich","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","bereich","entwicklung","partnerschaften","entwicklung","müssen","müssen","müssen","müssen","müssen","entwicklung","bereich","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","müssen","bereich","bereich","bereich","entwicklung","herausforderungen","engagement","digitalisierung","intelligenz","ländlichen","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung"
"2","immer","entwicklung","aufgaben","entwicklung","aufgaben","unserer","unserer","unserer","unserer","aufgabe","problem","entwicklung","entwicklung","müssen","entwicklungsländer","unserer","entwicklungsländern","müssen","unserer","entwicklung","entwicklung","unserer","unserer","unserer","müssen","entwicklung","entwicklung","unserer","bereich","entwicklung","entwicklung","bereich","unserer","entwicklung","bereich","besonders","bereich","bereich","bereich","müssen","unserer","bereich","massnahmen","bereich","bereich","bereich","bereich","bereich","bereich","müssen","müssen","unserer","bereich","müssen","bereich","unserer","fremdenverkehr","probleme","müssen","entwicklung","entwicklung","entwicklung","entwicklung","bedeutung","bereich","entwicklung","bereich","entwicklung","müssen","bereich","müssen","entwicklung","entwicklung","entwicklung","entwicklung","müssen","müssen","bereich","müssen","entwicklung","bereich","bereich","bereich","entwicklung","bereich","müssen","müssen","müssen","müssen","tourismus","entwicklung","müssen","förderung","bereich","müssen","wichtig","wichtig","wichtig","ansatz","müssen","wichtig","entwicklung","wichtig","bereich","entwicklung","müssen","müssen","müssen","müssen","müssen","bereich","bereich","thema","bereich","entwicklung","entwicklung","entwicklung","müssen","bereich","bereich","unsere","digitalisierung","digitalisierung","müssen","müssen","wichtig","wichtig","wichtig"
"3","müssen","immer","immer","aufgabe","unserer","gebiet","gebiet","immer","immer","entwicklung","unserer","aufgabe","entwicklungsländer","unserer","entwicklungsländern","müssen","entwicklungsländer","aufgabe","immer","aufgaben","immer","wirtschaftlichen","müssen","müssen","unserer","müssen","unserer","müssen","massnahmen","bereich","massnahmen","aufgaben","massnahmen","unserer","müssen","herren","gesellschaft","entwicklung","entwicklung","bereich","massnahmen","unserer","bedeutung","müssen","massnahmen","müssen","massnahmen","entwicklung","entwicklung","bereich","bereich","aufgabe","unserer","entwicklung","unserer","probleme","müssen","aufgabe","unserer","müssen","müssen","müssen","unserer","tourismus","entwicklung","bereich","entwicklung","bereich","bereich","entwicklung","tourismus","aufgabe","bereich","neuen","bereich","bereich","bereich","neuen","neuen","müssen","tourismus","entwicklung","neuen","bereich","bedeutung","bereich","bedeutung","bereich","entwicklung","förderung","müssen","bereich","müssen","bedeutung","wichtig","bereich","müssen","bereich","bereich","wichtig","entwicklung","wichtig","bereich","wichtig","bereich","bereich","wichtig","nachhaltige","wichtig","bereich","herausforderungen","herausforderungen","gesellschaft","entwicklung","müssen","müssen","müssen","herausforderungen","müssen","digitalisierung","müssen","zukunft","müssen","intelligenz","herausforderungen","ki","zukunft","stärken"
"4","entwicklung","gebiet","gebiet","immer","aufgabe","einzelnen","müssen","gebiete","wirtschaftlichen","unserer","aufgabe","probleme","unserer","wirtschaft","entwicklungspolitik","entwicklung","entwicklungspolitik","entwicklung","entwicklung","müssen","entwicklungspolitik","wirtschaft","massnahmen","entwicklungshilfe","aufgaben","wirtschaftlichen","müssen","probleme","zukunft","massnahmen","unserer","müssen","bereich","müssen","entwicklung","massnahmen","massnahmen","aufgabe","möglichkeiten","aufgaben","probleme","entwicklung","entwicklung","aufgaben","müssen","entwicklung","müssen","unserer","unserer","entwicklung","probleme","müssen","aufgabe","unserer","probleme","bereich","unserer","massnahmen","aufgaben","unserer","probleme","probleme","rahmenbedingungen","entwicklung","bedeutung","unserer","aufgaben","aufgaben","aufgabe","aufgaben","bedeutung","neuen","ländern","bereich","ländern","ländern","ländern","müssen","tourismus","neuen","müssen","neuen","rahmenbedingungen","neuen","förderung","aufgaben","bereich","neue","tourismus","bericht","förderung","wichtig","wichtige","wichtig","bedeutung","neue","entwicklung","beispiel","unsere","bereich","bereich","bereich","entwicklung","entwicklung","wichtig","wichtig","entwicklung","wichtig","bereich","herausforderungen","wichtig","müssen","bereich","wichtig","wichtig","wichtig","wichtig","wichtig","entwicklung","entwicklung","bereich","wichtig","herausforderungen","ländlichen","zukunft","zukunft","müssen","zukunft"
"5","aufgabe","gerade","müssen","gebiet","gerade","aufgabe","gerade","einzelnen","aufgabe","gebiet","gebiet","bereich","wirtschaft","entwicklungshilfe","müssen","zusammenarbeit","zusammenarbeit","aufgaben","gebiet","bereich","müssen","unsere","wirtschaftlichen","wirtschaftlichen","bereich","unsere","grossen","massnahmen","müssen","probleme","probleme","entwicklung","probleme","massnahmen","massnahmen","zukunft","entwicklung","dabei","aufgabe","bedeutung","bedeutung","probleme","unserer","beitrag","bedeutung","deshalb","entwicklung","massnahmen","massnahmen","massnahmen","entwicklung","deutlich","massnahmen","massnahmen","entwicklung","beitrag","aufgabe","bereich","probleme","begrüssen","aufgabe","bedeutung","müssen","müssen","unserer","aufgaben","bereichen","zukunft","aufgaben","rahmenbedingungen","aufgaben","bereich","neuen","aufgabe","neuen","neuen","neuen","neue","bereich","neue","neuen","müssen","müssen","müssen","müssen","neuen","rahmenbedingungen","rahmenbedingungen","wichtige","chancen","chancen","förderung","unserer","rahmenbedingungen","unserer","müssen","bedeutung","müssen","besonders","zukunft","neue","unsere","unsere","unsere","unsere","nachhaltige","herausforderungen","bereich","herausforderungen","wandel","thema","thema","herausforderungen","herausforderungen","herausforderungen","nachhaltige","herausforderungen","bereich","wichtig","wichtig","wichtig","müssen","unsere","bereich","bereich","intelligenz","herausforderungen","müssen"
"6","ganz","aufgaben","entwicklung","einzelnen","gebiet","gerade","aufgabe","müssen","aufgaben","aufgaben","massnahmen","gebiet","problem","gebiet","aufgabe","gebiet","massnahmen","probleme","aufgaben","immer","bereich","immer","bereich","massnahmen","probleme","bereich","zukunft","unsere","aufgaben","aufgabe","müssen","massnahmen","bedeutung","probleme","zukunft","schwerpunkt","aufgabe","müssen","bedeutung","entwicklung","müssen","müssen","müssen","massnahmen","aufgaben","massnahmen","deshalb","deshalb","möglichkeiten","probleme","deshalb","entwicklung","entwicklung","aufgaben","massnahmen","unsere","insbesondere","entwicklung","entwicklung","aufgabe","unsere","wichtig","zukunft","fremdenverkehr","zukunft","unsere","bedeutung","aufgabe","zukunft","unserer","bereich","massnahmen","aufgabe","ländern","bedeutung","bedeutung","förderung","ländern","förderung","bedeutung","rahmenbedingungen","rahmenbedingungen","bedeutung","wichtig","bereichen","neue","entwicklung","chancen","förderung","bereich","wichtig","beispiel","bereich","förderung","bereich","bedeutung","unserer","ländern","wichtig","unsere","bedeutung","wichtige","bedeutung","wichtige","nachhaltige","herausforderungen","unsere","herausforderungen","engagement","wichtig","müssen","wichtig","ländlichen","thema","thema","herausforderungen","nachhaltige","unsere","digitalisierung","müssen","herausforderungen","unsere","wichtig","tourismus","wichtig","forschung","bereich","unsere"
"7","glaube","glaube","ganz","unserer","müssen","müssen","immer","massnahmen","gebiet","wirtschaftlichen","gewisse","rahmen","müssen","problem","zusammenarbeit","probleme","müssen","unsere","müssen","unsere","gebiet","massnahmen","aufgabe","heute","aufgabe","entwicklungspolitik","bereich","bereich","unserer","unsere","besonders","probleme","gesellschaft","neue","neue","unsere","bedeutung","massnahmen","müssen","probleme","entwicklung","aufgaben","verbesserung","aufgabe","entwicklung","bedeutung","möglichkeiten","möglichkeiten","probleme","aufgabe","deutlich","probleme","deutlich","probleme","gerade","möglichkeiten","aufgaben","unserer","aufgabe","wichtig","unserer","unserer","ziel","aufgabe","probleme","bedeutung","unserer","bedeutung","ländern","bedeutung","aufgabe","ländern","massnahmen","zukunft","aufgabe","rahmenbedingungen","neue","förderung","zukunft","aufgaben","neue","förderung","ländern","bedeutung","neue","entwicklung","aufgaben","tourismus","wichtig","müssen","bedeutung","gute","fördern","beispiel","neue","unserer","neue","bedeutung","gemeinsam","herausforderungen","wichtige","beispiel","neue","bedeutung","herausforderungen","bedeutung","zusammenarbeit","zusammenarbeit","unsere","unsere","ländlichen","menschen","zusammenarbeit","ländlichen","gesellschaft","projekte","gute","ländlichen","regionen","herausforderungen","zukunft","bereich","entwicklung","zukunft","unsere","müssen","thema","herausforderungen"
"8","unserer","problem","unserer","aufgaben","besonders","notwendig","rahmen","gerade","müssen","gewisse","wirtschaftlichen","gebiete","entwicklungspolitik","rahmen","gebiet","wirtschaft","entwicklung","einzelnen","entwicklungshilfe","aufgabe","unsere","bedeutung","probleme","aufgabe","zukunft","zukunft","unsere","zukunft","unsere","müssen","sozialen","verbesserung","aufgabe","bedeutung","bedeutung","schon","müssen","bedeutung","aufgaben","massnahmen","aufgaben","bedeutung","probleme","entwicklung","deshalb","aufgaben","verbesserung","neue","aufgaben","bedeutung","massnahmen","massnahmen","probleme","anstrengungen","mehr","wichtig","bereichen","besonders","begrüssen","probleme","aufgaben","aufgaben","probleme","unserer","möglichkeiten","aufgabe","probleme","massnahmen","unserer","aufgabe","insbesondere","aufgaben","rahmenbedingungen","probleme","tourismus","neue","rahmenbedingungen","wichtig","ländern","rahmenbedingungen","ländern","bedeutung","förderung","aufgaben","neuen","bedeutung","wichtig","aufgaben","bedeutung","ländern","rahmenbedingungen","bedeutung","dabei","neue","beispiel","wichtige","ländern","wichtige","beispiel","neue","unsere","bedeutung","wichtige","gut","engagement","unsere","bedeutung","nachhaltigkeit","programm","thema","gesellschaft","zukunft","arbeit","unsere","zusammenarbeit","menschen","unsere","arbeit","gesellschaft","unsere","gute","entwicklung","bereich","unsere","deshalb","bereich","zusammenarbeit","gemeinsam"
"9","aufgaben","müssen","zusammenhang","bedeutung","immer","aufgaben","problem","überhaupt","jahren","probleme","keineswegs","massnahmen","aufgabe","probleme","entwicklung","wirtschaftlichen","bereich","zusammenarbeit","zusammenarbeit","mehr","probleme","einzelnen","aufgaben","bereich","grossen","probleme","bedeutung","heute","modernen","modernen","verbesserung","zukunft","aufgaben","aufgaben","aufgabe","mehr","aufgaben","neue","massnahmen","deshalb","ländern","dabei","einzelnen","probleme","beitrag","möglichkeiten","aufgaben","anstrengungen","deshalb","neue","bereichen","dabei","möglichkeiten","aufgabe","stärker","aufgaben","entwicklung","bereichen","massnahmen","massnahmen","möglichkeiten","besonders","wichtig","aufgaben","unsere","wichtige","zukunft","probleme","bedeutung","probleme","ländern","insbesondere","insbesondere","bedeutung","rahmenbedingungen","massnahmen","zukunft","bedeutung","bedeutung","verwaltung","unsere","massnahmen","bereichen","ländern","wichtig","länder","förderung","förderung","aufgaben","wichtig","strukturen","ländern","wichtiger","fördern","wichtige","beispiel","herausforderungen","länder","müssen","gemeinsam","unserer","neue","thema","herausforderungen","bedeutung","thema","unserer","unsere","nachhaltigkeit","demografischen","wandel","unsere","wichtig","zukunft","unserer","thema","thema","bedeutung","ländlichen","gute","unserer","ländlichen","zukunft","herausforderungen","innovationen","herausforderungen","gute","schaffen"
"10","einzelnen","unserer","lösung","glaube","staat","problem","aufgaben","aufgabe","problem","etwa","aufgaben","müssen","gebiet","massnahmen","massnahmen","immer","unserer","massnahmen","entwicklungsländer","wirtschaftlichen","besonders","gebiet","immer","wirtschaftliche","wirtschaftlichen","heute","massnahmen","gebieten","aufgabe","scheint","bedeutung","aufgabe","einzelnen","aufgabe","gebiet","stelle","sozialen","möglichkeiten","verbesserung","möglichkeiten","einzelnen","deutlich","insbesondere","dabei","neue","aufgabe","probleme","bedeutung","verbesserung","gerade","wichtig","sollten","bericht","herren","deutlich","massnahmen","beitrag","unsere","wichtige","bedeutung","herren","aufgabe","unsere","besonders","besonders","zukunft","aufgabe","insbesondere","besonders","zukunft","besonders","probleme","bedeutung","dabei","zukunft","wichtig","bedeutung","insbesondere","rahmenbedingungen","ländern","bedeutung","zukunft","neue","ziel","aufgaben","wichtig","neue","bericht","sowie","wichtige","wichtige","stärken","neue","wichtige","ziel","chancen","ziel","neue","herausforderungen","bedeutung","denke","zukunft","herausforderungen","ländern","wichtige","zusammenarbeit","thema","thema","zusammenarbeit","bedeutung","unsere","ländlichen","müssen","bedeutung","unsere","unsere","ländlichen","wandel","unsere","thema","entwicklung","regionen","intelligenz","regionen","arbeit","unsere","schaffen","dafür"
