"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","müssen","sagen","müssen","müssen","müssen","sagen","sagen","müssen","sagen","sagen","sagen","sagen","sagen","immer","müssen","schon","schon","geld","müssen","wirklich","gibt","geld","ganz","gibt","geld","fremdenverkehr","gibt","zahlen","juristenausbildung","mehr","juristenausbildung","makler","patentamt","überläufer","entschädigung","schwarzarbeit","wahlkreiskommission","volksentscheide","wahlrecht","oldenburg","daten","niedersachsen","übungen","volksbegehrens","film","datenschutz","datenschutz","daten","datenschutz","daten","beschwerden","datenschutz","datenschutz","petitionsausschuss","behinderten","petitionsausschuss","petitionsausschuss","petition","petition","petition","petitionen","petition","petitionsausschuss","petition","petitionsausschuss","petition","petitionsausschuss","petition","petitionsausschuss","petitionsausschuss","petitionsausschuss","petitionen","benjamin","petitionsausschuss","sonntagsarbeit","petitionsausschuss","hotel","petitionsausschuss","petitionen","petitionen","petitionsausschuss","petitionen","petitionen","berufsgenossenschaften","petitionen","expo","beamten","expo","tourismus","petitionsausschuss","tourismus","petitionsausschuss","tourismus","petitionsausschuss","tourismus","tourismus","petitionsausschuss","bücher","petitionen","tourismus","petitionen","petitionen","tourismus","petitionsausschuss","tourismus","petitionsausschuss","heimkinder","tourismus","tourismus","de","tourismus","tourismus","petitionen","petitionen","alpen","petition","bonn","petitionen","demokratie","petitionsausschuss","demokratie","wolf","petition","petitionen","petitionen","petition"
"2","sagen","sagen","sagen","ganz","sagen","sagen","leute","leute","mehr","schon","mehr","schon","schon","müssen","leute","sagen","sagen","mehr","geld","müssen","geld","sehen","denken","gibt","gibt","geld","gibt","fremdenverkehrs","computer","müssen","juristen","sagen","juristen","volladoption","regensburg","augenblick","südrhodesien","auslandsschulwesen","wahlkreis","wahlkreise","wahlkreise","schaumburglippe","gerster","daten","datenschutz","gespeichert","datenschutz","datenschutzes","daten","datenschutz","bundesbeauftragten","datenschutzes","beratungsstelle","beratungsstelle","bundesbeauftragten","petitionen","behinderte","petitionen","petition","petenten","petitionsausschuss","behinderten","petitionsausschuss","petitionsausschuss","petitionen","petenten","petenten","petenten","petition","zusatzprotokolle","petitionen","petitionen","bürger","petitionsausschuss","petition","petitionen","sonn","petitionen","eid","petitionen","petenten","petitionsausschuss","raucher","petitionsausschuss","petitionsausschuss","arbeitsschutz","petitionsausschuss","petitionen","alkohol","petitionsausschuss","petitionsausschuss","petitionen","grossschutzgebieten","petitionen","uhr","petitionen","anwohner","elektronischen","aussengastronomie","buchpreisbindung","petitionsausschuss","praktika","praktika","tourismus","praktikanten","petitionen","barrierefreiheit","petitionen","tourismus","barrierefreiheit","jugendtourismus","dat","petitionen","tourismuspolitischen","petitionsausschuss","petition","wolf","demokratie","reisebüros","petitionsausschuss","enquetekommission","petitionen","petitionen","petition","wolf","petition","petitionsausschuss","hauptausschuss"
"3","heute","schon","schon","müssen","heute","ja","sagen","müssen","müssen","sagen","ganz","müssen","mehr","mehr","müssen","müssen","schon","müssen","müssen","natürlich","ganz","geld","geld","müssen","weiss","müssen","müssen","gibt","mehr","halte","produktivkapital","eigenkapital","beermann","eigenkapital","patentamts","legende","abzahlungsgeschäfte","graf","wahlkreise","bgh","übereinkommen","niedersachsen","datenschutzgesetz","art","versicherungsnummer","volksbegehren","bundesdatenschutzgesetz","film","statistik","datenschutzes","daten","datenschutz","postverkehr","tätigkeitsbericht","datenschutzes","petition","schwerbehinderten","eingaben","petitionen","volksentscheid","petitionen","petenten","petition","petitionsausschusses","petitionsausschusses","petitionsausschuss","petition","petitionsausschuss","petitionen","ratifizierung","petitionsausschusses","eingaben","petitionen","petenten","bou","petenten","petition","petenten","schwöre","petitionsausschusses","petitionsausschuss","eingaben","rauchen","rauchen","petitionsausschusses","gilges","eingaben","armut","expo","tourismus","petitionen","petenten","grossschutzgebiete","uhr","hotel","petenten","kollegin","tourismuswirtschaft","petitionsrecht","buch","petenten","praktikanten","praktikum","petitionsausschuss","praktika","nva","petition","petition","tisches","petitionen","jugendreisen","petitionen","barrierefreiheit","bus","petition","petitionsausschuss","tourismus","petitionsausschuss","wolf","tourismus","wolf","wolf","wolf","petitionen","demokratie","petitionsausschuss","petition","moldau"
"4","müssen","müssen","ja","ja","ganz","ganz","ganz","tun","schon","mehr","müssen","ganz","ja","schon","geld","mehr","dinge","gar","mehr","schon","kostet","menschen","sagen","dinge","ja","viele","leute","müssen","glaube","sagen","eigentum","glück","rechtsschule","abhebungsbetrages","maschine","schulz","sanktionen","beispiele","berger","neugliederung","patentübereinkommen","neugliederung","datenschutz","grundgesetzes","verfassungsreform","datenschutz","filmwirtschaft","bundesbeauftragten","statistischen","meldebehörden","datenschutzes","professor","preisindex","bundesbeauftragten","bundesdatenschutzgesetzes","eingaben","behindertenpolitik","bürger","petenten","petitionen","petenten","petitionsausschuss","petenten","petitionen","petenten","grube","petitionsausschusses","zusatzprotokolle","petitionsausschusses","stpo","petenten","petitionsausschusses","herr","petition","port","eingaben","laumann","petitionsausschusses","helfe","petenten","petition","petition","nichtraucher","nichtraucher","eingaben","unregelmässigkeiten","petenten","petitionsausschuss","getränk","rauchen","brähmig","sperrzeiten","touristische","petition","urlaub","petition","drogeneinfluss","elektronische","lärm","schulbücher","tourismus","jugendarbeitsschutzgesetz","petitionsausschuss","petition","barrierefreiheit","tourismus","hof","petenten","runden","barrierefreien","reisen","un","petitionsausschuss","branche","tourismus","tourismus","alpenkonvention","petitionen","wölfe","petition","direkte","demokratie","petitionsausschuss","petitionsausschuss","petentin","petenten","petenten","ziffer"
"5","schon","vielleicht","ganz","schon","ja","schon","mehr","mehr","immer","tun","schon","heute","gar","immer","gar","leute","gar","sagen","heute","wirklich","ja","gibt","schon","glaube","geld","kostet","weiss","menschen","menschen","gibt","rosenthal","insgesamt","referendare","strafmass","volladoption","vertrauen","anerkennung","wieviel","wahlkreiseinteilung","gesamtneugliederung","wahlkreiseinteilung","volksentscheid","datenverarbeitung","datenschutzgesetz","enquetekommission","eintragungsstellen","datenschutzes","daten","datenschutzes","bürgers","datenverarbeitung","bürgers","behörden","datenschutzes","datenverarbeitung","petenten","stiftung","petitionsausschusses","behinderten","petitionsausschuss","petitionsausschusses","schwerbehinderter","schwerbehinderten","petenten","petition","petent","petitionen","depfa","petenten","nuklearerklärung","eingaben","petition","wurde","eingaben","bundesminister","petitionsausschusses","sonntag","petition","petitionsausschuss","eingaben","nolting","petitionsausschusses","petitionen","petition","bürgerinnen","arbeitsunfälle","petitionsausschusses","reichtum","getränke","armut","tourismuswirtschaft","petitionsausschusses","vizepräsidentin","petenten","wassertourismus","wassertourismus","aif","kulturtourismus","petitionen","buchhandlungen","petitionsausschusses","uhr","rettungsassistenten","petenten","nva","petition","petitionsausschuss","nva","heimerziehung","petitionsausschuss","barrierefreiheit","petitionsausschuss","petition","webcams","bürgerinnen","eingaben","aiib","tab","biologie","petenten","wölfe","petition","petition","wölfe","schwimmen","petitionsausschusses","ausschuss","rennwett"
"6","ganz","glaube","leute","möchte","wirklich","dinge","schon","viele","zahlen","gar","gar","gar","dinge","möchte","ja","einfach","mehr","eigentlich","immer","mehr","sagen","vielleicht","mehr","leute","müssen","natürlich","ja","urlaub","geld","grossen","leute","weiss","münzgewinn","vorübergehend","müssen","ausschliesst","anhand","lambsdorff","volksentscheide","materialien","wahlrechts","landesregierung","neugliederung","rechtslage","bevölkerung","daten","filmtheater","bundesdatenschutzgesetz","statistiken","sozialdaten","tätigkeitsbericht","bitte","lebenshaltung","betroffenen","sicherheitsbehörden","petitionsausschusses","datenschutz","petition","petitionsausschusses","behinderten","bürger","petitionen","petitionsausschusses","oberjettenberg","bürger","messel","anliegen","ratifizierung","eingaben","zivilbevölkerung","zusatzprotokolle","petenten","herren","petitionsausschusses","petitionen","petition","stundenwoche","eingaben","gastgewerbe","beschwerden","lebenslangen","petenten","petition","raucher","bürger","tödlichen","bürger","petenten","belle","hinsken","petition","biergärten","unfallverhütungsbericht","burgbacher","gaststättengewerbe","tourismuswirtschaft","ant","kurth","petition","tourismus","eingaben","praktikum","petition","reisen","praktikantinnen","jugendaustausch","urlaub","petitionsrecht","sozialtourismus","itb","jugendherbergen","petition","reisen","de","bürger","petenten","wölfe","bürger","petition","anliegen","afd","bürger","direkte","wölfen","ausschuss","bürger","anliegen","massnahmenpaket"
"7","dinge","wissen","heute","mehr","vielleicht","mehr","dinge","schon","dinge","ja","möchte","geld","müssen","ja","schon","schon","immer","ganz","wirklich","daran","schon","müssen","menschen","vielleicht","sagen","ja","ganz","leute","schon","weiteres","müssen","schon","stark","zehn","bundespatentamt","luftverkehr","immateriellen","wahrzunehmen","neugliederung","bundeswahlgesetzes","neugliederung","land","wittmann","bundesgesetz","daten","kollege","filmförderung","filme","bull","sicherheitsbehörden","datenschutzbeauftragten","bericht","beschwerde","datenverarbeitung","beschlussempfehlung","bürger","behinderung","behinderten","gelände","nickels","behinderten","petent","massenpetitionen","göhner","eingaben","petitionen","segall","petitionsausschusses","bürger","petenten","ratifizierung","helfe","braun","bürgerinnen","bundespräsident","ahmadis","arbeitszeitordnung","ausschuss","gott","ausschuss","lebenslange","bürgerinnen","petent","nichtraucherschutzgesetz","petition","berufskrankheiten","petition","armuts","versorgungsempfänger","brähmig","hinsken","petition","kastner","beschwerden","tourismuswirtschaft","tourismus","begehren","uhr","sperrzeiten","buchpreisbindungsgesetz","petition","hinsken","praktikanten","bürger","petitionsausschuss","petenten","zustimmungsbedürftig","bürger","oits","barrierefreier","kinder","is","urlaub","tourismusbranche","petitionsausschusses","rüffer","vorsitz","anliegen","tourismus","bürger","weidetierhalter","anliegen","petenten","demokratie","plenum","anliegen","petitionsausschusses","petitionsausschuss"
"8","immer","dinge","gar","vielleicht","mehr","leute","ja","ganz","ganz","ganz","ja","möchte","ganz","leute","einfach","ganz","natürlich","zahlen","ganz","leute","wirklich","schon","glaube","wirklich","schon","sagen","sagen","kurorte","weiss","schon","vermögen","nimmt","assessorexamen","subventionen","europäische","voriger","gold","naturgemäss","wahlrechts","herr","patentamt","volksentscheide","gebühren","land","britischen","übungen","filmabgabe","filmförderung","datenverarbeitung","meldewesen","bundesbeauftragte","schwencke","monopol","postverkehr","daten","bundesinnenminister","anerkennung","petenten","eingaben","petitionsausschusses","plenum","petitionsausschusses","schwerbehinderte","kirchholz","berger","beschwerden","bürger","petitionen","büdingen","petitionsausschuss","nuklearerklärung","schwöre","veranlasste","bürger","herr","ausschuss","nachtarbeit","bürgerinnen","petition","petition","sammelübersicht","beschwerden","petenten","petenten","nickels","weisen","bürgerinnen","petitionsausschusses","dienst","burgbacher","irber","hinsken","rossmanith","petitionsausschusses","branche","uhr","uhr","gäste","uhr","privatschulen","petitionsrecht","jugendarbeitsschutzgesetzes","petenten","petitionsausschusses","tourismuswirtschaft","petitionsausschusses","rahmendaten","petitionsausschusses","nva","barrierefreie","barrierefreien","en","barrierefreien","gästen","eingaben","petitionsausschusses","petition","petenten","bonner","bürgerinnen","bürgerbeteiligung","bürgerinnen","wölfe","petenten","erwägung","demokratie","ausschusses","ausschuss"
"9","glaube","ganz","wirklich","dinge","zahlen","zahlen","möchte","weiss","leute","glaube","heute","viele","immer","problem","dinge","gar","daran","einfach","sehen","glaube","mehr","heute","viele","ganz","glaube","ganz","überlegen","fremdenverkehrswirtschaft","leute","hilfreich","ausbildung","wasser","stufung","musst","thema","sucht","karlsruhe","herr","qualifizierung","verschiebung","wahlkreiskommission","landes","bundesdatenschutzgesetz","datenschutz","roten","verfassungsreform","films","datenverarbeitung","datenschutzbeauftragten","datenverarbeitung","sozialgesetzbuch","bundesdatenschutzgesetzes","technologiefolgenabschätzung","beschwerden","behörden","fälle","erwerbsfähigkeit","beschwerden","anliegen","anliegen","beschwerden","ausgleichsabgabe","schwerbehinderter","petent","arbeit","segall","beschwerden","nuklearerklärung","verkehrswert","einbau","protokolle","ausschuss","zusatzabkommen","ausschuss","eid","petentin","stunden","jahresbericht","wahr","jahresbericht","hansulrich","ausschuss","bürgerbeauftragte","eingaben","petenten","unfälle","jahresbericht","hannover","kemper","petitionsrecht","tourismusbranche","uhr","kollege","bürger","haupt","petitionsrecht","gäste","brähmig","baumann","buchpreisbindungsgesetzes","tourismusbranche","naturparke","generation","bürgerinnen","leitlinien","eingaben","unterschriften","tourismus","petitionsausschuss","petition","urlaub","wi","hotel","urlaub","ausschussdienstes","beschwerden","weltbank","technikfolgenabschätzung","berlinbonngesetz","petitionsausschusses","plenum","direkten","ausschuss","petitionsausschusses","wann","mitzeichnungen","bürger","lotteriegesetz"
"10","gar","möchte","mehr","menschen","leute","möchte","zahlen","wissen","ja","möchte","zahlen","immer","leute","ganz","wirklich","gibt","sehen","heute","wenig","heute","zahlen","gar","müssen","unsere","denken","gar","kostet","sagen","sagen","rolle","beteiligungswerten","geld","eingruppierung","weiss","parlamentariern","zwanzig","geredet","tragenden","sowieso","wahlkreiseinteilung","patent","art","patentstelle","verfassung","erfindungen","landesdatenschutzgesetze","landesregierungen","bundesdatenschutzgesetzes","erhebungen","statistik","leistungsträger","verwaltung","parlaments","laufs","referentenentwurf","regenspurger","dolata","berger","esterwegen","ausschuss","massenpetitionen","material","eingaben","verlegung","dienstag","anliegen","peter","terminbörse","ratifizierung","ratifiziert","wenden","bürger","pressemitteilungen","anliegen","tuzla","pakistan","sonntags","erwägung","bundesminister","petent","reuter","bürger","bürgerbeauftragten","petitionsausschusses","ausschuss","kollegin","ausschuss","petition","gastwirte","arbeitsplatz","armut","biergarten","dr","eingaben","tourismuspolitik","irber","minus","undine","bürger","rabatt","bürger","reisen","eingaben","tourismuswirtschaft","praktikum","heimkinder","antrag","bürgerinnen","unrecht","petenten","angebote","för","burgbacher","gäste","ausschuss","mitarbeiterinnen","campact","petitionsausschusses","reisebüro","arbeit","patentgericht","wölfe","petitionsausschusses","wahlalter","petitionsausschuss","petitionsrecht","volksparteien","ausschüsse"
"11","vielleicht","leute","immer","gar","wissen","vielleicht","heute","ja","viele","problem","geld","mehr","heute","gar","immer","natürlich","ganz","wenig","überhaupt","ganz","heute","immer","heute","tun","leute","menschen","gut","viele","ja","griff","weiss","bundeskasse","jurist","ertrag","klarmachen","international","einschreiten","hallen","darauf","wahlkreiskommission","europäischen","grundgesetzes","patentübereinkommen","wahlgesetz","gerster","verfassung","wohlrabe","filmwirtschaft","tätigkeitsbericht","sozialrecht","bundesdatenschutzgesetzes","landschaftspflege","bürger","datenschutzbeauftragten","bürger","datenschutz","minderung","sach","nickels","göhner","einzelfälle","schwerbehinderten","plenum","renger","petitionsrecht","petitionsausschusses","bürgerinnen","kriegsvölkerrecht","bürgerinnen","protokolle","bürger","eid","bundesminister","kolleginnen","stilistisch","bürgerinnen","feiertagsarbeit","fälle","gastgewerbes","bürgerinnen","polisario","dehnel","bürger","bürger","reuter","bauberufsgenossenschaft","arbeit","weltausstellung","alkoholfreies","armuts","beamtenversorgung","eingaben","zwischenfrage","zigaretten","ferienregelung","bürger","antrag","sommerferienregelung","petenten","schulbüchern","menschen","petitionsausschuss","jahresbericht","hinsken","petitionen","praktikanten","touristischen","eingaben","heimkindern","natko","antrag","petitionsausschusses","tourismuswirtschaft","gemeinschaftsaufgabe","arbeit","bürgerinnen","alpenraum","bürgerinnen","synthetische","mitarbeiterinnen","direkter","petitionsausschusses","bürger","wolfes","petitionsausschusses","bundesebene","bürgerstunde","moldauer"
"12","möchte","immer","vielleicht","immer","viele","wirklich","tun","dinge","zahl","jahr","tun","leute","möchte","gibt","natürlich","vielleicht","ja","menschen","sagen","wissen","überhaupt","sollten","weiss","mehr","wäre","wäre","weniger","mehr","plum","weiss","wirtschaft","fragwürdige","haare","sieglerschmidt","umgehend","ankommt","herübergekommen","haushaltungen","wittmann","wahlrecht","erfindungen","niedersächsischen","rehlen","landes","soltaulüneburg","rheinlandpfalz","filmtheatern","bürgers","bundesdatenschutzgesetzes","amtshilfe","kapitel","personenbezogener","informationen","böhm","tätigkeitsbericht","bundesaufsichtsamt","ausgleichsabgabe","härten","landesregierung","kandidiert","erledigt","schichtarbeit","berger","versetzung","ausschuss","zivildienstbeauftragten","amtshilfe","segall","ausschuss","anliegen","ratifiziert","anliegen","bürgerinnen","beschwerden","hbg","bürger","arbeitszeit","bürger","herrn","dehnel","schulze","jahresbericht","petitionsausschusses","bürgerinnen","konnte","unternehmungen","petitionsrecht","besucher","versorgungsrechtsreform","nichtraucher","armuts","brähmig","kollegen","jugendarbeitsschutzgesetz","hinsken","tež","hätten","elektronisch","fussballweltmeisterschaft","büchern","jahr","jugendarbeitsschutz","einmalzahlung","petitionsrecht","tourismuspolitik","praktikum","barrierefrei","anliegen","heimen","menschen","tourismuswirtschaft","ok","gaststättengewerbe","staatssekretärin","petenten","anliegen","alpenstaaten","volksbegehren","region","ausschuss","bundesebene","direkte","bundestages","petitionsrecht","gwbnovelle","bürgerinnen","bürgerinnen","fachausschüssen"
"13","gerade","bekommen","tun","zahlen","dinge","immer","jahr","möchte","geld","zahl","dinge","zahlen","viele","heute","ganz","ja","zahlen","ja","zahlen","denken","sehen","zufrieden","vielleicht","geht","wirklich","sehen","natürlich","geld","heisst","mehr","geht","pflichten","ausbildung","einzig","äusserst","bürgern","überhöhten","katastrophenschutzes","vermögenswerte","berger","wittmann","bevölkerung","rechtsausschuss","mehrheit","landesregierung","mitteilen","datenschutzrechts","films","statistische","verwaltung","sicherheitsbehörden","kontroll","warenkorb","zentrale","hirsch","reuter","schwerbehindertengesetz","akten","belange","kampfstoffe","eingaben","kirschner","anliegen","gerichtsverfahren","petitionsrechts","eingaben","eingaben","petentin","anliegen","petitionen","genfer","gott","grossteil","enkelmann","petitionsausschuss","beschwerden","flexibilisierung","sammelpetitionen","gaststättengewerbes","neuberechnung","petent","nickels","betreuer","titzestecher","zahl","wegeunfälle","armuts","rauchen","gaststätten","raucher","mosdorf","trinkgeldbesteuerung","wattenmeer","petitionsrecht","auto","to","nachtruhe","tourismusbranche","ta","kulturgut","bücher","naturlandschaften","rettungsdienst","öffentliche","reisen","arbeit","dank","ausschussdienstes","entschädigung","nva","hillerohm","vun","branche","menschen","petitionsrecht","bürger","us","beschwerden","ministerien","petentinnen","ausschusssitzungen","eingaben","enquetekommission","abschuss","arbeitsparlament","petentin","ausschussdienst","rumänien"
"14","leute","wirklich","bekommen","heute","gar","gar","gar","immer","gar","zahlen","leute","dinge","vielleicht","zahlen","gibt","wissen","möchte","leute","gibt","tun","menschen","gesetz","wirklich","sehen","gar","vielleicht","möchte","schon","kommt","allerdings","rolle","eigentum","weniger","entgegenhalten","schäden","stimmenthaltung","emmerlich","segnungen","gut","bundesregierung","münchen","bundesgesetzgeber","bürgers","landesregierung","niedersachsen","abgeordneten","fernsehens","dateien","behörden","behörden","bürger","sicherheitsbehörden","grenzschutzeinzeldienstes","reise","laufs","kreditwesen","behinderungen","eingabe","beauftragte","neuhausen","berger","beförderung","ausgleichsabgabe","vahlberg","jahresbericht","ausschuss","petent","pfandbriefanstalt","notare","aufwendungen","arbeit","bürgerinnen","bohl","berücksichtigung","helfe","anliegen","petenten","anliegen","herr","wenden","kollege","prozent","sauer","passivrauchen","betreuer","angezeigten","nickels","eingaben","bier","irber","urlaub","irber","bedanken","hotel","jugendarbeitsschutz","za","touristische","burgbacher","eingaben","schüler","frau","petitionsrecht","versorgungsempfänger","tourismuspolitik","urlaub","ausschuss","heinz","öffentlichen","urlaub","petitionsausschusses","barrieren","se","petitionsausschusses","reisen","anliegen","mitarbeiter","petitionsausschuss","bundestages","pauschalreise","petitionsrecht","bürger","arbeit","plenum","bürger","rohde","ausschusses","plenum","mitgibt"
"15","tun","gar","zahlen","wirklich","wäre","viele","geld","glaube","heute","leute","viele","gibt","gibt","sehen","viele","geld","vielleicht","dinge","viele","gibt","denken","unsere","leute","natürlich","dinge","leute","mehr","kostet","zahlen","vielen","arbeiten","enquete","kleinen","stark","statistik","nachweisen","bekannter","kurven","firma","wahlkreisen","patentrechts","landkreis","patentamt","grundgesetz","innenausschuss","bayern","fernsehen","bundesbeauftragte","wernitz","verkehrskontrollen","hirsch","souveränität","mitgezählt","bundesdatenschutzgesetzes","personenbezogener","häfele","schwerbehinderte","eingliederung","niedersächsischen","behinderte","anliegen","schichtarbeiter","bürger","pöppl","beschwerden","naturerbes","votum","börsen","petent","völkerrecht","ratifikation","eingabe","bitte","sorgen","volkes","bundesbeauftragten","resultat","ausschusses","petitionen","wurden","referendum","reichardt","nichtraucherschutz","rauchern","dehnel","fuchs","anliegen","nichtraucher","gaststätte","petitionen","petenten","rauchen","gangenen","konnte","realschüler","aussengastronomie","gemeint","dzt","öffnungszeiten","bär","bürgerinnen","urlaub","lösekrugmöller","tourismuspolitischen","bundesministerien","touristischen","tourismusbranche","massenpetitionen","heime","eingaben","touristischen","ik","gastgewerbe","touristische","beschwerden","ausschussdienstes","asian","petent","wolfes","eingaben","schweiz","direkter","votum","einsprüche","aufrecht","wenden","unterschriften","wölfe"
"16","wissen","heute","dinge","bekommen","schon","wissen","immer","einfach","gibt","jedenfalls","immer","problem","einfach","natürlich","möchte","eigentlich","eigentlich","daran","natürlich","ja","gibt","natürlich","tun","heute","viele","bezahlt","glaube","tourismus","vielleicht","absurd","zeit","ertrag","angepasst","angabe","gehört","damen","nächsten","schnitt","problem","wahlrechts","patente","gerster","wendig","bevölkerung","schwencke","personenbezogenen","filme","tätigkeitsbericht","bundesbeauftragten","laufs","sozialgesetzbuches","zeitschriften","index","behinderungen","datenschutzbeauftragte","teilzahlungsbanken","anfrage","immer","petitionsrecht","volksentscheids","wohlfahrtsverbände","lärmschutzzone","göhner","frau","petent","anmeldung","nickels","frau","votum","kontrollstellen","jahresbericht","wahr","europa","bundesminister","rexrodt","bundesminister","kinderarbeit","massen","dr","abhilfe","gastgewerbe","wurde","passivrauchen","ausschuss","arbeit","gutachter","mitarbeiterinnen","bürgerinnen","brähmig","aussengastronomie","tourismuspolitik","aussengastronomie","monopolgutachten","gaststättengewerbe","tätigkeitsbericht","sperrzeiten","kinderprostitution","übernachtungen","ausschussdienst","tourismuswirtschaft","arbeit","burgbacher","petitionsausschusses","burgbacher","petitionsrecht","touristische","tourismuspolitischen","petitionswesen","rupprecht","barrierefrei","barrierefrei","nich","grossveranstaltungen","wi","mitarbeiterinnen","petent","asiatischen","volksentscheid","berlin","bundestages","verfassungsbeschwerde","volke","arbeit","öffentliche","oft","einstimmig","wenden","angesprochen"
"17","wirklich","mehr","wissen","glaube","jahr","heute","menschen","geld","jahr","natürlich","gehen","vielleicht","deswegen","einfach","mehr","sehen","jahre","natürlich","eigentlich","zahlen","glaube","tun","unsere","ja","sicher","ganze","gar","immer","müssen","immer","natürlich","müssen","tut","beispiele","staatlichen","investitionen","rückhalt","umverteilung","fünf","rheinlandpfalz","gemeinschaften","schäfer","datenschutzes","ausgaben","wendig","kohl","herr","datenschutzgesetz","grundrecht","bundesdatenschutzgesetzes","arbeitsgemeinschaften","anzeigen","lärm","sicherheitsbehörden","bundesbeauftragte","wimmer","bundesbeauftragten","kündigung","beschwerden","beförderung","beförderung","mann","petitionsrecht","segall","befugnisgesetz","frau","berücksichtigung","ratifiziert","peter","notare","bundes","beschwerden","abgeschlossen","wenden","bürger","petent","karljosef","beschwerden","leisten","nolting","nickels","petent","betreuten","arbeitsplatz","beschwerden","lensing","wenden","bürger","burgbacher","gastronomie","versorgungsrücklage","kollegen","redner","gastgewerbe","burgbacher","na","kleinunternehmerförderungsgesetz","fasse","ladenöffnungszeiten","räumungsverkaufsklausel","jahresbericht","tourismuswirtschaft","rettungsassistent","öffentlichen","tourismuspolitischen","ehemaliger","reiseziel","beschwerden","reisen","behinderungen","klassenfahrten","petitionsrecht","barrierefreie","tourismusausschuss","kolleginnen","steinke","ausschuss","arbeit","reisen","tourismuspolitik","wolfes","schäfereien","anliegen","herdenschutz","geschadet","ausschuss","petitionswesen","gut"
