"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","bundeswirtschaftsminister","kohle","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaftspolitik","wirtschaft","bundesregierung","kohle","wirtschaft","schiller","schiller","wirtschaft","kohle","wirtschaft","wirtschaft","wirtschaft","schiller","bundesbank","schiller","schiller","schiller","schiller","strauss","bundesbank","stabilitätspolitik","inflation","strauss","wirtschaft","wirtschaft","rico","investitionen","wirtschaft","wirtschaft","wachstum","wachstum","wirtschaft","wirtschaft","wirtschaft","bundesbank","wirtschaft","arbeitslosigkeit","investitionszulage","investitionen","investitionen","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","wirtschaft","arbeitslosigkeit","banken","ddr","ddr","marktwirtschaft","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","unternehmen","mittelstand","mittelstand","mittelstand","deutschland","unternehmen","deutschland","deutschland","deutschland","deutschland","deutschland","deutschland","unternehmen","unternehmen","aufschwung","aufschwung","krise","krise","krise","krise","handwerk","krise","wachstum","deutschland","mittelstand","unternehmen","investitionen","investitionen","wirtschaft","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","wirtschaft"
"2","kohle","eisen","wirtschaftspolitischen","wettbewerb","bundeswirtschaftsminister","wirtschaft","bergbau","bundeswirtschaftsminister","deist","wirtschaft","bundeswirtschaftsminister","kohle","wirtschaft","aufwertung","massnahmen","wirtschaft","kohle","kohle","investitionen","konjunkturpolitik","kurlbaum","bergbau","kohle","schmücker","bundesbank","wirtschaft","schiller","bundeswirtschaftsminister","saar","wirtschaft","schiller","stabilität","bundesbank","wirtschaft","wirtschaft","inflation","inflation","inflation","bundesbank","inflation","friderichs","arbeitslosigkeit","strauss","wirtschaft","investitionen","strukturpolitik","biedenkopf","arbeitslosigkeit","arbeitslosigkeit","biedenkopf","leistungsbilanzdefizit","wirtschaft","arbeitslosigkeit","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","wirtschaft","arbeitsplätze","wirtschaft","arbeitslosigkeit","wachstum","wachstum","unternehmen","marktwirtschaft","marktwirtschaft","treuhand","arbeitsplätze","unternehmen","wirtschaft","wirtschaft","wirtschaft","arbeitsplätze","wirtschaft","unternehmen","arbeitslosigkeit","arbeitslosigkeit","unternehmen","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","unternehmen","unternehmen","deutschland","arbeitsplätze","deutschland","prozent","wachstum","deutschland","wachstum","unternehmen","wachstum","unternehmen","arbeitsplätze","wachstum","deutschland","aufschwung","deutschland","unternehmen","unternehmen","unternehmen","wachstum","wachstum","krise","deutschland","krise","europa","deutschland","wirtschaft","wachstum","wachstum","investitionen","deutschland","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","unternehmen"
"3","millionen","kohle","marktwirtschaft","kartelle","ausschreibung","investitionen","wirtschaft","kartellbehörde","kohle","wirtschaftspolitik","deist","bergbau","wirtschaftspolitik","bundeswirtschaftsminister","kurlbaum","erhard","deist","bundeswirtschaftsminister","luitpoldhütte","massnahmen","wirtschaft","eisenerzbergbau","gutachten","bundesbank","wachstum","bundeswirtschaftsminister","ruhr","schiller","schiller","aufwertung","wirtschaft","wirtschaft","wirtschaft","preissteigerungen","bundesbank","wirtschaft","stabilitätspolitik","bundesbank","strauss","bundesbank","investitionen","aufschwung","mittelstandspolitik","arbeitslosigkeit","wachstum","wachstum","marktwirtschaft","wirtschaft","unternehmen","unternehmen","wirtschaftspolitik","lambsdorff","lambsdorff","investitionen","investitionen","lambsdorff","unternehmen","unternehmen","arbeitsplätze","protektionismus","investitionen","investitionen","unternehmen","unternehmen","arbeitsplätze","investitionen","arbeitsplätze","wirtschaftspolitik","haussmann","währungsunion","investitionen","investitionen","wirtschaft","treuhand","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","unternehmen","arbeitslosigkeit","unternehmen","unternehmen","unternehmen","politik","arbeitslosigkeit","arbeitsplätze","deutschland","prozent","deutschland","mittelstand","wachstum","unternehmen","mittelstand","prozent","wachstum","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","wachstum","deutschland","wirtschaft","arbeitsplätze","unternehmen","brüderle","brüderle","europa","europa","krise","wachstum","deutschland","deutschland","unternehmen","deutschland","forschungsförderung","investitionen","deutschland","siemens","deutschland","marktwirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","mittelstand"
"4","wirtschaftspolitik","wirtschaftspolitik","bundeswirtschaftsminister","industrie","wirtschaftspolitik","deist","kohle","markt","bergbau","markt","bergbau","erhard","deist","preise","bundeswirtschaftsminister","deist","wirtschaft","deist","bundeswirtschaftsminister","wirtschaft","bundeswirtschaftsminister","bundesregierung","schmücker","wirtschaft","stabilität","ruhr","wirtschaftspolitik","massnahmen","bundeswirtschaftsminister","bundesbank","massnahmen","bundesbank","stabilität","stabilität","stabilität","stabilität","stabilitätsabgabe","strauss","stabilität","wirtschaft","arbeitslosigkeit","strauss","puerto","wachstum","arbeitslosigkeit","investitionen","wirtschaft","investitionen","wachstum","vermögensbildung","lambsdorff","zinsen","zinsen","bundesbank","wettbewerbsfähigkeit","arbeitsplätze","arbeitsplätze","arbeitsplätze","lambsdorff","zinsen","wirtschaft","politik","arbeitsplätze","wirtschaft","wirtschaftspolitik","wachstum","arbeitslosigkeit","arbeitsplätze","wirtschaft","unternehmen","arbeitslosigkeit","treuhandanstalt","unternehmen","arbeitsplätze","treuhandanstalt","treuhandanstalt","arbeitslosigkeit","arbeitslosigkeit","rexrodt","arbeitslosigkeit","wirtschaft","deutschland","deutschland","deutschland","arbeitsmarkt","politik","arbeitslosigkeit","wirtschaft","arbeitsmarkt","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","unternehmen","wirtschaft","clement","prozent","arbeitsplätze","arbeitsplätze","politik","unternehmen","wachstum","wachstum","arbeitsplätze","arbeitsplätze","mittelstand","marktwirtschaft","brüderle","aufschwung","aufschwung","wachstum","deutschland","wachstum","unternehmen","wachstum","wirtschaft","deutschland","unternehmen","investitionen","deutschland","arbeitsplätze","mittelstand","investitionen","mittelstand","industrie","altmaier","altmaier","marktwirtschaft","transformation"
"5","industrie","behörde","industrie","bundeswirtschaftsminister","investitionen","massnahmen","preis","wirtschaft","behörde","wettbewerb","zoll","heizölsteuer","erhard","massnahmen","erhard","preise","bergbau","wirtschaft","massnahmen","preise","bergbau","kohle","wirtschaft","stabilität","wirtschaftspolitik","schiller","massnahmen","wirtschaftspolitik","saarland","bundeswirtschaftsminister","stabilität","stoltenberg","müllerhermann","rezession","inflation","jahr","stabilität","müllerhermann","lambsdorff","arbeitslosigkeit","aufschwung","investitionen","wirtschaft","marktwirtschaft","marktwirtschaft","arbeitslosigkeit","lambsdorff","lambsdorff","marktwirtschaft","wachstum","kiep","japan","investitionen","arbeitsplätze","unternehmen","arbeitslosigkeit","wirtschaft","investitionen","unternehmen","wachstum","unternehmen","wachstum","wirtschaftspolitik","politik","unternehmen","unternehmen","investitionen","wirtschaft","arbeitsplätze","bundesrepublik","wirtschafts","wirtschaft","treuhand","wirtschaft","ostdeutschland","solidarpakt","treuhandanstalt","wirtschaftspolitik","arbeitslosigkeit","deutschland","beschäftigung","wirtschaft","politik","politik","deutschland","wirtschaft","deutschland","deutschland","arbeitslosigkeit","arbeitsmarkt","arbeitsplätze","arbeitslosigkeit","clement","mittelstand","prozent","arbeitsplätze","unternehmen","prozent","prozent","mittelstand","aufschwung","deutschland","unternehmen","wachstum","marktwirtschaft","mittelstand","wirtschaft","deutschland","wirtschaft","wirtschaft","mittelstand","politik","europa","europa","mittelstand","wirtschaft","mittelstand","wirtschaft","mittelstand","prozent","deutschland","altmaier","forschungsförderung","mittelstand","unternehmer","automobilindustrie","mittelstand","arbeitsplätze"
"6","arbeitslosigkeit","konsumgenossenschaften","wirtschaftspolitik","marktwirtschaft","industrie","kohle","deist","wirtschaftspolitik","wirtschaft","hellwig","wirtschaftspolitik","deist","heizölsteuer","dmark","tankstellen","wirtschaftspolitik","wirtschaftspolitik","bergbau","marktwirtschaft","wirtschaftsbericht","bundesregierung","arendt","bergbau","kohle","schiller","strukturpolitik","kohle","aussenwirtschaftlichen","bundesbank","müllerhermann","aufwertung","müllerhermann","aufwertung","inflation","strauss","schiller","narjes","lambsdorff","stabilitätspolitik","friderichs","bundesbank","müllerhermann","investitionen","wirtschaftspolitik","friderichs","wirtschaftspolitik","unternehmen","unternehmen","lambsdorff","wirtschaftspolitik","arbeitslosigkeit","marktwirtschaft","graf","lambsdorff","gemeinschaftsinitiative","unternehmen","lambsdorff","lambsdorff","wachstum","arbeitsplätze","wachstum","wirtschaft","roth","investitionen","bangemann","wirtschaft","weltwirtschaft","roth","marktwirtschaft","wirtschaft","wirtschaft","unternehmen","marktwirtschaft","investitionen","osten","osten","wirtschaftspolitik","rexrodt","wirtschaftspolitik","wirtschaftspolitik","deutschland","wachstum","wirtschaft","arbeitsmarkt","prozent","wirtschaftspolitik","arbeitsmarkt","wachstum","wachstum","prozent","wachstum","unternehmen","prozent","betriebe","mehr","wirtschaft","mittelstand","arbeitslosigkeit","wachstum","land","land","wirtschaft","mehr","prozent","bundeskanzlerin","wirtschaft","politik","wirtschaft","wachstum","politik","wirtschaft","mittelstand","steinbrück","mittelstand","unternehmen","prozent","prozent","prozent","entwicklung","investitionen","investitionen","mittelstand","startups","altmaier","investitionen","deutschland","industrie","marktwirtschaft"
"7","stahl","bundeswirtschaftsminister","wettbewerb","kartell","konjunkturpolitik","preise","preise","preise","hellwig","erhard","wirtschaft","heizöl","wettbewerb","wirtschaftspolitik","industrie","verbraucher","massnahmen","wirtschaftsbericht","erhard","wirtschaftspolitik","steinkohlenbergbau","massnahmen","bundeswirtschaftsminister","kuponsteuer","investitionen","bergbau","investitionen","bundesbank","wirtschaftspolitik","jahreswirtschaftsbericht","wirtschaftspolitik","inflation","mai","wirtschaftspolitik","wirtschafts","versprochen","massnahmen","bundesfinanzminister","wirtschafts","lambsdorff","programm","rezession","aufschwung","lambsdorff","lambsdorff","jahreswirtschaftsbericht","arbeitslosigkeit","arbeitsplätze","biedenkopf","lambsdorff","investitionen","arbeitslosigkeit","bundesbank","zinsen","arbeitslosigkeit","graf","bundesbank","williamsburg","investitionen","wirtschaftspolitik","wirtschaftspolitik","arbeitsmarkt","politik","mehr","investitionen","wirtschaftspolitik","wirtschaftspolitik","investitionen","bank","wirtschafts","lafontaine","arbeitsplätze","investitionen","betriebe","investitionen","ostdeutschland","wachstum","treuhandanstalt","wachstum","mittelstand","mehr","beschäftigung","mehr","mehr","politik","arbeitsmarkt","wachstum","prozent","prozent","wachstum","unternehmen","wachstum","wirtschaft","prozent","land","wachstum","clement","clement","land","wirtschaft","politik","glos","politik","wirtschaft","arbeitsplätze","deutschland","deutschland","politik","deutschland","eurobonds","schulden","schulden","schulden","investitionen","europa","europa","wachstum","mittelstand","gabriel","gründungen","marktwirtschaft","forschungsförderung","altmaier","deutschland","mittelstand","marktwirtschaft","investitionen","investitionen"
"8","bundeswirtschaftsminister","stahlindustrie","bundesregierung","erhard","volkswirtschaft","bundesregierung","markt","hellwig","wirtschaftspolitik","industrie","feierschichten","wirtschaft","preise","konjunkturpolitik","preise","gewerkschaften","entwicklung","bundesregierung","löhne","aufwertung","massnahmen","steinkohlenbergbau","stabilität","bundeswirtschaftsminister","aktion","saar","bundeswirtschaftsminister","rezession","aufwertung","wirtschaftspolitik","wachstum","bundeswirtschaftsminister","freigabe","bundesbank","washington","bundesbank","marktwirtschaft","konjunkturpolitik","wirtschaftspolitik","ehrenberg","rezession","inflation","unternehmen","bundeswirtschaftsminister","mittelstand","unternehmen","jahreswirtschaftsbericht","inflation","wirtschaftspolitik","arbeitnehmer","graf","politik","entwicklung","investitionszulage","arbeitsplätze","wirtschaftspolitik","zinsen","graf","wirtschaftspolitik","aufschwung","bangemann","unternehmen","bangemann","roth","wachstum","bangemann","bangemann","unternehmen","roth","haussmann","arbeitsplätze","ddr","betriebe","ostdeutschland","treuhand","privatisierung","investitionen","privatisierung","arbeitsmarkt","politik","wachstum","politik","beschäftigung","wirtschaft","mehr","lafontaine","bundeskanzler","arbeitsmarkt","bundeskanzler","unternehmen","wirtschaft","arbeitsmarkt","arbeitsplätze","arbeitslosigkeit","wirtschaft","land","politik","wirtschaft","bundeskanzler","politik","mittelstand","prozent","wirtschaft","politik","deutschland","wachstum","arbeitsplätze","merkel","mittelstand","rösler","politik","prozent","krise","krise","prozent","iwf","land","steuerliche","digitalisierung","wachstum","arbeitsplätze","marktwirtschaft","investitionen","investitionen","marktwirtschaft","industrie","wohlstand","deutschland"
"9","eisen","montanunion","kohle","kartellbehörde","konjunkturpolitischen","konjunktur","preiserhöhung","deist","preise","konjunktur","millionen","millionen","konjunktur","erhard","markt","löhne","millionen","energiepolitik","kaufkraft","stabilität","schmücker","feierschichten","preise","wirtschaftspolitik","massnahmen","programm","rezession","stabilität","massnahmen","massnahmen","bundeswirtschaftsminister","wirtschaftspolitik","massnahmen","aufwertung","müllerhermann","arbeitslosigkeit","strauss","preise","müllerhermann","wirtschaftspolitik","wachstum","ehrenberg","mittelstand","biedenkopf","wirtschaftspolitik","lambsdorff","graf","mehr","vollbeschäftigung","pieroth","unternehmen","wirtschaftlichen","unternehmen","unternehmen","warnke","zinsen","marktwirtschaft","zinsen","graf","politik","roth","finanzpolitik","mehr","finanzpolitik","roth","politik","politik","bundesrepublik","wachstum","arbeitsplätze","währungsunion","wirtschaftspolitik","bundesländern","osten","wirtschaftspolitik","rexrodt","deutschland","lafontaine","ostdeutschland","rexrodt","politik","mehr","prozent","wachstum","bundeskanzler","mehr","mehr","politik","politik","wirtschaft","arbeitsmarkt","wirtschaft","arbeitslosigkeit","arbeitsplätze","aufschwung","clement","land","land","rotgrün","mehr","mehr","mittelstand","prozent","land","investitionen","wirtschaftskrise","merkel","unternehmen","politik","merkel","griechenland","opel","jugendarbeitslosigkeit","prozent","land","bürokratie","gabriel","industrie","prozent","politik","prozent","arbeitsplätze","arbeitsplätze","rezession","deutschland","wachstum","deutschland","wirtschaftsminister"
"10","produktion","wirtschaftspolitischen","unternehmungen","wirtschaftspolitischen","entwicklung","zollsenkung","bundesregierung","verbraucher","kohlenbergbau","preise","marktwirtschaft","preise","entwicklung","steigerung","aufwertung","entwicklung","investitionen","entwicklung","bundesregierung","steigerung","entwicklung","nachfrage","steinkohle","stahlindustrie","bundeswirtschaftsminister","investitionen","stabilität","aufwertung","bundesregierung","stabilität","konjunktur","preissteigerungen","wirtschaftspolitik","konjunktur","wirtschaftspolitik","rezession","konjunkturzuschlag","bundeswirtschaftsminister","graf","graf","marktwirtschaft","lambsdorff","arbeitslosigkeit","strauss","unternehmen","biedenkopf","nachfrage","marktwirtschaft","sachverständigenrat","marktwirtschaft","arbeitsplätze","arbeitsplätze","leistungsbilanzdefizit","kiep","bundesbank","beschäftigung","roth","wachstum","aufschwung","investitionen","politik","beschäftigung","investitionen","wirtschaftspolitik","mehr","roth","finanzpolitik","politik","wettbewerb","waigel","lambsdorff","betriebe","arbeitslosigkeit","marktwirtschaft","neuen","investitionen","arbeitsplätzen","aufschwung","investitionen","arbeitsplätzen","lafontaine","prozent","investitionen","prozent","mittelstand","deutschland","prozent","mittelstand","wirtschaft","beschäftigung","steuerreform","euro","mehr","clement","politik","mehr","opel","mittelstand","brauchen","bürokratieabbau","wirtschaft","bürokratieabbau","menschen","marktwirtschaft","glos","bundeskanzlerin","mittelstand","land","unternehmen","schulden","unternehmen","unternehmen","wirtschaft","land","gabriel","investieren","arbeitsplätze","andreae","wachstum","mittelstand","digitalisierung","wirtschaftspolitik","deutschland","china","industrie","mittelstand","unternehmer","wachstum"
