"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wahl","wahl","parteien","minderheit","mehrheitswahlrecht","wahlgesetz","parteien","parteien","atomare","atomare","erler","erler","erler","kontrolle","oststaaten","heinz","höcherl","strauss","argoud","höcherl","höcherl","höcherl","mende","gesamtdeutsche","mende","guttenberg","diehl","herr","süsterhenn","ahlers","ehmke","ehmke","auswärtigen","ahlers","ehmke","ehmke","auswärtigen","auswärtigen","auswärtigen","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","türkei","türkei","staatsminister","türkei","staatsminister","auswärtigen","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","auswärtigen","staatsminister","auswärtigen","staatsminister","auswärtigen","welle","auswärtigen","auswärtigen","auswärtigen","auswärtigen","untersuchungsausschuss","auswärtigen","journalisten","staatsminister","birma","china","dat","untersuchungsausschuss","syrien","todesstrafe","todesstrafe","syrien","menschenrechte","folter","bahai","uruguay","todesstrafe","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","hongkong","menschenrechte","menschenrechte","menschenrechte"
"2","baden","wähler","wahl","dänemark","wahlgesetz","partei","wahlgesetz","monopolverwaltung","heinemann","atomaren","heinemann","atomwaffen","heinemann","berlin","berlin","brandt","strauss","herr","rechtshilfeersuchen","innern","innern","innern","gesamtdeutsche","bundesminister","gesamtdeutsche","freiherr","bundespressechef","staatssekretär","untersuchungsausschuss","herr","bundeskanzler","herr","moersch","abgeordneter","herr","bundesminister","herr","staatssekretär","moersch","moersch","moersch","moersch","abgeordneter","zusatzfrage","dohnanyi","zusatzfrage","zusatzfrage","dohnanyi","dohnanyi","dohnanyi","zusatzfrage","dohnanyi","frau","corterier","corterier","hammbrücher","zusatzfrage","möllemann","möllemann","möllemann","möllemann","möllemann","möllemann","möllemann","schäfer","schäfer","schäfer","bundesregierung","bundesregierung","auswärtigen","bundesregierung","rüstungsexporte","irak","türkei","türkei","staatsminister","pkk","waffen","staatsminister","auswärtigen","staatsminister","mauss","auswärtigen","auswärtigen","auswärtigen","auswärtigen","türkei","auswärtigen","staatsminister","auswärtigen","staatsminister","welle","amt","sprache","amt","staatsministerin","visa","staatsministerin","fischer","amt","bnd","erler","auswärtigen","tibet","de","menschenrechte","menschenrechte","menschenrechte","menschenrechte","menschenrechte","belarus","menschenrechte","iran","armenien","folter","institut","menschenrechtsverteidiger","deg","bericht","journalisten","vollverschleierung","china","six","china","china","belarus","china","welle"
"3","parteien","parteien","wähler","dänischen","wähler","wähler","demokratie","bundesmonopolverwaltung","märz","heinemann","adenauer","bundeskanzler","wehner","zonengrenze","manifest","zone","schloss","justiz","justiz","verfassungsschutz","bundesminister","minister","bundesminister","südtirol","bundesminister","bundeskanzler","herr","bundeskanzler","herr","ehmke","herr","bundesminister","herr","presse","abgeordneter","aufgaben","abgeordneter","moersch","staatssekretär","auswärtigen","auswärtigen","zusatzfrage","zusatzfrage","wischnewski","zusatzfrage","dohnanyi","frau","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","zusatzfrage","zusatzfrage","dr","zusatzfrage","möllemann","bundesregierung","israel","zusatzfrage","herr","zusatzfrage","zusatzfrage","auswärtigen","saudiarabien","tibet","irak","türkei","adamschwaetzer","schäfer","waffen","irak","bnd","waffen","israel","pkk","waffen","schäfer","auswärtigen","amt","amt","schmidbauer","amt","amt","amt","volmer","auswärtigen","amt","amt","volmer","kulturpolitik","amt","staatsministerin","staatsministerin","staatsministerin","amt","erlass","amt","untersuchungsausschusses","gernot","untersuchungsausschuss","auswärtigen","staatsminister","libyen","menschenrechte","ströbele","beck","minderheit","lukaschenko","osze","kuba","todesstrafe","aserbaidschan","aserbaidschan","menschenrechte","folter","badawi","menschenrechtsverletzungen","institut","journalistinnen","bericht","menschenrechten","venezuela","hongkong","menschenrechte","china","hongkong","guantánamo"
"4","partei","stimmen","partei","schleswigholstein","wahlrecht","kandidat","sperrklausel","kw","atomaren","bewaffnung","union","bonn","union","kommunistischen","berliner","broschüre","ahlers","saevecke","verdacht","alliierten","minister","bundesminister","minister","herr","herr","herr","staatssekretär","diehl","journalisten","strauss","brandt","herrn","ehmke","informationsamtes","auswärtigen","besondere","ravens","herr","herr","amt","abgeordneter","herr","moersch","herr","herr","dr","herr","herr","herr","herr","dohnanyi","herr","herr","jäger","zusatzfrage","frau","herr","stücklen","zusatzfrage","auswärtigen","hupka","auswärtigen","auswärtigen","bundesregierung","bundesregierung","auswärtigen","kurden","schäuble","schäfer","bundesregierung","irak","bundesregierung","stavenhagen","schiff","schäfer","israel","staatsminister","türkei","amt","türkei","hoyer","bernd","iran","türkei","hoyer","amt","amt","türkei","ludger","ludger","amt","auswärtigen","staatsminister","auswärtigen","china","kerstin","untersuchungsausschuss","kerstin","auswärtigen","erler","auswärtigen","amt","beck","beck","guantánamo","kontrolle","untersuchungsausschuss","dänischen","belarus","dänischen","zentralasien","sri","menschenrechte","sozialversicherungsabkommen","verhütung","eritrea","menschenrechtsrat","journalisten","journalisten","institut","religionsfreiheit","journalisten","billy","folter","journalisten","myanmar","indigene","belarus"
"5","abstimmung","partei","stimmen","dänische","parteien","wahlrecht","partei","revisions","bundeskanzler","aufrüstung","bundeskanzler","politik","freiheitsrechte","zone","kölner","schicksal","herrn","jahn","herr","herr","herr","herr","herr","mende","auswärtigen","presse","scheel","gesamtdeutsche","hs","herrn","vizepräsident","presse","abgeordneter","herr","dr","abgeordneter","moersch","abgeordneter","parl","zusatzfrage","amt","vizepräsident","herr","abgeordneter","vizepräsident","herr","dohnanyi","dr","dr","frau","vizepräsident","dr","hammbrücher","dr","türkei","vizepräsident","abgeordneter","zusatzfrage","bundesregierung","herr","zusatzfrage","bundesregierung","herr","herr","auswärtigen","stavenhagen","auswärtigen","schäfer","türkei","waffen","auswärtigen","exporte","schäfer","amt","pkk","schäfer","kurden","helmut","türkischen","schäfer","iran","auswärtigen","türkei","schäfer","schäfer","türkei","ludger","volmer","volmer","amt","sprache","deutschen","kulturpolitik","amt","müller","müller","amtes","müller","uhl","staatsminister","ströbele","gernot","journalisten","auswärtigen","un","nachrichtendienste","strässer","folter","syrien","sri","zentralasiatischen","belarus","iranischen","menschenrechte","stelle","instituts","raif","institut","menschenrechtsverletzungen","welle","burka","menschenrechtsverletzungen","journalisten","menschenrechtsverletzungen","volksrepublik","lukaschenko","völker","china"
"6","mehrheit","gewählt","abgeordneten","kieler","verhältniswahlrecht","mehrheitswahlrecht","wähler","sprit","dienstag","bundeskanzler","ollenhauer","grundrechte","christ","bundesinnenminister","staatsmann","lemmer","güde","minister","innern","untersuchungsausschuss","schmittvockenhausen","alliierten","lemmer","schröder","bundeskanzler","staatssekretär","bundeskanzler","guttenberg","presse","bundeskanzler","zusatzfrage","ahlers","bundesminister","chef","presse","dienstes","bundesminister","chef","zusatzfrage","abgeordneter","zusatzfrage","abgeordneter","bölling","vizepräsident","dr","vizepräsident","hammbrücher","frau","hammbrücher","dr","dr","kollege","dr","vizepräsident","vizepräsident","herr","jenninger","vizepräsident","herr","bundesregierung","auswärtigen","herr","bundesregierung","zusatzfrage","gansel","türkei","gansel","gansel","auswärtigen","adamschwaetzer","südafrika","schäfer","türkei","januar","auswärtigen","waffen","türkischen","srü","kurden","iran","türkei","kolumbien","hoyer","hoyer","werner","öcalan","volmer","ludger","zöpel","fischer","tschechischen","zöpel","tschechischen","suu","kerstin","auswärtige","amt","kuba","beweisaufnahme","guantanamo","kuba","beck","ströbele","olympischen","is","untersuchungsausschusses","menschenrechtspolitik","dänische","oecdleitsätze","lanka","lukaschenko","mumia","aserbaidschans","belarus","nationale","pariser","menschenrechtsverteidigern","pressefreiheit","religionsfreiheit","menschenrechtsbericht","nikab","xinjiang","maduro","menschenrechten","menschenrechten","afkari","journalisten","lukaschenko"
"7","neugliederung","bundestag","systems","minderheiten","dänischen","stimmen","parteiengesetz","treuhand","erler","wehner","entscheidung","deutschland","produktionsmittel","drüben","mussolini","bundesinnenminister","minister","höcherl","zusatzfrage","minister","vizepräsident","schoettle","berliner","brief","minister","bundesminister","presse","bundespressechef","zeugin","wörner","aufgaben","bundeskanzler","dr","staatssekretär","bundesminister","herr","journalisten","zusatzfrage","abgeordneter","herr","herr","polnischen","vizepräsident","bundesregierung","abgeordneter","hammbrücher","dr","bundesregierung","kollege","vizepräsident","frau","bundesregierung","vizepräsident","herr","leber","abgeordneter","windelen","hammbrücher","saudiarabien","polen","polen","frage","vizepräsident","amt","zusatzfrage","bundesregierung","giftgas","auswärtigen","stavenhagen","südafrika","firmen","auswärtigen","waffen","bundesregierung","türkischen","türkischen","türkische","seerechtsübereinkommen","waffen","hoyer","werner","bundeskanzler","schäfer","auswärtige","lukaschenko","ludger","christoph","zöpel","christoph","zusatzfrage","auslandsschulen","christoph","volmer","kerstin","fischer","erlass","auswärtige","auswärtige","amt","kontrollgremium","kontrollgremium","usbekistan","amt","belarus","ok","akten","syrischen","auswärtigen","menschenrechtsverletzungen","kuba","todesstrafe","abujamal","religionsfreiheit","weissrussland","länderkommission","astatus","menschenrechtsverletzungen","amnesty","sozialcharta","reporter","frauen","pressefreiheit","europarat","chinesische","sicherheitsgesetz","navid","belarus","menschenrechtsverletzungen"
"8","wähler","abgeordneten","wahlen","nationalen","minderheit","gewählt","rehs","treuhandgesellschaft","deutscher","atomwaffen","politik","sagte","cducsufraktion","broschüre","zone","berlin","jahn","bucher","auslieferung","untersuchungsausschusses","schoettle","schmittvockenhausen","auswärtigen","gesamtdeutschen","lemmer","auswärtigen","zusatzfrage","presse","zeugen","bundesminister","presse","aufgaben","marx","zusatzfrage","moersch","zusatzfrage","herrn","bundeskanzleramtes","staatssekretärin","vizepräsident","vizepräsident","wischnewski","bundesregierung","frau","frau","frau","vizepräsident","kollege","vizepräsident","renger","kollege","jäger","jäger","frau","herr","möllemann","bundesregierung","auswärtigen","mertes","westphal","vogel","vizepräsident","vogel","vizepräsident","herr","zusatzfrage","irakischen","iran","gansel","gansel","gansel","waffen","bundesregierung","türkischen","waffen","helmut","rüstungsexporte","südafrika","hoyer","lettland","schäfer","herrn","werner","helmut","belarus","pkk","botschaften","christoph","dr","kulturpolitik","auswärtige","ludger","amtes","kyi","auswärtige","uhl","fischer","dissidenten","montag","untersuchungsausschuss","kontrolle","gehrcke","erler","staatsminister","beck","bagdad","wskrechte","minderheiten","davis","menschenrechtsverletzungen","menschenrechten","verhütung","minderheiten","östliche","fakultativprotokoll","aserbaidschan","folter","bericht","menschenrechten","sonderbeauftragten","einsperren","uiguren","pressefreiheit","uiguren","chinesischen","menschenrechtsverletzungen","indigener","deutsche"
"9","stimmen","wahlrecht","mandate","rasner","weimarer","parteien","nsdap","branntwein","kiesinger","erler","konferenz","mick","sozialdemokraten","einreise","kontrolle","personalausweis","innern","senator","rückführung","schmittvockenhausen","abgeordneter","vizepräsident","dr","fragen","brief","informationsamt","vizepräsident","interview","herrn","pressefreiheit","herrn","dr","aufgaben","ehmke","zusatzfrage","pressereferat","staatssekretär","grabert","beim","dr","frage","polen","jaeger","jäger","stücklen","abgeordneter","abgeordneter","vizepräsident","bundesregierung","kollege","hammbrücher","frau","bundesregierung","wangen","jäger","corterier","vizepräsident","herr","vizepräsident","vizepräsident","bundeskanzler","westphal","westphal","polen","amt","herr","bundesregierung","libyen","amt","stavenhagen","libyen","illegalen","israel","auswärtigen","türkische","kurden","schmidbauer","who","schäfer","dialog","kurden","amt","helmut","kulturpolitik","helmut","bundesregierung","kulturpolitik","dr","tschechischen","herr","volmer","volmer","bündnisverpflichtungen","deutsch","joseph","kiew","uhl","kulturpolitik","visa","kuba","amt","köln","gernot","chinesischen","wi","informationen","rechte","strässer","leitsätze","syrischen","folter","weissrussland","menschenrechten","östlich","einrichtungen","prinzipien","todesstrafe","folter","instituts","bericht","meinungsfreiheit","weltweit","menschenrechten","journalisten","hongkongs","gefängnis","indigenen","folter"
"10","abgeordneten","jaeger","kandidaten","diekmann","stücklen","kandidaten","legislaturperiode","partei","atomwaffen","waffen","deutscher","wehner","vertragsfreiheit","ausreise","klug","demarkationslinie","herr","innern","herrn","bundesminister","alliierten","frage","fragen","auswärtigen","bundeskanzlers","diehl","herrn","herrn","kollege","presse","brief","besondere","besondere","auswärtigen","ahlers","presse","presse","herrn","polnischen","abgeordneten","abgeordneten","abgeordneten","frage","dohnanyi","hammbrücher","bundesregierung","bundesregierung","hammbrücher","frau","hammbrücher","bundesregierung","vizepräsident","renger","hammbrücher","bundesregierung","dr","weiteren","frage","auswärtigen","mertes","bundesregierung","vogel","goetheinstitut","jäger","stavenhagen","südafrika","türkei","regierung","hammbrücher","amt","schäfer","firmen","helmut","irak","bundesregierung","türkische","schäfer","regierung","türkische","waffen","amtes","hoyer","botschaft","werner","zusatzfrage","tschechischen","auslandsvertretungen","bundesregierung","türkei","dr","ludger","bundesregierung","ludger","deutsche","amtes","visa","visum","amtes","erlasse","parlamentarischen","bundesnachrichtendienst","ströbele","gefangenen","amt","kurnaz","amt","untersuchungsausschusses","dänemark","unternehmen","aserbaidschan","miami","lanka","rechte","todesstrafe","bundesstelle","sozialcharta","menschenrechtsverteidigerinnen","ngos","pressefreiheit","menschenrechtsverletzungen","afd","rechte","china","chinesischen","chinesische","bericht","menschenrechtsverletzungen","aufgabenplanung"
